quipetit semepetitquielt	--|----|---|----|-----|
seintpolditie oleuiel ui	----|--|--|--⌫|-|-||-⌫-|
quimeint en deu	--|----|-|--|
ed euenlu i	|-⌫-|-|--⌫|
donc sachi ezbien pur uerite	---|-----⌫-|---|--|-----|
quelidon sontdecharite	--|-|--|---|-|------|
queli bons quiensphe lipesdone	--|-|---|-----|---⌫----|---|
queonque s n ulinenar aisone	--|-----⌫|-⌫--||-|--⌫-----|
f orsson f rancq ueoredebonaire	-⌫--|--|-⌫---|-⌫---||--------|
quil iloel e bien a	--|-⌫|--|-⌫|---||
doncuaut mielz cilque ne	---|---|----|--|--|-|
a lixandresqui n echa lut	-⌫--------|--|-⌫|---⌫--|
decharite nede nul bien	-|------|-|-|--|---|
oilnen ditezia derien	--||-|----|-|-|---|
donc a uerabien	---|-⌫---|---|
sauue sapaine	----|-|----|
cres tiensqui	----⌫----|--|
ententepaine	-----||----|
arimoierlemeillorconte	|------|-|------|----|
p arle c omand eme ntleconte	-⌫-|-|-⌫-----⌫---⌫-|-|----|
quiseitcontezen co urtreal	--|---|-----|-|--⌫--|---|
c estlicontesd elg r aal	|--|-|-----|-⌫-|-⌫-⌫--|
dont liquiensli ba il la leliure	---|-|-----|-|--⌫--⌫-|-|----|
siorrezcome nti lsendeliure	-|----|----⌫-|-⌫||-|------|
ceo f ueltens quearbre	--|-⌫|-|---|--|----|
floris sent	------⌫---|
foillentboscage pre uerd issent	-------|------|--|----⌫-----|
quec iloi se len	--|-⌫-|--⌫--⌫|-|
douc ement chant e nt almatin	----⌫----|-----⌫-⌫-|-|----|
e toteriensde ioieenflame	|---|----|-|---|------|
quelifiza laueu e	--|-|--||-|---⌫|
delaga s t e forestes outaine	-|-|--⌫-⌫-⌫|------|-⌫------|
s eleuae n elifupaine	-⌫|---||-⌫|-|-|----|
quil laselene	-|-|-|---|-|
enso nc haceor epreist	-|--⌫|-⌫-----||-----|
treisgauelozetut issi	----|------||--|---|
h orsdel ma n eirsamere iss i	-⌫--|--|--⌫-⌫--|-|---|---⌫|
e pen saqueueerirr oit	|---⌫-|--|---|---⌫--|
her ceo rsquesame re auoit	---⌫---⌫-|--|-|--⌫-|----|
qu ise sa uoinesli	--⌫|--⌫|-⌫-----|-|
buesyye yyhercesauoient	---|-||-|-----|------|
for ests enen tre	---⌫--||-|--⌫--|
emaintenantli queorsdel uentre	|---------|-|-----|--|-----|
douztenslireioi	---|---|-|----|
epu rlechant qui l	|--⌫|-|----|-|-⌫|
desoi sealsqui	--|--⌫----|--|
i oiefa isoien t	-⌫--|--⌫------⌫|
tot esles chosesliplaisoient	---⌫-|--|-----|-|---------|
por ladu lcourdeltensserain	--|-|--⌫----|--|---|-----|
osta d elchaceor le	---|-⌫-|------|-|
si le laissaalerpes san t	-|-|-----|---|---⌫---⌫|
parlafrescheh erbeuerdeiant	--|-|------|-⌫---|--------|
e cilquibien l anciersauoit	|--|--|---|-⌫-----|-----|
desgauel oz	--|-----⌫-|
qu ilauoit	-|-|----|
alou tenuironlilancant	----⌫|------|-|------|
uneh ou re ar erealtr eauant	--|-⌫--⌫-|--⌫--|----⌫|----|
une houreen bas	--|----|-|--|
altre e nhalt	----|-⌫|---|
t antq uil oiparmile	-⌫----⌫|-|-|----|-|
ueni r cinkcheu al ers	----⌫|---|----⌫--⌫--|
deto tesarm es acemez	-|--⌫--|---⌫-|-----|
emult grant	|---|----|
noisedeme noient	----|----⌫-----|
lesarmesde	--|----|-|
ceus quiuenoient	---|--|-------|
quisouent hurto e ntasar mes	--|-----|-----⌫-⌫-|-|--⌫--|
liraim des chesnes	-|---|--|------|
e descharmes	|--|------|
le slan cesas	--⌫|---⌫--|-|
e scuzhurtoent	-⌫---|-------|
etuitlihal bert f rem illoient	|---|-|---⌫---|-⌫---⌫-------|
tenti stli	-----⌫-|-|
fustz sone lifers	----|---|-|---|
edeshe almese des haubers	|--|--⌫----||--|------|
ceus quiuienent	---|--|------|
pl us quele pa s	--⌫-|--|-|--⌫|
s is enmerueilleedis tpar m alme	-⌫||-|--------||---⌫|--||---|
ueirmed is t m ame re madame	---|-|-⌫--⌫|-⌫|--⌫-|-|---|
qui me d ist q uedeablesont	--|-|-⌫--|-⌫-|-----|---|
pluseffreé queriens del	---|------|--|----|--|
e si le di stpur	|-|-|--⌫-|--|
mo ienseignier	--⌫|---------|
quepureussedeit lenseigner	--|--|--|-|---|--|------|
maiscest enseign d esde i gnerai	---|---|------|-⌫----⌫-⌫-----|
quei auoir nem en seignera i	--|-⌫|---|-||-|--------⌫|
einz ferr aisi tost	---|----⌫-|-|---|
l e plusfort	-⌫|---|---|
gauel ozquei eoport	-----⌫-|--|-⌫-|---|
quenaproc herauers m o i	--||-----⌫---|---|-⌫-⌫|
nuldesaltressi	--|--|-----|-|
is sia li meismesd is t	--⌫-||-|------|-⌫--⌫|
liualetz ei nzquillesuist	-|-----|--⌫---|-|--|---|
mais q uan t illesuit enapert	---|-⌫---⌫|-|--|--|-|----|
quedelbois f ure nt de s couer t	--|--|---|-⌫---⌫-|--⌫-⌫-----⌫|
siuit leshaubercs	-|--|--|-------|
eleshealme sclierselusanz	|--|------⌫|-----||-----|
eui tleue r t ele u ermeil	|--⌫|-|--⌫-⌫||-|-⌫-----|
reluirecontr e lesoleil	------|-----⌫|-|-----|
e la rg entelazur	||-⌫--⌫--|||---|
sili fum ult belatour	-|-|-|-⌫--|--|----|
edistbeaus sire deusmerci	|---|----|---|---|----|
ceoso nta nglequeieouoici	--|--⌫-|-⌫---|--|--|--|-|
euoirore aiieomult	|---|--|-|--|---|
or eaiieomultmal espl eité	--⌫|-|--|---|--|----⌫----|
q u idis que esteie ntd ea ble	-⌫-⌫|--|--|------⌫-|-⌫--⌫--|
distpasmamerefa ble	---|--|-|---|--⌫--|
quimedistque lianglesont	--|-|---|--|-|----|---|
lespl usbeles chose sd el mont	--|--⌫-|----|-----⌫|-⌫-|---|
forsd euquiestp lus	---|-⌫-|--|--|-⌫--|
be alsdetuit	--⌫--|-|---|
ieodampned euce o	--|-------⌫-|--⌫|
car nulsibelneniesgard	--|--|-|--|--||-----|
tuitlialtre sideumeg ard	---|-|----|-|--|-|-⌫--|
no nt miedeb eaute	|-⌫-|--|-|-⌫----|
ece odist mameremeisme	|--⌫|---|-|---|-----|
que homdei tdeuc reire	--|--|---⌫|--|-⌫----|
es upleier ehonurer	|-⌫------||------|
eie oao r r aicestu i	|--⌫|--⌫-⌫-⌫-|-----⌫|
sesanglesouec lui	--|-----|---|--|
meintenant uersterreselance	---------|---|----|-|----|
edisttrestu tesacr eance	|---|------⌫-|-|--⌫----|
eorei s onsquil	|----⌫-⌫--|-|-|
quesamere aprisliauoit	--|-|---|----|-|----|
maist res d esche ualers	-----⌫--|-⌫-|---⌫-----|
leui teditest ez	-|--⌫||--|---⌫-|
queat er re est de pourchauz	--||-⌫--⌫-|--|-|---|----|
si nus aliomstuit e nsemble	-|--|-----|---|-⌫------|
ilaueroitc e ome	-|------|-⌫-⌫|-|
sigrantp ou rq u	-|----|-⌫--⌫|-⌫|
ilmo rreit	-|--⌫----|
nerespondreneme	-|--------|-|-|
arienqueieo	|---|--|--|
lid ema ndasse	-|-⌫---⌫-----|
ilsarest ente cil	-||-----⌫--||--|
uers le ualetgra ntaleure	---|-|----|---⌫-|-----|
siles alue	-|-|-⌫---|
uale tn eiezpour	----⌫||---|---|
nenaiieo parl esal ueour	--|-|--|--|-⌫|---⌫----|
u al etzenq ui ieo	-⌫--⌫--|-|-⌫-|--|
deus ne nil parfoi	---|--⌫--|--|--|
q uiestesdonccheu aler sui	-⌫-|----|---|----⌫---|--|
onc mes cheualerneconui	--|--|-------|-|----|
fait liualetz nenulne ui	---|-|-----|-|--|-|-|
n onquesmaispa r le rnenoi	|-----|---|--⌫-⌫--⌫||-|-|
mais uosestes pl usbealsqu e deus	---|--|----|--⌫-|----|--⌫|---|
car fuss eieo orsautreti els	--|----⌫|--|--|-------⌫--|
ausil u isanzeausi	---|-⌫-⌫----||---|
ac estmot p resdelis est tra it z	|-⌫--|--|-⌫--|-|-||--|---⌫--⌫|
elich eualer slidemande	|-|--⌫------⌫|-|------|
huienc este lande	--|-|-⌫---|----|
cinkch eualersetreis puceles	---|--⌫------||----|------|
liu alet zaaltresnouel es	-|-⌫----⌫||-----|-----⌫-|
e nquereedemanderente nt	-⌫-----||-------|----⌫-|
e asa lancesa main	||-|----|-|---|
pre nteditbealssi re chiers	---⌫-||--|----|--⌫-|-----|
auez noncheuale rs	---|--|-------⌫-|
quees t ceo	--|--⌫|--|
queuos tenez	--|--|----|
oresuiieomultmalas enez	--|--|--|---|--|--⌫---|
faitlich eual er ceome stuis	---|-|--⌫----⌫-|--||-⌫-|--|
i eoquidoebealdo uza mis	-⌫-|-----|---|--⌫-|-⌫--|
noueles aprendrede toi	------|-------|-|--|
etu lesuielsoirdem oi	|-|--|----|--|-|-⌫-|
te dirrai c eoest ma	-|-----|-⌫-|--|-|
d itesuo sf a itilque hom lance	-⌫---|--⌫|-⌫-⌫-|-|--|--|----|
sicomieofaz	-|--|--|--|
mongaueloz	--|------|
nenil ualetz t u	----|-----|-⌫|
iestut sotz	--|--|---|
einz enfi ert lentutdemanois	---|-|--⌫--|--|--|-------|
dont ualtmielz	---|---|----|
liu ns dec es tr ois	-|-⌫-|-|-⌫-|--⌫--|
gaueloz que	------|--|
uo suee zci	--⌫|---⌫|-|
qu e q uant queieo uoilieo	--⌫|-⌫----⌫--|--|---|--|
oisealsebe stesalbosoign	------||--⌫---|-|------|
esi lesoc c ide	|-|--|--⌫-⌫|-|
cumlemporroi t un sosontraire	--|--|------⌫|-|----|-----|
uale tde cenaiieoque	----⌫|-|-||-|--|--|
maisdescheualie rsmerespont	---|--|--------⌫-|-|------|
dimoi s itu	-|--|-⌫|-|
siezou ilsont	---|-|-|---|
e lespuce lesuei stu	|--|----⌫--|---⌫|-|
li u aletzal	-|-⌫----|-|
pie dele sc u	--|-||-⌫--⌫|
l eprent edit	-⌫|----||--|
e coqueest e d equeiuossert	|-|--|--||-⌫|---|--|---|
ualet fait	----|---|
il est ces gabez	-|--|--|----|
qen autresnouelesmemene z	|-|-----|------|-|----⌫|
queie o net equier ne	--|--⌫|-|-⌫|----|-|
ieo quidoesi de usm amend	--|-----|-|--⌫-||----|
quet unouelesmedeisse s	--|-⌫|------|-|------⌫|
einzquedem oilesap rei sses	------|-|-⌫-|--|--⌫---⌫---|
uie lsqu ei eoten apreigne	---⌫-|--⌫|-⌫-||-|-------|
ieoletedirrai come ntque preigne	--|-|-|-----|----⌫----|------|
cara to iuolenti ers mac o rt	--||--⌫|-------⌫--||--⌫-⌫-|
esc uzadnonceoqueieoport	---⌫-|-|--|--|--|--|---|
escuzad non uoirf aitil	----|-|--|---|-⌫--|-|
miete niru il	--|--⌫--|-⌫-|
car il mesttantdebo nef oi	--|-||--|---|-|--⌫-|-⌫-|
qu e sinulslanceou	--⌫|-|---|----|-|
trait amoi	----||--|
encon tretost lescuzsetrait	-----⌫--|---||----|-|----|
e coest li seruisesquilme fa it	|-|--|-|-------|-|-|-|--⌫-|
atant cilq uifuren t arere	----|--|-⌫-|-----⌫|----|
s en uindrentt ote	|-|-------|-⌫--|
lacharr ere	-|-----⌫--|
uerslurse ig nortrestutle pas	---|--|--⌫--⌫--|------|-|--|
ignie lpa s	-----⌫---⌫|
sirequeyuosditc il	---|---|--|--|-⌫-|
nesi etmie totesles lois	-|--⌫-|--|----|--|---|
faitlisire ssi	---|-|----⌫|-|
deum amend	--||----|
queariennulequelidemand	--||---|---|--|-|-----|
neres pont o nquesa droi t	-|---⌫---|-⌫----||----⌫|
einz demande dequantquiluoit	---|------|-|------|-|---|
com ent a none	---⌫--||--||
que homen fait	--|--|-|---|
sire ceosachez bienentres hait	---|--|-----|---|------⌫---|
quegalo issont tuitpa rna ture	--|----⌫-|---|---|--⌫|--⌫---|
plusfolsqu ebestes en pastu re	---|---|--⌫|-----|-|-----⌫-|
cist e stausicumune beste	---|-⌫-|---|--|--|----|
folse st qui deliezli sareste	---|-⌫-|--|-----|-||-----|
s ia la mu seneuiel tmuser	-⌫||-|--⌫-|-|----⌫|----|
e letensen folieuser	|-|---|-|----|---|
nes aifait il sideusme uoie	-|-⌫-|---|-|-|---|-|---|
einzquesoieal a u oie	------|---||-⌫|-⌫--|
quanqui luoudra lidi rrai	-----|-⌫|-----|-|--⌫---|
iaautrem entnen pa rtirai	-|------⌫--||-|--⌫-----|
rema nde der echief	----⌫--|---⌫-----|
ualetfaitil	----|---|-|
net eseit grief	-|-⌫|---|----|
mais de scink che ualersme di	---|--⌫|---|---⌫-----|-|-|
edespu celesaut re si	|--|--⌫----|---⌫--⌫-|
silesencontrasneueis	-|--|--------|-|---|
e liualetzlet enoitpres	|-|-----|-|-⌫----|---|
al pa n delh aub ertesi li	-|--⌫|--|-⌫---⌫--||-|-|
carmeditesfait ilbe al	--|-|----|---|-|--⌫-|
auez uestu	---|----|
ualetfait i ldont nel	----|---|-⌫|---|-||
ual etzces tuns haubercs	---⌫--||--⌫|--|-------|
siest ausipesant z cum f ers	-|--|---|------⌫|--|-⌫--|
quilest defe r	-|-|--|-|--⌫|
ceou e is tubien	--|-⌫-⌫-|-|---|
deceofai tilne	-|--|---⌫|-|-|
sai ieorien	--|--|---|
mais multestbealsside usmesalt	---|---|--|----|-|--⌫-|-|---|
queenfa ite s	--|-|--⌫---⌫|
u osequeiuosua l t	-⌫-||---|--|--⌫-⌫|
u ale t fait il ceo	-⌫---⌫|---|-|--|
es t adire l egier	--⌫||---|-⌫----|
uoleie samoilancer	------⌫||--|-----|
gaue lotouse etetraire	----⌫--|-|--⌫--|-----|
e np orrieznul	-⌫|-⌫-----|--|
danz che ua lersdetiels	---|---⌫--⌫---|-|----|
garddeusles bisseselescerfs	---|---|--|-----||--|----|
qu enul oc c ire	--⌫|--|--⌫-⌫--|
n enporroie	|-|------|
nei ames a p resnequerro ie	-|-⌫---|-⌫-⌫--|-|------⌫-|
e licheua ler li	|-|-----⌫--|-|
ual etsidampnedeus	---⌫-|-|---------|
dimoi sis ieznules nou eles	-|--|-|-⌫--|----|---⌫---|
de sch eualersedes puceles	--⌫|--⌫------||--|------|
e cilquipetitfusene z	|--|--|----|-|----⌫|
lidistfustesuos	-|---|-----|--|
nenilualetzceo nepu testre	----|-----|--|-|--⌫|----|
que cheualer puisseissi	--|-------|-----|---|
quiuosat orna	--|--|--⌫---|
don ti s si	---⌫|-⌫-⌫-|
uale tieo leuosdi r rai bien	----⌫|--|-|--|--⌫-⌫--|---|
ditesledoncmultuolentiers	----|-|---|---|---------|
nadmie oncore yyiors entiers	|-|--|-----|-|---|------|
quetut cestherneismedona	--|--|---|------|-|---|
lireisarthurs q u im adobba	-|---|------|-⌫-⌫||-----|
maisore me	---|--|-|
redique deuindren t	---|--|---------⌫|
li cheuale r	-|-------⌫|
qui par ciuindrent	--|--|-|-------|
quiles treispuce les condue ie nt	--|--|----|----⌫--|------⌫--⌫-|
uontillepasou	---|-|-|--|-|
i l s enfueien t	-⌫||-|------⌫|
sireore esgardez	---|--|-------|
celplus hautboi sque uos	--|---|---|---⌫|--|--|
quicelemontaigne au irone	--|---|--------|--⌫----|
lason t l ides trierd	-|---⌫|-⌫|---⌫----||
e scaudone	-⌫-------|
faitil be alfrere	---|-|--⌫-|----|
l i herceou rma me re	-⌫|-------⌫|-|--⌫-|
qui sesterress em ente ere nt	--|--|-----|-⌫--⌫--||---⌫-|
esicesgenzitre spasseren t	|-|--|---||---⌫---------⌫|
uirent cilnosdi rront	-----|--|--|--⌫----|
ecildientquil	|--|----|-|-|
sil les imaigne	|-|--||-----|
iesquacels qui	----||---|--|
hercentlauaine	------||-----|
liu alet pr ents on	-|-⌫---|--⌫--|-⌫-|
e uaitla o uli	|---|-|-⌫|-|
herc e ntlesterresarees	----⌫-⌫-|--|-----|----|
auo i nessontsemees	---⌫-⌫--|---|-----|
equan tiluirent lurse ignou r	|----⌫|-|-----|--|--⌫-----⌫|
sitr embleren ttuit de pour	-|--⌫--------⌫|---|-|---|
esauezpurqueiil	|----|--|---|-|
purlescheuale rs	--|--|-------⌫-|
qui oueclur seignoruenoient	--|---|--|------|-------|
bienseuren ts	---|------⌫||
il liauoient	-|-|------|
lur afa ireditelur	--|---⌫--|--||--|
qui luo udre itcheualerestre	-|-⌫|--⌫----⌫-|-------|----|
esa mere en isteroit	|-|---|-|-------|
quede storner le q uidoitlen	--|--⌫------|-|-⌫-----|--|
queia cheua l erne u eist	--|-|-----⌫-⌫-|-|-⌫---|
nelurafair e n aprei st	-|--|-----⌫||-----⌫-|
eliu alet z	|-|-⌫----⌫|
distas bouiers	---|-|------|
ue istesuoscinkcheualers	--⌫----|--|---|--------|
etrei s puc elescipass er	|----⌫|---⌫---|-|----⌫-|
einz nefinerentpuisdaler	---|-|-------|---||---|
par cesdestreizf o nt lio ue rer	--|--|-------|-⌫-⌫-|-|-⌫--⌫--|
eliua let alcheu aler	|-|--⌫--|-|----⌫---|
q uitantauoitod li	-⌫-|---|----|-|-|
d ist sireparci sont al é	-⌫--|---|--|-|---|--⌫-|
lesche ualerseles puce les	--|---⌫-----||--|----⌫--|
maiso rem editeslesnouel es	---|-⌫-|-⌫|----|--|-----⌫-|
delr oiquiles che ualersfait	--|-⌫-|--|--|---⌫-----|---|
e leliuou ilplusest ait	|-|--|-|-|---|---⌫--|
uale tzfaitildir euosuoil	----⌫-|---|-|---⌫|--|---|
que li roissoiorne	--|-|---|------|
n admieoncore pas s équin tiour	|-|--|-----|---⌫-⌫-|----⌫|---|
quili estoitasoior	-|-||-----||----|
carieoifuies i	--|--||--||-⌫|
e tu sine l troeuesi	|-|-|-||------||
bienertqui let enseignera	---|--|--|-||---------|
iasi destor nezne	-|-|------⌫--|-|
tantos tl icheualer sempart	------⌫|-⌫|-------||-|---|
lesgranz galops mou tli fu	--|----|-----|---⌫|-|-|
quil eust les	-|-|---|--|
autre sat aintz	-----⌫|--⌫----|
eliu aletz nes	|-|-⌫----|-||
de repairera son manoir	-|-------||--|-----|
ousa meredolent	-|-|---|-----|
auo it le qu eorpur	---⌫-|-|--⌫--|--|
sad emoere	-|-⌫-----|
grantioieneis	----|---|---|
queeleleuit epas nepout	--|--|-|--||--|-|---|
celerl a ioi equeeleen out	----|-⌫|---⌫|--|--|-|--|
merequimult	---|--|---|
courtco ntreluiesile c laime	----|--⌫---|--||-|-|-⌫----|
bealfil z fi lz plus	---|---⌫|--⌫-|---|
d ecentfoiz	-⌫|---|---|
bealfilzmout	---|---|---|
aiestéd estroiz	-|----|-⌫------|
m is queo rspur	-⌫-|----⌫-|--|
uostr e de moree	-----⌫|--⌫----|
de doel aiesté	-|---|-|----|
si quepurpoimortene	-|--|--|--|----|-|
ouauez uos tant estéhui	-|---|--|---|----|--|
oudameieoleuosdi rrai	-|---|--|-|--|--⌫---|
que ian enmentirai	--|-||-|-------|
queiaimult grantio iee ue	--||-|---|----|--⌫-|-⌫-|
dunechoseq u eieoaiueue	|--|----|-⌫-⌫|--|-|---|
me soliezuos dire	-|-----|--|---|
que li angledeun ostresire	--|-|----|--|-⌫----|---|
sonts itresbe l	---|-⌫|---|--⌫|
que onquesnature	--|-----|-----|
p lus belecreature	-⌫--|---|-------|
nelmonde n	|-|----||
ad si bele rien	-|-|---|---|
b eal fizoncore lediieobien	-⌫--|--|-----|-|-|--|---|
ieo le dispuruoire di oncore	--|-|--|--|---||-|-----|
taisezme reneuiieoore	-----|--⌫-|-|-|--|--|
lespl us bel es	--|--⌫-|---⌫-|
chosesquisont	-----|--|---|
fo re ste u ont	--⌫--⌫--|-⌫--|
ilsontplus belsi	-|---|---|--|-|
comieoquit	--|--|---|
esiangletuit	|-|----|---|
lamereentresesbraz leprent	-|---|----|--|---|-|----|
sidistb eal	-|---|-⌫--|
fizade u t e rend	--||--⌫|-⌫|---|
qu imul taigrantpourdetoi	--⌫|---⌫|-|----|---|-|--|
tuasueusicom	-|-|--|-|--|
lesanglesdontlagentsepleignent	--|-----|---|-|---|-|--------|
quiloccientq uantquilateignent	-|-|------|-⌫-----|-|--------|
nonai uoir mere non ainon	--|-|---|---|--|-|--|
cheualer d ient quil	-------|-⌫---|-|-|
sepas meaic est mot	-|---⌫-||--⌫--|--|
quantcheualer nomer	----|-------|----|
equant elef u redresce e	|----|--|-⌫|--------⌫|
distcomfemmec orucee	---|--|----|-⌫-----|
h alassec ums uim albaillie	-⌫|----|-⌫-|-⌫-|-⌫--------|
dech eualerie	-|--⌫-------|
uosquido eieo si garder	--|-----⌫|--|-|-----|
queia nenoissezparler	--|-||-|-----|-----|
neque ianuln	-|--|-|--||
ch eualerestredeu ssez	--⌫-----|----|---⌫---|
be al fizs i dampnedeu ple ust	--⌫-|--|-⌫|--------|---⌫--|
euostrepiere u os eust	|-----|----|-⌫-|---|
ga rdé euosaltresamis	--⌫---||--|-----|---|
nout cheual er de	|--|------⌫-|-|
tantredo ténetantcremu	---|----⌫--|-|---|----|
b eausfizcum uos tre	-⌫---|--|--|---⌫--|
en toteslesys les	-|----|--|--⌫--|
repus uanter	----|-----|
quiuosnedecheiezde	--|--|-|-------|-|
deson li gnagenedel	-|--|--⌫----|-|--|
q ue i eosui decheu a lers nee	-⌫-|-⌫-|--|-|----⌫-⌫---|--|
desmeillorsde ceste con t ree	--|-------|-|----|---⌫-⌫--|
es ys lesde	-|--⌫--|-|
mern out lignage	--||--|------|
meill ourdel	-----⌫--|--|
m o naa ge	-⌫-⌫|--⌫-|
maislimeillorsontde chau	---|-|------|---|--⌫---|
bien enplusorslius seu	---|-|------|---|--|
quelesmeschea ncesauienent	--|--|-------⌫---|-------|
asprodho mes	-|------⌫--|
quisemaintienent	--|-|----------|
engranthonour een	-|----|-----||-|
mal u astezhontene peresce	---⌫-⌫----|----|-|------|
ne de chietpasqueleneput	-|--⌫----|--|-|--|-|--|
maisles bonsd eha iresteut	---|--|---|-⌫---⌫-|-----|
u o strepieres sine	-⌫-⌫---|-----|-|-|
fupar mi lahanchenauerez	-|---⌫-|-|-----|------|
siquilma haignadel cor s	-|-|-|--⌫-----|--|---⌫|
sag r ant terreeses tre sors	-|-⌫-⌫--|----||--|---⌫---|
a uoitcum prodhom	-⌫---|--|------|
al atut ape rdicion	--⌫|--||--⌫------|
sichai en grant pouerte	-|---|-|----|------|
epou eri e desheri té	|---⌫--||-------⌫--|
eexilleifurentatort	|------|-----||---|
ute rpe nd ragon q u iroysfu	---⌫---⌫--⌫----|-⌫-⌫|---|-|
e pieres albonroiarthu	|-----|-|--|--|----|
furent exilleez	-----|-------|
eles bonesgenz auillez	|--|----|---|------|
si senf ui t	-||-|-⌫--⌫|
quisenfuir	--||-|---|
uostrepiereces t mano ir out	-----|----|---⌫|----⌫-|--|
icienceste for este gaste	--|-|----|---⌫---|----|
nepoutfuirmes agrant has t e	-|---|---|--||----|---⌫-⌫|
enlit ier eaporte r sefist	-|---⌫---⌫|------⌫|-|---|
carlor s ne soutouilf uist	--|---⌫|-|---|-|-|-⌫---|
euosq uipetit	|--|-⌫-|----|
deusmultbe alsfreresauiez	---|---|--⌫--|-----|----|
petitzestiezale itanz	-----|-----|---⌫----|
poiauiezplusde	--|----|---|-|
qua ntg rantfurentuostre dui frere	---⌫-|-⌫---|-----|-----|--|----|
allosealconseillur	-|--||-|------|--|
alerenta deus curtzreials	------||---|----|-----|
au eir ec heuals	--⌫--||-⌫-----|
deskaualon al a	|--------|--⌫|
lie inzneze tantseruil	-|-⌫-----||---|----||
qu ilfucheualerad ubbez	-|-|-|-------|--⌫----|
eli aut re squipuis	|-|---⌫--⌫|--|---|
fut odlebo nro ygomeret	--|-|-|--⌫|--⌫|------|
enuniorliduiualet	-|-|--|-|--|----|
adobbée cheualerfurent	------||-------|-----|
uniourmeismem eu rent	-|---|-----|-⌫--⌫---|
pur reue niralurrepaire	--|----⌫--||--|------|
queioie meu oleientfaire	--|---|-|-⌫------|----|
elur piere	|--|----|
armesfurent desconfi t	----|-----|--------⌫|
p a r ar mesfurentmort amdui	-⌫-⌫|--⌫--|-----|---|----|
don tieoaigrant doele ennui	---⌫|--|-|----|---||----|
deleinznezauindrentmerue illes	-||------|--------|-----⌫----|
quelicornel	--|-|-----|
e lescorneilles	|--|---------|
ambesdeu sles	--------⌫|--|
io uzli cr euerent	--⌫-|-|--⌫------|
issilesgenzmort letro ueren t	---|--|---|---|-|---⌫-----⌫|
de ldo eldel f ilzmorutli piere	--⌫|--⌫-|--|-⌫--|----|-|----|
e ieoaiuie	|--|-|--|
multamiere	---|-----|
suffe rtepu i s quil fumortz	-----⌫--|--⌫-⌫-⌫-|-|-|----|
uos es tieztut liconfo rtz	--|--⌫---|--|-|-----⌫--|
quei eoauoi ee	--|-⌫-|----⌫||
