la u ctoritenosdituneraisonpor uoir	|-⌫-⌫------|--|--|--|-----|--|---|
la tierche rai sonestquema int	-|------|---⌫--|--|--|--⌫--|
p orrontaprendre	-⌫-----|-------|
si loientsibonsmozetsi bons	|-⌫|----|-|---|--|-|-|---|
di zreprendre	--⌫|--------|
kertozi orss i doit o nto rn er l oreille	--|--|-⌫--|-⌫|---|-⌫|--⌫--⌫-||------|
aescouterd e	|-------|-⌫|
dieuet de bo ncue r enten dr e	---|-|-|--⌫|---⌫|-----⌫--⌫|
adieuet asa	|---|-||-|
sesseinscon mant	--|----|---⌫---|
me s dizetmamaterede quoig	--⌫|--|-|-|-----|-|---||
iererim an t	---|---⌫--⌫|
dumproudom	|-|------|
uos iraibien n onmant	--|---|---|-⌫-----|
ked ex estbo ncosim	-|-⌫-|--|--⌫|----|
ueraia m ant	----|-⌫-⌫--|
quihautematier eabien	--|----|------⌫||---|
doithautementdire	---|--------|---|
neiene mepuis	-|-|-|-|---|
rai son es condire	---⌫--|--⌫------|
d edire etraconter	-⌫|---|-|-------|
e n r ommansetdescriure	-⌫|-⌫-----|-||-------|
lauiedecheluiq ueia im mont	-|--|-|-----|-⌫-||-⌫-|---|
et des i err e	-|---⌫-⌫---⌫|
chest l isires dequo iiaif ai tmon	-|--|-⌫|----|-|---⌫||-|-⌫--⌫|--|
et porsauoieriesillliaiie	-|--||-------|--||-|-|-|
kainzque iaiemonsensperdu ne	|------||--|--|---|----|-|
woilbien di re delui	---|---|--⌫-|-|--|
quer main t homaloé	---|----⌫|--||---|
touz ceuzquil delcuer	---|---|---|--|---|
etseserf bien de c uerlauraid eserui	-|-|---|---|-|-⌫--||----|-⌫-----|
dontnemedoi iedo m quest rouuer s iaserui	---|-|-|--|-|--⌫-⌫---|-⌫-----|-⌫|-----|
kedeuantson seruise	-|-----|--|------|
nulautreaieencouui	--|----|--|------|
chelseint ewangeliste	---|----|----------|
matiere sort	------|---|
qui lsuscita	---⌫|------|
mai n tmort e tf ist oir	---⌫-⌫|---|-⌫|-⌫--|--|
maint sort	----|---|
chestunsd e squ atreflueues qui empara dis	-|--|--|-⌫-⌫|--⌫---|------|--|-|----⌫--|
bie nestdedieu etdesaco rt	---⌫|--|-|---|-|-|-|--⌫-|
cheestchil quil de x a pelepresdelui	--|--|---|---|--⌫|-⌫---|---|-|--|
etacheinne	-|-------|
chest chilqu il	-|--|---|--⌫-|
reposasorson pi z e nla	-----|--|--|--⌫|-⌫|-|
but endormant	--|-|------|
seintefontainne	-----|--------|
seinteygliseestdedi uiniteplai nne	-----|-----|--|-|--⌫-----|----⌫--|
on oiantto uznommer	-|----|--⌫-|-----|
etra mentoiure	-|--⌫--------|
ch e lgloriozdormir	--⌫-⌫|------|-----|
etchelglor iozb oiure	-|---|----⌫--|-⌫----|
k enseinteeglise uoirsi hauteouureen	|-|-----|-----|---|-|----|----|-|
parcenpuet	--|--|---|
le nnemib aret er etdechoiure	|-⌫----|-⌫----⌫-|-|--------|
ch estch il quiseins	-|--|--⌫-|--|----|
pierres ettout esac ompaign e	------|-|----⌫|-|-⌫-------⌫|
forment semerueil lierentetoren tpr esengaigne	------||--------⌫------|-|----⌫|--⌫-|-------|
mesihesussill or	--|-----|--|-⌫-|
distiew oilqu eis si	---|-|-⌫--|--⌫|--⌫-|
sisoitenmon serui seet demuertetremaigne	-|---|-|--|-----⌫-|-|------|-|-------|
chestc hilquiform e	-|--|-⌫--|--|----⌫|
dai gle porteens oy	|--⌫--|----|-|-⌫-|
chilparquison tle deuim motescripst	---|--|--|---⌫|-|----|--|-------|
qu ilredistd esabouche cenqu ilen	-|-|-----|-⌫|-|-----|--|-|-|-|
s otet uit	-⌫-|-|--|
plushaute dau tret outesoureet	---|----||--⌫--|-⌫---||---|-|
la ig le q u eilres emblegrantch ose	|-⌫--⌫-|-⌫-⌫|-|---⌫----|----|--⌫--|
uoleplushautdautreois sel etrepose	---|---|---||----|---⌫--|-|-----|
etuoitcontresoleil chenestmie	-|---|-----|-----|--||--|--|
ordoit cesteraisonestre diteet desclose	-|---|----|-----|----|---|-|-------|
sic onmelaig le hautuoille etuoit	-|-⌫---||---⌫-|---|-----|-|---|
cont resoleil	----⌫-|-----|
wit liewangelis trele	--|-|---------⌫--|-|
seintsacré	----|-----|
d eladeit equ ilpointna	-⌫|-|----⌫|--⌫-|----|||
dont n estm i e meru eilles epo rlui me	---||--|-⌫-⌫|----⌫----|-⌫|--⌫|--|-|
il fuetwitp lus	-|-|-|--|-⌫--|
ha ut detouzcem	--⌫-|-|---|-||
ker ilfu enz	--|-|-|--|
esch ielz en sondormant rauis	-|--⌫---|-|--|------|----|
ouilbut lafo ntainnedouc he clereadeuis	-|-|--|-|--⌫------|----⌫-|----||----|
parqu oienseinteyglis eest	--|--⌫-|-|-----|-----⌫|--|
ihesucrist seruis	----|----|-----|
encorl irefist	----|-⌫|-----|
de xune autr egra nt	--⌫|--|----⌫|---⌫-|
kerlaoug ie uzl	--|-|-|-⌫--⌫-||
orentmisen cro izetmonté	----|--|-|---⌫-|-|-----|
l ico mma nda	-⌫|--⌫---⌫--|
s a merepor sau irginite	-⌫|---|--|-|-⌫-------|
cheluiquifontainne	-----|--|--------|
est detoute piete	--|-|----|----|
puisquedex	------|--|
cro ixlic onmandasamer e	---⌫-|-|-⌫------|-|---⌫|
il l ifistbiemsemblantdamorco nfixa	-|-⌫|---|---|-------||---|--⌫|--||
quil distque	-|-|---|--|
ceertsis f ixdontmonstre	-|--|--|-⌫-|---|------|
kecescumsfixa fa m eestau n seul	-|------|--||--⌫-⌫|--||-⌫|---|
comme dex notnul frerene samere	----|--||-|--|----|-|-|---|
il uitsa m ereens i mortelperil	-|--|-|-⌫--|-|-⌫|-----|----|
k acheluiquiltenoi t toutpechieempor	||-----|---|-----⌫|---|-----|----|
fistsam ereaueclui	---|-|-⌫--|---|--|
tantquiluenistdessil	-----|-|-----||----|
essile doitoncr oirequilbi enle	---|-|---|-|--⌫---|---|--⌫-|-|
weltentendre	---|-------|
chil qu i demortsouff rirnewoulo itplusatend re	---|--⌫|-|---|-----⌫--|-|-----⌫-|---|-----⌫-|
f istcontre	-⌫--|-----|
de sa mainun la ztendre	-|-|---|-|--⌫|-----|
por lui adecheuoirquertot wollo i tsou sprendre	--|--||--------|---|--|-----⌫-⌫|---⌫-------|
chilparquimor tnos	---|--|--|---⌫|--|
fu mesioiant	--⌫--|-----|
et renas cu	-|-----⌫-|
fistdesacroixquintainne et	---|-|-|----|---------|-|
do n tgieupoientestredole ntetirascu	--⌫-⌫|---|-----|----|----⌫-|-|-----|
cui d ierent ueintr ecendontilsontueincu	---⌫-⌫-----|------⌫|--|---|-|---|-----|
encelegrantdolor	-|---|----|----|
etencelgra nt torme nt	-|-|--|---⌫-|-----⌫-|
c onmandanostr esi re	-⌫------|-----⌫|--⌫-|
montdebon airement	---|-----⌫-------|
chel uiq uilplusamot a	----⌫-|-⌫|-|---|---||
cheluiu oir ement	-----|-⌫---⌫----|
quiplu ss iertmaintenudesoncors uir gement	--|---⌫||---|-------|-|--|---|---⌫-----|
bien weltdespondret outel	---|---|--------|-⌫---||
au ctori te	--⌫-----⌫-|
porcen ne st	--|--||-⌫-|
porue rit e	--|--⌫---⌫|
mes por sa grantdouc hor et	--|--|-|----|----⌫--|-|
porsumilite	--||------|
distdex quec iertses	---|--|--||---|--|
fixendroit uirginite	--|-|----|--------|
ieuos d ietdemos tre	-|--|-⌫|-|-----⌫--|
droi tecompereisson	----⌫-|-----------|
k erpuisqueuirge teest adesen s a mais on	-⌫-|------|-----⌫-|--|---|-|-⌫|----⌫-|
do ntsoffrin ostresire pardroi tetparr e ison	--⌫-|-----|-⌫----|---|--|----⌫|-|--|-⌫-⌫---|
m enersau irgemere	-⌫---|-|-⌫---|---|
porlauirgi ni tequitantpar estge ntiu s	--|-|-----⌫--⌫-|--|---|--|--|--⌫----⌫|
di s t dex	--⌫-⌫|--|
qu ec iertsamereetque c il	--⌫||---|-|---|-|--|-⌫-|
ie rtse nfius	--⌫-|--⌫|---|
keri ssilen tendilisiredouzetpius	--|-⌫--||--⌫----|-|---|---|-|---|
d ontlisont	-⌫--|-|---|
couuert enlag losesotius	------|-|-|-⌫---|-----|
de sormes nemewoi latargier neretraire	--⌫-----|-|-|---⌫|-------|-|-------|
dem amatieredire etdesbeau xm ozret raire	-|-⌫|------|---|-|--|----⌫|-⌫-|---⌫----|
decheluiquilpor dieusouffri m ont	-|-----|---|--|---|------|-⌫--|
decontraire	-|--------|
porlagent conu ertireta c reanche atraire	--|-|---|----⌫----|-||-⌫------|------|
c h il qu ildewillainnieout loigdelui misse	-⌫-⌫-|--⌫-|-|---------|--|---|-|--|----|
quil de dieu seruir iert pluschautque	---|-|---|-----|---|---|----|--|
uin tpo rgentconuertiren lachi t e d	---⌫|--⌫|---|--------|-|-|---⌫-⌫||
laoumaluestieiertassembleeetremese	-|-|--------|---|--------|-|-----|
m esainzquelido ulz	-⌫-|------|-|--⌫--|
siressepartesist decaus	----|-|--------|-|---|
keil au oit	-|-|--⌫--|
trouuédemalf aire	------|-|--|-⌫---|
lors fisttant saillie zdedieuettant denhaus	---|---|---|-------⌫|-|---|-|---||-----|
kasarmeslorfumir eetas cors	|-|----|--|-|---⌫|-|-|---|
mareschaus	---------|
les cors maresc auchaetles ames	--|---|------⌫----|-|--|---|
qui ded i eucroireierenttoutes mari	--|-|-⌫-⌫-|-----|-----|---|--⌫---|
uirgeschast e setue ues t rouue rentbonmari	-----|-----⌫-⌫|-|--⌫--|-⌫-----⌫---|--|---|
k erqueil pr isten ga rde	-⌫-|--|-|--⌫--|-|--⌫--|
omq u espuisneper i	---⌫-⌫-|---|-|---⌫|
l esgenz uait sarmonantetmeit adroitee scole	-⌫-|---|---|--------|-|---||-----|-⌫----|
les ouureslennemi	--|-----||-----|
lor deffaitetdescol e	--|------|-|------⌫|
neapo innesafemmeen lachite tantf ole	-||--⌫----||----|-|-|----|---|-⌫--|
keilnelmeite	-|-|-||----|
apoint par sadouche p arole	|----|--|-|-----|-⌫----|
pa rd o uche sp arolespa rs es di z parses	--⌫|-⌫-⌫----⌫|-⌫-----|--⌫|-⌫-|--⌫|--|--|
lorasilorpechiezdepech iez etdesfaiz	--||-|--|------|------⌫--|-|------|
kecascunsser epent deseswillainsmesfaiz	-|------|-|-⌫----|-|--|-------|------|
lo restenaiea sostenirgranzf ai z	--⌫|--|-|--||-------|----|-⌫--⌫|
lempererequi ot non domiti anus	|-------|--|-|--|------⌫---|
soitque enla c hiteestoittex	---|--|-|-|-⌫---|-----|--|
hons u enus	---|-⌫---|
ke deuantsapa rolene	-|-----|-|--⌫---|-|
poiet garir nu s	----|----|--⌫|
ainz fais s oit	---|----⌫-⌫--|
co nuertirli g eunez et licha nus	--⌫------|-|-⌫----|-|-|---⌫--|
lisaint ewange l isteliem perereman de	-|----|------⌫-⌫---|-|--⌫-----|---⌫-|
desueureetd es a	-||----|-|-⌫|-⌫|
ui eli em q iertetdemande	--⌫|-|--⌫-⌫---|-|------|
et cilqu ilnelfai t r iens	-|--|--⌫-|--|---⌫|-⌫---|
forscenqu e	---|--|--⌫|
l idistquilse	-⌫|---|-|-|-|
reclainmed eladeite	--------|-⌫|-|----|
faitdomi tia nusqu estd on tladeitez	---|----⌫---⌫--|-|--|-⌫--⌫|-|-----|
etseintiohanli dis tquecestla	-|----|----|-|---⌫|--||--|-|
lipe reset li fixetla	-|--⌫--|-|-|--|-|-|
sainte hum anitez	-----|---⌫-----|
ke l auirgepo rta eten	-|-⌫|----|--⌫--|-|-|
disnezcost ez	-----|----⌫-|
se t une croizfait i lbien es mors et	-|-⌫|-|----|---|-⌫|---|-|---|-|
pereetli fix et lisains esperis	---|-|-|--|-|-|----|------|
esttantdignes et ta nthauz	--|---|-----|-|--⌫-|---|
douzet s a ins etse ris	---|-|-⌫-⌫--|-|--⌫--|
keparluiesttouz bienrenduzet	-|--|--|--|---|---|-----|-|
conment faitl empererecen	------|---||-------|-||
est pasmes otroiz	--|--|--|-----|
tupa r olesdel	-|--⌫-⌫---|-||
um etsien n onm ez	-|-|-|-|-⌫---⌫-|
etseint io hanrespontquerlise ns est estr oi z	-|----|--⌫--|------|---|-|--⌫-|--|----⌫--⌫|
sinepuezmieentendr equerce nest mie	-|-|---|--|-------⌫|---|-||--|--|
faitdomi tianusdontmedisansatendre	---|----⌫-----|---|-|-|---|------|
porquoig eneporr oie ce s te	--|---|-⌫|-|----⌫--|--⌫-⌫-|
raisonentendr e	-----|-------⌫|
por cenfaitse int xm	--|--|---|--⌫--|-|
quet uneweuzempren dre	--|-⌫|-|---|------⌫--|
laparolede	-|-----|-|
dieu entoinepuetreprendr e	---|-|--|-|---|--------⌫|
domitianus disttuparole s	---------|---|-|------⌫|
dunfild un espe rit sont	|-|--||-|----⌫--|---|
chist trois	----|----|
d unem ere	|--|-⌫--|
faitseintiohane resbons	---|----|----|-⌫--|---|
delarais on seroi e	-|-|----⌫-|-----⌫|
deserreetd e spondere	------|-|-⌫-⌫-------|
ie w oilfaitl	-|-⌫--|---||
empererequetule me sd espondes	-------|--|-|-|--⌫|-⌫-------|
etqu edema ma ndeto ta droit	-|--⌫|-|-|--⌫--|--⌫||----|
merespondes	-|--------|
ilrespon tcilaffairesest si haut et simondes	-|------⌫|--|-------|--|-|---|-|-|-----|
ke pa rl umetpar tro ise stsauuez	-|--⌫||-|-|--|---⌫-|-⌫-|-----|
touz limondes	---|-|-----|
k er t roissontem	-⌫-|-⌫---|---|-|
pers onneset unstotseulen o uure	----⌫----|-|--|--|---|-|-⌫---|
est premiersde q uoilif ixsecouure	--|-------|-|-⌫--|-|-⌫-|-|-----|
ke li sainz esperis	-|-|----|------|
oue ccesyyrecouu re	---⌫|--|-|------⌫-|
por cest liu ns	--||--|-|-⌫-|
seustroi squillaglos e descouure	---|----⌫|---|-|----⌫|--------|
l i perequichieu zestoi t	-⌫|---|--|-----⌫|-----⌫|
sir esetmestre	---⌫-|-|-----|
enuoiaenlauirgeson	-----|-|-|----|--|
filx neitementneistre	---|--------|------|
sainsesperisfudecest ouurepestre	----|------|-|-|---|----|-----|
porlau irgin ite gou uerneretrepe stre	--|-|-⌫-----⌫--|---⌫-----|-|----⌫---|
po r cenestu ns	--⌫|--|--|-⌫-|
dieuzu nssires uns	----|-⌫-|----|--|
p oiers unscora ges	-⌫----|--|----⌫--|
etun emaie ste etunsse uz	-|--⌫|----⌫--|-|--|--⌫-|
seign or age s	-----⌫--⌫---⌫|
porqui f u recouurezen cro ix li granz damages	--|--|-⌫|--------|-|---⌫-|-|----|------|
etsetucennecroizd ontn es	-|-|-|--|-|----|-⌫--||-|
k e ren cr o i zrechut m ort	-⌫-⌫|-|--⌫-⌫-⌫|-----|-⌫--|
ihes uc ristnostresire	----⌫|-⌫---|-----|---|
por lennemim ater	--||-----|-⌫---|
porlamortdesconfi r e	--|-|---|--------⌫-⌫|
et se lacarsouffrien mora ntle mart ire	-|-|-|--|------|-|----⌫-|-|----⌫--|
lam ortnepuetpor	-|-⌫--|-|---|--|
riensladei te ochire	----|-|---⌫-|-----|
ui ntaut iers iordel	--⌫-|-|-⌫---|--|--|
resu scitement	----⌫--------|
tout fumeslez emse mble ce	---|-|-----|----⌫---|-|
sachiez wrai e men t	------|----⌫-⌫---⌫|
deitezesperisetch aronn iement	-----|------|-|--⌫-|---⌫-----|
le fi xauper ees	-|--⌫|-|---⌫|-|
chieulzmont liement	------|---|------|
lipueples quiestoitassemble zel palais	-|------|--|-----|--------⌫|-|-----|
dout equenel iu iegne anuis honte	----⌫|--|-|-⌫|-⌫----|----|----|
deshauzmozqueild istplusdouxque	--|---|--|--|-|-⌫--|---|---|--|
mespor c enne	--|--|-⌫-|-|
de direnu lr elais	-|---|--⌫|-⌫----|
mue t sortet auul glem ehai gniéet contrait	---⌫|---|-|----⌫--|-⌫----⌫----|-|-------|
sesont entor lapo stre	-|---|----||---⌫---|
assembléetatrait	--------|-|-----|
il lesseignede	-|--|-----|-|
dieuetlormembr esretrait	---|-|--|-----⌫-|------|
quiln imetautreemplaistreoignement	-|-|||--|----|---------|--------|
nusnere paire alui	--|-|--⌫----||--|
qui emfertezmehaigne	--|-------|-------|
se ildeihesu cr istlesbeneist	-|-|-|----|--⌫--|--|------|
keil seins	-|-|----|
et haitie znedemuertetremaigne	-|------⌫|-|------|-|-------|
mes li feilemper ereobeirnelid e igne	--|-|---|-----⌫--|----|-|-|-⌫-⌫---|
mesparledetrinite	--|----|-|------|
conmesonttroischoses missese nunite	----|---|----|-----|-----|-⌫|----|
parfoifaitseintiohanquer ie	--|--|---|----|----|---|-|
cestto utparlapuissa nchedelagran t	|--|--⌫-|--|-|------⌫---|-|-|----⌫|
c ertesf aitlemper ere i etressai	-⌫----|-⌫--||-----⌫--|-⌫|------|
tumeueulz faire entendr eque yy sontzz	-|-|----|----|-------⌫|--|-|---|-|
seu le nse mble	---⌫|-⌫---⌫---|
or medico m ment	-|-|-|--⌫-⌫---|
domq ues cistafairea asembl e	----⌫--|---|-----|-⌫------⌫|
puisq ua nonmerdesyylunne l	-----⌫||-----|--|-||-|-||
autreneresemble	----|-|-------|
chentefe rai entend refa itseint	---|-|--⌫--|------⌫-|--⌫-|----|
i oh anb r iement	-⌫--⌫-|-⌫-⌫-----|
ie te mostr eaexample	-|-|-----⌫||------|
aun g reindeforment	|-|-⌫---|-|------|
ligreinssia un no n par luitots ol eme nt	-|-----|-||-|--⌫|--|--|--|-⌫--⌫---⌫-|
etla ferinneunautreetlipains	-|-|------|-|----|-|-|----|
decestrois choses	-|--|----|-----|
es tcom men chementlig r ains	--⌫|---⌫---⌫------|-|-⌫-⌫---|
pui senuientlaferinneet quant est fait	---⌫|-|----|-|------|-|----|--|---|
l i pa in s	-⌫|--⌫--⌫|
si est l i u ns enlau tr e	-|--|-⌫|-⌫-|-||--⌫--⌫|
k ecist t r oinesontcum	-⌫|---|-⌫-⌫-|-|---||-|
t o tsan zplus	-⌫-⌫|---⌫|---|
etsainzmains	-|----|----|
emperere aiez	-------|---|
senzetdroiteconoissanch e	---|-|-----|-----------⌫|
puisqu ed e xlaitauoiru ngrain sigrant	------⌫|-⌫-⌫|---|----|-⌫|----|-|----|
puissanche	---------|
dois tusauo ire t croirep arreisnablese mblanch e	---|-|----⌫-|-⌫|-----|-⌫-|--------|--⌫-------⌫|
q uil abiendet outfair e	-⌫|-||---|-|-⌫--|----⌫|
etuertuetpui ssanche	-|----|-|---⌫------|
lemp erereen tendi	|---⌫----|--⌫----|
sesmozetsadeuise	--|--|-|-|-----|
s i liennuie montdechil quil sidroit	-⌫|-|-----|---|-|---|-|-|-|----|
querobeir ne welt	---|----|-|---|
na sonseruise	||--|------|
ainz dist lapostr eenautre g u isse	---|---||------⌫|-|----|-⌫-⌫---|
metreunecuuepleinne	----|--|---|------|
duille boill ant	|----|-----⌫--|
lethideuzet cruel	--|-----|-|----|
m aluaissementoilla nt	-⌫-----------|-----⌫-|
puis distlewangelist e quilacue rettalan t	---|---||----------⌫|-|-||---⌫|-|-----⌫|
quilfache son seignor par	-|-|----|--|------|--|
tensdelui dolant	---|-|--|-----|
l isainz aposterist de c en	-⌫|----|-----|---|-|-⌫-|
quecil li conte	--|--|-|----|
qu ilu u eltpor	-|-|-⌫-⌫--|--|
lui fai r eihes ucripstl ait et hon te	--|---⌫-⌫|----⌫|-----|-⌫--|-|---⌫-|
maisil soitqued exest	---|-|---|--|-⌫-|--|
et qu e creanchem onte	-|--⌫|-------|-⌫---|
sa leautesi gra ntpoier sormo nte	-|-----|-|---⌫-|----|-----⌫--|
tudemoifairefai tli	-|-|--|----|---⌫|-|
berseintiohans	--|----|-----|
boillirte w oilenoillefet li feillity rans	------|-|-⌫--|-|----|--|-|---|-|--⌫---|
sauoirwoil setes dexest texnesipuis sans	-----|---|-|--|--|--|--|-|-|----⌫---|
ka cest grant	||---|----|
besoigtepu isseest reaida n s	-----|-|--⌫---|---⌫-|----⌫-⌫|
certesfait	-----|---|
seintiohan	----|----|
ie na i pointdepeor	-||-⌫|----|-|---|
dentreren cesdolors p ordout e	|-----|-|--|-----|-⌫-|----⌫|
nep ord olor	-|-⌫-|-⌫---|
droitseignor	----|------|
