f orm Icicoumen ce	-⌫--|--|------⌫-|
n ousdeusta nt com Luiplera.	-⌫--|---|--⌫-|--|--|----||
C eserala ramembrancede moi	-⌫|---|-|----------|-|--|
Et encoreli dis til uneautrepriueepa roleqe	-|-----|-|---⌫|-|--|----|-----|--⌫---|-|
lapucel eentendi	-|-----⌫|------|
bienetretint.	---|-|-----||
DontissiAlexis	---|---|-----|
lii ouenceausfors de lac hambre	-|-⌫--------|---|-|-|-⌫-----|
sipri sto retargent coiemen ttant com lui	-|---⌫-|-⌫|-|-----|-------⌫|---|--|--|
plot etsedep art identrelesgenzsi	---|-|-|---⌫---⌫||----|--|---|-|
qenusnele sotetfor sdela	-|--|-|-|--|-|---⌫|-|-|
salee tal a fors d e	---|-⌫|--⌫|---|-⌫|
lacitéacele eure.	-|----||---|---||
Sialatantqiluin ta	-|--|---||-|---⌫||
C haple s.	-⌫-----⌫||
La troua ilunenacieles i entradedenzet	-|----|-|--|------|-⌫|----|-----|-|
naia tant quilui ntalacité	---|---|-|-|--⌫-||-|----|
d eMagine .	-⌫|-----||
Dontissil ii ouenceausde sanacelesiencontr agenz	---|---|-⌫|-⌫--------|-|-|-----|-|-------⌫|---|
q ibestesmenoientcha rg iessi	-⌫|-----|-------|---⌫--⌫--|-|
entr a ens emble	----⌫|---⌫----|
en lacit é	-|-|---⌫-|
et a lat antq	-|-⌫-|-⌫--||
iluintaumos tierMaDame Seinte Marie.	-|---|-|---⌫---|-|---|-----|----||
Lauitiluneymageenforme decr ucefis qi	-|--|-|--|----|-|----|-|--⌫-----|-|
onquesn auoitesté fetedemeinsd	-----||----|----|---|-|----||
omee i nz lauoitnostreSi res	--|-⌫-⌫-||----|-----|--⌫--|
doneeaAgabaron le	----||-------|-|
roiensacit é .	--|-|-|---⌫-||
Dont uendi li enfestotesleschoses qu il auoit	---|----|-|----|----|--|-----|-|-|----|
a portees etsid epar tiet	-⌫------|-|-|-⌫----⌫-|-|
donatout apour ese tab e soigneus.	---|---||----⌫-|-⌫||-⌫-⌫-------||
Et se sd rasuendi	-|--⌫|-⌫--|----|
ilmeesm ement	-|-----⌫----|
siacheta plus poures etle rema nantdepartii l	-|-----|---|-----|-|-|----⌫---|------|-⌫|
etdonasi comille	-|---|-|--|-|-|
sotmiusemploierporlamor nostreSignor et	--|---|-------|--||---|-----|-----|-|
d ontalail en l atrien ostr eDame ensemble o	-⌫--|--|-|-||----|-⌫----⌫|---|-------||
lesautrespoures queran tlesaumosnese tce qe	--|-----|-----|------⌫|--|-------|-⌫|-|-|
l e nlid onoitrepartoitiler ranmentp or Deu	|-⌫|-|-⌫----|--------|-|--⌫------|-⌫-|--|
aceus qimest ier	|---|-|----⌫--|
en auoi ent.	-|----⌫--||
tout auoitmisennostre	---|----|--|-|-----|
S ignor sa pensee	-⌫----|-|-----|
ete stoi t en or issonseten	-|-⌫----⌫|-|--⌫-----|-|-|
pen seesboneset enieunesa ss iduel ment.	---⌫---|----|-|-|-----|-⌫--⌫-----⌫---||
issuz einsint dela cité comie uo s	----|------|-|-|----|--|-|--⌫|
aicon t éet d it	-|---⌫-⌫-|-|-⌫-|
le qist l enetd e manda﻿par toutmesl en	-|---||-|-|-⌫-⌫----|----⌫---|--||-|
pou t trouerca r il niestoi t m ie.	---⌫|-----|--⌫|-|||-----⌫|-⌫-||
Lag r ant ioi e furet ornee en	-|-⌫-⌫--|---⌫|-|---⌫----|-|
Liperes qisid olenzestoitqilne	-|----|-|-|-⌫----|-----||-|-|
peüst fere lenuoiap artoutqerreasamesnie	-----|---||-----|-⌫-----|----||-|-----|
t ant qeunepartie e nuint en	-⌫--|-|--|-----|-⌫|---|-|
la citéouliiouen ceausestoit.	-|----|-|-|-----⌫----|-----||
La letrou erent	-|-|----⌫----|
iletsili donere ntl	-|-|-|-|------⌫-||
aumosne ensemble o les	------|-------||--|
autresp oure s mes onques ne	-----|-⌫----⌫|--|-----|-|
ler e conurent .	-|-⌫-⌫-------||
Li seinzhomle sconois so itb iensienlo oit	-|----|--|--⌫|------⌫--⌫-|-⌫--|-|-|--⌫--|
nostr eSignor	-----⌫|-----|
etsidisoitBeausSirequi	-|-|-----|----|---|--|
laumosnemefesre çoiurede mamesn ie	|------|-|--|--⌫------|-|-|----⌫-|
proprem entportonseintimenon	-------⌫--|--|--|-------|--|
ierençgracesaToiqi ies u rais	-|----|-----||--|-|--|-⌫---|
Dexpiuset m is ericorset sec orables .	--|---|-|-⌫--⌫------|-|---⌫------||
Cilqi lei o uence lqeroientret orneren t	--|-|-|-⌫-⌫-----⌫|-------|---⌫-------⌫|
arriereaRomes inon c iere ntau signoretdistrent	------||---|-⌫|---⌫-⌫----⌫-|-|-----|-|-------|
nelepooient .	-|-|------||
Sa meredem e noit si	-|---|---⌫-⌫---|-|
grantd u el	----|-⌫-⌫-|
nel eporr oi traconternedireet gis oi t toute	-|-⌫|----⌫--⌫|-------|-|---|-|---⌫--⌫|----|
es tendueaterreetdisoi tqelenesen	--⌫-----||----|-|-----⌫||--|-||-|
leuer oit tresqa	-----⌫--|----||
tantqeleauroitde	---||--|-----|-|
sonfil oi ̈aucunesnou eles.	--|--|--⌫|------|---⌫---||
Sesb aron s	--|-⌫----⌫|
nauoitgeü alitr esceqe	|----|---||-|--⌫---|-|
sesfiuz a u o itestéengen drez ei nz s	--|---|-⌫-⌫-⌫-|----|-----⌫---|--⌫-||
astenoie nt deloruolentez fereporce	--------⌫-|-|--|-------|---|--|-|
qelienfes fustpl esanzanost reSig noreten	-|-|----|---|--⌫----||----⌫-|---⌫--|-|-|
sesoeures enten tis.	--|-----|-----⌫--||
Einsint fuseinz Ale xis en latrie nostreDameen	------|-|----|---⌫--|-||----|-----|---|-|
anznenosoitentrerenle glisseporc e	--|-||----|-----|-||-⌫-----|--|-⌫|
qu il cu idoitq u il	-|-|--⌫----|-⌫|-|
nenfust mie di gneztantqe	|-|---|--|--⌫---|---|-|
ceu intune nuitqe	-|-⌫--|--|---|-|
li ymage nostr eDame	-|----|-----⌫|---|
secreteindel eglisesili	--------|-||-----|-|-|
distFaientre rceenzlomeDeu qi	---|--|-----⌫|----||--|--|-|
lafors estcar il	-|---|--|--|-|
estdigne s d	--|-----⌫||
r egne D iu delciel.	-⌫---|-⌫-|--|---||
est oïed eu antnostre	--|---|-⌫--⌫--|-----|
S ignoret liseinzEsp e rizrep ose	-⌫----|-|-|----|---⌫-⌫--|---⌫--|
ensamble oluie tlaresplendisseurde	-------||--|-⌫|-|-------------|-|
son uiair e est au ssint deuantles	--|-----⌫|--|--⌫----|-----|--|
angel esueüeconme la	-----⌫-|----|----|-|
clartésd elsoleilest ueu ̈e seur lafacede	-------|-⌫-|-----|--|---⌫-|---|-|---|-|
Q antlymageoteinsintd itetparlée le	-⌫--||----|-|------|-⌫-|-|-----|-⌫-|
sedepartide	-|------|-|
celuiet cilissi fors de leglisse	----|-|--|---|---|-||------|
porq uerrele seinthome.	--|-⌫----|-|----|---||
I l nenpotmietrouercarne n	-⌫||-|--|--|-----|--||-⌫|
sauoitlen onnene	-----|-|-⌫-|-|-|
leco nois soit par ensei g ne nule si repeiraarrier eet proia	-|--⌫----⌫---|--|-----⌫-⌫-|---|-|------|------⌫|-|----|
anostr eSi gnorqui l lide mostra st	|-----⌫|--⌫---|-|-⌫|-|--⌫------⌫-|
et ensignas tp ar	-|--------⌫|-⌫-|
samis eri corde et nostreSiresli fistcaruneuoiz	-|---⌫---⌫----|-|-----|----|-|---|--|--|---|
u int s i li distCil qi	-⌫--|-⌫|-|---|--|-|
siet def ors leglissealuisplusp roceinz ce	---|---⌫--||------|||--|---|-⌫------|-|
tu de mandes.	-|--⌫-----||
Lors ret orna	---|---⌫---|
arriereci lsi	------|--⌫|-|
trouasein tAlexi sdeforsl uisfesant	----|----⌫|-----⌫|-----||--|-----|
seso rissonssicom	--|-⌫------|-|--|
cilqi aautre	--|-||----|
chosenauoitsenten te.	----||----||-----⌫-||
Do nt le pristcilparlamein si lemena	--⌫-|-|----|--|--|-|---|-|-|---|
ded enz leglisse etpuisli dema nd a	---⌫--||------|-|---|-|----⌫--⌫|
mout doc ementqi ilestoitetdequel contr ee	---|---⌫----|-|-|-----|-|-|---|-----⌫-|
SeinzAlex islirespondietdistq i lestoitun s	----|----⌫-|-|-------|-|---||-⌫|-----|--⌫|
moutpoures	---|-----|
hom pechierres .	--|---------||
Cil distq e pour es nestoitil	--|---|-⌫|----⌫-||-----|-|
miemo utnepec hierreseinzestoitricheset	--|--⌫-|-|---⌫------|---|-----|-----|-|
pleinzde lagrac e nostr eSignor.	-----|-|-|----⌫|-----⌫|-----||
Dont sassemble rent genzalor parolesetl i	---||--------⌫---|---||--|------|-|-⌫|
secreteinslorcontacomen t l ymage	---------|--|----|-----⌫||----|
d enostreDameliauoitfe taler qerrecelsei nt	-⌫|-----|---|-|----|--⌫|---|----|--|---⌫-|
homeetamener en legli s se.	---|-|-----|-||----⌫-⌫-||
Quantsein z	----|----⌫|
A lexi su itetso tqu	-⌫----⌫|-⌫-|-|--⌫|-|
il estoiteinsint	-|-----|------|
coneüsetd epuep lezpartotelacontree etpartoute	------|-|-⌫-----⌫--|--|---|-|------|-|--|----|
de se soeuresi li ssif or s	-|--⌫|-----|-⌫|-⌫--|-⌫--⌫|
del a cité	-|-⌫|----|
qiauoit non Edessesanz congiép r endre si	-|----|--|-----|---|------|-⌫-⌫----|-|
senal a enu ne	|-|--⌫|-|-⌫-|
autreuileqiLaudesseestoi t	----|---|-|-------|-----⌫|
reuoutildemorereinzent ra enunenefpar	-----|-|------|---|---⌫-|-|--|--|--|
q oi iluoloi talera Thars e	-⌫-|-|-----⌫|---||-----⌫|
unecitédeCilicieetsidist	--|----|-|------|-|-|---|
parlui m eïsmes qe	--|--|-⌫------|-|
lairoit ilpor	-|----|-|--|
cec on nel	-||-|-||
iconoissoit mie.	|---------|--||
Qanti l f uen trezen la nef	---|-⌫|-⌫|--⌫---|-|-|--|
etliuoiles futenduz unsuen sde	-|-|-----|-|-----|--|---⌫|-|
t err e leparti e tseuramouttostdelpor t	-⌫---⌫|-|----|-⌫|----|---|---|--|---⌫|
ettant lesportaa	-|---|--|----||
grantforceqil uindrenta lacitéde	----|----||-|-------||-|----|-|
RomeparlariuieredelToiure.	---|--|-|------|--|-----||
L ai ssi seinz Al e xisaterre	-⌫|-⌫--|----|--⌫-⌫--||----|
distCesa cesnostre Siresqeien	---|-|--⌫--|-----|----|-|-||
ent erraienautre m esonquenlamon	---⌫----|-|----|-⌫---|-|-|-|--|
enal a toutelaruesi	-|--⌫|----|-|--|-|
com cil qibiensauoitla uoie	--|--|-|---|-----|-|---|
D ontauintsila choseq	-⌫--|----|-|-|----||
ilencontrason pere qireu e no i tdel	-|-------|--|---|-|---⌫-⌫--⌫-⌫|--|
paléslempereor	-----||-------|
et ensembleoluigranzg enz	-|-------||--|----|-⌫--|
desa mes ni e.	-|-|---⌫--⌫||
Q an tseinzA lexis leuitil	-⌫--⌫|----|-⌫----|-|--|-|
parl aalu ietsilidis t	----⌫||--⌫|-|-|-|---⌫|
aussintco muns	------|--⌫|--|
poures ho mSerzDeuaiesdemoi	-----|--⌫|---|--|---|-|--|
mer cietpitiéet miseric ordeqisuipou re s	---⌫-|-|-----|-|-------⌫---|-|--|---⌫--⌫|
etbesoigneus etsimeherbergeen	-|---------|-|-|-|-------|-|
ta mesonetdone	-|----|-|---|
delreliefdetatab le qe	--|-----|-|-|---⌫-|-|
nostreSires uoell ebeneïr	-----|----|-----⌫|------|
ta uie et sitedoinst	-|--|-|-|-|-----|
leregnedes ci usetuoellegarderetraemp lir de	-|----|--|--⌫-|-|-----|-----|-|-----⌫--|-|
sa mis ericordeunfil	-|---⌫-------|-|--|
qetuasquiesten peler inage.	-|-|-|--|--|-|-----⌫----||
QantEufemia nu so ïpar l erde son	---|-------⌫--⌫|-⌫-|---⌫-⌫-|-|--|
filils ep ensa	--|-|-⌫|-⌫---|
herbergeroitce lui qiestrangesestoit.	-----------|--⌫--|-|--------|-----||
Dont fi stuenir	---|--⌫-|----|
sein t Ale xiensa	----⌫|---⌫-|-|-|
mesonporl amistie ́deson	----|--||-------⌫|-|--|
filetsi distases s erianz Liqueus de	--|-|-|---||--|-⌫-----|-|----|-|
uousuoudraseruir c estpourehome e strangeilsera	---|-----|-----|-⌫--|----|---|-⌫------|-|---|
fransto zlesiorsdesauie	----|--⌫|--|---|-|-|--|
donrai en messonren teassi se.	-----|-|-----|---⌫-|----⌫-||
Liu nsrespondietsidist	-|-⌫-|-------|-|-|---|
Sireieseruiraiuole ntiersa cestbeso igneusho me	---|-|-------|----⌫-----||---|----⌫-----|--⌫-|
auos treuolenté	|---⌫--|-------|
Eufemianuslid ist Failui	---------|-|-⌫--|--|--|
un gra batp orsonl itfereil uec de sozce	-|---⌫--|-⌫-|--|-⌫-|---|--⌫--|--⌫--|-|
degr édeuantl entreedemachambres i	----⌫-|-----||-----|-|-|------|-⌫|
q e qa ntieent e rrai	-⌫|--⌫-|-|---⌫-⌫---|
ded e nzet istraifors	---⌫-⌫-|-|-----|---|
qeieleuoi eetsi gard eb i e nq etu	-|-|-|---⌫|-|-|----⌫|-⌫-⌫-⌫|-⌫|-|
ne le corroc esennulemaniereetsi	-|-|------⌫-|-|---|------|-|-|
uo e lenco reqilsiece et menguce amatable	--⌫-⌫|----⌫-||-|----|-|------||-|----|
Ei nsint comuo smoezcon teretdire	--⌫----|--|--⌫||--|---⌫--|-|---|
fuseinzAl exisherberg i ezenlames on	-|----|--⌫---|-------⌫-⌫-|-|-|---⌫-|
Etsame regisoit enson	-|-|--⌫-|-----|-|--|
litmalad eqionques	--|-----⌫|-|-----|
puis quilse parti	---|-|-|-|----|
del uinefu	-|-⌫-|-|-|
leuee einzplor oitet menoit chascunior dolor por	----|---|----⌫--|-|-----|------|--|----|--|
sonfildont el e ne s auo it nule	--|--|---|--⌫|-|-⌫---⌫-|---|
L afemeseint Alexis	-⌫|---|----|-----|
estoittoz tensd euantladame et si disoitIe	-----|--|---|-⌫----|-|---|-|-|-----|-|
n ist ra iiamés	|---⌫--⌫|-----|
forsde ceenz	---|-|----|
tantcom ie uiu eeinztendraichaestésicomla	---|--|-|---⌫|---|------|-------|-|--|-|
torterele quiu etque rantparboneuole ntésonmalle par	--------|--|-⌫-|---⌫---|--|---|----⌫---|--|----|--|
monset part erresqa nt elen ena	---|-|--|-⌫----|--⌫-|--||-||
Aussintgardera i ie	------|-------⌫|-|
etatendraitant qeiesauraiqe	-|-------|---|-|-|-----|-|
lim iens marizestdeuenuz.	-|-⌫---|----|--|------||
Celeuie men o itsafeme teleuiemenoitsam e r e	---|--|---⌫-⌫-|-|---|---|--|-----|-|-⌫-⌫-⌫|
Assez ert luneetl autreamere	----|--||--|-||----|----|
SeinzAlexis	----|-----|
estoiten la	-----|-|-|
mesone tm enoit	----|-⌫|-⌫----|
moutse int euie .	---|--⌫---⌫|--||
Lamesniesonpereqine	-|-----|--|---|-|-|
le co noissoi ent	-|--⌫-------⌫--|
etqicuidoient q ecefust u nspouresmend iz li	-|-|--------|-⌫|-|---|-⌫-|-----|----⌫-|-|
fes oientmo utsoue n tmoutdanuizetde hontes.	---⌫----|--⌫-|----⌫-⌫|---||----|-|-|-----||
Cilqilesescuie lesetleshanaslauoientli	--|-|--|------⌫--|-|--|----|-------|-|
getoientles l aueüresseur latesteetlecu idoientesmouo ir	-------|--|-⌫-------|---|-|----|-|-|--⌫------|------⌫-|
eniremeslise i nz homqito ut	-|--|--|-|--⌫-⌫-|--|-|--⌫-|
cesof froitpor lamor	-|---⌫----|--||---|
nostreSignorueoite t	-----|-----|----|-⌫|
sauoitqeceestoitoeure de	-----|-|-|-----|----|-|
de ablesi leso ffroit agrantioie	--⌫---|-|-|--⌫-----||----|---|
et engrant paciencecars	-|-|----|-------|--||
il uousi st toutce li fust	-|-----⌫-|---|-|-|---|
mouttostamende ́carce	---|---|------⌫|--|-|
estoientmeesmemen tsesserzqi celi	-------|---------⌫|--|---|-|-|-|
fesoi e nt.	-----⌫-⌫-||
Cesteuie et	----|--|-|
cestechoses so uffriseinz Alexis	----|-----|--⌫----|----|-----|
e nlames onson pereeinsint.	-⌫|-|---⌫-|--|---|------||
a n zn onqe snus neliso tparnon	-⌫-⌫||----⌫|--|-|-|--⌫|--|--|
reconutne nesotqiil futant	------|-|-|--|-|-|-|---|
qece uint au	-|-|---|-|
t ensqenostre Siresuout	-⌫--|-|-----|----|---|
reçoi urela	------⌫--|-|
siuearmeet metreeni oieparmenablepor	---|---|-|----|-|-⌫--|---------|--|
ilauoitenla	-|----|-|-|
cestsiecleporlamo rnostreSignorsostenue.	---|-----|--||---⌫|-----|-----|-------||
Li sein z homsot bienl e	-|----⌫|--|--|---|-⌫|
iorquil de uoit mo ri re tdepartirdeces temortel	--|-|-|--⌫---|--⌫--⌫|-⌫|-------|-|---⌫-|-----|
uie siapela celu iqile s eru oit	--|-|----|----⌫|-|-|-⌫---⌫--|
si lidist q illibaillast parchem in	-|-|---||-|-|-------|-------⌫-|
et enque etp ene por	-|----|-|-⌫--|--|
escrir e .	------⌫||
Cilliquister ranm entqe	--|-|----|--⌫----⌫--|-|
n ule choseneliosoit con tredire	-⌫--|----|-|-|----|---⌫------|
Dont prist seinzAlex is leparch eminsi escrist	---|----|----|----⌫-|-|-----⌫---|-|------|
tot es auieetconm entilauoi t alé	---⌫|-⌫|--|-|----⌫--|-|----⌫|---|
e tesploitiéet	-⌫|---------|-|
comentilestoitd epartizasnoces de sa	-----|-|-----|-⌫------|-|----|-|-|
femeetcoment illiauoit	---|-|-----|-|-|----|
doné l aneld or etla	----||---||-|-|-|
ceintureen uolepe e enune piecededr apd e	-------|--⌫------⌫|-|--|----|-|--⌫-|-⌫|
Etsies cristlesf ezdeson	-|-|--⌫----|--|-⌫-|-|--|
pere etde same r epo r ce	---|-|-|-|--⌫-⌫|--⌫|-|
qil seüssent q	|-|--------||
illo rfiuzestoit .	-|--⌫|---|-----||
tout es critil rebaillaacel uile nqueet	---|--⌫---|-|-------||---⌫-||-⌫---|-|
l ap enemes la chartre ne	-⌫|-⌫--|--|-|------|-|
liba ill a	-|--⌫---⌫|
il mieeinzlatintensameintote	-|--|---|-|---|-|-|---|---|
Einsintremestlachosetresqau	------|-----|-|----|----|-|
diemenceqeliapost oil e setli empereorestoientaumos tier	-------|-|-|-----⌫---⌫-⌫|-|-|-------|-------|-|---⌫---|
po uroïrleseruice.	--⌫-|---|-|------||
Et qantlamessefuchanteedroitementapré sle	-|---|-|----|-|------|---------|-----⌫|-|
