#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
uiauts auoirquiilson t andui.	----|-⌫----|--|-|---⌫|-----|
Sapuce lecomandealer	-|----⌫-|------|---|
Is nelemanta	--⌫-------||
luiparler.	--|------|
DAMEISELE fet lare i ̈ne	--------|--|-|--⌫-⌫--|
Cel che ualierq uila chemine	--|---⌫-----|-⌫-|-|------|
Alez direqueuaingne a	---|---|--|------||
Et amaintsapucele	-|-----|-|-----|
Lap u cel e ual a nb le u ̈re	-|-⌫-⌫---⌫|-||-⌫--⌫--⌫-⌫--|
uerslecheualieradr oitur e.	---|-|--------||--⌫-----⌫-|
L inainsalan co ntreli	-⌫|----|||--⌫--⌫---|-|
An samainlacorgiee	-|-|---|-|------|
D ameisele estezfetlinains	-⌫-------|----|--|-|----|
Qui def elenie	--|-|-⌫-----|
fu pl a i ns	-|--⌫-⌫-⌫-|
Qua lezuosce stepartquerant	-|-⌫--|--|--⌫--|---|------|
Ça nepasseroizuosauant	--|-|--------|--|----|
Nainsfeteleleisse maler	----|--|--|-----||---|
Ac elcheua li er	|-⌫-|-----⌫--⌫-|
uu e lparler	--⌫-⌫|-----|
Carlareïne m i	--|-|-----|||
Li nai nssestut	-|---⌫-||----|
an milauoie	--⌫-|-|---|
Qu imoutfufeletde	--⌫|---|-|--|-|-|
Ç a n au ezuosfetil que	--⌫||--⌫-|--|--|-|--|
Alezarr ierenestpa sd roiz	---|---⌫---||--|--⌫|-⌫---|
buencheual ie rparl oiz .	---|------⌫--⌫|----⌫---⌫|
Lapu celes estau ant trei te	-|--⌫---||--|--⌫--|----⌫-|
Passeruos t	-----|---⌫|
outre a forcef e ite	----||----|-⌫-⌫--|
Car l enain ot an	--|-⌫|---|-|-|
grant despit	----|-----|
Porceq uele	--|-|-⌫|--|
le uitpetit.	-|--|-----|
Etlinai ns	-|-|---⌫-|
haucela cor giee	----|-|---⌫---|
Q uantuersluila uitap rochiee.	-⌫---|---|--|-|--|--⌫-------|
F erirlauostparmi	-⌫---|-|---|----|
Etceleasonbr azdeuantmis.	-|---||--|--⌫-|-----|---|
Cil recueuresi	--|-------|-|
A descouertsorla mai nn ue	|--------|--|-|---⌫|-⌫-|
Si la fiertsor lamain anuerse	-|-|----|--|-|---|------|
Quet otean deuintlamain	--|-⌫--|-|-----|-|---|
L a pucel eq uantmiauz ne puet	-⌫|-----⌫|-⌫---|----|-|---|
uu elle ou	--⌫---|-|
nonretorner	--|-------|
le st uet.	|-⌫--⌫---|
Retorneesanestploran t	-------||-|--|------⌫|
Desia uzlid esc ̧andentcorant	--|--⌫-|-|-⌫---⌫------|-----|
Leslermes cont reual	--|-----|----⌫----|
Larei ̈nenesetqueface	-|---⌫--|-|--|--|---|
Quantsapuceleuo itble ciee	----|-|-----|--⌫-|---⌫---|
Mout estd olanteet corr eciee.	---|--|-⌫-----|-|----⌫-----|
HaErecbiaus amis fetele	-|---|----|---|--|--|
Moutmepois e demapucel e	---|-|----⌫|-|-|-----⌫|
Quesi mableciee c ilnains .	--|-|||------|-⌫-|-----⌫|
Mo ute stlicheuali ers uila ins	--⌫-|-⌫-|-|-------⌫--|----⌫--|
sof rique teusfeiture	---⌫-|--|---|------|
Fer isibelecreature.	---⌫|-|---|--------|
Biausamis Er ecalez	----|---|--⌫-|---|
Au ch eualier etditesli	-|--⌫------|-|----|-|
Qu iluai ngne amoietnel lestmie.	-|-|---⌫---||--|-|--|---|---|
Conoistre uuel luiets amie.	--------|---|--|-||----|
Ereccele part e sperone	---|---|---|-⌫------|
Desesperon sau cheua l done	--|-------⌫|-|-----⌫|---|
uerslecheu alierpo intt otd r oit.	---|-|----⌫----|--⌫--|-⌫-|-⌫-⌫---|
cu iu erzuenir leuoit	--⌫--⌫--|----|-|---|
Ala ncontre li e stalez.	||-⌫------|-|-⌫-|----|
uass ausfet il arrier sestez	----⌫--|--|-|------⌫|----|
Çanes ai i equa feireaiiez.	--|-|-⌫-|-⌫|-||----|-----|
Ar riersuosloque uos	--⌫----|--|-|--|--|
Fui fetErec nain s	--|--|---|----⌫|
Tropesfe l et con tra liieus.	---|-|--⌫|-|---⌫---⌫------|
Leissemaler--uosni i roiz	-----||---|-|--|||-⌫---|
Iesifera i.-- uos nonferoiz	-|-|----⌫-|-|--|--|-----|
Erecbote lenain an	---|---|-|---|-|
feltantque nusp lus	--|---|--|--|-⌫--|
De lacorgieegrant colee	-|-|------|----|----|
Li ap armi le	-||-⌫---|-|
c oldonee.	-⌫-|-----|
Lecolet la fac eotuergiee	-|--|-|-|---⌫|-|------|
Er ec del copdela corgiee.	--⌫-|--|--|-|-|-------|
Dec hiefanchi efperentles	-|-⌫---|-|---⌫-|-----|--|
Queli ont feiteslesc orro ies.	--|-|--|-----|--|-⌫----⌫---|
Ilsotb ien q ue	-|--|-⌫--|-⌫-|
delnainfe rir	--|---|--⌫--|
Nep orroit ilmie ioïr	-|-⌫-----|-|--|----|
Carlec heualier uit	--|-|-⌫-------|--|
Mo utfel on etdesmesuré	--⌫-|---⌫-|-|---------|
Etcrien tqu	-|-----⌫|-|
asseztos t l	----|---⌫||
Se deuantluison	-|-----|--|--|
nainferoit.	---|------|
est pasuasse lages.	--|--|-----⌫-----|
De tant f ist mout	-|---|-⌫--|---|
Erecque sages	---|--|----|
Rala s anquilni ot	---||-|-|-|||-|
Dam e fetil or estp luslet.	---⌫|--|-|-|--|-⌫--|---|
Simalinainscuiuerz blecié	-|||-|----|------|------|
Que totma leuisdepecié.	--|--|||-|--|--------|
Nel osaiferirne tochier	-||---|----|-|------|
Mesnus n elme doit repr oc hier	--|--|-⌫-|-|---|----⌫--⌫---|
Quetrestoz desarme z estoi e.	--|------|-------⌫|-----⌫-|
Le cheual ierarmé dotoie	-|------⌫--|----|-----|
Quiuilainse stet outrag eus.	--|------|-⌫-|-|------⌫---|
Etilnelten istmi ea	-|-|--|---⌫--|--⌫||
Tostmo cei ̈stpar	---||-⌫---⌫--|--|
sonor guel.	--|--⌫----|
Mesit ant p rometre	--|--⌫--|-⌫------|
Queseiepu isie	--|-|-|--⌫-|-|
Mahon teouielangr eigne rai.	-|---⌫-|-|-||----⌫-----⌫---|
Mestropme so ntmes arm es loing	--|---|-|--⌫-|--|---⌫-|----|
Nesauraipasacestbeso ing	--|----|--||---|----⌫--|
Q uaCaradigan lesleis sai	-⌫||--------|--|----⌫--|
H uimatinq u antiem an torna i .	-⌫-|----|-⌫-⌫--|-||-|-----⌫-⌫|
Seielaquerreles	-|-|-|-----|--|
Ia me sretroue rnepo rroie	-|--⌫|-------⌫|-|--⌫----|
Lecheua li erpar a ua ntu re	-|-----⌫--⌫-|--|-⌫--⌫---⌫-|
Quisanuam ou t gr ant aleu ̈re.	--||-|-|-⌫--⌫|--⌫--|----⌫---|
Siu relemecou ienta de ́s	---⌫-|-|-|---⌫---|-⌫--⌫-|
Ousoitdeloin g	-|---|-|----⌫|
ousoitdepres	-|---|-|---|
Tantq ueiepuissearmestro uer	---|-⌫-|-|-----|----|---⌫--|
Ou aloiieroua prester.	-||-----|-||-------|
Seie truisqui	-|-|----|--|
armesmeprest	----|-|----|
Maintenantme trouera prest	---------|-|------|----|
Li cheualiersdelaba taille.	-|---------|-|-|--⌫------|
Etbiensachi ezsanznulefaille	-|---|-----⌫-|---|---|-----|
Q ue tantnosconbatronsandu i	-⌫-|---|--|---------|----⌫|
Quil meconquer rao ui el ui	-|-|-|-------⌫-|-⌫|-⌫|-⌫-|
Etseie puisi us q u au t ierzio r	-|-|-|---|-⌫--⌫-⌫|-|-⌫---|--⌫|
iemiselretor.	-|--|-|-----|
Lorsmereuerroiz a l	---|-|--------|||
Liéoudola n tne sai lequel.	---|-|----⌫-⌫|-|--|-|----|
Dam eiene puisplus targier	---⌫|-|-|---|---|------|
Siur emest uetlecheualier.	----⌫||---⌫--|-|---------|
Iem an uois . A Deuuos comant.	-||-|----⌫||--|--|------|
Etlareïnea u tres simant	-|-|-----|-⌫-⌫----⌫-----|
d emall edeff ande	-⌫|--|-⌫|----⌫---|
Pl u sde cinc	--⌫-⌫|-|---|
çanzfoi zlecoma nde.	----|---⌫|-|----⌫---|
EREC separt	---|-|---|
dela reïne	-|-|-----|
Del c he ualier siure	--|-⌫--⌫-----|----|
Etl are ine	-|-⌫|--⌫--|
O u liroisotle cer fataint.	-⌫|-|---|-|-|---⌫|------|
Ala p risedelcerfeinçoi s	|-|-⌫---|--|---|-------⌫|
uintque nusdes	---|--|--|--|
aut r esli rois	---⌫-⌫-|-|---|
Leblanc cerfo nt	-|----|---|-⌫-|
desf etetpris.	----⌫-|-|----|
Au repeirier s e sonttuitmis	-|--------|-⌫|---|---|--|
Lece rfanportentsisan	-|--⌫-|-|------|-||-|
ACarad iganuen usont .	|-----⌫---|---⌫|----⌫|
Apréssop erqua nt	-----|---⌫-|---⌫-|
F u rent tuit li é par l a me iso n	-⌫-⌫---|---|--⌫-|--|-⌫|--⌫---⌫|
L iroissic on	-⌫|---|-|-⌫-|
costume estoit	------|-----|
Porce quelecerfpris	--|-|--|-|---|---|
Di stq ui l iroit l ebeisierprandre	--⌫-|-⌫|-⌫|----|-⌫|------|------|
Porlacostumedel	--|-|------|--|
cerf randre .	---|------⌫|
cortanfontgra ntmurm ure	---|-|---|---⌫-|----⌫--|
Liu nsalautreditetiure	-|-⌫-|||----|--|-|---|
Qu ecen i ertiafet sa nz de sre sne	--⌫|-||-⌫--|-|--|--⌫-|--⌫---⌫--|
Despeeoudelance def resne.	|----|-|-|----|-|-⌫-----|
Ch ascuns uiaut par cheualerie	--⌫-----|----|--|---------|
Des re snierquela soeamie	---⌫--⌫----|--|-|--|---|
Estla plusbe led elasale	--|-|---|--⌫-|-⌫|-|---|
ceste par olemale.	----|---⌫--|----|
Q uantmessire Gauua in slesot	-⌫---|--|---|-----⌫--⌫|-|--|
Sachiezque mi e nelipl ot.	------|--|--⌫|-|-|--⌫--|
A paroleana	|-----|-||
Sirefeti l	---|--|-⌫|
angrant es froi	-|----|--⌫---|
Sontce anzuostrecheualier.	---|--⌫--|-----|---------|
Tuitparolentde	---|-------|-|
celb eisier.	--|-⌫------|
Bi en dïenttuitq uei a	--⌫-|-----|---|-⌫-|-⌫|
Qu enoiseet bataille niet.	--⌫|----|-|-------|||--|
E t liroislirespontparsan	-⌫|-|---|-|------|--|--|
Biaus nie ́sGauu ains cons el liezman	----|---⌫-|----⌫---|----⌫--⌫---||-|
Sauuemenor et m a	----||---|-|-⌫|
Carie nai delanoise	--|-||-|-|-|----|
AUconsoilgranz p ar tiecort	-|------|----|-⌫--⌫--|---|
Desmellorsbaronsdelac ort.	--|------|-----|-|-|-⌫---|
Liro is Y der s	-|--⌫-|-⌫---⌫|
Qu ipr emiersi fu ape lez.	--⌫|--⌫-----||-|---⌫---|
Apre ́s l irois Cadoualanz	----⌫-|-⌫|---|---------|
Qui moutf u sagesetua i ll an z.	--|---|-⌫|----|-|--⌫-⌫--⌫--⌫-|
K eusetGi rflez i s o nt u e nu	-⌫--|-|--⌫----||-⌫-⌫-|-⌫-⌫-|
Et Amauguinsliroisi fu	-|--------|-|---||-|
autres ba r onsassez	-----|--⌫-⌫--|----|
I otauuec au samassez.	|-|----|--⌫|-------|
Tant fula parole es meue	---|-|-|-----|--⌫---|
Quelarei ̈neiestue n ue.	--|-|---⌫--||--|--⌫-⌫--|
La uan ture	|-⌫---⌫---|
loracon tee	--||---⌫--|
Qu an laforestauoittro ue e	-|-|-|-----|----|---⌫--⌫|
Delcheualierquearmé ui t	--|--------|--|----|--⌫|
Etdelnain felo ne t petit	-|--|---|----⌫|-⌫|----|
Qu idelaco r g ieeot ferue	--⌫|-|-|--⌫-⌫-⌫--|-|----|
S apucele sorla	-⌫|-----|--|-|
ferutoteinsimant	---|--|--------|
Ereceluismou t	---|-|--|---⌫|
leide mant	-----⌫---|
Quiaseü le cheualier	--||---|-|--------|
Porsahont e acroistreouuangier	--|-|----⌫|--------|-|------|
Etdistque repeirie rdeuoit	-|---|--|--------⌫|-----|
Iu s quautie rz	--⌫-⌫-|-|---⌫-|
ior seilpooit.	--|-|-|-----|
Sire fetlareïne	---|--|-|-----|
Antandez un peti ta moi	-------|-|----⌫||--|
Secistbaronlo entmondit	-|---|----|--⌫--|--|--|
Metezcestbe isier	----|---|--⌫----|
I usquau tierziorqu Erec reuaingne.	-⌫---|-|----|--|-|---|---------|
Ni a cel qual i	|||--|-||-⌫|
Et lirois mei ̈smeslotroie.	-|-|---|---⌫----||------|
ERECu asiu anttoteuoie	---|-⌫|---⌫--|---|---|
Lecheuali erqui armezfu	-|-------⌫-|--|----|-|
quilauoitf er u	--||----|-⌫--⌫|
