anceltans quelimostier	-|--|---|--|-|------|
s aioieamenu ses tque soul emant un e	-⌫|---|-----⌫---⌫|--|----⌫----|--⌫|
chose quil	----|-|-|
nauoit nuloir	|----|--|--|
icestesoulechoseliapetisoit auques saioiequar	-----|----|----|-|--------|-----|-|---|---|
dessierro itestreap elezpe resquarce	---------⌫-|----|--⌫---|--⌫--|---|-|
astu nechose	--|-⌫-|----|
qui mo ult plaitarichehome.	--|--⌫--|----||----|---||
tiex estoitro is conuos a uezoyetteil	---|-----|--⌫-|--|--|-⌫--|-|-|---|
entenc io nauoit mes la glorio seconpaig niedescrestiens	------⌫--⌫|----|--|-|------⌫-|-------⌫--|--|--------|
e tl abe no iteessambleedes	-⌫|-⌫|--⌫--⌫--|--------|--|
re l i giousmoine sesto it montacel roicontra irequar il	--⌫-⌫-⌫----|-----⌫|----⌫-|---||--|--|------⌫--|---|-|
estoient douto u t	-------|--|--⌫-⌫|
abandonéadeuseruiret	--------||--|-----|-|
cilaudeaub le et au delitdelmonde.	--|-|-----⌫-|-|-|----|--|----||
mi stren tcelroi	--⌫-----⌫|--|--|
etse s conman de man z	-|--⌫|------⌫--⌫---⌫|
anonchalo iretne penserentfor queala	|--|-----⌫-|-|-|--------|---⌫--||-|
ueluntenostre	------|-----|
segnorihesu criptancuamo rilauoient	-----|----|----|-|-|---⌫|-|------|
miseto te lor entencion eten cu	---|--⌫-|--|--------|-|-|-|
desserroient la mortterriene	-----------|-|---|-------|
poraquer re laparduraubleioie.	--|-----⌫-|-|----------|---||
lorssicon me nc i ere ntmonthardieman ta pro ioi chi er lou	---|-|---⌫--⌫--⌫-⌫---⌫-|---|---------⌫||---⌫---⌫---⌫-|--|
nonnostr esegnoratotlou pu ple etlor	--|-----⌫|-----||--|--|--⌫--|-|--|
ense ignerenta de sp ire	----⌫-------||--⌫--⌫--|
les richesces te rrien esporaq ue rrelauiepardurauble.	--|--------|--⌫-----⌫-|--|--⌫--⌫--|-|--|----------||
u ne g rantpa rtiedou	-⌫-|-⌫---|--⌫---|--|
pupl e e tli auq uantcrur entdesg e ntis homeset des	----⌫|-⌫|-|---⌫---|----⌫--|--|-⌫-⌫---|----|-|--|
se gno r squantil	--⌫---⌫-⌫|----|-|
orentoyrrecordere tcogn eue	----|--|-------|-⌫|----⌫--|
ladefaillan t na tu redetotest e rrie nesc hoses	-|---------⌫|--⌫--⌫-|-|----|-⌫-⌫----⌫--|-⌫----|
etleparmein nanced elauie desc ielssi d e guerpirent	-|-|-------⌫----|-⌫|-|--|--|-⌫---|-|-⌫-⌫---------|
lesten ebresporantrer enlumiere	--|---⌫----|--|-----|-|------|
etde uind rentliunsmoyneetliautre h ermite	-|--⌫----⌫---|-|--|----|-|-|----|-⌫-----|
porle sforez etpo rles	--|--⌫|----|-|--⌫|--|
dess erps.	----⌫---||
quantliroys auenni r	----|-|---|------⌫|
oitces nouelles si f usi	--|--|-------|-|-⌫|-|
enbrasez direetde maute lentqu eilfitcrier	-------||--|-|-|-----⌫---|--⌫|-|--|----|
p ort otesa	-⌫-|-⌫--|-|
te rreque enq ueque l e uquelentr o ueroit	--⌫--|--|-|-⌫----|-⌫-⌫|--|--|--⌫-⌫-----|
crestieinquil f ustcontrei nz	--------|-|-|-⌫--|-------⌫-|
are noi er lafoy	|--⌫---⌫-|-|--|
ih esucript .	--⌫--|----||
et porcequ ecilquial afoy nostre	-|--|-|--⌫|--|--||-⌫|--|-----|
segnorsestoient	-----||-------|
est o i entmi e le g i e ra depart irsilorfitfai re les	---⌫-⌫-⌫--|--⌫|--⌫-⌫-⌫-⌫||------⌫-|-|--|--|---⌫-|--|
p luscruers tormenzquipo u tpo r penseretaut euxt ormanz	-⌫--|-----|------|-||--⌫-⌫|--⌫-⌫-----|-|---⌫--|-⌫-----|
comilfacoite s	--|-|-----|-⌫|
cretieinsmandoi t ilpars es	--------|------⌫|-|--|-⌫-|
letres atouzles princesetle sduys	-----||---|--|------|-|--⌫|---|
etle shauzh omesdes a terrequil	-|--⌫|---|-⌫---|-|-⌫|----|-|-|
lorfeissentancorplus	--|-------|----|---|
griezseilpouoie nt .	----|-|-|------⌫-||
nomm eem ant contreles	----⌫---⌫--|-----|--|
moy nesempristil tei l	---⌫--|------|-|---⌫|
i nestoitnus quitotela menierean seu st	||-----|--|--|---|-|------|-|---⌫-|
recon t er.	-----⌫-⌫-||
porce scho sesfutant seinte crestientez	--|--⌫|---⌫--|-|---|-----|----------|
commeuequeli auqua ntquin epore ntsofrir	------|--|-|-----⌫-|--|-⌫|----⌫-|-----|
les granz torm enz	--|----|----⌫--|
ob eiren t aces desleausconmandemanz	--⌫-----⌫||--|-------|-----------|
liautre se repostrentesmon teignes	-|----|-|---------|-|---⌫------|
fo rezn onmieporcequil dotass ent	--⌫--|-⌫-|--|--|-|-|-|------⌫--|
les tormanzme spor unediuine	--|------|--⌫|--|--|-----|
dispensatio mdes	-----------⌫|--|
maistredeseinteygliselou faso ient	------|-|-----|-----|--|----⌫---|
mes lir eligiousmoynequi	--|-|-⌫-------|----|--|
hardemmentamoientnos trese gnor	---------|------|---⌫--|--⌫---|
uindrentdeuantler oyet le	-------|-----|-|-⌫-|-|-|
repr istrentmo nt	----⌫------|--⌫-|
h ardiemant desadesleaute	-⌫--------|-|-|--------|
etreceurent moultliementtotes lesmani ered etormanz	-|--------|----|------|----|--|----⌫--|-⌫|------|
l or poutfaireporplus tot u enir	-⌫-|---|----|--|---|--|-⌫---|
alaparfeteioiequi l	|-|------|---|-|-⌫|
tantdessierroient .	---|------------||
enicelten sq ueyn defu	-|---|---⌫|-⌫-|--⌫-|-|
ansi grantocultecheuquelifea ul	-|-|----|-----|---|--|-|---⌫-|
nostresegn orifurent detotespa rz	-----|----⌫-||-----|-|----|--⌫-|
debo téet quelimenistredefeloni eanor entia	----⌫--|-|--|-|-------|-|------⌫|-|--⌫--|-|
tant ocizque l aterrene	---|---|--|-⌫|----|-|
soulemant tein te del sa ncdessacr ifices m es	--------|----⌫-|--|--⌫-|--|----⌫-----|-⌫-|
liairs meyme scorrumpuzsiauint queunhauz hon s	-|---|-----⌫|--------|-|----|--|-|---|---⌫|
delaterre leroyauennir	-|-|----|-|--|------|
quipassoittoz les autres	--|------|--|--|-----|
hauz homes degrandescedeb ia ute	---|----|-|--------|-|-⌫--⌫--|
et defo rcequant il	-|-|--⌫--|----|-|
uist lagrant d es leaute ler oy	---|-|----|-⌫--⌫-----|-|-⌫-|
qui si destrusoitlebienetessaucoitloumaulsi	--|-|---------|-|---|-|--------|--|---|-|
quilfas oitma uuai s	-|-|---⌫--|--⌫----⌫|
de morer en	--⌫----|-|
s a conpaign ieacex	-⌫|--------⌫-||--|
quisauuer se uoloient.	--|-----|-|-------||
lor pristc ongieaumondeet	--|----|-⌫----|-|----|-|
asa uainnegloir eetesdeliz	|-|-----|-----⌫|-|-|----|
temporeuxet se n ala	--------|-||-⌫|--|
es d e sserzet se rendi en	-|-⌫-⌫----|-|-|----|-|
uneconpaigni e de moy neseti lue cab andon a	--|---------⌫|-|---⌫--|-|-⌫---⌫|--⌫-----⌫|
soncue r etson cor sau seruise	--|---⌫|-|--|---⌫|-|------|
nostr e segnor fair een geunesenuigileseten orisons	-----⌫|-----|----⌫|-|-----|-|------|-|-|------|
eten autres	-|-|-----|
pe nitancespor quilespurerais	--⌫-------|--|-|-|--------||
a rmedelatenebro ur	-⌫--|-|-|-------⌫-|
dep echie etenluminera idelace lestiaulclarte.	-|-⌫----|-|----------⌫|-|-|--⌫-------|-----||
q uan tli roysqui m o ultlauoitaméet	-⌫---⌫|-|---|--|-⌫-⌫--||----|---|-|
t e n u engrantc hiertesoutces	-⌫-⌫-⌫|-|----|-⌫-----|---|--|
chosessi fu mo ultquero ceux	-----|-|-|--⌫--|-----⌫---|
ensoncuerdece qu ilau oit	-|--|---|-|-|-|-|--⌫--|
am ip erduet	--⌫|-⌫---|-|
si fu assezpl us	-|-|----|--⌫-|
espr isd ir eetde mautelan tue rslescre stiensqu	----⌫-||--⌫|-|-|--------⌫|--⌫-|--|---⌫-----|-|
il nauoitdeuantestéet	-||----|-----|----|-|
si loufist	-|--|---|
t a ntquerr epor lesmo ntei gne s	-⌫-⌫-|-----⌫|--|--|--⌫----⌫---⌫|
desse rzq uec i lquilaloientq uerr el o utrouerent	-----⌫-|-⌫-|-⌫-⌫|--||------|-⌫----⌫|-⌫-⌫|--------|
etamenerent	-|--------|
deuantleroy .	-----|-|--||
etqu ant liroy sleui stansincp oure	-|--⌫--|-|---⌫|-|--⌫-|-----|-⌫---|
et en si a spreuestuereceluquiiadissouloitestre	-|-|-|-⌫---|-------|---|--|----|------|----|
uestuzdesi	-----|-|-|
richer obes en fuettri steset	----|-⌫--||-|-|-|---⌫---|-|
etlidithay	-|-|--|--|
fouseth orsdelsenctu qui estoiessi	---|-|-⌫--|--|---|-|--|------|-|
richeset si re spl andiss e n zet premereinsanm onregn e	-----|-|-|--⌫---⌫------⌫-⌫-⌫|-|---------|-|-⌫-|----⌫|
porquoiestucel e	--|---|-|-|---⌫|
h autescec han giea	-⌫------|-⌫---⌫--||
si g ra ntpourete	-|-⌫--⌫-|------|
eta sigrantuiltequ in asmie	-||-|----|----|--⌫||-|--|
seulemen tmise enob li l amor	--------⌫|---|-|--⌫-||---|
que iauo i eentoyeinstas	--||---⌫-⌫|-|--|---||-|
esdreciezcontre nature	--------|-----|-----|
meym es si que tu as mis	----⌫-|-|--|-|-|--|
a no nchal orf ammeetanfanzet	|--⌫|----⌫-|-⌫---|-|-----|-|
paranzet a mis	-----|-|-⌫--|
p orquoies tucefai t	-⌫-|---|-|-|-|---⌫|
que cudes tu guehe innieranceuque tu	--|----|-|-----⌫-----|-|--|--|-|
asdeguerpi ela creancede n o sdexetlamor	-|--------⌫|-|------|-|-⌫-⌫|--|-||---|
ami s porn e saquelihesu etance	---⌫|--|-⌫|-|---|----|-|-|-|
eslaiss iestoteslesric hescez	-|-----⌫--|----|--|---⌫-----|
terrien es e tla ioiede cestetres douce	-------⌫-|-⌫|-|---|-|----|---|----|
u i epor ceste	-⌫-⌫|--|----|
despite conuersation	------|-----------|
qu ant liserg anz n ostre seg noro utces	--⌫--|-|----⌫--|-⌫----|---⌫--|-⌫-|--|
ch osesoyessil irespon dimoult	--⌫---|---|-|-⌫|------⌫-|----|
hard iementet am ontlie chiere et distroys	----⌫-----|-||-⌫--|--|-----|-|---|---|
uel zdemoi oy r	---⌫|-|--|--⌫|
r aisonilquou ient quetu	-⌫----|-|----⌫---|--|-|
o stexdeton pret oire	-⌫---|-|--|----⌫---|
tesanemis etlorst erespo ndrai	--|-----|-|---|-⌫|-----⌫----|
detotesle scho sesquetum e	-|----|--⌫|---⌫--|--|-|-⌫|
uodrasdemanderquaria	-----|-------|---|-|
tan tcomil isoie nt iene terespondrai	---⌫|--|-||----⌫-|-|-|-|---------|
a c hoseque m euoil lesdemander setu	|-⌫---|--|-⌫|----⌫--|-------|-|-|
neuoilz cefere	-|----|-|---|
semepueztormante ret	-|-|---|--------⌫|-|
occi reet fe rede moi	----⌫-|-|--⌫-|-|--|
ta u el untequ ar	-|-⌫--⌫---|--⌫-|
mesmestres distlimundesast crucifi ezamoi	--|------|---|-|-----|--|-------⌫-||--|
et i ea mondeu	-|-⌫||--|--|
demandali roysquiestientcil	------|-|---|--|------|--|
licouenoit aosterdeson	-|-------||----|-|--|
pr etoire .	--⌫-----||
lis einzhonz li respond icestire et quouetise	-|-⌫---|---|-|-------⌫||--|--|-|--------|
quarces yychose sfurentauconmancemant fete	---|--|-|-----⌫|-----|-|-----------|---|
auocnat ure et po r	---|---⌫--|-|--⌫|
ce qu elessu ntnature xcouientilqu ec hascun sles	-|-|---|--⌫-|------⌫|------|-|--⌫|-⌫------⌫|--|
et q uiseloncnatu reuseroitde	-|-⌫-|-----|----⌫-|------|-|
c esy y choses sicommelibonhommees p e ritel	-⌫-|-⌫|-----|-|----|-|-------|--⌫-⌫-⌫----|
enusentelesnelinui roientmie pointquaril	-|----|---|-|-|---⌫-----|--|----|---|-|
ont couoitisede bienetirede ma u let ces	--|--------|-|---|-|--|-|--⌫-⌫|-|--|
sacord entbi en a n sanble .	|-----⌫--|--⌫-|-⌫-⌫-----||
uosquine uiuezs elon	--|--|-|----|-⌫---|
lesperi st mesdeltoutselonclacharne	|------⌫-|--|--|---|-----|-|---|-|
fonteles se uiuren on	---|---|-|----|-⌫-|
qu al unene sac ordepasa	-|||--|-||--⌫---|--||
einzsont e n uossicontrairesqu e	---|---|-⌫|--|-|---------|--⌫|
ce meismesque	-|------|--|
lunef est l	|--|-⌫--||
a u tredefe t.	-⌫-⌫--|----⌫||
e tcep ouezuousapertementueoirq ua rcouo itise cueure	-⌫|-|-⌫---|---|---------|----|-⌫--⌫|----⌫----|-----|
et esmuetan uos	-|-----|-|--|
delizetirele d est rui t.	----|-|--|-|-⌫---⌫---⌫||
p orcestecontrariete que eleontanuosuos	-⌫-|----|----------|--|--|--|-|--|--|
s ont e lesenemie setne	-⌫--|-⌫--|------⌫|-|-|
uo sf onts e maul non	--⌫|-⌫--|-⌫|---|--|
oros tedonc	-|--⌫-|---|
yy ane mi s et an liu dece s	-|---⌫--⌫|-|-|--|-|--⌫|
yyamo inea uantprud anceetdr oit.	-|---⌫--|-⌫---|----⌫---|-|--⌫--||
quariete di	---|-|-|-|
ostes ireetcouoitise etmet e sauant pr uden ceet	----|--|-|--------|-|---⌫-⌫|----|--⌫----⌫-|-|
droitietedirai ue raiemanttoutes	----|-|-|----|--⌫-------|-----|
lescho se s	--|---⌫--⌫|
que tumedem anderas	--|-|-|---⌫------|
dit liroy ssaiches q ue i eob eiraia	--|-|---⌫|------|-⌫-|-⌫|--⌫----||
taue luntequarie deguerpiraicouoitis eetireetmetrai	-|--⌫----|---|-|----------|--------⌫|-|--|-|-----|
auantpr ude nceet droit .	----|--⌫---⌫--|-|----||
ormediseuremant don	-|-|-|--------|--|
sigrant errorsteui ent quetuaimesm ialz	-|----|-----|-|--⌫--|--|-|----|-⌫---|
les ch osesq ui sont que	--|--⌫---|-⌫-|---|--|
u einne esper ance quecelesq u	-⌫----|-----⌫---|--|----|-⌫|
emtientesmai nset uos esea ulz .	-|----|-|---⌫-|-|--|-|--⌫--||
li seinzhe rmites	-|----|--⌫-----|
lirespondiet	-|-------|-|
tumedemandes	-|-|-------|
le conm ancem antporquoii e de spisles choses temporexet	-|----⌫-----⌫--|--|---|-⌫|--⌫---|--|-----|-------|-|
me s uisdeltoutabandonezescelestiexor escoutez .	-|-⌫--|--|---|--------|-|--------|-|-------||
iadis quantge estoie ieunes s i o i	----|----|-|-----|-----|-⌫|-⌫|
une p arolemoult	--|-⌫----|----|
boneet mont pro fitauble	---|-|---|---⌫-------|
siplentasi	-|-----|-|
ferme mantanmoncuer sla memoire deladiuine	-----⌫---|-|--|----⌫|-|------|-|-|-----|
sema nc equeonques p uisn am	----⌫--⌫|--|-----|-⌫--||-|
poutestreostee siquele	---|----|----|-|-|--|
iestsianracinee	|--|-|--------|
etcreue quel e portean	-|----|-|--⌫|----|-|
moi teilf rust conmetupue sueoir.	--|---|-⌫---|----|-|---⌫|----||
que l eestlauertuzdecelep aro le	---⌫-⌫|--|-|-----|-|---|-⌫---⌫-|
ilsamblece di t aus	-|-----|-|--⌫|--|
f oxquamdoiedespireleschose	-⌫-|-|-|---|------|--|----|
qu i sontausint comme	--⌫|---|-----|----|
s elesnefuse nt mie	|---|-|----⌫-|--|
et celesquineso nt miegarder et aquerre	-|----|--|-|--⌫-|--|-----|-|------|
etausicomme s	-|---|----||
elesfusent.	---|-----||
royssaiche sdeuoir que	---|------⌫|-|---|--|
aitessaié ledouc ordeschosesqui	--|------|-|----⌫-|--|-----|--|
s ontnepuetq uenoistrele naturedeschoses	-⌫--|-|---|-⌫--------|-|-----|--|-----|
qui ne sontmie	--|-|---|--|
etcilqu in es conoitconmen tles	-|--|--⌫||-|-----|------⌫|--|
despiraiil	-------|-|
ces ch osesquisont	--|--⌫---|--|---|
ape laile diu ineparol eleschoses p ar duraubles et	---⌫--|-|---⌫--|-----⌫|--|-----|-⌫--⌫--------|-|
neantchangaublesetleschosesqui	----|----------|-|--|-----|--|
n es o ntmiea pe laele la presente	-⌫|-⌫-⌫-|--|-⌫--⌫-|--|-|-------|
u ie etlesdeliceset	-⌫-|-|--|------|-|
lesdeciuantesperitedece st	--|-------|-------|-|--⌫-|
dexquexch oses	--|---|--⌫---|
la sroyslitiens cuersestmau lemant	--⌫|---|-|----|----|--|---⌫-----|
limienscuer s mei smes en ai este ́	-|----|----⌫|---⌫---|-|-|----⌫|
anuironezauchunefoi zmes	--------|------|---⌫|--|
deum ercileuertuz	--|-⌫---|-|-----|
delaparol eque iet	-|-|-----⌫|--|-||
aiditesurmontai s il ar me de	-|---|--------|-⌫||--⌫-|-|
moi queon q uespuis ne fueu re q u	--|--|--⌫-⌫--|---|-|-|--⌫-|-⌫|
elene lesmeust	--|-||------|
aesliredeyyuoies	|-----|-|-|----|
lapl usdro teetlam elor .	-|--⌫-|---⌫-|-|-|-⌫---||
mestotesuoiescontrestr utunegrant	--|----|----|---------⌫-|--|----|
piecelife sde	----|-|--⌫|-|
p echie a ma panseequ ar li	-⌫----||-|-----|--⌫-|-|
pechiemeten oientenchaitiuoisone tmenoi ent	-----|-|---⌫----|-|-----------|-⌫|-----⌫--|
lie delatal a ntemantdes presa nteschoses ausi	--|-||----⌫-⌫------|--|-----⌫---|-----|---|
conmedeliains de fe rs .	----|-|-----|-|--⌫-||
mesq uantliplo u tala bon tee t	--|-⌫---|-|---⌫-⌫||-|---⌫-|-⌫|
al adebonair etenostre se gno r	|-⌫|--------⌫--|-----|--⌫---⌫|
queilmedeliura st de c ele	--|-|-|-------⌫-|-|-⌫--|
che tiuetes ime confortama pansee po rueintre	---⌫-----|-⌫|-|-------|-|-----|--⌫|------|
dep echie etneou ri	-|-⌫----|-|-|--⌫-|
meseulxque ie coneuse bien de maul	--|---|--|-|------|---|-|---|
l orsesgardaet ui que	-⌫--|------|-|-|--|
totespresan tes chosesne suntqu euanitezet torman zdesp ire	----|------⌫--|-----|-|---|--⌫|------|-|------⌫|----⌫--|
si con me litressaiges	-|---⌫-|-|---|-----|
sa lemonzdit e nses	--⌫-----|--|-⌫|--|
sa rmonz .	--⌫----||
et lors fu	-|---|-|
fai zsalem onsl acouerturede pe chieost eede moncuer	---⌫|-----⌫--|-⌫|--------|-|--⌫---|---⌫-|-|--|---|
etl auertuz de later requi de	-|-⌫|-----|-|-|---⌫-|--|-|
lacorporelcresse es toitseurmisea	-|-------|-----|--⌫---|-------||
mamefudegastee	|--|-|-------|
etlo rsconuiaqu oiiefufa izet	-|--⌫-|----||--⌫-|-|-|--⌫-|-|
couientmonter a mo nfeseur porleseuuresde ses	------|-----||--⌫|-----|--|--|-----|-|--|
conma ndemanz.	-----⌫------||
roys qua ntgefuuenuz a celeuer aie	---|---⌫-|-|-|----||---|---⌫--|
conoisencesideguerpi toteschosesterrie ne se tensinc	---------|-|-------|----|-----|------⌫--⌫|-⌫|-----|
u imon se gnorihesucrista qu ige rent	-⌫|--|--⌫---|----|----||--⌫|-|---|
gra cesetmerci de	---⌫--|-|----|-|
ce quim aigetédela cde misere	-|-|||-|----|-|--⌫|-|-----|
-cestdela poesteau	||--|-|-|-----|-|
tres cru elprincedetenebreset de c esiecle	---|---⌫-|-----|-|-------|-|-|-⌫|-----|
etdece quilm	-|-|-|-|-||
aie nsegne ́l adro ite uoie	-|-⌫------⌫|-⌫|---⌫--|---|
porcu i iepouraien	--|--⌫|-|-----|-|
ces tchai tifd ecorsuuser	---⌫|----⌫--|-⌫|---|----|
conuersati o nd angre.	----------⌫-⌫||----||
etsite di queie n e	-|-|-|-|--|-|-⌫|
ape l e rforsce lubien	---⌫-⌫-⌫|---|--⌫-|---|
quiueraiema nt es tbie n sd untutr es	--|--------⌫-|--⌫|---⌫-⌫|-⌫-|-|--⌫-|
chaitisroysesd esioi ntet desse urez.	------|---|-|-⌫-----⌫-|-|-----⌫---||
deguerpi etsumes dep artidetacom paig n ie quet u trabuche es	-------|-|----|---⌫---|-|-|---⌫----⌫-⌫-|--|-⌫|--------⌫-|
ensiaperte p erdit ionquenos por	-|-|-----|-⌫-----⌫--|--|--|--|
auentureniales i ens auect oi	-------|||----⌫-⌫--|---|-⌫-|
elmond etant perdimesno s denostre	-|----⌫|---|-------|--⌫|-|-----|
ten scarnosnef eim esnuleriensquifust	---⌫|--|--|-|-⌫---⌫-|---|----|--|---|
denosarm es	-|--|---⌫-|
q uetunosbees atolirlou principelbien	-⌫-|-|--|---||----|--|--------|---|
de to uzautres b ien set	-|--⌫-|-----|-⌫---⌫|-|
nosuelzfaire	--|---|----|
deua renoier qu e to uz	--||------|--⌫|--⌫-|
limondesdoitteniragreignordomaigequipuisse	-|-----|---|----||-------|------|--|-----|
aueni retporcenospremeztu henours	-----⌫|-|--|-|--|-----|-|------|
e tr ichesce.	-⌫|-⌫------||
commantgepu is	------|-|--⌫-|
nule gu ise quetuaies	---|--⌫--|--|-|---|
pointdec onoi ss ancedebien entoiqui	----|-|-⌫----⌫--⌫---|-|---|-|--|--|
faizcomparoison antrel amordedeue t	---|----------|----||---|-|--|-⌫|
l a mordomeetlagloire	|-⌫--||--|-|-|-----|
deciel etla gloire	-|---|-|-|-----|
tusoiesencested elea ut ecommantporieinsnosauectoi	-|----|-|----|-⌫----⌫--⌫|------|-------|--|---|--|
boiurenemai ngier	-----|-|---⌫----|
don cnosuientilmi elzrenoie r paranzetami s et	---⌫|--|----|-|--⌫--|------⌫|-----|-|---⌫|-|
fammes et anfanzet quan quenosau ons	-----|-|-----|-|----⌫--|--|--⌫--|
car nosuoionsbien que	--|--|-----|---|--|
mou lt noirs aceluquifist toiettote sbhoses	---⌫-|----||---|--|---|--|-|----⌫|-----|
ceestliuerais dexq uifist leciel	-|--|-|-----|--|-⌫-|---|-|---|
etla t er re por sa parolee t qui	-|-|-⌫--⌫-|--|-|-----|-⌫|--|
form ahom easespropre s m e ins e tloufist	----⌫|---⌫||--|------⌫|-⌫-⌫--|-⌫|--|---|
t ot es les chos esqui sont etli donaisi	-⌫--⌫-|--|----⌫-|--|---|-|-|----|-|
rea lsiegequilo umistauparad is.	---⌫|----|--|--⌫|---|-|-----⌫-||
me slideables	--⌫|-|------|
lou decustpor	--|-----|--|
demalu aiseco uo itis eetporce	-|----⌫---|--⌫--⌫----⌫|-|--|-|
p erdi nostre p rem ereinsperes les gran zrichescesquedexli	-⌫---|-----|-⌫---⌫-----|----|--|----⌫|--------|--|--|-|
auoitd o ne escar cil	----|-⌫-⌫--⌫-|--|--|
q uideuantauoit tantesté amezetenorezde deu	-⌫-|-----|----|---|----|---|-|-----|-|--|
deuint sitreschetis que	-----|-|---|-----|--|
en co re s endeust	--⌫--⌫--⌫|-|----|
t ouzlimondespl orer.	-⌫--|-|-----|--⌫---||
ueraix dexquenosauoitc riezet	-----|--|--|--|----|-⌫---|-|
form ezdeuint por nos honsenterreet	----⌫-|-----|--|--|---|-|----|-|
sofripo rnospec hiezmortenla	----|--⌫|--|---⌫---|---|-|-|
c ro i zetnosre menaipar	-⌫--⌫-⌫|-|--|--⌫----|--|
samise ri cordelai d onnos esti onschau porinobe die nce	-|----⌫--⌫----|--|-⌫-|--|----⌫--|---|--|-----⌫---⌫--|
etnosfistencoresdi gnesdegreg nor	-|--|---|------|--⌫---|-|----⌫--|
en or qu enosnaui ons deuantest é .	--⌫-|--⌫|--||---⌫--|-----|---⌫-||
roycilquisigra nt	--|--|--|-|---⌫-|
bon tenosfistes	---⌫-|--|---|-|
tu deguerpicartues pleins desi	-|-------|--|-|-|-----|-|-|
g r antdesuieriequetuapelesde les ydolesdef ust	-⌫-⌫--|--------|--|-|-----|-|--|-----|-|-⌫--|
oude pierre	-|-|-----|
t ant seulementachois o n det o ndam pnemant einz moinest ouz ces	-⌫--|--------|------⌫-⌫|-|-⌫-⌫|---⌫------|---|-----|-⌫--|--|
a dampnation quiobeissent ates	|---------|--|--------||--|
commendeman z .	-----------⌫||
mes ieuoi lbie nquet usaichesque	--|-|---⌫|---⌫|--|-⌫|------|--|
moi n imenras tupas	--|||-----|-|--|
qu eien obeiraimiea	--⌫|-||------|--||
toi nen aure compai gnie tantc onme	--|-||---|------⌫---|---|-⌫---|
tu soiesen	-|----|-|
ceste deslea ut enes setu	----|------⌫--⌫|--|-|-|
medeuoies faire d euorer	-|------|----|-⌫-----|
abestes sauaiges	|-----|-------|
ouocirre por autret or ment	-|-----|--|----|-⌫--⌫---|
dous t pointla mor t conm e	----⌫|----|-|---⌫|----⌫|
cilq uibienconoitlaua ni tedec est siec le q ua r	--|-⌫-|---|-----|-|--⌫--⌫-|-|-⌫--|----⌫-|-⌫--⌫|
quel c h ose ilai profitabl es	---|-⌫-⌫--|-|-|---------⌫-|
cert esnuleriens einznia	----⌫-|---|----|---||||
sechaitiu et enon etdouleur.	-|-------⌫--⌫|--|-|------||
