quipetitseme petitq uialt	--|----|---|----|-⌫----|
quesa mereapris	--|-|---|----|
et li me st r esdescheualiers	-|-|--⌫--⌫-⌫-|--|---------|
leuo itet dit	-|--⌫-|-|--|
est ezarrie rs	---⌫-|-----⌫-|
quaterre est de peor	-||----|--|-|---|
ciluas lezqui nos	--|---⌫--|--|--|
se nosa lions	-|--|-⌫----|
tui tansan b le	---⌫|-----⌫-⌫-|
uersluiilauroitcemesan ble	---|--|-|-----|-|-|---⌫--|
si g rantp eorq ueil	-|-⌫---|-⌫--|-⌫-|-|
ne re spondre ne	-|--⌫------|-|
mep orroit	-|-⌫-----|
arien queieli demandasse	|---|--|-|-|---------|
arestentet	-------|-|
cilsan passe	--||-|----|
ue rsle uallet granta leure	--⌫-|-|-----|----|-⌫----|
sil esalueetaseure	-|-⌫|----|-|-----|
et ditu a lleznaies	-|--|-⌫-⌫---||---|
nonaigeparlesalueor	--|-|-|--|-|------|
fetli uasle zan c ui	--|-|-----⌫|-|-⌫-|
estes uosdexnenil par foi	----|--|--|----|--|--|
que s tesuos donsc heualierssui	-|-⌫-⌫--|--|---|-⌫--------|--|
cheualierneco nui	--------|-|--⌫--|
fetliuallez ne	--|-|-----|-|
nonq ue sm e s p arlernan oi	|---⌫--⌫|-⌫-⌫|-⌫----||-|-|
mes uosestesplusbiax	--|--|----|---|---|
carf ussei eorautretex	--|-⌫---|-⌫|-|-------|
ensiluisanz	---|------|
et e nsifez	-|-⌫--|--|
acestm otpres	|---|-⌫-|---|
deluisesttrez	-|--||--|---|
licheua lier s si lidemande	-|-----⌫----⌫|-|-|------|
uei s tuhuianceste lan de	---⌫|-|--|-|----|---⌫-|
yyche ualiers ett rois puceles	-|---⌫------|-|-⌫---|------|
liuaslez aautre snoueles	-|-----||-----⌫|------|
anquerreetdem an derantant	-------|-|---⌫--⌫--|-----|
asala ncesamainlitan t	|-|--⌫--|-|---|-|---⌫|
etditbiaxsi rechiers	-|--|---|--⌫-|-----|
uosquiaueznon	--|--|---|--|
cheualiers	---------|
queesticequeuos tenez	--|--|--|--|--|----|
orsuiiemout	-|--|-|---|
bienase n ez	---|---⌫-⌫-|
fet li cheualiers	--|-|---------|
iecuidoi e biax dolzam is	-|------⌫|---|---|--⌫-|
noueles a panredetoi	------|-⌫----|-|--|
sa uoirdemoi	--⌫---|-|--|
ielte d ir aice	-||-|-⌫--⌫-|-|
e stmalance	-⌫-|-|----|
fet ilqu an la	--|-|-|-|-|
iefazm es iaueloz	-|--|-⌫-|------|
neniluas le ztu estrops oz	----|---⌫--⌫|-|-|---|-⌫-|
e inzan fiert an	-⌫--|-|----|-|
totdemenois	--|-------|
do ncualtmi al zli unsde	--⌫-|---|--⌫--⌫|-|--|-|
iaue lozqueuosuee zci	----⌫--|--|--|---⌫|-|
carquanq ue ie uuel	--|-----⌫-|-|---|
oisiaxetbestes abesoing	-----|-|-----||------|
etsil esoci det a ntloi n g	-|-|-⌫-|--|-|-⌫-⌫-|---⌫-⌫|
comlan porroitunb ozontrer e	--|--|------|-|-⌫---|----⌫|
uaslezde cenaigeque fere	-----|-|-||-|-|--|---|
mesdescheualiersm eres pont	--|--|---------|-⌫|---⌫---|
di moi setusezouil son t	-|--|-|-|--|-|-|---⌫|
etles puce l esueistu	-|--|----⌫-⌫-|---|-|
liuas lezau pandele sc u	-|---⌫--|-|--|-||-⌫--⌫|
leprantet d it	-|----|-|-⌫-|
toten ape rt	--|-|---⌫-|
ceque estetde coiuoss ert	-|--|--|-|-|--|--|-⌫--|
uasle zfeti l ce est abez	-----⌫|--|-⌫|-|--|---|
quana ltresnouel esmem ez	-|-|-⌫----|-----⌫-|-|-⌫-|
q ue ienetequierne	-⌫-|-|-|-|----|-|
ie cuidoie se dexmama nt	-|------|-|--||---⌫-|
que tun oueles	--|-|-⌫-----|
medeisse s	-|------⌫|
einzquedemoil esaprei ss es	------|-|--|-⌫-|-----⌫--⌫-|
ettuuiaxqu e ieles tapraingne	-|-|---|--⌫|-|--||--------|
ieltedir aicom an t quilpraigne	-||-|---⌫-|---⌫--⌫-⌫-|-|------|
c ara t oiuolantiersm	-⌫-||-⌫-|---------||
escuz anon cequeie	----||--|-|--|-|
escuz anonuoi refet	----||--|---⌫-|--|
neledoimie	-|-|--|--|
car ilmest tan t	--|-||--|---⌫|
d e bonefoi	-⌫|---|--|
que senuslanc e	--|-|--|----⌫|
ancontr etoz lesc ossetret	-------⌫|--|--|-⌫-|-|---|
liseruisesquil mefet	-|-------|-|-|-|--|
ata ntcilquifurenta rriere	---⌫-|--|--|-----|-⌫-----|
san uindrent tote la	|-|-------|---|-|
uerslorsei gnort restotlep as	---|--|---⌫---|-⌫-----|-|-⌫-|
sili d ienteneslepas	-|-|-⌫---|--------|
uos dit cilgalois	--|--|--|-----|
neset mi etotes lesl ois	-|--|--⌫|----|--|-⌫--|
fetli siressedexmamant	--|-|----|-|--||----|
quariennuleque	-||---|---|--|
ne respontil onq ue sadroit	-|------|-|---⌫--⌫||----|
e inzdemand edequanq uiluoit	-⌫--|------⌫|-|-----⌫|-|---|
comantan one tquan	-----||-⌫-|-⌫|-|-|
siresachiezbi enantreset	---|------|--⌫-|-------|
queg alois sunttuitparna ture	--|-⌫----|---|---|--|--⌫---|
plus fol queb e stes anpasture	---|--|--|-⌫-⌫---|-|------|
cistesta us ico m unebeste	---|--|-⌫--⌫|--⌫|--|----|
foses t quidelez luisareste	--|--⌫|--|----|--||-----|
salamuseneuia l tmuse r	||-|---|-|---⌫-⌫|----⌫|
etleta ns anfolieuser	-|-|--⌫-|-|----|---|
nesai f etil	-|--|-⌫-|-|
se dex meuoie	-|--|-|---|
ei nzques oiemis	--⌫----|-⌫--|--|
quanqueiluoldr alid irai	------|-|-----⌫|-|-⌫---|
iaaut rement	-|---⌫-----|
n an partira i	|-|-------⌫|
lorslidem a ndederechief	---|-|---⌫-⌫--|--------|
uaslezfe t il net esoit grie f	-----|--⌫|-|-|-⌫|---|----⌫|
mes desyycheualiers m edi	--|--|-|---------|-⌫|-|
pu ce les au tres i	--⌫--⌫--|--⌫----⌫|
s elesanc o ntrasneueis	-⌫|--|---⌫-⌫----|-|---|
etliuaslezlete no it p ris	-|-|-----|-|--⌫--⌫-|-⌫--|
aupandel hauberc siletire	-|--|-||------|-|-|---|
orme dites	-|-|----|
fet il biau	--|-|---|
ques tcequeuosauezues tu	-|--⌫|-|--|--|---|---⌫-|
ua sl ezfe tildon nese ztu	--⌫--⌫-|--⌫|-|--|-|--⌫|-|
ie nonu aslezc	-|--|-⌫----||
est mes haubers	--|--|------|
sest aus i pesanzcome fers	|--|---⌫|-----|---|---|
feti lnesa i ierien	--|-⌫|-|--⌫|-|---|
mes moutest biaxs e dexme salt	--|---|--|---|-⌫|--|-|---|
fetes uos etque u os	----|--|-|--|-⌫-|
uaslezc esta dire	-----||--||---|
seu oloiesamoilancier	-|-⌫-----||--|------|
iauel oz nesaietet raire	-----⌫-|-|-----|-⌫----|
porroie snul malfaire	-------⌫|--|--|----|
danzcheualiers de texhaubers	---|---------|-|--|------|
gart d ex lesbiches	---|-⌫-|--|-----|
etles cers	-|--|---|
que n ulocirrenan	--|-⌫-|-----||-|
nei ames apre snecorroie	-|-⌫---|----⌫|-|------|
etli cheu aliers	-|-|----⌫-----|
uaslezse dam edex	-----|-|---⌫---|
setu mesezdirenouel es	-|-|-|--|---|-----⌫-|
des cheuali ers etdespuceles	--|-------⌫--|-|--|------|
qui petitfu se nez	--|----|-|--⌫--|
lidistf ustesuosens i	-|---|-⌫----|--|---⌫|
nenil uaslez ce ne	----|-----|-|-|
puetes tre	---|--⌫--|
q u ai nsipoistnuleriens nestre	-⌫|--⌫--|----|---|----|-----|
quiuosatornadoncensi	--|--|-----|---|---|
uasl ez ietedirai bien qui	----⌫-|-|-|----|---|--|
ditesledoncm out uolantiers	----|-|---|-⌫--|---------|
miea ncor yyio rsantiers	--|-⌫---|-|--⌫-|------|
cesthernois	---|------|
liroisartusqui madoba	-|---|----|--||----|
mesorme r edi	--|-|-|-⌫--|
quedeuindrent	--|---------|
li cheualier qui parc iuindrent	-|--------|--|--|-⌫|-------|
quile syypuce lescon duient	--|--⌫|-|----⌫--|---⌫-----|
uont il le pasoui l	---|-|-|--|-|-⌫|
sanfuie nt	|-|----⌫-|
etilditsireoresgardez	-|-|--|---|-|-------|
cel plushautboisque uosueez	--|---|---|---|--|--|---|
qui celem ontaigneauiron e	--|---|-⌫-------|------⌫|
lasontli destroit de ualdone	-|---|-|-------|-|------|
etqu estdecefetilbi au	-|-|--|-|-|--|-|--⌫-|
la sontlihercheormamere	-|---|-|-------|-|---|
qu isesterresh e r chentete rent	--⌫|--|-----|-⌫-⌫-⌫----|-|-⌫---|
etsecesgen zi	-|-|--|---⌫||
trespasserent	------------|
s il l es u irent ill ed iro nt	|-|-⌫-|-⌫----|-|-⌫|-⌫---⌫-|
etild ientqu	-|-|-⌫---|-|
auoec l ui se illesi mainne	----|-⌫-|-|-|--||-----|
iusqua cesqui	----||--|--|
herchentlauainne	-------||------|
liu asle zprantson	-|-⌫----⌫|----|--|
la ou l i her cheor	-|-|-⌫|---⌫----|
he rcho ie nt les terresarees	--⌫----⌫--⌫-|--|-----|----|
ou lesauein nessontsemees	-|--|-----⌫--|---|-----|
et quant ciluirent l o rse i gnor	-|----|--|-----|-⌫-⌫|--⌫-⌫---|
sitranble renttuit depeor	-|-------⌫---|---|-|---|
etsa ue z po r	-|--⌫--⌫|--⌫|
co i il lefirent	--⌫|-|-|-----|
por lescheualiers	--|--|---------|
q ueiluirent	-⌫-|-|-----|
quiauoecluiarmé uenoi ent	--|----|--|----|-----⌫--|
quebiensoren t sillia uoient	--|---|-----⌫||-|-|-⌫-----|
lo raf er e	--⌫|--⌫--⌫|
d itet lor estre	-⌫-|-|--|----|
queil uoldro itcheualierse stre	--|-|------⌫-|---------|-⌫---|
mereanistr oi td elsan	---|-|----⌫--⌫|-⌫-|--|
quedest orner lecui doit	--|----⌫----|-|---⌫---|
queiach eualierne ueist	--|-|--⌫------|-|----|
nelorafe re nap reist	-|--|---⌫-||--⌫----|
etliu aslezdist as bouiers	-|-|-⌫----|---|-|------|
uei st esuosyy cheualie rs	---⌫--⌫-|--|-|--------⌫-|
et yypucele sc ipasse r	-|-|------⌫|-⌫|-----⌫|
ilnefinerenthui d	-|-|-------|--||
pa r cesforezfon tli bouier	--⌫|--|----|---⌫|-|-----|
et liual leza u	-|-|---⌫--|-⌫|
cheual ier	------⌫--|
quitantauoit al ui parlé	--|---|----||-⌫-|-----|
distsirepa rcisont passé	---|---|--⌫|-|---|-----|
licheualieretlespuceles	-|--------|-|--|------|
mesor meredite snoueles	--|-|-|------⌫|------|
delroi qu iles	--|--|--⌫|--|
cheualiers fet	---------|--|
et leleuou il	-|-|--|-|-|
uas lez fetildir e teuuel	---⌫--|--|-|---⌫|-|---|
queli roisseiorneac arduel	--|-|---|------||-⌫-----|
ancorquintior	----|----|--|
qu eli rois ierta sei or	--⌫|-|---||--||---⌫-|
que ieifuiet sile	--|-||--|-|-|-|
et set uneltrueuesiqui	-|-|-⌫|-||------|---|
bie niertquile tansei g nera	---⌫|---|--|-||-----⌫-⌫---|
iasi de st ornezne	-|-|--⌫--⌫----|-|
qu etula nan oies a n seign es	--⌫|-|-||-|---|-⌫-⌫-----⌫-|
quetum anseigne s	--|-||--------⌫|
t apelerai	|-------|
sir efetilie	---⌫|--|-|-|
l uo sdirai	|--⌫|----|
biaxfil zbiaxfilzasores	---|---⌫|---|---|-|---|
iecuit bien quetuas	-|---|---|--|-|-|
unautrenonsi reparfoi	-|----|--|--⌫-|--|--|
i ainonbiaufre re b ien	|-|--|---|---⌫-|-⌫--|
tu meuialsdire	-|-|----|---|
ton dr oit non	--|--⌫--|--|
uoldraigesauoir	------|-|-----|
sirefe t ilbienuospuisdire	---|--⌫|-|---|--|---|---|
quamondroitn onainonbiau	-||--|----|-⌫-|-|--|---|
si maistdexc ia	-||---|--|-⌫||
as an tupl us	-|-|-|--⌫-|
cer tes plusnanoi	---⌫--|---||-|-|
dex meruoilles o i	--|---------|-⌫|
les graigno rs que io isse mes	--|-------⌫-|--||-⌫---|--|
ne necuitqueioieiames	-|-|---|--||--|----|
t an tost li cheualierssanpar t	-⌫--⌫---|-|---------||-|---⌫|
les granzgalozc uimoutfuta rt	--|----|----|-⌫-|---|-|--⌫-|
qu i le ust lesautr esatainz	-|-⌫|-⌫--|--|----⌫-|-----|
etliuasleznesest	-|-|-----|-||--|
de r etornera son menoir	-|-⌫------||--|-----|
o usa mere dolant et noir	-⌫|-|---|-----|-|---|
auoitle cu erpors ademore	----|-|--⌫-|--|-⌫|-----|
grantioie an otaicel eor e	----|---|-|-||----⌫|--⌫|
qu ele leuoi tnep as ne	-|--|-|---⌫|-|-⌫-|-|
c elerlaioiequel eanot	-⌫---|-|---|-|--⌫|-|-|
c ar co memere	-⌫-|--⌫-|---|
quimo u tainme	--|--⌫-⌫|----|
cortc ontre lui	---|-⌫----|--|
etsi l e clainme	-|-|-⌫|------|
biaxfilzbiaxfilz plus	---|---|---|---|---|
bi a xfil z	--⌫-⌫|---⌫|
este ́destroiz	----⌫|-------|
mesc uers poruostredem oree	--|-⌫---|--|-----|---⌫---|
deduelaiestéacoree	-|---|-|----|-----|
si queparpomo rte nesui	-|--|--|-|--⌫--|-|--|
ouauez uost antestéhui	-|---|--|-⌫--|----|--|
oudameiel euosdirai	-|---|-|-⌫|--|----|
moutb ie nque iananman tira i	---|-⌫--⌫|--|-||-|---⌫----⌫|
que ieaimoutgran ti oi eeue	--|-|-|---|----⌫|-⌫--⌫|--|
dune chose que iaiueue	|--|----|--||-|---|
m e renesol iez uos	-⌫-⌫-|-|---⌫--|--|
quelieng edeunos tre sire	--|-|---⌫|--|---⌫--|---|
sont si tre s bel	---|-|---⌫|--|
conq uesnature	|---⌫--|-----|
nefist sibele cria ture	-|---|-|---|----⌫---|
nel mondena si belerien	|-|----|||-|---|---|
biax f ilz a ncorle	---|-⌫--|-⌫---|-|
ie ldisporu oiret	-||--|--|-⌫--|-|
d ianc o res	-⌫|---⌫-⌫--|
teis iezmereneuigeores	----⌫--|---|-|-|-|---|
les plus bele s choses qui son t	--|---|----⌫|-----|--|---⌫|
quiparlaga ste	--|--|-|--⌫--|
forestuont	-----|---|
ilsont plusbelsi comge cuit	-|---|---|--|-|--|-|---|
quedexne que siengetuit	--|--|-|--|-|---|---|
lamereantr ese sb razle	-|---|----⌫|--⌫|-⌫--|-|
etditbiax f ilz	-|--|---|-⌫--|
a deu terant	|--|-|---|
quemoutai gran t p eorde toi	--|---|-|----⌫|-⌫--|-|--|
tu as ueu si	-|-|--|-|
comiec roi	--|-|-⌫--|
lesengesdonla	--|----|--|-|
gent seplaign ent	---|-|------⌫--|
quioc ientquan quil	--|--⌫---|----⌫-|-|
uo irnonai merenon	--⌫-|--|-|---|--|
cheualier dientquilont non	--------|----|-|-|--|--|
lamere se pasmea cestmot	-|---|-|----||---|--|
qa ntch e ual ier no merlio t	--⌫-|--⌫-⌫---⌫--|--⌫--|-|-⌫|
elefu redrecie e	--|-|--------⌫|
si dist c om	-|---|-⌫-|
f amecorr e ciee	-⌫--|----⌫-⌫---|
ha l assec o m	-|-⌫---|-⌫-⌫|
suimalbaillie	--|---------|
bia xd ol z filzd echeualerie	---⌫|-⌫--⌫|---|-⌫|---------|
uoscuidoie	--|------|
sibiengarder	-|---|-----|
queiananoissiez parler	--|-||-|------|-----|
neque ianul	-|--|-|--|
n a n ueiss iez	|-⌫|-----⌫--|
ch eualiersestre deussie z	--⌫-------|----|-------⌫|
biax f ilzsedamed eupleu st	---|-⌫--|-|-----⌫-|----⌫-|
queu ostrepereuos eust	--|-⌫----|---|--|---|
gardé etuoz a utresamis	-----|-|--|-⌫----|---|
no tcheualier de	|-⌫|--------|-|
s iha utp ris	-⌫|--⌫-|-⌫--|
tantredoté	---|------|
bi axfilzcomuostreperesfu	--⌫-|---|--|-----|----|-|
antoteslesisl esdemer	-|----|--|---⌫-|-|--|
deceuospoez bien	-|-|--|---|---|
queuos ne dech eezd erien	--|--|-|----⌫--|-⌫|---|
linagenedelmien	-----|-|--|---|
que ie fuidecheualiers	--|-|--|-|---------|
des mellors de ce ste contree	--|------|-|--⌫--|------|
meillor delmien anmona age	------|--|---|-|--|-⌫--|
meslimellorsont	--|-|-----|---|
sestbien al plus orsleus	|--|---|-|----⌫--|---|
quel esmes cheances	--|-⌫-|---⌫-------|
asprodomesquise	-|-------|--|-|
mainti enent	------⌫----|
agra ntenoret an proes ce	|---⌫-|---|-|-|-----⌫-|
maluestie zhonte neperesce	---------⌫|----|-|------|
pascarele nepuet	--|--|--|-|---|
mesles bonsdeche o ire stuet	--|--|---|-----⌫-⌫-|-⌫----|
uostre pere ssin e ls auez	-----|----⌫|-|-⌫||-⌫---|
fuparmiles	-|----|--|
ianbe snau rez	-----⌫|---⌫--|
si queilmahaignadelcors	-|--|-|-------|--|---|
sag ran zterr e se sgranztresors	-|-⌫---⌫|----⌫|--⌫|----|------|
queilauo it	--|-|---⌫-|
comeprodom	---|-----|
alatota perdicion	--|--||--------|
si cheiangrantpourete	-|---|-|----|------|
apouri etdeserité	-----|-|--------|
etessi lli éfurent atort	-|----⌫---⌫-|-----||---|
liprodomeapres la mort	-|------|----|-|---|
ut herpandra gon quirois fu	--⌫---------⌫--|--|---|-|
et pereslebonroi a rt u	-|----|-|--|--|-⌫--⌫|
l est erresfurentessilliees	-⌫-|-⌫----|-----|---------|
etles po ur e sgenz auill iees	-|--|--⌫--⌫-⌫|---|-----⌫---|
si sanfoiqu i fo ir	-||-|--|--⌫|--⌫-|
uostreper esce stmanoirot	-----|---⌫-|--⌫-|-----|-|
icianceste forest gaste	--|-|----|-----|----|
ne potf oirmes a granthaste	-|--|-⌫--|--||----|----|
anl itiereaporter sefist	-|-⌫-----|------|-|---|
quaillorsne	-|------|-|
etuosquipetizesteiez	-|--|--|----|------|
y y mo u t b iaxfreresau eiez	-⌫|--⌫-⌫|-⌫--|-----|--⌫---|
pe tizeteie zaleitanz	--⌫--|-----⌫|-------|
poau eiezplusd e yyanz	-|--⌫---|---|-⌫|-|--|
q uantgrant furentuost redui frere	-⌫---|----|-----|----⌫-|--|----|
consoil lo r	------|--⌫|
alerentayyc or zreax	------||-|-⌫--⌫|---|
porau oi rarmes et cheuax	--|--⌫--⌫|----|-|-----|
