map aineme traiet	-|-⌫---|--⌫---|-|
le n en deuro i t uiurelonctens	--⌫|-|-----⌫-⌫|----|---|---|
et enu in et en	-|-|-⌫-|-|-|
uiandec aresmel	-----|-⌫------|
por une nuitauoir sa	--|--|---|----|-|
ci n a quenosyyquinos oie	-|||--|--|-|--|--|--|
cerespondil eforestier	-|-------|-⌫|--------|
quiuorroit	--|------|
sabou c hebaisie r	-|---⌫-⌫-|------⌫|
len endeuroit	--|-|------|
soffrir la mort	------|-|---|
dist l iprestres	---|-⌫|-------|
uosaueztort	--|---|---|
queporunefemed ecoi u re	--|--|--|---|-⌫----⌫-⌫-|
tant g euneretmortrecoiure	---|-⌫----|-|---|-------|
mie s e in e	--|-⌫-⌫--⌫|
chose af aire	----||-⌫---|
aautrec h o sec oui e nt	|----|-⌫-⌫-⌫-|-⌫---⌫-⌫-|
aceusquisenuuelent aidier	|---|--||-|------|-----|
elen en uelt nu les co uter	--||-|---|--⌫|--⌫--⌫---|
quide luiseue lt	--|-|--|-|--⌫-|
e ntrem etre	-⌫-----⌫---|
desonchateli couient	-|--|-----||------|
t antquebesoig pouerteoufaim	-⌫-----|-----|------|-|---|
lafaceuenir	-|---|----|
fousestquiautrement se p ain e	---|--|--|--------|-|-⌫---⌫|
metonsla enmalese maine	-----|-|-|---|--⌫----|
oroe zque l conseildeprestr e	-|--⌫|---⌫|------|-|------⌫|
p orleu inquilefaitfol estre	-⌫-|-|-⌫-|--|-|---|--|----|
etdi tas esyycompaignons	-|--⌫||-⌫-|-|----------|
oresco utezq uenos ferons	-|----⌫---|-⌫-|--|-----|
ne somes nosassezpuissanz	-|----|--|----|-------|
poranienterd ant cou tanz	--|-------|-⌫--|---⌫---|
primes d eca etp uis del a	-----|-⌫--|-|-⌫--|---⌫|
aitquisen feindra	--|--||-|------|
ce respontch asc u n	-|------|--⌫---⌫-⌫|
endroitsoi	------|--|
or soioncompaignontuitroi	-|----|---------|--|---|
bi enp oons	--⌫-|-⌫---|
compaigniermarchie	----------|------|
a icestmots ont atachié	|----|--|-⌫--|-------|
sise departen t de l	-|-|--------⌫|-||
mais sirecoutant n ensotmot	---|---|------||-|--|--|
q uelenliait cest	-⌫-|--|-|--|---|
plet basti	---|----|
zzdiemaine auinta insi	-|-------|----|-⌫---|
prouoires sermon a	--------|------⌫|
contresonmos tierregarda	-----|--|---⌫---|------|
si re co st antuitdeuantsoi	--⌫-|--⌫--⌫--|--|-----|--|
d ist p asen requoi	-⌫--|-⌫-|-|-----|
maissi haltque	---|-|---|--|
ent endir en t	---⌫-----⌫--⌫|
tuitcilquisainteyglise	---|--|--|-----|-----|
emp ir ent	---⌫--⌫--|
sontded amedieudesseu r ez	---|-|-⌫------|------⌫-⌫-|
sei gnoretdames escoutez	---⌫---|-|----|-------|
uezlada ntcoutanzd uhamel	--|-|--⌫-|------|-⌫|----|
quie stb aron	--|-⌫-|-⌫---|
dame isabel	---|-----|
il a es pouseesacomere	-||--⌫-----|-|-----|
siestbiendroizquillecompere	-|--|---|----|-|-|-|------|
si recoutanzissiezuosent	--⌫-|------|-----|--|--|
horsdumostie rdantrecez	---|-|------⌫||----|--|
congieuosdoig	-----|--|---|
de cestyg lise	-|---|--⌫---|
iln iau rachantéseruise	-|||--⌫-|------|------|
ta ntcomcaienzseiorne re z	--⌫-|--|-----|-------⌫--⌫|
lorsfucoutanz	---|-|------|
tozabosmez	--|------|
queliprestresli dittelhonte	--|-|-------|-|--|--|----|
t antfuesbahizpor la h onte	-⌫--|-|------|--|-|-⌫---|
qu eilne set quildoie	--⌫|-|-|--|-|-|---|
palesdescolo rezplai nsd ire	----|-------⌫--|----⌫-||--|
most ier issuz	----⌫--|----|
a u prestreest	-⌫|------|--|
et quant lamess e fu	-|----|-|----⌫|-|
lipr e st res uint as onostel	-|--⌫-⌫--⌫--|---||-⌫-|----|
dantcou tanzqui n atendoitel	---|---⌫---|--||-------|-|
liesta l enc ontre	-|--|||---⌫----|
fuideciuilains	--|-|-|------|
malostru z	--------⌫|
d ist liprestre s ceneualt riens	-⌫--|-|-------⌫|-|-|---|----|
geseraiportoi tozraiens	-|----|--|--|--|-----|
ai soffertauoltire	-|------|-------|
p or amor di eumercizbea us	-⌫-|---|--⌫-|-----|---⌫-|
coutanz donez du mie n	------|----|-|---⌫|
alarceues queou au do ien	||-------⌫--|-|-|--⌫--|
por fa ire moiquite clam er	--|--⌫--|--|----|----⌫-|
e tqueu old r oiestud oner	-⌫|--|-⌫---⌫-⌫---|-|-⌫---|
sir e yyliuresuos	---⌫|-|-----|--|
aqua ntpaierertdilemoi	|---⌫-|----|--|-|-|--|
de denz merquedi	--⌫---|-------|
t enezma mein geluo sa ff i	-⌫---|-|---|-||--⌫|-⌫--⌫|
o r p ense doncdel	-⌫|-⌫---|---|-||
aq uit e r	--⌫---⌫-⌫|
setupue z portant	-|-|---⌫|--|---|
esch a p er	----⌫-⌫-⌫-|
dieustauradon ee	----||---|---⌫-|
atantsirecouta nteschape	----|---|-----⌫-|------|
s iestasonos teluenu	-⌫|--||--|--⌫--|---|
etquant sa fe mel otueu	-|----|-|--⌫-||-|--|
biens otque	---|-⌫-|--|
il fuenchantez	-|-|--------|
sesbraz liaaucol plaiez	--|---|-||-|--|-----|
quest cedist elemesamis	-|--|-|---|--|--|---|
suibaillis	--|------|
ayyliu resmamis	|-|---⌫--|||--|
le prestre	-|------|
se nosuolon s pl us en sanbleestr e	-|--|-----⌫|--⌫-|--⌫-----|----⌫|
uosq uar il nose n nu ie	--|-⌫--|-|--|-⌫-⌫--⌫-|
siseroizdemoi departie	-|-----|-|--|-------|
q uelconseilen poronnosprandr e	-⌫--|------|-|----|--|------⌫|
nesaiq ui li	-|--|-⌫-|-|
afetentendre	|--|-------|
queuos e s tiez macommere	--|--|-⌫-⌫---|-|------|
neuoschalt faiteleb eausfrer e	-|--|----|---|--|-⌫---|----⌫|
neplus quepo rzzoe f	-|---|--|--⌫|-|--⌫|
plu sauonnosdeniersque paille	---⌫|---|--|------|--|-----|
sen do n ons y yliur esou	|-|--⌫-⌫--|-⌫|----⌫-|-|
b ien sa idonc	-⌫--|--⌫|---|
cestech ose uint	----|--⌫--|---|
neuos enchaille	-|--|-|------|
acorrec ie r	|------⌫--⌫|
maisuen ez	---|---⌫-|
l iementmengier	-⌫-----|------|
atant sassistrenterr aument	----||---------|---⌫-----|
mais n o nt	---||-⌫-|
pasmen giélongem ent	--|---⌫---|------⌫--|
ezuosleseria ntaup reuost	-|--|-|-----⌫-|-|-⌫-----|
le uezsusdant coutantmolttost	--⌫--|--|---|------|---|---|
faitil siu enezalacort	---|-|-|-⌫---||-|---|
loisirquilsatort	-----|-|-||----|
fa it la fe mece	--⌫-|-|--⌫-|-|
quep u etes tre	--|-⌫-⌫-|--⌫--|
seilquarmon mestre	-|-|---|--|-----|
sil a molthastéd euenir	-|||---|-----|-⌫|----|
cout ant s e	----⌫--|-⌫|
uai tues tir	---⌫|---⌫--|
siuie n ta upreuostouilbee	-|---⌫-⌫|-⌫|------|-|-|--|
onques raisonni otc ontee	-----|-----|||-|-⌫----|
fors que coutanz l esal ua	----⌫--|------|-⌫|---⌫-|
etlipreuo zle ruilla	-|-|-----⌫|-|-----|
sil aded e n zlece p	-|||---⌫-⌫-⌫|-|--⌫|
dant uilainencorau rezpis	---|-----|----|--⌫--|--|
quaru osser oiz	---|-⌫-|---⌫--|
misa ugibet	--|-⌫|----|
p uisdistadinartsonual let	-⌫--|---||-----|--|---⌫--|
uatost cor a nt a	-|---|---⌫-⌫-||
mo nseig nor	--⌫|----⌫--|
sidi queiai	-|-|--||-|
le trahitor	-|-------|
a son fo rment	|--|--⌫----|
mu i ena o sté	--⌫|-||-⌫---|
e tpar nuit sa gran chebrisie	-⌫|--|---|-|----⌫--|-----|
orot coutanz	-|-|------|
sagranthaschie	-|----|------|
quantlar r ecins	----|---⌫-⌫---||
otmestre sore	-|-----|---|
he fait ilsedieus mes equ eure	-|---|-|-|----|-|-⌫---⌫---|
sire preu ozge	---|----⌫-|-|
niaicorpes	||-|-----|
sire preuostc esont estoupes	---|------|-⌫|---|-------|
dont uos me	---|--|-|
uole z es touper	----⌫|--⌫-----|
ausi bienuos ue nroithuter	---|---|--|--⌫----|----|
fa itilo r a prezouiardin	--⌫-|-|-⌫||---|-|-----|
quardes que enuos trecortil	---|---⌫--|-|---⌫--|-----|
ble later re	--|-|---⌫-|
sire p reuozcestp arenuie	---|-⌫----||--|-⌫-|----|
te lh ueure	--⌫|-⌫----|
ma i s enc o isque p lu s m edescueure	--⌫-⌫|---⌫-⌫----|-⌫--⌫|-⌫|--------|
p renezdumienpor	-⌫----|-|---|--|
pa isauoir	--⌫-|----|
ge nai d umien sichier auoi r	-||-|-⌫|---|-|----|----⌫|
qua i nzneuo sisse auo irdoné	-|-⌫-⌫-|-|--⌫----|---⌫-|----|
quelen meust ici trouué	--|--||---|--|------|
ence st point atel desano r	-|--⌫-|----||--|------⌫|
que don ras tu a tonsei gnor	--|---⌫--|-||--|---⌫---|
fazestre deliures	--|----|-------|
sire geuosdonrai	---|-|--|-----|
ua donc en	-|---|-|
etgeser aitonchanpion	-|-|---⌫-|--|-------|
ado nques la du cepg ite ́	---⌫----|||-|--|-⌫---⌫|
et dantconstanzsenest	-|---|-------||-|--|
uers sonostel g rantaleure	---|--|----|-⌫---|-----|
ez uosacou r a nz adroiture	-|--|----⌫-⌫-⌫-||-------|
contre luison bouieriobert	-----|--|--|-----|-----|
quest c efait il	-|--|-⌫|---|-|
q u astuualle t	-⌫|-|-|-----⌫|
quitechacecommentuastu	--|-|----|------|--|-|
siremalnoses t	---|--|--|--⌫|
leforest ierno zbuesemmaine	-|------⌫--|--⌫|---|------|
et di tqu e	-|--⌫|--⌫|
en l autresemaine	-||----|------|
lienbla stesde nuityy	-|-----⌫---|-|---|-|
quiuoscosto ron tbienyyfresnes	--|--|-----⌫---⌫|---|-|------|
etmerqued eersoi rzzautre	-|-------⌫|-----⌫|-|----|
dieu sdi tcoutanz ceq uepue test re	----⌫|--⌫|------|-|-⌫-|---⌫|---⌫-|
tant aihui tre tma le iornee	---|-|--|---⌫|--⌫-|-----|
lorsasach apede sfublee	---||-|--⌫--|--⌫------|
sicorten presle forestier	-|---|--⌫---|-|--------|
et comenc e hauta crier	-|------⌫|---||----|
d a nt fo rest ieratende zmoi	-⌫-⌫-|--⌫----⌫--|------⌫|--|
hadan tuilaindeputefo i	-|---⌫|-----|-|---|--⌫|
tantauezce	---|---|-|
u entre pesant	-⌫----|-----|
s e uo suenezzz poiauant	-⌫|--⌫|----|-|--|----|
ce n er tmiemoltgr antdomaige	-||--⌫|--|---|--⌫--|------|
se u osportiss o izzzfromaige	-|-⌫-|-------⌫-⌫-|-|-------|
ouenuostregironyy oes	-|-|-----|----|-|--|
b ie n cu idissoiz rauoir uozbues	-⌫--⌫|--⌫-------|-----|--|---|
ha fait il	-|---|-|
autrementira	--------|--|
uo s tre pechie uosencombra	--⌫-⌫--|-----|--|-------|
quan t nostrebo isnosessar tastes	----⌫|-----|--⌫-|--|-----⌫-----|
etamienuitlenporta stes	-||------||-------⌫---|
or fu c outanz	-|-|-⌫-----|
moltpoero us	---|-----⌫-|
etmolt durement	-|---|-------|
angois sous	------⌫---|
qu ildistlerreuos imentez	-|-|---|----|--||-----|
seg efusseautresiarmez	-|-⌫|----|------|----|
commeuosestesparigal	----|--|----|--|---|
deue rsuos	----⌫-|--|
entornastlemal	-|------|-|--|
etsete ni sse	-|-|--⌫--⌫--|
geuosdonasseel hat erel	-|--|------|-|---⌫---|
ia ne llaissasseporuostre	-|-||--------|--|-----|
uos eussiez chaucie ztroptart	--|------|-------⌫|---|---|
uozyybrochete s en uoz	--|-|--------⌫|-|--|
l orsfuli foresti er s iriez	-⌫--|-|-|-------⌫--⌫|----|
s e l regardemolt fierement	-⌫||------|---|--------|
uientlehar dement	----|-|---⌫-----|
teuelza moicombatre	-|---||--|-------|
porlec u e rb eu uelsmetu batre	--|-|-⌫-⌫-⌫|-⌫-|---|-|-|----|
tapance testu etdeschargier	-|----||----⌫-|----------|
uent lenles	---|--|--|
poi ssichier	---⌫|-|----|
iaton hauelnet iertgaran t	-|--|----|-||---|-----⌫|
lo rslilance son g laiueau ant	--⌫-|-|----|--|-⌫----|--⌫--|
quan tilleuit uenir uerslui	----⌫|-|-|--|----|---|--|
adoncsetraist en s u sde	----|-|-----|--⌫-⌫-⌫|-|
sirepor dieumer ci	---|--|---|---⌫-|
racordonnos geuosen pri	-------|--|-|--|-|--|
nemed eue z ten irsicor t	-|-|-⌫---⌫|---⌫-|-|---⌫|
seuosmemenezala cort	-|--|-|----||-|---|
au r oi zmiegrantprofit	--⌫-⌫--⌫|--|----|-----|
mahuchelezmon lit	-|----|--|--|--|
yysousdedeniersa	-|---|-|------||
uostrehues	-----|---|
maisquer aiemesbuesen pais	------|-⌫--|--|---|-|---|
apai ezso iezaitant	----⌫-|--⌫--||----|
cilquinaloitel demandan t	--|--||----|-|--------⌫|
maisqu e uers lui eustl auoir	------⌫|---|--|---||----|
ci ldi tquantles p orraauoir	--⌫|--⌫|----|--|-⌫---|----|
cilli respontde denzmard i	--|-|------|--⌫---|----⌫|
fai moiseu rge luosaffi	--|--|---⌫|-||--|---|
et ge la praigcommentqu ilai lle	-|-|-|----|--------|-|--⌫--|
oren puezremen ertaumaille	-|-|---|-----⌫-||-------|
dantcou ta nza	---|---⌫--⌫-||
lostelrepaire	|----|------|
m olt fu dolenznesetquefa ire	-⌫--|-|-----|-|--|--|--⌫--|
as chansaless iésa umaille	-|----||----⌫--||-⌫------|
membreq uina	-----|-⌫-|||
li tsest lessiez uerser	--⌫||--|------|-----|
sa femel iua i t deman d er	-|---|-⌫|--⌫-⌫|-----⌫-⌫-|
sire queauezuostr ouué	---|--|---|--|--⌫----|
dam eonquespuis gefui	---⌫|-----|---|-|--|
noiautr etantmalne d olor	|-|----⌫----|--|-|-⌫---|
co miaieuhuiencest ior	--⌫||-|-|--|-|---|--|
lorsli c onte l edestor bier	---|-|-⌫---|-⌫|------⌫---|
dupr euoste t duf ores tier	-|--⌫----|-⌫|-|-⌫----⌫---|
com m e ntissuzde prison	---⌫-⌫-⌫-|----|-|-----|
por yyliure sd e	--|-|-----⌫|-⌫|
adon cl icontele	----⌫|-⌫|----|-|
du forestier dechief	-|--------|-|----|
aq u iildoityy	|-⌫-⌫|-|---|-|
souspaie r	---|----⌫|
dame orme puismoltesm aier	---|-|-|---|---|---⌫---|
que ge nensai	--|-||-|--|
denierouprandre	-----|-|------|
or mecouient mesbestesuen dre	-|-|------|--|-----|---⌫--|
et lebl e que	-|-|--⌫|--|
sireorneuos chaltdesmaier	---|-|-|--|----||------|
faitl adame	---|-⌫|---|
quimoltert s aig e	--|---|--|-⌫---⌫|
plus quenu ledeson ligna ige	---|--|--⌫-|-|--|-----⌫--|
enuen dro iz blenea ueine	-|---⌫---⌫-|--|-|-⌫----|
ho r s uos metrai de	--⌫-⌫|--|-----|-|
cestep aine	----|-⌫---|
bienuososteraideces tefrape	---|--|------|-|---⌫-|----|
eti lrem androntenlatrape	-|-⌫|---⌫------|-|-|----|
don t uos s erezautretant	---⌫|--|-⌫---|--------|
ont faitco r recié	--|---|--⌫-⌫-----|
ta ntsepena de conforter	--⌫-|-|---|-|--------|
sonta s s isauso uper	---|-⌫-⌫-⌫-|-|--⌫---|
qu ant co stant as i	--⌫--|--⌫----||-⌫|
tartmengié	---|------|
dame ysabelsilacouchié	---|-----|-|||-------|
lendemainuaita la	|-------|---||-|
la dame n estpase s perdue	-|---||--|--|-⌫-⌫-----|
ainz ape lasa	---|---⌫-|-|
chanberier e	----------⌫|
unegouluepautoniere	--|-----|---------|
lameschineo tn om gale stro t	-|-------|-⌫|-⌫-|----⌫----⌫|
etdetripot	-|-|-----|
galestr o t or en tentamoi	-------⌫-⌫|-|--⌫---||--|
molt bien ceq u euuel	---|---|-|-⌫-⌫|---|
damedie usnosenuoitga a ig	-------⌫-|--|-----|--⌫-⌫-|
queurtostsimapareille zzba ig	----|---|-||--------|-|--⌫-|
cele seha stene pot p lus	---|-|--⌫--|-|--|-⌫--|
si amis lap ael e s us	-||--|-|-⌫---⌫|-⌫-|
etl aiue chaufeeenla	-||---|------|-|-|
porfair e parde denz	--|----⌫|--|--⌫---|
pu i sr euient asadame	--⌫-⌫|-⌫-----||-|---|
dam e ia ifet	---⌫||-⌫|--|
uostrecomant	-----|-----|
gale stro tfaitelbeleamie	----⌫----⌫|---|-|---|---|
getecommant des or	-|-|------|---⌫-|
s oies proze tisnele	-⌫---|---|-⌫|-----|
etquesaig esde	-|--|----⌫-|-|
tantque no stre preu	------|--⌫---|---|
et si gaai gn ezzpelicon	-|-|----⌫--⌫|-|------|
uadi au prestr e	-|-|-|------⌫|
quorm aspris e	-|-||-|----⌫|
tantquesu ipreste	------|--⌫|-----|
asonseru ise	|--|----⌫--|
seilmetientmacou en ance	-|-|-|----|-|---⌫--⌫---|
quaport s anzd emorance	-|----|-⌫--|-⌫-------|
lesyy liuresetlesio iaus	--|-|-----|-|--|--⌫---|
etceleescorcesestrum eaus	-|---|------|--|----⌫---|
quig ros furent parlestalons	--|-⌫--|-----|--|--|-----|
une uaschequisenttahons	--|-----|--|---|-----|
plusgaloperpa rchau t	---|------|--⌫|----⌫|
quegalestr ot s	--|-------⌫-||
en uait lesaut	-|---|-|---|
m olt s epen adetostaler	-⌫--|-⌫|---⌫|-|---|---|
l epr estreertuenuz de chanter	-⌫|--⌫----|--|----|-|------|
elele traista	--|-|-----||
sirefa itelsedieume g art	---|--⌫-|-|-|---|-|-⌫--|
gecri em mapeine auoirperdu e	-|---⌫-|-|----|----|-----⌫|
tantme s ui por uoscombatu e	---|-|-⌫-|--|--|-------⌫|
seuosn efuss iez si	-|--|-⌫|----⌫--|-|
uos niauenissiezdes mois	--|||---------|--|---|
menfu ssee ntremise	|-|--⌫--|-⌫-------|
afiertpaslonguedeuise	-----|--|-----|-----|
apo rtezl itostsa pr omesse	---⌫---|-⌫|---|-|--⌫-----|
