Sirebou niour	---|---⌫|---|
beaucoped eaux soun t	-------||---|----⌫|
Etenoultrel e roy arryua	-|-|-----|-⌫|--|-----|
illoequesioustlauille d e	--------|----|-|----|-⌫|
Harf l euetauoitmys un gr auntsie g esur	----⌫-⌫-|-|----|--|-|--⌫---|---⌫-⌫|--|
laditeuilleou esquel ano mb re de	-|---|----|--⌫----|-⌫|--⌫--⌫-|-|
.lx.mil lepe rsonese t parmylagracede	---|---⌫-|--⌫-----|-⌫|----|-|----|-|
Die u il adconquys ladicte uilleet	---⌫|-|-|------|-|----|----|-|
est r emeu édel a dictese egeetsoy	--|-⌫----⌫-|-|-⌫|----|--⌫--|-|--|
purp os epuraleruers	----⌫--⌫|--|---|---|
Calays parmylaterr ede	-----|----|-|----⌫|-|
Etpuisi ay	-|---||-|
oyed yreq u oretarde lez seig noursde	--|-⌫--|-⌫|--|----|--|----⌫----|-|
Fraunceouesque la	------|------|-|
.l.ou.lx.mil leperso nes armezount	--|-|---|---⌫-|-----⌫--|----|---|
encontrezleroy par l echymyn etle	--------|-|--|--|-⌫|-----|-|-|
royouesquela numbrede.x. mi llepersones adcombatuz	--|------|-|-----|-|--|--⌫--|-------|-|-------|
ouesque eauxa unlieu apellé	------|---||-|---|------|
Agincourtaquelebatailleiso untpris	--------||----|-------||--⌫--|---|
ettuez. xi.milleper soni sdez	-|---|-⌫--|----|---⌫----⌫|--|
F ra unceyse t sounttuez	-⌫--⌫-----|-⌫|----|---|
forsqu e .x ui.personesdez	------⌫|--⌫--|-------|--|
Englésdo untle	------|--⌫--|-|
E uerwy kestoit un et le count ede	-⌫-----⌫|-----|-|-|-|-----⌫|-|
Suffolkunautre	------|-|----|
Etleroyauoitlechampe e tle ui cto rie loiez	-|-|--|----|-|-----|-⌫|-|--⌫---⌫--|----|
Dieuetm ist tout z	---|-|-⌫--|----⌫|
Fraunceysaufewer	--------|-|----|
Eti ssintleroy tient s ou nc hymyn	-|-⌫----|-|--|----|-⌫--⌫|-⌫----|
Calaysetsoypurpo s ederetourn eren	-----|-|--|-----⌫-⌫|-|-------⌫-|-|
En g leterre parlag racede	--⌫-⌫------|--|-|-⌫---|-|
Enoult re s ireu ousd ypu rcerteyn que	-|----⌫-|-⌫--|-⌫--|-⌫|--⌫|------|--|
Fr aunceys qu e furent pri s	--⌫------|--⌫|-----|---⌫|
ald it bata ylle	-|-⌫-|----⌫---|
Agincortcest assauer	-------||--||-----|
O r liaunce le duc	-⌫-⌫------|-|--|
Burba yneetplu soursautre zcountes chiualers etesquiersuai ll a untz si	-----⌫--|-|---⌫----|-----⌫|------|--------|-|-------|---⌫--⌫-⌫---|-|
biendautrez	---||-----|
estrau ngezterrezcomede	------⌫---|-----|---|-|
Fraunceserr ountanmesni e zle	------|----⌫---|-------⌫-⌫|-|
ieod y proche in aprésle feste de	----⌫|------⌫-|-----|-|----|-|
Martyn enuers	-----|-----|
Et ilssount arriueza	-|--|----|------||
Douere e t toutz l ezgentzde	-----|-⌫|----|-⌫-|----|-|
Esse xe suffisauntsurrount	----⌫-|---------|-------|
moustrésenlo urmeilour	--------|-|--⌫-|------|
arrayparlehau t chymmynenter	----|--|-|---⌫|------|----|
Caunterberyet	----------|-|
Etlezgentes de	-|--|-----|-|
Loundres bye narmez et	-------|---⌫|----|-|
arra yezeuxmoustrer e ntsurle	----⌫--|--|--------⌫-⌫-|--|-|
B lakehethepur encountrer lezditz	-⌫--------|--|---------|--|---|
Fr aunceysafynqi lspurrountueyer quele poe p lesount l esse z	--⌫------|---||-⌫-|-------|----|----|---⌫-⌫-|----|-⌫----⌫|
E ngl e terr ep ur	-⌫---⌫-⌫----⌫|-⌫-|
la saufgar dede	-|-------⌫-|-|
mesme lerayme	----|-|----|
Sy re ou pens ezu ouschiua cher an oe t	--⌫-|-|----⌫-|-⌫--|-----⌫---|--⌫--⌫|
prochen e uillesi	-------⌫|----|-|
Sirequel apell ezl aprochyin uille	---|--||-----⌫-|-⌫|-------|----|
Sirelape llent	---||---⌫----|
Ox oneue rement	--⌫--|--⌫-----|
Sire de c elleuille	---|-|-⌫---|----|
iayoie p arler grau nde	|-|--|-⌫----|----⌫--|
bien demo ult gentz	---|-|--⌫--|----|
Sirecomebien	---|---|---|
longedec yest yce lle uille ieuouspri	----|---⌫|--|---⌫--|----|-|---|--|
auounsbiene.x.lewes illoeques un q ore	-----|----|--|----|--------|--⌫-⌫--|
Oresireles someschiuach erensemb leie uous pri quarie	--|---|---⌫----|-------⌫-|------⌫-|-|---|--|---|-|
pens ea l erouchiuach eramesmelauillemes	----⌫|-⌫-⌫-|-|-------⌫-||----|-|----|--|
iene coni pasbie n	-|-|---|--|---⌫|
Etsimeuoillez lenseigneri	-|-|-|------||--------||
e st oise g raunde ment tenuz	-⌫--⌫---|-⌫------⌫---|----|
au ousparmafoy	|-⌫--|--|-|--|
Si reuolunt ers	--⌫-|------⌫--|
Etie suy t reslés de uostre compaign ye	-|-|--|-⌫------|-|-----|--------⌫-|
mesiemedoute	--|-|-|----|
ne puis sem yeuoussuer quar ie suyen	-|----⌫-|-⌫-|---|---|---|-|--|-|
p artyemalad eetnon pas	-⌫----|-----⌫|-|--|--|
to utzgarizunq uor e	--⌫--|----|---⌫---⌫|
Etmonchi u alxest laas	-|--|---⌫-⌫--|--|---|
et cl oy éde uantetderere	-|--⌫--⌫-|--⌫---|-|-----|
Soundoosauxidelaseelestbles sé	---|---|---|-|-|---|--|----⌫--|
etl unoilestou stémesunquore	-||-|--|--|--⌫---|--|------|
il n estpasuougle	-||--|--|-----|
Et quantil uien taun	-|----|-|----⌫||-|
fosséparf ou n demoyco uye n tluyporterqar	-----|----⌫--⌫-⌫-|--|--⌫---⌫-⌫|--|-----|--|
certisiln epoet	-----|-|-⌫|---|
myeseziambes ho rsdeletayleuer	--|--|-----|--⌫-|-|-|--|----|
Donques s i re a lomesensemble	------|-⌫-⌫-|-⌫----|-------|
en n oun de	-|-⌫--|-|
D ieu et nou s	-⌫--|-|---⌫|
yuendrounsenbonet emps parle	|--------|-|---|-⌫---|--|-|
ha utsolayle si	--⌫-|------|-|
Di euplest	--⌫-|----|
Or esireouser romesloggezquauntn ousuoignomes la	--⌫|---|-|---⌫----|-----|-----|-⌫--|--------|-|
Molyn sur le	----|--|-|
la rewe de	-|---|-|
Nor t h y ateest le meillourh ostelle d	---⌫-⌫-⌫-⌫--|--|-|-------|-⌫------||
i ce ll e ui llecome ie	-⌫--⌫--⌫|--⌫--|---|-|
supposeqarnou syau ero ume s	------|--|---⌫||--⌫---⌫---⌫|
bonechieretuitaill eassezpurhommezetchiuachxet	---|----|-|-------⌫|----|--|-----|-|-------|-|
bounmerché	---|------|
Hoste ll er hoste ller	-----⌫--⌫-|-----⌫---|
Purromez nousbien	-------|---|---|
estreloggez	----|-----|
Certesmesmoistr esuousesteztresbienue nu ztantostz	-----|--|------⌫-|---|----|-------|--⌫--⌫|-------|
Combien estez uousen nombr e	------|----|---|-|-----⌫|
Mounamy nousne su musi cyapresen t for sque	---|--|---|-|--⌫--|-⌫-||------⌫|---⌫---|
.ui . comp aignons	---⌫|----⌫------|
et.iii.garç ounsouesquenoef	-|----|-----⌫---|------|---|
chiualxmesysountpluso ursde	------|--||----|-----⌫--|-|
nousconpaignonsderer e	---|----------|-----⌫|
Sire uousseriez	---|---|-----|
loggezyc yb ienasseztout	-----|--⌫|-⌫--|----|---|
siuo useussez.c.	-|--⌫-|-----|--|
S ireontuo uschiua lxbew	-⌫--|--|--⌫-|-----⌫-|--|
No npasunquor eq uarils ounttrope ch aud ez	--⌫|--|------⌫|-⌫--|-|-⌫---|----|--⌫---⌫-|
purbo ir epurce que n ous	--|--⌫--⌫|--|-|--|-⌫--|
auo n s chiuaché fortde	---⌫-⌫|--------|---|-|
Tetty swo rdeta nqueencea	-----⌫---⌫--|--⌫---|----|
Et a uxci n ousestoionspursu ezouél aronsi cya	-|-⌫---|-⌫--|-------|-----⌫-|---|-⌫----|-⌫-||
Sho ttoreet	---⌫----|-|
ce nouschiuac hsneussentesté	-|---|------⌫-||------|----|
lemeilloursetla graced e	-|--------|-|-|----|-⌫|
D ieunou seust	-⌫--|---⌫|---|
eidén ous neusso mes	----|-⌫--||-----⌫--|
myeescape ́saunzrob ber	--|------⌫|----|---⌫--|
mezloi e z	--|---⌫-⌫|
D ie uquenousoresumusicyen sauetté	-⌫--⌫|--|---|--|----|--|-|-------|
quarnousy a w ioun sgr ant	---|---||-⌫-⌫----⌫|--⌫--|
lesseznous garc ̧ounsamesnere no uschiualx suys etiu ys	-----|---|----⌫----|-------|--⌫-|------|---|-|--⌫-|
enlerw e en tanqueilssoient enfreydez et	-|-|--⌫|-|-----|--|-----|--------|-|
puizlez ea weret lauerbienprofunde issint quele z	---|--|--⌫--|-|----|---|-------|-----|--|--⌫|
estrweze tsenglezsoient	------|-⌫|------|-----|
n ectezsauantlezcell ezouélezhe rnoisez	-⌫----|-----|--|----⌫-|---|--|--⌫------|
secchezetpuis	------|-|---|
regardezq ue nouseionsu nbonestabile	-------|-⌫-|---|----|-⌫|--|-------|
cha ude etbienlitereztanque alauen tr ede	---⌫--|-|---|------|-----||-|---⌫--⌫|-|
lechiualleq uar le	-|-------|-⌫--|-|
tem p sest fro yde etauxcimettés	---⌫-⌫|--|---⌫--|-|----|------|
waddesdepailese kde southe lou rseng lez	-----|-|----|--⌫|--⌫-----|---⌫|----⌫--|
etf ro tezbien lour iambysissint	-|-⌫--⌫--|---|---|-----|-----|
s oie ntmye cr a chezet	-⌫---⌫-|--|--⌫-⌫---|-|
puislou rdonezche scunchiualx .i i.bot els de	---|---⌫|----|---⌫---|------|--⌫-|---⌫--|-|
f eyn et.i.der rerde	-⌫--|-|--|---⌫--|-|
Comentu en dezuous d elaue igne	-----|-⌫--⌫--|---|-⌫||---⌫---|
Sirepur.iii i.dene rslebusselle	---|--|----⌫-|----⌫-|-|-------|
ue r ementcestbou n mer ch é	--⌫-⌫----||--|---⌫|---⌫--⌫-|
estladam edecyens	--|-|---⌫|-|----|
Syre eleuiendra	---|--|------|
eues que unecommereet	----⌫--|--|------|-|
ne d emura	-|-⌫----|
Damebonsoer	---|--|---|
Sireuous esteztresbienuenuz	---|---|----|-------|----|
Si recoment	--⌫-|-----|
auousestetco ment auezuousualudepui sque	|---|--|-|--⌫---|---|---|---|-----⌫|--|
uo us fustezderreineme ntycy	--⌫-|-----|----------⌫-|--|
grant m ercyetle	----|-⌫---|-|-|
meulxq ue uousuai llez b ien	----|-⌫-|---|---⌫---|-⌫--|
Come ntua illeu ostremaryt	----⌫-|--⌫---|-⌫----|----|
uostremesnage	-----|------|
Sirebien loiezso it	---|---|----|--⌫-|
meulxpu ruo us	----|--⌫|--⌫-|
Sire uuillezuousappr och eralasale	---|------|---|----⌫---⌫-||-|---|
o uuu illezmonte ra	-⌫|--⌫----|-----⌫||
l achamber	-⌫|------|
No nydam e	--⌫-|---⌫|
Nousuo llonspren de rnostre	---|--⌫----|----⌫--⌫|-----|
chambe r par temps	------⌫|--|----|
Etuolle z uous nous	-|-----⌫|---|---|
faireanousunbounfuen	----||---|-|---|-|-|
leche men épu rnou sre chaufer	-|---⌫---⌫-|--⌫|---⌫|--⌫------|
Et baillezanous deuostrepain et	-|------||---|-|-----|---|-|
unha nape deuo s t re seruoisepurn ous rehaiterqu arnous	-|--⌫---|-|--⌫-⌫-⌫-|-------|--|-⌫--|-------|--⌫-|---|
su musmoil lez et laa set nous auonschiu achez aiour	--⌫--|----⌫--|-|---⌫|-|---|----|----⌫----||---|
.xl.lewese t p lus parmayf oy	---|----|-⌫|-⌫--|--|--|-⌫-|
Sirec estgra n ttrauail lepuruo us	---||--|---⌫-⌫|-------⌫-|--|--⌫-|
questezueilleetmaladez	-|----|-----|-|------|
Etieuousprom ettequeuous	-|-|---|----⌫---|--|---|
aurez le meillo urseruoise cyeinsquesten c este	----|-|------⌫-|-------|-----|-|--|-|-⌫---|
Et uous be urezde mesm elepotquenostre	-|---|--⌫---|-|----⌫|-|--|--|-----|
sireb euroitc	---|-⌫-----||
ilfuistalostellequarie	-|----|||------|---|-|
lemettrayabroche pu r lamour de uous	-|------||-----|--⌫||----|-|---|
Et siuousuui llezboir e deuynienuoiera y	-|-|---|---⌫---|----⌫|-|--||--------⌫|
a unetauerneioust	|--|------|----|
Qu atrefukeslo uunepip	--⌫--------||-⌫|--|--|
deb onuinu ermaill e e st	-|-⌫-|--|-⌫-------⌫|-⌫-|
noue lmentabroche eta	----⌫----||-----|-||
Cornesu r lahopeuous	----|--⌫|-|---|---|
a uerésdebo u n	-⌫-----|-|--⌫-⌫|
maluusiaromenybastardeoseytyruyncre tue rnageypocras	-------|-----|-------|---|--|--|---⌫|--⌫----|------|
et uynblanc	-|--|----|
Si reuousauer eza so per	--⌫-|---|----⌫-||--⌫--|
uiandeassezmez	-----|----|--|
ditezamoysiuo usuuill ezauoiruo stre	----||--|-|--⌫-|-----⌫-|----|--⌫---|
uiande appa raille ́cyei ns	-----|----⌫------⌫|----⌫-|
oualek ew es	-||-|-⌫--⌫-|
N o nildameen uostrecusynede mesne ou	-⌫-⌫--|---|-|-----|-----|--⌫----|-|
autre mentenlech emen eyd euantno us	-----⌫---|-|-|--⌫----⌫-|-⌫----|--⌫-|
Syrequelmanerde uiande ayméuous	---|---|----|-|-----|----|---|
Damefaytenous	---|----|---|
au oirdezmeillou rs uitaillez qu euousauez	--⌫--|--|-------⌫-|--------|--⌫|---|---|
o uque uouspurreztrouer	-⌫|--|---|-----|-----|
Sir eiaycye insbounspu lcyn schapons gelyn spyg eonsowes	---⌫||-|---⌫--|----|--⌫----⌫|------|-----⌫|---⌫---|---|
por cell ezi oefn es etgras	---⌫----⌫-|-⌫----⌫-|-|---|
perdrys plou ersetau trez oyseuxpetitzetgrantz	------|----⌫--|-|--⌫---|-----|-----|-|-----|
heyronsfe sansetcockesduboys ouuidecock ezb etayes all owe s	------|--⌫---|-|-----|-|---|-|--------⌫-|-⌫-----|---⌫---⌫|
esturneuxd ezgru ezau xi	--------|-⌫-|---⌫-|--⌫-|
etd egryuas et d autre	-|-⌫|-----|-||----|
uolatylsauageienef ayle	------|-----|-|-|-⌫---|
rye ns signesmalardesco lumbe s et	---⌫-|-----|-------|--⌫-----⌫|-|
De p oires etpommez iaypl enteeformage	-|-⌫----|-|-----||-|--⌫----|------|
et noes uousnefaillere zpoint	-|---|---|-|--------⌫|----|
Etpuisdezouesb one cande lle	-|---|--|---|-⌫--|-----⌫--|
Etauostr elyt uneda moysele	-||-----⌫|--|--|--⌫------|
Grantmercy d e uostresoper	----|----|-⌫|-----|----|
Mesdenostr elytlessam	--|-|-----⌫|--|-----|
Et denostredyner dema yn a mat yn	-|-|-----|----|----⌫-||---⌫-|
Etpiusnous irrounsnos t r echymyn	-|---|---|------|---⌫-⌫-⌫|-----|
u ostre lyt	-⌫----|--|
serra fait bientos t etb ealement	----|---|---|---⌫|-|-⌫-------|
Pur uouscoucheretdormere nycell e	--|---|------|-|-----|-⌫|-----⌫|
saunz songerettorm ent	----|-----|-|----⌫--|
De z ora illersdez	--⌫|---⌫-----|--|
plume set lync euxblanczmaterassez	-----⌫|-|----⌫--|-----|---------|
Couerli tzetbl anketes curtynst esterets yll our	-------⌫-|-|--⌫------|------|-⌫----|-|-⌫---⌫--|
uousyaue rez toute ntour	---||---⌫--|---|-⌫----|
Grantmercydeuostre be al cheir	----|----|-|-----|--⌫-|----|
Pernezlehanap	-----|-|----|
etbeu ezleuyncleir	-|---⌫-|-|--|----|
Quarauostrecongee uo illoundor mer	---||-----|-----|--⌫-----|---⌫--|
A pp ellezhosteler	-⌫--⌫----|-------|
purnousc ounter	--|---|-⌫-----|
C omebien paierome purn ousch iua lxet uostre	-⌫--|---|-------|--|-⌫--|--⌫---⌫-|-|-----|
So untnou schiualxappar aillez pu r tout e	--⌫--|---⌫|------|-----⌫-----|--⌫|----⌫|
Si re nonpasunquoremes lessezuostre g arc ̧ounueniret	--⌫-|--|--|------|--|-----|-----|-⌫---⌫---|----|-|
dir equeideprouendir	---⌫|---|-|--------|
ilsaur ount	--|---⌫---|
M astyrqueuuillezu ous	-⌫----|--|------|-⌫--|
Ast usope ́	-|-⌫|----⌫|
Tienle hanapet	---|-|----|-|
foizmezne beue z	---|--|-|----⌫|
mye tropehautpurdoubt equeuous soi ez iurez	--|----|---|--|-----⌫|--|---|---⌫-|----|
Etpuis ua a lestable et ou stez	-|---|-|||------|-|--⌫---|
lezsellezdelezchiualxete auxcorr eiéx	--|-----|-|--|------|-|-⌫--|----⌫----|
etfrotezbiene lou r	-|-----|----|---⌫|
cerchez lourpeesetlestoppe zdecoyne	------|---|---|-|-|------⌫|-|----|
Etpern ez de	-|----⌫-|-|
greceetdebo nseruoiseetlezboillez	----|-|-|--⌫|-------|-|--|------|
ensemblee tlaue zoué ycelletoutzlour	-------|-⌫|----⌫|---|-----|----|---|
Etauxcipern ezde ceefetde lyn eet	-|----|----⌫-|-|---|-|-|---⌫|-|
lé fryezens am bleenune	--|----|---⌫--⌫--|-|--|
paille ueill e defere	-----|-----⌫|-|---|
aresmee t sto ppez lepe edel	-----|-⌫|---⌫---|-|--⌫|--|
chiualgris que steitclo ié	-----|---|-|-⌫----|---⌫--|
de prou endreas sezc	-|----⌫----|--⌫--||
e stasauera chescunchiualunepekd	-⌫-||----||------|-----|--|--||
aueyneetp lusdep ainsiuou s	-----|-|-⌫--|-|-⌫--|-|---⌫|
ueie z que bo soig n e	----⌫|--|--⌫----⌫-⌫|
Etde may nle u ezbienmatyn etappellezunferrourle	-|--⌫---⌫|--⌫-⌫-|---|----|-|-------|-|------|-|
meillourquepu r ra estre tro ue zalauilleet	-------|--|--⌫-⌫-|----|---⌫--⌫||-|----|-|
lessezluiferrer lechiua lleb lan cle	-----|--|-----|-|-----⌫--|-⌫---⌫|-|
chiualn oirelechiuals oretlezautrez h akeneys	-----|-⌫---|-|-----|-⌫-|-|--|-----|-⌫------|
enu eyro ne	---⌫----⌫-|
I akes ietoy	-⌫---|-|--|
promett e uere mentsiceste	-------⌫|----⌫---|-|----|
soit myefaitcom eieu ous	---|--|---|---⌫|-|-⌫--|
siietroueas cun	-|-|----|--⌫--|
defa utee n	----⌫--|-⌫|
t a persone ietoyfrayco ruserissintquet ucompariez	-⌫|------|-|--|---|--⌫----|-----|--|-⌫|--------|
greuousem en t	---------⌫--⌫|
Ho stil ler	--⌫----⌫--|
B a ill ezcea déie ttours	-⌫-⌫---⌫-|--|--|--⌫-----|
etlessom s	-|------⌫|
compte rcombi en nousauons alac hambree tcombien a	------⌫|-----⌫-|---|----||-|-⌫-----|-⌫|------||
Sir i aycomptéouesq ue	--||-|------|-----⌫-|
uostre uad let	-----|---⌫--|
Guill amen la pres ence	-----⌫-|-|-|----⌫---|
Hughe uostrechapeleyn	----|-----|--------|
Bien dece llaie	---|-|--⌫--|-|
suycont ent	--|----⌫--|
Ti entamaynetpernezla rgen t	--⌫-|-|---|-|-----||-⌫----⌫|
Combienamountetres t o utc om pté	------|------|----⌫-⌫-⌫-|-⌫--⌫---|
S ir ilamountea.u.solz.i. denermeyns	-⌫-|-|------||--|---|--|----|----|
Oreappellez l a dame et emple	--|-------|-⌫|---|-|----|
lehanapee tbayll eznous	-|-----|-⌫|-----⌫-|---|
Faytez nousau oirlezpoume sro stezet mettez	-----|---|--⌫--|--|-----⌫|--⌫---|-|-----|
depayntostéa lefeuquefranostre	-|---|-----||-|--|--|--|-----|
beuerach eplu s fresk	--------⌫|---⌫|----|
Dame beue z	---|----⌫|
Sir commenc ez	--|-------⌫-|
Damepernez uostre hanap p ar	---|-----|-----|----|-⌫-|
Sirnon pasdeuantuoussi	--|--|--|-----|---|-|
uousp laist	---|-⌫----|
Dame que i auronsdemaina nostre dyner	---|---⌫|-----|-----||-----|----|
Sireuousaurezuiandeassezcoy tez ros tez et	---|---|----|-----|----|---⌫--|---⌫--|-|
Mesd i tez	--|-⌫-⌫--|
moiuostreuolunté	--|-----|-------|
queiuousaymerezmeulx	---|---|------|----|
D ame f aitez nousauo irbraundusen gleroué le	-⌫--|-⌫----|---|---⌫-|----|-|---⌫---|---|-|
musta rde bones i oute so uesque boef motun	-----⌫--|----|-⌫----⌫|-⌫-----|---|----|
etporcboillez	-|---|------|
suf fic erapu r hommestrauai llantz	---⌫---⌫--|--⌫|-----|------⌫-----|
Dame ouestuo stremaistre	---|-|--|--⌫---|------|
Dieesir eiles tale ́ alafeired	---|---⌫|-|--⌫|---⌫||-|----||
u neui llequ est d ysl ewes	-⌫-|--⌫--|-|--|-⌫-|-⌫---|
dec yapp ellé	---⌫|---⌫----|
Damequele me r chaundyzeu oet i luendreouachatreilloequ es	---|----|--⌫-⌫--------|-⌫--|-⌫|-----|-|------|-------⌫-|
Sirilad l aa uendre	--|-|-|-⌫||-----|
boe fs uaches bouetzueel estoreseysnés	---⌫-|-----|-----|----⌫-|----|------|
etioefnes porcz sen glers	-|------|----|---⌫----|
t royesch iualx iumentzpolaynsberbys motouns et ber b y sdu mere	-⌫----|--⌫----|------|------|-----|------|-|---⌫-⌫-⌫|-|---|
toupsagnelx	----|-----|
keduxcheuerelxasne smulese t autrezbestes	----|--------|----⌫|----|-⌫|-----|-----|
I laauxilapuruendre	-⌫||---|-|--|-----|
.xx .sa ckes.i ii.toddes.iiii.pereset .u . clowes	---⌫|--⌫---|--⌫--|-----|-----|----|-|--⌫|-----|
delayned euxcentz	-|----|-⌫--|----|
pe auxla nuz.xiiii .drapslongez	--⌫--|--⌫--|------⌫|----|-----|
etdysdoszeynsde mellezd	-|--|-------|-|-----||
Oxen forde.xx.kerseys d	----⌫----|---|------||
Aby n doun.x.bl a n ketzde	---⌫-⌫---|--|--⌫-⌫-⌫---|-|
Wytteney. ui. r ou gezde	-------|-⌫--|-⌫--⌫--|-|
Castelcomb e.iiii. russet de	----------⌫|-----|-----|-|
Colchestere s carl etz bloy esou	----------|-⌫----⌫--|----⌫-|-|
p ersselesti ensplu nketzsanguynse tu iolet z	-⌫--|-------⌫--|---⌫----|-------|-⌫|-⌫-----⌫|
engreynrayésmotlez	-|----|-----|-----|
Sarisburyet	--------|-|
autrez diuerscolour s deplu sours sortzp ur fayre	-----|-----|------⌫|-|---⌫----|----|-⌫-|----|
lyue reess i	----⌫---|-⌫|
bienas s eignours	---|-|-⌫-------|
abbe e s etpriourscome asautre zg entilsdu pays	----⌫-⌫|-|------|---|-|-----⌫|-⌫-----|-|---|
Il aa u xci delyn ge toillecanuasou	-||-⌫-⌫--|-|---⌫-|-----|-----|-|
cambrecord essa uoun oyleferepeuere	-----|----⌫-|--⌫---|---|---|-----|
zingeb reetautrezespicerieet merceryeata u ntcome	------⌫-|-|-----|--------|-|-------|---⌫-⌫-|---|
luicoste.c. liure s	--|----|--|-----⌫|
Syreieuous	---|-|---|
prioupanse z uouschiuacheroredec y	--|-|-----⌫|---|--------|--|---⌫|
Damedroit a	---|----||
Loundre ssi	-------⌫|-|
Dieu plaist	---|-----|
Si rdune choseieuous p rieroysii	--⌫||--|----|-|---|-⌫-----|-||
O ufuissesihardy	-⌫|-----|-|----|
amourde uostremaistre et de	----|-|-----|------|-|-|
uous iefrayceque	---|-|---|-|--|
iepurrays auantmounesta t	-|-----|-⌫----|---|----⌫|
auostre pleser	|-----|-----|
Siriayi cy un fizdel	--||-|-⌫-|-|--|-||
. xii.anset solouncuost re auy s ilestl au olunte e	-⌫---|--|-|------|----⌫-|---⌫|-|--|-⌫|-⌫------⌫|
demo unm aistre etdemoi	-|--⌫-|-⌫-----|-|-|--|
pur luiestow er a unbounho mmedemestie r	--|--|-----⌫-||-|---|--⌫--|-|------⌫|
Loundresl aouil purroi tbien e s t re en se ignéet	-------|-⌫|-|-|------⌫|---|-⌫-⌫-⌫-|--⌫--⌫----|-|
gouerne ́enlemaneredapprentysilloeques	-------⌫|-|-|-----||--------|--------|
Dame appell ezl	---|------⌫-||
enfauntet lessezmo i luiueie r	------|-|-----|--⌫|--|----⌫|
Mounfiz auezuo us	---|--|---|--⌫-|
estéales cole	----|||--⌫---|
Oysyre par uo strecongé Aque l lieu	-|---|--|--⌫---|-----||---⌫|---|
Syr a l ostel lede	--|||-----⌫-|-|
Kyngesmyll e	----------⌫|
E scriu en	-⌫-----⌫-|
Beaufy z combendete mps auez	---|--⌫|-----|-|--⌫--|---|
uousdemurrez o ue squeluy	---|-------|-⌫--⌫---|--|
Sireforsqueun quartde lan	---|------|-|----|-||-|
Cell anest	----⌫||--|
q ueunpoi temps	-⌫-|-|--|----|
me s quauezuous	--⌫|-|---|---|
Syrmounmaystre	--|---|------|
madens eig ne ́ p ur	|-|---⌫---⌫--⌫|-⌫-|
escrir eenditer	------⌫|------|
acom pteret fraunceysparler	----⌫---|-|--------|-----|
Etqu es auez u ousen fra unceys	-|--⌫|-⌫---|-⌫--|-|---⌫-----|
Sirie s ay mou nnou netmounc o rp s bien	--|-|-⌫-|---⌫|---⌫|-|---|-⌫-⌫--⌫|---|
Ditez moyquauezanounIaya noun	----|--|-|---||---||-||---|
Iohan bounenfant	----|---|-----|
sage etbienparlant	---|-|---|------|
Engle ysf raunceyset bounnormand	-----⌫-|-⌫-------|-|---|------|
Beneyt soit lauer gequechas tel	-----|---|-|---⌫-|--|----⌫-||
E t lebounmaistrequ ime	-⌫|-|---|------|--⌫|-|
pris ttaunt	----⌫|----|
