l auenture dun autre	|-------||-|----|
si re lanual	--⌫-|-----|
ma damei s ele	-|-----⌫-⌫--|
qu etantestpruz	--⌫|---|--|---|
esage e bele	|---||---|
elenus enueitp uruus	--|--|-----|-⌫-|--|
kari uenez ense mble	--||----|----⌫---|
sauueme ntuusi cundurum s	-------⌫-|--||--------⌫|
ueezpresest lipaueilluns	---|---|--|-|---------|
l icheualers odeles u ait	-⌫|--------|-|---|-⌫--|
desunch eual ne	-|--|--⌫---|-|
tient nulplait	----|--|----|
qu edeua ntli p eistalpre	--⌫|----⌫-|-|-⌫---|-|--|
treske al tref	-----|-|---|
l unt amen é	|--|----⌫-|
quemutfu beaus ebien asis	--|--|-|----||---|---|
la r einesemiramis	-|-⌫---|--------|
quanteleotunkes plus	----|--|-|----|---|
e plus pussaunc e eplus	|---|--------⌫||---|
nel e m perere oct o uien	-||-⌫-⌫-----|---⌫-⌫---|
n esli gasentle des trep an	|----⌫-----|-|---⌫--|-⌫-|
una igledo rotdesusmis	-|-⌫---||-⌫|-|----|--|
saidirel e pris	--|---|-⌫|---|
nedescord es	-|--|----⌫-|
nedesp eissuns	-|--|-⌫------|
quedel tref tienentlesgiruns	--|--|---|------|--|-----|
suzc ielnadrei kiesligast	--|-⌫--||-|--|-|-------|
p urn ul auerkil i	-⌫-|-⌫-|---||-||
dedenz celtref fula	-----|--|---|-|-|
flurdelis rose	---|-|--|---|
pertaltensd	---|-|---||
trespassote l e deb eau te	---------|-⌫-⌫|-|-⌫---⌫-|
e leiutsurunlitmut	-⌫-|--|--|-|--|--|
ua leient u nch astel	--⌫-----|-⌫|--⌫----|
e nsachem ises eng leme nt	-⌫|-|----⌫--|-⌫---⌫----⌫-|
mutot lec ors bienfaite	--|-|-|-⌫--|---|---||
uncher mantelde	-|---|-----|-|
bl anchermine	--⌫--|------|
couert depurprealexandrin e	-----|-|-----|----------⌫|
otpurlechautsurligeté	-|--|-|----|--|-|----|
tu tot descoue rt	--⌫|-|-------⌫-|
leuisleco le l a	-|--|-|--⌫||-⌫|
p lus e rtblanchequeflur	-⌫--|-⌫-|------|--|---|
le cheua lerauant ala	-|-----⌫--|----|--|
elapucelelapela	|-|-----||----|
deuantle litasis	-----|-|--|---|
lan ualfetele beus am is	---⌫--|--|--|---|--⌫-|
puruusuiencieo fors dematere	--|--|----|--|---|-|-|---|
d eluinz uussuiuenuquere	-⌫|----|--|--|---|----|
seuu sestes pruz ecurteis	-|--⌫|----|---||------|
empererene q uensnereis	-------|-|-⌫---|-|---|
notu nkestant ioie n e	|-|-⌫---|---|---|-⌫|
kariouusaim s ur	--|-|--|--|-⌫-|
il lesgar da silauitbele	-||-----⌫-|-|-|--|---|
amurs lepuintdel es te nce le	----|-|----|-||--⌫--⌫---⌫-|
q uesun quoralumeeesprent	-⌫-|--|---|----||------|
ill i respunt auenantment	-|-⌫|------|----------|
belefet ilsiuuspleiseit	---|--|-|-|--|-------|
ioiemeaueneit	---|-|------|
q ueuusmeuousissezamer	-⌫-|--|-|--------|---|
ian osiriezrien	-||------|---|
qu e ieo nefac ea mi e npoeir	--⌫|--|-|---⌫||--⌫-⌫|----|
folieu asaueir	----|||-----|
ieofraiuozcomandemenz	--|---|--|----------|
pur uus guerpiraitutes genz	--|--|--------|----|---|
iamesnequeordeuus	----|-|----|-|--|
ceoest l a rienqu eplus desir	--|--|-⌫|---|--⌫|---|----|
quant l a meschine loiparler	----|-⌫|-------||-|-----|
c e l uiquetantlapeot	-⌫-⌫-⌫-|--|---|-|---|
samuresunco r sliotreie	|---||--|--⌫-⌫|-|-----|
oreestlanu alendre ite	--|--|----⌫-|-|---⌫--|
undu n liaddune ́ apres	-|--⌫|-|-|----⌫|----|
ia ce lerien n e u udrames	-|--⌫-|---|-⌫|-⌫---|--|
que ilnenaita	--|-||-|--||
doinstedespen d elargement	-----||------⌫-⌫|--------|
elelit rouerat	--|-|-⌫------|
mut est lanualb i en herbergez	--|--|-----|-⌫-⌫-|--------|
cumplusdespendrarichement	--|---|--------|--------|
plus auerat ore argent	---|-----|-||-----|
amifeteleore uusc hasti	--|--|--|--|--|-⌫----|
siuus com antesiuus pri	-|--|---⌫--||-|--|--|
ne uus descou erez anul humme	-|--|------⌫---||--|----|
deceouu s diraiia	-|--|--⌫|----|-|
atuziursmaur iez p erdue	|--|---||---⌫--|-⌫----|
siceste amur	-|----|---|
esteitseue	-----|---|
purri ezueeir	-----⌫-|----|
nede muncors	-|-|--|---|
seisine aueir	------|----|
il lire spuntq ueb ien	-|-|--⌫----|-⌫-|-⌫--|
ceoq ueele	--|-⌫-|--|
licomaun dera	-|------⌫---|
delez lisestallitcuchiez	----|-||--|-|--|------|
or e e st lanualbienherber gez	--⌫|-⌫-|-----|---|------⌫--|
ensembleod li la re leuee	-------|-|-|-|--⌫----|
demurattresque al uespr ee	------|------|||-----⌫-|
eplu sifu st se ilpoist	|---⌫||--⌫-|-|-|----|
amiel uicunsent ist	---|-⌫-|-------⌫--|
amisfet ele	---|--|--|
uus nipoezd e murerplus	--|-|---|-⌫-⌫----|---|
e nieoreme i ndrai	-⌫|--|----⌫-⌫----|
mesun choseuusdirai	--|-|----|--|----|
q uantuus uodrez	-⌫---|--|-----|
odmei parler	-|--|-----|
ianesauerezcelliu	-|-|------|--|--|
unulspuistau ersaamie	|---|----|--⌫-|-|---|
s anzrepreoce sa nzuileni e	-⌫--|-------|--⌫-|------⌫|
queieoneuus	--|--|-|--|
seieenpresent	---|-|------|
tut uostretalent	--|-----|-----|
n ulhummeforsuusneme uerra	-⌫-|----|---|--|-|-|----|
nema parolenen orra	-|-|-----||-|---|
quantil l oimuten fu	----|-||-|--|-|-|
il l abaisapuis s est dresciez	-|-⌫|----|---||--|-------|
celes que altreflamenerent	----|--|-|---||--------|
der i c hes d ras lecunreerent	-|-⌫-⌫-⌫--|-⌫--|-|---------|
fuuestu de	-|----|-|
suzcielnen ot plus beldan cel	--|---||-|-|---|--|---⌫--|
neste itmie fousneuileins	|----⌫-|--|---|-|------|
lewelidonenta	|--|-|-----||
ses mein s	--|----⌫|
ela tuaille	|-|------|
puisl ipo rt entamanger	---|-⌫|--⌫--⌫--||-----|
ods am ieprist le super	-||--⌫-|----|-|----|
nefeseitmiearefu ser	-|-----|--||----⌫--|
mut fuserui	--|-|----|
curteis ement	-------⌫----|
a grantioielepre nt	|----|---|-|---⌫-|
unentremesiotplener	-|-------||-|-----|
quemu tplei se ital cheualier	--|--⌫|----⌫--⌫-|-|--------|
kar sa mieba isoutsouent	--||-⌫--|--⌫----|-----|
etacolotestreit ement	-|-----|-------⌫----|
quant de lmangerfurent	----|--⌫|-----|-----|
suncheualli	--|-----|-|
bi en liuntla sele mise	--⌫-|-|--|-|---|---|
mutad t ro u ériches eruis e	--|-|-⌫--⌫-⌫-|----|-⌫-----⌫|
ilprentcungesi estmuntez	-|----|----|-|--|-----|
uerslaci tesen est	---|-|--⌫-||-|--|
suuent es gardeariere s ei	-----|--⌫----|-----|-⌫-|
mut es t la nu al engr an tesf rei	--|--⌫|--⌫--⌫-|-|--⌫--⌫|---⌫--|
de saue nture uaitpensaunt	-||---⌫----|---|-------|
e ensunc uragesot aunt	|-|--|-⌫----|---⌫---|
esbaize stne seit	-----|-⌫-|-|---|
il nelaquid emieaueir	-|-|-|----⌫|--|----|
ilest asun	-|--||--|
ost eluenuz	---⌫-|----|
seshu mmetreue	--|--⌫--|----|
bienuestu z	---|-----⌫|
ice le n uitb onostel tient	---⌫-|-⌫--|-⌫-|----|----|
mesnulnesotduntceoliuient	--|--|-|--|---|--|-|----|
la uile cheualier	-|---|--------|
kide suriur ait gr antm estier	-|-|-----|--|--⌫--|-⌫-----|
queilnef ace	--|-|-|-⌫--|
er ichementebie nseruir	|-⌫-------||---⌫|-----|
lanual donoutles	-----|-----|--|
r i chesduns	-⌫-⌫---|---|
lanualaquit outlespri suns	-----|-----⌫--|--|---⌫---|
l anualue steit le siugleur s	-⌫----|--⌫----|--⌫|-------⌫|
lanualfesei tlesgranz honurs	-----|-----⌫|--|----|-----|
ni otestra ngenepriu e	||-|-----⌫--|-|----⌫|
akilanual n en u s tdoné	|-|-----||-|-⌫-⌫|----|
m utot la nual ioi e ededuit	-⌫-|-|--⌫---|---⌫||-----|
useitpa r iur	|---|--⌫|--|
s ami epeotueersouent	|---⌫|---|---|-----|
tutesta sun comandement	--|--||--|----------|
ceomesta uismemesl an	--||--|-⌫--|----||-|
apre s l afesteseintiohan	----⌫|-⌫|----|----|----|
atrentecheu alier	|-----|----⌫----|
alé es banier	---|--⌫-----|
enunuergier des uz	-|-|------|---⌫-|
ula rein eert	|-|----⌫|--|
e nsembleodeuswalwains	-⌫------|-|--|-------|
esis cusin slib eaus ywains	|--|-----⌫|-|-⌫---|-----|
walwainslifr a ncsl ipr uz	-------|-|--⌫-⌫--|-⌫|--⌫-|
quetant sefistame rde tuz	--|---|-|---|---⌫|-|--|
pa rd eu seignurs n us	--⌫|-⌫-|-------|-⌫-|
f e imesmal	-⌫-⌫---|--|
de nostrecompa inunlanua l	-|-----|-----⌫---|-----⌫|
quetant estla rges	--|---|--|--⌫---|
esispe res	|--|--⌫--|
est ric hesre is	--|---⌫--|--⌫-|
q ueodn usnel	-⌫-|-|-⌫-|-||
a tantsesuntariereturné	-⌫---|-|---|-----|-----|
asunostel reui ent ariere	|--|----|----⌫--|-----|
lanualamein entpar	-----|-----⌫--|--|
aunefe nestre ent ail lié	|--|--⌫-----|---⌫---⌫---|
s esteit la	|-----|-|
reineap uié	----|--⌫---|
treisdames otensemb leod	----|----|-|------⌫-|-|
lamaisnel anualchoisi	-|-----|-⌫----|-----|
lanualchoisi	-----|-----|
unedes dames apela	--|--|----|----|
parli m andases dam eiseles	--|-|-⌫---|--|---⌫------|
lesplus quoint eslesplusbeles	--|---|------⌫-|--|---|----|
odlisiirrunt esbainier	-|-|-|-----|--------|
la u ci l suntal uer gier	-||--⌫|---|-|---⌫---|
trenteenmenat odlieplus	-----|-|----|-|-||---|
par l esdegrezde scendent	--|-⌫-|-----|--⌫-------|
lesc he uale rs	--|-⌫--⌫----⌫-|
encuntre uunt	-------|---|
eles gr antioi eunt	---|--⌫--|---⌫|--|
ille s untprisesp a r	-|--⌫|--|-----|-⌫-⌫|
cilparlesmainsnier t	--|--|--|----|-|--⌫|
pasu ilains	--|-⌫-----|
e nuaitaunepart	-⌫|---||--|---|
mut luindesautresceo liesttart	--|---|--|-----|--|-|--|---|
q ue samiep uisttenir	-⌫-||---|-⌫---|----|
bais erac oleresentir	----⌫-|--⌫---||-----|
la utrui ioiep risepetit	|-⌫----|---|-⌫---|----|
n adlesuen delit	|-|-|---|----|
q uant lareinesul	-⌫---|-|----|--|
alcheuale r en u atut	-|-------⌫|-|-⌫|--|
luncluisasis t	---|--||----⌫|
tutsuncur ag e	--|--|---⌫--⌫|
limust r a	-|----⌫-⌫|
uus aihonuré	--|-|------|
e mutcheriemutam e ́	|--|----||--|--⌫-⌫|
tutemamur poezaueir	---||---|---|----|
kar meditesuostreuoleir	--|-|----|-----|-----|
madruerie uusotre i	-|------|--|----⌫|
mu td euezestreliedemei	--⌫|-⌫---|----|--|-|--|
damefe tillessezmester	---|--⌫|-|-----||----|
i eo naicure	-⌫-||-|---|
deuusa mer	-|--|-⌫--|
lung ementai serui l erei	----⌫----|-|----|-⌫|--|
ne liuoilpasmentir maf ei	-|-|---|--|-----|-|-⌫-|
iapuruusnep ur	-|--|--|-|-⌫-|
uostreamur	-----|---|
nemesfraiamun s eignur	-|------||--|-⌫-----|
irie ́fu si mes par la	----⌫|-|-|---⌫---⌫-|
lanua l f ete l ebienle qu i t	-----⌫|-⌫-|-⌫-⌫|---|-|--⌫-⌫|
uus n amez	--||---|
gueresce ldelit	-----|--⌫|----|
asezlema d	---|-||-⌫|
humme ditsouent	----|--|-----|
quedesfemmesnauez	--|--|-----||---|
u allezauezbien afeitiez	-⌫----|---|---|-------|
ensemble od	-------|-|
eusuusdeduiez	--|--|------|
uileinscuar zmauueisfailliz	------|----⌫|------|------|
m utestmi siresmau bailliz	-⌫-|--|-|----|--|------|
quepresde lui u us	--|---|-|--|-⌫-|
ad su ff ert	-|--⌫--⌫--|
munescientque deusenpert	--|------|--|---|-----|
l oi mut f udolen t	|-|--|-⌫|-----⌫|
del respun dre	--|------⌫--|
nefupaslent	-|-|--|---|
teucho sedi st parmal ta lent	--|---⌫-|--⌫-|--|--|--⌫---|
dunt ilse repent isoue nt	---|-|-|------⌫|----⌫-|
dam edi stildecelm estie r	---⌫|--⌫-|-|-|--|-⌫-----⌫|
neme saiie o nient aidi er	-|-|--|--⌫|----|----⌫-|
aimsi su iam i s	--|-|--⌫|--⌫-⌫|
cele k edeit a uerlepris	---|-⌫|---|-⌫--|-|---|
surtu tescelesq ueieo	--|--⌫--|----|-⌫-|--|
cho seuusdirai	---⌫-|--|----|
bienle s acheza desco uert	---|-|-⌫----||-----⌫---|
unede celeskelasert	--|-|----|-|-|---|
tutelaplus poure meschine	---|-|---|----|-------|
deuu s dam ereine	-|--⌫|---⌫|----|
de corsdeuise de	-|---|-|--||-|
d e ns ei gnem ente de bunte	|-⌫--⌫--⌫----⌫--||-|----|
lareinesenpa rte ata nt	-|----||----⌫--|---⌫-|
chambreenuaitp lurant	------|-|---|-⌫-----|
mut fu dolente ecuruciee	--|-|------||-------|
dece okilouta uilee	-|--⌫||-|--|-⌫----|
ensunlitma lade	-|--|--|--⌫---|
iamesceo d it	----|--|-⌫-|
silireisnelen feseit dreit	-|-|---|-||-|-----|----|
deceodu n telesepleinereit	-|--|--⌫-⌫|--|-|---------|
l ireis fudelboisrepeiriez	-⌫|---|-|--|---|--------|
iures téhaitiez	--|--⌫--|------|
aschambreslar eineentra	-|-------|-|-⌫---|----|
quant elele	----|--|-|
uitseclamma	--|-|-----|
aspiezlichietmercicrie	-|---|-|----|----|---|
e d it que	|-⌫-|--|
lanuallad hunie	-----||-|----|
dedruerie la	-|------|-|
purceoqueel e	--|--|--|--⌫|
lenescundist	|-|--------|
mutlai di eauila	--|---⌫-||----|
detel eam ieseu anta	-|---⌫|--⌫-|-|-⌫---|
quetantertcuinteenoble e fiere	--|---|--|-----||----||----|
quemeuz ualutsachamb erere	--|---|----|-|-----⌫----|
lapluspo ureque	-|---|--⌫--|--|
tantserueit	---|------|
quelareinenef es eit	--|-|----|-|-⌫--⌫--|
e nc urucatforment	-⌫|-⌫-----|------|
adsunserm ent	-|--|----⌫--|
si il ne senpeot	-|-|-||-|---|
en cur tdefendre	-|---⌫|-------|
ferata rderu	----|-⌫---||
for sdel acham breeis silir eis	---⌫|-|-⌫|----⌫--|---⌫-|-|-⌫--|
de sesbaruns	-|--|-----|
a pelattreis	-⌫----|----|
il le s en ueit purlanual	-|--⌫|--⌫---|--|-----|
queasezad doluremal	--|---|-|----||--|
chaste lfu reuenuz	------⌫|-|------|
bienaparceuz	---|-------|
quilauei tperdues am ie	-|-|----⌫|-----||--⌫-|
descoue rt otl adruerie	-------⌫-|-|-⌫|------|
enune ch amb re fu tutsuls	-|--|--⌫---⌫-|-|--|---|
pensis esteit ea nguissus	-----|-----||-⌫-------|
s amie apelemutsouent	|---|----|--|-----|
m esceoneliualutneent	-⌫-|--|-|-|----|----|
plei gneitesuspirot	----⌫----||-------|
dures enautr es sepasmot	|---|-|----⌫-|-|-----|
puisli criecen tfeizm erci	---|-|---|---⌫|---|-⌫---|
queele parlot	--|--|-----|
sunquoresabuchem audit	--|---||-|----|-⌫----|
ceoestm erueille	--|--|-⌫-------|
kil nesocit	|-|-||---|
ilneseitt antcrie r	-|-|---|-⌫--|----⌫|
nedebatre neseidetraire	-|------|-|--|-------|
que ele e n ueulle mer c iaueir	--|--|-⌫|-----|---⌫-⌫|----|
s ul tant que la	-⌫-|---|--|-|
puisseueeir	-----|----|
oilascumentsecuntendra	-|--|-----|-|--------|
u enusiliuntd it	-⌫--|-|-|--|-⌫-|
queal ac urtuoisesanzr espit	--||-⌫|-⌫--|----|---|-⌫----|
l ire is laue itpar	-⌫|--⌫-||---⌫-|--|
lareineloutencusé	-|----||--|------|
lanuali uetod	-----||--|-|
sungran t d oel	--|----⌫|-⌫--|
illeusse nt	-||-----⌫-|
ocisalu rueo il	---||--⌫|---⌫-|
il e stdeuantlereiuenu	-|-⌫-|-----|-|--|---|
mutfudol enttaisanz emu	--|-|---⌫--|------||-|
de grant dolurmustresemblant	-|----|----|-----|-------|
lire isli dit parmal	-|--⌫-|-|--|--|--|
uassal uusm eauezmutmesfai t	-----|--|-⌫|---|--|------⌫|
tropc omencas tes	---|-⌫-------⌫--|
uileinplait	-----|----|
demeihunir	-|--|----|
e lareine lendengier	|-|----|---------|
uantéuusestesdefo lie	-----|--|----|-|--⌫--|
tropparest	---|--|--|
no bleu os tre	--⌫--|-⌫--⌫--|
quant plus estbel es a m eschi ne	----|---|--|---⌫|-⌫|-⌫-----⌫-|
eplusuaillanteq ue lare ine	|---|--------|-⌫-|-|--⌫--|
lanu ald efentla deshonur	----⌫-|-⌫----|-|-------|
elahuntede	|-|----|-|
sun seignur	--|------|
en m otsicu mildist	-|-⌫-|-|--⌫|-|---|
que lareinene r e qu i st	--|-|----|-|-⌫-⌫--⌫-⌫-|
mesde ce odunt	--|-|--⌫|---|
il otparlé	-|-|-----|
rec on ut il la uerite	---⌫--⌫-|-|-|-----|
delamurd until se ua n ta	-||---|-⌫--|-|-|--⌫-⌫-|
do len t en est pe rduel	--⌫---⌫|-|--|--⌫---||
deceolurditquilenferat	-|--|--|--|-|-|-|----|
quan que lacurtesg arderat	----⌫--|-|---|---⌫------|
lire isfum utuers	-|--⌫-|-|-⌫-|---|
t uzseshumme s adenueiez	-⌫-|--|-----⌫|-|------|
purdiredreitquei il en deitfaire	--|---|----|---|-|-|---|----|
cu m nel i puis a mal	--⌫|-|-⌫|---||--|
cilun tsun conmandementfait	--|--⌫|--|-----------|---|
ueu s seitbelu eus	|--⌫|---|--||--|
c omunementi suntalé	-⌫--------||---|---|
iu géeesgardé	--⌫--||-------|
quelanualdeit aueiruniur	--|-----|---|----|-|--|
m esplegges	-⌫-|------|
truissea suns eign ur	------||--|-⌫----⌫-|
qu ilatendra suniugement	-|-|------|--|-------|
ereuendraens unpres ent	|-------|-|-⌫-|----⌫--|
sisera t lacurt	-|----⌫|-|---|
iot dunc for sla	|-|---|---⌫|-|
reuiene ntl i barun	-------⌫-|-⌫|----|
s ilimustrentlareis un	-⌫|-|-------|-|----⌫-|
li r ei s adpleg ges dem a n dé	-|-⌫--⌫|-|----⌫--|---⌫-⌫-⌫--|
lanualfusule esgar é	-----|-|--||-----⌫-|
n iaueitpare ntn eami	||----|----⌫-|-⌫|--|
walwainiuaitki la pleui	------||---|-|||----|
etuit si cu mpainun apres	|---|-|--⌫------|----|
lirei slurdit	-|---⌫|--|--|
surquankeuus tenezde mei	--|-----|--|----|-|--|
teresefieus	----||----|
chescunparsei	------|--|--|
quantpleui	----|----|
f uduncnot	-⌫|---||-|
alez s enest asun	---||-|--||--|
liche ualer luntconuee	-|---⌫----||--|-----|
mutl unt b lasméec hasti é	--||--|-⌫-----||-⌫-----⌫-|
kil ne face	|-|-|---|
si gr antdolu r	-|--⌫--|----⌫|
emaudi e nt sifol amur	|-----⌫-⌫-|-|--|---|
ch esc uniurla loentueer	--⌫---⌫-|--||-⌫----|---|
kiluoleientsaueir	|-|-------|-----|
ui lbeust u ilmanga st	|-⌫|----||-|-----⌫-|
mut dotou entkilsafolast	--|-----⌫--||-||------|
a liu rque	-⌫|--⌫|--|
liba ru nfuren t asemblé	-|--⌫--⌫|-----⌫|-------|
lirei sela rei neifu	-|---⌫||-|---⌫-||-|
e lipleggeuntlanual r endu	|-|-----|--|-----|-⌫---|
mutfurent tu zpurlidolent	--|-----|--⌫|--|-|-----|
ieoquid k il	--|---||-|
e niotteuscent	-⌫||-|---|---|
kifei ssent tut leur poe ir	-|---⌫----|--|---|---⌫-|
pu rluisanzple itdel iureaueir	--⌫|--|---|---⌫-|---⌫---|----|
retté a mut	-----||--|
g rantt o rt	-⌫---|-⌫-⌫-|
lireisdem a ndele	-|---|---⌫-⌫--|-|
sulunc l ecleim e les respu ns	-----|-⌫|----||--|-----⌫-|
ore estt restutsur lesbaruns	--|--|-⌫-----|--|--|-----|
ilsuntal iugementa lé	-|---|-|-------|-⌫--|
mut suntpens if s ee sgare ́	--|---|----⌫--⌫||-⌫-----⌫|
delfra nchummed	--|---⌫-|----||
a utrepais	-⌫---|---|
queentre eu s	--|----|--⌫|
ert si entrep ris	--|-|------⌫--|
enc umbrer leueulentp lusur	---⌫-----|-|------|-⌫----|
pu rla uol entesu n	--⌫|-|---⌫---|--⌫|
ceodistliquoens decornwa ille	--|---|-|-----|-|------⌫---|
iaen dreitnul s	-|--⌫----|---⌫|
queen plurte	--|-|----||
ki qu e enchant	-|--⌫|-|----|
le dreit est uetale rauant	-|----|---⌫--|---⌫|----|
li reisparla uerssunua ssal	-|---|----|---|--|--⌫---|
u usoi nume r lanual	-⌫-|-|----⌫|-----|
defelunieleretta	-|------|-|----|
edunmesfaitl a c heisuna	||-|------||-⌫-⌫------|
n ulsnelapel efor slerei	-⌫--|-||----⌫|---⌫|-|--|
parcelef eikeieo uusde i	--|---|-⌫-|-|--|--|--⌫|
kibienenueutdirel e ueir	-|---|-|---|---|-⌫|---|
ia n i deustrespunsaueir	-|||----|------|----|
si p urc eonu nquea	-|-⌫-|-⌫-|--⌫|--||
suns eignur	--|-⌫-----|
deit bi en partut	---|--⌫-|--|--|
f a ir ehonur	-⌫-⌫--⌫|----|
em ada mesen	|-⌫|--⌫-||-|
dunamurdunt	|-|---|---|
unse rementlengagera	-|--⌫-----||-|-----|
e lire i sle nuspardura	|-|--⌫-⌫|-|--|------|
e si lpeot	||-⌫|---|
auersunguar ant	---|--|----⌫--|
esamie u enis tauant	||---|-⌫----⌫|----|
eceofust ueirkil	|--|---|---||-|
rein esemarist	----⌫|-|-----|
de ceo auerail bienmerc i	-|--|----|-|---|----⌫|
q uantpurui lten el	-⌫---|--|--⌫--|-⌫||
esil nepeo tgarantauei r	||-|-|---⌫|-----|----⌫|
c eo lideuum	-⌫-|-|----|
f aires aueir	-⌫---|-⌫----|
tu tsunseruiseper dedelr ei	--⌫|--|------|---⌫-|--|-⌫-|
e s ildeit cungeerde	||-|---|------|-|
alcheualeruntenuee	-|-------|--|----|
untditenuntié	--|--||------|
fac euenir	---⌫|----|
purl ui tenceregarentir	--|-⌫-|-----||-------|
illur ditq uil ne p oeit	-|--|--|-⌫|-|-|-⌫---|
iapurli sucursn enauereit	-|--|-|-----||-|------|
cils enreuaitas i u ge urs	--||-|-----|-|-⌫-⌫--⌫--|
kiniatende ntn ul	-|||------⌫-|-⌫-|
lir e isleshas tot durement	-|-⌫-⌫-|--|---⌫--|-------|
purla r einekisate nt	--|-|-⌫---|-||---⌫-|
quantildeueient departir	----|-|-------|-------|
deuspuc elesuirentueni r	---|---⌫---|-----|----⌫|
surdeu sbeauspale freiz	--|---⌫|----|----⌫----|
mu tp ares te ientauena nz	--⌫|-⌫-|--⌫--⌫---|-----⌫-|
decendal pur presunt uestues	-|-----|---⌫--|---|------|
tutse ngleme n ta lurchar nues	--|--⌫------⌫-⌫||--|---|---|
cille s esgardo uent uol enters	--|--⌫|-------⌫---|---⌫-----|
walwai n odlitr eischeualers	------⌫|-|-|--⌫--|--------|
uaitalanualsili	---||-----|-|-|
lesdeus puceleslimustra	--|---|------|-|-----|
mut fuh ai tiéfor mentli prie	--|-|-⌫--⌫---|---⌫---|-|---|
lideistsi ceoertamie	-|----|-|--|--|---|
illuradditnesei tki	-|--|-|--|-|---⌫|-|
uienentneueles uunt	------|-||---|---|
celessuntaleesau a nt	----|---|----|--⌫-⌫-|
