or s enuet	-||-|--|
retorne adireensicomilsenuont	------||---|---|--|-||-|---|
entr eluietlancelotetyy	----⌫|--|-|-------|-|-|
escuiersans plus decompaignieetc he ual chententelmanie re	------|---|---|-|---------|-|-⌫--⌫---⌫----|-|--|-----⌫-|
dole nt et pensifkaril	----⌫-|-|-----|--|-|
sont anduim oltcorocié g alehoutde cequ i l	---|----|-⌫--|-------|-⌫------|-|-|-|-⌫|
crientperdre	-----|-----|
s on compaignonporl e roi	-⌫-|---------|--|-⌫|--|
decuimaisnieile stremese tlance losresta	-|--|------|-|-⌫-|----|-⌫|-----⌫--|---||
m alaissedesa dameque ilesloigne s iet	-⌫------|-|-|---|--|-|-------|-⌫|-|
moltlipoise	---|-|----|
quegal eho ut s ueffre	--|---⌫---⌫-|-⌫-----|
por luisisontamala iseliunsporl	--|--|-|---||----⌫--|-|--|--||
a utres i q uile nperdentle	-⌫---|-⌫|-⌫|-|-⌫|------|-|
boiureet l eme ngier	-----|-|-⌫|--⌫----|
e ttan tentendentapen serq u	-⌫|---⌫|--------||---⌫--|-⌫|
ilenpirent moltd elorbialteetde	-|-------|---|-⌫|--|-----|-|-|
lor f or ceettantsen tredotent	--|-⌫--⌫-|-|---||--⌫--------|
par loialami sti e quientrels	--|----|---⌫---⌫|--|---|--|
deuxe stq ualsint liuns	---|-⌫-|-⌫|-----|-|--|
osemetre l autreenp arolederiens	--|----||----|-|-⌫----|-|----|
do ntilsoitama laise altresintcom il sentissent	--⌫-|-|---||--⌫----|--------|--|-|---------|
m esfet dau cu nechose li un s uerslautre.	-⌫----||--⌫--⌫-|----|-|--⌫|---||----||
ma is nuledolor nesapare illea ce	--⌫-|---|----|-||-----⌫---||-|
que galeho utsueffre kar ilauo it	--|------⌫-|------|--|-|---⌫-|
amorlance lottotce	---|-----⌫--|--|-|
pooitmetre	----|----|
cueretcors ettote	---|-|---|-|---|
hono rq ui mielsualt.	----⌫|-⌫-|----|---||
i l liauoitsi doné s on cors qu i lamast	-⌫|-|----|-|----|-⌫-|---|-|-⌫|----|
mi els aueoirsamortq uelalance lot	--⌫--||----|-|---|-⌫-|-|-----⌫--|
il li au oitsidon éson cuerla	-|-|--⌫--|-|---⌫-|--|---|-|
ouilne p ooitau oirioie	-|-|-|-⌫---|--⌫--|---|
et por luifist	-|--|--|---|
il si g rantamorq u	-|-|-⌫---|---|-⌫|
ilc riamerci	-|-⌫--|----|
lero iartu etsil auoit il	-|--⌫|---|-|-||----|-|
tor néa de sconfitureet aprochéd	---⌫--||--⌫---------|-|-------||
estredeser i t és.	----|-----⌫-⌫-⌫--||
tant ontcheualch iéen cestemaniere	---|--|--------⌫--|-|----|------|
aprochierent del roialmedesorelois	-----------|--|------|-|-------|
galeh outsiconreésquilni atentse	-----⌫--|-|-------|-|-|||----|-|
etlanuitdeuantqu il uen iss enten soreloissi	-|-|---|-------|-|---⌫---⌫--|-|-------|-|
u i ndrent aunchastelqui estoitl e	-⌫-⌫-----||-|------|--|-----|-⌫|
roidesfranssiauoi tnon lagard e le roi	--|--|----|-|----⌫|--|-|----⌫|-|--|
carliroialmesdes fr ansmarchis soit	--|-|-------|--|--⌫--|-------⌫---|
asoreloi spar	|-------⌫|--|
deu ers gale rne etde	---⌫--|----⌫--|-|-|
cele p artco rt	---|-⌫--|--⌫-|
lihombres.	-|------||
f u galehoutmolt malade s maismonstroitil	-⌫|-------|---|------⌫|---|--------|-|
p lu sb el	-⌫--⌫|-⌫-|
samb lant quelic uersn eli aportoit.	----⌫---|--|-|-⌫---|-⌫|-|-------||
etlance lo s qui moltauoitgr antdolorde	-|-----⌫--⌫|--|---|----|--⌫--|----|-|
sonmalagel econforte	--|-----|-⌫|-------|
moltm aisnusconf orsn	---|-⌫--|--|----⌫--||
i ames tier	||---⌫---|
nelance losne li osedem and erlache ison	-|-----⌫--|-|-|--|---⌫---⌫-||----⌫---|
desa dolor kar illi menbrede ce que	-|-|----|--|-|-|-----|-|-|--|
ga lehoutl auoit	--⌫-----||----|
sidebonair ement	-|--------⌫----|
soffertensa dolorsansriendemand er	------|-|-|----|---|---|------⌫-|
il reme istses compaignons.	-|----⌫--|--|----------||
autre par tse	----|---⌫|-|
reporpenseil quecenepor roitilpas	---------|-|--|-|-|---⌫---|-|--|
soffrir longuemen tan cois	------|---------⌫|--⌫---|
lienquerrro i t laueritekardechose qui	-|---------⌫-⌫|-|-----|--|-|----|--|
apartenist ne sofferroitilpa s qui lfuist	---------|-|---------|-|--⌫|-|-⌫|----|
a malaiseetilsospiecebienquil n	|------|-|-|-------|---|-|-||
esta mal aise se par lino n .	--||---⌫---|-|--|-|--⌫||
et quantgaleho ut	-|----|------⌫-|
fucochiésetil cuida quela ncel osfu ste ndormis	-|-------|-|-|----|--|--⌫----⌫-|--⌫-|-⌫------|
si co mmence	-|--⌫-----|
sond uel afai resi co me de	--|-⌫--||---⌫-|-|--⌫-|-|
plaindre etde plorere t di s oitmoltsou enthadi ex	-------|-|-|-----|-⌫|--⌫-⌫--|---|---⌫--|-|--⌫-|
trahicilquisi preudom esto it	----|--|--|-|------|----⌫-|
tote nuitdemena galehoutcestedolordesiau	---|---|-----|-------|----|----|---|-|
otauques dueletla nce lo s	-|-----|---|-|--⌫---⌫--⌫|
fuauquesaaisekar to t e nuit dormi.	-|-----||---|--|--⌫-⌫|---|----||
almati nmontentsorlorc heua ls etissirent	-|----⌫|------|--|--|-⌫----⌫-|-|-------|
forsde l chas tel et cheualchierent	---|--⌫|----⌫--|-|-------------|
ledroi tch emin	-|----⌫|--⌫---|
uerssorelois .	---|-------||
sicheual cheg alehout tot de riereet	-|------⌫--|-⌫------|--|--⌫----|-|
otson c haperonsor les ielxetaloit	-|--|-⌫------|--|--|---|-|----|
lechie fenclinsigrant aleure	-|----⌫|-----|-|----|-----|
pooi ttrairedesonpalefroitantqueil	----⌫|-----|-|--|-------|------|-|
passe la ncelot et sesescu ie rs.	----|--⌫-----|-|--|----⌫--⌫-||
et lors entre nte n	-|---|-----⌫-|-⌫|
une forest	--|-----|
qui otn onglorin desiest	--|-|-⌫-|------⌫-|-|--|
en treleterre le	--⌫--|-|----|-|
roi des fransetsorelois	--|--|----|-|-------|
etmar chistd ecele partoulio m brescort.	-|---⌫----|-⌫|---|---|-|-|-⌫-⌫---|---||
e nsintcheualchega lehout maset	-⌫----|--------|--⌫-----|--|-|
pensisqu ilneditmotnalancelot	-----|-|-|-|--|--|||-------|
autruitantqueses	-----|------|--|
p alefrois e st	-⌫-------|-⌫-|
t ostre s suan s.	-⌫-|---⌫-⌫----⌫||
etlors estentrés en un	-|---|--|------|-|-|
chemin perrous et liche uals	-----|------|-|-|---⌫---|
f udur ementcargié s d el cheualierq ui	-⌫|---⌫----|-------⌫|-⌫-|--------|-⌫-|
s orluifugrans etp e sansetpla in sde	-⌫-|--|-|----|-|-⌫-⌫---|-|---⌫--⌫|-|
do lerospens es etsirefuencombrésde la	--⌫----|----⌫-|-|-|---|---------|-|-|
malueseale urequeil aloitsi	------|---⌫--|--|-|----|-|
acoupaaune despierre sdontlic heminestoit	-----||--|--|------⌫|---|-|-⌫----|-----|
espessementionchiés si	----------|--------|-|
aterredambesdeuslesgenolset qu e l esresnes	|----||--------|--|-----|-|--⌫|-⌫-|-----|
enuolentagaleho uth ors	-|-----||------⌫-|-⌫--|
dela maine t	-|-|---|-⌫|
tressautde sonpe ns ers ilia nuiel i co upers	-------|-|--|--⌫--⌫-|-⌫|-|-⌫---|-⌫|--⌫----|
delpalefro i	--|-------⌫|
silefi er t sidurementd e se sperons	-|-|--⌫--⌫|-|-------|-⌫-⌫|-⌫------|
queli sans	--|-|---|
l isau tpa ra mbesde uslescostes etlipalef rois	-⌫|---⌫|--⌫|-⌫------⌫-|--|-----|-|-|-----⌫---|
selanc e o utr e detotesauertu.	-|----⌫|-⌫---⌫|-|---|-|----||
et ga lehout	-|--⌫-----|
o tfa illia prendreles	-⌫|--⌫---||------|--|
resnes quif u rentso r leco lde lch eualet	-----|--|-⌫-⌫---|--⌫|-|--⌫|--⌫|--⌫---|-|
allanc ierq u ilfists i	-|----⌫--|-⌫|-|---|||
en combred ambesdeuslespies	--⌫-----||--------|--|---|
etuoleout re latesteentre les	-|---|---⌫-|-|----|----|--|
iambe ssidurementq uil s epe cho iele	-----⌫|-|-------|-⌫|-|-⌫|--⌫---⌫-|-|
colen trauers .	--|-|------||
et galehou tsi	-|-------⌫|-|
grans com ilestoit	----|--|-|-----|
uolehorsdesarconset	---|---|--|-----|-|
chietdesusles	----|----|--|
pie res tosenuerssif elenessementqu	---⌫--|--|-----|-|-⌫-----------|-|
a bien petit quil	|---|----|-|-|
ne s ecreue lecuerel	-|-⌫|----|-|---|-|
quant lancelosle uitchaoi ren telmani ere	----|-------|-|--|-----⌫|-|--|----⌫--|
si otmoltgrantpoor	-|-|---|----|---|
q u ilnesoitmors sisauta te rr e	-⌫|-|-|---|---|-|---||--⌫--⌫|
desonpalefr oie tuint	-|--|------⌫-|-⌫|---|
corantla ouil gisoit	-----|-|-|-|-----|
etquantiluoitquil	-|----|-|---|-|-|
nere muem enbre	-|--⌫--|-⌫----|
qu ilai t sicriasihaut	-|-|--⌫|-|---|-|---|
puet plushas ainte marie	---|---|-|-⌫----|----|
l orslenbrace etla	-⌫--||------|-|-|
grantdolorquil senta son	----|----|-|-|---||--|
cuerpor la grantpo or	---|--|-|----|--⌫-|
delamortlefe trefroidir	-|-|---|-|--⌫|--------|
sis este ntdele slui e tchiet	-||----⌫-|----⌫|--|-⌫|----|
pasmésat erre	------||-⌫---|
e talcheo irquilfis tsi	-⌫|-|----⌫-|-|-|---⌫|-|
l ataintlitrenchansdunepierree l	|-----|-|--------||--|-----|-⌫|
front de suslesenestr esorcilsi litre nche	----|--⌫--|-|-------⌫|-----|-|-|---⌫---|
lac har etle cui r des iqu	-|-⌫--|-|-|---⌫|---⌫--|
lorss onttuit li quat reescuie rmoltesbahikar	---|-⌫--|---|-|----⌫-|------⌫|---|-----|--|
i lcui dentqueliunset liautresoit	-⌫|---⌫---|--|-|--|-|-|----|---|
sidetor dent lorpoinsetes rache ntlor	-|-----⌫---|--|----|-|--⌫-----⌫-|--|
demainentsi grantduelquil n epueent	--------|-|----|---|-|-|-⌫|-----|
gre i gno rmener.	---⌫-⌫---⌫|----||
mai snede morapaslong uement	---⌫|-|--⌫---|--|----⌫-----|
que gal ehoutuint de pasmison sise	--|---⌫----|---|-|-------|-|-|
plain t moltdurementetoeure	-----⌫|---|-------|-|----|
lesiexetse	--|--|-|-|
m e rueille de celsqu	-⌫-⌫------|-|---|-|
iluiten torlui.	-|--|--⌫--|--||
maisqua nt iluitlancelotet lesan cquili	---|---⌫-|-|--|-------|-|-|---⌫|--|-|
chai d esapla iesi	---|-⌫|-|---⌫-|-|
en fumolt dolensetplus asses quedesmal s	-|-|---|-----|-|---|----|--|--|---⌫|
etquan ti lleuitreuenir de pasmis onsili	-|----⌫|-⌫|-|--|------|-|------⌫-|-|-|
demandeq ueceauoitesté etlance losl ico nteen	------|-⌫-|-|----|----|-|-----⌫--|-⌫|--⌫--|-|
sos pirant legrantp oor	---⌫-----|-|----|-⌫--|
quil auoit	-|-|----|
etgal eh outs en	-|---⌫--⌫--||-|
m er ueillemolt si ato rne il m eesmes alancel otsa	-⌫--⌫-----|---|-|---⌫--|-|-⌫-----||------⌫-|-|
plaieet unsescuiersliam aineu n	----|-|--|-------|-|--⌫---|-⌫|
pal efroipor lesuenqui morsesto it .	---⌫----|--|-|---|--|---|----⌫-||
etil montesi reprenent acheualchieret autr esi	-|-|----|-|--------||----------|-|----⌫--|
sontliescui ermonté.	---|-|-----⌫-|-----||
maisla plaie	---|-|----|
lancelotamisgalehoutenteleffroiqui l	-------||--|-------|-|--|-----|-|-⌫|
enato tson penselaissiéet	-||--⌫|--|----|-------|-|
metlancel otplus en parolesqu	--|------⌫-|---|-|------|-|
ilne faisoit deuant.	-|-|------|-----||
etlan ce loslidist s irefeti l	-|---⌫--⌫--|-|---|-⌫--|--|-⌫|
ilestmolt gransui lo nie a sihauthom e	-|--|---|----|--⌫--⌫--||-|---|---⌫|
estesqua ntil li meschiet par	----|---⌫-|-|-|-------|--|
uncouper sicom	-|-----|-|--|
ilfist oreauos	-|---|--||--|
e tapoiqueu o sn estesmorspar	-⌫||--|--|-⌫-⌫||----|---|--|
cequeuos ne t eni st esp asbien	-|--|--|-|-⌫---⌫--⌫-|-⌫-|---|
uostrefrain	-----|----|
etseuosfuissié snemors ne	-|-|--|--------⌫|-|---|-|
meheignié senices temanierec efust trop	----------⌫|-|----⌫-|------|-⌫|---|---|
gransmes cheance .	----|---⌫------||
atant lirespontgalehout	----|-|------|-------|
e tdistcertessire m e sche an cesnem e	-⌫|---|-----|---|-⌫-⌫----⌫--⌫--|-|-⌫|
commencent ore miesi	---------|--|--|-|
suiiel ic heual ierselm onde	--|-|-⌫|-⌫-----⌫---|-|-⌫---|
a cuigreignors chea n ces ont	|--|--------|----⌫-⌫--|--|
estéetile stde s oremes	----|-|-|-⌫-|--⌫|--|--|
bienraison	---|-----|
m eschiece qu	-⌫-------|-|
mepuet plusbienchaoir	-|---|---|---|-----|
kardi ex fistiaun io r ta ntpormoi	--|--⌫-|---|-|-|--⌫|--⌫-|--|--|
quil medonace	-|-|-|---|-|
que ieuoloie	--|-|-----|
etquia quanqueiluelt ilne	-|--||------|-|---|-|-|
pue t plusgaaigniermai sil	---⌫|---|--------|---⌫|-|
puetperdre	---|-----|
etie sui a la perte ent rés .	-|-|--||-|----|---⌫---||
dece s te parolealancelosgrant ir eetgran t	-|--⌫-⌫-|-----||-------|----|--⌫|-|----⌫|
anuiaancekarilsos piecebiena quel choseele puet	--------|--|-|---⌫----|---||---|----|--|---|
req uiert et c on iure dela rien	---⌫----|-|-⌫--⌫---|-|-|---|
q u ei laimepl usel mondequ illi	-⌫-⌫|-⌫|---|--⌫-|-|----|-|-|-|
dieu erite porcoicestemescheanse lie stcommencé	--|-⌫----|--|--|----|---------|-|-⌫-|--------|
aueniretporco iilasilo nguement	|----|-|--|--⌫|-||-|--⌫-------|
pensé karilneleuit onquesmais si esbahi	-----|--|-|-|-|--|-----|---|-|-----|
co mila estéen	--⌫|-||----|-|
cesteuoie.	----|---||
etieuo s prisire fet ilse i efis	-|-|--⌫|--|---|--|-|-|-⌫|--|
onquesse ruiseque	-----|--⌫----|--|
uospleustqueuosm endiésl e	--|-----|--|--||-|----|-⌫|
uoirsansrien	---|---|---|
neuos nede ué smie estre	-|--|-|--⌫---⌫|--|----|
enuersmoic ouers karuos s auésbien q ueie uo s	-----|--|-⌫----|--|--|-⌫----|---|-⌫-|-|--⌫|
aimso r tos homesqui onquesfuisse nt	--|--⌫|--|----|--|-----|------⌫-|
etde ce aiie droitkar	-|-|-|-|-|----|--|
oionqu esnulgrant	-|----⌫-|--|----|
bienseparuos non.	---|-|--|--|--||
certes fetgalehou tnuscu ersnese	-----|--|-------⌫|--|--⌫--|-|-|
porroit uersuosc e l eret ieuos diraic e	------|---|--|-⌫-⌫-⌫-|-|-|--|----|-⌫|
qu eienos ai o nquesa	--⌫|-||--⌫-|-⌫----||
home dire.	---|---||
duelet encesteangu oiss equeiai silonguement	---|-|-|----|----⌫----⌫|--||-|-|---------|
menémontfait grantp oor duimoltfelonsonge	----||--|---|----|-⌫--|--|---|----|----|
quim euin drentau an tier	--|-⌫|---⌫----|--⌫--⌫|--|
enaui si on	-|---⌫--⌫-|
karilm estoitauis	--|-||-----|---|
enmondormant que i e	-|--|------|--|-⌫|
estoieenlamaison	-----|-|-|-----|
leroiartumon seignor o grant	-|--|---|--|------||----|
compaigniedecheualiers	---------|-|---------|
si uenoit hors	-|-----|---|
de la cham bre laroin eun	-|-|----⌫--|-|----⌫|-|
serpentlegreignordon ieonqu eseuisseoip arle r et	------|-|-------|--|-|----⌫-|-----|-|-⌫----⌫|-|
uenoi tdroi tement amoie tes p a nd oitfeu etflambe	-----⌫|----⌫-----||--|-⌫|--⌫-⌫-⌫--⌫--|--|-|-----|
siqueiep erdoielamoiti e detos	-|--|-|-⌫-----|-|-----⌫|-|--|
m esmenbres	-⌫-|------|
ensi nt m auintlapr emier e	----⌫-||----|-|--⌫-----⌫|
nuitetlautreapr es mef u aui s que	---|-||----|---⌫-|-|-⌫|---⌫|--|
iau oie ded ensmonuen tre.	|--⌫--|---⌫--|--|---⌫--||
yycuers et estoients i p a r eilqu eapaines	-|----|-|-------|-⌫|-⌫-⌫-⌫--|--⌫||-----|
peus tlenl	----⌫|--||
un deuis erdelautre.	-|-----⌫-|-||----||
iemeregardoiesi	-|-|--------|-|
enperdoie l unet	-|------||-|-|
quant ilert	----|-|--|
moi sideuenoi tun	--|-|-------⌫|-|
lieupart et seferoiten un e	-------|-|-|-----|-|--⌫|
gr antcompaignie debestes	--⌫--|---------|-|-----|
etm a intenantmesec hoitlicue r s ettos l icors	-|-⌫-⌫-------|-|---⌫---|-|---⌫-⌫|-|--|-⌫|---|
et mert aui s el	-||--|---⌫|-|
songeque iem oroie .	----|--|-|-⌫----||
icesontliduisongeporcoiiai	--|---|-|--|----|--|--||-|
tantp ense ́neiama i sne	---|-⌫----⌫|-|----⌫-⌫|-|
sera iaaise deuan tc e queie sachecerta inement	----⌫||---|-----⌫|-⌫|--|-|----|-----⌫------|
quece senef ieets iensai	--|-|-----⌫-|-|-⌫|-|--|
ie ia alcunechose .	-|-|-----|----||
sire fet lancelos uosestessisageshom	---|--|-------|--|----|-|----|--|
queuos ne deués miec roire	--|--|-|-----|--|-⌫----|
ka rsongesnepuet anuleuerit e	--⌫|-----|-|---||---|-----⌫|
monter karautresicomiles t fausensoniant	-----|--|------|--|-|--⌫|---|-|------|
estilf a u s enauenture ne u os nedeués	--|-|-⌫-⌫-⌫|-|-------|-|-⌫-|-|-----|
pas dec eauoir p oor kar	--|-|-⌫|----|-⌫--|--|
sieclehom e	-----|---⌫|
sipuissant	-|-------|
quiuo spuis tm et realdesos	--|--⌫|----⌫|-⌫--⌫-|-|----|
karuos estes	--|--|----|
lip lusp uissanshom qui orendro it uiue .	-|-⌫--|-⌫------|--|--|-------⌫-|---||
de t ot esceschose sfetgalehoutneme puet nuire	-|-⌫--⌫-|--|-----⌫|--|-------|-|-|---|----|
cunsseus hom	|--|---|--|
etse cilme ueltnuire nu s	-|-|--|-|---|----|--⌫|
nemep o rroita idi er.	-|-|-⌫-⌫----|-⌫---⌫-||
etse nule f orcedeclergiemi	-|-|---|-⌫---|-|------|||
puetauoirmestierie	---|----|------|-|
sauraiquemidui	-----|--|-|--|
songesenefientka r	----|--------|--⌫|
ienoi o nques sigrantdesirrierde nulerien	-||-|-⌫----|-|----|--------|-|---|---|
neapresceque u os u ainquistes l asambleed el roi	-|----|-|--|-⌫-|-⌫---------||-------|-⌫-|--|
d e moiasarmes	-⌫|--|-|----|
uermeilles n	---------||
oiie greigno ruolented euosc ono istrequ e i a i	-|-|-------⌫|------|-⌫|--|-⌫---⌫----|--⌫||-⌫|
d ecestechoses a uoir .	-⌫|----|----|-⌫-⌫---||
lan cel osi e necuit miequenusc lerg ie suos	---⌫---⌫-|-⌫|-|---|--|--|--|-⌫----⌫--⌫|--|
puissedir e	-----|---⌫|
chosequiestaauenir.	----|--|--||-----||
ferabienfet galehout.	---|---|--|-------||
dontne sot liroisartus	---|-|--|-|---|----|
buens clerslauer itede s e ssonges	----|----|-|---⌫--|-|-⌫-⌫|-----|
queil soniaett otce	--|-|----|-|-⌫-|-|
quilsenefioient	-|-|----------|
li dis trentilbien	-|---⌫----|-|---|
qu illi c ouenoit	-|-|-|-⌫------|
aperdreto t ehonor terriene	|-----|--⌫-⌫|----|-------|
en sintparolen t	--⌫---|-------⌫|
longueme ntentregalehoutetsoncompaignon	--------⌫-|----|-------|-|--|---------|
tantqueil uin drentt ot lecheminiusqu al	------|-|---⌫----|-⌫-|-|-----|----|||
euedesurne	--|-|----|
etpass entunpontquimarchisoit	-|----⌫--|-|---|--|---------|
adeusroialmese taune duch eeet	|---|-------|-⌫||--|----⌫-|-|
cestoitliroialmesdesfransetcil	|-----|-|-------|--|----|-|--|
desmarches de galoneet	--|------|-|-----|-|
ala d uchee deri uel .	|-|-⌫----|-|--⌫--||
etquanti lfu r ent outresito rnagalehout	-|----|-⌫|--⌫-⌫--|----|-|--⌫--|-------|
une uoies urd est r e	--|---|-⌫-|-⌫---⌫-⌫|
m enoi taunsuench astelq u	-⌫----⌫||-|---|--⌫----|-⌫|
ilauoi t nouelement fermé	-|----⌫|---------|-----|
sis e o iten laplus fort	-|-⌫-⌫-⌫-|-|-|---|---|
place det errequ i l	----|-|-⌫---|-|-⌫|
eustdetotsonpooiret	---|-|--|--|----|-|
ilm e isme liauoi t	-|-⌫-⌫---|-|----⌫|
lorgueillosegardepor	|----------|----|--|
labialteet	-|-----|-|
por laforc e quil au oitet	--|-|----⌫|-|-|--⌫--|-|
uantésqu eiluec metroitille roiartu enprison	------|--⌫|----|------|-|-|--|---|-|-----|
si seoitlichastials en une roche naiue	-|----|-|--------|-|--|----|----|
enh au t etpardesoscoroitune e ue rade	-|-⌫--⌫|-|--|----|-----|--|-⌫-|---|
et br uian tq uicha oite nsurneetam ains	-|--⌫----⌫|-⌫-|---⌫--|-⌫|----|-||-⌫---|
dequatre lieues	-|-----|-----|
es t celeeu eapeleecerance	--⌫|---|--⌫|-----|------|
aceluichas telto rna	|----|----⌫--|--⌫--|
galehoutkar la nuitiuoloitges ir en	-------|--|-|---||-----|---⌫-|-|
m oltbeles	-⌫--|----|
maisonsqui l ia uo it	------|-|-⌫||-⌫--⌫-|
ca rilen fu	--⌫|-|-|-|
presaune lieuegalesche	---||--|----|-------|
sileuirent to t apertementetla torfor t	-|-|-----|--⌫|---------|-|-|--|---⌫|
ethautdesorla rocheet lab aile	-|---|----|-|----|-|-|-⌫---|
en uironfor tet espeset torneles men uement	--⌫----|---⌫|-|----|-|-------|---⌫-----|
kernelees .	--------||
sicomenca lancelos aparlerpremie rementetdistcertes	-|------|-------||-----|------⌫-----|-|---|-----|
sireilsamblebi enque par gra nthautecefu	---|-|-----|--⌫-|--|--|---⌫-|------|-|
cistc hastialsenco mmenciésqueonques m esne uis i	---|-⌫-------|----⌫--------|--|-----|-⌫-|-|-|-⌫|
coi nte nesibel.	---⌫--|-|-|--||
etgale houtencommence asospirerbials	-|----⌫---|---------||-------|----|
do zc ompains	--⌫|-⌫------|
amisseuo ssauiésco mde grantfier te	---|-|--⌫|------|--⌫|-|----|----⌫-|
i lfu commenciés uoirementl e d iriésuos.	-⌫|-|----------|--------|-⌫|-⌫-----|--||
cer tes acel	---⌫--||--|
pointqueie	----|--|-|
le commenca ibao ieie aconquere	-|--------⌫|---⌫-|-||-------|
la s eignorie	-|-⌫-------|
