moutparfugente c reature	---|--|-|----|-⌫------|
etenp risonmainentetl ient	-|-|-⌫----|------|-|-⌫---|
par laci t eli crisen l ieue	--|-|--⌫-⌫|-|---|-|-⌫---|
quecelegen tformentlesgrieue	--|---|---⌫|------|--|-----|
romu lusf u lor	----⌫--|-⌫|--|
lipremierssiocistsonfre re	-|-------|-|----|--|---⌫-|
quiltres saillilesmurs	-|-|----⌫-----|--|---|
derommep lusenfu seurs	-|----|-⌫--|-|-|----|
deuantena uoit grantdoutan ce	-----|-|-⌫---|----|------⌫-|
caril es toit sires defrance	--|-|--⌫---|----|-|-----|
romulusmandel e srommains	------|----|-⌫-⌫|-------|
ce ulsd en torlui etleslontains	--⌫--||--⌫--|--|-|--|-------|
uieg nentisne leme nt	----⌫---|----⌫----⌫-|
enpoudorei	-|--||--||
otmou tdegent	-|---⌫|-|---|
cil deromm e sensontissu	--|-|----⌫||-|---|---|
qua ntlirommain	---⌫-|-|------|
furent u enu	-----|-⌫--|
entre athiset pro celias	----|----|-|---⌫-----|
deromme issirenttoutle	-|----|-------|---|-|
mout orentbel ecomp aignie	---|----|---⌫|----⌫-----|
etdebata illebien	-|-|----⌫---|---|
armé furen t d	----|-----⌫||
une armeure	--|------|
lor compaignief umout dur e	--|---------|-⌫|---|---⌫|
enlorcom pai gnes ont yymile	-|--|---⌫---⌫--|-⌫--|-|---|
noblem ent isse nt delauil e	------⌫--|----⌫-|-|-|---⌫|
bele ge ntotl i	---|--⌫-|-|-⌫|
ensacompa i gne	-|-|-----⌫-⌫--|
ot maintprodomme	-|----|-------|
quiessirent des troiens	--|-------|--|------|
encontrelesegypciens	-------|--|--------|
ar més uiennen tpour eu lsdeffend r e	--⌫---|-------⌫|---|--⌫-|-------⌫-⌫|
mo uten cuidentocirre etpren dre	--⌫-|-|------|-----|-|----⌫--|
liroisdero mmepre us	-|---|-|--⌫--|---⌫-|
moutestoitpreusde to us lignages	---|-----|----|-|--⌫-|-------|
ses p eresfufil seneas	--|-⌫---|-|---⌫|----|
qui onque sdarmesne	--|-----⌫||----|-|
des essilliés quis ontdetro ie	--|---------|--|-⌫--|-|---⌫-|
qui mainte	--|-----|
fois otire eti oie	---|-|--|-|-⌫--|
puisprist lauinee totlar ente	---|----|-----|-⌫|-|---⌫---|
parcoimor utma inte iouu ente	--|--|---⌫-|--⌫---|----⌫---|
romulus fu sages deguerre	------|-|----|-|-----|
estran ge g ent ui ntens aterre	------⌫-|-⌫--|--⌫-|-|-⌫|----|
qui sontuenu	--|---|---|
por luide struire	--|--|--⌫------|
bi engent mener e t duire	--⌫-|---|----|-⌫|----|
se sb ataillesadeu isees	--⌫|-⌫-------||---⌫----|
yyesch ielesb ien o rd enees	-|----⌫----|-⌫--|-⌫--⌫----|
la premie r eba illeeuas	-|------⌫-⌫|--⌫---|---|
etlautreapres	-||----|----|
proceli as	-------⌫-|
e s toientl iplushaut homm e	-⌫-⌫-----|-⌫|---|---|----⌫|
etlimeillordetouteromme	-|-|------|-|----|----|
etlatiercebaill aathi s	-|-|-----|-----⌫|----⌫|
quin estoitpas	--||-----|--|
nésdupais	---|-|---|
maisneporquantform entlama	---|---------|----⌫--||--|
etaubesoingmoutsifia	-|-|------|---|||--|
a sesbaronslesaut res l iure	|--|-----|--|---⌫--|-⌫---|
aceulsquisontpreu setdel iure	|----|--|---|----⌫|-|---⌫---|
etch e uauch ent seu rement	-|--⌫-⌫-----⌫--|---⌫-----|
lirommain orent bone	-|------|----|---|
et richemen tappareil lie	-|--------⌫|--------⌫--|
etdebienfaireencoragie	-|-|---|----|--------|
e t a greuer	-⌫|-⌫-----|
quienlorterresesontmis	--|-|--|----|-|---|--|
q ui lorpo rroittolirlornes	-⌫-|--|--⌫----|----|--|--|
etpuis lortentes etlortres	-|---|--|-----|-|--|---|
bie n lor cherroient ambesas	---⌫|--|---------|----|-|
n e sero it	-⌫|----⌫-|
pas li to rnois agas	--|-|--⌫----||--|
la gentfolefurent uenue	-|---|---|-----|----|
qu i pa r late rre estespandue	--⌫|--⌫|-|--⌫--|--|-------|
mou tiauoientgaaignié	---⌫||------|--------|
enreue noientcharchié	-|----⌫-----|--------|
dauoirdepro ieetdepriso ns	|----|-|---⌫-|-|-|-----⌫-|
qua nt il uoi entlor	---⌫-|-|---⌫--|--|
de ro mmeerentuenu	-|--⌫--|----|---|
etcheuauchoie ntauertu	-|-----------⌫-||----|
lors s ator nenthast iuem e nt	---||----⌫---|----⌫----⌫-⌫-|
enc ontreuont ire ement	---⌫----|---|---⌫----|
et ontlorbatailles	-|--|--|--------|
etordeneesl or	-|-------|-⌫-|
dpars b ien	|---|-⌫--|
s e n trefierent	|-⌫-⌫---------|
ethardiementser eq uierent	-|---------|-|-⌫--⌫------|
la ueissiést ante scufraindre	-|--------|-⌫--|-⌫--|-------|
ettant haub ercrompre et desioindre	-|---|----⌫--|-----|-|---------|
tan t cheuali er naur éa	---⌫|-------⌫-|----⌫-||
un chapleduretfort	-|-----|--|-|---|
bien lesrequistre nt	---|--|---------⌫-|
l irommain	-⌫|------|
les fierenttoutdeplain	--|------|---|-|----|
liroisderomme fumout prou s	-|---|-|----|-|---|----⌫|
enlabata illeo tyyn euous	-|-|----⌫---|-⌫|-|-⌫----|
quipar le c h amppoignent souuent	--|--|-|-⌫-⌫--|-------|------|
et diceulsfor t se combat ent	-||-----|---⌫|-|------⌫--|
for mentes toien tpre u ets age	---⌫---|--⌫-----⌫|---⌫|-|-⌫--|
m out lorfaisoientgrantdommage	-⌫--|--|--------|----|------|
moutl es doutentegipcien	---|-⌫-|------|-------|
quecillesrequeroientbi en	--|--|--|----------|--⌫-|
fu rentcel iou rel	--⌫---|--|---⌫|-|
champmout preu	----|---|---|
entreat hi s	----|--⌫--⌫|
etprocelia s	-|--------⌫|
lesuontsouuen t ferir el tas	--|---|------⌫|----|-|--|
bonche ualier fur entle iour	--|---⌫-----|---⌫--|-|---|
ensamble fu rentpar l	-------|--⌫---|--||
m al sontuenuq uientreuls	-⌫-|---|---|-⌫-|---|---|
ensamble tout leiors e	-------|---|-|--|-⌫|
ma int enfont	--⌫--|-|---|
t rebuch i erleior	-⌫------⌫-⌫-|-|--|
liduiconpaignonpar lestor	-|--|---------|--||----|
lor doiescusontdetrenc hié	--|--|---|---|-------⌫---|
lorb rancsa n g lant	--|-⌫---|--⌫-⌫-⌫---|
p roceliaset	-⌫-------|-|
bien sentrefiere nt	---||----------⌫-|
d unesl es	|-|---⌫-|
leslance s brise ntasescus	--|-----⌫|-----⌫-|-|----|
mais nu sdeulsy yn enest	---|--⌫||---|-⌫||-|--|
lorss ent reuiennentautorner	---||---⌫---------|-|-----|
m e rue ille usco lpss euont	-⌫-⌫---⌫----⌫-|--⌫--|-⌫|---|
proceliasliatolu	--------|-||---|
chiets orlescu	----|-⌫-||---|
procelias prentle destrier	--------|----|-|-------|
en toutelostn	-|----||--||
au oit pluschi e r	--⌫--|---|---⌫-⌫|
etathismuetsipoint	-|----|---|-|----|
lefiertpartelmo lle	-|----|--|--|--⌫--|
q ue lauberc li	-⌫-||-----|-|
et iusdelde stri erabatu	-|--|--|--⌫----⌫-|----|
el co rslimetsonconfanon	-|--⌫-|-|--|--|-------|
enuersl abatiso rlarcon	-----||----|--⌫||----|
si q uetrestousdesatiri és	-|-⌫-|-------|--------⌫--|
la rcondeuant plaissiés	|-⌫---|-----|---------|
et cil fie rtlui	-|--|---⌫-|--|
queson esc u deua n tli fent	--|--|---⌫|----⌫-⌫|-|---|
parmilescu passale fer	----||---|----|-|--|
yyd esmaill es	-|-⌫-|-----⌫-|
delhaubert	--|------|
toutesensamblelipassa	-----|-------|-|----|
mai sla lancefrolle brisa	---⌫|-|----|-----|----|
por cene letouchaelcors	--|-|-|-|-----|-|---|
q ue life rs esttornésdefo rs	-⌫-|-|--⌫-|--|------|----⌫-|
enpasse nt	-|-----⌫-|
a t hisnenotmie demal	-⌫-⌫--||-|-|--|-|--|
mai s frollesfuelcors naurés	---⌫|------|-|-|---|------|
tou totsa ngl ent	---⌫|-|--⌫---⌫--|
undescostes	-|--|-----|
athis guencistu erslui arriere	----|-------|-⌫--|--|------|
tou tesalanceauoiten tiere	---⌫-|-|----|----|--⌫----|
sia ferufroll e	-||---|-----⌫|
quillabatiel	-|-||----|-|
sablon no i	------⌫--⌫|
p rentoulirois s ist	-⌫---|-|-|---|-⌫--|
ireeme ntue rsluiguenchist	------⌫-|--⌫-|--|--------|
tin t le brancnugra nt cop lidonne	---⌫|-|----|-|---⌫-|--|-|----|
sifiertle r oi	-|----|-|-⌫-|
que to utlesto nne	--|--⌫-||----⌫--|
frol lesfu uains	----⌫--|-|----|
dusancquill esse	-|---|-|-|-⌫---|
et delu assal qui	-|--|-⌫----|--|
t rop lenpres se	-⌫--||------⌫-|
pooitmaissoustenir	----|---|--------|
toutauoit misaucouuenir	---|----|--|-|-------|
qua ntlere scouentc il d	---⌫-|-|--⌫------|-⌫-||
lor seignor	--|------|
e n menerent quite	-⌫|-------|----|
maisaures co u rrelorseigno r	---|-|---⌫--⌫-⌫--|--|------⌫|
i u eissiéssi	|-⌫-------|-|
grant est or	----|---⌫-|
h iaumestrench ieres cus quasser	-⌫-----|------⌫--|--⌫--|------|
et tant fierco p debranc d onner	-|---|---|--⌫|-|----|-⌫----|
e nl a mesleea uoit athis	-⌫|-⌫|-----|-⌫---|----|
uncheual ierd eg iptepris	-|------⌫--||--⌫---|---|
richesho nsert e t n ies frollon	-----|--⌫-|--|-⌫|-⌫--|------|
moutot enlui	---|-|-|--|
richebar on	----|---⌫-|
athisa ro mm eletram ist	----||--⌫--⌫|-|----⌫--|
etlescheualiersqui lconquis t	-|--|---------|-|-⌫|-------⌫|
quiner entpouren emendis	--||--⌫--|----|-⌫|-----|
yycheua li ersaathispris	-|-----⌫--⌫--||----|---|
quilicon duientson priso n	--|-|---⌫-----|--|-----⌫|
e t l echeual no ir	-⌫|-⌫|-----|--⌫-|
enselp al esenhautes estre s	--|-|-⌫--⌫-|-|---|-|-----⌫|
son tapo iees	---⌫|---⌫---|
as fe nestres	-|--⌫------|
etcardio nesetgaiete	-|------⌫--|-|-----|
quidebi autee stoiteslite	--|-|--⌫---|-⌫----|-----|
et lesrommains qui tor no ient	-|--|-------|--|---⌫--⌫---|
c omilfe roi entetious t oient	-⌫-|-|--⌫---⌫--|-|----⌫-⌫----|
esgarder ent iousteu nerue	--------⌫--|-----|-⌫-|--|
estoitdegent uest ue	-----|-|---|----⌫-|
de tie usquito rno iruolo ie nt	-|---⌫-|--|--⌫---⌫-|----⌫--⌫-|
etretornoientet	-|----------|-|
uirentu e nir yycheua liers	-----|-⌫-⌫--|-|-----⌫----|
armés sor les	-----|--|--|
co ran sdes triers	--⌫---⌫|---⌫-----|
leurescufur entdeco upé	---|---|---⌫--|----⌫---|
e tl orhiaumetoutembarr é	-⌫|-⌫-|-----|---|------⌫-|
liunsamenoitunp rison	-|--|------|-|-⌫----|
lau tresundes trierarrag on	|--⌫---|-|---⌫----|-----⌫-|
gaieteenapel epremiere	-----|-|----⌫|-------|
qui de bia ute n	--|-|---⌫--||
esto it p asfiere	----⌫-|-⌫-|----|
seig n ordontui entcis gensdestri ers	----⌫-⌫-|---|--⌫--|--|---|------⌫--|
etquiestorlic heualiers	-|--|--|-|-|-⌫--------|
l e roi degiptetout	-⌫|--||-----|---|
etpar sonc orsnaura e tprist	-|--|--|-⌫--|----|-⌫|----|
t outlauoit	-⌫--||----|
iaensabaillie	-|-|-|------|
quantlisourtunecompaig nie	----|-|----|--|-------⌫--|
q uibienrescoustr entlor sei gnor	-⌫-|---|---------⌫--|--|---⌫---|
et remo n te rentp aruigo ur	-|----⌫-⌫--⌫---|-⌫-|----⌫-|
en la meslee pri st cestui	-|-|-----|---⌫-|-----|
etcestch eua lier queconduit	-|---|--⌫---⌫---|--|------|
c estli cheuausfrol l o nle roi	|--|-|------|----⌫-⌫-⌫|-|--|
enenuoiepar moi	-|-----|--|--|
enlaprisonle	-|-|-----|-|
roi d eromme	--|-⌫|----|
renuoie par	------|--|
moi cest hauthomm e	--|---|---|----⌫|
niesfrolleestet	---|-----|--|-|
moutgentis	---|-----|
moutenaura g r antguerredon	---|-|---|-⌫-⌫--|--------|
o utres en uontcel e sremain en t	-⌫---||-|---|---⌫-⌫|------⌫--⌫|
quiporamorformen tsep ainent	--|--|---|------⌫|-|-⌫-----|
ga ie t ea mout le cuer ioiant	--⌫--⌫-⌫||---|-|---|-----|
enue rsathis abon	----⌫-|----||--|
unsousp irgietee t d itapres	-|-----⌫-|----|-⌫|-⌫-|----|
ce que pe nssa cardiones	-|--|--⌫---|--------|
biendoit estre siresda mor	---|---|----|----||-⌫--|
ci l quia le prisdel e stour	--⌫|--||-|---|-||-⌫----|
etcel edeu r o itbien lesdieus	-|---⌫|---⌫-⌫-⌫-|---|--|----|
aourerquiseroiti tieus	-----|-||-----|-⌫----|
queil le da igneroit am e r	--|-|-|--⌫-------|--⌫-⌫|
uoudroit son cuertorne r	-------|--|---|-----⌫|
iaquetelhommeau r oitpe rdu	-|--|--|----|--⌫-⌫--|--⌫--|
ne deuroitmais p a rler de dru	-|------|---|-⌫-⌫---|-|--|
c is m osca rd i o nesgreua	-⌫-|-⌫-|--⌫--⌫-⌫-⌫--|----|
iree me nt le	----⌫--⌫-|-|
mout lenpesas en	---||-|---||-|
otgranti r e	-|----|-⌫-⌫|
pourceque i lfu	---|-|--|-⌫|-|
iases sire	-|--|---|
cu idaquepourlileustdit	--⌫--|--|---|-||---|--|
gai ete s aparcut pe tit	---⌫--||------|--⌫--|
piecesaparcut	----||------|
mout lipesa quantle connut	---|-|---|----|-|-----|
deuergoignef uun poi bla nche	-|--------|-⌫|-|--|---⌫---|
son u is aombre desa	--|-⌫-|-----|-|-|
uo us un escuie r	--⌫-|-|------⌫|
quiamenoitun	--|------|-|
chie rdestr ier	----⌫|-----⌫--|
couran t etdebelefacon	------⌫|-|-|---|----|
sanglantenfurentliarc on	-------|-|-----|-|---⌫-|
ca r dionesceluiapele	--⌫-⌫-----|----|----|
elequelno uuele	--|---|--⌫----|
que font enlos tda m e	--|---|-||--⌫|--⌫-⌫|
linostre nes	-|-----|-||
esmaient rien	-------|---|
moutiga aign ent	---||--⌫----⌫--|
li rommain	-|------|
ialorontil	-|--|--|-|
toluleplain	---|-|----|
alama rineuerslornes	|-|--⌫---|---|--|--|
tornoien t iaentre lortr es	--------⌫|-|----|--|--⌫-|
li roisde giptemouti pe rt	-|---||-⌫----|---||--⌫-|
de smors s ontial ichamp couuert	--⌫|---|-⌫--|-|-⌫|----|------|
amiscuiestcil d estriersgras	---|--|--|--|-⌫-------|---|
damefeti l	---|--|-⌫|
proceli as	-------⌫-|
procelia slaga aig nié	--------⌫|||--⌫---⌫---|
quiunconteen abatie	--|-|----|-|-----|
mors es t li	---|--⌫|-|
sire s deldestr ier	----⌫|--|-----⌫--|
li roi sde gip tel otmout chier	-|---⌫||-⌫---⌫-||-|---|----|
cardionesde ioie rit	--------|-|---|--|
gaie te apelesi l idit	----⌫-|----|-|-⌫|--|
pucelecistnest mie	-----|---||--|--|
or retorne	-|------|
sor nous liris	--|---|-|--|
parcel e foique ie do i	--|---⌫|--|--|-|--⌫|
cistnestmiemain scoragous	---||--|--|----⌫|-------|
pa rproescenido it riensperdre	--⌫|------|||--⌫-|----|-----|
bien setaufol songr enonterdre	---|--|-|--|--|--⌫---|-----|
bie nsetquerresauo lente	---⌫|--|-----|-|--⌫----|
seme r son champdelautrui ble	----⌫|--|----|-||-----|--|
lisages hons	-|----|---|
de l autruioeure	-||-----|----|
biendoi t per drequ i	---|---⌫|---⌫--|--⌫|
plus recoeure	---|-------|
ce s t eraiso nsaitantfine	--⌫-⌫-⌫|-----⌫-||----|---|
e tre gard oituerslamar ine	-⌫|--⌫----⌫--|---|-|---⌫--|
en tr e le sten tesp ar	--⌫--⌫|--⌫|---⌫--|-⌫-|
l esplain s	-⌫-|-----⌫|
uirenttornoierl esrommain s	-----|-------|-⌫-|-------⌫|
li rois derommeert abat us	-|---|-|----|--|----⌫-|
cheuaus souslui cheus	------|---|--|----|
sorlui s esto ient ar resté	--|--||----⌫---|--⌫-----|
s ia nemituit a pre st é	-⌫|-⌫---|---|-⌫---⌫--⌫-|
qui leuoloientilecpren dr e	--|-|-------|---|----⌫--⌫|
po oit uer s e ulsdeffe ndre	--⌫--|---⌫|-⌫--|-----⌫---|
en alast en laprison	-|----|-|-|-----|
quant ambe du isicompaignon	----|----⌫--⌫|-|---------|
sordentd un ua l celee ment	------||-|--⌫|-----⌫---|
quantle roi uirenten	----|-|--|-----|-|
che u entresesanem is	---⌫|----|--|----⌫-|
ial auoi entaterr e mis	-||----⌫--||----⌫|--|
pesacelimoust reren t	---|-|-|-----⌫-----⌫|
romme et at haine sesc rierent	----|-|--⌫-----⌫|---⌫------|
l unscri ero mmel	|--|---⌫|--⌫--||
autreatha in e	----|----⌫--⌫|
criantsenuont parmi	-----||-|---|----|
e n lamellee entreu ls	-⌫|-|-----|---|--⌫-|
mou ten o cientet abat ent	---⌫|-|-⌫----|-|----⌫--|
