chil quices	---|--|--|
neme feroi t nusherbegier	-|-|-----⌫|--|--------|
iesu i totens a chials contrai re	-|--⌫|-|---||-----|-------⌫-|
n u squitezest nemepue t plaire	-⌫-⌫|--|--|--|-|-|---⌫|-----|
fa useteisqui tr o p bel	--⌫------|--|--⌫-⌫|--|
lire spondiceste parole	-|--⌫-----|----|-----|
ueritez t u	------|-⌫|
esenbalhie	-|-|-----|
deta manie	-|-|----|
toz lesbon sh ost ezpor pris	--|--|---⌫|-⌫---⌫-|---⌫---|
chilquide roites tresopr is	---|-----⌫---|--⌫--|----⌫-|
k ine maroit	-⌫|-||----|
ensamaison	-|-|-----|
tantdire der aison	---|---|-|-⌫----|
etbelparler pord e chiuoir	-|--|-----|--|-⌫-⌫------|
kechas cuns	-|----⌫---|
croit ie die uoir	----|-|--|---|
ief ai a t oust ropbel echiere	-|-⌫-||-⌫--|-⌫--|---⌫|-----|
nu s nesepuet a mamaniere	--⌫|-|-|---||-|------|
c onoistrecant ieuelhboisier	-⌫-------|---|-|---|------|
tantmaimentcleretc heualier	---||-----|---|-|-⌫-------|
borgoisborgois esmarcheant	------|-------⌫-|--------|
dam es puceles etsergan s	---⌫-|------|-|------⌫|
prieuspreuoireet gr antabe	-----|-------|-|--⌫--|--|
quech ascu nsd euzestenabe	--|--⌫----⌫-||--|--|-|--|
de moiserui r ethon ur faire	-|--|-----⌫|-|---⌫-|----|
chascons metient ason	-------|-|----||--|
promierlipereapreslioirs	------|-|---|----|-|---|
cartotlemont	--|--|-|---|
na nulmanoir	||--|-----|
keienisoi e	-|-|||---⌫|
bienu enue	---|-⌫---|
n usn emecangene	-⌫-|-⌫|-|----|-|
i ai toz iorsal é etre gné	|-|--|---|--⌫-|-|--⌫---|
encornesontli enfant né	----|-|---|-|-----|--|
kilor h on u rtenrontd e	-|--|-⌫--⌫-⌫|------|-⌫|
iefaic hasco n	-|--|-⌫-----⌫|
tenird e m oi	----|-⌫|-⌫-|
ki l hsoitmie dres deses	|-⌫-⌫|---|---⌫---|-|--|
tous limonsest	---|-|---|--|
i efa iriche les user iers	-⌫|--⌫|----|--|----⌫---|
ie f aides uilains cheualiers	-|-⌫-|--|------|---------|
ie faisouentmon ter enpr is	-|--|-----|---⌫--|-|--⌫-|
cheus contestépo ureet	----||--|----|--⌫--|-|
etche ualier sle spale frois	-|---⌫------⌫|--⌫|----⌫----|
cuiueritezetbonefois	--|------|-|---|---|
lai se n tbiena piet aler	---⌫--⌫-⌫|---||---|---|
il mefait cremir etd oter	-|-|---|-----|-|-⌫---|
ca ntu e ritezoutetentent	--⌫-|-⌫-⌫----|--|-|-----|
leslasquefause tez lit e nt	--|--|--|-----⌫--|-|-⌫-⌫-|
lorli respon tsensatarg ier	--|-|------⌫|---|-----⌫--|
mau a i sente l dangier	---⌫-⌫-⌫|-|--⌫|------|
en trerp orui ure un poi de tens	--⌫---|-⌫-|--⌫--|-|--|-|---|
iuenrontmiess oloncmonsens	|------|---|-⌫----|--|---|
ke cha sconspen sast del bien uiure	-|---⌫----|---⌫---|--|---|----|
chi lquimo i nsont sontplusdeliure	---⌫|--|--⌫-⌫-|--|---|---|------|
pordeuseruiret plus	--|--|-----|-|---|
plusont liric he de d angi er	---|--|-|---⌫-|-|-⌫----⌫-|
etdetraualhenaquerant	-|-|------|-|-------|
lorgran tauoir ete nga rdant	--|----⌫|----|-|-⌫|--⌫----|
sogne dec uerpaour	----|-|-⌫--|----|
de per dre	-|---⌫--|
nusn e s i	--|-⌫|||
doitde cuera erd r e	---|-|---|-⌫---⌫-⌫|
etcant ilhles couient	-|---|--|--|------|
dont nele s pue t nus	---|-|--⌫|---⌫|--|
a paisi er	-⌫-----⌫-|
ie osebiendirepor	-|--|---|---|--|
tezg enssont serf	--|-⌫--|---|---|
etcant lamedelcorssepa rt	-|---||--|--|---|-|--⌫-|
et troietcl aim entpart	-|---|-|--⌫---⌫--|---|
liueruelent l ecorsauoir	-|--|-----|-⌫|---|----|
etlipare ntuel entlauoir	-|-|----⌫-|---⌫--||----|
a meuadroite lauoie	-⌫-|-|-----|-|---|
u s a desert e laconuoie	|-⌫|------⌫|-|------|
c hil quilamea	-⌫--|--||--||
ensabailie	-|-|-----|
q uantelepartdeceste uie	-⌫---|--|---|-|----|--|
neuaroitpa s	-|-----|--⌫|
por li auoir	--|-|----|
lecorsq uiflaire nel auoir	-|---|-⌫-|-----|-||----|
et li p arentk i	-|-|-⌫----|-⌫|
lauoir on t	|----|--⌫|
conuo ite ntplusce	-----⌫---⌫-|---|-|
qu ilen on t	-|-|-|--⌫|
qu ilne facent l ame et	-|-|-|-----||--|-|
nusne uoro i tqu	--|-|----⌫-⌫|-|
ilnefustmors	-|-|---|---|
c hilqu iontlecorsgaangniét	-⌫--|--⌫|--|-|---|---------|
n euoroientau oi rc angiét	-⌫|-------|--⌫--⌫|-⌫------|
neporlame ne porlauoir	-|--||--|-|--||----|
c ha sconss eitb ien	-⌫--⌫----|-⌫--|-⌫--|
qu e ie diuoir	--⌫|-|-|---|
uosditesuoirdist fauset ez	--|----|---|---|------⌫-|
mai s elsiecleamu ltdecez	---⌫|-|-----||--⌫-|-|--|
kicroient bienqu ipocresie	-|------|---|-|--------|
le spuistmenerde	--⌫|----|----|-|
ypocresieatot	--------||--|
lesiecleet faitmonterenp ris	-|-----|-|---|-----|-|-⌫--|
ceuls qu ileseuentm aintenir	----|--⌫|-|-----|-⌫-------|
ypoc res ief a it tenir	----⌫---⌫-|-⌫-⌫-|----|
keilh soient debone uie	-|--|-----|-|---|--|
ge ntlemaintinen t d	--⌫-|-|---------⌫||
ki po r tent ce sgrans chapirons	-|--⌫-⌫---|--⌫|----|--------|
lic opee n pent iusq u atalons	-|-⌫--|-⌫|---|----⌫||-----|
bienson t uestutaise c uchiét	---|---⌫|-----|---|-⌫------|
k il esuoientso ntengig nié	-⌫|-⌫-|-----|--⌫-|-----⌫---|
et cefontilhpor plus	-|-|---|--|--|---|
aise estre	---|----|
ypocresie lesfaite str e	--------|--|---|-⌫---⌫|
so u entsangnoreta uant traire	--⌫-⌫--|------|-|-⌫---|-----|
i l seu enttant	-⌫|---⌫--|---|
etdire etfa ire	-|---|-|--⌫--|
et d orisons etdepsaltiers	-||------|-|-|--------|
kilhauilhissetotclergier	|--|--------|--|-------|
ypocresi efaitenlire	--------⌫|---|-----|
telasoura inquil na	--||-----⌫-|-|-|||
entoslesautresd elcouent	-|--|--|-----|-⌫-|-----|
y pocresieestbien al	-⌫-------|--|---|-|
sembl ans q uen us	-----⌫--|-⌫-|-⌫-|
ne puetueoir	-|---|----|
pu etapa rchiuoir	--⌫-|---⌫-------|
canty pocritesuuet regn er	---|-⌫-------|---|----⌫-|
ypocresie fai tdo n er	--------|---⌫|--⌫-⌫-|
lesau ant ages	--|--⌫---⌫---|
ypocrite nont on ke pais	-------||--|--⌫-|---|
silnetienentuers	|-|-|------|---|
il setraualhentnuit	-|-|---------|---|
p uissent sembl e rmieset	-⌫------|-----⌫-⌫|---|-|
ypocresiefait bienestre	--------|---|---|----|
al siecl e	-|-----⌫|
et leshoners auoir	-|--|-----|----|
sifaintdedechi uoir	||----|-|-----⌫---|
do ciren e de laidengier	|-⌫---|-⌫|-|---------|
ilseuentbien so ff rir dangier	-|-----|---|--⌫--⌫--|------|
m aisquilfa cen tloruo l ontez	-⌫----|-|--⌫---⌫|--|--⌫-⌫----|
t e zgensaimet ropfausetez	-⌫-⌫|---|---|-⌫--|-------|
sa b ienpas séyy ans	||-⌫--|---⌫--|-|--|
ke mor mureestde plus	-|---⌫---|--|-|---|
en maintenue	-|--------|
li c lostrier lontb i en retenue	-|-⌫-------||--|-⌫-⌫-|------|
murmure est	------|--|
d etractions	-⌫---------|
encor e p arcesrel igions	-----⌫|-⌫-|--|---⌫-----|
uer itezaimetan tdroiture	---⌫---|---|---⌫|-------|
ne puetsoffrirlai dur	-|---|------|---⌫--|
kefausetei sfacenedie	-|--------⌫|---|-|--|
lo rlirespontie necroimie	--⌫|-|------|-|-|---|--|
kegensqu it ant	-|---|--⌫|-⌫--|
f ontde pe nance	-⌫--|-|--⌫----|
pois entlorbiens a laba lance	----⌫--|--|----||-|--⌫----|
dypocresieetde	|--------|-|-|
ondoitcroire	-|---|-----|
n en ontcure	|-|--|---|
puisq uilo nt tot pordi eulaisié t	-----⌫|-|-⌫-|--|--|--⌫-|-------⌫|
lorcue rsdoiuentauoirpaisiét	--|---⌫-|------|----|-------|
demurmurersorau truifais	-|-------|--|--⌫---|---|
limauais po rtero nt	-|-----|--⌫-----⌫-|
mormureest unspech i esqui flaire	------|--|--|----⌫-⌫-|--|-----|
nusq uimormu rene p uetplaire	--|-⌫-|-----⌫-|-|-⌫--|-----|
adeu nenuleypocresie	|--|-|---|--------|
decheus es tquiplus	------|--⌫|--|---|
ypocritenontnulecure	-------||--|---|---|
uientnemormure	----|-|------|
maisquilp uisent	-----|-|-⌫-----|
conter lorfais	-----|--|---|
iln efont forceaautrui f ai s	-|-⌫|---|----||-----|-⌫--⌫|
onse doi t biendeu s enlongi er	-|-|---⌫|---||--⌫|-------⌫-|
caril h n efinent degai t ier	--|--⌫|-⌫|-----|-|---⌫-⌫--|
chilqui oeurentdypocresie	---|--|------||--------|
ilnont cure queonlor	-||--|---|--|-|--|
bienuele ntboi ur e	---|----⌫-|---⌫--⌫|
etbienma ngier	-|---|--⌫----|
bienp ensentdel cor saai sier	---|-⌫-----|--|---⌫|---⌫---|
netraualhent adeup laire	-|---------||--|-⌫----|
aquio ntdeuz paire	|--|-⌫-|---|----|
dereubes et de	-|-----|-|-|
lorscors e stchauslor	---|---|-⌫-|----|--|
espirs frois	-----|----|
tezgens uuele n t	--|---|-----⌫-⌫|
ke nque n u sdie	--⌫---|-⌫-⌫|--|
leshonore en	--|-----|-|
lorpaisauoira utrui	--|---|----|-⌫----|
pal eontla face lecue r	---⌫|--|-|---|-|---⌫|
tezgen sferent s ans	--|---⌫|-----|-⌫--|
n usnesedoi t	-⌫-|-|-|---⌫|
en iau sfier	-|---⌫|---|
fause teizdi stuos	-----⌫---|--⌫-|--|
dites uoir	----|---|
maisilhlefontporplusauoir	---|--|-|---|--|---|----|
degrasceal monde etd	-|-----|-|----|-||
auanta g e	------⌫-⌫|
i lneco noissentlordama ge	-⌫|-|--⌫-------|--|----⌫-|
ne nef ontforce alaut r uim ie	-|-|-⌫--|----|||---⌫-⌫-|-⌫-|
ilhendobl erie	--|-|----⌫---|
te z gensmedo ient bienseruir	--⌫|---|-|--⌫---|---|-----|
c ari el esaibien d eseruir	-⌫-|-⌫|-⌫|--|---|-⌫------|
il ont parmoi	-|--|--|--|
lesgransauoirs	--|----|-----|
iefai cuidierquece	-|--|------|--|-|
s oit uoir s	-⌫--|----⌫|
parol eetdel oruie	-----⌫|-|-|-⌫-|--|
ielescro i multet multmifie	-|--|---⌫|---|-|---|||--|
carchilquiue lent amoiplai re	--|---|--|--⌫---||--|----⌫-|
doientauos estrecon trair e	-----||--|----|---⌫-----⌫|
diraiquenuiefait	----|-|----|---|
enuie si et souent enplait	----|--⌫-|-----|-|----|
p o rle siugemens	-⌫-⌫|--⌫|-------|
enuie faits ouent mentir	----|---|-⌫----|-----|
l esmaiorsetles	-⌫-|-----|-|--|
etforiugier	-|--------|
ce qu ildoiuentauoirpardroit	-|-|-|------|----|--|----|
enuieheitet	----|---|-|
bienetdr oit	---|-|--⌫--|
enuie fai t l es	----|---⌫|-⌫-|
gensconbatr e	---|-------⌫|
lunf ait ocirel	|-|-⌫--|----||
autrebatre	----|----|
lu n faittolir l	|-⌫|---|----||
autredo ner	----|--⌫--|
en ui e nelaitpardo ne r	--⌫--⌫|-|---|-----⌫--⌫|
leshaim mes ne lesf orfais	--|----⌫--|-|--|-⌫-----|
enui efai tpor tergra nt f ais	----⌫|---⌫|---⌫--|---⌫-|-⌫--|
aplus orsge nset engreuer	|----⌫--|--⌫-|-|-------|
por c equi l pu iss entmies greuer	--|-⌫|-|-⌫|--⌫---⌫--|---|-----|
enuie fait me treenobli	----|---|--⌫--|-|---|
lepreud elam eet adeli	-|---|-⌫||--⌫|-||---|
fa itautruiperdre	--⌫-|-----|-----|
enuief a itmainte gens	----|-⌫-⌫-|-----|---|
lorame dece qu	--|--|-|-|-|
ilauoi e nt	-|----⌫-⌫-|
decequ ilueoient	-|-|-|-|------|
autrui auoir ioiee t	-----|----|---|-⌫|
enuienaonkessolas	----|||----|----|
forsqu ant	---|--⌫--|
l emaluoitadi rier	-⌫|--|---|---⌫---|
enuie faittrop de blecier	----|---|---|-|------|
cescheualie rsparcestornois	--|--------⌫-|--|--|------|
e nui emetentrele s	-⌫---⌫|--|----|--⌫|
lesge rres	--|--⌫---|
etlesmalepais	-|--|---|---|
delezenuien a nus pais	----|----|||--|---|
partou t le siecle nauilain	--|---⌫|-|-----|||-----|
k ilh nai t d	|--||--⌫||
enuielesoinplain	----|-|---|----|
maintiennen tduc etconte	-----------⌫|--|-|----|
enuie afaitmain t	----||---|----⌫|
home ho nte	---|--⌫--|
etmaintefemecees tuoirs	-|-----|---|-|--⌫|----|
enuieh eit lesgransauoi rs	----|-⌫--|--|----|----⌫-|
uoitauoirautrui	---|----|-----|
s autres aioie el eaan ui	|-----||---|--⌫||--⌫-|
enuieua pa rtot	----|-|--⌫|--|
a poinesa nuluisimonde	|-----||----|-|----|
ne plain debiendechalemer	-|----|-|---|----|-|--|
k ilhaitaucunefois	|--|--|-----|---|
a c uerdautruibie n eten u ie	|-⌫--||-----|---⌫|-|--⌫-⌫-|
elelespointetlesc rusie	--|--|----|-|--|-⌫----|
etsi uosdi que le nelai t	-|-|--|-|-|-⌫-|-|---⌫|
nului en pais qui ualurait	----|-|---|--|----|--|
sebontez n ertet	-|-----||--|-|
ilc oue nroitmorirenui e	-|-⌫---⌫----|----|----⌫|
chilquiparchoitc on a sorlui	---|--|-------||-||--|--|
enuie puett eniren lui	----|---|-⌫---|-|--|
aitacuibienquece fait faire	--|---|---|--|-|---|----|
lesgens quisuntdetelaf air e	--|---|--|---|-|--|--⌫---⌫|
maig reetpetitetl achardure	----⌫-|-|----|-|-⌫|---|---|
enuieacors detel	----||---|-|--|
paleleui set loncetmaigre	---|-|--⌫|-|---|-|-----|
le siezpar font leregartlarge	--⌫|--|---⌫---|-|-----|----|
petit lefrontet t otcrepi t	----|-|----|-|-⌫-|-----⌫|
sorchi ldetelfachon	------⌫|-|--|-----|
cones tlipiauzd unirechon	--|--⌫|-|----||-|------|
se s n esrensemblebechde	--⌫|-⌫-|--------|---|-|
l atestegrandeethupelie	-⌫|----|-----|-|------|
noirslescheu iausc onme	----|--|----⌫---|-⌫---|
on qu en edortm aisadesuelhe	--⌫--⌫|-⌫|---|-⌫--|---|----|
labo chegrande etde	-|--⌫--|-----|-|-|
tr au e rs	--⌫--⌫-⌫-|
lesleuresmortes les	--|-----|-----|--|
sa l e nguetren c he con	-|-⌫-⌫---|----⌫-⌫-|--|
de s a bochei st unuenssi	-|-⌫|----|-⌫-|-|---|-|
kesi gren o n sontenglachiét	-|-|----⌫-⌫|---|----------|
etsi den t son t en trelac hié t	-|-|---⌫|---⌫|--⌫------⌫----⌫|
ilmo rdenepuetui ure	-|--⌫--|-|---|--⌫--|
sid enti erso ntt ot f aitdewiure	-|-⌫----⌫-|--⌫-|-⌫-|-⌫--|-|----|
etboit u enin donteleestplaine	-|---|-⌫---|---|--|--|-----|
enuieatro ppuant	----||---⌫|----|
s abouchenepuet	-⌫|-----|-|---|
onques rir e	-----|---⌫|
dolors nelifait	-----|-|-|---|
enuiep orte	----|-⌫---|
gran de oreilhe	----⌫-|------|
es tgrant meruelhe	--⌫|----|-------|
po rmiesoir etmiesentendre	--⌫|---|--|-|---|-------|
chozeconpui stdaut ruirepren dre	----||-|---⌫-||---⌫--|------⌫--|
colet maigre	--|-|-----|
nest nul solasdeli ueoi r	|--|--|----|-|-|----⌫|
larges es palese t tropcors	-----|--⌫----|-⌫|---|---|
es tnushons	--⌫|--|---|
iatant soit fors	-|---|---|---|
de br asdemains con estenuie	-|--⌫-|-|----|--|--|----|
touttensapre ntonkesn obli e	---|---|----⌫-|----||----⌫|
sescorsesttoze nu eni m ez	--|---|--|--|-⌫--⌫---⌫-⌫-|
ses ue ntresplasmaism ultestlez	--|--⌫----|---|---|-⌫--|--|--|
grandese tmalfaite s	------|-⌫|--|-----⌫|
nushonsneu itonkessi	--|---|-|-⌫-|----|-|
ne si g ran siambes	-|-|-⌫---⌫|-----|
c har mais	-⌫--|---|
mults ontf o rs	---|-⌫--|-⌫-⌫-|
sei pietso ntgra nt	--|---|--⌫-|---⌫-|
lo ncetestroit	--⌫-|-|------|
sin e fait onkes sigr antfroit	-|-⌫|---|----|-|--⌫--|----|
quen uies epeust chau chier	-|--⌫--|-⌫|----|----⌫----|
ses ongles	--|-----|
son t duresqu achier	---⌫|----|-|-----|
trenchansausicon	--------|---|--|
quanqueleenpointua male part	-----|--|-|----|-|---|---|
ki kionkesensoittochi és	--⌫-|----|-|---|-----⌫--|
soncuersniertianetement lies	--|----||---|-|-------|---|
s u ntdep ou repris	-⌫-⌫-|-|-⌫--⌫-|---|
adesquidemonter e np ris	---|----|-----|-⌫|-⌫--|
esclauin e estafi blee	--------⌫|--|---⌫---|
k imultlaideestetdepanee	-⌫|---|----|--|-|------|
p o rcecontie ngneplus del i	-⌫-⌫|-||-|---⌫---|---|-|-⌫|
m ultdegens	-⌫--|-|---|
su ntenclinali	--⌫-|-----||-|
enuiemai n t	----|---⌫-⌫|
en t re la gent	--⌫-⌫-|-|---|
p la in squi nela	-⌫--⌫--⌫|--|-|-|
enuie m atrop	----|||---|
b i e n serui	-⌫-⌫-⌫|----|
senuiesau oit estre ami	|----|---⌫--|----|--|
ie d iraibien	-|-⌫---|---|
quelemamoit	-|--||----|
maisele heit cantquele uoit	---|--|---|-----|--|---|
ueritezd isti aibienoi	------|-⌫--||-|---|-|
keuos maueizd	-|--||----||
en u i edi	--⌫-⌫-⌫|-|
mult bi e n quele	---|--⌫-⌫|-|--|
nus biensd	--|----||
autr u inelipuetplaire	----⌫-⌫|-|-|---|-----|
nauantage n enul honors	|-------|-⌫|--|-----|
tropde gens l on tce est	---|-|---||--⌫|-|--|
enuiefait lesmauzpen ser	----|---|--|---|---⌫--|
sorceuscuiond euroit	--|---|--|-|-⌫-----|
enuiemaint entreles frer es	----|----|----|--|----⌫-|
l ienfa ntlontcontre l orperes	-⌫|----⌫-||--|-----|-⌫-|----|
enu ie n estfo rsq uedolors	---⌫-||--|--⌫-|-⌫-|-----|
qui n aistd	--|-⌫---||
autruihonor	-----|----|
bonteitet d	------|-||
autruibien	-----|---|
f aitonsemblant debien	-⌫--|-|-------|-|---|
enmostronsdamor slesgrans	-|----|--||----⌫|--|----|
keli cuersn estmiessi	-|-|----||--|---|-|
enuiemainten marcheans	----|----|-|--------|
enuiefaitprendrel e schans	----|---|------|-⌫-⌫|----|
et lesbatailhes conmenc hier	-|--|--------|-------⌫---|
en uiefait	--⌫--|---|
traireetlanch ier	-----|-|-----⌫--|
azautresdes	-|-----|--|
enuiefaitplusors damages	----|---|------|------|
etentrehau s et	-|----|---⌫|-|
e nt r e bas	-⌫--⌫-⌫|--|
enuiefaittenir enbas	----|---|----|-|--|
c esqui suntdignedessac hie r	-⌫-|--|---|----||-----⌫---⌫|
enui e fait bien tr esbuchier	----⌫|---|---|--⌫--------|
cesquisuntricheeten leué	--|--|---|----|-|--⌫----|
en uiea mainthome greué	--⌫--||----|---|-----|
so u entqui plu slemaintenoit	--⌫-⌫--|--|---⌫|-|---------|
lienuieusneportefoit	-|------|-|----|---|
neau alurneabonte	-||-⌫---|-||----|
nusnen ap aisfors	--||-||-⌫--|---|
kariteznest	------||--|
miesifaite	--|-|----|
elenegrie ue ne ne plait e	--|-|----⌫-|-|-|-----⌫|
a utr uipor	-⌫---⌫-|--|
chozec o n lidie	----||-⌫|-|--|
le estra int	-|-----⌫--|
etsi lel ie	-|-|-|-⌫-|
caritez aiuwe paramor	------|----|--|---|
il ne lisemblelons nul ior	-|-|-|-----|---|--|--|
n e nul e nuisne	-⌫|---⌫|---|-|
caritez mai ne t ous tensioie	------|---⌫-|-⌫--|---|---|
ca nteleuoitautru i	--⌫-|--|---|-----⌫|
gangn i er	-----⌫-⌫-|
caritez seit dautruisogni er	------|---||-----|-----⌫-|
et ma int enir les	-|--⌫---⌫---|--|
caritezfait le s ge nsa mis	------|---|--⌫|--⌫-|-⌫--|
ki s eso loient	-|-⌫|--⌫-----|
etsiles faitdecueramer	-|-|--|---|-|---|---|
pordeu rec hoiureetherbegier	--|--|---⌫-----|-|--------|
caritezsoffrebiendangier	------|-----|---|------|
p or port er p aisa ce	-⌫-|----⌫-|-⌫--||-|
et s esamis liest apaine	-|-⌫-|---|-|--||----|
caritezheit le smausdautru i	------|---|--⌫|---||-----⌫|
cariteznaim etantnului	------||---⌫|---|----|
kele ne haceses pechies	|--|-|---|--|------|
ne ses cuers	-|--|----|
n estmieentechiez	|--|--|--------|
dyp ocr esienedenuie	|--⌫---⌫---|-||----|
carit ezaimeb onne	-----⌫-|---|-⌫---|
caritez estsidebunaire	------|--|-|--------|
ke lefistdeu par adis faire	|-⌫-|---|--|---⌫---|----|
caritezaimeautr ui profit	------|---|----⌫-|-----|
cari tezna	----⌫--|||
onkes de lit	----|--⌫--|
ne dautr uimalned	-||----⌫-|--|-||
a utruipe rde	-⌫----|--⌫--|
elen aconte anu le pe r de	--||-----||--⌫-|--⌫-⌫-|
qu el ef ace porcesqueleaime	-|--⌫|-⌫--|--|--|-|--|---|
caritezes td etos biensplaine	------|--⌫|-⌫|--|----|-----|
ca ritezaimepartot tens	--⌫----|---|--|--|---|
auersit ez nel ieune	-------⌫-|-|-⌫--|-|
ne lifero itlaissierlamer	-|-|----⌫-|-------||---|
e n carite napointd	-⌫|-----|||----||
caritezua in cfloibeset fors	------|--⌫--⌫|------|-|---|
forteconme lamor s	----|----|-|---⌫|
