auan talat outeeffree	----⌫|--|-⌫---|-----|
lisir e auoite s témandés	-|---⌫|----|-⌫-⌫--|------|
qu i lialast	-|-⌫||----|
o sesa mis	|--|-⌫--|
a laco ustum edupa is	|-|--⌫-----⌫|-|--⌫-|
soefemme etson filimenast	--|----|-|--|--||-----|
e tricemen t s apar ellas t	-⌫|-------⌫||----⌫-----⌫|
ensi iuint alé isont	---||---|---||---|
nesuent uiluo nt	-|----||-|--⌫-|
ensan bleo	-----⌫--||
aus otmescin	--|-|-----|
quisamenésl edroit	--|||-----|-⌫|----|
tant quiluin drent	---|-|-|---⌫----|
entotlesie cle not	-|--|-|---⌫--||-|
u neabeie auoitdedens	-⌫-|----|----|-----|
demolt religieusesgens	-|---|----------|---|
l iu allesles i herb eg a	-⌫|-⌫----|--||----⌫--⌫|
kiala festel es men a	-||-|----|-⌫-|---⌫|
enlacanbre	-|-|-----|
quifu labe	--|-||--|
sontbienseruietabeuré	---|---|----|-|------|
eldemain uontla	-|-----|---|-|
en uoloient departir	-|-------|-------|
liabe sua ausparler	-|---⌫|-|--|-----|
m out lespried ed emourer	-⌫--|--|---|-⌫|-⌫------|
silormos trerasondirtoir	-|--|---⌫----|--|------|
sonc apitle	--|-⌫-----|
et sonr e fro itoir	-|--|-⌫-⌫---⌫----|
et comilfutherbegi é	-|--|-|--|-------⌫-|
lisire li aottroiié	-|---|-||--------|
sei orquan til eurentdisné	-|-⌫-|----⌫|-|-----|-----|
aso f ficinessontalé	-|-⌫-⌫------|---|---|
elcapitreen e ntre ntauant	-|------|-|-⌫----⌫-|----|
untonbetrouue rent grant	-|----|------⌫---|----|
c ouuert dunc ier paile roé	-⌫-----||-|-⌫--|----|---|
duriceorfroi parmibe ndé	-|---|-----|----|--⌫---|
auciefaspiesetas c o stes	-|---|-|---|-|-|-⌫-⌫---|
au oitci erges alumé s	--⌫--|--⌫----|------⌫|
dorfinerentlicandelier	|-|--|----|-|--------|
demetiste li encensier	-|------|-|--------|
d on t iencenso ient l e	-⌫--⌫||-------⌫---|-⌫|
icel et ombe a granthenor	----⌫|-⌫---||----|----|
cilon tdemandéetenq uis	--|--⌫|-------|-|---⌫--|
aceus qui erentdu pais	|---|--|----|-|---|
deletombec ui ele	-|-|----|-⌫-|--|
e t que sho m f u	-⌫|---⌫|--⌫|-⌫|
quii g iss oit	--||-⌫---⌫--|
cilcomme ncierenta plore	--|-----⌫-------||----|
ete n ploranta	-|-⌫|------||
limie udre sc heu aliers	-|---⌫----⌫|-⌫---⌫-----|
li plusfors	-|---|---|
et liplus pro isiés	-|-|---|---⌫-----|
liplus biaxe t l iplus	-|---|---|-⌫|-⌫|---|
k iiame s soit dem erenés	-⌫|-|--⌫|---|-|-⌫--|---|
deceletereo te stérois	-|---|---|-⌫|-⌫---|---|
onquesnefu	-----|-|-|
unssi corto is	--|-|-----⌫-|
etacaruantfu entrep ris	-||------|-|------⌫--|
amor dunedameoci s	---||--|---|---⌫|
onques puis n	-----|---||
eusmessegn or	-----|----⌫-|
atend umaintior	-----⌫|----|--|
un fisq u enl adamee ngend ra	-|--|-⌫|-|-⌫|---|-⌫-----⌫-|
sicomildist etc onmanda	-|--|-|---|-|-⌫------|
qu ant lad ame oila nouele	--⌫--|-|-⌫--|-|-|-----|
a hauteuoisso n filape le	|----|---|--⌫|--|---⌫-|
biaxfilsfait eleauesoi	---|---|---|--|---|-|
quedixnousaa menés ci	--|--|---||-⌫-----|-|
cestuost reperequi ci	|--|----⌫-|---|--|-|
queciluiell ars atort	--|--|-----⌫--||---|
atantl i bai lle	|---|-⌫|---⌫--|
queell eauoitlonctansgarde e	--|---⌫|----|---|---|-----⌫|
etqu ante le o tcou	-|--⌫--|-⌫-|-⌫|--|
etsetde uoirque	-|--|-|---|--|
et coms il uintparlera	-|--||-|---|-----||
etcomliialox letr ai	-|--|-|----|-|--⌫-|
eteutla uenture contee	-|--||-⌫------|-----|
sur letonbe c aip asm ee	--|-|----|-⌫-|-⌫---⌫-|
uoian teus trestous deuia	-----⌫|--|-------|----|
onques pu isunmotn epa rla	-----|--⌫-|-|--|-⌫|--⌫--|
quant uoits esfixqu emorte fu	----|---|-⌫-|--|--⌫|----|-|
a u uiell artalecief tolu	-⌫|-----⌫--||-|---|---|
aleuc u en gala mort	----|-⌫--⌫-|-|---|
aunse ul cop	|-|--⌫-|--|
etluesqu e	-|---|--⌫|
etparlecitefu seu	-|--|-|---|-|--|
hon or la dameontprise	---⌫-|-|---|--|----|
pos eeetmisse	---⌫-|-|----|
dalesl ecors desonami	----|-⌫|---|-|--|--|
di x lorfaceb onemerchi	--⌫|--|---|-⌫--|-----|
lor sag n or	--|---⌫-⌫-|
lai s d eeudemarec	---⌫|-⌫|--------|
