briementu osdirai	-------|-⌫-|----|
uontles pelerins a taigna nt	---|--|-------|-⌫------⌫-|
li borgoisloruontescriant	-|------|--|---|-------|
d ans peleri nspar chasaurrés	-⌫--|------⌫-|--|--|-------|
e twistasces	-⌫|--------|
se stregardés	|-⌫-|--------|
si adita se sco mpa ig nons	-||--||--⌫|--⌫---⌫--⌫---|
on noussiut	-|---|---|
chiquelleferons	--|---|-|-----|
p armonchiefdist uns u iex	-⌫-|--|----|---|--|-⌫--|
qu a toulete	-||------|
ot yy an sme s	-|-|--⌫|--⌫|
orsoiie ́s trestoutaseur	-|-----⌫-|-------|----|
feraiiat elpeu r	----|-|-⌫-|---⌫|
niac le rc ne	|||-⌫--⌫-|-|
bourgoisneprestre	-------|-|------|
uolsist est re	------|---⌫-|
li uiels fait sonconiurement	-|----|---|--|----------|
e tuneriuiere descen t	-⌫|--|------|------⌫|
gra ns etl eepa rfondeetnoire	---⌫-|-|-⌫-|--⌫-----|-|----|
graindreq uenestsaine neloirre	-------|-⌫-||--|----|-|-----|
e ntrelesclerset les bo rgois	-⌫---|--|----|-|--|--⌫----|
liborgo is	-|-----⌫-|
fu rentenesfrois	--⌫---|-|------|
ilsenre tourner entarr iere	-||-|--⌫-------⌫--|---⌫---|
tousdis le s	---|--|--⌫|
siuoitlariuiere	-----|-|------|
adieslo rbatoitas talo ns	----|--⌫|-----|-|----⌫-|
ilaloienta reculons	-|------||-------|
card enoierpaour auo ient	--|-⌫|----|----|---⌫---|
e tlip el erinlessiuoient	-⌫|-|-⌫--⌫---|--|-------|
amont ferrant sen retornerent	|----⌫------||-|----------|
li pel erinapriesentre rent	-|---⌫---|-----|-----⌫---|
q uan t wistas cesentre	-⌫---⌫|------⌫--|----|
adon trec omme nchasa gile	----⌫|---⌫----⌫---|-|---|
libourgois	-|-------|
escrient ke mugn e	-------|--⌫----⌫|
et w is tasceau uielh omm eclu gne	-|-⌫--⌫----|-|---|-⌫---⌫|---⌫--|
f acheson coniure ment	-⌫---|--|-------⌫---|
p orespoente rc eleg en t	-⌫-|--------⌫|-⌫--|-⌫--⌫|
labancloq ue	-|-------⌫-|
pri sta so nner	---⌫-||--⌫---|
genscommenc hentaassambl er	---|-------⌫---||-------⌫-|
etl iuilsbarbéser ramment	-|-⌫|---|------|--⌫------|
com mencha son	---⌫-----|--|
c on i uremen t	-⌫--⌫-⌫------⌫|
tuits ae r dentparles cauials	---||--⌫-⌫---|--|--|------|
unsgran sb estensleuaen triaus	--|----⌫|-⌫-----|---|--⌫-|---|
aincn eueistes telmeslee	---|-⌫|------|--|-----|
sanscopd emach ueoud	---|--|-⌫|----⌫-|-||
sicomchascu nsisouruenoit	-|--|------⌫-||---------|
aupreme r ainkilencontroit	-|-----⌫-⌫--||-|---------|
do nnoit telpui gn o u hateriel	--⌫----|--|---⌫-|-⌫|-------|
laot donné ma int hatipliel	-|-|-----|--⌫--|--------|
bien sent ret enoi e nt yymile	---||---⌫---⌫----⌫-⌫-|-|---|
amo ntferrantparmil auile	|--⌫--------|----|-⌫|---|
liunsboutelia utres sach e	-|--|----|-|-⌫----|----⌫|
ci lchi etaussi	--⌫|---⌫-|----|
comme une uache	----|--|----|
cilfaituolerson compaigno n	--|---|----|--|---------⌫|
cils escrie	--||-----|
dame baron	---|----|
nusn e uen oita la	--|-⌫|---⌫--||-|
kin ieustcopou co le e	-|||---|--|-|--⌫--⌫|
wist ascesentr iaus zz	----⌫----|---|---|-|
g rai n ie ta	-⌫---⌫|--⌫-|
t ou tmaintenantlesdeseur a	-⌫--⌫|---------|--|------⌫|
sisen raler en tmaintenant	-||-|-----⌫--⌫|---------|
em paisfurent comme deuant	-|---|-----|----|-----|
deluin n i	--|--|||
otnoie ntperdu	-|----⌫-|----|
toutfuau ss icomd euant	---|-|--⌫--⌫|--|-⌫----|
toutes lesf emm es secouri re n t	-----|--|-⌫---⌫-|-|-----⌫--⌫-⌫|
quipardeuants e descou uri rent	--|--|-----|-⌫|------⌫---⌫---|
etl i ho m lorbraie s mo nte rent	-|-⌫|--⌫|--|-----⌫|--⌫---⌫---|
ki pardeuant le saualeren t	-|--|-----|--⌫|--------⌫|
chascunsasonost el	-------||--|---⌫-|
etwistascess	-|--------||
on ques puisnusnelesiui	--⌫---|---|--|-|-|---|
zz care ton a consiu i	-|----⌫--||------⌫|
qui u necaretemenoit	--|-⌫-|-----|-----|
ayycheualsqu	|-|------|-|
ay yliuesens o nchemin	|-⌫|----|-|-⌫-⌫|-----|
aloitpour zz	----|---|-|
t ou nieldeuin	-⌫--⌫---|-|--|
wistascesetsicompaignon	--------|-|-|---------|
dem anderentaucareton	---⌫-------|-|------|
porcombienillesp or teroit	--|------|-|--|-⌫--⌫-----|
dusch a lauileo u ilaloit	----||-|---|-⌫|-|----|
i lrespont pouryy deniers	-⌫|------|---|-|------|
au ras uolent iers	--⌫--|------⌫---|
lor marchie orentf ait atant	--|------|----|-⌫--|----|
ilmontentsi sen	-|------|-||-|
u ontbatant	-⌫--|-----|
li caretonsfier t les ch euals	-|-------|----⌫|--|--⌫----|
etilsa l oientlesgrans sa ls	-|-|--⌫-⌫----|--|----|--⌫-|
parmiunecauchieaforche	----|--|------||-----|
awistas c eleculescorche	|------⌫-⌫|-|--|-------|
car la carete ruisteloit	--|-|-----|---------|
male a le ure	---|-⌫--⌫--|
distwistasces a ucareti er	---|--------|-⌫|------⌫-|
de xtedoi nst	--⌫|-|---⌫--|
huimalencom brier	--|--|-----⌫----|
tropnousmainnesmal ealeure	---|---|------|---⌫|-----|
dexte doinst	--|-|-----|
maleauenture	---|-------|
bials s i re d ist licaretons	----|-⌫-⌫-|-⌫--|-|-------|
dedemoure rmestiern	-|-------⌫|------||
est uet fairema iornee	---⌫--|----|-|-----|
ie cuicque n oneest	-|---|--|-⌫--|--|
wistasce u oi triens neliual t	-------|-⌫--⌫|----|-|-|---⌫|
u abielementfai t ilribaut	-⌫|--------|---⌫|-|-----|
que l emal	--|-⌫|--|
s oiestu haiti és	-⌫---|-|-----⌫--|
ases corchiés	-|--⌫--------|
ci lfiert ses c heual sdurement	--⌫|----|--|-⌫-----⌫|-------|
etliuiexbarbés erramment	-|-|---|------|--------|
commencha zzconiureme nt	--------|-|---------⌫-|
quequeci lplusauantaloit	-----|--⌫|---|----|----|
pluslisamblo it kil re culoit	---|-|------⌫-||-|--⌫-----|
li u iex commenche	-|-⌫--|--------|
a coniurer	|-------|
commenchear eculer	--------||-⌫-----|
s esc heualscommenchea ferir	-⌫-|-⌫-----|--------||----|
et ilreculo ie ntd ai r	-|-|------⌫--⌫-||--⌫|
diucomm enchaarenoier	--|----⌫----||------|
etsesch e uausamanechier	-|--|--⌫-⌫---||--------|
harima rtinharifauuiel	---|--⌫---|---|------|
porlesboiaus pourlec e rui el	--|--|-----|---|-|-⌫-⌫---⌫-|
h uetauantuoisporlesde n s	-⌫--|----|---|--|--|--⌫-⌫|
pou rpoique tousneuouscrauens	---⌫|--|--|---|-|---|------|
hari u ie us iumensestaie	---|-⌫--⌫-|-----|-----|
iamaisdeu o usn	-----|-|-⌫-⌫-||
cils ecommenche afo ursener	--|-⌫|--------||--⌫------|
cartos dis	--|--|--|
cuidoi t rec uler	------⌫|---⌫---|
signorsdistilca rdes cend és	------|---|-|--⌫|---⌫----⌫--|
quelemal soiésuousmontés	--|-|--|-----|---|------|
ieuous c laim	-|---|-⌫---|
quantchascunsuoitque	----|-------|---|--|
etq ue il ont paiélordete	-|-⌫-|-|--|----|--|---|
ils aillent forsd esa carete	-|-⌫------|---|-⌫|-|-----|
etlic are tons	-|-|-⌫---⌫---|
kibiencuidaestre dechut	-|---|----|----|-----|
mierec ulés	--|---⌫----|
ainserttousiorsauantalés	---|--|---|---|----|----|
wista sce enboulen oissenuint	-----⌫--|-|------⌫--||-|---|
a saint saumer moignesdeuint	|----|-----|------|-----|
illue cfi st maintedyab lie	-----⌫|--⌫-|-----|----⌫--|
a inskil issistd esabbeie	-⌫---|-|-----|-⌫||-----|
ilfaisoitles	-|------|--|
moignes iu ner	------|--⌫--|
q uantsedeuoie n tdesiuner	-⌫---|-|------⌫-⌫|-------|
illesf ais oitalernus p ies	-|--|-⌫---⌫--|---|--|-⌫--|
qua nt deuoient estre	---⌫-|-------|----|
c auchi és	-⌫-----⌫--|
w istascelor fais oitmesdir e	-⌫------|--|----⌫--|------⌫|
q uant deu oient loreuresdire	-⌫---|---⌫----|--|----|---|
wistascelorfaisoitmesp rendre	-------|--|------|----⌫-----|
quantdeuoientlorgra scesrendre	----|-------|--|---⌫---|-----|
ens a c ambreert zz ior	-|-⌫|-⌫----|--|-|--|
il er tsainiéssiot erré	-|--⌫|-------|-|-|----|
faitapparillier	---|----------|
a ssesa boire etamangier	-⌫---||----|-||------|
car deporcetcar	--|-|---|-|--|
auessauuagesuenison	---|-------|------|
wi stasc e uintdeuan tlabbe	--⌫-----⌫|---|-----⌫||---|
quimaint preudom me apuisg abé	--|----|-------⌫-||---|-⌫---|
siredis t il ie suiuenus	---|---⌫|-|-|--|----|
er eioua cort	--⌫|--||---|
secu idoie auoira mangier	-|--⌫----|----||------|
iediro iede	-|----⌫-|-|
mo nmestier	--⌫|------|
distl iabbesuous	---|-⌫|----|---|
maldehait horeli mienscols	--------|---|-|----|---|
seuous n estesdemainbatus	-|---||----|-----|----|
seencapitleestestenu s	-|-|------|----|----⌫|
distw ista scesmanechiéuiuent	---|-⌫----⌫---|--------|-----|
entr eiausmoltlonghementestriue nt	----⌫|---|---|---------|-------⌫-|
wistasce ala enlacuisine	-------|--|-|-|------|
deuantlui esgar d eu netin e	-----|--|-----⌫-⌫|-⌫-|---⌫|
ki t outeplained iaue estoit	-|-⌫---|-----||---|-----|
wi stas ce e sgardes si leu oit	--⌫----⌫-|-⌫------|-|-|-⌫--|
il lecomm enc heaconiurer	-|-|----⌫---⌫-||-------|
etliaueco mmenc he ami rer	-||---|--⌫-----⌫-||--⌫--|
uerm e illedeuint c ommesanc	----⌫-⌫---|-----|-⌫---|---|
wistascess	--------||
assist sourzz ba n c	-----|---|-|--⌫-⌫|
lam oitiedunporcesgarda	-|-⌫----||-|---|------|
oiant t restousle coniura	----|-⌫------|-|------|
puisa destrepu isasenestre	---||-----|--⌫-||-------|
uneui ellesambla aestre	--|--⌫---|-----||----|
laideet bo chue etreskignie	----|-|--⌫---|-|--------|
lic u isinie rtornent en	-|-⌫-⌫------⌫|------|-|
co nterent a labbe	--⌫------|||---|
etliabbes i estalé	-|-|----||--|---|
et uoitla uielle	-|---|-|-----|
oianttout le couuents escri e	----|---|-|------||-----⌫|
dist la bbe	---||-⌫--|
fuionsnous ent	-----|---|--|
cest zzm alfe	|--|-|-⌫---|
wi stascedesfiest	--⌫-----|-------|
portachiesson uoisin	----|----|--|-----|
zztaurenierki molt l	-|--------|-|---||
toutenuiti m a nguee t boit	----|---||-⌫-⌫---|-⌫|---|
trestou tiuoitautremer el	-------⌫|----|-|------⌫-|
elsain tneremanoit b atel	-|----⌫|-|-------|-⌫---|
l escr uc efiset	-⌫-|--⌫--⌫---|-|
les ymages	--|-----|
tre stoutmetoitwistasceen gages	---⌫----|-----|-------|-|----|
niremanoitnis bote amogne	||-------|--|---||----|
toutembloitwis tascele	---|------|---⌫----|-|
al entendr ene uous	||-------⌫|-|---|
ie uousdirai en cor a nuit	-|---|----|--⌫--|-⌫---|
tel chosequi uousferari re	--|----|--|---|---|--⌫-|
iale m oré sc onter e tdi re	-|-||----⌫|-⌫----|-⌫|--⌫-|
lizzcont e nt	-|-|----⌫-⌫-|
che mestauis	--||--|---|
etdebasynet dem augis	-|-|----|-|-|-⌫----|
basinscunchia	-----|------|
mainteui le	-----|--⌫-|
etmaugis afaitmaintegi le	-|-----||---|-----|--⌫-|
cara mugis par ingremanche	--|-⌫----|--|----------|
emblalac ou ronne defr anche	----|-|-⌫--⌫----|-|--⌫----|
ioiou see tc orteethau teclere	-----⌫-|-⌫|-⌫---|-|---⌫------|
etdurendalqui	-|-------|--|
moltfuc lere	---|-|-⌫---|
basinsiembla a ma ugin	----|-|----|-⌫--⌫---|
e ta mau gis amblabasin	-⌫|-⌫---⌫--|----|----|
dema ugisic hiuo uslairai	-|--⌫---|--⌫-|--⌫-|-----|
dui st ace l e moigne dirai	|--⌫--⌫--|-⌫|-----|----|
quimolt sotplus queamaugis	--|---|--|---|--|------|
ne queb asi n s c hemes tauis	-|--|-⌫---⌫-⌫|-⌫-||--⌫|---|
trauersnebarasne	------|-|----|-|
nesorentonques	-|-----|-----|
tant dabe s	---||---⌫|
oroiiésdu istasce lemoigne	-|-----||-⌫------|-|-----|
k iuers le co ntedebouloigne	-⌫|---|-|--⌫--|-|--------|
mena guerremoltlongemen t	---|-----|---|--------⌫|
decoi fuli commen chement	-|--|-|-|------⌫------|
ui stascedont	--⌫-----|---|
parle rmoés	-----⌫||---|
a corsenbou lenoisfune ́s	|---|-|---⌫-----|-|--⌫-|
bauduinsbulkes	-------|-----|
sesperepouruoirlesauon	--|---|---|---|-|----|
siestoitp ersdeboule n ois	-|-----|-⌫--|-|-----⌫-⌫--|
moltsauoitdeplai set	---|-----|-|----⌫|-|
occisfu lesbasinguehans	----|-|--|-----------|
hainfr ois de heresinguehans	------⌫--|-|-------------|
lalefi st occirre et tuer	-|-|--⌫-|------|-|---|
kille uolo itdeshyrete r	|-|-|----⌫-|---------⌫|
bau duinsb usquesli	---⌫----|-⌫-----|-|
d un fiefdo nti laco rtplaidoit	|-|---|--⌫-|-⌫||--⌫-|-------|
et une buff elidonna	-|--|----⌫|-|----|
dont lameslee commencha	---|-|-----|--------|
wistascesdeuenuser tmoigne	--------|------|--⌫|-----|
asaintsaumerdeuersbouloigne	|----|-----|-----|--------|
wistasc eiss idel abbeye	-------⌫|---⌫|-||-----|
q uantsonpere	-⌫---|--|---|
otper dula uie	-|---⌫-|-|--|
uintdeua ntli quens	---|----⌫-|-|----|
debouloi gn e	-|------⌫--⌫|
siredistw istasce limoigne	---|---|-⌫------|-|-----|
ha inf roisamonpere m ordri	--⌫---⌫---||--|---|-⌫----|
tene ́meadroit	----⌫|-||----|
ieuous em pri	-|---|-|--|
dont fuhainfr ois	---|-|------⌫--|
a cor tmande ́s	|---⌫|-----⌫-|
wi stasces est empies l eués	--⌫------|--|-|---|-⌫----|
signordis tilormentendés	-----|---⌫|-|-||--------|
mesperes estmorsettués	--|----|--|---|-|----|
ha i nf roislemamort	--⌫-⌫--⌫---|-|||---|
ilestmesmortelsan emis	-|--|--|------|--⌫---|
iem endeffen c che	-||-|------⌫|--|
dis t hainfroi	---⌫|-------|
pardiuetparh omm eet	--|--|-|--|-⌫---⌫|-|
ma is iem enplaina mes amis	--⌫-|-||-|----||--|---|
tan tost furentd onnéligage	---⌫---|-----|-⌫----|-|---|
plegesliure rente t o stage	-----|-----⌫---|-⌫|-⌫----|
dontiurahainfr oissoneage	---|---|------⌫--|--|---|
lui y yimedesonparage	--|-⌫---|-|--|-----|
iu raquilauoit	--⌫-|-|-|----|
etplusencor si	-|---|----|-|
co m cuidoit	--⌫|------|
dontil fu iugi émaint e nan t	---|-|-|----⌫-|-----⌫-⌫---⌫|
q ueson parent	-⌫-|--|-----|
o uson sergha nt	-⌫|--|------⌫-|
se puetbien combatrepor	-|---|---|-------|--|
m ais niot	-⌫--|||-|
qu ilabataille osastempren d re	--⌫|-|-------|----|------⌫-⌫-|
po rl uine	--⌫|-⌫-|-|
cors desfendre	---|--------|
endités lifu unsuassaus	-------|-|-|--|------|
gransethardi setfirsetbiaus	----|-|-----⌫|-|---|-|----|
wi stasceot nonde	--⌫-----|-|--|-|
mar aquise	---⌫-----|
adontf ula bata illeprise	----|-⌫|-|----⌫---|----|
mane sier sse lieue unsuarles	----⌫----⌫|-|----|--|-----|
n e ueusfubaudu inbusquet	-⌫-⌫---|-|-----⌫-|------|
g rant bacelere t b iel et	-⌫---|------|-⌫|-⌫--|-|
hainfroiapieladela mort	-------|-----|-|-|---|
sononcleki loccis a uoi t	--|----||-⌫|----|-⌫---⌫|
et dist que	-|---|--|
illiprouueroit	-|-|---------|
adontfu la ba taillee mprise	----|-|-|--⌫-----|-⌫-----|
cascuns diaxmoltformentse	------||--|---|------|-|
du ist ascecontre	|-⌫---⌫---|-----|
and ui furent	---⌫-|-----|
etfort etfier	-|---|-|---|
l abata illefu a es tagles	-⌫|----⌫---|-||--⌫-----|
uassausfugrans li	------|-|----|-|
adont u intwist asces	----|-⌫--|----⌫----|
deu an tlecontedeb ou loi gne	---⌫--⌫|-|----|-|-⌫--⌫---⌫--|
siredisti lsach iéssa ns fail le	---|---|-⌫|----⌫---|--⌫-|----⌫-|
queiemost d e cest e ba taille	--|-||--|-⌫|----⌫|--⌫-----|
queiaacor den enprendrai	--|-|----⌫-||-|-------|
lamort m onpereuen gerai	-|---|-⌫-|---|---⌫----|
limo ignes	-|--⌫----|
sestdelchamp	|--|--|----|
manesiersfu tan t ostoc cis	--------|-|---⌫-⌫--|--⌫--|
li moi gnesse ruipuisleconte	-|---⌫---|--⌫--|---|-|----|
detrestout li	-|-------|-|
rendoitaconte	------|-----|
senesc ausfu d e boulenois	------⌫--|-|-⌫|--------|
persetbaillius chefu ses drois	---|-|-------|--|-|--|----|
hainfroi lempira u ersleco nte	-------||-----|-⌫--|-|--⌫--|
d ure mentlidesfis tsonconte	-⌫---⌫---|-|------⌫|--|----|
li q uens awistascema nde ́	-|-⌫---||-------|--⌫---⌫|
t antost s eliademandé	-⌫-----|-⌫|-||-------|
desbaillieskila tenues	--|-------||-||-----|
po urc oiille sa	--⌫-|-⌫-|-|--⌫||
deten ue s	-----⌫--⌫|
wistasc esd istsans demoure r	-------⌫-|-⌫--|---|-------⌫|
chitoutpres td e conter	--|---|----⌫|-⌫|-----|
puisque ch imen	------|--⌫||-|
auéssemons	----|-----|
deuan tuospersetuos barons	-----⌫|--|---|-|--|-----|
pe rssuide bo ulenois	--⌫-|--|-|--⌫------|
li quens uousenuenrois	-|----|---|-|------|
a harde lo amoi	|-----⌫-||--|
lane meporés me sconter	-|-|-|-----|--⌫------|
distwista scescest tr ahison	---|-----⌫---||--|--⌫-----|
uousmeuo lés metree mprison	---|-|--⌫---|----|-⌫|-----|
limoignes s estdilluecpart is	-|------||--||-----|----⌫-|
parmalestd elconte	--|--|--|-⌫-|----|
maintesfoislefi stpuis dolent	------|---|-|--⌫-|---|-----|
liquenssaisisonte nement	-|----|----|--|--⌫-----|
gardinliembrasa	-----|-|------|
e twistasceslimoignesiura	-⌫|--------|-|------|---|
a songardin ars	|--|-----|--|
ilc ousterayy mars	-|-⌫------|-|---|
uniouruintwistascesl e moigne	-|---|---|--------|-⌫|-----|
ayymolinsd efors bouloigne	|-|-----|-⌫----|--------|
qu eliquensiau oi tfait faire	--⌫|-|----||--⌫--⌫|---|----|
fa it arrieretraire	--⌫-|------|-----|
enzzmolintr eu ue zzma nnier	-|-|----|--⌫--⌫-|-|--⌫----|
illecommench e amanechier	-|-|--------⌫||--------|
que illicauperala test e	--|-|-|------|-|----⌫|
seil n eua	-|-|-⌫|-|
tostalafeste	---||-|----|
as noc hessym on deboloigne	-|---⌫--|---⌫-|-|-------|
diraslorquistascesle	----|--||--------|-|
es tue nus poriause scla irier	--⌫|--⌫--|--|---|-⌫----⌫----|
nont do n t ueoirmangier	|--|--⌫-⌫|----|------|
telsyy can doileslor ferai	---|-|---⌫-----|--|----|
quele smolinsa lumerai	--|--⌫|-----|-⌫------|
maunierss enuait auconte	-------||-|---|-|----|
du istascel emoi gneliconte	|-⌫------|-⌫|---⌫--|-|----|
l iquenss aut sussa ns	-⌫|----|-⌫--|--|--⌫-|
delaouseoitauma ngier	-|-|-|----|-|--⌫----|
e t fait cri e rpargrantessogne	-⌫|---|---⌫-⌫|--|----|------|
o rapri es w istascelemoig ne	-⌫|----⌫-|-⌫------|-|----⌫-|
sautlimairessautlepro uost	---|-|-----|---|-|---⌫---|
labancl oques onnata ntost	-|-----⌫---|-⌫---|--⌫----|
quantwistascesloi sonner	----|--------||-|-----|
adon tcom menchea retorner	----⌫|---⌫-----||-------|
illecomme nchenta sieuir	-|-|-----⌫-----||-----|
m a isnele porent consie uir	-⌫-⌫-|-|-|-----|------⌫--|
as noch essimonde boloig ne	-|----⌫-|----|-|------⌫-|
alumawista sces	----|-----⌫---|
ce syymolinsqueuos oés	--⌫|-|-----|--|--|---|
che fulafineuerites	--|-|-|---|------|
uniourestoit a cl ermares	-|---|-----||--⌫------|
wist asces quimoltsotdabe s	----⌫----|--|---|--||---⌫|
illuecoi direet co nter	-----|-|---|-|--⌫---|
qu ensuaasaint	--⌫--|-||----|
il seuestdecote les b lanches	-|-|---|-|----⌫--|-⌫------|
uestunegounealeesmanches	---|--|----||---|------|
yy moignesempru nte a la bbe	-|------|-----⌫--|||-⌫--|
tout troisontmaintenantmonté	---|---|---|---------|-----|
wistascespri stacheualchier	--------|---⌫-||----------|
siest rierfurentd emeslier	-|---⌫---|-----|-⌫|------|
leconteencontreentreyyuals	-|----|-------|----|-|---|
men erfaisoi tyy fierscheu als	---⌫-|------⌫|-|----|----⌫--|
liquenswistascea salué	-|----|-------||-----|
et wistasces la encliné	-|--------|||-------|
liquensuinta	-|----|---||
zzsienma nage	-|---|--⌫---|
awista s ceuintencor age	|-----⌫-⌫-|---|-|---⌫--|
kili roit auconteparl er	|-|-⌫---|-|----|----⌫-|
tantostcommench eare torner	------|--------⌫||--⌫-----|
si comliquens	-|--|-|----|
fu descen d us	-|------⌫-⌫-|
wistas ces i	------⌫--||
estsou r uenus	--|---⌫-⌫----|
d onts assistwistasce slemoigne	-⌫--||-----|--------⌫|-|-----|
dale slecontede boul oigne	----⌫|-|----|-|----⌫----|
comm e fuorefols nais	----⌫|-|--|---|---|
quant dales	----|----|
lui sefuassi s	--|-|-|----⌫|
quebiensauoit	--|---|-----|
silerttenus	|-|--|----|
queilseroitarsoup endus	--|-|-----|--|-|-⌫----|
sir edist i lpor	---⌫|---|-⌫|--|
duistascelemoigne u o uspri	|-------|-|-----|-⌫-⌫-|--|
