ci lkiseuent de	--⌫|-|-----|-|
berbiz poisneuesqui	-----|---|-|-----|
e sis siresdeltutla perdi	|--|----|--|--|-|----|
cest essampleuus	---|-------|--|
uuilmustrer	---|------|
par mainthom elepuis	--|----|---⌫|-|---|
k iparmentirepar trich eer	-⌫|--|-----||--|-----⌫--|
funtle spo u res suuent plaider	---|--⌫|--⌫-⌫--|-----|------|
fa ustes timoines aua n t amai nent	--⌫-|---⌫-------|---⌫-⌫|----⌫---|
d elaueir al poure	-⌫||----|-|----|
nelur chau tquel ilasdeuienge	-|--|----⌫|--|-⌫|--|-------|
mesquechescunsa	--|--|------|-|
pa rtentienge	--⌫-|-|-----|
a unefeizceo nusre cunt	|--|---|--|--|--⌫---|
chensult re	----|---⌫-|
unfurmageensabuche	-|------|-|-|----|
e qua ntenm i	|---⌫-|---⌫|
lepunt paruint	-|---|------|
al gue uit lumbredel	-|--|--||----|--|
purpensaseiensun cu rage	-------|--|-|--|--⌫---|
qu i lles uoleitaueirand ou s	-|-⌫|--|-----|----|---⌫--⌫|
il oec f uil	--⌫--|-⌫|-|
tropc uueitus	---|-⌫------|
en le wesa l t sabuch e	-||-⌫-|--⌫-⌫|-|----⌫|
elifur magel ichai	|-|---⌫---|-⌫|---|
e umbre uiteumbre fut	|----|--||----|--|
e sunfurmageodperduz	|--|------|-|-----|
se deiue nt chastier	-|-----⌫-|-------|
cilqu itrop	--|--⌫|---|
u ulent cuueitier	-⌫----|--------|
kiplus cuu eite d esun	-|---|---⌫---|-⌫|--|
maimesse de ceit	-----|-|--⌫---|
karce oquilad pert il	--|--⌫|-|-|-|---|-|
e dela utr uinad	|-||-⌫---⌫-||-|
paressamplefaitici entendre	--|-------|---|--|-------|
ki lisola iz uoleitfemme	-|-|----⌫-|-----|----|
creaturedist	-------|---|
k echesc une s epurue ist	-⌫|-----⌫--|-⌫|-----⌫--|
lescrea turesseasembler ent	--|----⌫----|-|--------⌫--|
ala destineesen	|-|-------||-|
silimustrerentde lsol ail	-|-|---------|--⌫|---⌫--|
qui d efemmeprendrequereit	--|-⌫|----|------|------|
ladestinee lurcuman de	-|-------|--|-----⌫-|
q ue ueirdi entd elademande	-⌫-|---|--⌫--|-⌫|-|------|
e ceoq ueauisl ur estei t	|--|-⌫-|---|-⌫-|-----⌫|
ce leparla kimelzsaueit	--⌫-|----|-|---|-----|
q uantlisolailzestchauz	-⌫---|-|------|--|----|
altens destee si est hauz	-|---||---||-|--|---|
quenelest rienfructifier	--|-|---|---|---------|
e terre eherbe faits echie r	|----||----|---|-⌫-----⌫|
eseiladefforcement	|-|-|-|----------|
ecompaignieata lent	|---------||--⌫---|
nuleri en nepurra tsuffrir	---|--⌫-|-|-----⌫|------|
desuzuiure	----|----|
ne gua rir	-|---⌫--|
ladestin e e re spundi	-|------⌫-⌫|--⌫-----|
ueirauezdit les sumiss i	---|---|--|---⌫--|---⌫|
grant tensa	----|---||
kar i a par mai	--|-⌫|--|--|
icichastielesplusur s	--|------|--|------⌫|
qui sur e l s m ettent	--|--|-⌫-⌫|-⌫-----|
mal seinnur	--|------|
ne sdeiuentpa sesforcer	-||------|--⌫|-------|
naplusfortd	||---|---||
elsacompaig n er	--|--------⌫-⌫-|
parlurs e nse pa r lur	--|--|-⌫-⌫-||--⌫|--|
mesde sturbier	--|--⌫-------|
a lur poeir	|--|----|
c u mplus lifunt epluslurf et	-⌫-⌫|---|-|---||---|--|-⌫-|
lurest en mal	--|--|-|--|
is siaui nt kunslusrun ga	--⌫-|---⌫-||--|--|---⌫-|
unos queal	-|-|--|-|
col li auala	--|-|----|
e quantal col li f uentrez	|----|-|--|-|-⌫|-----|
mu ltdurementenfu	--⌫-|-------|-|-|
tutesl e s b estesasemb la	----|-⌫-⌫|-⌫----|-----⌫-|
eleso isals a sei	|--|-⌫----||--|
e puis fai tatuzdemander	|---|---⌫||--|-------|
saueitmes c i ner	-----|---⌫-⌫-⌫--|
entr elsu nt unc unse ilpris	---|--|-⌫-|-|-⌫----⌫-|---|
echesc undi tlesuen auis	|-----⌫-|--⌫|-|---|---|
f ors la grue	-⌫--|-|---|
ceod ientbien	--|-⌫---|---|
niad nul quen	||-|--|-|-|
sa cherien	--⌫--|---|
bienempurreit trairecelos	---|-|------|-----|--|-|
liluslipramistgrant	-|--|-|------|----|
purceoquel	--|--|--||
enuolsist ai der	-|------|--⌫--|
lagruelanc ebe c au ant	-|---|----⌫|--⌫|--⌫--|
deden zla gulealm alfesant	-----⌫|-|---|-|-⌫-------|
losen ad trait poiss i li	|-|-|-|----|---|-⌫|-|
kela pramasselirendist	-|-|-------|-|------|
lilus parla par maltalent	-|--|----|--|--------|
eaf ermaparseremen t	|--⌫---|--|-------⌫|
que li semblae	--|-|-----||
quebonlue raueiteu	--|--|---⌫|----|-|
quantlatesteensa	----|-|----|-|-|
buchem ist	----|-⌫--|
lestranglauocist	|--------||----|
tue sfaiti l fol e	-|-⌫|---|-⌫|---⌫|
quantdemeies uiue	----|-|--|-|---|
qu e tu requersa ltre	--⌫|-|------|-⌫---|
detacharn aiieogrant des i rer	-|-|----|-|--|----|---⌫-⌫--|
mesm ultparme tiengpurf ol	--|-⌫--|--|-|----|--|-⌫-|
kod mes denzn	|-|--|---||
estranglai tunc o l	---------|--|-⌫-⌫|
altresiestd emalseignur	------|--|-⌫|--|------|
sipoureslifait honur	-|-----|-|---|----|
e poisdeman de	|---|-----⌫-|
leguered un	-|------⌫-|
aur asim alnun	---⌫|-|-⌫-|--|
pu rceoquilseet	--⌫|--|-|-|---|
ensabaillie	-|-|------|
m ercierl edei td e saui e	-⌫-----|-⌫|---⌫|-⌫|-|--⌫|
duneli sse uus uui lcunter	|--|--⌫--|--|---⌫|-----|
mes ne soltuele geust	--|-|---||--|----|
nese sch aals auerpeu st	-|--⌫|--⌫---|---|---⌫-|
auneal tr elisserequi st	|--|--⌫--⌫|----|-----⌫-|
k en su noste llasu ffrist	|-|--⌫|----⌫|-|--⌫-----|
e le eustchaelee	-⌫-|---|------|
multparlisaureit	---|--|-|------|
tan tladrequisee preee	---⌫||-|------||----|
q uedunclatherb ergee	-⌫-|---||-|----⌫----|
puis quant	---|----|
el eotchals	--⌫|-|----|
espl eidrizfure nteb ea l s	----⌫-----|----⌫-||-⌫--⌫-⌫|
icelequi l ostelesteit	----|--||----|-----|
souent pare ls	-----|--|-⌫-|
dam ageaue it	---⌫--|---⌫-|
des a maisunl esruueeis sir	-|-⌫|-----|-⌫-|---|---⌫--|
karne suoltmeissuffrir	--|-||---|---|------|
laltre seprist ad em ent er	|----|-|----||-⌫--⌫---⌫-|
e ditk elene setu ale r	|--||--|-|--||---⌫|
iueresteit par lafreidur	---|-----|--|-|------|
m ureitlaforsa	-⌫----|-|---||
grant dulu r	----|----⌫|
du n c la requist	--⌫-⌫|-|------|
pa rcha rite	--⌫|---⌫---|
quelel aher bergast des q uea	-|--|-⌫|---⌫------|---⌫-⌫-||
celeotde l i	---|-|-|-⌫|
multgr an tpite	---|--⌫--⌫|---|
adissiotrié	-|---|-----|
equant lebel tens uitue nir	|----|-|--|---|--|--⌫--|
idunclaroueforseiss ir	----|-|---|---|----⌫-|
l altrecomenca a iurer	|----|------||----|
ques e iameis	--|-⌫|-----|
lenoeitparler	|-|---|-----|
que sichae lladetrareient	--|-|----⌫|-|----------|
lusl a buter eient	|-|-⌫|-----⌫----|
pa rcestessamplepoezprouer	--⌫|---|-------|---|-----|
eparmaint p rodum e	|--|----|-⌫-----⌫|
quiparbon ted esuncurage	--|--|---⌫-|-⌫|--|-----|
estchacie ́ desu nhe ritage	--|------⌫|-|--⌫|--⌫-----|
hume asei a c ol t	---||--|-⌫-⌫--⌫|
ne s enistrapasqua ntiluolt	-||-|----|--|---⌫-|-|---|
ki aun e uileproc eine	-||--⌫|---|----⌫---|
uuleitalerpur depo rter	-----|---|--|----⌫---|
b oisle stoetpasser	-⌫--||-⌫----|-----|
d edenzleboislianuta	-⌫----|-|---|-|----|
une hulet te iloec truua	--|-----⌫-|----|----|
k unesur iz	|--|---⌫-|
iloecotfaite	----|-|----|
esauiande atil oec atraite	|-|-----|-|--⌫--|------|
lasurizde uileiloec	-|----|-|---|----|
s i loecoutpui ntd euiande	|-⌫---|--|---⌫-|-⌫|-----|
ce lerespuntieo en ai	--⌫-|------|--|-|-|
uenez auantsi	----|----|-|
si eussez pluscompaignie	-|-----|---|---------|
si serrieztresbien	-|------|---|---|
quanteleo tune pieceesté	----|--|-⌫|--|----|----|
a sacompai gne	|-|------⌫--|
di tques isestre e stmalueis	--⌫|--|-⌫-|----|-⌫-|------|
ic ine uolt demu rer	--⌫|-|---|----⌫--|
od lui uiengesiaura	-|--|-----|-|---|
r ichessales quelelife ra	-⌫----|----|-|--|-|--⌫-|
belesde spen sesbelsc e lers	----|--⌫----⌫--|---|-⌫-⌫---|
beiure seb elsma ngers	------⌫||-⌫--|--⌫----|
cele lacrutodlui senu a	---|-|---|-|--||-|-⌫|
silia d mustréses celers	-|-|-⌫|------|--|-----|
s es despensessescelers	-⌫-|--------|--|-----|
plen tede fari n e edem iel	----⌫-|-|----⌫-⌫||-|-⌫--|
ecele q uidout estre al ciel	|---|-⌫-----|----|-|---|
mesoreuind rentlibutei ll er	--|--|----⌫---|-|-----⌫--⌫-|
kidurententrer el c e l er	-|-----|-----|-|-⌫-⌫-⌫-|
sit ostcum il ourirentlus	-|-⌫--|--|-|-------||-|
lessuriz cur e ntelpertus	--|----|---⌫-⌫-|-|-----|
celefutmurne een	---|--|----||-|
kide mort aue itgrantpour	-|-|---|---⌫-|----|---|
sa cumpaig n ela regu arda	-|-------⌫-⌫|-|----⌫---|
pargrantamurli dem anda	--|----|---|-|---⌫---|
quelsemblant f ei zma	---|-------|-⌫--⌫|-|
bel e amie	---⌫|---|
ieosui faitele	--|--|---|--|
malbaillie	---------|
purla pourqueaieue	--|-|---|--|-|--|
mult merepent	---|-|-----|
q ue taicreu e	-⌫-||-|----⌫|
tumerecuntoues tuttunbien	-|-|---------|--|--|---|
orastupourde lag ent	-|-|-|---|-|-|-⌫--|
de cazde oisals	-|--|-|-----|
tutenseme nt	--|------⌫-|
edese nginzquehoem	|--|-⌫----|--|---|
faitp u rtei	---|-⌫-⌫|--|
melzaimalboisestre parmei	---|--|-|---|----|--|--|
aseuré esenzdestresce	------||---|--------|
qu en itele ssal es odtristesc e	-|-|-----⌫|---⌫-|-|--------⌫|
ce st efabled it par respit	--⌫--⌫|----|-⌫-|--|-----|
quechescunaimt le	--|------|---|-|
quil a denpa ise	-|-|-⌫|-|--⌫-||
senz dutanc e	---|------⌫|
qual trui richesce o d mesestance	-|--⌫---|-------|-⌫|---------|
dungupilcunte la maniere	|-|----|----|-|------|
kierteissu de	-|--|----|-|
saterr ie re	-|----⌫--⌫-|
odsesenfanz deuantiua	-|--|-----|-----|--|
unsegle si	--|----⌫||
uintun en porta	---|-|-|----|
li gupiluait a pres criant	-|----|---|-⌫---|-----|
ke cil li rendesunenfant	-|--|-|----|--|-----|
mesilneluoltpasescuter	--|-|-||---|--|------|
silicuueneit r et u rne r	-|-|-------|-⌫--⌫-⌫---⌫|
untisun pr is t	-|----|--⌫--⌫|
delf euar dant	--|-⌫-|--⌫---|
e seccheb ucheuaitcu illant	|-----|-⌫---|---|--⌫-----|
en turlechenne lameteit	--⌫--|-|-----|-|-----|
uliegles sunniaueit	|-|----|--|-|----|
uaitlefeuespris	---|-|--|-----|
al gu pilp riee	-|--⌫--|-⌫--||
ast einlefe upren	---⌫--|-|--⌫|---|
ia serrun ttutarsmi oisel	-|------⌫|--|--|-|----|
par cestessa m pleentendumnus	--|---|----⌫-⌫--|-------|--|
delricheor gu illu s	--|----|--⌫--⌫----⌫|
iadel poure naura merc i	-|--|----||---|----⌫|
pu rsa plain tene pur s uncri	--⌫|-|-----⌫-|-|--|-⌫-|--|
messecilse peus tu enger	--|-|--|-|----⌫|-⌫----|
u erriezs upplei er	-⌫-----|-⌫------⌫-|
iadisesteit custo mee	----|-----|-----⌫-||
queli liun s	--|-|----⌫|
dutestre reis	--|----|---|
surtot es les	--|---⌫-|--|
bestes quisunt	-----|--|---|
equicunue r s ent almunt	|--|-----⌫-⌫-⌫--|-|---|
del bugleotfaitsu nsen escal	--|----|-|---|--⌫|---⌫----|
kar p l u s	--|-⌫-⌫-⌫|
leteneit a	-|-----||
allu baillasap rouos te	-|-|-----|-|-⌫-----⌫-|
tuttr ei sen sunt	--|--⌫-||-|---|
albo isalé	-|--⌫-|---|
uncerf truuerent silc hacerent	-|---|--------|-||-⌫-------|
or entpr iss il e scorcerent	--⌫--|--⌫-|-⌫||-⌫---------|
b ug ledemand a	-⌫--⌫-|------⌫|
cumentle cerf depar tira	-----|-|---|-----⌫---|
ceo estfa itil a	--|--|--⌫-|-||
munseignur	--|------|
li deuump orter honur	-|----|-⌫----|----|
additeiuré	-|--||----|
que tutse iuen tpar	--|--|--⌫----⌫|--|
quelapre merep art	--|-|---⌫---|-⌫--|
que reisert edreiz	--|---|--||----|
el altrepar tpur le	||----|---⌫|--|-|
ertleterzcompain	--|-|---|------|
laltre par t a uraceodit	|----|---⌫|-⌫--|--|--|
raisun e steit kar ill	-----|-⌫----|--|-||
b e st elaperneit	-⌫-⌫--⌫|-|------|
ses ene m is mortelesteit	--|---⌫-⌫-|-----|-----|
dun cn i os anuls	---⌫|||--⌫|---|
tutlurestoetlecerf leiser	--|--|-----|-|---|-----|
una l trefeiz	-|-⌫-⌫--|---|
o tli liuns	-⌫|-|----|
enboisodluipl uscomp aignu ns	-|---|-|--|--⌫-|----⌫-----⌫-|
la ch eureelaberb izi fu	-|--⌫---||-|----⌫-||-|
pris eretenu	---||-----|
enq ua trepartiesle	-|-⌫--⌫--|------|-|
uuntdepartir	---|-------|
liliunsdit ieo l	-|----|--|--||
uoils ais ir	---|-⌫---⌫-|
la gr eignurpart de i t estrem eie	-|--⌫-----|---|--⌫-⌫|----|-⌫--|
kar ie o su ir eis lac u rtlotrei e	--|--⌫|--⌫|-⌫--|-|-⌫-⌫-||-----⌫|
laltreaur a ikarieoicurui	|----|---⌫-⌫|--|--||----|
elatierc ekar pl us	|-|-----⌫|--|--⌫-|
laquartai ieosi deui see	-|----|-|--|-|----⌫--|
que n ulne lauerasenzmel ee	--|-⌫-|-||----|---|---⌫-|
si compai nnun	-|------⌫---|
qua ntil l	---⌫-|-||
t utlilesserents ifuire nt	-⌫-|-|--------|-⌫|-----⌫-|
altresi estned utezmie	------|--|-|-⌫---|--|
si poureshoemprent com painnie	-|-----|---|----|---⌫------|
ap lus fortho me quil	|-⌫--|---|--⌫-|-|-|
ia de lg u aa inn auratespleit	-|--⌫|-⌫-⌫--⌫-||----|------|
li riches uoltauei r	-|-----|---|----⌫|
ulipou resperdratsamur	|-|---⌫--|------||---|
e sinulguain	|-|--|----|
deiuentpa rt ir	------|--⌫--⌫-|
liriche suolt tutret enir	-|-----⌫|---|--|---⌫---|
ceoditkun segles	--|--||--⌫|----|
u intuol ant	-⌫--|---⌫--|
