adeumeplaign	|--|-|-----|
uet le trubleen sa	--|-|-----|-|-|
c estseruisefaitle uilein	-⌫--|------|---|-|-----|
etuez icile moisdaaust	-|--|--|-|---||----|
u n serui s eq uineuosfaut	-⌫|-----⌫-⌫|-⌫-|-|--|---|
cestque ildoiue ntlacor ue e	|--|--|-|-----⌫-|-|---⌫--⌫|
elne doitpas estreob liee	-|-|---|--|----|--⌫---|
cest qu ild oiuent le sblezso ier	|--|-|-|-⌫-----|--⌫|---|--⌫--|
au neretapar ellier	--⌫--|-|----⌫-----|
e tt asserel	-⌫|-⌫----|-|
mileudel champ	----|--|----|
les enmeintenant	--|-|---------|
porter les doiuentalagran che	-----|--|------||-|----⌫--|
cest seruisefont de s enfance	---|------|---|--⌫|------|
issifirent lorance isor	---|-----|--|----⌫---|
telseru ise font au sei g nor	--|----⌫--|---|-|---⌫-⌫--|
lor terressi	--|-----|-|
s ontc hamp artables	-⌫--|-⌫----⌫-------|
ian enaporteront	-||-|---------|
lor g arbes	--|-⌫----|
querreu ontlech amparteor	-----|-⌫--|-|--⌫--------|
meine nta gr ant dolo r	-----⌫-||--⌫--|----⌫|
sel e uil ein	-|-⌫|---⌫--|
faut a son cont e	---||--|----⌫|
lechamp a rtor lemetaho nte	-|-----⌫-⌫---|-|--||--⌫--|
etenlieueg rand emer ci	-|-|----|-⌫----⌫|---⌫-|
del ui lein	--|--⌫---|
quantla deserui	----|||------|
lechampar tcharge ensa charete	-|-------⌫|-----|-|-|------|
ne nioseautre	-|||--|----|
garbe metre	----|----|
uet al agrangedelchamppart	--||-⌫|-----|--|--------|
sonb leremaint d e lautrep art	--|-⌫-|------|-⌫||----|-⌫--|
qui estau uent etalapluie	--|--|-|---|-||-|----|
auu ilei n malementennuie	-|-⌫----⌫|-------|-----|
qui gistpa r le champ	--|---|--⌫|-|----|
la ou i l ado m agesigran t	-|-|-⌫||--⌫-⌫--|-|----⌫|
alainzqu ilpuetui ent a	-------|-|---|--⌫--||
la gra ng e	-|---⌫--⌫|
oul e nleueramercigrande	-|-⌫-⌫|-----|----|-----|
si la n ule garbe per d ue	|-⌫||-⌫--|----|---⌫-⌫-|
quis oit chaite en champ	--|-⌫--|-----|-|----|
ses che uau ssietlie	--|---⌫---⌫|-|-|--|
ne lenlesseramengiermie	-|--|------|------|--|
il lemetteita gr antdolor	-|-|------||--⌫--|----|
i lenuoudroita uoirde luin	-⌫|-|-------|-⌫---|--⌫|--|
mo utfaitle uilein m alefin	--⌫-|---|-|-----|-⌫--|--|
quia d es serianztreis ouqua t re	--||-⌫-|------|----|-|---⌫-⌫-|
lun rece itetl autredesquarque	|-|----⌫-|-||----|---------|
etlautreamarn eau tassoor	-||----|-----⌫|-|------|
assezal e uileindolor	----||-⌫|-----|----|
quan tade chargié sisen ua	----⌫||--⌫-------|-||-|-|
ilnout mietel	-||--|--|--|
ioiepi ecea	---|--⌫--||
etpuism audi tensonlanguage	-|---|-⌫----⌫|-|--|-------|
qu i lidonatel heritage	--⌫|-|---|--|-------|
porquoiil est simalmené	--|---|-|--|-|--|----|
apresu ientl afoir edel pre	----|-⌫---|-⌫|----⌫|--|--|
etlanostre dameen setembre	-|-|-----|---|-|-------|
quilcou ientle p orc agerendre	-|-|---⌫---|-|-⌫---⌫--|-----|
s ele uil ein	-⌫|-|---⌫--|
ayyporceau s	|-|-------⌫|
ilen pre ndrales	-|-|---⌫---|--|
yy plusbeaus	-|---|----|
autre apres e st au	----|----|-⌫-|-|
ilnep rendrapas lepeior	-|-|-⌫-----|--|-|----|
del so rplusdequeun z zdenier	--|--⌫----|-|----|-⌫|-----|
couienttot ce pai e r	------|--|-|---⌫-⌫|
et apresuie ntlasaintdenis	-|----|---⌫-|-|----|----|
uilains sunte sbahi s	------|---|-⌫-----⌫|
couie ntl o rcenspa ier	-----⌫-|-⌫-⌫|---|--⌫--|
quiuerreit uile inse smaier	--|------|----⌫--|-⌫-----|
etpuis d eiuentles p orprest ures	-|---|-⌫-----|--|-⌫-------⌫---|
do nciltienent lesgra nzclostures	--⌫-|-|------|--|---⌫-|--------|
se le uileinzz	-|-|-----|-|
sen cham pa	--|----⌫||
que ilgaagné	--|-|------|
degrantpiece a	-|----|----||
l eporramie	-⌫|----|--|
ilnelepuetfer en enose	-|-|-|---|---⌫|-⌫||--|
deuantce qu	-----|-|-|
ilaitassis rente	-|--|----|----|
auseigno re t q uille	-|------⌫|-⌫|-⌫|-|-|
quelenapele po rpresture	--|--|----|--⌫--------|
i m etrapie rre enclosture	|-⌫---|---⌫--|-|-------|
nen i fera	-|||---|
terre questchamp artiere	----|-|--|-----⌫------|
uneautre choseu osueild ierre	--|----|----|-⌫-|---|-⌫----|
quil ne puetpasuendre satier re	-|-|-|---|--|-----|-|----⌫-|
queleseignor neitl e	--|-|------||--|-⌫|
trez iesme	----⌫----|
quer ne st pas dreiz quil	---||-⌫-|--|----|-|-|
aitlediziesme	--|-|-------|
silasa terre loingdesei	|-||-|----|----|-|--|
a torneedemal agrei	-⌫-----|-|--|----|
quilbaita gaagn er ie	-|-|---||-----⌫--⌫-|
pa rdedehorslas ei gnorie	--⌫|-|-----|-|-⌫--⌫-----|
l enen l ieue laseque mout e	-⌫-|-|-⌫---|-|----|----⌫|
ic este rentenest	--⌫---|----||--|
p a rtoute	-⌫-⌫|----|
lenenl ieuemouteetca mp ar t	--|-|-⌫---|----|-|--⌫--⌫--⌫|
et l a diesme estdelaut r e	-|-⌫|-----|--|-||---⌫-⌫|
etlautre g arbeesta u sec or	-||----|-⌫---|--|-⌫|---⌫-|
poii demoredellab o r	--||-----|--|---⌫-⌫|
quantil a l aferme paee	----|-||-⌫|----|---|
moutsest b ienla	---||--|-⌫--|-|
terreaquitee	----|------|
lautref romen t	|----|-⌫-----⌫|
achat eet l	-----⌫|-||
autre uen t	----|---⌫|
senepuent paieraui or	-|-|----|----|-|-⌫-|
enla merci su ntlo r seignor	-|-|----|--⌫-|--⌫|------|
apresild eiu entla	----|-|-⌫---⌫--|-|
quanti l arontlaterre aree	----|-⌫|----|-|----|---|
querreuontle ble	-----|---|-|--|
auguernier	-|-------|
se merledeiue ntet	--⌫--|-|-----⌫-|-|
chescununacreensa parti e	------|-|---|-|-|-----⌫|
a pre s ce n sideiuentloublie	-⌫---⌫|--⌫|-|------||-----|
alasaintandreu baconnel	|-|----|-----|-------|
treissem ai nes de uant noel	----|---⌫--⌫--|--⌫---|---|
porcefuoblieapelee	--|-|-|----|-----|
cefuporlachambrepriuee	-|-|--|-|------|-----|
a noeldeiu entlesgelines	|---|----⌫--|--|------|
re ndentbonesetfines	--⌫----|----|-|----|
lepreuost enpren drales gages	-|------|-|----⌫--|--|----|
ap res ildei uentles bresage s	--⌫--|-|---⌫---|--|-------⌫|
chescundoit dorge yysest iers	------|---||---|-|----⌫---|
etde fromentdoityyqua rt ier s	-|-|------|---|-|---⌫--⌫---⌫|
alezs ile s fetespaier	---|-⌫|--⌫|----|----|
biensedeiuent	---|-|------|
m e s aquitier	-⌫-⌫|-------|
pre nezlorcheuaus	---⌫--|--|------|
prenezet ua cheset ue aus	-----|-|--⌫---|-|--⌫--|
p renez gagespa rlesostes	-⌫----|----|--⌫|--|----|
etsi menamenez	-|-||-|-----|
nelessiez mie	-|------|--|
porlordons	--|--|---|
quer tropsont	---|---|---|
lesui leins felons	--|--⌫----|-----|
biemme contarogiera de	---|-|----|-----|-⌫-|
que honte aituileineschapé	--|----|--|-----|-------|
seuila i n	-|----⌫-⌫|
sa fillemarie	-|----|----|
pardedehorslaseign orie	--|-|-----|-|-----⌫---|
l eseignorenalec ulage	-⌫|------|-||-|-⌫----|
y ysol sen	-⌫|---⌫|-|
adelm ari age	|--|-⌫---⌫--|
yy sols ena re isonpor quei	-|---|-||--⌫---|--|---|
si reiel uos	--⌫-|-||--|
iadi saui ntque leuilein	----⌫|---⌫-|--|-|-----|
ball outsa fillep ar	----⌫--|-|----|-⌫-|
etlaliuroutasonseignor	-|-|------||--|------|
ianefustdesigrant ualor	-|-|---|-|-|----|----|
afai reidoncsa u olonte	|---⌫-|----|-|-⌫-----|
anceis qu illi	------⌫-|-|-|
eustel doné	---|-|----|
rentechatelouherit age	----|-----|-|-----⌫--|
po rconsentirle	--⌫|--------|-|
apresuientla	----|----|-|
pasqueflor ie	-----|----⌫-|
festequedexaes t ablie	----|--|--||--⌫-⌫----|
que ild oiuentlesmo tonage s	--|-|-⌫-----|--|--⌫------⌫|
ilentienent les	-|-|------|--|
silnepo entpaierauior	|-|-|--⌫--|----|-|--|
enlam erci sontausei gnor	-|-|-⌫---|---|-|---⌫---|
a pasques deiuentla	|------|------|-|
quantilaront l aterrearee	----|-|----|-⌫|----|---|
qu erreuontleble au guernier	--⌫---|---|-|--|-|-------|
semerledeiuen tetherc ier	----|-|------⌫|-|----⌫--|
chescunsi fe t u n acred orge	------|-|--⌫|-⌫|---||---|
etpue ntaleralaforge	-|---⌫-|---||-|----|
etfe re lor c heuaus fe rrer	-|--⌫-|--|-⌫-----|--⌫---|
qu erelboisles couient a le r	--⌫-|-|---|--|------|-⌫--⌫|
enmontpinchon o uen aunei	-|----------|-⌫|-|----|
encinguelei sou enuern ei	-|---------⌫|-|-|----⌫-|
ilenont mo ut ric hes oudee	-|-|--|--⌫-|---⌫-|-⌫----|
yy deniers	-|------|
ontpo rla iornee	--|--⌫|-|-----|
etpuisdoiuentlechariage	-|---|------|-|-------|
quelenapeleles ommage	--|--|----|-|-⌫-----|
del blepor terada nieh an	--|--|---⌫--||--⌫|---⌫-|
fesoientchescunan	-------|------|-|
donc ilestoientmalmenez	---|-|-------|--|----|
lesuileins sisontace nsez	--|------|-|---|---⌫---|
chescunz z quar tier defroment	------|-⌫|----⌫---|-|------|
ita ntau uilenage	---⌫-|-|-------|
etpuissunten bandemolin	-|---|---|-|--|-|----|
s eleu ilain na faitsafin	-⌫|-|-⌫----|||---|-|--|
uers le monnierainzqu iliaut	---|-|------|-----|-||--|
d elbleprendratantb a s ethaut	-⌫-|--|------|---|-⌫-⌫|-|---|
o le boissel don clenmesure	|-|------|---⌫|--|-----|
queil ar abiensam o uture	--|-|--⌫|---|-|-⌫-⌫----|
etd elaferin epre ndra	-|-⌫|-|-----⌫|---⌫---|
o l a paletequ e ila	|-⌫|-----|--⌫|-||
combleneserapasd emie	-----|-|---|--|-⌫---|
etpuis sipren drasapo i gnie	-|---|-|----⌫--|-|--⌫-⌫---|
etp u isprendrale uasletage	-|-⌫-⌫-|------|-|--------|
ser uise d el p ortage	---⌫---|-⌫-|-⌫-----|
orlie le uilaine na sa	-|-||-|-----|-⌫||-|
ensamaiso n	-|-|-----⌫|
quil n ia itno ise	-|-|||-⌫-|--⌫--|
apres si sont en ban de for	----|-|---|-|--|-|--|
encorestcest b anl epeor	----|--|---|-⌫-|-⌫|---|
qu ant lafam e au uileini ua	--⌫--|-|---⌫|-|-----||-|
fu mespiecha	-|--|-----|
etpaiemoutbien son	-|---|---|---|--|
et sonaiage	-|--|----|
enquoruagroc ha ntlaf orniere	-----|-|----⌫--⌫-|-|-⌫------|
mouorgellose	--|--------|
et le forni e rrequineetiure	-|-|-----⌫-⌫|------|-|---|
etdit quiln apassa dre iture	-|--|-|-|||--|-|---⌫----|
requign eetiure	-------⌫|-|---|
q uele fors era ma lchau fé	-⌫-|-|--|-⌫--|--⌫|----⌫--|
i a deboenpai n	-⌫|-|---|---⌫|
ne nmeng era	|-⌫|----⌫--|
totcrumal atorne ́ sera	--|--|--|------⌫|---|
sire sachezque l firmament	---|-----|-|-⌫|--------|
pluscuuertegen t	---|------|---⌫|
que suntle suileinsdeuerso n	--|---|--⌫|------|-|-----⌫|
q uer ceteinementlesauon	-⌫--|----------|-|----|
c estconte fi st	-⌫--|----|--⌫-|
estoutde goz	-----|-|--|
et sidist uoir	-|-|---|---|
d eplusors moz	-⌫|------|--|
