cefuapasque slafeste	-|-||------⌫|-|----|
erreren u u eiltotauostre	----|-|-⌫-⌫--|--||-----|
si refetele guibelins	--⌫-|--|--|--------|
ladoi tau oir parfoil euos pleuis	-|---⌫|--⌫--|--|--|-⌫|--|-----|
cest li p lusiones	|--|-|-⌫--|----|
plus petiz	---|----|
po r c equencroizfu	--⌫|-⌫|-|-|----|-|
traueill iezetmis	--------⌫--|-|--|
el de spitd eulo roideparadis	-|--⌫---|-⌫-|-|--|-|------|
n epl acedeu cerespontaymeris	-⌫|--⌫--|--|-|------|------|
qu eia mescorsaitn e	--⌫|-|--|---|--|-⌫|
f illene fuiz	-⌫---|-|---|
acuiiedoigne neterrenepa is	|--|-|-----|-|----|-|--⌫-|
aillent co nquerreausi com iefis	------|--⌫------|---|--|-|--|
quil au ra donc ditla dameau cler	--||--⌫-|---|--|-|---|-|---|
ennondeu dame zz damoiseld e	-|--|--|---|-|-------|-⌫|
defran cefuses peresotnonterris	-|----⌫-|-|--|----|-|--|-----|
mol tfufransho m etquenspoes teis	---⌫|-|----|--⌫|-|----|----⌫---|
en ceste te rre fua portez	-|----|--⌫--|-|-⌫-----|
s ilaporte ren t y yconte et yy	-⌫||------⌫---⌫|-⌫|----|-|-|
simeprierent ento rmoifus tnorriz	-|-|-------|----⌫|--|---⌫|-----|
geleretieguolentie rs	-|-|-----|--------⌫-|
bautiziez fu aumost iersaintfelis	--------|-|-|----⌫--|----|----|
poram or deumon non	--|--⌫-|--|--|--|
alenfantmis	||-----|--|
enbautestir eo t a non ayme ris	-|---------⌫|-⌫||--|----⌫--|
d e filola ge noient nelip ro mis	-⌫|------⌫-|-----|-|-|-⌫--⌫--|
aluiotroinerbone etlo pais	|--|----|------|-|-|---|
iusq uabordia xetiusqa	----⌫||------⌫|-|---||
yycitezet chasti ax yy	-|----|-|------⌫-|-|
p oramordeu quip ardon fistlo	-⌫-|---|--|--|-⌫----|---|-|
roi de paradis	--|-|------|
dexaideditladame ientils	--|---|--|-|---|------|
conrichefillolaie	--|----|--------|
ditlacontesseaym eriric h e	--|-|-------|---⌫--|---⌫-⌫|
onquesmesh on nosat eldondoner	-----|--|-⌫-||--|-⌫-|--|----|
con uosuole z uostre fillueldoner	--|--|----⌫|-----|------|----|
qantguibelins l orradire	---|--------||---|---|
tr es tot lor	--⌫--⌫--|--|
d eu nel opor roittenser	-⌫-|-|-⌫|---⌫---|-----|
quenelfeistocirr eet	--|-||----|-----⌫|-|
desmenbrer	---------|
no f er adam edit aymeris	||-⌫--⌫|---⌫|--|------|
iasormonpois nelo ser a penser	-|--|--|---|-||-⌫---⌫|-----|
bien life rai otroier et graer	---|-|--⌫--|------|-|----|
cequeuodr ai	-|--|----⌫-|
amonfillueldoner	|--|------|----|
nie rtsihar dizqueliost	|--⌫-|-|---⌫--|--|-|--|
que par celdeuquito taasauuer	--|--|--|--|--|--⌫|||-----|
ianaurai oirc esachiezsan zdo ter	-||----|--|-⌫|------|---⌫|--⌫--|
quienmaterrepoi sse ia eriter	--|-|-|----|---⌫--|-|-----|
ainzlaler aimonfilluelagarder	---|-|---⌫-|--|------||-----|
mesg uibelinni u ueil	--|-⌫------|||-⌫---|
paso ublier	--|-⌫-----|
ainzliuod raizz ric heter redoner	---|-|---⌫--|-|---⌫-|---⌫-|----|
an dernasiane lo quier celer	--⌫-----|-|-|-|----|----|
unecite q ui moltfetaloer	--|---|-⌫-|---|--||---|
yy tor s i a	-|---⌫|||
qui sontd em arbrecl er	--|---|-⌫|-⌫----|--⌫-|
et yypal aisqu	-|-|---⌫--|-|
eniafait fonder	-|||---|-----|
enchascun aoupaien ouescler	-|------||-|----|-|-----|
princepoissantporla citeg a rder	-----|-------|--|-|---|-⌫-⌫---|
liroisiu das lorafet co mander	-|---|--⌫--|--||--|--⌫-----|
qu ilopai satotagouerner	--⌫|-|---⌫||--||-------|
on ques ne u oltd euloe rne	--⌫---|-|-⌫--|-⌫-|---⌫|-|
se ssainzprierneaorer	--⌫|----|----|-|----|
en la citeq ue uo sm oe z nomer	-|-|---|-⌫-|--⌫||--⌫|----|
sont tuit paie n q u e dexpois tcrauenter	---|---|----⌫|-⌫-⌫|--|----⌫|--------|
dedeune quierentia ioroi r	-|--|-|-------|-|--|--⌫|
nest sihar dizqui en ost	|--|-|---⌫--|--|-|--|
quen nelfeist	-|-|-||----|
a rdoir outrai ner	-⌫----|-|----⌫--|
celeciteuueilieguibert	---|---|----|-|------|
etauga ietela	-|----⌫---|-|
beleauuiscler	---|-|--|---|
u nepucelequi moltfait a loer	-⌫-|-----|--|---|---||---|
bel eiusqala rogemer	---⌫|---||-|---|--|
dexditladame	--|--|-|---|
mer uei lle s oiconter	---⌫---⌫---⌫|-|-----|
aym erissirecoment	---⌫---|---|-----|
uole ze rrer	----⌫|-⌫---|
am onchierfiluolezlamortd oner	|-⌫-|----|--|----|-|---|-⌫---|
seleueusfereen ce lpaisentrer	-|-|---|---|-|--⌫|---|-----|
de mal e mort lecou endra	-|---⌫|---|-|---⌫----|
poram o rdeu teuueilmercic rier	--|--⌫-⌫|--|-|----|----|-⌫---|
pais n e faimon fil	---|-⌫|--|--|--|
e ntrelaients auaie	-⌫---|-|---|-⌫----|
dithermeniarz l adame seignori e	--|---------|-⌫|---|--------⌫|
amorsire por deulo	---|---|--|--|-|
fi l marie	--⌫|----|
g e nti lquenssire	-⌫-⌫---⌫|----|---|
quegu iberz	--|--⌫----|
au t en lat errehaie	--⌫|-|-|-⌫---|---|
aesci entlitoudriezlau ie	|----⌫--|-|-------|-|-⌫-|
et si mor roit entre ient	-|-|---⌫---|----|---|
nauroiem e sioieen	|-----|-⌫-⌫|---|-|
to t ema ui e	--⌫-⌫|-|--⌫|
a lapa role	|-|--⌫---|
queuos auezoi e	--|--|---|--⌫|
entraguiberzen	----|------|-|
lasaleuoutie	-|---|-----|
yy c heualiersotensaconp a ign ie	-|-⌫--------|-|-|-|----⌫-⌫---⌫-|
n euienent d e m ener dru erie	-⌫|------|-⌫|-⌫---|---⌫---|
nederiuierenedaut repraeri e	-|-|------|-||---⌫-|------⌫|
ainzachascuns lachar tainteet	---||-------|-|---|-----|-|
decheuau chiercontre la ien t haie	-|------⌫----|-----|-|---⌫|---|
maintegrantenuaie	-----|----|-----|
fraiteon ttu d elela fortc itegarnie	-----|--⌫|--⌫-⌫--|-|---|-⌫--|-----|
lespuis dedore tles	--|---|-|--|-⌫|--|
t otela proie orentpriseetsaisie	-⌫--|-|----|----|----|-|-----|
q ue buesqueuacheson ten lor conpa ignie	-⌫-|---|--|-----|--⌫|-|--|-----⌫----|
plusdeyymiledont l oz fu	---|-|-|---|---||-|-|
etsiamoinent de la	-|-|-------|-|-|
ientp aienie	---|-⌫-----|
dont chascun sbraitetcri e	---|-------⌫|----|-|---⌫|
uoitl aymerisa	---||------||
labarbeflo rie	-|----|---⌫--|
e ncon treuait de deu lo beneie	-⌫----⌫--|---|-|--|-|-----|
biaufizguibert de deu l ofilmarie	---|--|------|-|--|-⌫|--|----|
u osdoinst sante etforce etbone uie	-⌫-|-----|----|-|----|-|---|--|
uosdeuez bientenirgr ant	--|----|---|----|--⌫--|
sei gnori e	---⌫-----⌫|
etauoirterre set	-|----|-----⌫|-|
ma rchesenbaill ie	--⌫----|-|-----⌫-|
s iaurezuossede	-⌫|----|--|-|-|
chos e neleren euosd ie	----⌫|-|---|-⌫|--|-⌫-|
d emon paisdema	-⌫|--|---|-|-|
terre garnie	----|-----|
a u ostrelosuueilfere de partie	|-⌫----|--|----|---|--⌫-----|
dorrainelec e lezuosmie	-----|-|-|-⌫-⌫--|--|--|
et ditguib erzorea i meruei lleoie	-|--|----⌫--|--|-⌫|------⌫--|--|
quiuosplerap ar deulofil	--|--|----|-⌫-|--|-|--|
dit aymer is al abar be florie	--|-----⌫-||-⌫|---⌫-|-----|
gela do r raise dex me	-|-|--⌫-⌫--|-|--|-|
aymerietalach iere hardie	-------||-|--⌫---|-----|
lo mienfillue l qui la uraen	-|---|------⌫|--||-⌫--|-|
guiberz l ententtoz	------||-----|--|
lisans lifremie	-|---|-|-----|
si lirespontpar moltgran t felo nie	-|-|------|--|---|----⌫|----⌫--|
ferezperepa rdeu lo	----|---|--⌫|--|-|
des eriter me uolezp ar folie	---⌫-----|-|----|-⌫-|----|
s estrangeshona ma terre	|--------|--||-|----|
sire pe resedex me beneie	---|--⌫-|-|--|-|-----|
gecuitq au ezbeu	-|---||--⌫-|--|
del e ndormie	-||-⌫------|
s ongiéa ue zanuita presconp lie	-⌫-----|-⌫--⌫||---|-⌫---|----⌫--|
mes uostresonge s	--|-----|-----⌫|
esttornezaf o l ie	--|-----||-⌫-⌫-⌫-|
queces enb lemencon i e	--|-|-⌫---⌫-|------⌫-⌫|
biauf ilguibertdit aymerisliber	---|-⌫-|------|--|------|-|--|
aitdexquegrant	--|--|--|----|
to rt enauez	--⌫-|-|---|
qu iuostrep eresongeeur apelez	--⌫|-----|-⌫--|-------|-----|
ian eu errez	-|-⌫|-⌫----|
yyiorzpassez	-|---|-----|
queuosserez cor receus etirez	--|--|----|---⌫-----|-|---|
d edenznerbone atexyy pers	-⌫----|------||--|-|---|
quetozferaietpl eu ire t	--|--|----|-|--⌫--⌫-|-⌫|
que ianaurezyy pi edemer ite	--|-||----|-|--⌫|-||--⌫--|
adoncserezguib er tl achetiué	----|----|----⌫--⌫||--------|
etlidol enz etli	-|-|---⌫--|-|-|
maleur e z	------⌫-⌫|
puisquetespe resnet euod ra	------|--|--⌫--|-|-⌫|---⌫-|
d elmontserasethaizetblasmez	-⌫-|---|----|-|---|-|------|
otroiezlibiaufilz parchar ite	------|-|---|---|--|----⌫--|
par la f oique	--|-|-⌫-|--|
oe z baron	--⌫|----|
ced itgu iberzlib er	-|-⌫-|--⌫----|-|-⌫-|
con mespere sme ueltdeserite r	--|--|----⌫|-|---|--------⌫|
etaunestr angeueltmaterredone r	-||-|----⌫---|---|-|----|----⌫|
et sime done an d ernasdeso r	-|-|-|---|--⌫-⌫----|----⌫|
oucha rlem a igne sno sa onq uesaler	-|---⌫----⌫-⌫----⌫||-⌫-|---⌫--|---|
uelz estmesp eressi asontens	---|--|--|-⌫---|-||--|---|
mien escien tyyanz	---|------⌫|-|--|
deson pa l es	-|--|--⌫-⌫-|
nesepuet remuer	-|-|---|-----|
soryycoutes le couie nt repo ser	--|-|-----|-|-----⌫-|----⌫--|
et oreil liersd es oie etdecendez	-|-----⌫----|-⌫|-⌫--|-|-|-----|
de sozso nchiefcouient adespose r	--⌫--|--⌫|----|------|---|----⌫|
etcouertoir squis ontd egris forrez	-|---------⌫|--|-⌫--|-⌫|---|-----|
tantdecousin scou ie ntsozluidobler	---|-|------⌫|---⌫--⌫-|--|--|-----|
n esporroit en	|-|------|-|
pardeuantsoif etilmes se	--|-----|--|-⌫-|-|---⌫-|
se fetamangier aporter	-|--||------|------|
cinnesgruese t poonsenpe urez	-----|----|-⌫|----|----⌫---|
tante nmaniue	---|-⌫|-----|
les costez	--|-----|
tot porso nc uerqui estresuigorez	--|--|--⌫|-⌫--|--|--|---------|
peresguerreuoldramener	----|-----|-----|----|
pai en neporron tend urer	---⌫-|-|------⌫|---⌫---|
taisg lo zlec hierred itaymerisli ber	---|-⌫--⌫|---⌫-----|-⌫-|------|-|--|
fila p uta in garcon	--||-⌫---⌫-|-----|
coart prouez	----|-----|
de monseiorqueauez	-|--|----|--|---|
s ei emaaisee tfazmesriche tez	-⌫|-⌫||----|-⌫|--|--|-----⌫--|
ge loconquis	-|-|------|
deden z mon	-----⌫|--|
seuole z fereaus iselconque rez	-|----⌫|---|---⌫|-||------⌫--|
iced antg lot quedit auez	--|-⌫--|-⌫--|--|--|---|
m euerr e zuos sus demon	-⌫|----⌫-⌫|--|--|-|--|
ceindrelespee	------||----|
etl acer l eaumecler	-|-⌫---||----|---|
puismonterasorferrant p omelé	---|------|--|------|-⌫-----|
tostqueoisiaxenpenez	---|--|-----|------|
sime u erreztoz me syyfilz ma n der	-|-|-⌫----|--|--⌫|-|---|--⌫-⌫--|
porm esneueuzquituit sont bacheler	--|-⌫-|-----|--|---|---|-------|
yys ont qui m oltfonta	-|-⌫--|--|-⌫--|---||
comil saurontmo ncuer etmon	--|-|------|--⌫|---|-|--|
solqu iiaost a rres ter	--|--⌫|-|--|-⌫----⌫--|
ainzamerrontcequ ilporront mander	---|-------|-|-|-|------|-----|
y ymile as a rmesco n reez	-⌫|---|-|-⌫---|--⌫-⌫---|
amerrontciainz yy	-------|-|---|-|
moispass ez	---|----⌫-|
passeron t sutrelerideetbalaguez	--------⌫|----|-----|-|-------|
ta ntqueuerrontdand ernaslac ite	--⌫----|------||---⌫----|-|-⌫--|
de sozlau ile fere yy	--⌫--|-|-⌫--|---|-|
cors soner	---|----|
sique dirontsarrazinetescler	-|--|-----|-------|-|-----|
ay meri u ient porpaiensafol er	--⌫---|-⌫---|--|-----|----⌫-|
quideuantl uifet la te rrecrol ler	--|-----|-⌫-|--|-|--⌫--|----⌫--|
q a ntla ci teaurai fetdeliurer	-⌫-⌫-|-|--⌫-|----|--|-------|
de ss ar razinsquidexpuist	--⌫|-⌫--⌫-----|--|--|----|
la uos feresire filzcor oner	-|--|---|---|---|---⌫---|
etaugaietea mo i llieresposer	-|-------||--⌫-⌫----|------|
dex di tg ui berz pered e	--|--⌫|-⌫--⌫---|---|-⌫|
se iluos plest bienp orra	-|-|--|----|---|-⌫---|
a ym eriperefetesuos	-⌫--⌫--|---|----|--|
iamesparm oi nen s erezdest ornez	----|--|-⌫-||-|-⌫---|----⌫----|
ne u osos mescor rocierneirer	-|-⌫-|-|--|---⌫-----|-|---|
fetessireuostrefilluel man der	----|---|-----|------|---⌫--|
s aituostreterreto tequit e a	|--|-----|----|--⌫-|----⌫||
demoi aidierreporradexpenser	-|--|-----|------|--|-----|
uost re me rci	----⌫-|--⌫--|
dit ayme ri	--|----⌫-|
biau f il zguibertneuosconuientdoter	---|-⌫--⌫|------|-|--|-------|----|
c a raillors aurez	-⌫-⌫|------|----|
orotliper es l	-|-|-|---⌫-||
otro idesonenfant	----⌫|-|--|-----|
for mentenale c ue r	---⌫---|-||-|-⌫--⌫|
lieetioiant	--|-|-----|
yybaro nselieuent	-|----⌫|-|------|
qui li amoinent aymeriet deuant	--|-|-------|-------|-----|
uoitlaymerilieues oi aita nt	---||-----|----|-⌫-||---⌫-|
filluelditilu enez zzpoa uant	------|--|-|-⌫---|-|-|-⌫---|
tenez nerbonesire ceuez l o gant	----|------|-|--⌫----|-⌫|---|
dontmeseruentcheu a lier e ts eriant	---|-|------|----⌫-⌫---|-⌫|-⌫-----|
gelatedoig paritelconuenant	-|-|-|---|--|---|--------|
b au t etlieeti oiant	-⌫--⌫|-|--|-|-⌫----|
garde paiennetetrui ssent	----|----|-|-|----⌫----|
nee n uersels maténe recrean t	-|-⌫-⌫---|--|----|-|-------⌫|
nequilontfetay merilo	-|-|-|--|--|--⌫---|-|
acezparoles ena pelamo rant	|--|------|-|-⌫---|--⌫---|
totesm es ar m esaportez ci auan t	----|-⌫-|--⌫-⌫-|------|-|----⌫|
s adoberai mo n	|-------|--⌫|
f illuelait ant	-⌫-----||--⌫--|
mesu ne choselidiraienoiant	--|-⌫-|----|-|----|-|----|
neseiorra mie ci long uement	-|------|--|-|----⌫-----|
pordonoiemen t	--|---------⌫|
enesp aigne l ag rant	-|---⌫----|-⌫|-⌫---|
prendrelaterre	------|-|----|
guibel inmonenfant	------⌫-|--|-----|
nelifaud rai iaioren monuiuant	-|-|----⌫--|-|--|-|--|-----|
sire fetil tot a	---|--|-|--||
u ostrecomant	-⌫----|-----|
totes s es armesliaportent deuan t	----|-⌫-|----|-|-------|-----⌫|
el dosli uestent lohaub er c i azerant	-|--|-|------|-|----⌫--⌫|-⌫------|
elchieflilacent le ue rteaumeluisant	-|----|-|-----|-|--⌫-|----|------|
qu e ns a ymeris aupo il chanuferra nt	--⌫-⌫-|-⌫-----|-|--⌫-|----|-----⌫-|
licaintlespee	-|----||----|
a up ontreflanb ian t	-⌫|-⌫--|-------⌫---⌫|
escaufadin e qu i fuau uielso dant	----------⌫|--⌫|-|-|---|--⌫---|
haucelap aume aymerileuaillant	----|-|-⌫---|-----|-|-------|
filluelen don ezz	------|-|---⌫|-|
coppe sant	--|--⌫---|
tot le nbroncha sozlauberciazerant	--||-⌫-------|--||-----|-------|
fil lueldit ilmespee tecomant	---⌫---|--|-||----|-|-----|
tienparitelcon uenant	---|--|---|---⌫-----|
quedextedoinst proeceetha rdement	--|--|-|-----|-----|-|--⌫------|
semeud re nesamoisoies senb la nt	-|----⌫-||-||--|----|----⌫--⌫-|
ausihardietausi co nb atant	---|----|-|---|--⌫--⌫----|
etuersp aiensautres si conquerant	-|---|-⌫----|------⌫-|---------|
biau chierfil luel por uoir	---|----|---⌫---|--|---|
lete creant	-|-|-----|
qu ecoardi se	--⌫|------⌫-|
son uiuant	--|-----|
lisi re s denerbon e	-|--⌫--⌫|-|------⌫|
qant a ym eris	---|-⌫--⌫---|
aucoraiehardi	-|-----|----|
o tadobéso nfill uel aymeri	-⌫|-----|--⌫|----⌫--|-----|
etd e sap aume	-|-⌫|-|-⌫---|
si comilestdecel	-|--|-|--|-|--|
tens establi	---|------|
puis l i amoinentzzd es trier	---|-⌫|-------|-|-⌫--⌫----|
cert zzcheuaxonqu es meldre	|--|-|-----|----⌫-|-----|
zzdr omadaires lauoi tenienui	-|--⌫--------||----⌫|------|
onq ues monterdes us lui	---⌫--|-----|---⌫-|--|
ne uilainho menecoart ne failli	-|-----|--⌫-|-|----|-|-----|
molt to st	---|--⌫-|
imonte l ifillue saymeri	|----|-⌫|------⌫|-----|
aucol lipende ntz z	-|--|-|-----⌫-|-⌫|
fortes cuuoti	---|--⌫-|---|
espoinz l ib a illent zzroitespiefo rbi	-|----|-⌫|-⌫-⌫-----|-|---|----|--⌫--|
zzc onfanona	-|-⌫------||
yycl oxdorclofi	-|--⌫-||-|----|
puison tleueecil d amoiselhard i	---|--⌫|----|--|-⌫------|----⌫|
unequint aine en milopreflor i	--|-----⌫---|--⌫-|-|--|----⌫|
aymerieztotpremieriferi	-------|--|------||---|
zzmolt grantcopdeson espie	-|---|----|--|-|--|----|
fr oissel es tacheetle sescuz	--⌫----||--⌫----|-|--⌫|----|
tot en zzmont	--|-|-|---|
li uassaxabati	-|-----|----|
quensayme ri sq ui lopoilotflo ri	----|----⌫--⌫|-⌫-|-|---|-|---⌫-|
qant uitlo copformen tsenesi oi	---|--|-|--|------⌫||-|---⌫-|
ilenapelesesbaronsd entor	-|-|----|--|-----||----|
seignor fetilboncheualier aci	------|--|-|--|--------||-|
m esfilleu sestlonguement	-⌫-|------⌫|--|---------|
pare nzest charl es	----⌫-|--|-----⌫-|
ice sachiezdefi	--|------|-|-|
iltendrabienla terre	-|-----|---|-|----|
qantesgar dé orent a bohorder	---|-----⌫--|----||-------|
aymer ie tquitant fis tal oer	-----⌫--⌫|--|---|---⌫||-⌫--|
a lacit eprenentaretor ne r	|-|---⌫|------||-----⌫--⌫|
lic he ualierlide moineli per	-|-⌫--⌫-----|-|--⌫----|-|--|
degrezuontelp ales	-----|---|-|-⌫---|
biaufilzguibertditaymeris li ber	---|---|------|--|------|-|--|
or nauonsn osnechastelne cite	-||----|-⌫-|-|------|-|---|
d ete rre oup renonzzdisner	-⌫|--⌫--|-|-⌫----|-|-----|
sorpoions so l	|-|-----|--⌫|
itantconquester	----|---------|
ouiepe ussec eui elcors reposer	-|-|--⌫---|-⌫|--⌫-|---|------|
et hermeni artauuecmoiseiorner	-|-------⌫--|----|--|-------|
des o rporroie	--|-⌫|------|
bone uiem ener	---|--|-⌫---|
oretarie nt	-|-|----⌫-|
puisd espendreetdo ner	---|-⌫-------|-|--⌫--|
eta boissiaxpuis	-||-------|---|
bes anzmes urer	---⌫--|---⌫---|
biau filguibertne tedoiobl ier	---|--|------|-|-|--|---⌫--|
promistaiterrenusho nneuitpassa	-----||-|----|--|--⌫|-|--|--|-|
iane quier mes zzsol	-|-|----|--|-|--|
iorreposer	--|------|
tantqu auraslapro messe	-----|----|-|---⌫----|
biau filguibert	---|--|------|
net e uaesmaiant	-|-⌫|-|-------|
promi staiterre me rueillos ee tgrant	-----⌫||-|----|--⌫--------⌫|-⌫|----|
parcelapostre	--|--|------|
quequ i erent	--|--⌫-⌫----|
n au rai reposatrestotmonuiuant	|--⌫--|----||------|--|-----|
tan tqueaurascele	---⌫---|----|---|
ter r euaillan t	---⌫-⌫|-------⌫|
cestande rnasquet ie nent	|--|----⌫---|--|-⌫--⌫---|
l ipe rs ant	-⌫|--⌫--⌫--|
acez parolesgarde e l	|--|------|----|-⌫|
palesauan t	----|----⌫|
perro napele	-----⌫|----|
etlopreuelin ant	-|-|---|----⌫--|
sei g n eurfetil	---⌫-⌫-⌫--|--|-|
or o ez mon	-|-⌫-|--|
senb l ant	----⌫-⌫--|
uo sm enirezdroitementabruban t	--⌫||-|---|---------||------⌫|
monfilbernart	--|--|------|
ditesqueieli	----|--|-|-|
qu eil men uo itseshomesets a ient	--⌫|-||--⌫--⌫-|--|----|-|-⌫|---|
tantqu eil soientyy mi l ec onba tant	------⌫|-|-----|-|--⌫-⌫|-⌫----⌫---|
preignese s br i es siles enuoit	------|--⌫|--⌫-⌫-|-|--|-----|
aguielinetau contebert rant	|------|-|-|----|----⌫---|
gautierdeter mesetguichart	------|-|---⌫--|-|-------|
louailla nt	-|------⌫-|
a floiriuile	|---------|
monmi rant	-----⌫---|
aterasconegirbe rtle conbat ant	|--------|-----⌫-|-|------⌫--|
ditesbernartneli ce lezneant	----|------|-|-|--⌫--|----|
que sil neu elt ferece que	--||-|-|-⌫--|---|-|--|
aut se naillo rs etsi	--||-⌫|-----⌫-|-|-|
melestbrubant	-|---|------|
tellador raiparlomien esciant	--|-|---⌫--|--|-|---|------|
quim enferaseruise	--||-|---|------|
a ymerisgarde par	-⌫-----|----|--|
lopa les listé	-|--⌫--|-----|
guinantapeleetachart	------|----|-|-----|
seignorfaitil or oez monpense	------|---|-|-|--|--|----|
giro ndeenirez lacite	----⌫--|-|---|-|---|
ditesherna u t	----|-----⌫-⌫|
louassal a duré	-|-----|-⌫----|
au felonroxquitant	-|----|--|--|---|
ade fierte	|-|-----|
ettanztursaconfonduetmaté	-|---|---||-------|-|----|
que ilmamointniait	--|-||-----|||--|
plus d emoré	---|-⌫-----|
yyhomesqu isoien t adoubé	-|----|--⌫|-----⌫|------|
etdelorarmesga rniet	-|-|--|----|--⌫--|-|
etsi aport nelait paso ublié	-|-|----|-||--|--|-⌫-----|
la richeenseigne o lodragonfermé	-|----|-------||-|-----|-----|
queporterselt	--|-----|---|
estor ch anpel	----|--⌫----|
os tcharlonlofortro icoroné	--⌫|------|-|---|--⌫|------|
sirefontcil a uos treuolente	---|---|--||---⌫--|------|
congie dema nde nt	-----|----⌫---⌫-|
escheuaxso nt	-|-----|--⌫-|
ce iorme ismes se sont	-|--|--⌫----|-|---|
parlorio rnees on ttantfet	--|--|--⌫----|--⌫|---|--|
queagirondesontuenulacite	--||------|---|---|-|---|
le conte hernaut	-|----|------|
ont elpalestroué	--|-|----|-----|
l ormes saie lor ont dit	-⌫-|---⌫---|--|--|--|
sicon l orot aymericomand é	-|--|-⌫-|-|-----|------⌫-|
et qu ant hernauz alesm esescouté	-|--⌫--|------||--|-⌫-|-------|
iliuredeul oroi demaieste	-|---|--|-⌫|--|-|------|
tan tiferr ade s onb r ant	---⌫||----⌫|-|-⌫-|-⌫-⌫--|
que iu sq aspoinzsera	--|--⌫-|-|----|---|
ensanglenté	-----------|
sozand renaslami rable	--|---⌫----|-|--⌫----|
entrelaient auerse	----|-|---|-----|
quensaymerisne s	----|------|-||
asseuramie	------|--|
ilenapeleso nsenes chaleli e	-|-|----|--⌫|-----⌫---|---⌫|
etguinemantdefrance la garnie	-|--------|-|-----|-|-----|
di taymer isalabarbeflorie	--⌫|-----⌫-||-|----|-----|
baronmontezesmulezdesulie	----|-----|-|----|-|----|
uersans e unes oitlauoi eacue illie	---|---⌫-⌫--|-⌫--|-|---⌫|----⌫----|
ditesgar in alachierehardie	----|---⌫-||-|-----|-----|
q ueilmamointsa	-⌫-|-||-----|-|
grantcheua lerie	----|-----⌫----|
s ilesmer raiom o ienpaie nie	-⌫|--|---⌫--||-⌫-⌫|-|----⌫--|
aan drenas la fort	|--⌫-----|-|---|
citegarnie	---|-----|
contre laientq ueies us maleie	-----|-|---|-⌫-|---⌫-|-----|
t an t que par	-⌫--⌫-⌫--|--|
force l ai on spri se etsesie	----||--⌫--⌫|---⌫-|-|----|
gu ibert monfilladorronsen baill ie	--⌫----|--|--|-|------|-|-----⌫-|
etsili ditesnelic elez uos mie	-|-|-|----|-|-|-⌫---|--|--|
seilmef autdefere	-|-|-|-⌫--|-|---|
dire p ardieulo	---|-⌫-|---|-|
nest miedemaieste	|--|--|-|-|----|
limessag iernifontarre stoison	-|------⌫--|||---|----⌫------|
chascun smontaelmuleta rra gon	-------⌫|----|-|----|-⌫---⌫--|
