s e diexmait	-⌫|---||--|
con toitsi belsiadeli ur e	---⌫---|-|--|-||----⌫--⌫|
ille l eust enzz liure	-|-|-⌫---|-|-|----|
quantpar la del a s a intee	----|---⌫-|-|-⌫|-⌫-⌫----|
iosephquiertdegr an t ae	-----|--|--|-|--⌫--⌫|-|
quantensagardeeu tnos t r edame	----|-|-|----|--⌫|---⌫-⌫-⌫|---|
commesespouse comsafame	----||------|--|-|---|
moutgran tloenge deluif ist	---|----⌫|-----|-|--|-⌫--|
auuecp lusors ch ose sendist	----|-⌫-----|--⌫---⌫|-|---|
sigr antc lartela ssusamo nt	-|--⌫--|-⌫----|--⌫---|---⌫-|
ueueauoit qu edecest	---|----|--⌫|-|---|
l a gran tcl arteetla lumiere	-⌫|----⌫|--⌫---|-|-|------|
a usihaoi tcommefum iere	-⌫--|----⌫|----|---⌫---|
nes reg arder	--|---⌫----|
ne la pooit	-|-|----|
mais tou tade s lesiexcloo it	---|---⌫|---⌫|--|--|----⌫-|
sainsesperit es ses grans	----|-------⌫-|--|----|
re nouuelaet fist ad ons	--⌫------|-|---|--⌫--|
cem iracletieigamout	-|-⌫-----|----||---|
cilquidauilepastorel	--|--|---|-|-------|
le ha rpeeur le citarist e	-|--⌫-----|-|--------⌫|
prophete etson psalmiste	-------|-|--|--------|
decestui pastorel re fist	-|-----|-------|--⌫---|
sonprophe te que	--|------⌫-|--|
quan qui ldist	----⌫-|-⌫|---|
a uintapresi snele ment	-⌫---|----|-⌫-----⌫---|
e tsach iezbi encertainement	-⌫|----⌫--|--⌫-|-----------|
qu es clairieru o ut li tresdox	-|--⌫-------|-⌫-⌫-|-|---|--|
quenhone rastsadou cemere	-|-|----⌫---|-|---⌫-|---|
sor t oteschose sd ouce me nt	--|-⌫---|-----⌫|-⌫----⌫--⌫-|
qu ant uinta sondefinem e nt	--⌫--|---||--|-------⌫-⌫-|
etdep ar tirlameencouuint	-|---⌫--⌫--||--|-|------|
s ib i axsi bla ns sicl ersdeuint	-⌫|-⌫-⌫-|-|---⌫-|-|--⌫--|-----|
quil resemblazzangelot	-|-|-------|-|------|
tr estoutain sicomme	--⌫-----|---⌫-|----|
li feu s denferpar toutsespris t	-|---⌫||----|---⌫---||------⌫|
etdunsetdau tres tan t esprist	-||--|-||--⌫---|---⌫|------|
nonasoissonstant seulement	--||-------|---|--------|
maisl oinsetpres communement	---|-⌫---|-|---|----------|
qua grans torbesc rian tuenoient	-||----|-----|-⌫----⌫|-------|
a soissonsoutuitgaris soient	|-------|-|---|-----⌫-----|
aus aintsollerlab eledame	-|-⌫---|-----|-|-⌫--|---|
fix lapoure fame	--|-|----|---|
d irelotoiura iement	-⌫--||-|-|---⌫-----|
l i uraisdesuraisq uipas nement	-⌫|----|--|----|-⌫-|--|-|---|
doutre lerin et delempire	|----|-|--|-|-||-----|
ainsicomditleu t nostresi re	----|--|--||--⌫|-----|--⌫-|
grantetpetitiaco uroie nt	----|-|----||---⌫-----⌫-|
dougran tapo rtquil aportoient	--|----⌫|---⌫-|-|-|---------|
edef ieeful e gl ise	----⌫--|-||-⌫--⌫--|
quibelee t genteestadeuise	--|---|-⌫|----|--||-----|
or mou tbiaucouue nt	-|---⌫|---|-----⌫-|
d esbeles dames quisou uent	-⌫-|----|----|--|---⌫---|
non passo u uentmais sanzseior	--|--|--⌫-⌫---|---|---|----|
seruentetloent nuitetior	------|-|----|---|-|--|
lado u ce mere	-|--⌫-⌫-|---|
a u roice l estre	-⌫|--|--⌫-⌫----|
auecelesuuei ll eetdai nstestre	---|---|----⌫--⌫|-|---⌫--|----|
la doucemereaucreator	-|----|---|-|------|
sont sagesquantl a tor	---|----|----||-⌫--|
e t le beubandoumont guerpissent	-⌫|-|-----|--|---|----------|
etlesioies qui	-|--|----|--|
tostfe nissent	---|--⌫------|
po urlesioie squi naront	--⌫-|--|----⌫|--||----|
bien s eruent decuerfin	---|-⌫-----|-|---|--|
ce luiquiespureetafine	--⌫--|--|-----|-|----|
toxciax quil aime ntd	--|---|--||----⌫-||
chascune si	-------|-|
silorde pri moutfinemen t	-|--|--⌫--|---|-------⌫|
quant sarontm ond efinement	----|-----|-⌫-|-⌫--------|
finementprientlafi n ee	-------|-----||---⌫-⌫-|
ioiemedoinst	---|-|-----|
die xq ui sortoz	---⌫|-⌫-|--|--|
est purs et fi ns	--|---|-|--⌫-|
si finem entafaitlorfins	-|-----⌫--|----|--|---|
que quant u enraaud efiner	--|----|-⌫---|-|-⌫-----|
definef inp uissentfiner	-|---|-⌫-|-⌫------|----|
ici apres uueilrem ouller	--|----|----|---⌫-----|
un miracl edou saintsoller	-|------⌫|--|----|-----|
qui ass ezestet biax	--|---⌫-|--|-|---|
ceme ra conte	-|-|--⌫----|
etdistmes briez	-|---|--|----|
q u au tans qu auoi tsi	-⌫|-|---|-|----⌫|-|
ri che alee	--⌫--|---|
a soissons	|-------|
zz cheual ier auoi tipres	-|------⌫--|----⌫||---|
q uiun bouuiergroset	-⌫-|-|------|---|-|
auoitqui auo itnomb uesars	----|--|---⌫-|--|-⌫-----|
e stalufrez i erte t	-⌫--------|-⌫--|-⌫|
lifoxuilainsdefolafa ire	-|--|------|-|--|---⌫--|
lesf est esquant	--|-⌫---⌫-|----|
nauoit q ue fai re	|----|-⌫-|---⌫-|
aueccompaign ons qu	---|--------⌫--|-|
ausaintsol lers ouuent	-|----|---⌫--|-⌫-----|
ausaintso llera desoffro ient	-|----|--⌫---|-⌫--|-----⌫---|
si com pai gnon quant lebaiso ien t	-|---⌫---⌫---|----|-|-----⌫---⌫|
offristiatanti uenis t	------|-|---||-----⌫|
pornulerienquiauenist	--|---|---|--|------|
auintquantrepa iroient	----|----|----⌫------|
quedesmir a cles mou t	--|--|---⌫-⌫---|---⌫|
parlo ient	-----⌫---|
qu ed iexfaisoit a	--⌫|-⌫--|------||
nos tredame	---⌫--|---|
cedistliun sfoiquedoi mame	-|---|-|--⌫|--|--|--||--|
asoiss ons e mpel erinage	|-----⌫--|-⌫|---⌫------|
fait boenalerparboencorage	---|---|---|--|---|-----|
ausaints ollermee smement	-|----|-⌫----|---⌫------|
ouliardantcom munement	-|-|-----|---⌫-------|
rest aignent tu itetior	----⌫------|--⌫-|-|--|
liunsrespontsi com	-|--|------|-|--|
q ui pa rboencuer aumain	-⌫-|--⌫|---|---|-|---|
toute ior enes tplu s a	----|--|-|--⌫|---⌫||
etplus hai tie zet plusseurs	-|---|---⌫---⌫|-|---|----|
enuientplustosteurs	-|----|---|---|---|
bieu cedistbuesa r s	---|-|---|-----⌫-⌫|
trestozlisiecles	------|-|------|
est musars	--|-----|
parlescoste spar	--|--|-----⌫|--|
lesmameles	--|------|
p ar lepo mon	-⌫-|-|--⌫--|
p arles b oeles	-⌫-|--|-⌫----|
les den s sainte	--|---⌫|-----|
ie nepris un oefd eb larie	-|-|---|-|--|-⌫|-⌫----|
cesoll er dont alezrotant	-|----⌫-|---|---|-----|
cesnona i ns	--|----⌫-⌫-|
noz uontasotant	--|---|------|
soll erf ontsa intua i re	----⌫-|-⌫--|--⌫-----⌫-⌫-|
pornostr e	--|-----⌫|
argent s achierettraire	-----|-⌫-----|-|-----|
pourla gue ule	---|-|---⌫--|
pour lagargat e	---|-|------⌫|
dun uiez soller	|-|---|-----|
dun ecauate	|--⌫|-----|
sifaites ore	-|-----|--|
sigrant f est e	-|----|-⌫---⌫|
parlagorg enepar la	--|-|----⌫|-|--|-|
neparle c uersaintewarie	-|--|-|-⌫--|-----|----|
li maufe z nozia charie	-|-----⌫|--||-⌫-----|
onquesniui eigquil n	-----|||--⌫--|-|-||
i ait presse	|--|-----|
celeuieillec ele abees se	---|------|-⌫--|-----⌫-|
totl au oir	--||--⌫--|
dieu metensaborse	---|--|-|-|----|
e tioretnuit	-⌫|--|-|---|
adese mbor se	---|-⌫----⌫-|
mais quequefacent	---|--|--|-----|
i ar ademonargent	|--⌫|-|--|-----|
un emaai lletoute	--⌫|----⌫--|----|
maborse ti engsipar	-|----|--⌫--|-|--|
lagueu l e	-|----⌫-⌫|
queia deniersfors nensaur ra	--|-|------|---||-|----⌫-|
mo r e qui	--⌫-⌫|--|
mie x uaura	---⌫|----|
ouauboenuin	-|-|---|--|
l e nuoierai	|-⌫-------|
laas sez miexl	-|--⌫--|---||
emploi erai	------⌫---|
s ecefust s ollersnos tredame	-⌫|-|---|-⌫-----|---⌫--|---|
diex nedeables hom ne fame	---|-|------|--|-|---|
gardastenfer	------|-|--|
aporrisne fust	|-----|-|---|
parle foiesaintewarie	--|-|---|-----|----|
lide ab lesbiennoztarie	-|--⌫--⌫--|---|--|----|
et biennoz dec oitet	-|---|--|---⌫--|-|
quantnousbaiso ns cele cauate	----|---|-----⌫-|---|-----|
bouuier s lifoxb oubers	-------⌫|-|--|-⌫-----|
li foxuilai ns licoquebers	-|--|-----⌫-|-|--------|
ains qu aitparditelameru eil le	----⌫-|--|------|-|----⌫---⌫-|
li tuertla bouchesor	-|----|-|-----|--|
l or eille	|--⌫----|
etlal angueli sailli fors	-|-|-⌫----|-|-----|---|
sitorm entezfuluessescors	-|----⌫----|-|---|--|---|
et li mau fez q ui mal	-|-|---⌫--|-⌫-|--|
simalementluesl e souffla	-|-------|---|-⌫|------|
f ugroscome	-⌫|---|---|
une couche	--|-----|
i paru tiex nez	|----⌫|--|--|
neb ou che	-|-⌫--⌫--|
li deab lessilenuai	-|----⌫--|-||----|
gueulebaee lu es chai	-----|---|--⌫-|---|
commeesragiezsedeietoit	----|-------|-|-------|
e t d esabouche forsgetoit	-⌫|-⌫|-|-----|---|-----|
tant d euenimet ta nt descume	---|-⌫|----|-|--⌫-||-----|
quilresembloitpotqui escume	-|-|---------|--|--|-----|
q uantlongem en to ut escumé	-⌫---|------⌫--⌫|-⌫-|------|
etlideablesl ottumé	-|-|------||-|----|
suse tiusparcietparla	--|-⌫|--|--|-|-|--|-|
amo ut g rant painezzpeu	|--⌫-|-⌫---|----|-|--|
peutpa rl er	---|--⌫--⌫-|
da m e aus aint soller	--⌫-⌫|-|-⌫---|-----|
le portas ton isneleme nt	-|------⌫|-|--------⌫-|
sicompaignonmout beleme nt	-|---------|---|------⌫-|
lues l ont saisi	---||--|----|
et encharchié	-|----------|
porté lenont	-----||-|--|
etdes charchié	-|---⌫--------|
deuantl autela	-----||----||
nost re dame	----⌫-|---|
mainthommeia etmai nt efame	----|----|||-|---⌫--⌫|---|
quile regardenta merueille	--|-|--------||--------|
chas cunssesaigneetes m erueille	----⌫---|-|-----|-|--⌫-⌫-------|
p orce quainsili anemis	-⌫-|-|-|----|-|-----|
dedens luis e stmucieze t	-----|--||-⌫-|-----|-⌫|
lianemis si ledemaine	-|-----|-|-|------|
quesitresfortsoufle etalaine	--|-|---|---|-----|-|-----|
g r ant h i sdees tdo uueoi r	-⌫-⌫--|-⌫-⌫--|--⌫|--⌫|----⌫|
etsu e desigrant	-|--⌫|-|-|----|
du nesueursitrespullente	|-⌫-|----|-|---|-------|
toutlemo ustier enempullente	---|-|--⌫-----|-|---------|
comme zztorscriemuit etbrait	----|-|---|---|---|-|----|
si son thisde use tgrantsibrait	-|---⌫|-----⌫-|-⌫|----|-|----|
plusorsen onts igrant f reeur	------|-|--|-⌫|----|-⌫----|
le moustie ruuidentde peeu r	-|-------⌫|------|-|----⌫|
nepue tse oir nep uetester	-|---⌫|--⌫--|-|-⌫--|----|
ne puetennulli eu	-|---|-|--|--⌫-|
mais ca etlaseuatumant	---|-|-|-|-|-|-----|
la boucheausil iua	-|-----|---|-⌫|-|
com se ce stoitune	--|-||-⌫----|--|
f o rnaise	-⌫-⌫-----|
c esta b oen	|--||-⌫--|
quantil chifla dousaintsoller	----|-|-----|--|----|-----|
sonhaubercbi enli fistrol ler	--|------|--⌫-|-|---|---⌫--|
d ieu ac elefois	-⌫--||-⌫--|---|
que quilestoitsi	--|-|-|-----|-|
tresdestrois	---|-------|
etietoitb ra is etcris si h ax	-|-----|-⌫--⌫-|-|---|-|-⌫-|
lasoruintl a	-|------|-⌫|
bonem ehax	---|-⌫---|
q uea ce iorertab eesse	-⌫-||-|--|--|--⌫----|
entorl ifait rompre	----|-⌫|---|-----|
quimoutestoit espes se e tgrans	--|---|-----|-----⌫-|-⌫|----|
come cele q ui	---|---|-⌫-|
mouteste n grans	---|--|-⌫-⌫----|
delasanteacemalade	-|-|----||-|-----|
dousaint sollerdoudox	--|----|-----|--|--|
pourcu idiex fait	---|--⌫|---|---|
tan tesmeru e ille s	---⌫--|----⌫-⌫----⌫|
lesiexlabouche lesoreill es	--|--|-|-----|--|------⌫-|
ettoutleco rse nt ierement	-|---|-|--⌫-|-⌫--⌫-------|
seignierli faitmoutdoucement	-------|-|---|---|--------|
d ousain t	-⌫-|----⌫|
s olle retdesre liques	-⌫----⌫|-|--|--⌫-----|
quantseig niezfu	----|----⌫---|-|
li frenetiq ues	-|--------⌫--|
d ou sens lienragiez	-⌫-|---|-|-------|
mainte n a nt estasoagiez	------⌫-⌫-⌫-|--|-------|
et luessenfu itli anemiz	-|---||-|--⌫-|-|-----|
deuantlau tele n croi ss estmi s	-----||--⌫--|-⌫|----⌫||--|--⌫|
asse zgemisteta ss ez	----⌫|-----|-|-⌫--⌫-|
et nostre dame m outaeure	-|-----|---|-⌫--|----|
de cequ ainsi la uisité	-|-|-|----|||------|
grant io ieiotp aru erite	----|--⌫-||-|-⌫-|-⌫----|
lameredieu gloirefierent	-|---|---|------------|
etc iletc eles qu ilaeren t	-|-⌫-|-|-⌫---|--⌫|-|----⌫|
onquespuisliuilainsbuesars	-----|---|-|------|------|
sisoz nefu	-|--|-|-|
nesi musars	-|-|-----|
dou sai nts olle r	--|---⌫-|-⌫----⌫|
quil mesd esist	-|-|----⌫----|
p uis nef ui o rsb ien	-⌫--|-|-⌫|-⌫-⌫-|-⌫--|
quedousaintso l lernost redame	--|--|----|--⌫-⌫--|----⌫-|---|
nedeuoitmaisdouternuleame	-|-----|---|-----|---|--|
aucheualiermercicria	-|--------|----|---|
tant le seruitant lep ria	---|-|----|---|-|-⌫--|
qu il lecuitaetfu deliures	-|-|-|----|-|-|-------|
t antco m ue schice dit	-⌫--|--⌫|--⌫---|-|--|
anostre dam e	|-----|---⌫|
a in cpuisaillors n esel oua	-⌫--⌫|---|------|-⌫|-|-⌫--|
maisaulabeurde l ab eie	---|-|-----|-||--⌫--|
laboura tantcom fuenuie	------|---|--|-|-|--|
ettra ue il laliboen s	-|---⌫--⌫--⌫-|-|----⌫|
bi e nseconr oie deplou uiers	--⌫-⌫|-|----⌫--|-|----⌫----|
et bi ensaouleet	-|--⌫-|-----|-|
refaitsame	-----||--|
quiaim eet sertbien nos tr e	--|---⌫|-|---|---|---⌫--⌫|
etqui bienl	-|--|---||
aimebienladoute	---|---|-|----|
mai spluseursontce	---⌫|------|---|-|
quidess ains u uel ent	--|--|-⌫---|-⌫---⌫--|
celuidoitonles	----|---|-|--|
i e x poier	-⌫-⌫|----|
uoirecreuerfoiquedoimame	----|-----|--|--|--||--|
qui coupoieseur nostredame	--|------|---|-----|---|
quiencou poiequi	--|-|---⌫---|--|
adieu plus	|---|---|
gr ant eniure	--⌫--|-----|
etplu slachosel iestpe sme	-|---⌫|-|----|-⌫|--|--⌫--|
quesiliu roit delui meesme	--||-|--⌫---|-|--|-----|
deluimeesme si faiti l	-|--|-----|-|---|-⌫|
et dautr epart certes	-||----⌫|---|-----|
sontbie n uenchuetrecreant	---|---⌫|-----|-|-------|
neclernesontilpasuea nt	-|---|-|---|-|--|---⌫-|
o m faitl o rmere	-⌫|---|-⌫-⌫|---|
aigre et amere	----|-|----|
que ne soitcelec om	--|-|---|---||-|
or i pens ommes tuit a f ait	-||----⌫----|---||-⌫--|
eta nos c uerspr endonlautrui	-||--|-⌫---|--⌫----||-----|
sediexmeistdem ainethui	-|---||---|---⌫--|-|--|
demo i saibien sanznuletrufe	-|--⌫|--|---|---|---|----|
quim e donroit	--|-⌫|------|
u negrant bu fe	-⌫-|----|--⌫-|
ne me p o r roitmie	-|-|-⌫-⌫-⌫---|--|
dassezsi crou pirsorlecuer	|----|-|----⌫--|--|-|---|
n etantnemen	-⌫|---|-||-|
forseneroie	----------|
moitiecomieferoie	-----|--|-|-----|
d ema me reseui ue estoit	-⌫|-|--⌫-|-|--⌫-|-----|
se quique soitla mole stoit	-|--|--|---|-|----⌫----|
e tquiliporteroithoneu r	-⌫|--|-|--------|-----⌫|
grel ensaroie assezgreigneur	--||-|-----|----|--------|
et assezpluslenamer oi e	-|----|---||-|----⌫--⌫|
demoimeesmenef eroie	-|--|-----|-|-⌫----|
dec e se tiene ntbienamoi	-|-⌫|-|-----⌫-|---||--|
t uitli pluseursicomie	-⌫--|-|------|-|--|-|
dougr antseigne urq ue	--|--⌫--|------⌫-|-⌫-|
diron sdon q ues	-----⌫|---⌫-⌫--|
ianie r tnenefuonqu es	-||--⌫-⌫|-|-|-|----⌫-|
samereamerpeu st	-|---|---|---⌫-|
autant comi l ne neseust	-----|--|-⌫|-|-|----|
quant li dozroi s li t resdozpere	----|-|--|---⌫|-|-⌫--|--|---|
