Hengis t e li	------⌫||-|
Badeotiadis aut r enun	---|-|----|---⌫-⌫|--|
Sicumdient	----|----|
Quiprim eslah e rbergeren t	--|----⌫-|-|-⌫-⌫---------⌫|
Acheman nestr atel	-------⌫-----⌫--||
D euene sire lenofmead nunCest	-⌫-----⌫---|-|----|-|--||--|
unpaïsmul tri che	-|----|---⌫|--⌫--|
Ilocadricheeuesquié	---|-|----|--------|
Essece stre en est le	------⌫---|-|--|-|
Ledismesie st	-|----|-|-⌫-|
Cornuaille	---------|
Cilsunt pruzenbataille	--|---|---|-|-------|
Corinëuslaherbe rgat	--------|-|-----⌫---|
Cilqui lesieanzenchaçat	--|--|--|----|--------|
Essexeapeleuml e unz ime E	-----|----|-|-⌫|---⌫--||
Middelsexele duzim e	---------|-|-----⌫|
Lundresi estl euesquié	------||--||--------|
Quicité es t d antiq ui té	--|----|--⌫||-----⌫--⌫--|
Suffo kei est	-----⌫-||--|
le t rezime	-|-⌫-----|
Norfolk eleq uatorzi me	-------⌫|-|-⌫-------⌫-|
Norwiz leues qui é	-----||----⌫---⌫-|
Ti ed fortfuia l a	--⌫--⌫---|-|-|-⌫|
Cante bru gelecunté	-----⌫---⌫-|-|-----|
Alquinzimee stacunt é	-|-------|-⌫-|-----⌫-|
Elyi est l	--||--||
euesqui é	-------⌫-|
En cestmareissietlacité	-|---|-----|---|-|----|
C il q uilamainta dgrant	-⌫-|-⌫-|-|----|-⌫|----|
Suuentesfeizdebon	-----------|-|--|
pe issu nEu o latillee uene isun	--⌫----⌫||-⌫-⌫------||----⌫---|
Dedenz lemareis	-----|-|-----|
leprent l um	-|----||-|
Le sez i meest	-|---⌫-⌫-|--|
multrenumé	---|------|
Ni coleesticelcunté	--⌫---|--|---|-----|
Richeene s tmultl	----|-|-⌫-⌫|---||
euesquie z	--------⌫|
Karla apendent	--|-|-------|
uiii cuntez	---|-----|
N orhamtune	-⌫--------|
Herteford e	--------||
H untin done	-⌫-----⌫---|
Leïrces tre e	--------⌫--||
Bukingeham	---------|
richel euesquié	----||--------|
Douseues l unt enuirune ́	---|---||--|--------⌫|
Humbreapelen tl amen ur	-----|------⌫|-⌫|---⌫-|
Tami sea dnunla	----⌫-|-⌫|--|-|
Gloucestre	---------|
Le uint e.u.est	-|---||--|--|
Wirecestre	---------|
W ire cestre l euesquie ́	-⌫---⌫-----||--------⌫|
Celpaïsestmult	--|----|--|---|
Quideleu esqu iée stplus for t	--|-||--⌫----⌫--|-⌫-|---|---⌫|
Ka rmulten	--⌫|---|-|
sunt red uté	---|---⌫---|
Qui mainentde denz la	--|------|--⌫---|-|
Le xx e. u ii.	-|-||-⌫-⌫--|
Sa lopesire	--⌫-------|
Le uinteui tme	-|---||--⌫--|
Cestresire	---------|
Cestrelacité	-----|-|----|
Siadmultbel euesq uié	-|-|---|--|-----⌫---|
Warewicest	------|--|
S tafford .xxx .qui	-⌫------|----⌫|--|
Dere biest	----⌫-|--|
tre ntee u n	---⌫--||-⌫|
Odle pai ̈stutenuirun	-|-|---⌫-|--|------|
N otingehamelecunté	-⌫---------|-|-----|
Atren te douses tacunté	|----⌫-|---|--⌫|------|
Euerwicestt rente tre is	------|--|-⌫----|---⌫-|
Chie f est	----⌫|--|
deu ersles	---⌫--|--|
C ité est d antiquitét	-⌫---|--||----------|
I loc siestlarce u esq uétD	-⌫--|-|--||----⌫-⌫---⌫---||
Engleterrelame illur	---------|-|--⌫----|
Iloc estb e n le sauum	---|--|-⌫-⌫|-|----|
La lungur estde	-|-----|--|-|
Descitr esqu en	----|--⌫---|-|
Sifaitementlenus descrist	----------|-|--|-------|
Belins qui mesurer lefist	-----|--|------|-|---|
Lecuntéde	-|-----|-|
Norhumber lande	---------⌫----|
Estacun t é	--|----⌫-⌫-|
ii i i.El a	--⌫-⌫|||-⌫|
si unttut at u rné	-|--|--|--⌫-⌫---|
La terr e de	-|----⌫|-|
Cumberlant	---------|
Westmeril ant	---------⌫--|
Alderain u ntt ut acunté	-|-----|-⌫-|-⌫-|------|
Laad nuueleuesqué	-|-|----|-------|
Issicum i o	---|--|-⌫|
uusai mustré	--|-|------|
Engle terreestacuntéA s uld ousa rceuesqui ezEadis	-----⌫----|--|------||-⌫-|-⌫--|-⌫---------⌫-|||--|
euesqui ez	-------⌫-|
Asez iad plusurscitez E	---||-|------|----||
nuleuesquiez	--|--------|
Oxenefortque	--------|--|
Leïr ces tre	-----⌫---⌫--|
War ew ic que	---⌫--⌫-|--|
Gloecestre	---------|
Plusursenpeu ssenum er	------|-|---⌫--|---⌫-|
Meisnemequ iertanttrauailler	---|-|-|--⌫--|---|---------|
Gualesparlerai	-----|-------|
D e cezdela	-⌫|--|-|-|
Wal es otp lu sursc it ez	---⌫-|-|-⌫--⌫---|-⌫--⌫-|
Quemult parfu r entrenumez	--|---|--|--⌫-⌫--|------|
Ca rwe ine	--⌫---⌫-||
Kar liun Elacitéde	---⌫---||-|----|-|
lasiot.u.euesquez Eun	-|-|-|--|-------||-|
autrearceuesque z	----|----------⌫|
De cez niadorerem ésfortreis	-|--|||-|--|---⌫--|--|----|
Decezuusdirai	-|--|--|----|
les fai zA	--|---⌫||
D auidenestli uns	-⌫---|-|--|-|--|
Quiiadis f uda	--|----|-⌫-||
Karliun sC ̧ofu dia dis arceues quie ́	-------⌫|-⌫-|--⌫|--⌫--|-------⌫----⌫|
Oresiestpoure euesqui e ́L autre est	--|-|--|----|-------⌫-⌫||----|--|
Bangor recetezA	-----|------||
Cla morgansi estlitierz	---⌫-----|-|--|-|----|
Par l agu erre	--|-⌫|--⌫---|
suntdeserté	---|-------|
Mais neporqua n tbensauom	---|--------⌫-⌫|--|----|
Quelie uesquesotpallium	--|-|-⌫------|-|------|
D a uids ild erais nad	-⌫-⌫--|-⌫-|-⌫-----⌫--|
Benlesau u ma	--|-|---⌫-⌫||
Ore ni adcitéremis	--|||-|----|----|
Kardestruit	--|-------|
esttut lepaïs	--|--|-|----|
Premierement parles	-----------|--|--|
laguere des	-|----|--|
Delautrepart puis que	-||----|---|---|--|
ue n cuorent les	--⌫-⌫-|----|--|
EngleisE o rent cunquis laterre	------||-⌫---|------|-|----|
Par feupar faim epar guerreL euepas serent	--|--|--|---||--|-----||--|---⌫-----|
Waleis sim u rent guer re	-----|-|-⌫-⌫---|----⌫-|
DelaterremultcunquistrentE mul tgri eues	-|-|----|---|-----------||---⌫|---⌫---|
le isi mistrent	--⌫-||-------|
Galeise n ch acerent	-----|-⌫-⌫--⌫------|
D esl urlate rreherbergerent	-⌫-|-⌫-|-|--⌫--|-----------|
Esi ifirentmultc hast els	|-||-----|---|-⌫----⌫--|
Qui m ultpar su nt e bonsebels	--|-⌫--|--|--⌫-||---||---|
Maisnepurquant suue nte sfeiz	---|---------|----⌫---⌫----|
Bensen ue ngerentles	--||-|--⌫------|--|
Franceismultun tocis	-------|---|--⌫|---|
De noz chastelssesuntsaisiz	-|--|-------|-|---|-----|
Ap ert ementleuont	--⌫---⌫----|-|---|
Fo rmentnusuont maneça nt	--⌫----|--|---|-------⌫-|
Qu ala parfintutelaurunt	-||-|-----|---||-----|
Ar tur larecoueruntEcest	--⌫--|-|---------||---|
païs tut ense men t	----|--|----⌫---⌫|
Toldru nt alarom ainegentAl ate rresun	------⌫-||-|---⌫---|---||-⌫|--⌫--|--|
nunrendrunt	--|-------|
Bretaine larepelerun t	-------|-|---------⌫|
Des cheminssip arlerum	--|------|-|-⌫------|
Quifurentfait en cestpaïs	--|-----|---|-|---|----|
Faire lesfistl ireis	----|--|---|-⌫|---|
Lipremerai nuaitdés	-|--------⌫|---|---|
Descique uientenoccident	----|--|----|-|-------|
Cist trauerse lepaïs	---|-------|-|----|
Ikenild adnu n lichemin sLautre	------|-|--⌫|-|------⌫||----|
Erninges trate orlapeluns	--------⌫----|-||------|
Celc h em inestbencuneud	--|-⌫-⌫--⌫-|--|--|-----|
Delnorth u aitdreitelsu th	--|----|-⌫--|----|-|--⌫-|
Litierzsiestmult ren umé	-|----|-|--|---|---⌫---|
Watlingestrate est apelé	-------------|--|-----|
Dourecomence c e stch emin	----|------|-⌫-⌫-|--⌫---|
Delp aïspurprent	--|-⌫---|-------|
Li quar z siest mult encumbrus	-|----⌫|-|--|---|--------|
Cestchemin est	---|-----|--|
Fosseapelez	----|-----|
Siuaitparmultescitez	-|---|--|-----|----|
Celcumen ceen	--|-----⌫-|-|
T otenes E dur etresquen	-⌫-----||---⌫|-----|-|
Kateneis .	-------||
uiii.cenz l iu es isuntc untez	----|---|-⌫--⌫-||---|-⌫----|
Cestcheminest multrenum e z	---|-----|--|---|-----⌫-⌫|
Bel in sk ifaireles fist	---⌫--⌫|-⌫|----|--|---|
franchi seles mist	-------⌫-|--|---|
Quik unquesdechaciezesteit	----⌫-----|--------|-----|
En cezchemi ns	-|--|-----⌫-|
sapeisa ueit	-|---|-⌫---|
Descrituus auumles cunt ez	------|--|---|--|----⌫-|
eleseue squezEdeschemins l es.iiii. nuns	|--|---⌫----||--|------|-⌫-|-----|---|
Or ai ̈tant leu uslarruns	-|--⌫----|-|-⌫-|------|
