uousau és deuantbienoit	---|--⌫--|-----|---|--|
etpareage etparto rment	-|--|---|-|--|--⌫----|
morsfuetpuisien sui	---|-|-|---||-|--|
disaaguillaumes	--|-|---------|
es desiers	-|------|
cis rois loeysf ucroisans	--|---|----|-⌫|-------|
en tou sbiens etfor s etp oisan s	-|---⌫|----|-|---⌫|-|-⌫-----⌫|
ets itenoitric e compagne	-|-⌫|-----|---⌫|-------|
etnouuieleu intenespagne	-|-------|-⌫--|-|------|
a sar rasi nset ap aiens	|---⌫----⌫-|-||-⌫----|
quekarles li buenscr es ti iens	--|-----|-|----|--⌫--⌫--⌫---|
libuens rois	-|----|---|
lifo rsiusticiere	-|--⌫-|---------|
kitousiorsl eurte no it estiere	-|---|---|-⌫--|--⌫--⌫-|------|
est oitmors	---⌫--|---|
e talésa f in	-⌫|----||-⌫-|
gr ant ioieenorent sar asi n	--⌫--|---|-|----|---⌫---⌫|
carilles ottous exilli e ́ s	--|-|--|-|---|------⌫-⌫-⌫|
etla umac oursen fu trop lies	-||-⌫----⌫---|-|-|---|---|
uns pel erinsl eurot co nté	--|---⌫----|-⌫--|-|--⌫---|
qu il orent	-|-|----|
moul t en fi stlam irausgr ant fieste	----⌫|-|--⌫-||--⌫----|--⌫--|-----|
e t iura le siou sdesa ties te	-⌫|---|--⌫|---⌫|-|-|----⌫-|
quiluol oitlatiere	-|-|---⌫--|-|----|
quepierdue auo ie ntsi	--|------|---⌫--⌫-|-|
pourcarlemainneetpoursa gent	---|----------|-|---|-|---|
sesb riesfist fairei snel ement	--|-⌫---|---|----|-⌫----⌫----|
etsaie leret maitre encire	-|----⌫--|-|-----|-|---|
etso urdestrui reetso ur ocire	-|--⌫-|-------⌫-|-|--⌫-|----|
tre stoute satierre	---⌫-----|-|-----|
pa ie n s pourcommencier lagie rre	--⌫--⌫-⌫|---|---------|-|---⌫--|
qua ntensanblef urent sesos	---⌫-|-------|-⌫----|--|-|
lamirauss ena lamoult	|------||-|-⌫-|----|
amonsignour	|--|------|
aaia kedroit	-|--⌫-|----|
acompo sti eleuil gisoit	|-----⌫---⌫--||-|-----|
etfait encore uoi rem ent	-|---|-----|---⌫---⌫--|
l amena ilt o ute	-⌫|---|-|-⌫-⌫--|
e tsireubalasai ntegli se	-⌫|-|----|-|---⌫--|---⌫-|
sa lagent crestieneocise	||-|---|--------|----|
etdelmoustierfisentestables	-|--|-------|-----|-------|
cenefupasge nsdelit ables	-|-|-|--|--⌫-|-----⌫----|
fais oient ordures	----⌫----|------|
maisil en orentp ainnes	---|-|-|----|-⌫-----|
quar pa rl e fondementdes	---|--⌫|-⌫|--------|--|
lor is soitlaboiele	--|--⌫---|-|-----|
etliautr es	-|-|----⌫||
aueulisoient	-----------|
et l iplusi o u rdel sen s isoient	-|-⌫|-----⌫-⌫-⌫|--|---⌫|------|
liaumacorstoutautresi	-|-------|---|------|
ot i telmalet s au euli	-|-⌫--|--|-||--⌫---|
e taai ak e au sireclama	-⌫|-|-⌫--⌫|--⌫-|------|
kid es esiousleraluma	-|-⌫|-⌫-|---|-|-----|
car li amira us	--|-|-----⌫-|
dissoitbie n	------|---⌫|
sille gari so itde	|-|-|----⌫--⌫-|-|
iam ais uier sl u i n e mesferoit	---⌫--|----⌫|-⌫-⌫|-⌫|--------|
ne ensonpai sn	-|-|--|---⌫||
feroi tsorreet rendre	-----⌫|----|-|-----|
quanconipottolir et	----|-||--|----|-|
e nsifu guar i s et si h ome	-⌫--|-|----⌫-⌫|-|-|-⌫--|
paraaiake le buen	--|-|---|-|---|
etilamainten ant ren du	-|-||-------⌫--|---⌫-|
quanconote lmo ustier per du	----|-|-|-⌫|--⌫-----|---⌫-|
et si fistparlauiler e nd re	-|-|---|--|-|---|-⌫-⌫--⌫-|
p ottol ir	-⌫-|---⌫-|
e tpr end re	-⌫|--⌫---⌫-|
lauile gierpi e	-|---|------⌫|
etil etto ut esamesnie	-|-|-|--⌫--⌫|-|-----|
et distquelidieux cre stii ens	-|---|--|-|----|---⌫----⌫--|
u autmiosquelidieu	-⌫--|---|--|-|---|
a s paie ns	-⌫|----⌫-|
cil aum acor s etsacompagne	--|---⌫----⌫|-|-|-------|
senalerenta grantcompagne	|-|------||----|-------|
quile n ieu t	-|-|-⌫||--⌫|
pl u sdeyy mile	--⌫-⌫|-|-|---|
t antkil uinre nt a uneu ile	-⌫---|-|-----⌫-||--|-⌫--|
qu ela gensapieloi t ornis	--⌫|-|---|-------⌫|----|
etmoultiertlepai s	-|----|---|-|---⌫|
enceleuil e otuneglise	-|---|---⌫|-|--|----|
r omainmoultb ienasi se	-⌫----|----|-⌫--|---⌫-|
etmo ultlonoroientla gent	-|--⌫--||--------|-|---|
qu eleiertpaintedor	-|--|---|-----||-|
e tdargent	-⌫||-----|
liaumacors	-|-------|
tou tireuba	---⌫||----|
etsa gentlauileguasta	-|-|---|-|---|-----|
toutl at rehierbegierent	---||--⌫-|------------|
d e dens et	-⌫-⌫---|-|
defo rs selogi erent	----⌫-|-|----⌫----|
laumacors ot	|-------|-|
zz compag non	-|------⌫--|
qui dusestoitde gr antr enon	--|--|-----|-|--⌫--|-⌫---|
entraded ansla glise	----|---⌫--|-|----|
uon faiso it	|-|-----⌫-|
e t u i tlescoulombesdorees	-⌫|-⌫-⌫|--|--------|-----|
etl esma sieresa r gen tees	-|-⌫-|--⌫-----|-⌫-⌫---⌫---|
etcilpaiensp ar conuoitise	-|--|-----|-⌫-|---------|
totpour des onorer lag lise	--|---|---⌫-----|-|-⌫---|
zzquing defier	-|----|-|---|
e nsa main prist	-⌫|-|---|----|
et zzm a rtielsisa demist	-|-|-⌫-⌫----|-||-⌫-----|
aune coulomb ebrisier	|--|-------⌫|------|
pour a uoirl argentetl or	---|-⌫---||-----|-||-|
il a l oitf erant	-|-⌫-⌫--|-⌫----|
si deuintp ieremaintenant	-|-----|-⌫---|---------|
ensamb lantdome	-|----⌫---||--|
etestencor	-|--|----|
d aute lcouleur	|----⌫|------|
commelidrap	----|-|---|
qu ilot u es tus	-|-|-|-⌫--⌫--|
otne mainsne	-|-|----|-|
etquan tliaumacor sle sot	-|----⌫|-|-------⌫|-|--|
dolansenfu queplusne	-----|-|-|--|---|-|
et distquesortoutes les	-|---|--|--|-----|--|
ual oi t li di euxascr estiiens	---⌫--⌫|-|--⌫--|-|--⌫-------|
quipuis la mortdesesamis	--|---|-|---|-|--|---|
seuen goitdesesanemis	-|---⌫---|-|--|-----|
iakeslisains de compostiele	----|-|----|-|----------|
t olimeshomeslaboiel e	-⌫--|--|----|-|-----⌫|
etsimaueu lidemesious	-|-||----⌫-|-|--|---|
ne soi quef u t ierene ci ous	-|--|--|-⌫|-⌫---|-|--⌫--|
etq uant iouli	-|-⌫---|--|-|
priai merci	----|----|
moietmes homes	--|-|--|----|
etcis roma in steusest ses nons	-|--|----⌫--⌫|---|--|--|---|
af aitpierezz	|-⌫--|----|-|
de mesb arons	-|--|-⌫----|
ciertes t ropcruel mentseuenge	------|-⌫--|-----⌫---|-|----|
maisiouliproikillemerenge	---|--|-|---||-|-|-|----|
moultli requistmoultliproia	----|-|------|----|-|----|
maisaaroma ins	---|-|----⌫--|
rienn otri a	---||----⌫|
donqesaditliaumacours	-----||--|-|--------|
que aa r omai nsert felet fors	--|-|-⌫----⌫-|--|--|-|---|
ciertesfait	------|---|
ilainc maisn	-|---|---||
cisestfo s	--|--|--⌫|
dontiluint	---|-|---|
ma isiakes	--⌫-|----|
est pl us debonna ire	--|--⌫-|-------⌫--|
quime rescla rci	--|-|------⌫--|
e t meshom es	-⌫|--|---⌫-|
dou nasa nte	---⌫-|--⌫--|
uintauole nte	---||----⌫--|
etc isromains qu i	-|-⌫-|------|--⌫|
to tuiotprendre	--⌫|---|------|
ne medagn emonhomerendre	-|-|----⌫|--|---|-----|
or s aibienquei akesfu	-|-⌫-|---|--|-⌫---|-|
d egentcortoiseetfusenés	-⌫|---|-------|-|-|-----|
etc is autres	-|-⌫-|-----|
sire ro ma ins	---|--⌫--⌫--|
fune ́ sde	-|--⌫-⌫|-|
foset deuilains	--|-|-|------|
quaril estfelet con tredis	---|-|--|--|-|---⌫-----|
quantioude lui	----|--|-|--|
u oises condis	-⌫--|--⌫-----|
iac ourtoi sienerie ndouce	-|-⌫------⌫--|-|---⌫|----|
n isterade uil ainne	|-----|-|---⌫----|
cisame shomm es enh ais	--||--⌫|----⌫-|---⌫--|
fuion snousen tdecest	-----⌫|---|--⌫|-|---|
atantena s agent menee	----|-||-⌫|---|----|
siaw idiela contree	-||-⌫---|-|------|
naincpuis no serentmetrema i n	|---|---||-⌫-----|----|--⌫-⌫|
aaa iakena aar o main	|-|---|||-|-⌫-⌫---|
paiens tot maugre leur	-----|--|-----|---|
dont a portaon	---|-⌫----|-|
ie l saib ien	-||--|-⌫--|
asesso n saa sebastii en	|-----⌫-⌫|-|--------⌫-|
etenf rance parzz	-|-|-⌫----|--|-|
aapiere e taamarciel	-|----|-⌫|-|------|
etd econfies et	-|-⌫|------|-|
de mart irs	-|----⌫--|
iointes etoi ssi a us tous entirs	------|-|--⌫---⌫-⌫-|---|-----|
l oeysli f ius carlema i nne	-⌫---|-|-⌫--|-------⌫-⌫--|
tintbien sonempireet sonra inne	---|---|--|-----|-|--|--⌫---|
commeh ardis rois etgentius	----|-⌫----|---|-|------|
sotde sa femeyyfius	|-|-|-|---|-|---|
blanceflorl afille	---------|-⌫|----|
moultamasesf iusetcieri	----|--|--|-⌫--|-|----|
loeyslohier etcarl on	----|-----|-|----⌫-|
et p epinsotliqu ars	-|-⌫----|-|-|--⌫--|
c isroisfucort oi s	-⌫-|---|-|----⌫--⌫|
maispourcoukil ottie res gran s	---|---|--||-|-|---⌫--|----⌫|
pa r leconsel d es arceue sq ues	--⌫|-|-----|-⌫-|------⌫--⌫--|
du scon tesp rinceseteue sqes	--⌫|---⌫--|-⌫-----|-|---⌫---|
departiilsansnuledoute	------|-|---|---|----|
asesenf an ssa	|--|---⌫--⌫|-|
tieretoute	----|----|
qu apriessamort nen	-|-----|-|---||-|
fust estr is	---|----⌫-|
n em euleenoissenecri s	-⌫|-⌫----|-----|-|---⌫|
ald e uiserot maint preudome	-|-⌫-⌫----|-|----|-------|
lohiersotl emp ire de rome	------|-||---⌫--|-|---|
si fumoul tpreudom en	-|-|----⌫|------|-|
loeys otpor sa	----|-|--|-|
toute ba iui ereet a lem agne	----|--⌫---⌫--|-|-⌫---⌫---|
pepins litiers ot aqu itagne	-----|-|----|-|---⌫-----|
ango poito	---|----|
et l imozin	-|-⌫-----|
etmoultlamerentsiuois in	-|----||------|-|----⌫-|
carle sotfra nceetsifurois	-----⌫|-|---⌫--|-|-|-|---|
hai samalesdrois	--||--|--|----|
u olentie rsne	-⌫-------⌫-|-|
neuiersautruinesaati	-|----|-----|-||---|
desonperepar	-|--|---|--|
fuco uron nés a aade nise	-|--⌫----⌫---||-|--⌫---|
etasseurésd e	-|--------|-⌫|
ot entr aus tence n e	-|---|--|----|-⌫|
loh ierssicom	---⌫---|-|--|
lestorenoume	|-----|----|
fu sacr és	-|----⌫--|
etbeni saroum e	-|----⌫||----⌫|
etasseurés de sma rcis	-|--------|--⌫|--⌫---|
baro nspl usenforc is	----⌫-|--⌫-|------⌫-|
ses pereifual c ouron ner	--|---||-|-|-⌫-----⌫--|
pourlafairemi ou sasener	---||-----|--⌫--⌫|-----|
pepinsfu daqui tagne qu ens	-----|-||----⌫----|--⌫--|
satiere tintparmoult grantsens	-|----|---|--|----|----|---|
l oeysf uroisd alemagne	-⌫---|-⌫|---||-------|
se speres uioutquillaremagne	--⌫|----|----|-|-|-|------|
maissorau stous retintli pere	---|--|--⌫|---|-----|-|---|
etdelroiaum eetdelempere	-|--|------⌫|-|-||-----|
le sr ente setla commandise	--⌫|-⌫----⌫|-|-|---------|
tan tcomi luiuroit pardeuise	---⌫|--|-⌫|------|--|-----|
et apriessamortensement	-|-----|-|---|-------|
tenisentl eurass enement	-------|-⌫--|---⌫------|
f u sesfius mainsnes	-⌫|--|---|-------|
tintfra ncecomme	---|---⌫--|----|
roiss enés	---|-⌫----|
cisamamoult ses freres yy	--|--|----|--|-----|-|
entraus gi erre etd esrois	---|--|--⌫---|-|-⌫-----|
encoruiu oitroisloeys	----|---⌫--|---|----|
lor peres kimou lt	--|----|-|---⌫-|
et cisf uloeyslipius	-|--|-⌫|----|-|---|
lidebon naireslige ntius	-|-----⌫-----|-|--⌫----|
mai s lohiers kifu	---⌫|------|-|-|
pristguerre a	----|-----||
loe ys sonpere	---⌫-|--|---|
etuiers son frerero ich arlon	-|----|--|----|--⌫|--⌫----|
etloeys parunfel on	-|----|--|-|---⌫-|
quilagu erreli	--|-|--⌫---|-|
par quoi leur	--|---|---|
tie res e x illa	---⌫--|-⌫-⌫---|
a qua nquilpottouspremer ain s	|---⌫--|-|--|---|------⌫---⌫|
u int sou r aus e l	-⌫--|---⌫|--|-⌫|
paisde rains	---|-|----|
maissespere	---|--|---|
etsifrere andoi	-|-|----|----|
selau ert edireuous doi	-|-|-⌫---⌫|---|---|--|
atoutelo rgentceuaucier ent	|----|--⌫|---|---------⌫--|
etcontreloh iers	-|-----|---⌫--||
auancierent	----------|
pe pi ns litiers	--⌫--⌫-|-|----|
fr eresans fal le	--⌫--|---|---⌫-|
nefu mie a celebataille	-|-|--||---|-------|
quar il otm alad e	---|-|-|-⌫----⌫|
si na l unn i lautr e n eu	-||||-|-⌫||----⌫|-⌫-|
a bat alleuinrentens anble	|---⌫---|------|---⌫----|
grantmor toirei otcem esamble	----|---⌫----||-|-|-⌫|-----|
pa rlestorelesaide fi	--⌫||-----|-|--|-|-|
lohiers adonques	------|-------|
so nperee tsonfre re carl on	--⌫|---|-⌫|--|---⌫-|----⌫-|
et lo e ysa cu erfelon	-|--⌫-⌫-||--⌫-|----|
p ar o utrage etparmesprison	-⌫-|-⌫-----|-|--|--------|
etmist ensaprison	-|---|-|-|-----|
etpartou tefranceirascus	-|--|---⌫-|-----|------|
ceuaucaayymilescus	------||-|--|----|
castiauset	-------|-|
bo r setferm ete s	--⌫-⌫|-|----⌫---⌫|
saissietu il esetcites	-----|-|-⌫--⌫-|-|----|
lo hierski	--⌫----|-|
fucrueuse t	-|-----|-⌫|
serepentiet ot	-|------|-|-|
do ntpuisauin tki l	--⌫-|---|----⌫||-⌫|
l esre ndi	-⌫-|--⌫--|
a sessonsp arzzsame di	|------|-⌫-|-|----⌫-|
et pouricelemesestance	-|---|----|---------|
enpri s tlohierssapenitance	-----⌫-⌫|------|-|--------|
enlaglisedeaamartin	-|-|----|-|-|-----|
pourl ag uerre	---|-⌫|-⌫----|
l ehusti n	-⌫|-----⌫|
quilau oitfait	-|-|--⌫--|---|
et acarl onle r oisonfrere	-||----⌫-|-|-⌫-|--|----|
eta loeyskif utiers	-||----|-|-⌫|----|
kimo u tip erdidebaiwiers	-|--⌫-⌫||-⌫---|-|-------|
etdalemansacelestou r	-||------||--|-----⌫|
acordé tsont aucief	-------⌫|---|-|---|
etlohiersaincque plusa tende	-|------|---|--|---|-⌫----|
peregrantamende	---|----|-----|
m oult f upreu domcil	-⌫---|-⌫|----⌫--|--|
fiuscarlemainneet obeis	---|----------|-|----|
sestoitad ieu	|-----||-⌫--|
netortne fesista n u lfuer	-|---|-|-----||-⌫-⌫|---|
yy ansa uoit regné	-|--|-⌫---|-----|
q uanta lamortl	-⌫---||-|---||
adieuxmené	|----|----|
non qes na uoitameegierre	|--⌫--||-⌫---|---|-----|
aaadeni sfu misen tiere	|-|----⌫|-|--|-|----|
lohiersfude roume emper ere	------|-|-|----|-----⌫--|
maisilnepotdesoncuerrer e	---|-|-|--|-|--|---|---⌫|
lepe c ietq u	-|--⌫-⌫--|-⌫|
ason pere ot fet	|--|---|-|--|
moultestoitdolansdel me sfet	----|-----|-----|--|--⌫---|
loeys tintenson demagn e	----|---|-|--|------⌫|
baiwiere etalemagne	-------|-|-------|
pepinsa qu itag neet	-----|-⌫--⌫----⌫-|-|
etli mozin et tou tang ou	-|--⌫----|-|---⌫|---⌫-|
car les otle regne	---⌫--|-|-|----|
etlesor plusmisten soufra nc e	-|-|---⌫---|---|-|------⌫--⌫|
enboi nepais tintsonren e	-|---⌫-|---|---|--|---⌫|
pereslotcourouné	----||-|--------|
deuantfufenestrés	-----|-|---------|
siot anoncarle sli ca us	-|-||--|-----⌫|-|--⌫-|
as seurés fud elatierre	--⌫------|-|-⌫|-|-----|
otcori ne ne gierr e	-|----⌫-|-|-----⌫|
moultfupreudometd ebonnaire	----|-|------|-|-⌫--------|
yyroisacestdo ifa ire	-|---||---|--⌫|--⌫--|
roisde franceced is tl estore	---|-|-----|-|-⌫--⌫||-----|
noteea celtempore	----||--|------|
dont u inrentlinormantenwalc re s	---|-⌫-----|-|------|-|----⌫--⌫|
u quensauoitestéodacres	|----|----|----|------|
qu enuoiie ́si auoitli rois	-|-------⌫-||----|-|---|
pour l epaisfairepl us	---|-⌫|---|----|--⌫-|
maislifrerecar lon l ecauf	---|-|----|---⌫--|-⌫|---|
le guerro i erentazz iour	-|------⌫-⌫----||-|---|
quilquidoitmiousiestreaseiour	-|-|------|----|-----||-----|
m aisilquistgent et	-⌫--|-|----|---|-|
fist b atal le	---|-⌫----⌫-|
siuenquise sfre ressansfaille	-|-----|--⌫|---⌫--|---|-----|
iou rderouuiso ns	---⌫|-|-------⌫-|
meul eeetl a	----⌫-|-|-⌫|
freresdireplains	-----||--|-----|
en c elecontreede rains	-|-⌫--|------|-|----|
con apielele	|-|-----|-|
maintcors m is aexil	----|---|-⌫-||---|
siotmoultd e ceualier s mors	-|-|----|-⌫|--------⌫|---|
fust li droisne li to r s	---|-|----|-|-|--⌫-⌫|
maiskarle s	---|-----⌫|
licausuenquitout	-|---|-----|---|
gentc ontrelu i moult	---|-⌫----|--⌫|----|
desconfitfurentsitroifre r e	--------|-----|-|---|---⌫-⌫|
t outcoufistlohiers	-⌫--|--|---|------|
lemper ere	|-----⌫--|
po ur len uie etpourlacor in e	--⌫-||--⌫--|-|---|-|---⌫--⌫|
q ue kar le sot france ensaisine	-⌫-|---⌫--⌫|-|-----|-|------|
ad ontmoru li	--⌫--|---|-|
quensodacres	----|------|
qui t intquite	--|-⌫--|----|
flandrese t walcres	-------|-⌫|------|
etbauduins sesfiu s	-|-------|--|---⌫|
cilf u iusticieres	--|-⌫|----------|
m oultbuens	-⌫---|----|
etmoultfu ha rdi sce	-|----|-|--⌫---⌫|-|
mais lidoi f rerealroi	---|-|--|-⌫---|-|--|
pepin set loeysmorur e nt	-----⌫|-|----|-----⌫-⌫-|
uencufurent	----|-----|
etpourcoukiln	-|---|--||-||
a uo ient oir	-⌫--⌫---|--|
kileurtieredeuist auoir	-|---|----|-----|----|
sireuintlon orsce	-|-----||--⌫--|-|
alo r frerele r oicharlon	|--⌫|----|-|-⌫-|------|
etlohie rski fuli	-|-----⌫-|-|-|-|
tiersfrere	----|----|
quidero ume estoitem per ere	--|-|--⌫--|-----|--⌫---⌫--|
serendi enune	-|----|-|--|
pourcouqueparsafelonni e	---|--|--|--|-|-------⌫|
auo itsonperegu erroi ie ́	---⌫-|--|---|--⌫-----⌫--⌫|
frerepr i set loiié	----|--⌫-⌫|-|-----|
aideuant dit	-|-----|--|
isiloh iers sans	--|---⌫---|---|
c ontred it	-⌫------⌫-|
sefuen labierendus	-|-|-||---|-----|
desa femeot zz fil	-|-|---|-|-|--|
lo eysotnon paruerte	--⌫--|-|--|--|----|
del e mp irelad ignite	-||-⌫--⌫--|-|-⌫-----|
l i ad ouneetouteentire	-⌫||-⌫----|----|-----|
main tior tenansetsire	----⌫|--|-----|-|---|
petitapries m oru lohier s	----|-----|-⌫--|------⌫|
quidieusierui moul tuolen t iers	--|---|-----|----⌫|-----⌫-⌫---|
do ntla tiere encorparraison	--⌫-|-|----|----|--|-----|
pour lo hier	---|--⌫---|
loherain neanon	--------⌫-||--|
quilenfu prem iers sire	-|-|-|-|----⌫---|---|
etla tiere	-|-|----|
laissapo ur sire	-----|--⌫--⌫---|
siquesires fudel	----|----|-|-||
etkarl eslica usfu	-|----⌫-|-|--⌫-|-|
en fra nce	-|---⌫--|
hautefemeot	----|---|-|
gent iletfrance	----⌫-|-|-----|
do ntunefille	--⌫-|--|----|
o tauques biele	-⌫|-----|----|
i uthisot non lad amoisiele	-⌫----|-|--|-|-⌫--------|
m ais bauduinsli	-⌫--|-------|-|
fiusodacres	---|------|
k itintquite	-⌫|---|----|
flan dres et walcres	----⌫---|-|------|
lenamasil euota u oir	|----|-|-⌫|--|-⌫-⌫--|
et cell eotpet itdesauoir	-|----⌫|-|---⌫-|-|-----|
sile nsu ique nusne lsot	-||-⌫---⌫|--|--|-||--|
etli quensle pristluesqu il	-|-|----|-|----|---|-|-|
sil espous a et	-||------⌫|-|
prista f eme	----||-⌫--|
quarele ier t	---|--|---⌫|
bielecommeg emme	----|----|-⌫---|
cisquensfubaudu ins lifie rs	--|----|-|-----⌫--|-|---⌫-|
gensui parlestor etous c i ers	|-|--|--||-----⌫|---|-⌫-⌫--|
acel tansfu cestuerites	|--|---|-||--|------|
d elaous t esmoul t gransplentes	-⌫|-----⌫-⌫-|----⌫|----|------|
et uinrent deuier sorient	-|------|------⌫|-----|
si setra isentuiersocc ident	-|-|---⌫----|----|---⌫----|
tanteniotquancois	---|-||-|-|-----|
nus tantsicom	--|---|-|--|
etdisoientpar t out e	-|-------|--|-⌫---⌫|
queciert aucunedemos trance	--||---|-----|-----⌫-----|
etsifuil tout u oirement	-|-|-|-|---|-⌫-------|
quarenfrance ottrop	---|-|-----|-|---|
gran t torment	----⌫|------|
e ttropcrueledescepline	-⌫|---|-----|---------|
e tmortaliteet famine	-⌫|--------|-|-----|
si q ueli gentdefaim mor o ie nt	--⌫-⌫-|-|---|-|---|---⌫-⌫--⌫-|
grantricaice nauoie nt	----|------||-----⌫-|
encor uiuo itkarles licaus	----|----⌫-|-----|-|---|
kimoultfupreudomet	-|----|-|------|-|
etmenamoult honniestr euie	-|---|----|---------⌫|--|
de lautrui nen otenuie	-||-----||-|-|----|
uneeureauintkil s	--|---|----||-||
uns a nglesp ar aa	--|-⌫----|-⌫-|-|
enlautre sie clele mena	-||----|---⌫--|-|---|
eten lamainliassena	-|-|-|---|-|-----|
un l incie l defilblanc	-|-⌫-----⌫|-|--|----|
q ui resplendiso it ar e sanc	-⌫-|-----------⌫-||-⌫-⌫---|
clarte sdesolel	------⌫|-|----|
dontliraisontcleret uierme l	---|-|--|---|---|-|------⌫|
etle ciefdel filsa ns	-|-|---|--|--|--⌫-|
li fistl o i ie rent orsonpoing	-|---|-⌫-⌫-⌫--⌫|---⌫-|--|----|
etlirouua quillesiuist	-|-|----|-|-|-|-----|
etmirast b ie ncou	-|-----|-⌫--⌫|--|
qu ilueis t	-|-|----⌫|
lorsfume ne ́ s	---|-|--⌫--⌫-⌫|
en gransuale es	-|----|----⌫-|
hideusesparf ondeset lees	-------|----⌫----|-|---|
plainne sde sou f re totarda n t	-------⌫|-|---⌫-⌫-|--|----⌫-⌫|
etsai m etcireetpoitboulant	-|---⌫|-|---|-|---|------|
illesarce uesques	-|--|----⌫------|
etles a beset leseuesques	-|--|-⌫--|-|--|-------|
princes castelai ns dus etconte s	------|--------⌫-|--|-|-----⌫|
