qui peti tpetitkeut	--|----⌫|----|---|
charite quidesaboneoure	------|--|-|-|---|---|
pasne sau ance anceis	--|-||--⌫---|-----|
se c o ure	-|-⌫-⌫--|
ne setse ce lui non	-|--|-|--⌫--|--|
qui dexet charit eanon	--|--|-|------⌫||--|
dexestcha riteetquiuit	--|--|---⌫---|-|--|--|
enc harite sol onclescr it	-|-⌫-----|---⌫--||----⌫-|
saint pol lediten	----|--|-|--|-|
qui maint endeuetdeu	--|----|-|--|-|--|
do ncsaceiz	--⌫-|-----|
bien de uerite	---|-|-----|
que li do n	--|-|--⌫|
sontdecharit e	---|-|------⌫|
q ueli bo ns	-⌫-|-|--⌫-|
quensfe lipedone	----|--⌫---|---|
onquesnului	-----|----|
nenaraisonne	|-|--------|
forssonfr anccoer ledebonai re	---|--|--⌫--|---|-|-------⌫-|
quil i loelebiena	--|-⌫|--|-|---||
ualtqueme ualut	---|--|-|----|
ali x andrequi	---⌫-⌫----|--|
dec har itene de nul bien	-|-⌫---⌫--|-|-|--|---|
oil ne ndoteziaderien	--||-⌫|----|-|-|---|
doncaura sauues apeine	---|---|----|-⌫|----|
chrestie n quiente nt eti peine	--------⌫|--|----⌫-|-||----|
etdes puceles	-|--|------|
seles encontras neueis	-|--|--------|-|---|
etliuasletleteneitpris	-|-|-----|-|-----|---|
aupandelhaubercsiletire	-|--|--|------|-|-|---|
ormed itesfaiti lbel	-|-|-⌫---|---|-⌫|--|
q ueest ic o	-⌫-|--|--⌫|
qu auezuestu	-|---|----|
fait i lua slet	---|-⌫|--⌫---|
doncnelseztu	---|-||--|-|
ia non faitiluaslet haubers	-|--|---|-|-----|------|
sestausi pesantcomme fers	|--|---|-----|----|---|
qui est defe rceueistu bien	-||--|-|--⌫|-|---|-|---|
d eco fa itilne	-⌫|-|--⌫-|-|-|
saiiori e n	--|-|--⌫-⌫|
sedesme s aut	-|--|-|-⌫--|
quen faites	-|-|-----|
uo sne q ue	--⌫|-|-⌫-|
uasletcet adirelegie r	-----||-||---|-----⌫|
s oruoloiesamoi lancier	|-|------||--|------|
gauelo znes aetestraire	------⌫|-|-⌫----|-----|
nem eporriezn ul ma lfaire	-|-⌫|------|-⌫-|--⌫|----|
dan cheualierdeteshaubes	--|--------|-|--|-----|
gartdexle sbisese tlescers	---|--|--⌫|----|-⌫|--|---|
e npor reie	-⌫|---⌫---|
n eiam esapre sne correi e	-⌫|---⌫-|----⌫|-|------⌫|
etli cheu alier li redit	-|-|----⌫----|-|----|
uasletdi mei sedexta it	-----|-|--|-|--||-⌫-|
s ez dire noue les	-⌫-|---|----⌫--|
uo lentier s	--⌫-------⌫|
anc oryyanzen tiers	---⌫-|-|--|--⌫----|
h erneismed ona	-⌫-----|-|-⌫--|
lereia rtus q uim ad oba	-|--|-⌫---|-⌫-||--⌫--|
me rediquedeuindre nt	-|---|--|--------⌫-|
licheualier	-|--------|
ci uin drent	-|---⌫----|
qui lestreispucel echunduient	--|--|----|-----⌫|---------|
uont il pasou ils enf uient	---|-|--|-|-||-|-⌫----|
etcildit sireoresgard e z	-|--|--|---|---|----⌫-⌫|
le plus hautter trequ euosueez	-|---|---|---⌫--|--⌫|--|---|
quicelemontaigneauirone	--|---|--------|------|
lasontlidest reizdenalo n ne	-|---|-|----⌫---|-|----⌫-⌫-|
equei decefaiti l	|---|-|-|---|-⌫|
la sontliherceormamere	-|---|-|------|-|---|
quisesterres	--|--|-----|
sement eterent	-----|-|----|
cesgenzitrespasserent	--|---||------------|
illes uirent siluos d iront	-|--|-----|-||--|-⌫----|
etcildient q ueiluo nt	-|--|----|-⌫-|-|--⌫-|
desqu acels qu ieren tlaue ine	----||---|--⌫|----⌫||---⌫--|
se illes ueitetilles	-|-|--|---|-|-|--|
liuasletpren tsonchaceor	-|-----|----⌫|--|------|
liher ceo r	-|---⌫---⌫|
he r coentlesterresa rees	--⌫-⌫----|--|-----|-⌫---|
olesaueinessonts em ees	|--|------|---|-⌫--⌫--|
etuosq uipetitestiez	-|--|-⌫-|----|-----|
belsfreres auiez	---|-----|----|
petitestiez	----|-----|
poi auiezplus d edeusanz	--|----|---|-⌫|---|--|
quantg rantfurentuostr edui f rere	----|-⌫---|-----|-----⌫|--|-⌫---|
aulosetau conse il lorpere	-|--|-|-|-----⌫-|--|---|
alerent e ndeus corsreiaus	------|-⌫|---|---|-----|
poraueirarmesetcheuals	--|----|----|-|------|
caruelona la	-------|-⌫-|
la inznez et tan t seruil	|-⌫-----|-|---⌫|----||
quech eualierfuadobez	--|--⌫------|-|-----|
et liautre qui puisfu nez	-|-|----|--|---|-|--|
fuaurei bonde	-|-|--|--|-|
anduiliuaslet	----|-|-----|
adou bezet	----⌫--|-|
cheualierfurent	--------|-----|
iormeimesm o rurent	--|-----|-⌫-⌫-----|
q uantuen eienta lorr epaire	-⌫---|---⌫----||--|-⌫-----|
quar ioieme uoleientfa ir e	---|---|-|-------|--⌫--⌫|
eauper equepuis	|-|---⌫|--|---|
odarmesf urent descon fit	-|----|-⌫----|------⌫--|
darmes furent	|----|-----|
do l etgrantenui	--⌫|-|----|---|
del ainzneauindrentmerue i lles	-||-----|--------|-----⌫-⌫---|
car li c orbe le tlescorneilles	--|-|-⌫----⌫|-⌫|--|---------|
an bedeuslesoilzlicre uerent	--⌫-----|--|---|-|---⌫-----|
eissilesgenz	----|--|---|
les trouer ent	--|------⌫--|
dedolbi aufilz morutliper e	-|--|--⌫-|---|----|-|---⌫|
et ieaiui emout	-|-|-|--⌫|---|
so s fertepuisq ue i lfu	--⌫-⌫----|-----⌫-|-⌫|-|
e t uos estiez misconfo rt	-⌫|--|-----|--|-----⌫-|
queia uei eet tozlesbien s	--||-⌫---⌫|-|--|--|----⌫|
q uarilniaueitplus de smiens	-⌫--|-|||----|---|--⌫|----|
ri enplusne mia uei t dexlaissié	--⌫-|---|-|||-⌫---⌫|--|-------|
dom ilm epeustfa irelie	--|-|-⌫|----|--⌫--|--|
liuasletententmout petit	-|-----|-----|---|----|
aceque samer elidit	|-|--|-|---⌫|-|--|
amaingie rfai t ilmedonez	|-------⌫|---⌫|-|-|----|
n esaide quei ma r aisonnez	-⌫|--|-|---||-⌫-⌫-------|
maismoutiroie	---|---|----|
uolentier s	---------⌫|
au reiquifait lescheualie r s	-|--|--|---|--|--------⌫-⌫|
et ieirai queque	-|-|---|-----|
lam eretantcomil lei st	-|-⌫--|---|--|-|---⌫-|
leretintet si le	-|-----|-|-|-|
silapareilleet atorne	-||--------|-|-----|
dechaneuazg rossec hemise	-|-------|-⌫----|-⌫-----|
e braiesfaitesa	|-----|-----||
degales o ulenfai t ense n b le	-|----|-⌫|--|---⌫|----⌫-⌫-⌫-|
chauceset bra ies ce mesenble	------|-|---⌫--|-|-|-----|
etsiotcote	-|-|-|---|
decherfclos enuiron	-|----|---|------|
eis s ilamerel atorna	---⌫-⌫|-|---||-----|
t re is iorssanzplusleseio rna	-⌫--⌫-|---|---|---|-|----⌫--|
etplusn iotmesti er	-|---|||-|-----⌫-|
lorsa lamere dol estrange	---||-|---|--|-------|
et acoleenpl ora nt	-|----|-|--⌫---⌫-|
et ditorai lodolmout grant	-|--|-|-|-|--|---|----|
quantaler uosenuei	----|---|--|-|--|
sili dirreizqu	-|-|------|-|
arme suosdoinst	----⌫|--|-----|
del c ontre di tni aurapoint	--|-⌫-----⌫--⌫|||---|----|
uos dorra bien lesai	--|----|---|-|--|
m ais quantuo s	-⌫--|----|--⌫|
uendr eiza l	-----⌫--|||
d armesport ercommenter tdon que s	|----|----⌫-|------|--⌫|---⌫---⌫|
co queuosne ueistesonques	-|--|--|-|------|-----|
naaltrenelueistes	||----|-||------|
co mment ensaurez a c hief traire	--⌫----|-|-----||-⌫---|-----|
maluaisementde comedot	-----------|-|-|-|--|
malsereiz afaitié deltot	--|-----|-------|--|--|
ni l nestmerueille	|-⌫||--|--------|
com es tuis	-||--⌫|--|
sonnesetc oquonnaapris	|-|-|--|-⌫|-|-|||----|
mais merueille	---|--------|
estque lennaprent	--|--|--||-----|
ueit etotsou ent	---|-|-|---⌫--|
biaufilz unsens	---|---|-|---|
uos uoilapr endr e	--|---|---⌫----⌫|
ouil uosfaitmout bonen tendr e	-|-|--|---|---|--|--⌫-----⌫|
quesil uosplaistaoir	--||-|--|-----||--|
gran t bien uos e nporietuenir	----⌫|---|--|-⌫|-----|----|
cheualiersere iziusquapou	--------|----⌫-|----||--|
fi lzsede p laist	--⌫-|-|-|-⌫----|
seuostrou eznepresneloing	-|--|----⌫-|-|---|-|----|
damequ idaieait	---|--⌫||--|--|
descons e illie	-------⌫-⌫----|
aieap a reillie	--|--⌫-⌫------|
lorsseit selesuosq u ier ent en ce	---|---||---|--|-⌫-⌫---⌫--|-|-|
quart otesenorsiafieren t	---|-⌫---|----||-------⌫|
quiasdamesenor neporte	--|-|----|---|-|----|
lasoe amordei t	-|--|---|---⌫|
damese tpuceleset se ruez	----|-⌫|------|-|--⌫---|
siser eiz par	-|---⌫--|--|
tot enorez	--|-----|
et seuosaucune	-|-|--|-----|
gardez q ue ian e	-----|-⌫-|-|-⌫|
denule rien	-|---|---|
qui l idesplaise	--|-⌫|--------|
de puc el es	-|---⌫--⌫-|
amout quilabaise	|---|--|-|----|
selebaisier	|--|------|
uosconsent	--|------|
l esorepl usuosen desfent	-⌫|------⌫-|--|-|------|
se leuolezlaissie rporm ei	-|-|----|-------⌫|--|-⌫-|
maisseleaanel ensondei	---||--||---|-|--|--|
ou aceintu reaumos niere	-||------⌫-|-----⌫----|
sepa ramor oupar	-|--⌫|---|-|--|
leuos doneboniert	-|--|---|--|---|
queu os enp ortezsonanel	--|-⌫-|---⌫----|--|---|
de lanelprendre u o s d oisie	-||---|------|-⌫-⌫|-⌫--|-|
etde la mo snierecon gi e	-|-||-⌫--⌫-----|---⌫--⌫|
biaufilzencor	---|---|----|
uos uoildireel	--|---|---|-|
ia en chemin nen	-|-|-----|--|
naiezlongementcom paignon	|---|--------|---⌫------|
demand ezsonnon	------⌫-|--|--|
son nonsac eiza la	--|--|---⌫--||-|
car pa rle noncon oist	--|--⌫|-|--|---⌫---|
bia ufilz asprodomes p arlez	---⌫|---|-|-------|-⌫----|
etolesprodomesal ez	-||--|-------|--⌫-|
p rodo mneforsconseille	-⌫----⌫|-|------------|
pr e nn e ntsacompaign i e	--⌫-⌫--⌫-⌫-|-|--------⌫-⌫|
s ortote rien uosuoil	-⌫-|---|---|--|---|
as igliseset amost i er	-|------|-||----⌫-⌫-|
al ezpreie rnost reseig nor	--⌫-|-----⌫|----⌫-|----⌫--|
qu enc estsiecleuo s doinstenor	-|-|-⌫--|-----|--⌫|-----|---|
idoinstsicontenir	|-----|-|-------|
qu a bone fin puissiezuenir	-||---|--|-------|----|
merefaitilquees ti g lis e	---|---|-|--|--⌫|-⌫-⌫---⌫|
olenfaitle seru ise	|--|---|-|----⌫--|
celui quicielet	----|--|---|-|
terrefis t	----|---⌫|
ethom es et bestesi	-|---⌫-|-|-----||
et mos tier queifi lzco meimes	-|---⌫---|---|--⌫-|-|-----|
une maison	--|-----|
sainzet detre s ors	----|-|-|---⌫-⌫--|
sisacrifielenleco rs	||-------|--|-|--⌫-|
iesucristlaprofeteseinte	---|----|-|------|-----|
qu iieusfi renthonte mai n te	--⌫|---|--⌫---|----|---⌫-⌫-|
traizfu e t	----|-|-⌫|
iu gieza tort	--⌫---||---|
etsofriango i sse	-|----|----⌫-⌫--|
porleshomesetporl es femes	--|--|----|-|--|-⌫-|----|
qu e nenferaloentles ames	-|-⌫|----|-----|--|---|
partei entdes cors	------⌫--|--|---|
eti llesen ge tadefor s	-|-⌫|--|-|--⌫-|-----⌫|
e stache liez	-⌫-----|---|
ba tu etpuis c rucef iez	--⌫-|-|---|-⌫-----⌫--|
etporta coroned espi nes	-|----|-----||----⌫--|
poroirmesseset	--|--|-----|-|
e tporce lseignora orer	-⌫|--|--⌫|------|-⌫---|
uoslog i eaum os tie r aler	--|-|-⌫-⌫|-|-⌫--⌫---⌫|---|
d onciraiie	-⌫--|---|-|
m outuolentiers	-⌫--|---------|
asigliseseta smos t i ers	-|------|-|-⌫|---⌫-⌫-⌫--|
faitliuasletdoren auant	---|-|-----||-|-|----|
uosmetencouent	--|--|-|-----|
atant ni otplusd e demore	----|||-|---|-⌫|-----|
co ngieprentetlamere plo re	--⌫---|----|-|-|---|---⌫-|
car sasel e li fuia m ise	--|-|---⌫|-|-|-|-⌫--|
alamaniereet alagui se	|-|------|-||-|---⌫-|
degales fuapar eillie ́t	-|----|-|----⌫------⌫-|
unreuel isau eit cauciét	-|-----⌫-|--⌫--|-------|
etpartotla oil al oit	-|--|--|-||-|--⌫--|
treisgauelozporter s oleit	----|------|-----|-⌫----|
lesga uelozen	--|--⌫----|-|
ueltp orter	---|-⌫----|
m aisde usen fistsamere oster	-⌫--|--⌫-|-|---|-|---|----|
por cequetropsenblas t galois	--|-|--|---|-------⌫|-----|
sieus telefait lestr eis	-|---⌫|--|---|--|--⌫--|
mo utuolent iersse peust es tr e	--⌫-|------⌫---|-|----|--⌫--⌫|
ma i n dest re	--⌫-⌫|----⌫-|
portapor son	----|--|--|
che ua l feri r	---⌫--⌫|----⌫|
ploran tle be i sealdep artir	------⌫|-|--⌫-⌫-|-|---⌫----|
lamerequimoutc hierlaue it	-|---|--|---|-⌫---||---⌫-|
etpr iedeuqueil lauei t	-|--⌫-|--|--|-||----⌫|
biaufi lzfait eled euuosdoinst	---|--⌫-|---|--|-⌫-|--|-----|
qu a mo i nenr emaint	-||--⌫||-|-⌫-----|
uosdoi nstilouque	--|---⌫--|-|-|--|
uosuengi ez	--|-----⌫-|
quant li ua sle tf uesloigniez	----|-|--⌫---⌫|-⌫|---------|
leget dunepere	-|--||--|---|
s isetrestorne etueit chaue	-⌫|-|--------|-|---|----|
samereal piede l pont ariere	-|---|-|--|--⌫|---|-----|
etgis tpasmeeen	-|---⌫|-----|-|
telm aniere	--|-⌫-----|
comsele fui lu eq uesmo rt e	--||--|-|-⌫--⌫--⌫--|--⌫--⌫|
etcilcil ledel are ote	-|--|---⌫-|-|-⌫|--⌫--|
le chace orp armie lacrope	-|-----⌫-|-⌫----|-|----|
licheual neche t necope	-|-----|-|---⌫|-|---|
ainzlen porte grant aleure	---||--⌫----|----|-----|
gran tforest oscure	----⌫|-----|-----|
et c heualchede s l e matin	-|-⌫-------|--⌫|-⌫|----|
tantqueleior u int al decl in	------|-|--|-⌫--|-|----⌫-|
fores tcelenuitiut	-----⌫|---|---|--|
tantque li	------|-|
cleriorap arut	---|--|--⌫---|
auc hantdes	-|-⌫---|--|
sesueilleetmonte	|-------|-|----|
sa aucheualcier	||-|---------|
tantq u eil u ituntref	-----⌫-⌫|-|-⌫-|-|---|
enunepraerie bele	-|--|------|---|
lez les o rdune fontenel e	--|-|-⌫-⌫||--|--------⌫|
le tref fu belagran tmeruelie	-|---|-|--||----⌫|-------|
lunemeitieenfuuermel ie	|--|-----|-|-|------⌫-|
dorf reisbende e	|---⌫---|-----⌫|
de susoutunai gle d o rez	--⌫--|--|-|--⌫--|-⌫-⌫--|
enlai gl efereit lesole il	-||--⌫--⌫|-----|-|----⌫-|
qu imou testeit cleretuermeil	--⌫|---⌫|-----|---|-|------|
sienreluiseittotlepre	-|-|--------|--|-|--|
delenluminement delt re	-||-----------|--|-⌫-|
entorle trefa l a	----|-|---||-⌫|
quiest eitle plus beld el monde	--|---⌫--|-|---|--|-⌫-|----|
aueitrameeset	----|-----|-|
et logesgalesches d re c ies	-|----|--------|-⌫--⌫-⌫--|
liuasletuersletrefala	-|-----|---|-|---|--|
etdistancoisqu iuenistl a	-|---|-------||-----|-⌫|
dexorueiieuostre ma ison	--|-|--|-|-----|--⌫---|
orfer eieiodesuois on	-|---⌫--|-|-------⌫-|
seaorer ne u osalo ie	-|----|-|-⌫-|---⌫-|
ueirdist mameret ote	---|---|-|---|-⌫--|
quim edi stque mostier esteit	--|-⌫|--⌫-|--|------|-----|
laplus bel echose	-|---|---⌫|----|
etme dist que ian etrouasse	-|-|---|--|-|-⌫|-------|
mostierq u aorern	------|-⌫|----||
le criat oren qu iioc rei	-|-----⌫-|-|--⌫|-|-⌫--|
iol iraiiaprei e r	-||---|-|----⌫-⌫|
quil me d oin stenquia ma i ngier	-|-|-|-⌫---⌫-|----||--⌫-⌫----|
quar i e en	---|-⌫|-|
ai grant mestier	-|----|------|
lorsuientel	---|----|-|
ltroueouert	|----|----|
enmiel e trefunl itc ouert	----|-⌫|---|-|-⌫-|-⌫----|
cote depa ileuei t	---|-|--⌫--|---⌫|
enmie to tesoleg e se it	----|--⌫-|---|-⌫-⌫--⌫-|
unedameis e l eendormie	--|------⌫-⌫-⌫|-------|
maisloi ncestei t sa compaignie	---|---⌫-|-----⌫|-|---------|
q u alé estei entsespuceles	-⌫|---|-----⌫--|--|------|
porcoillirf lore t esno ueles	--|------|-⌫----⌫-⌫-|--⌫----|
que par letref	--|--|-|---|
geteruoleit	----|-----|
autresicomfair esoleit	------|--|----⌫|-----|
quantli uaslet altrefen tra	----|-|-----|-|---|--⌫--|
soncheualsifortsesprocha	--|-----|-|---||-------|
q uel adameisele l oi	-⌫-|-⌫|--------||-|
si sesueil la ett ressailli	-||------⌫-|-|-⌫--------|
etliuasle t quiisnel fu	-|-|-----⌫|--|----|-|
distpuc ele io uossa l u	---|---⌫--|-|--|--⌫-⌫|
sicomma merelemaprist	-|--|-|---|-||-----|
ma mer ele m	-|---⌫|-||
apr istet d ist	---⌫--|-|-⌫--|
queles puceless aluase	--|--|------|-⌫-----|
enquel lieuqueles trou ase	-|---|---|--|--|----⌫--|
lapuceledepeortremb le	-|-----|-|---|-----⌫-|
p orleuaslet qui bellisemble	-⌫-|-|-----|--|--|-|-----|
sisetientpor fol eprouee	-|-|----|--|---⌫|-----|
d ece quesolel at rouee	-⌫|-|--|---|||-⌫----|
uaslet fait el etientaueie	-----|---|--⌫|---|-|---|
fui quemisa mis nete ueie	--|--|--|-⌫--|-|-|---|
ainzu osbaiserai parmonchief	---|-⌫-|-------|--|--|----|
faitliuasl et quiqu	---|-|----⌫-|----|
quarmamerelemenseign a	---|-|---|-||-------⌫|
ne tebaiseraia	-|-|------|-|
fait lapucelequei epuisse	---|-|-----|--|-⌫|-----|
a misnetetroisse	-⌫--|-|-|------|
ilte troue tuiesmort	-|-|----|-|--|---|
liuasletauei t lesbraz fort	-|-----|----⌫|--|---|---|
si l embrachemoutuist ement	-||-------|---|----⌫----|
quar i lne	---|-⌫|-|
so tfa irealtrement	--⌫|--⌫--|--------|
soeftot e est endue	---|---⌫|---⌫----|
et celese st mout de sfendue	-|---||-⌫-|---|--⌫------|
et g andil aquan tquele p o t	-|-⌫-----⌫|----⌫--|--|-⌫-⌫|
mes desfensem estierni ot	--|-------|-⌫-----|||-|
queliuasleten unrandon	--|-|-----|-|-|-----|
nelabaisast	-|-|------|
uolsisto non	------||--|
set f eiz sicom li c onte d it	--|-⌫--|-|--|-|-⌫---|-⌫-|
a nelen sondeiui t	-⌫--|-|--|--|--⌫|
etuneesmeraude	-|--|--------|
moutcle re	---|---⌫-|
d istfist i l ma mere	-⌫--|---|-⌫|-|---|
qu en uostredeil anelpreis e	-|-|-----|--||---|-----⌫|
maisque rens	------|---|
plus neuosfeise	---|-|--|----|
orcal anelieluoi l	-|-||---|-||---⌫|
mon a n eln aur a stu ia ueir	--|-⌫-⌫-||---⌫-⌫|-|-|---|
faitlapucelequ eiesace	---|-|-----|--⌫|-|---|
liuasletp ar le poingla prent	-|-----|-⌫-|-|----|-|----|
aforce ledeiliestent	|----|-|--|-|-----|
son deipris	--|--|---|
e nson deime imes	-⌫|--|--|--⌫---|
etdi stpu ce le bienaiez	-|--⌫-|--⌫--⌫-|---|---|
iraiiobi en paiez	---|-|--⌫-|----|
etmoutmeillor	-|---|------|
baissieru os fait	-------|-⌫-|---|
q uec hamberiere	-⌫-|-⌫---------|
queele ait	--|--|--|
maisonmame re	-----|-|--⌫-|
quarn a uezpaslaboc heamerre	---||-⌫--|--|-|---⌫-|-----|
c eleplore et	-⌫--|----|-|
dit uaslet	--|-----|
nenp ortezpas monanele t	|---⌫----|--|--|-----⌫|
quar ien sereie	---||-|-----|
malbail l ie	-------⌫-⌫-|
ettu enperdreies lauie	-|-|-|--------|-|--|
quequilta rg e ie	----|-|--⌫--⌫|-|
l tepra met	|-|---⌫--|
leuas l eta soncoernemet	-|---⌫-⌫-||--|---|-|--|
riennuledeq uantqu eilot	---|---|-|-⌫------⌫|-|-|
maisde cequeieune ́	---|-|-|--|-----⌫|
mor reit defaimamallefin	---⌫---|-|---||----|--|
un b oc el troueplein deuin	-|-⌫--⌫-|----|----|-|--|
et unhenap d arge n t	-|-|----||----⌫-⌫|
etueitsoruntroseldeionc	-|---|--|-|-----|-|---|
unet oailletot enoue	--|-⌫-----|---⌫|---|
sozlieueet	-------|-|
desoz t roue	----|-⌫---|
treisp astez	----|-⌫----|
chieure fres	------|---|
nelie noiapascestmes	-|-|-⌫---|--|---|--|
p ar l afainq uiform entlangoise	-⌫-|-⌫|---|-⌫-|----⌫--||------|
undespastezdeuant lui	-|--|-----|-----|--|
etma inga pa rmout	-|--⌫---|--⌫|---|
grantta lent	----|--⌫---|
etuersaelhenap dargent	-|----|-|----||-----|
del uinquin est e i t mie lez	--|--|--||---⌫-⌫-⌫|--|--|
et bei tsouentamoutgra nt	-|---⌫|-----||---|---⌫-|
etd i t pucelecestpastez	-|-⌫-⌫|-----|---|-----|
nesereitparm eihui	-|-----|--|-⌫-|--|
uene zmaingierquilsont mout	----⌫|-------|-|-|---|---|
assezaurach a scundelsoen	----|---|--⌫-⌫---|--|---|
si nire maindr aunentiers	-|||--⌫------⌫|-|------|
etcele ploreendem entie rs	-|---|----|-----⌫-----⌫-|
queque c illa prie	-----|-⌫-|-|---|
unquesunmot neli	-----|-|--|-|-|
etcil maingatantco ml ip lo t	-|--|-----|---|--⌫|-⌫|-⌫--⌫|
deluinq u asezenot	--|--|-⌫|---|-|-|
etpristcongietotmaintenan t	-|----|-----|--|---------⌫|
s irecourilerem anant	-⌫|------|-|---⌫----|
et commanda ade ucelui	-|-------||--⌫|----|
soiorpointnenbeli	----|----||-----|
dex uoss alt faitil bele	--|--|-⌫--|---|-|---|
mais por deu neuospois til mie	---|--|--|-|--|----⌫|-|--|
deuostreanelse io lenport	-|-----|---|-|-||-----|
ance isq ueio moir edemort	----⌫---⌫-|-|----⌫|-|---|
leuos gue re donerai ie	-|--|---⌫--⌫------|-|
enueisauostrecongie	-|---||-----|-----|
etcele plore	-|---|----|
etditqueia	-|--|--|-|
nel ecomman dera	-|-⌫|------⌫---|
quer il licouendraporlui	---|-|-|-------|--|--|
tant aueirmaletgrantenui	---|----|--|-|----|---|
en otnu lechaitiue	-|-|--⌫-|-------|
portei tant	--|--|---|
com io uiue	--|-|---|
auraise corsne aie	----|--⌫---|-|--|
sisaces que tum astraie	-|----|--|-||-|----|
eis si remestcele p lorant	---⌫-|-----|---|-⌫-----|
pui snal ag ai resde morant	---⌫||--⌫|-⌫--⌫--|--⌫-----|
sesam isq uidelboisreu int	--|--⌫-|-⌫-|--|---|---⌫--|
del uaslet	--|-----|
quesauoi etint	--|-|---⌫|---|
ui t lesesclos moutli greua	--⌫|--|-----|---|-|----|
etsa mie plora nt trou a	-||-⌫--|-----⌫-|----⌫|
etdistdame isel eie crei	-|---|----⌫----⌫|-|---|
acez enseig ne zqu eiouei	|--|------⌫--⌫|--⌫|-|--|
que cheuali eraeuic i	--|-------⌫-||-|--⌫|
nonasireiel uos	--||---|-||--|
maisun uas letgalei si	---|-|---⌫--|-----⌫||
en u iosetuil ain etsot	--⌫-⌫--|-|---⌫--|-|--|
qu iadeuostreuinbeu	--⌫||-|-----|--|--|
liplotetb onl i fu	-|---|-|-⌫-|-⌫|-|
e tmainga de uoz trespastez	-⌫|-----|-|--|---|-----|
etporcobele siplore z	-|--|-|---|-|-----⌫|
sile ustbeue t maingié	|-|-⌫--|--|-⌫|-------|
tr e stot si leuolsiseie	--⌫-⌫---|-|-|------|-|
i l ia plus sirefaitele	-⌫|||---|---|---|--|
m is anelesten laquerele	-⌫-|---|--|-|-|------|
quilema tolu	-||-|||---|
silenp orte	-||---⌫---|
io uolsissemielzestremorte	-|-------|----|----|----|
queleneus t issi	--||-|---⌫|---|
esuosceluidesconforté	-|--|----|-----------|
etango isos enson corai ge	-|----⌫---|-|--|-----⌫-|
faitil ci a oltrage	---|-|-||------|
e t des q u ill enpor tesi	-⌫|---⌫-⌫|-||-----⌫-|-|
ioq uitq ue	-|-⌫--|-⌫-|
i li ot plus f ait	-⌫||-|---|-⌫--|
ieutne lc elez ia	|--|-||-⌫---|-|
sire fai teleil mebaisa	---|---⌫|--|-|-|----|
bai sa ueireieluos dibien	---⌫-|----|-||--|-|---|
futmaleeit gremie n	--|------|--|---⌫|
leuol si stes siuos plot	-|---⌫--⌫---|-|--|---|
unquesnulcont re ditniot	-----|--|----⌫--⌫--|||-|
faitci l que ielosieangoise	---|--⌫|--|------|------|
