Tr a ianlempereorquedeables	--⌫-⌫--||-------|--|------|
quoiuas t u encontremoi	---|--|-⌫|-------|--|
Queme demandestu	--|-|-------|-|
uoizporlamor	---|--||---|
detois ui ie uenuz en ce stebest eque	-|--|-⌫-|-|----|-|--⌫--|----⌫|--|
quetum ec ono is ses	--|-|-⌫|-⌫---⌫--⌫--|
Cr ist que tu s erz e sin en sez	--⌫--|--|-|-⌫--||-||-|--|
Ie ai bienueu le saumonesque	-|-|---|--|--⌫|------|--|
tufezcha scu n ior as	-|--|---⌫---⌫|--|-|
po ures e asbesoigneus	--⌫---||-|---------|
Or mesuiuenu zatoi mostrerparcest cerf	-|-|--|----⌫||--|------|--|---|---|
T u b eesa l aprise	-⌫|-⌫--||-⌫|----|
delcer fei ebé	--|---⌫||-⌫|--|
toim aproietu	--|-⌫|----|-|
neliera sne	-|-----⌫|-|
neprendr asle cerfmesie	-|------⌫-|-|---|--|-|
ten m enraipriseli équ	|-|-⌫----|---||--⌫-|-|
il nest droi z	-||--|----⌫|
n ereisonsqueme s amis qui tanta	-⌫|------|--|--⌫|---|--|---||
fet deb ones oeuresse r ue desor enauant les	--|-|-⌫---|-----|--⌫-⌫-|--|-|-|----|--|
deablesnequilao rtles ydres quin	------|-|-|-|--⌫-|--|----|--||
ontn ese nsn e s auoirne	--|-⌫|--⌫-|-⌫|-⌫----|-|
s e c orsnaidene puent feree por	-⌫-⌫-⌫--||---|-|----|---||--|
ceui ng geenterrelem onde sauuer	-|--⌫-|-|-|----|-|-⌫---|-----|
entels emblancec ometup uezueo i r	-|--|-⌫-------|-⌫--|-|-⌫--|---⌫-⌫|
Qantlimestre descheualiersoïle cer fqu	---|-|-----|--|---------|--|-|---⌫|-|
il c u idaqui aluipar la st si	-|-⌫-⌫--|--||--|---⌫--⌫-|-|
f usiesbahiz	-⌫|-|------|
e otsigrant	|-|-|----|
chaïdesus	----|-|--|
sonpalefroiat erree	--|-------||-⌫---||
quant ilfureuenuz e i lotso n cuerrep ris	----|-|-|------||-⌫|-|--⌫|---|---⌫--|
ilsedreça	-|-|-----|
ueoir plusententiuementlamerueillequi liestoit	----|---|------------|-|--------|--|-|-----|
appareu esidistentresesdenz	-------⌫|-|---|----|--|---|
Quelmer ueille eque luision est	---|---⌫-----||---⌫|-----|--|
mestapareu eed ist	|--|------⌫||-⌫--|
Beausir e descueu rem oi edemostre cequetudiz	---|---⌫|-------⌫-|-⌫-||-------|-|--|-|--|
setuuelzqu e i e croieen	-|-|---|--⌫|-⌫|----|-|
Lorslidist	---|-|---|
Entent amoi	-----||--|
Placidasiesui	-------|-|--|
C rist qui deneientfisle cie lela	-⌫---|--|-|-----|--|-|---⌫||-|
quatre elemenzen qu atre leusmisiefisl eior	-----|------|-|--⌫---|---|--|-|--|-⌫|--|
ief is lanuit	-|-⌫-|-|---|
iefiscla rtéiefis tenieb resie fisl	-|--|---⌫---|-|--|------⌫--|-|--||
aub e c re uante	---⌫|-⌫--⌫---||
l esoleillraiantie fis l alunepor la nu it	-⌫|------|-----|-|--|-⌫|---|--|-|--⌫-|
enluminerel esestei le s	--------||-⌫-|-----⌫--⌫|
po rleciel ato rnerieesta bliletense les	--⌫|-|---|---⌫---|-|----⌫--|-|---||--|
anz e lesiorz eles	--||--|---||--|
Ie suicilqui forma homede t e rre	-|--|--|--|----|---|-|-⌫-⌫--|
Iefuicrucefiez	-|--|--------|
eenseuelizeresus citai au	|--------||-----⌫----|-|
tierz i or	----|-⌫-|
Placi dasl oïil ch aïdere chief	-----⌫--||--|-|--⌫--|-|--⌫----|
aterre adenz e p uis	|----|----||-⌫--|
parlaedist	----||---|
B e ausireiecroib ienquet u	-⌫-⌫-|---|-|---|-⌫--|--|-⌫|
escil quitotescho sesf eis	-|--|--|----|---⌫--|-⌫--|
equirauoies les desauoieza	|--|------|--|--------||
droiteuoie	-----|---|
Placidasdist	-------|---|
Siressetu cecroizuaa	----|-|-|-|----|-||
leue sque des	|---⌫---|--|
Crestiensesi	--------||-|
lidemandele	-|------|-|
sacremen t d e lbaptesme	--------⌫|-⌫-⌫|-------|
Beausirer espondi	---|---|-⌫------|
Placidasset ule	-------|-|-⌫|-|
comendesier enoncerai	-------|-|-⌫--------|
tot ceamafemeeames	--|-||-|---|||--|
enfanz carie uoi l lqu	-----|--|-|---⌫-⌫|-|
i lcroien ten toi	-⌫|------⌫|-|--|
Sires esi lorrec on te epuis	----||-|--|---⌫--⌫-||---|
receue ztoz	------⌫|--|
en semblele sacrement	--⌫-----|-|--------|
delbaptesme	--|-------|
e uosretraiezde la	|--|-------|-|-|
mauue iseuie	-----⌫--|--|
q ue uosauezmene eiusqu	-⌫-|--|---|----⌫|----|
Apre ́sreuien	----⌫-|-----|
moisitemosterrai	--|-|-|--------|
auendrae coment	------||-----|
tu uendras a uera i saludel	-|------||----⌫|---|-||
Lors descendi	---|-------|
Placidas del amontaignee	-------|-|-⌫|--------||
qan t ilfubienanuitiésicom enç a	---⌫|-|-|---|-------|-|---⌫----⌫|
a rac onter a safe me	|---⌫----||-|--⌫-|
qa ntquilauoito ï	--⌫-|-|-|----|-⌫-|
ottotco ntésaf em es esc ria eli	-|--|--⌫---|-|-⌫--⌫||---⌫--||-|
Be ausiredolz u eiste s	--⌫-|---|---|-⌫-----⌫|
crucefiéque licrestien seruenteaorent	--------|--|-|-------|------||-----|
Cil estsouerainseuerais	--|--|--------||-----|
Dexniln est	--||-||--|
Dexforsl u iquientelmaniererauoie	--|---|-⌫-⌫|--|-|--|------|-----|
lesde suoiez e	--|--⌫-----||
lesmescreanzfe t	--|--------|--⌫|
croire l adroi te creance	-----|-⌫|----⌫-|------|
Her soirne p lusloingleuiieaus i e	---⌫---|-|-⌫--|----|-|-|-|---⌫||
Demaine l io r	-----|-⌫|--⌫|
tis m a r i zetienfant uene ztu itam oi	--|-⌫-⌫-⌫-⌫||-|-----|----⌫|--⌫-||-⌫-|
Orsaiiebie nqu eceest	-|--|-|---⌫|--⌫|-|--|
Cristquiuos ten telfigureee n	----|--|---⌫|-|--|-----||-⌫|
la formedel aueraiecroiza toiaparoir	-|----|-|-⌫|-----|----||--|------|
por ceq uet usache s sa forcee son	--|-|-⌫-|-⌫|-----⌫|-|----||--|
poo ireque t ucroiesen lui	---⌫-||--|-⌫|-----|-|--|
Alonsd on cenes lepasesi	----|-⌫--⌫|---|-|--||-|
dem andonsl esain t baptesmea screstie ns	---⌫-----|-⌫|----⌫|-------|-⌫|-------⌫-|
c arparl esign edel baptesmesunt	-⌫-|--|-⌫|----⌫|--|-------|---|
ligeq uienlui croient	---|-⌫-|-|--|------|
Demeismes dist	-|------|---|
Placid asme distilqantil parla amoiA	------⌫-|-|---|-|---|-|----||--||
sanzplus atendreesanz l eseude	---|---|------||---|-⌫|--|-|
lor mesniee il	--|------|-|
e nalerent al	-⌫|------|||
euesquedescre stiens	------|--|---⌫-----|
e re noncerentce qu ilauoi entueu	|--⌫--------|-|-|-|----⌫--|--|
e fete dit e quanti l orentconeu	|--||--||----|-⌫|----|----|
quilcreoient e n	-|-|-------|-⌫|
Cristill idemanderentles ig ne del saintbaptesme	----|-|-⌫|----------|-|-⌫--⌫-|--|----|-------|
Lieuesqu esot grant ioi ede cequiloï	-|------⌫-|-|----|---⌫|-|-|-|-|--|
egloref ia	|------⌫-|
Se ignorqui neluineu el tper dre equant	--⌫----|--|----|-|-⌫--⌫|---⌫--||----|
il otassez	-|-|----|
sermonédelal oias cre stie ns	-------|-|-|-⌫-|-|---⌫----⌫-|
siles baptisaelno n de l	-|--|------|-|--⌫|--⌫|
Esperit e lor	------||--|
chanialornons	-----|--|---|
Placida in apela	-------⌫-|----|
Th eopi teslainznédes	--⌫----⌫--||------|--|
The opithon	---⌫------|
Apré ssil ordona le sai nt seirm ent	-----⌫|-|-⌫-|---|-|---⌫-|-----⌫--|
Crist puis	----|---|
les comendea	--|------||
Cristsoi t auecuos e	----|---⌫|---|--||
uie pard u rable quei esai bie nquelifilz	--|----⌫-⌫----|--|-⌫|--|---⌫|--|-|---|
De u estenuostrecompaigni e	--⌫|--|-|-----|---------⌫|
Deuu ospri qa nt uo s	--|-⌫-|--|--⌫-|--⌫|
seroizenlaioiedepa radismenb r euo sde	-----|-|-|---|-|--⌫----|----⌫-⌫|--⌫|-|
moi sicom ilmem enberradeuosA	--|-|--|-|-|-⌫------|-|--||
Baptistesoiez uoz co mend ez	-------|----|--|--⌫----⌫-|
Qan tc eui nt aumati n	---⌫|-⌫|--⌫-|-|----⌫|
Eustacesatot nesa iqanz cheualierssen	-------|---|-|--⌫|---|---------||-|
a la e nl am o ntai gn e eq antilfurentpr es	-⌫-|-⌫|-⌫|-⌫-⌫----⌫--⌫||-⌫--|-|-----|--⌫-|
ouil auoitueulauision il	-|-|----|--|-|-----|-|
se d eliuraauplusbeau qu	-|-⌫-----|-|---|---|-|
ilpotdesescompaig nons	-|--|-|--|-------⌫---|
eaprism a toz seusauleu e u itl auision	|------⌫|--|---|-|--||-⌫-|-⌫|-----|
entel formeeen telmani erecom	-|--|----||-|--|----⌫--|--|
deuan t ue ue	-----⌫|--⌫-|
Lors chaïil aterretot	---|----|-||----|--|
a denzesescri a	-⌫---|||-----⌫|
Beau sireiesai bien quetu es	---|---|-|--|---|--|-|-|
Crist lifi lz	----|-|--⌫-|
Or croiie el	-|---|-|-|
quetu me most res	--|-|-|----⌫--|
aspieçapro mis	-|-----|---⌫--|
Siresli respon di	----|-|------⌫-|
Orest ubeneurez	-|-|-⌫|-------|
Eustaces cartuasre ceu lesaint	-------|--|-|-|--⌫--|-|----|
b aptesmeei es r eue stuz deldon	-⌫------||-⌫-|-⌫---⌫---|--|--|
par durable	---⌫------|
tuuenculedeablequitalonguem ent	-|----|-|-----|--|||-------⌫--|
Setucroizor le	-|-|----|-|-|
mostrepar bo nes o eure s carfoi sa nz	-----|--|--⌫--|-⌫----⌫|--|--|--⌫-|
oeu resestmortec ho see bie nsaches	---⌫--|--|----|-⌫--⌫-||---⌫|-----|
tuquelid eables te	-|--|-|-⌫-----|-|
gue rroi era por l enuie epor	---⌫----⌫--|--||----||--|
le corroz deceque tulas	-|-----|-|-|--|-||-|
re l en qui equerra	--⌫-⌫--⌫--||-----|
arteenginparquoiil tepuisse tenter	--||----|--|---|-|-|-----|-----|
Mainteschosestecouen draa soffrir por auoircoronede	------|-----|-|-----⌫--||------|--|----|-----|-|
uic toireporque tuaies uiepardurable	---⌫----|--|--|-|---|--|---------|
estéiusquao reessauciez ehonor ezes	----|----||-⌫-|--------||-----⌫-|-|
besoignesdel siegle	--------|--|-----|
e estemporexrich eces	|-|-------|----⌫---|
Orte couien t humilierele i ssierleboban	-|-|------⌫|-------||--⌫-⌫----|-|----|
e lauanitédelsieg leaprés	|-|------|--|----⌫-|-----|
serasessauciezderechiezes esperi texriche s ces	----|--------|-|------|-|------⌫--|-----⌫-⌫--|
Orgardedoncqu e forcee	-|----|---|--⌫|----||
uertunet ef a illeaubeso ing	----|-|-⌫|-⌫-⌫---|-|----⌫--|
Ne te souiegne ia dela	-|-|-------|-|-|-|
g rant hon orquetuas	-⌫---|---⌫-|--|-|-|
eu encest siegle mestotausi come	-|-|---|-----|--|--|---|---|
tuas est é angoissex defere darmes ede	-|-|---⌫-|--------|-|---||----||-|
g uerroiertesanemis e d auoir uictoir e por	-⌫-------|--|-----|||----|-------⌫|--|
plereau mor tel empereor	----|-|---⌫--|-------|
tot a usisoies	--|-⌫--|----|
c urieusdetoid effendredes ag u eze des assa uzau	-⌫-----|-|--|-⌫-------|--|--⌫-⌫-||--|----⌫-|-|
deableed eluimetre sozp iez por	-----||-⌫|--|----|--|-⌫--|--|
moiseruira	--|-----||
mam orgarder	|--⌫-|-----|
quisui emperer esde pardurable	--|--|-------⌫-|-|---------|
Cari l couientque t usoieztente zausi c omefu	--|-⌫|------|--|-⌫|----|-----⌫|---|-⌫--|-|
Iobequet u ueinques ledeablepa rfine	--||--|-⌫|-------|-|-----|--⌫|---|
pacie n c e	-----⌫-⌫-⌫|
Orgar deb ien quet u ne pensesmauue stiée que	-|---⌫-|-⌫--|--|-⌫|-|-----|-----⌫----||--|
tune soies dece uzne	-|-|----|----⌫-|-|
ensens n eenpens carqanttu	-|---|-⌫|-|---|--|---|-|
seras bienhumiliez	----|---|-------|
iereuie ndraia to isi temetraila	-|-----⌫----||--⌫|-|-|-----|-|
pr is et erandrait a premie rehonor	--⌫-||-⌫|------|-⌫|------⌫-|----|
etapremier eg loire	|-|-------⌫|-⌫----|
Qantilotce dit ils	---|-|-|-|--|-||
en montaelcie lmes il dist auanta	-|----|-|---⌫|--|-|---|----||
orendro it receuoir lestem ptationsou enla	-------⌫-|-------|--|---⌫-------|-|-|-|
findet auie	--|-|-⌫|--|
Pr enaton choislequelquetuam er as	--⌫-||--|----|-----|--|-|--⌫--⌫-|
E ustaces li	-⌫------|-|
Ie tepri beau	-|-|--|---|
si lesten sique	|-⌫|--|--⌫-|--|
ie puisseesch iuer lest emptati onsquetum	-|-----|----⌫---|--|-⌫-------⌫--|--|-||
as deu iseescomend eq ueel es uiegnent présentement carie	-|---⌫----|------⌫|-⌫-|--⌫-|-------|------------|--|-|
les aimore mielza	--|--|--|----||
soffrirmes donemo i	------|--|---|--⌫|
po oiref orce	--⌫--||-⌫---|
de pac ie nc e	-|---⌫--⌫--⌫|
quem esaue rsaires ne	--|-⌫-|---⌫------|-|
mep uistoupar fetou par	-|-⌫---|-|--|--|-|--|
parolegit erde ta creance e bastonermoncuer	-----|---⌫---|-|------||-------|--|---|
emapen see	|-|---⌫--|
Eustace so i esforzeuai nq uer res car	------|--⌫-⌫-|---||---⌫--⌫---⌫--|--|
magrace se ra	-|----|--⌫-|
toz iorz auecuosquigardera	--|---|---|--|--|------|
Apréscerepaira	-----|-|------|
Eustaces ason ost elsinonc ̧aasa fame	-------||--|---⌫-|-|----⌫-||-|---|
Siresliauoit	----|-|----|
ditelors semistrentenduia	--||---|-|-------|----||
c outese agenouz eproierent	-⌫----|||-----||--------|
Seignorentelmanier e	------|-|--|------⌫|
Beausire ihesu	---|---|----|
Cris tlauostre uol entésoi tfete	----⌫|-|-----|---⌫----|---⌫|---|
fetesde nosuostre pleisi r	----|-|--|-----|------⌫|
Nedem orami egranmen taprés quetotelor	-|---⌫--|--⌫|-------⌫|-----|--|---|--|
mesnieechaïrentenunegrantenfermetéem o rurente nbrief	------|--------|-|--|----|---------||-⌫-⌫-----|-⌫|----|
tenselise rgen t	---||-|--⌫----⌫|
eleschamberieresAces tfet a perçut bi en	|--|-----------||---⌫|--|-⌫------|--⌫-|
Eus tacesqueceestoi t comenc em entdes	---⌫----|--|-|-----⌫|------⌫--⌫--|--|
temptati ons silesreç ut engrez e	--------⌫--|-|--|----⌫-|-|---||
engraceseprioitdou cementsa	-|-----||-----|---⌫-----|-|
forcene pacie ncen elifausis tau b es oing	----|-|-----⌫--|-⌫|-|------⌫|-|-⌫--⌫---|
Unpoiapré s auintqueuns airscorrumpuz	-|--|-----⌫|----|--|--|---|--------|
morte xenuaï sescheuaxesesbestese	-----⌫|-----|--|-----||--|-----||
latornasiquil neliremest	|-----|-|-|-|-|-|-----|
neuachenebrebiznecheual	-|----|-|-----|-|-----|
neautrebe stenule	-|----|--⌫--|---|
Ces te temptationreçut il	---⌫-|---------|-----|-|
de bonere me nt e san zmoleste ese	--⌫------⌫--⌫-||---⌫|------||-|
departi enrepost	------|-|-----|
desono stelatotsa fame eses	-|--|-⌫---|---|-|---||--|
Qantcesore nt euirent	---|-|----⌫-||-----|
limauuésuo isinilentrerentensam ei sonpar	-|------|--⌫---|-|--------|-|-|-⌫--⌫--|--|
n uiterauirent	-⌫--||-------|
i lporentrauirl ore	-⌫|-----|----||-||
largenteles robe ssi	|-----||--|----⌫|-|
q uil nelorremest	-⌫|-|-|--|-----|
detoteslo r rich e cesfors cequil	-|----|--⌫|----⌫-⌫--|---|-|-|-|
auoient en tor	------|--⌫--|
Uniora uint li	-|--|-⌫---|-|
Romainfeiso ientgr antfestep o rune	-----|-----⌫---|--⌫--|----|-⌫-⌫|--|
uic toi requ	---⌫---⌫-|-|
ilauo ie nteue en	-|---⌫--⌫-|--|-|
couenoitque	-------|--|
Plac id asf u st a	----⌫--⌫-|-⌫-⌫-||
celeg rantf est ecome	---|-⌫---|-⌫---⌫|---|
cilquiestoitm e str es	--|--|-----|-⌫-⌫---⌫-|
des cheualierseprinces	--|---------||------|
de ssenatorsLenlequi stsinel	--⌫|-------||-|-|---⌫-|-|--|
p o te ntro uer	-⌫-⌫|-⌫|---⌫--|
Molts enme ruei lloient	---||-|--⌫----⌫------|
tui t q u esi sodainement	---⌫|-⌫-⌫|-|----------|
estoitadire zne rien nauoitleissiédels ue nne	-----|-----⌫|-|---||----|-------|--|-⌫--⌫|-|
nelp ooitlen trouer	--|-⌫---||-|-----|
es toitdol enz	--⌫---|---⌫--|
lie mperereselis enato reseme rueill oientmolt	-|-⌫-------||-|-⌫-----⌫||-|--⌫------⌫----|---|
auenturequies toitauenue	-------|--|--⌫---|-----|
Lors lidist	---|-|---|
Sire qu atendonsnos ci	---|-|-------|--|-|
uenez pr en o nsnos deusenfan zi tant	----|--⌫--⌫-⌫-|--|---|-----⌫|-⌫---|
auo n s nos	---⌫-⌫|--|
deremenantsi nos partonsde ci	-|-------|-|--|------|-|-|
ca rnossomese ndespite	--⌫|--|----|-⌫|-----||
en re proc heatozcelsqui nosconoi ssent	-|--⌫----⌫-||--|---|--|--|-----⌫----|
Qantilfuta nuitié	---|-|--|-⌫------|
il pristrentlor	-|--------|--|
deusenfanzsi se nalerentdroituers	---|-----|-||-⌫|------|----|---|
E gypteeqantilfurent	-⌫----||---|-|-----|
a lédeusio r nees e il	-⌫--|---|--⌫-⌫---||-|
apr ismierentala merilt rouerent unenef	---⌫--------||-|--|-|-⌫-------|--|--|
appare ill ieesiuostrentanz	------⌫---⌫--|-|-------|--|
Limestresde celenefestoit bar barins	-|------|-|---|--|-----|---⌫-----|
crueushomesanzpitiétotesuoies entrerent	-----|--||---|-----|----|----|--------|
il aueclu ie	-|---|--⌫||
na gere nt	--⌫----⌫-|
lan efuitlafame	-|-⌫-|--|-|---|
Eu st ace siauenante si	--⌫--⌫--|-|------||-|
lagolosa ecouoi taformen teq uant	-|-----||-----⌫-|------⌫||-⌫---|
ilfurent arriuéildemandaloier del	-|-----|------|-|------|----|--|
For cequil n	--|-|-|-||
o rentd ontilsepoï ssent aquiterli	-⌫---|-⌫--|-|-|----⌫----|------|-|
mariniers retin tladame por	--------|-----⌫|-|---|--|
leloierelauostauo ir a son hués	-|----||-|---|---⌫-||--|----|
Eustace sq ui	-------⌫|-⌫-|
ceui tneli uos t	-|--⌫|-|-|---⌫|
otro ier ainzlicontretintl onguement esop ploioit	----⌫--|---|-|---------|-⌫--------||---⌫------|
deboner ementlibarbarins	-------⌫----|-|--------|
gu ignoite feisoitsign es	--⌫-----||------|----⌫-|
asesn oton iersquillegita ssenten	|--|-⌫----⌫---|-|-|-|----⌫----|-|
Eust ac e s lap erçu tsi lor	----⌫--⌫-⌫||--⌫-----⌫|-|--|
leissasafame s ipr istentre	-----|-|---|-⌫|--⌫--|----|
se sbrazses deus	--⌫|---|--|---|
enfanz s i s	-----|-⌫||
ena laplorant eplaignant	-|-⌫-|------||--------|
en telm aniere	-|--|-⌫-----|
Mi douzenfantt a ns uosestm esauenueamoi	-|---|-----|-⌫-⌫-|--|--|-⌫------|||--|
ausica ruostre m ere est	---|--⌫|-----|-⌫--|--|
r au iedestrangeg enz	-⌫--⌫-||-------|-⌫--|
