enlamarchede	-|-|-----|-|
s asi gnouriesi	-⌫|--⌫------|-|
la cu elli degu e rre	|-⌫--⌫---|-|--⌫-⌫--|
etchil auoiten aide le r oi d egaule	-|---|----|-|---|-|-⌫-|-⌫|----|
ettouts onp ooir siperdi m o ultaramon s	-|---|-⌫-|-⌫---|-|----|-⌫-⌫--|------⌫|
enlag uerrequitrop d ura .	-|-|-⌫----|--|---|-⌫--||
lorsuint aute rpandragon	---|---||---⌫---------|
qui roisestoitdela	--|---|-----|-|-|
gra ntbertaigne sideuintses	---⌫-|--------|-|-----|--|
honsparcouent	---|--|-----|
que illimenastsag uerre.	--|-|-|-----|-|-⌫----||
ensiuterpandrago n	---|------------⌫|
passamei ra	----|---⌫||
t ou t son	-⌫--⌫|--|
pooiretoirentnouel esq ue lisignourages de	----|-|-----|-----⌫-|-⌫-|-|----------|-|
ga ule estoit tourneisdeuers cl aud a spor	--⌫--|-----|-------|-----|--⌫---⌫-⌫|--|
aleir encontrea ramontqu iuenoit	----|-------|-⌫-----|--⌫|-----|
entrelui etut er pandragon.	----|--|-|--⌫--⌫--------||
lors courur ent andui so ur clauda ssi le descon fire nte tl i	---|------⌫--|----|--⌫-|------⌫|-|-|------⌫----⌫-|-⌫|-⌫|
tolir enttoute sa terreethors	-----⌫--|----|-|----|-|---|
l encachi erent	|-|-----⌫----|
e tfu la ter rede	-⌫|-|-|---⌫-|-|
toussenssioutreementdestruiteque	---|---|-|---------|--------|--|
onquesne reme stenforte recepie re	-----|-|----⌫-|-|-----⌫---|---⌫-|
sourautr efo rs	---|----⌫|--⌫-|
chite de boorgesquifu g a rdee defe u e t	----|-|------|--|-|-⌫-⌫---|-|--⌫|-⌫|
n efu mie des tru ite par le comm ande ment uterpandragonpourc he	-⌫|-|--|---⌫---⌫--|--|-|----⌫----⌫---|------------|---|-⌫-|
qu e il se recordaquei l	--⌫|-|-|------|--|-⌫|
e steineis.	-⌫---|---||
apre sche s e nretournauter pandragon senbertaigne	----⌫|--||-⌫|-------|----⌫---------⌫|-|--------|
etquant ili	-|----|-||
demore ́ c om luiplot s i sen	------⌫|-⌫-|--|---|-⌫||-|
p assaenl agrantbertaigne	-⌫---|-|-⌫|----|--------|
etd eslor sen auant	-|-⌫-|---⌫|-|----|
fulame noursbertaignedeso usleroiaume de	-|-|--⌫----|--------|----⌫-|-|------|-|
log re s .	---⌫--⌫||
rois ara monsfu	---|---⌫---|-|
mors etuterpa nd ragonsetlaterredelogre	---|-|------⌫--⌫-----|-|-|----|-|----|
fuenl amain le roi artusi sorrentguerres	-|-|-⌫|---|-|--|---|-|------|------|
enbe rtai gn e	-|--⌫----⌫--⌫|
enpluso ursli ex gu erroioientler oiartu	-|-----⌫--|--⌫-|--⌫---------|-|-⌫-|---|
le plu sde sbarons	-|---⌫|--⌫|-----|
e t chefuel	-⌫|--|-|-|
comme nche ment deson r e gnem entnen	-----⌫----⌫---|-|--|-⌫-⌫----⌫--|-||
auoitenco r e	----|----⌫-⌫|
laroi ne ge ni eure	-|---⌫-|--⌫--⌫---|
gai restenu e.	---⌫--|----⌫||
siot moult afaire de t outespars .	-|-|----||----|-|-⌫----|---||
lorsrepristclaudas saguerrequitant	---|------|------|-|-----|--|---|
lauoitentrelaissiecaril	|----|-----------|--|-|
auoit saterretou te rec ouuree si to st com	----|-|----|---⌫-|---⌫-----|-|--⌫-|--|
li roisaramons	-|---|------|
lo rs recom men chaaguerroierleroibande b enoych	--⌫-|-----⌫---⌫--||--------|-|--|--|-|-⌫-----|
pourchequealuimarchisoit etpourcheque	---|--|--||--|---------|-|---|--|--|
homa uoit e stei aramontpar q u i	--|-⌫---|-⌫---|------|--|-⌫-⌫|
ila uo iteuperdue s at err e si lo ngue ment	-|-⌫--⌫-|-|-----|-⌫|-⌫---⌫|-|--⌫----⌫---|
etquet antlauo it	-|--|-⌫--||---⌫-|
nusitantcomil auoitesté	---|---|--|-|----|----|
aude sous .	-|--⌫---||
a cheltanses toit uenusde	|---|---|--⌫---|----|-|
roumez z conselgdegrantrenon	----|-⌫|------|-|----|----|
poi n cesanthoinessi aidaa	---⌫-⌫--|--------|-|---||
cla udasetli baill a	---⌫---|-|-|-----⌫|
tout lepoo rdega ule et descontrees	---|-|---⌫|-|--⌫--|-|--|-------|
quide s ous es toient.	--|--⌫-⌫--|--⌫-----||
sic onreere nt	-|-⌫-------⌫-|
si leroi bandebenoych	-|-|--|--|-|------|
queil litolirent sa chitede	--|-|-|-------|-|----|-|
b enoychettoutes autrete r ref orszzsien	-⌫-----|-|----||----|--⌫-⌫-|-⌫--|-|---|
chastelquiauoitnontrebe siestoit	------|--|----|--|----|-|-----|
elchi e fd esa	-|---⌫-⌫|-⌫|-|
ter re e tsi esto it	---⌫-|-⌫|-|----⌫-|
si for s que rien s	-|---⌫|--|----⌫|
nulen ed outoitau tansdelors fors	---|-⌫|-⌫-----|-|---|-|---|---|
a famer outraison.	-⌫----|-|------||
m aisu n iourpristrentsianemizzsien castela	-⌫--|-⌫|---|--------|-|----|-|---|-----||
f orce q uiestoit a mains dey yl i uespres	-⌫---|-⌫-|-----||----|-|-⌫|-⌫-⌫--|---|
dec he lu ietillaloit	-|-⌫--⌫--⌫|-|-||----|
secouree t	------|-⌫|
seuolo i tmetre	-|----⌫-⌫|----|
et quantiluit quechil dehors	-|----|-|--|--|---|-----|
estoientiadedensaforce	-------|-|-----||----|
sise ferienlost	-|-|---|-||--|
etiletsicheualier do ntilen	-|-|-|-|--------|--⌫-|-|-|
iauoitdemoultpreus	|----|-|----|----|
et ilme ism es auoit estei	-|-|--⌫---⌫-|----|----|
ren omés deproechemeruellous e.	---⌫----|-|------|----------⌫||
ileucochistrentmoultdecheualiers de l ost	----|---------|----|-|---------|-||--|
le s fisenta eus	--⌫|-----||--|
entendreque t ous	-------|--|-⌫--|
liassausr emeist	-|-----|-⌫-----|
et cou rut tout elos t p our encombr er	-|---⌫--|----⌫||--⌫|-⌫--|-------⌫-|
leroibanetses ge nstoute s etl e	-|--|--|-|--|--⌫-|-----⌫|-|-⌫|
mis tr e nt ala	---⌫--⌫-⌫-||-|
maistrop io rent demoréscarpon cesantoinesa tous	---|---||-⌫---|-------|--|---⌫--|-------||---|
sesgens q uideuerslafore stlo r uint a u	--|---|-⌫-|-----|-|----⌫-|--⌫|---|-⌫|
deua ntsio tteilf aisd egent	----⌫-|-|-⌫|---|-⌫--|-⌫|---|
rois ba nsne li siennele	---|--⌫-|-|-|---|-|-|
porent soffr irs i	-----|-----⌫-|-⌫|
furenttoutsi	-----|---|-|
compa ig n on quemort quepris forsseulement	-----⌫--⌫-⌫-|--|---|--|---|---|--------|
maisdetant s	---|-|---||
r ois bansquill or	-⌫--|---|-|-|-⌫-|
ochistpoi n chonanth oinelo r	-----|---⌫-⌫---|----⌫---|--⌫|
signore tfisttantdarm espui squil ne	-----|-⌫|---|---||---⌫-|---⌫--|-|-|
fuque soiqu art quetous	-|--|--|--⌫--|--|---|
lesromains	--|------|
mistenu oieet lescacha	---|-|-⌫--|-|--|----|
ass eistantq ueclau dasi	---⌫--|-----⌫-|----⌫--||
uintpoignan t	---|-------⌫|
toutadesr oideuant	---||----⌫-|-----|
les autre s .	--|-----⌫||
quantliroisbansleuit	----|-|---|---|-|--|
s idis t u neparolequi	-⌫|---⌫|-⌫-|-----|--|
bienapartient ahommedeserité.	---|--------||----|--------||
ha diex di stil	-|---|--⌫-|-|
iauoi iou chi monanemi mortel.	-|--|--|--|--|----|-----||
qui tant eshonorsma uésdouneesotroiés moi	--|----⌫-|-----||-⌫---|------|-------|--|
que ieloch ieetanch oi smure iea ueuc lui	--|-||---⌫-|-|----⌫--⌫|---|-|-⌫---|--|
biaus si re d i exqueil sen	----|--⌫-|-⌫-⌫-|--|-||-|
carlor s seroient	--|---⌫|-------|
tout es mesdoloursaso uagies.	----⌫-|--|------|---⌫-----||
atantio usterent	----|--⌫-------|
silabat il iroisbanssidureme nt	-||----⌫|-⌫|---|---|-|------⌫-|
quet outessesgens quide rent	--|-⌫----|--|---|-----⌫---|
f ustm ors.	-⌫--|-⌫--||
etlo rs sen par tili roisban set	-|--⌫-||-|---⌫-|-|---|---⌫|-|
l ies car b i en quidoit que	-⌫--|--|-⌫-⌫-|------|--|
saproierefustac omplie	-|------|---|--⌫-----|
siferitan tdeses poronsq uil	-|---|---⌫|--|--⌫-----|-⌫|-|
dedenslequartiourfuprislicastiausouclaudas	-----|-|----|---|-|---|-|-------|-|------|
etlorsuint ausoir	-|---|---|-|---|
liroisbans	-|---|---|
dedens trebe etquant i l sotq uech iln	-----|----|-|----|-⌫|--|-⌫-|--⌫-||
e s toitmiemors	-⌫-⌫---|--|---|
sienotsigra nt d eu la sonc uer	-|-|-|-|---⌫-|-⌫--⌫||--|-⌫--|
qu eonquesmaispui s	--⌫|-----|---|---⌫|
neni ssietbienfu pui s	|-|-⌫--|-|---|-|---⌫|
apariss ant.	-------⌫--||
clau d as sistdeuanttreb emoultlon gement	----⌫-⌫-|---|-----|----⌫|----|---⌫-----|
e tl ir ois bansauoit plusoursfoi s	-⌫|-⌫|-⌫--|---|----|-------|---⌫|
enu oiépour se cou rsau roi	---⌫---|---|--⌫---⌫-|-|--|
l iroisartusauoi t	-⌫|---|----|----⌫|
faire demaintes	----|-|------|
parsqu il nes e	---|-|-|-|-⌫|
p ooitmie legier ement entremetreda utruibesoig n e .	-⌫---|--|------⌫----|---------||-⌫----|------⌫-⌫||
etlir oisboorss esf re res	-|-|-⌫--|----|-⌫-|-⌫--⌫--|
kimoultliauoit	-|----|-|----|
aidiégisoitd el mal de	-----|-----|-⌫-|--|-|
lamortetcascuniourcouroient	-|---|-|-----|---|--------|
liforrier parmisaterrec ar	-|------|----|-|----|-⌫-|
elema rc hisoitale terr edebenoichp ar	--|--⌫--⌫-----||-|----⌫|-|------|-⌫-|
d euerstrebe.	-⌫----|----||
quant claudas u itqu i l neprender oitmie	----|------|-⌫-|-|-⌫|-|-------⌫--|--|
le castel legiereme ntsi prist unparlement au roi	-|-----|---------⌫-|-|----|-|--------|-|--|
done rentseurteli unsa laut rede sau f	----⌫---|-----|-|--|||---⌫-|-|---⌫|
aleretsau fuenir	---|-|---⌫|----|
lirois bansu in tau par lementsoi tiers	-|---|---|-⌫--⌫|-|---⌫-----|--|----|
sansplus s ifuses	---|---|-⌫|-|--|
se n escausliuns	--⌫-⌫-----|-|--|
desyyet uns siens cheualiers auoeque s .	--|-|-|--|----|---------|-------⌫||
etautr esiuint claudassoitiers sansplus	-|----⌫--|---|------|--|----|---|---|
etf uliparlemensdr o it	-|-⌫|-|--------|--⌫-⌫-|
d eu antlapo rt ed u cast el .	-⌫--⌫--|-|--⌫--⌫|-⌫|----⌫-||
lic astiauxs eoit	-|-⌫------|-⌫---|
en hautetils	-|---|-|-||
estoientde sou s logi é s.	-------|--⌫---⌫|----⌫--⌫||
etlitertres	-|-|------|
esto itmo ultrui stes	----⌫-|--⌫--|---⌫---|
etmoultanieus	-|----|-----|
am ont er.	|-⌫---⌫-||
quant claudasuitleroi	----|------|--|-|--|
bansis eplainstdepoi nchon anthoinepremierementquil	--|-|-⌫|------|-|---⌫----|-------|-----------|-|-|
liauoitoch is.	-|----|---⌫-||
se plaintdesa ter re	-|-----|-|-|---⌫-|
tolue sansrais on	----|---|----⌫-|
uo us toli	--⌫-|---|
miefaitclaudaspour	--|---|------|---|
uousm auiésfa iten e	---||-----|--⌫--|-⌫|
pourhaineque	---|----|--|
iai eauous mai spourle r o i	|--⌫||---|---⌫|---|-|-⌫-⌫|
artuq ue uoust en eis asignorcarse s	---|-⌫-|---|-⌫--⌫--||-----|--|--⌫|
pe r es uterpan drag onsmedesirita.	--⌫-⌫-|-------⌫----⌫--|-|-------||
uousuoleisieuousferoiebiau plaitsaisisiés	---|-----|-|---|-----|---|----|---------|
moi dech e stch a stelet ie leuous re nderai	--|-|--⌫-⌫-|--⌫-⌫---|-|-|-|---|--⌫-----|
ma intenantparteilcouen tquetantostdeu endrésmeshom et	--⌫-------|--|---|-----⌫|--|------|---⌫------|--|--|-|
tendrés demoitou teu ostreterre.	-------|-|--|---⌫-|-⌫----|----||
che ne feraii emie	--|-|----|-⌫|--|
fait liroisbanscarie m e pariurero ieenue rs	---|-|---|---|--|-|-⌫|---------⌫-|----⌫-|
leroi artuquihom i e	-|--|---|--|--|-⌫|
suiliges .	--|----||
oru ous diraidonques	-|-⌫--|----|------|
fait claudasqueuousferoisenu oiés aartuqueil	---|------|--|---|-----|---⌫----||---|--|-|
uoussequerededensyyiours	---|------|-----|-|----|
et sedede ns che lterme ne uo usa	-|-|----⌫-|---⌫|----|-|--⌫-||
s ecourut rend eismoilecastel et deuenés	-⌫------|----⌫--|--|-|-----|-|-------|
t ou teuostreterreetiel e uous	-⌫--⌫-|-----|----|-|-|-⌫|---|
a croisterai der iches	-⌫---------|-|-⌫----|
lirois distquil senconsell era	-|---|---|-|-||-|-------⌫--|
etlematinlisauraadire ou ma nderl e	-|-|----|-|----||---|-|--⌫---|-⌫|
qu el iluaudrafairelerendre oulecon tr etenir	--⌫-|-|-----|----|-|-----|-|-|---⌫--⌫-----|
atant senpartilirois	----||-|----|-|---|
bansetsessene sca us furemeisunpoi	---|-|--|----⌫---⌫-|-|-----|-|--|
claudasalisenescausfait ilie s ai bie nque	------||-|--------|---|-|-|-⌫-|---⌫|--|
chistcha itise stm al heu reus	----|---⌫---|-⌫-|-⌫--⌫---⌫---|
cariadel roiartu secoursnaura	--|-|--|--|---|------||---|
tout liroisbanspa r foleatente	---|-|---|---|--⌫|---|-----|
etmoipo ise	-|--|--⌫--|
moult que uo usestesent ourteilhommed on tbiens ne	----|--|--⌫-|----|---⌫--|---|----|-⌫--⌫|----|-|
uouspue tuenir c artrop	---|---⌫|----|-⌫-|---|
aioidire bien	-|-|---|---|
d euousetpourcheuousloeroie	-⌫|---|-|---|--|---|------|
iequeu ousuous enuenisiés odmoi.	-|--|-⌫--|---|-|--------|-|--||
e t sauésuousqueieferai deuous	-⌫|-----|---|--|-|----|-|---|
ie uousafierailoia ume ntqueieuousdonrai	-|---|------|----⌫---⌫-|--|-|---|-----|
cestregnesitos tc omiel auraicon quiset	---|----|-|---⌫|-⌫-|-||----|---⌫---|-|
tousio urs ser éssiresdemonpoo i r	---|--⌫--|---⌫--|----|-|--|---⌫-⌫|
etseieuou spren gaforchechepesera moi	-|-|-|---⌫|----⌫||-----|--|-----|--|
quantil conu enra qu e	----|-|----⌫---|--⌫|
ie u o usfache mala s ses cariou aiiu rei	-|-⌫-⌫-|----|--|-⌫-⌫--|--|--|-|--⌫--|
sor sai nsquei anus nert	--|---⌫-|--|-⌫|--||--|
prinsde che ste guerreq uil nesoitoc his	----|-|---⌫--|-----|-⌫|-|-|---|--⌫--|
ouenp risonnéssans issirforsia mais anul	-|---⌫--------|---|----|---|--⌫---||--|
tanton tpa rleiensanblequelisenescaus	---|--⌫|--⌫---|-------|--|-|--------|
lifianchaa a idierdeson	-|------||-⌫----|-|--|
poor sa n sl ecors son	---|--⌫-⌫|-⌫|---|--|
si gnourt rairneu en dre	--⌫----|-⌫---|-|-⌫--⌫--|
etclaudasli fia nchema in tenant quesi	-|------|-|---⌫---|--⌫--⌫-----|--|-|
tost comil aur oi ttr ebeque illirenderoit	---|--|-|---⌫--⌫|--⌫--|--|-|-|--------|
toute l aterre etil	----|-⌫|----|-|-|
endeu endroitseshom	-|---⌫------|--|--|
atantdepartirentsisen retourneclaudasa	----|----------|-||-|-------|------||
etlis enesc au s	-|-|-⌫-----⌫--⌫|
banreu i ntatrebe	--|---⌫-⌫-||----|
etdist au roibanqueclaudas	-|---|-|--|--|--|------|
amou ltparlei ali etket ropua udro its	|---⌫-|-----||-|-|-|-⌫--|--⌫----⌫-||
amo ur auoir .	---⌫-|----||
etque men loésuous	-|--||-|----|---|
faitli roisbans.	---|-|---|---||
sirefait i llemie xqueieiuoies i	---|---|-⌫|-|---⌫|--|-||---|-⌫|
est q ueuou smeismes ailliés crier	--|-⌫-|---⌫|------|-------|----|
merchiauroiartucarb iense ra gard éche	-----|-|--|---|--|-⌫--|--⌫-|----⌫-|--|
que uous auésag arderdusquesa	--|---|----||-⌫----|------||
uost rereuenue.	----⌫-|------||
lo rsuin tli roi s bans a	--⌫-|---⌫|-|---⌫|---||
laroin es i licontecomment clau das	-|----⌫|-⌫|-|----|------|----⌫--|
liauoitrequisarendre so ncas teletm eueut	-|----|-----||-----|--⌫|---⌫--|-|-⌫|---|
faiti liure rqu esitost	---|-⌫|----⌫|--⌫|-|---|
comill aura me	--|-||---|-|
reue st iradecestui et	----⌫--⌫--|-|-----|-|
det outel autreterr e.	-|-⌫---||----|----⌫||
mais ie sai cest ui	---|-|--|----⌫-|
asidesloial quesil	|-|-------|--||-|
auoitorecest	----|--|---|
castel ilnem elerenderoit	-----|-|-|-⌫|-|--------|
ia maisne c hestuine de toute l autreterre	--⌫---|-|-⌫-----|-|-|----||----|----|
maisi elendoi respondre demai n que ie n	---|-⌫||-|--|--------|-----⌫|--||-⌫|
uaudraifair ecar il me	------|----⌫|--|-|-|
requier tqueie enuoi eamo nsignor l eroi	-------⌫|--|-|-----⌫||--⌫|-----|-⌫|--|
med onratrieuesdecest cast el	-|-⌫---|------|-|---|----⌫-|
desi a yy iour s.	---||-|----⌫||
seme secort messi r es	-|-|-----|--|--⌫-⌫-|
lirois diex merchi	-|---|---|-----|
et se ilme s ecortiel e reuestira i deces t	-|-|-|-|-⌫----|-|-⌫|---------⌫|-|---⌫|
lareinequi mou lt cr ient	-|----|--|---⌫-|--⌫---|
led es irrete me n t	-|-⌫--⌫------⌫--⌫-⌫|
liloequee nsile	-|--|--|-⌫--|-|
facec a r quantli roisartus uoussera	---|-⌫-⌫|----|-|---|----|---|---|
faillisquiuousai dera	------|--|---|--⌫---|
damefai til puiske uo us	---|---⌫|-|-----|--⌫-|
uo us i acorde ́sieleferai	--⌫-||------⌫-|-|-|----|
e tsau e isu ousquei	-⌫|---⌫-⌫-|-⌫--|--||
aienpenseia fai re	-|-------||---⌫-|
iemesmes iraia u ro iartuetsili	-|-----|---|-⌫|--⌫|---|-|-|-|
criera i merc h i de mon	------⌫|----⌫-⌫|-|--|
desiritement .	-----------||
etil ena ragrig nourpitieque	-|-|-|-⌫-|----⌫---|----|--|
niestoiecaril me	||-----|--|-|-|
uer ra prese ntetseieienu o i oieautr emessageriens	---⌫-|-----⌫-|-|-|-||---⌫-⌫-⌫--|----⌫|------|----|
nemeualdro it	-|-|------⌫-|
carnusnestsibi encreusde	--|--||--|-|--⌫-|----|-|
ma lesnouelescom	--⌫--|------|--|
c h iexqu iporteensengesappari ssans	-⌫-⌫--|--⌫|----|-------|------⌫----|
o reuousaparelliésc aruousiuenrés	-⌫-|---|----------|-⌫-|---||------|
auoekesmoiet ne menronsde	------|--|-|-|------|-|
nulesgensque	----|---|--|
mon fil etun seul es cuierqu inous	--|--|-|-|---|--⌫----|--⌫|---|
fera che quilnousert m esti er	---|--|-|-|---|--|-⌫----⌫-|
carieueulq uegrans pitiespre ngemonsignour	--|-|---|-⌫-|----|-----|---⌫--|--|------|
de magr a ntdolorquantil	-|-|--⌫-⌫-|----|----|-|
leuerra etsachiésquenou s	-|----|-|-------|--|---⌫|
mouueronsenco re anuit	--------|----⌫-|----|
etgar dés queuouspregni és tout letresor	-|---⌫---|--|---|------⌫--|---|-|-----|
queuous porois cha ienstrouer et sauoir etde	--|---|-----|---⌫---|-----|-|-----|-|-|
ioi a uset	---⌫-⌫-|-|
de uaselem enteetsim eté stouten	-|-------⌫---|-|-|-⌫----⌫|---|-|
mes grans cofrescar	--|----|-----|--|
iene saiquelchose est aueni rd emon	-|-|--|---|----|--||----⌫|-⌫|--|
chastela ins que iereuignecarpournule riens ne	------|-⌫--|--|-|------|--|---|---|----|-|
uaudroieque	-------|--|
uousremeisiss iés e nauentur enemiepourcho uque	---|---------⌫---|-⌫|-------⌫|-|--|---|---⌫|--|
ia iepaourde chestchastel quilsoit	|-⌫-|----|-|----|------|-|-|---|
iapr isaf orche mais nusnesepuet	-|--⌫-||-⌫----|---|--|-|-|---|
garderdetra is on.	-----|-|---⌫--⌫-||
ains icomlir ois	----⌫|--|-|-⌫--|
ledeuises aaparelli él aroin e	-|-----|||--------⌫-|-⌫|----⌫|
e tquantelea sonoir e ap par ellié ele li	-⌫|----|--||--|---⌫|--⌫---⌫-----|--|-|
distketoute est	---|-|----|--|
lors e slitlirois	---|-⌫---|-|---|
de toussesuar les chel ui	-|---|--|---⌫--|----⌫-|
ou plussefioitet l idistqu ei l	-|---|-|----|-|-⌫|---|--⌫|-⌫|
gart queri ennefailleenson ronchin car	---|--|--⌫-|-|-----|-|--|------|--|
cheuauc hier licouu enraencor anuit.	-------⌫---|-|----⌫---|----|----||
l iuarlesam amoultso n seignoursifist mo ult	-⌫|-----|--⌫|----|--⌫|-------|-|---|--⌫--|
tostson commandementetil auo itl erochi ngrant	---|--|-----------|-|-|---⌫-|-⌫|-----⌫|----|
to sta lan tetbien apparellié de	--⌫-|-⌫---⌫|-|---|----------|-|
toute schoses.	-----⌫|-----||
etlorsuint liro isa son s enescal etl i	-|---|---|-|--⌫-||--|-⌫------|-|-⌫|
des cueureson corageco mmentilueuta	---⌫-----|--|-----|--⌫----|-|---||
lacourtleroiartuale r etieme	-|----|-|--|---|---⌫|-|-|-|
fi e plusen uousq ueennul	--⌫|---|-|---|-⌫-|-|--|
autrehommecar	----|----|--|
moultuousa itou sioursameisiuouscommant	----|---|-⌫|---⌫|----|---|-|---|------|
moncastelagarderautresi commelecu e rdem on	--|-----||-----|------|----|-|--⌫-⌫|-|-⌫-|
etdemai ndiro isauroi	-|-----⌫|----⌫-|-|--|
clau das queie	----⌫--|--|-|
aienuoiéa	-|------||
monsign o ur	--|----⌫-⌫-|
le roiartu etli	-|--|---|-|-|
feroistelseur t e c om il uaudra quese	-----|--|----⌫-⌫|-⌫-|-|-----|--|-|
iene su iparmon sign or le roiartu	-|-|--⌫|--|--|----⌫-|-|--|---|
secourusde densyy ioursd el chastellereuesti raia	-------|--⌫---|-|----|-⌫-|------|-|-------⌫--||
sonplaisir .	--|------||
mais gardé squeil	---|------⌫|--|-|
ne sacheia que	-|----|-|--|
horsd echiensme us car petit p ri seroitpuisletenement	---|-⌫|-----|--⌫-|--|----|-⌫--⌫-----|---|-|-------|
del cha s telquei eseroieho rs	--|---⌫-⌫--|--|-⌫|-----|--⌫-|
si r efaitli traitrenaiés	--⌫-⌫|---|-|------||----|
garde cariouenpens eraimoultb ien.	----|--|--|-|----⌫---|----|-⌫--||
chelen uitse couchalirois bansauqu es	----|-⌫--|-|-----|-|---|---|----⌫-|
par tansca r le sn usestoient	--|---|--⌫|--⌫|-⌫-|-------|
courtes etch e	------|-|--⌫|
dist licontesla	---|-|-----|-|
nuit de la miea oust.	---|-|-|--|-⌫---||
lirois fuen	-|---|-|-|
esfro ide l uo iageq ue i lau oitafaire	-----⌫|--⌫|--⌫---|-⌫-|-⌫|--⌫--||----|
car moultli estoi tsorlecol .	--|----|-|-----⌫|--|-|--||
siselieuebien	-|-|----|---|
yy lieues ains	-|-----|---|
et q uantl es se lesfurent misessorle sche uaus	-|-⌫---|-⌫-|--⌫--|-----|----|--|--⌫|---⌫---|
furen ttoutatorneisi	-----⌫|---|------|-|
co mma nda adieuson sene scal etsonchasteletto us	--⌫---⌫--||---|--|----⌫---|-|--|------|-|--⌫-|
lesa utres gens.	--|-⌫----|---||
et lorssen issi li rois	-|---||-|---|-|---|
par zzpetit ponc he l de	--|-|----|----⌫--⌫|-|
cloies qui e sto it sour	-----|--|-⌫---⌫-|---|
lep etiteriuiere qui desous le	-|-⌫----|------|--|-----|-|
chastelestoit	------|-----|
ne lichastiaxnestoit as sis qued	-|-|-------||-----|--⌫--|--||
etsiestoit lisiegesplusde	-|-|-----|-|-----|---|-|
yyt raitiesloinsla oui lestoit le	-|-⌫------|----|-|-|-⌫|-----|-|
pl uspre s parlariuiered	--⌫-|---⌫|--|-|------||
autrepar tnepooit nulegentseorcarli	----|---⌫|-|----|---|---|---|--|-|
maroisi estoit	-----||-----|
g ransetpar fons neil niauoi t	-⌫---|-|---⌫---|-|-|||----⌫|
