messirenobles li	--|---|-----|-|
cipues tu bien sauoird e fi	-|---|-|---|-----|-⌫|-|
ue ulliésou nonretourneras	--⌫------|-|--|----------|
uer sler oygarirneporras	---⌫|-|-⌫-|----|-|-----|
renar torne	-----⌫|-|-|
tesmaiemie	|-----|--|
quarioursualtm ieu squey y	---|----|---|-⌫---⌫|--|-⌫|
licoarsd oubte adeslamort	-|----|-⌫----|---|-|---|
cousinss oies d ebonconfort	------|-⌫---|-⌫|--|------|
for tunesecou rt auhardis	---⌫---|-----⌫-|-|-----|
c en ons racon te lies c ri ps	-⌫|-⌫--|-----⌫-|-|--⌫-⌫--⌫-|
rena rs o itquecilz	----⌫-|-⌫-|--|---|
le s armonne	-|-⌫------|
etq uem oul tbonconse il lidonne	-|-⌫-|-⌫---⌫|--|-----⌫-|-|----|
pre n tc uersisenen tr e oupales	---⌫-⌫|-⌫--|-||-|--⌫--⌫|-|----|
grimbertdeuant renarapres	-------|-----|----|----|
ren ars ne	---⌫--|-|
samblepasuillain	-----|--|------|
son cousin ten o itparla	--|-----|---⌫-⌫-|--|-|
n iace llui quinel esg art	|||--⌫---|--|-||---⌫--|
roycom ainsle uit	--|--|---|-|--|
sagenoullaetp uislidit	|--------|-|-⌫--|-|--|
b onsroys li	-⌫--|---|-|
filzsaincte mari e	---|------|----⌫|
uousgartet uostre	---|---|-|-----|
compaig nie	-------⌫--|
libaro n sunt tuit	-|----⌫|---|---|
ha n u llui	-|-⌫-⌫---|
q uis o itsios	-⌫-|-⌫-⌫-|-|-|
ne crinenoise	-|--|-|----|
liroy sparlarenart se	-|---⌫|----|-----|-|
puisli adit	---|-||--|
parfelonnie	--|-------|
ce s alusneuousren iemie	-|-⌫---|-|---|--|-|--|
rousu el im eux d eputelo y	---|-⌫--⌫--⌫--|-⌫|---|--⌫|
autrementparlerésa	--------|--------||
ainsquep a rce sd e cestestaigne	---|--|-⌫-⌫---⌫|-⌫|---|-------|
nonslairésuou s iecuitbongaige	---|------|---⌫|-|---|--|----|
iecuit c elle rousepelice	-|---|-⌫---|----|-----|
quant tu te do r s dede nstalice	----|-|-|--⌫-⌫|----⌫-|-|---|
tu necuide sia repairier	-|-|-----⌫|-|--------|
tout lemonde cuid es engignie r	---|-|----|----⌫-|--------⌫|
mais souuentau onsoydire	---|------|--⌫--|-|---|
quap resgrant io ie uient grant	-|--⌫--|----|--⌫-|----|----|
tous mes b a rons hasengignie ́s	---|--|-⌫-⌫---|--|--------⌫-|
par tonm alicem ehaigni és	--|--|-⌫----|-⌫-------⌫--|
telguer redon tenferairendre	--|----⌫----||-|----|-----|
q ueparlec oul tenfer ai	-⌫-|--|-|-⌫--||-|---⌫-|
renar s soust moultd affaitement	-----⌫|----|----||----------|
sir espondimoul tsai g em ent	-|-⌫------|----⌫|---⌫-⌫--⌫--|
iesui uostr ehomet uous	-|--|-----⌫|--|-|---|
de moy n edeués	-|--|-⌫|-----|
ch ose di re	--⌫--|--⌫-|
quiestremedoieennuisance	--|----|-|---|-|-------|
mais uousestes de t el poissance	---|---|----|-|-⌫-|--------|
quegittermepoésdeterre	--|-----|-|----|-|----|
carsof frir nepuis uos treguerre	--|---⌫---|-|---|---⌫--|-----|
et si doubtmou ltmesanemis	-|-|----|---⌫-|--|-----|
cepoisemo y se	-|----|--⌫|-|
iai m espris	|-|-⌫-----|
derienqui a uous apparteigne	-|---|--||---|----------|
sed ieuss anteetb ien	-|-⌫---|-⌫---|-|-⌫--|
medoi ngne	-|---⌫---|
telu ousontfaitlemalent endre	--|-⌫--|--|---|-|--|---⌫----|
et poruousuersmoy e ntr eprendr e	-|--|---|---|--|-⌫---⌫-------⌫|
quene le porroientprouuer	--|-|-|--------|------|
m ensongespueenttreuer	-⌫-------|-----|-----|
mais auoirdires aii e b ie n	---||---|---|-⌫-|-⌫|-⌫--⌫|
uersuous n aiiemespris de rien	---|---||-|-|------|-|---|
iamaispr eudons niertamez	-----|--⌫-----||---|---|
necilqu i d ient uer ite z	-|--|--⌫|-⌫---|---⌫---⌫|
mai s ains ne uousuu eldeceuoi r	---⌫|---|-|---|--⌫-|-------⌫|
sir edist grimbertildituoi r	---⌫|---|-------|-|--|---⌫|
pardieumes tieruous	--|---|---⌫---|---|
durement u ous	-------|-⌫--|
ci lq uiont esmeutelplait	--⌫|-⌫-|--|----|--|----|
pardi eune uaulro i t	--|--⌫-|-|------⌫-⌫|
pour nulle rien ceque ildie nt	---|----|---|-|--|-|---⌫-|
tuitcilfontmal qui	---|--|---|--|--|
mal endient	--|-|----|
thieb ers lichaset bru ns se plaint	-----⌫--|-|---|-|---⌫-|-|-----|
e tc h antecler	-⌫|-⌫-⌫-------|
p ointn e sefa int	-⌫---|-⌫|-|--⌫--|
pou rce neld eués	---⌫|-|-||-⌫----|
fori u gier	----⌫-⌫---|
felonnieiugier	-------|-----|
liroy s p arlac ommesenés	-|---⌫|-⌫---|-⌫---|-----|
seign orfait	-----⌫-|---|
ilor esc outés	-|-|---⌫-----|
ysengr in s estamoy	------⌫-||--||--|
qui tan test desués	--|---⌫|--|------|
etdansr oolimastins	-|---|-⌫-|-|------|
q uir esceit	-⌫-|-⌫-----|
de plusi eurs	-|-----⌫---|
s estclame ́squeenmonme ssaige	|--|-----⌫-|--|-|--|--⌫-----|
lifistrenarmoultg ra ntoutrai ge	-|---|----|----|-⌫--⌫-|------⌫-|
do nt iesuiforment courreciés	--⌫-|-|--|------|----------|
par dieu mais i enseraiuengiés	--|---|---||-|----|-------|
renart distnobl esli lyons	-----|---|----⌫-|-|----|
respontetnoust e scouterons	------|-|---||-⌫---------|
setudisbien nousy tenrons	-|-|--|---|---||------|
set u di s	-|-⌫|--⌫|
renarr espon tsire bienditez	----|-⌫-----⌫|---|---|----|
bien auezditne suipaz quittez	---|---|--|-|--|--|------|
des semontesqu e	--|-------|--⌫|
mauezfa ite s	|---|--⌫---⌫|
queu o us ma ués iciretr aites	--|-⌫-⌫-||-⌫---|--|----⌫----|
dys engrinetdelamasang e	|--⌫-----|-|-|-|------⌫|
mescondiiecom ment	|------|-|---⌫---|
quilpraigne	-|-|------|
etdu courbel	-|-|------|
etde coupee	-|-|-----|
quidi tque ie laiesclope e	--|--⌫|--|-||-|-------⌫|
chanteclern efisoutra ige	---------|-⌫|--|-----⌫--|
neaucorb eldes on fr o ma ige	-|-|----⌫-|-|-⌫-|--⌫-⌫--⌫--|
b runslio urs ses t demoyclamez	-⌫---|-|-⌫--||--⌫|-|--|-----|
certesator tsen	-----||---⌫||-|
estcl a més	--|--⌫-⌫---|
ainsne perditparmoysape l	---|-|-----|--|--|-|--⌫|
ain snefismala ysengrin	---⌫|-|--|--||-------|
a tortmaccus entm iuoisin	|---||-----⌫--|-⌫|-----|
m ale grace madieus don nee	-⌫--|----|||----|---⌫--|
maisitelzestma d estinee	---|----|--|-|-⌫------|
qu eiasi biennesau rai	--⌫|-|-|---|-|---⌫--|
quenem e tourneacontraire	--|-|-⌫|-----||--------|
cert esmoult haiaceuxbienfa it	----⌫-|----|--||---|---|--⌫-|
quiormoultpourchacie ce stpl ait	--|-|----|---------|--⌫-|--⌫--|
mauéscifaitsemon dre	|----|-|---|-----⌫--|
etie sui touspres	-|-|--|---|---|
dere spondre	-|--⌫------|
auiugementdeuosttrecourt	-|-------|-|------|----|
a cestmotr ooacourt	|---|--|-⌫-|-----|
etmes sire peles liras	-|--|---|----|-|--|
et pintequi pont les oefs	-|----|--|---|--|---|
etsi rechantec le r li cos	-|--⌫-|-------⌫--⌫|-|--|
tuitgiettentsurrenartl e u r	---|-------|--|-----|-⌫-⌫-⌫|
tuitf ontdeuant leroy l or plainte	---|-⌫--|-----|-|--|-⌫-|------|
l a namestierparolefaincte	-⌫|||------|-----|------|
saingne amaine sclenq ue	------||---|-⌫------⌫-|
bienuo it n a	---|--⌫-|||
mestier delosenge	------|-|------|
or orl i c ouuientson sen ses pend re	-|-|-⌫|-⌫------|--|---⌫|--⌫----⌫-|
gra ntpaour ha	---⌫-|----|-|
renarde pendre	----|-|-----|
mou ltestcheusenmalslien s	---⌫-|--|----|-|---|----⌫|
m oultserabonsrech oriens	-⌫---|---|---|----⌫-----|
seil par b ourdesleureschape	-|-|--|-⌫-----|---|------|
sansp erdre chaperonou ch ape	---|-⌫----|-------|-|--⌫--|
dis troy snobles qu euous	---⌫|---⌫|-----|--⌫|---|
renarrespont ie	----|------|-|
u ous pleuis	-⌫--|-----|
quien mal fait ne	--|-|--|---|-|
queenuersauxneuss e	--|-----|--||----⌫|
ildirontceq ue iluaulront	-|-----|-|-⌫-|-|-------|
etsilmesdientmalfe ront	-||-|-------|--|--⌫---|
sainsimeu ole ́ s	|----|-|-⌫---⌫-⌫|
en treprendre	--⌫---------|
ués mec itout presd edeffendre	---|-|-⌫|---|---|-⌫|--------|
oupar iu ise oup ar ba tail le	-|--|--⌫--|-|-⌫-|--⌫----⌫-|
ilne me chaut	-|-|-|----|
lequel san sfaille	-|---|---⌫|-----|
ysengrinest sail li s enplace	-------|--|----⌫--⌫|-|----|
auroypriene lidesplace	-|--|---|-|-|-------|
se sadroitureueult pro uuer	-|-|-------|----|---⌫---|
touts ansmenso n ge contre uer	---|-⌫--|-----⌫-⌫-|------⌫--|
roysnoblescom mandequi ldie	---|-----|---⌫----|-|-⌫|--|
qui lecontredie	--|-|--------|
distysengrinrenartenten	---|-------|-----|----|
cilsqui mon droitatten	---|--|--|----|----|
desg rans anuisquetumasfais	--|-⌫---|----|--|-||-|---|
quenonsauonsiciretrais	--|---|----|--|------|
suntancor amendé	---|----|------|
si l auoitliroys	-||----|-|---|
parmo i se ul uue lq ue soit	--|--⌫|--⌫-|---⌫|-⌫-|---|
detousuosanemis	-|---|--|-----|
hamestiertrouuerd	-|------|------||
ned e chic o ntreuerme n songes	-|-⌫|--|-⌫-⌫------|--⌫-⌫-----|
renartdetanttepue suenter	-----|-|---|-|---⌫|-----|
bi ensceis aufauxmessec hanter	--⌫-|----|-|---|----|-⌫-----|
choseb ien cogn eue	----|-⌫--|----⌫--|
mai n tebestehas	---⌫-⌫-|----|--|
tuiesde tele auctorite	-|--|-|---|--------|
toinapointdeuer ite	--|||----|-|---⌫--|
atan tes b esteshasfait h o nte	|---⌫--|-⌫----|--|---|-⌫-⌫--|
nestnuls qui	|--|---|--|
e nsaichele	-⌫|-----|-|
tume feisiaiourc roire	-|-|---|-|---|-⌫----|
bi ensceis cesteparoleest u oire	--⌫-|----|----|-----|--|-⌫---|
quier es en	-|---⌫-|-|
paradisterrestre	------|--------|
bienmefaiso iesherbepestre	---|-|-----⌫--|----|-----|
que laians pooit ontrouuer	--|-----|----|-|------|
q uamqueonpo oitdemander	-⌫-----|-|--⌫--|-------|
tou te sm aniere s depoissons	---⌫--⌫|-⌫------⌫|-|-------|
ainguilleset lus	---------|-|--|
deto utestoitli lieusgarnis	-|--⌫-|-----|-|----|-----|
lui fues ch arn is	--|-|--⌫--⌫---⌫-|
quicuidaquedeissesuoir	--|----|--|------|---|
mais ienefi smiesa uoir	---|-|-|--⌫|--|--⌫---|
mo u lt m engign asenycelleh ore	--⌫-⌫-||------⌫-|-|-----|-⌫--|
ouseel ent rai	-|---|---⌫--|
sansdemore	---|-----|
e tlaco rdesedes tourtoi lle	-⌫|-|--⌫--|-|---⌫-------⌫--|
tuestoies enl	-|------|-||
aut r e soille	---⌫-⌫|-----|
ie aual ai ettumontas	-|----⌫-|-|-|-----|
quante nmile	----|-⌫--|-|
puis men contras	---||--⌫------|
ie demandaiou t u	-|-------|-|-⌫|
tudeis que	-|---|--|
ce st la coustumequi aduient	|-⌫-|-|-------|--|------|
quant liun sualiautresu ient	----|-|--⌫|-|-|-----|-⌫---|
denfer es toi esescha pés	|----|--⌫---⌫-|-----⌫---|
esto ie en trapés	----⌫-|--⌫------|
illuecremeis	-----|-----|
tusenissis	-||-|----|
tout ench epoint	---|-|--⌫|----|
metraissis	-|-------|
decou x y rec uitel aport	-|---⌫||---⌫-|--|----|
que i efui l aissiésc om me mort	--|-⌫|--|-⌫-------|-⌫--⌫-|---|
ancor m en duelent tuit	----||-|------|---|
li memb re	-|----⌫-|
mou ltsu i dolensquan til	---⌫-|--⌫|-----|----⌫|-|
men membre	|-|-----|
puis mefeisalerpe sch ier	---|-|---|---|--⌫---⌫--|
et enleaue ta ntacrochi er	-|-||---|--⌫-|-------⌫-|
toute lacoeo i en g elee	----|-|--|-⌫|--⌫-⌫---|
et dedens la glaces eellee	-|-----|-|----|-⌫-----|
d i lluecn eme p oi desaherdr e	|-⌫----|-⌫|-|-⌫-|---------⌫|
ains m icouuint	---|||------|
la co eper dre	-|--⌫|---⌫--|
ysengrin di sletuacerte s	-------|--⌫|-|-||-----⌫|
quepar moyaiesycesperdes	--|--|--|---|---|-----|
tuestoiest ropangoisseux	-|------|-⌫--|---------|
etd espoi ss onst ropcouuoiteux	-|-⌫-|---⌫--⌫--|-⌫--|---------|
ian encuidoi es prouauoir	-||-|------⌫-|---|----|
ychesu elt on	---|--⌫--|-|
di reporuo ir	--⌫-|--|--⌫-|
quitre st out couuoite tout p ert	--|---⌫--⌫--|-------|---|-⌫--|
che diiebien tout	--|-|-|---|---|
renartbientesceis	-----|---|-|----|
e tmoydepar ole	-⌫|--|-|---⌫--|
nepou r oiehui	-|---⌫-⌫--|--|
au oirret raict	--⌫--|---⌫----|
lemalquetum as dit	-|--|--|-||-|--|
lau treiour oitale nt	|--⌫--|---|-|----⌫-|
lorsm esceustub ien	---|-⌫|----|-|-⌫--|
qui medeis que celerie r	--|-|---|--|-------⌫|
tauoitonfaitd	|----|-|---||
un grantceli er	-|----|----⌫-|
lamem enas feletcuuers	-|-|-⌫---|--|-|-----|
a schanté de maluai s uers	-⌫|------|-|------⌫|---|
hadistrenar tor	-|---|-----⌫|-|
de ce su ibien enmo n	-|-|--⌫|---|-|--⌫|
q uetantbeusquetous fus	-⌫-|---|---|--|---|--|
lorsteuentas	---|-|-----|
quetoutsans liures	--|---|---|-----|
chanteroies bien condu it	----------|---|-----⌫-|
lorschantasa sitres grantbrui t	---|------||-|---|----|----⌫|
cil delauilleuinrent	--|-|-|----|------|
eta grant merueillele tinrent	-||----|--------|-|------|
quantie tel b r uituen iroy	----|-|--|-⌫-⌫--|---⌫-|-|
poiiem ai sse menfoy	--|-|-⌫--⌫|-||----|
retenusfuss e a bi en	------|----⌫||--⌫-|
iemenfuyp lus	-||----|-⌫--|
tostque poi	---|--|--|
uo usdem ourastésentrepris	--⌫-|---⌫--------|--------|
s iuousbatire ntiequ enpuis	-⌫|---|------⌫-|-|-|-|---|
renarsre narmoultsc eisdebo ule	-----|--⌫--|----|--⌫--|-|--⌫--|
t u tiesgit té s	-⌫||--|---⌫---⌫|
de maintefoul e	-|-----|----⌫|
glo usiamefeis	---⌫-|-|-|---|
tu coronne	-|------|
d eaueboullantcommeape rsonne	|---|-------|----||--⌫-----|
ne m e re meitpoilsur	-|-⌫|--⌫---|---|--|
puis t enalasfaisantl a moe	---||-|---|------|-⌫|--|
demo ydeuoies	-|--⌫|------|
moinnef a ire	-----|-⌫-⌫--|
che rtesmoult ies	---⌫---|----|--|
de putaffai re	-|--|-----⌫-|
tronconmedonnasdainguille	------|-|-----||--------|
ba rat etpar	--⌫--|-|--|
pour moyespenre etal echier	---|--|------|-|--⌫-----|
enmainsmalzmas	-|----|---||-|
fait t rebichier	---|-⌫--------|
renar s respont	-----⌫|------|
pargrantc onfor t	--|----|-⌫-----⌫|
sireysengrinuousaués tort	---|-------|---|----|---|
yche uo us	---|--⌫-|
d itouten apert	-⌫|---|-|----|
hayrenartrop ai soffert	--|----|---|-|------|
t o ngrant annuitongrant	-⌫-⌫|----|----|--|----|
maisieme uengerai	---|-|-|-------|
iaauras laba tailleal	-|----|-|--⌫-----|||
distrenar et iebi en la	---|----|-|-|--⌫-|-|
de ba taille son gaigetent	-|--⌫-----|--|----|---|
ysengri netlir oys	-------⌫|-|-|-⌫--|
renarapres lesien	----|----|-|---|
sique liro ysbien lentendit	-|--|-|--⌫-|---||-------|
sor nesceitr ena rdescremie	|-|-|----|-⌫---⌫||-------|
laba taille	-|--⌫-----|
li royslesostaigesdemande	-|---|--|-------|------|
ne liest bonque plu sattende	-|-|--|--|--|---⌫|------|
ysengrin lessi enshaliurés	-------|--|--⌫--|-|------|
etrenarlessiensadmenés	-|----|--|----|-------|
li baron sesuntdepar ti	-|----|-|---|-----⌫-|
maistrop mal ontlegeu p art i	---|---|--|--|-|--|-⌫---⌫|
e ntre renart etysengrin	-⌫---|-----|-|-------|
q ui moult estoientmaluoi sin	-⌫-|----|-------|--|---⌫--|
ren ar nest pasdetelpuissance	---⌫-||--|--|-|--|--------|
comysengrinmaissafia nce	--|-------|---|-|---⌫--|
auoitrenartensesc remie	----|-----|-||---⌫----|
pour ceha labataille	---|-|-|-|-------|
engigneuxestet cil zet fors	--------|--|-|---⌫|-|---|
maissessen suaultyygra nstre sors	---|--|---⌫|----|-|---⌫-|---⌫---|
ta nt oustaescremirapris	--⌫-|---||-------|----|
que den ulluinen fu	--|-|-⌫----||-|-|
tantso us t r ena rluites ettours	---|--⌫--⌫|-⌫---⌫|-----|-|----|
etdebatail lestouslestou rs	-|-|------⌫--|---|--|---⌫-|
ains quysengrinsb aillier	---|-|--------|-⌫------|
li brise ra oup iesoucuisse	-|-----⌫-|-|-⌫--|-|-----|
ysen grinententmoultael	----⌫---|-----|----||-|
enuaensonh ostel	-|-|-|--|-⌫----|
et e nsondroit fo rme ntsefi e	-|-⌫|--|----|--⌫---⌫-|-|--⌫|
et renarmoultens escr emie	-|----|----|-||----⌫---|
seil l epuetau	-|-|-⌫|---|-|
po ings baillier	--⌫---|-------|
formentlefe ratrauil lie r	------|-|--⌫-|------⌫---⌫|
yse n gri nfuenmo ul tgrantp ainne	---⌫-⌫---⌫|-|-|--⌫--⌫|----|-⌫----|
darmesporchaciermoult sepainne	|----|---------|----|-|-----|
etda nsrenar t tout auxement	-|--⌫-|-----⌫|---|-------|
pourchacoi tarmes duremen t	----------⌫|----|-------⌫|
b ien s e stysengrinsatorne ́ s	-⌫--||-⌫-|--------|------⌫-⌫|
etrenarric hem ent ar més	-|----|---⌫---⌫--|--⌫---|
ala c ourtestuen us renar	|-|-⌫---|--|---⌫-|----|
etysengrin de	-|-------|-|
l autr epart	|----⌫|---|
libaronfurentassamb lé	-|----|-----|------⌫--|
chaucunsa dittoutson pense	-------||--|---|--|----|
renartnefupasesperdus	-----|-|-|--|-------|
hautfurooign i ése ttondus	---|-|------⌫-⌫--|-⌫|-----|
yse ngrinloust en gr an t despi t	---⌫----||---|-|--⌫--⌫|-----⌫|
fo rce prisepetit	--⌫--|----|----|
m a isaua n t quille tein gneau ma ins	-⌫-⌫-|---⌫-⌫|-|-|-|----⌫--|-|--⌫--|
seraplusmaledesquesains	---|---|------|--|----|
herme line ou	-----⌫---|-|
moultgrant	----|----|
pourrenartfuengrant	---|-----|-|-|----|
a da medi eudecu erdepr ie	|--⌫----⌫-|-|--⌫-|----⌫-|
quile gartdeperdrelauie	-||-|---|-|-----|-|--|
h ersenspriepoursonseignour	-⌫-----|---|---|--|-------|
li facetelhonour	-|---|--|-----|
tui tuo nt acortetp ou re etr iche	---⌫|--⌫-||---|-|-⌫--⌫-|-|-⌫---|
ysengrinmettraenl abriche	-------|-----|-|-⌫|-----|
ilpuetpar bata ille	-|---|--|----⌫---|
mais n eualtses	---|-⌫|---|--|
enginsmaaille	-----|------|
quantliroysuoitsage n t ue nu e	----|-|---|---|-|--⌫-⌫|--⌫--⌫|
par cuila bat ail l e erttenue	--|--|-|---⌫---⌫-⌫|--|----|
b richemerfait auant uenir	-⌫-------|---|----|----|
p ou ra co rde r etpo urtenir	-⌫--⌫|-⌫--⌫---⌫|-|--⌫-|----|
brichemerestue nusauant	--------|--|--⌫--|----|
et ditqui lferason	-|--|-|-⌫|---|--|
o soiapp ell e trois barons	|--|---⌫---⌫|----|-----|
quiestoientde g r ans	--|-------|-|-⌫-⌫--|
ce leupart baucentetbru nl ours	-|------|------|-|---⌫||---|
r e no mmé su ntentoutes cour s	-⌫-⌫--⌫---|--⌫-|-|-----|----⌫|
ilsunt tuit	-|---|---|
auant uenu	----|---|
i lsunt moult	-⌫|---|----|
pou rsaigesten u	---⌫|-----|---⌫|
t uituont a	-⌫--|---||
distbrich emer ieme merue il	---|-----⌫---|-|-|-----⌫-|
conrenart os e	--|-----|--⌫|
dont ielai	---|-||-|
oyacc use r	-|---⌫---⌫|
aroonnel etathiebe rt	|------|-||------⌫-|
eta bru nlo urt	-||---⌫||-⌫--|
quiichi est	--|---|--|
et a utres cl am or syha tantes	-|-⌫----|--⌫--⌫--⌫||-|-----|
que ienesaiadire quantes	--|-|-|--||---|------|
pintese pl aintet	----|-|--⌫---|-|
thiec helin	-----⌫----|
touthaprissur	---|-|---|--|
luiysengrin	--|-------|
p ortrestou sha	-⌫-|-------⌫|-|
tendusongaige	----|--|----|
etenso ntliuré	-|-|--⌫-|-----|
l i ostaige	-⌫|------|
po is torapaisie r	--⌫--⌫|-|-------⌫|
lema l osteret ab ais sier	-|--⌫|----|-|--⌫---⌫---|
ic efustbon c emest	--⌫|---|--|-⌫||--|
ainsois qualastdemalenpis	------|-|----|-|--|-|--|
etdist baucensbi enauésdit	-|---|------|--⌫-|----|--|
tuit lo t troientsanscon tre dit	---||-⌫-⌫------|---|---⌫---⌫--|
lorssuntuenud euantleroy	---|---|---|-⌫----|-|--|
etlidienttui t a recoy	-|-|----|---⌫||----|
sirelicom pai gnonloassent	---|-|---⌫---⌫---|-------|
queliba r onse	--|-|--⌫-⌫-|-|
racorda ssent	-------⌫----|
s auuet onourett aquere l le	-⌫---||----|-|-⌫|-----⌫-⌫-|
mou lttenr ienslapais	---⌫-|----⌫---|-|---|
bienplaistau roy ce qu il ont	---|-----|-|--|-|-|-|--|
iapar lui n ese r ontdes dit	-|--|--|-⌫|--⌫-⌫--|---⌫--|
seign ourfait	-----⌫--|---|
d e lapaisuousentremettés	-⌫|-|---|---|-----------|
quan tbrichemer l	----⌫|--------||
touslies s	---|---||
e nualecoul	-⌫|-|-|---|
aysen grin dis ten	|----⌫---|---⌫|-|
lo reil le	|-⌫----⌫-|
qu e lir oysform ent se	--⌫|-|-⌫--|----⌫--|-|
me rueille	--⌫------|
queonnepu ete ntrauxpa is mettre	--|-|-|--⌫-|-⌫--|--|--⌫-|-----|
nepourdonner nep orpramettre	-|---|-----|-|-⌫-|--------|
faites lebienprenés	-----|-|---|------|
querenar tpour lafo ur faiture	--|-----⌫|---|-|--⌫--⌫------|
de laclamour que	-|-|------|--|
auésfaite	----|----|
femme quafourtraite	----|-||---------|
distysengrinnen	---|-------||-|
parl éspas	----⌫--|--|
ieuuelbatailleisnelp as	-|---|-------|------⌫-|
neu uelfai repaisneacorde	-|-⌫--|---⌫-|---|-|-----|
c une autr e	|--|----⌫|
foisnesiamorde	---|-|||-----|
afai re h on teason compere	|---⌫-|-⌫--⌫-||--|------|
et afourtrait e	-||---------⌫|
s a commere	-⌫|------|
or uerra on	-|----|-|
quiau ra dr o it	--|--⌫-|--⌫-⌫-|
