noueaus d a mornouelle	------||-⌫--|------|
nefaiteleri re et chanter	-|---|--|--⌫-|-|------|
d oner eti oste r etdespe indre	-⌫---|-|-⌫----⌫|-|-----⌫----|
c orzettorn eiemenzenprendre	-⌫--|-|----⌫------|--------|
toz cheplus seitensei gner	--|--|---|---|-----⌫---|
amors que se	----|--|-|
uelt conseiller	---|---------|
que lmondenasidouce	-|-⌫|----|||-|----|
n e ciln edien tmi ebi en	-⌫|--|-⌫|----⌫|--⌫|--⌫-|
queuontdis antquamor empire	--|---|---⌫--|-|---|-----|
tropg rantm enchog esei uentdire	---|-⌫---|-⌫------⌫|---⌫---|---|
queunquesam o rs	--|-----|--⌫-⌫-|
plus niuaut	---|||---|
quelefaitor sede us mesau t	-|--|---|-|-|--⌫-|-|---⌫|
neunquesne fu plusueraie	-|-----|-|-|---|-----|
orqui bienla sai e	-|--|---||-⌫---⌫|
maisplussente ndent en trichier	---|---||----⌫----|-|-------|
les dames etlicheualie r	--|----|-|-|--------⌫|
queilne fi r ent	--|-|-|--⌫-⌫--|
lis eglesplus mauues	-|-⌫----|---|-----|
quan t l afause le fause ngigne	----⌫|-⌫|----|-|---|-⌫-----|
da mor segabeet	|-⌫--|-|---|-|
etditfausea mors la trai	-|--|----|-⌫---|||---|
non acertes cep ois eli	--||-----|-|-⌫---⌫|-|
que porce li touttricherie	--|--|-|-|---|--------|
c hascuns iornmol tdes am aisnie	-⌫------|---|---⌫|-|-⌫|-⌫-----|
senestmultagranttortblasmee	|-|--|---||----|---|------|
amors por folegent p rouee	----|--|---|---|-⌫----|
queneseuentrai s one ntendre	--|-|-----|---⌫-⌫-|-⌫------|
d eceu oil	-⌫|-|-⌫--|
bienamo rsdefe ndre	---|---⌫-|----⌫---|
ne chaniasa	-|-----|-|
amere tricheor	----|-------|
qui ontlesi egle mis a	--|--|-|--⌫---|--||
quarpo re us perdentli	---|--⌫|-⌫-|------|-|
le sbi ensi lon tdese rui	--⌫|--⌫--|-⌫|--⌫|----⌫--|
nenopuenttrou er merci	-|-|----|----⌫-|----|
mal aientsan z recour ier	--|----|---⌫|------⌫--|
q ue tricheoretmenchong ier	-⌫-|-------|-|--------⌫--|
tenslecuer tenucas	---|-|---|---|--|
mais get é m adeces t	---|---⌫-|||-|---⌫|
do montquegeplusaim	-|---|--|-|---|--|
et don misc uers a greignor fa im	-|--|--|-⌫---||-------|--⌫-|
maisde cemefaitgrantma rt i re	---|-|-|-|---|----|--⌫--⌫-⌫-|
q uencor nemapelequesire	-⌫|----|-||----|--|---|
sime disistbeusdouz	-|-|-----|---|---|
donc fu sedel tot	---|--⌫-|--|--|
preiez tuitdeupars un	-----|---|--|--|-⌫-|
que lame d oint a	--|-|-|-⌫---||
gres eruir	--|-⌫----|
etg epor chesi	-|-⌫|--|--|-|
u ne istoire que bie nsai	-⌫-|------|--|---⌫|--|
q ueieaimispor amore nrime	-⌫-|-|-|--|--|---|-⌫|---|
ne onquesn i	-|-----|||
nenul m aistreforsqu es	-|--|-⌫-----|------⌫||
que bienmense ignechas cusior	--|---||----⌫---|----⌫--|--|
etquile stoireu eltentendre	-|--||-⌫-----|-⌫--|-------|
asezi p u et debiena pre ndr e	---||-⌫-⌫-|-|---|-⌫---⌫---⌫|
ensiquelestoire reco nte	------||------|----⌫--|
apo itierso tiad i sunconte	|--⌫-----|-⌫|---⌫-⌫|-|----|
qui a uoit no mli	--|-⌫---|--⌫|-|
cuensrichiers	----|-------|
et f umult leiaus cheualiers	-|-⌫|---|-----|---------|
al ienorsotnomsafe me	--⌫-----|-|--|-|--⌫-|
unenfa n totde	-|----⌫-⌫|-|-|
cele dam e	---|---⌫|
unsuasletqueioufrois	--|-----|--|-------|
en cuinen otsetotbiensnon	-|--|--|-|-|--|----|--|
qu ilfutant proetdebo n aire	-|-|-|---|--|-|----⌫-⌫---|
c onquesdeus meillorne soitfaire	|-----|---|------|-|---|----|
beauset sagessanzmal penser	----|-|----|---|--|-----|
etsotbien cheu ali ersamer	-|--|---|----⌫---⌫--|---|
et honorer ettenirchier	-|------|-|----|----|
uniorn uint sonpere proier	-|---|---|--|---|-----|
pargrant amo rdir eetre qu erre	--|----|---⌫|---⌫|-|--⌫--⌫---|
que lenuoiasten engleterre	--||-------|-|---------|
au roihen ri que ladobast	-|--|---⌫-|--||------|
etque tant del suenli	-|--|---|--|---|-|
poistagranthonor	----||----|----|
est reala cort sonseignor	---⌫-||-|---|--|------|
lapa role oie	-|--⌫---|--|
biausfilzfait il n	----|---|---|-||
if au drami e	|-⌫--⌫--|--⌫|
que ne fac e ta uolente	--|-|---⌫|-|------|
auoiege e npen sé	----|-|-⌫----⌫--|
qu en englete rre	-|-|-------⌫--|
teenuoias e	-|-------⌫|
au roi henr iquetadobase	-|--|----⌫|--||------|
carlapoi rastozbiens a prendre	--|-|---⌫--|--|----|-⌫------|
sitecarge raiad esprendre	-|-|-----⌫--||-⌫--------|
m i lmars d	-⌫-⌫|---||
argen tetci ncen tdor	-----⌫|-|--⌫|---⌫||-|
quegeprendraienmon treso r	--|-|-------|-|--|-----⌫|
etferailiso mierschargier	-|----|-|--⌫----|-------|
porcene te stoutp lust argi er	--|-|-||-⌫----|-⌫--|-⌫----⌫-|
nenaillesuerslo roi	--|-----|---|-|--|
simoinedis	-|----|--|
uaslezotoi	-----||--|
et g ar debeau sfilzque p reuz soies	-|-⌫--⌫-|----⌫|---|--|-⌫---|----|
mauuascons eil necroies	-----|----⌫--|-|-----|
mais t oziornmeinesb eleuie	---|-⌫-|---|-----|-⌫--|--|
quantlenfeslotsilen	----||----||-|-||-|
liezsonpei rea dit	---|--|---⌫-||--|
que maintenantsanz nu l	--|---------|---|--⌫|
li facesonerreatorner	-|---|--|---|------|
qu i naplus soingdese ior ner	-||||---|----|-|--⌫---⌫--|
licuenss onerr eliatorne	-|----|-⌫-|---⌫|-|-----|
etli uasletplus neseiorne	-|-|-----|---|-|------|
quantilo t de cortcongi epri s	----|-|-⌫|-|---|-----⌫|---⌫|
co mecilqu e fubienapris	--⌫-|--|--⌫|-|---|----|
a grantioiedela	|----|---|-|-|
odisua sl e zqueileslist	|--|--⌫--⌫-⌫|--|-|-----|
pro zetcorteis et senzennui	---⌫|-|------|-|---|----|
porm eneracort	--|-⌫---||---|
o rcheuaucentagrantespleit	-⌫|---------||----|------|
englet erret otdrei t	------⌫---|-⌫-|----⌫|
siont tantlor c hemin	-|--|---|--|-⌫----|
dediepesuntuenu	-|----|---|---|
iloquese nla me rentrerent	------|-⌫|-|--⌫|--------|
etlimari nersles menerent	-|-|----⌫---|--|-------|
tant droitq uaup ort	---|----|-⌫|-|-⌫--|
desozantone	-|--------|
uindren ttotdroit ab asse none	-------⌫|--|----||-⌫---|---|
quan tariu é su ntel graui er	----⌫|----⌫-|--⌫-|-|-----⌫-|
n esefirent pastropproie r	-⌫|-|-----|--|---|-----⌫|
li dam eisel sdelensir fors	-|---⌫-----⌫|-||----|---|
uneautefesteest o itlors	--|---|----|---⌫-⌫-|---|
sid emande r ent o l irois	-|-⌫------⌫-⌫--||-⌫|---|
tenoitla feste	-----|-|----|
lordistaeuuricmis	--|---||-----|--|
tien tla fe stece oidir e	----⌫|-|--⌫--|-|-|---⌫|
li uaslet enfurent	-|-----|-|-----|
enlauilesunt herbergié	-|-|---|---|---------|
bie nmaitinain zlau bec reuee	---⌫|-----|---⌫||--⌫-|-⌫----|
lieue nt por	-----⌫-|--|
faire loriornee	----|--|-----|
s iseremetentenlor	-⌫|-|-------|-|--|
et cheuauceren ta	-|-----------⌫||
gr antioie	--⌫--|---|
uersleroitantque trouél	---|-|--|---|--|-----||
quan til sotqu	----⌫|-|--|-|
a luiuenus ont	|--|---|-⌫--|
qu eillesf acechiualiers	--⌫|-|--|-⌫--|---------|
silesret int multuolentiers	-|--|---⌫--|---|---------|
et a unchanberlenclesfit	-||-|----------|--|--|
main tenantme tre enescrit	----⌫-----|--⌫--|-|-----|
e nsifuac ortretenuz	-⌫--|-||-⌫--|------|
li uaslet etmultchier	-|-----|-|---|----|
tozparsafranch i se	--|--|-|------⌫-⌫-|
etporcequ enl ui ertasi se	-|--|-|-|-|-⌫-|--|---⌫-|
e t c ort esieetlar geiche	-⌫|-⌫---⌫---|-|---⌫-----|
e t grantbe atez etproeche	-⌫|----|--⌫---|-|------|
d egrantacointement	-⌫|----|----------|
multsef ist amer a	---|-|-⌫--|---||
caril lordo noit beausi oiaus	--|-|--|--⌫---|----|-⌫----|
be l escote s	--⌫-⌫-|----⌫|
etbea usmantiaus	-|---⌫-|-------|
armese trob es etdestriers	----|-⌫|---⌫-|-|--------|
don oitaspoures ch eu aliers	---⌫--|-|-----|--⌫--⌫-----|
qu iu oleitp e ndreson	--⌫|-⌫----|-⌫-⌫---|--|
maintenantn epooit	---------|-⌫|----|
m ul tparlamo ientli engloi s	-⌫--⌫|--||---⌫---|-|------⌫|
etla ra i neetlirois	-|-|--⌫-⌫-|-|-|---|
unsche ualie rsmu ltdesle i aus	--|---⌫-----⌫-|--⌫-|-----⌫-⌫--|
qu e delacortert se neschaus	--⌫|-|-|---|--|--⌫-------|
r ainepreié	-⌫---|-----|
quelelidonas t sami ste	-|--|-|-----⌫||---⌫--|
pluisor foizle nauo i trequis e	------|---||-⌫|---⌫-⌫|------⌫|
ma is g rantfol ie auoit	--⌫-|-⌫---|---⌫-|----|
quel enelouoloitamer	-|--⌫|-|-|-----|---|
nesa paroule escouter	-|-|------|-------|
etp uisqua ntiluitque	-|-⌫--|---⌫-|-|--|--|
nepor oit iatrouer	-|---⌫--|-|-----|
amastparnuls anblant	----|--|--|-⌫------|
du el enotet	--⌫-|-|-|-|
u ergoi gnegrant	-⌫-----⌫--|----|
etensoncuer	-|-|--|---|
liueltmu ltma l	-|---|--⌫-|--⌫|
d eusconfundec els e neschal	-⌫--|-------|-⌫-|-⌫-⌫------|
quetro pmi stlacort	--|---⌫|--⌫-|-|---|
caril al aconterl eroi	--|-|--⌫|-----|-⌫|--|
queunga rchond ela c osine	--|-|--⌫----|-⌫|-|-⌫----|
auoittrouéa l areine	----|-----||-⌫|----|
a medousgisanten unlit	-⌫-----|-----|-|-|--|
etquil en fesoi t sondeli t	-|-|-|-|-----⌫|--|----⌫|
t ropgrant men chogesottro u er	-⌫--|----|---⌫----|--|---⌫-⌫-|
quemeilzselaisast	--|----|-|------|
l a raine oulesoil z	-⌫|----|-|--|---⌫|
qu elafe it itelafair e	-|--|--⌫-|---|-----⌫|
cartropcremoituergoig n eet	--|---|------|-------⌫-⌫|-|
quensicon l ies toire	-|---|--|-⌫|--⌫----|
qui lespar a oul es enespont	--|--|---⌫-⌫---⌫-|-|-----|
non aueit dameen	--|----|---|-|
fustdeplusgrantu al or	---|-|---|----|-⌫--⌫-|
ne plusamast	-|---|----|
priseth onor	---|-|-⌫---|
cef ulareinehalis	-|-⌫|-|----|----|
cefula bele auc leruis	-|-|-|---|-|-⌫--|--|
p reuzc e fu la sage	-⌫---|-⌫|-|-|---|
etla cortoises enzoutrag e	-|-|-------|-⌫--|------⌫|
la largeetla franche	-|----|-|-|------|
cefulabeleet l ablanche	-|-|-|---|-|-⌫|------|
cefuce les enz c ontredire	-|-|--⌫-|-⌫--|-⌫--------|
d e comporroit plusgrant bien dire	-⌫||-|------|---|----|---|---|
que deraine queancfus t	--|-|----|--|--|---⌫|
comentotlemo nt	|-|-|--|-|--⌫-|
de to zlesbiens quauoir doi tfeme	-|--⌫|--|----|-|----|---⌫|---|
e steit eler eine	-⌫----|--|-⌫---|
ore sgardez de ltra ito r	-|-⌫------|--⌫|---⌫---⌫|
que lmenchognedist son	---⌫|--------|---|--|
quet el chou se lifiste ntendre	--|-⌫-|----⌫-|-|---|-⌫------|
ouospoez ensenplepren dr e	|--|---|-------|----⌫--⌫|
c omnedoitpas	|-|-|---|--|
croi re fel on	----⌫-|---⌫-|
ditsigrantrais on	--|-|---|-----⌫-|
decefis t lir oisgr a ntfoli e	-|-|---⌫|-|-⌫--|--⌫-⌫-|----⌫|
parolequot oie	-----|-|-|--|
q uon ques raiso nsniesg arda	-⌫|--⌫---|-----⌫-|-|---⌫---|
queireli trobla	--|--|-|-----|
trestuit so n	-------|--⌫|
cartropfulaparoledure	--|---|-|-|-----|---|
que lseneschaus	--||---------|
le fi sten tendre	-|--⌫-|--⌫-----|
porcefist lareineprendre	--|-|---|-|----|------|
li roiset iuradeu liuoir	-|---|-|---|--|-|---|
quillafaroit pendre	-|-|-|-----|-----|
lorso issiezpar	---|-⌫-----|--|
toz gran tplor	--|----⌫|---|
uil e gra n td olo r	---⌫|---⌫-⌫|-⌫---⌫|
meneratoz et	----||--|-|
grant dol f aire	----|--|-⌫---|
por lar einedebo naire	--|-|-⌫---|----⌫----|
quel i roisfaisoit foriugier	--|-⌫|---|------|--------|
coments enporroit mielzu engier	-----||-|------|----|-⌫-----|
etqu ant li	-|--⌫--|-|
uasle tloidire	-----⌫||-|---|
q u enteld uel	-⌫|-|--|-⌫--|
telmartire	--|------|
esteitmisel apro z rein e	-----|---|-⌫|---⌫|----⌫|
iusqu edeuant le roine	-----⌫|-----|-|--|-|
qu ant fuuenuz	--⌫--|-|----|
d euantlor oi	-⌫----|-|-⌫-|
silidis tsiree nte nza	-|-|---⌫|---|-⌫---⌫-||
tues roissidois maintenir	-|-|---|-|---|--------|
etloiet droituretenir	-|--|-|-------|----|
orlamantien sife rasbien	-|-|------|-|--⌫--|---|
liseneschaust	-|---------||
ad ittelrien	|-⌫-|--|---|
dongelo fer airecreant	--|-|-|---⌫-|-------|
si uers moi	-|---|--|
senuo iltra i r eau ant	|-|--⌫-|---⌫-⌫-⌫|--⌫--|
qu il acontraitesmen ti	-|-||--|------|---⌫-|
est e tuers toiet uersli	--|-⌫|---|--|-|---|-|
silen ueltprendreson escu	|-|-|---|------|--|---|
ge l enr en d rai	-||-|-⌫--⌫-⌫--|
mort etuencu	---|-|----|
f aitescheualier	-⌫----|--------|
cargesui prest d el	--|-|--|----|-⌫||
desraisnier	----------|
li sen esch aus	-|---⌫----⌫--|
etla r eison	-|-|-⌫----|
dodam eisel	-|---⌫----|
quelidesdis oit	--|-|------⌫--|
si l a pe loit detraison	-||-⌫--⌫---|-|------|
tote napert de uantla ge nt	--|-⌫|----|--⌫---|-|--⌫-|
bienseitseil	---|---|-|-|
uergoignésesta toz	----------|--||--|
i ors meis	-⌫--|---|
enpiezselieue	-|---|-|----|
son m antel hos ted eson	--|-⌫----|---⌫-|-⌫|--|
quelenne le ten istp arfol	--|--|-|-|---⌫--|-⌫-|--|
deuantloroito t en	-----|-|--|--⌫|-|
so ngan t ple i esileli	--⌫|---⌫|---⌫-⌫|-|-|-|
si ref ait ilgageuosba ile	--⌫-|-⌫--|-|---|--|--⌫--|
que gem ain tendr ai p orbataile	--|-|-⌫---⌫-----⌫-|-⌫-|------|
uerslou aslet q uici	---|-|-⌫----|-⌫-|-|
queuertezestcestenouelle	--|-----|--|----|------|
quegeuo s aifaiteentendre	--|-|--⌫|-|----|-------|
ce neme poisd efendre	-|-|-|---|-⌫------|
mon c orssi u oilquelenmepende	--|-⌫--|-|-⌫--|--|--|-|----|
queiaauoirsneme defende	--|-|-----|-|-|------|
quan tli ro is ot ces douscontendre	----⌫|-|--⌫-|-|--|---|--------|
luns desra iner l autredefen dre	|--|-----⌫---||----|-----⌫--|
qu ilui pre sentoientlor gages	--⌫|--|---⌫--------|--|----|
sipristdamdospartlesosta g es	-|----||----|---|--|----⌫-⌫-|
l oradon e ́lo i or	-⌫-||---⌫-⌫|-|-⌫-|
maismultt i en enta grantfol or	---|---|-⌫-⌫--⌫--||----|---⌫-|
auuasletquant ils estoitp ris	-|-----|----|-||-----|-⌫--|
as i boncheuali erdepris	|-⌫|--|-------⌫-|-|---|
conestlisenescausd elroi	--|--|-|--------|-⌫-|--|
quarchascuns fian chastsafoi	---|-------|----⌫----|-|--|
queialenta ntnesaust	--|-|--|--⌫-|-|----|
quelent roua sten	--|--|-⌫----⌫-|-|
nulleter re	----|---⌫-|
c he uali ersne	-⌫--⌫----⌫--|-|
nequi f us tde	-|--|-⌫--⌫|-|
p lusg rant uaillor	-⌫--|-⌫---|------|
mult parestoitb o nscheualiers	---|--|-----|-⌫-⌫-|---------|
etlib iaus uasletde poit ie rs	-|-|-⌫---|-----|-|----⌫--⌫-|
esto itenfens n omne sauoit	----⌫-|-----||-|-|-----|
deualenceil seroit	-|------|-|-----|
quenquo r nauoitarmesporté	-|-----⌫||----|----|-----|
nesoncorsdeniente sproué	-|--|---|-|----|-⌫------|
porcegran t	--|-|----⌫|
dotanceauo ie nt	------|---⌫--⌫-|
tuitci lquil a reine amoien t	---|--⌫|--|-⌫|----|------⌫|
quenetornasta telen nui	--|-|------||--|--⌫--|
que totson d roit	--|--|--|-⌫---|
per di stparlu i	---⌫--⌫-|--|--⌫|
a tant fulapre isseparti e	-⌫---|-|-|---⌫---|-----⌫|
et la b ata illefianci e	-|-|-⌫---⌫---|------⌫|
ch ascu ns u ers	--⌫----⌫-|-⌫--|
sonhostelsentorne	--|-----||-|----|
etliroismaintena nt ator ne	-|-|---|--------⌫-|----⌫-|
cheuaus aubersetrobesbeles	------|-----|-|----|----|
et armesfreschese tno ueles	-|----|-------|-⌫|--⌫----|
poradobe r	--|-----⌫|
les dame iseus	--|----⌫----|
etfaireche ualiersnoueiaus	-|----|---⌫------|-------|
auan t labatailleassez	----⌫|-|-------|----|
les otliroi stozado bez	--|-|-|---⌫|--|---⌫--|
le uasletetsesconpaignons	-|-----|-|--|----------|
nenifaloitsperons	--||-----|------|
etqua n t l abatailledutest r e	-|---⌫-⌫|-⌫|-------|--|---⌫-⌫|
multparotgrantgent	---|--|-|----|---|
a guincestre	|---------|
o li roi sotlica npdoné	|-|---⌫|-|-|--⌫-|----|
maint cirge de	----|----|-|
ci reambrassé	--⌫-|--------|
ueis oizl a nuit elmo stier	----⌫--|-⌫|---|-|--⌫----|
queli u asletalaueiller	--|-|-⌫----|--|------|
dauantlauterdel	-----||----|--|
por proier	--|-----|
damede umerci	------⌫|----|
q ue li don ast del	-⌫-|-|---⌫--|--|
chanplonor	----||---|
cinc cen t cheualierspo rsamor	---|---⌫|---------|--⌫||---|
deschauznuz	-------|--|
piezenlangetu it	---|-|----|--⌫-|
ueiller entporluitotenoit	-------⌫--|--|--|---|---|
po ra mor etpor conpagnie	--⌫|-⌫--|-|--|--------|
dauantlautier sain t emarie	-----||-----|----⌫-⌫|----|
ue illa la	--⌫---|-|
reineha l is	----|--⌫-⌫-|
sot bien mild ame dopais	|-|---|--|-⌫--|-|---|
ensenbleolitotes	-------||-|----|
cer tes b ienauroit cuer estrange	---⌫--|-⌫--|-----|---|-------|
q uila nuitu eil lerlesueist	-⌫-|-|---|-⌫---⌫--|--|----|
si grantpicie ne lenpr eist	-|----|----|-||-|--⌫---|
silo rueissiez deusproier	-|--⌫|-------|---|-----|
co upe sbatreterre baissier	--⌫---⌫|----|----|-------|
aginoilleror eisonsdire	---------|--⌫-----|---|
almoisnes f airesautierslire	--------|-⌫---|-------|---|
lespl uisorsdepicie plorer	--|--⌫-----|-|----|-----|
etn ostres eignor reclamer	-|-⌫----|-⌫-----|-------|
quedonastu eincreau	--|-----|-⌫-----|-|
etl ordame defendistd o nte	-|-⌫-|---|--------||-⌫--|
lis eneschaussoef dormoit	-|-⌫--------|---|------|
asonh ostel	|--|-⌫----|
oui les toi t	-|-⌫|--⌫---⌫|
quetant sefioit ensa	--|---|-|----|-|-|
quilne priso itpasunescor ce	-|-|-|-----⌫-|--|--|----⌫-|
laba taillequ il deu oit faire	-|--⌫-----|-|-|---⌫--|----|
sin enuoloitt ant d el	-||-|-----|-⌫--|-⌫-|
q uil endeig na stlano it	-⌫|-|-|----⌫--⌫-|-|--⌫-|
mains encuidoitbienuanger	---||-|------|---|-----|
la noitf aillitet laubecr ieue	-|---|-⌫-----|-||---|--⌫---|
liiorn sesp ant lisole iz	-|---||---⌫--|-|----⌫-|
li seint sonent pa r	-|----|-----|--⌫|
par ce s mostie rs cilc l ercl eitré	--|--⌫|------⌫-|--|-⌫-⌫--|-⌫-----|
se reuestent p ordeuse ruir	-|--------|-⌫-|--|--⌫---|
etliuasletalaoir	-|-|-----|--|--|
a uter principal	-⌫---|--------|
etproiadeule spir it al	-|----|--||-⌫----⌫--⌫-|
siuoirem e nt cumilfu	-|------⌫-⌫-|--|-|-|
encrois oufumorzetuis	-|----|-|-|---|-|--|
que li donastforcha etraison	--|-|-----|-----|-|-----|
contre l eseneschalfelon	-----|-⌫|--------|----|
le roistraites	-|---|------|
et qu anti lfaitsapr oiere	-|--⌫--|-⌫|---|-|--⌫----|
s ala ofrir enneslopas	|--|----|---------|
so rl autier	--⌫||-----|
po u sedoushenas	--⌫-⌫-|---|----|
qui fur entandui d	--|---⌫--|----||
argentf in	-----|-⌫-|
si ni otpas aiguene	-|||-|--|----|-|
maisbesanz d oretbonespieres	---|-----||-|-|----|-----|
rubisetesmeraud eschieres	----|-|--------⌫-|------|
etautre squisa phirsn on	-|-----⌫|--|--⌫----|-⌫-|
pois of r iren t	---|--⌫-⌫----⌫|
si co npaignon	-|--⌫-------|
et cilqu ila loi entsigant	-|--|--⌫||-⌫---⌫--|-----|
chascunsdeto z elsunbesa nt	-------|-|--⌫|--|-|----⌫-|
et quant la messefuchantee	-|----|-|----|-|------|
liuasleta samainleuee	-|-----||-|---|----|
sonchief seigneadeu se comande	--|----|-----||--|-|------|
etapresrequie retdemande	-|----|------⌫|-|------|
sesarm esporarm ersoncor s	--|---⌫-|--|---⌫-|--|---⌫|
etlen lia lors	-|--|-||---|
quant len li amisesdauant	----|--|-||----|-----|
ar mersefai t tot	--⌫--|-|---⌫|--|
m aintena nt	-⌫-------⌫-|
e t lai cierlescaucesdefe r	-⌫|---⌫---|--|-----|-|--⌫|
a bonesdecer	|----|-|--|
piusuestl aubercde blanch e m alle	---|---||-----|-|------⌫|-⌫---|
da uantliferm entlau antalle	--⌫---|-|----⌫--|-|-⌫------|
ensonchiefmi st u nheumebon	-|--|----|--⌫-|-⌫|----|--|
peir esiota grant	----⌫-||-||----|
encercleento renlauiseir e	-|-----|----⌫|-|-|------⌫|
apr e s cein tune hespeecheire	---⌫-⌫|----⌫|--|-----|-----|
q uimult fu bone degrantfin	-⌫-|---|-|---|-|----|--|
e fufaiteoutre lor in	|-|----|----|-|-⌫-|
a c o logneen lacite	|-⌫-⌫----|-|-|---|
sonche ualsliont amené	--|---⌫---|-|--|-----|
unmult buenua irdestrier	-|---|---|--⌫-|-------|
couertde fercol	-----|-|--|--|
et liuasletest	-|-|-----|--|
qui multfu preu zet	--|---|-|----⌫|-|
asoncolpe ntu n blachon	|--|--|--⌫-|-⌫|------|
a orbendéetaachon	|-|-----|-||----|
etunelancemer ueilose	-|--|----|---⌫------|
fertranch antde tolose	--|------⌫--|-|-----|
plus clers	---|----|
l i metu n	-⌫|--|-⌫|
che ualie rselpong	---⌫-----⌫-|-|---|
etquant il	-|----|-|
l idestrier	-⌫|-------|
ar mezbiensenbra	--⌫--|---|-----|
ne futropgraile	-|-|---|-----|
bienslisist	----|-|---|
e t elc hief liau mes gemez	-⌫|-|-⌫---|-|--⌫--|----|
quilotc einta uslez	-|-|-|-⌫---|-⌫-|--|
quilot a ucol	-|-|-|-⌫|--|
nefis tmiesanbler f ol	-|---⌫|--|------|-⌫-|
ca rplus fu asarmesapers	--⌫|---|-|-|----|----|
quede laborernestconuers	--|-|------||--|------|
l a lance droite queil tint	-⌫|----|-----|--|-|---|
elcanp de labatall euint	-|---|-|-|------⌫|---|
p orlare ine halis defend re	-⌫-|-|--⌫--|----|------⌫-|
s onconuenant at end re	-⌫-|--------|--⌫---⌫-|
apresl uiuientliseneschau s	----|-⌫-|----|-|---------⌫|
tozarmez il	--|----|-|
et s escheuaus	-|-⌫-|------|
plus talant isdela bata ille	---|------⌫-|-|-|----⌫---|
ques perue r n est	-|--⌫-----⌫||--|
quan il furentandui ue nu	---|-|-----|----|--⌫-|
elcanpsun t api edesc endu	-|---|---⌫||--⌫|----⌫---|
lor fist len lesse inzaporter	--|---|--|--|--⌫--|------|
lis eneschaus	-|-⌫--------|
qui l areine o tenc usee	--|-⌫|----|-⌫|---⌫---|
sorlisainzmist l a	--|-|----|---|-⌫|
ma ina r mee	--⌫-|-⌫-⌫--|
uoianttozte i lsairementfit	-----|--|--⌫-⌫|--------|--|
que ce e s toit uoirque	--|-|-⌫-⌫---|---|--|
e tli uasleta p reslui iure	-⌫|-|-----|-⌫-⌫--|--|---|
et di t qu il lot i ntpor	-|--⌫|-|-|-|-⌫-⌫-|--|
seirementquefaitau oit	--------|--|---|--⌫--|
et dit cheue ncu zlen	-|--|--|--⌫---⌫||-|
quantore ntfaitleserement	----|---⌫-|---|-|-------|
liuasletaucheual sse pren t	-|-----|-|------⌫|-|----⌫|
l is trief	|--⌫----|
c anpa destre	-⌫--||-----|
se traitleseneschaus et	-|----|-|---------|-|
qui multlicuidoit	--|---|||------|
metre aonte	----||---|
chascunsamisla	-------||--|-|
lance enfeutre	----|-|-----|
poisontrega rd e ́liuns	---|--|----⌫--⌫-⌫|-|--|
lisenes chausse stafichiez	-|-----⌫----||-⌫-|-------|
desesperons	--|-------|
quilot ch auciez	-|-|-|--⌫-----|
po int licheuals	--⌫--|-|------|
lalanceb aisse	-|----|-⌫----|
