cilfabla or	--|-----⌫-|
b i en ator nee ioue neetbele	-⌫-⌫-|----⌫--|----⌫-|-|---|
el de se rtla	-|--⌫--⌫-|-|
fait lon aler	---|--|---|
l ai oulabestesotester	-⌫-|-|-|----|--|----|
so ulerem ain tcha scun ss	--⌫--|---⌫---⌫|---⌫----⌫||
etlabes teuient c ele	-|-|---⌫-|----|-⌫--|
quantlapuceleu oitsicoie	----|-|-----|-⌫--|-|---|
sachi ezque multlifait gran tioie	-----⌫-|--|---|-|---|----⌫|---|
alapucele uient deua nt	|-|-----|----|----⌫-|
coucheenson deuant	-----|-|--|-----|
lapucelele nbrace ettient	-|-----||-⌫-----|-|----|
li uenerrescele	-|-------|---|
part uient	---|----|
besteuoitendor mie	----|---|-----⌫--|
tant tostla	----⌫---|-|
pren t et sila	----⌫|-|-|-|
e tpuisla a u roi	-⌫|---|||-⌫|--|
presen tee	------⌫--|
ensonpalai slies t	-|--|-----⌫|-|--⌫|
lipsalmist es	-|--------⌫-|
quantil parladeihesu christ	----|-|----|-|----|-----|
mes co rssera	--|--⌫-|---|
cumunicor ne exauciez	--|------⌫-|-------|
e ntendrepoezper labeste	-⌫------|---|--|-|----|
quezzsoul coraen	--|-|---|--||-|
cris t quidis t au p ue blecommun	----⌫|--|---⌫|-|-⌫--⌫--|-----|
mesperesfumeun	--|----|---|-|
desestchieset ihesuest cors	--|--|----|-|----|--|---|
qui denfer bota	--||----|---|
sesgen zfors	--|---⌫|---|
ainsr ienne	---|-⌫--|-|
l i puetcontrester	-⌫|---|---------|
neriensnele p uetarester	-|----|-|-|-⌫--|------|
lapucele nos sen efie	-|-----|--|---⌫---|
l especiaul u irge	|--------|-⌫---|
encui d ex pristhumanite	-|--|-⌫-|----|-------|
ensach ar fupechied ampn é	-|-|--⌫-|-|-----|-⌫----⌫-|
est i dres	--|-⌫---|
elfl u uedenil estt roue e	-|--⌫-⌫-|-|--|--|-⌫----⌫|
unea ut rebeste	--|-⌫--⌫-|----|
ia diuerse	||------|
c ocadrile mult est	-⌫-------|---|--|
quiplusestgranzquenest uneoule	--|---|--|----|--||--|--|---|
quant idreslat r ueued ormant	----|----|-|-⌫-⌫---|-⌫-----|
e ltais seuoutemaintenant	-⌫|---|-|----|---------|
que miezsepuis se escalor gier	--|---|-|----⌫-|-------⌫---|
et passeroutredelegier	-|-----|----|-|-----|
pa rlab oche lis autelco rs	--⌫|-|-⌫---|-|-⌫--|-|--⌫-|
o c itlaetpuis senis tfors	-⌫-⌫-|-|-|---||-|--⌫|---|
cocadril eade mortsan blance	--------⌫||-|---|---⌫-----|
etden ferasignifianc e	-||--⌫--||----------⌫|
ydr esihesucr istsenefi e	---⌫-|----|--⌫--|------⌫|
quinos r ain tdem ortauie	--|--|-⌫---⌫|-|-⌫--||--|
soffritmo rt dex	------|--⌫-|--|
quemorsdeto zuain cuef ust	--|---|-|--⌫|----⌫--|-⌫--|
anferbris aetdesronpi	----|----⌫|-|-------|
ce sa chiezuostrest uit	-|--⌫----|--|-----⌫--|
laprophecie esta u enue	-|--------|--|-⌫-⌫---|
uitoiremontee	------|-----|
mors cedist	---|-|---|
dextu memordras	--|-|-|------|
anferd isti l	----|-⌫--|-⌫|
p er moi morra s	-⌫-|--|-----⌫|
sereineestd emer zzperil	------|--|-⌫|--|-|----|
femeestpar de susle lo nbril	---|--|--|--⌫--|-|--⌫----|
et pois onsdesoz	-|----⌫--|----|
tant ch a ntebel quec reatu re	---|--⌫-⌫--|--|--|-⌫-----⌫-|
ne s po rroit	-||--⌫----|
p asso o ler	-⌫-|--⌫-⌫--|
ne d oi rle	-||--⌫|-|
douzchantchant er	---|----|-----⌫-|
quant genz	----|---|
uontper lamer	---|--|-|--|
et lessereinesuont c hantant	-|--|-------|---|-⌫------|
quantauoir	----|----|
en cuden tl o ie	-|-----⌫||-⌫-|
t an tes tdouce lamelodie	-⌫--⌫|--⌫|----|-|------|
delite ntenloir	------⌫-|-||--|
quetoz le sco uient	--|--|--⌫|--⌫----|
end ormi r	---⌫----⌫|
etquantil se sontendormi	-|----|-|-|---|------|
meinte nantles	------⌫---|--|
ont a salli	--|-⌫----|
lessere ine ssiles acorent	--|----⌫---⌫|-|--|------|
des piecentetdesuorent	---⌫------|-|--------|
cilqui aimenttragitaours	--|--|-----|----------|
tumeressesetiuglaour s	---------|-|--------⌫|
cilenseuent	--|-------|
ce n estpas	-||--|--|
laprocessio nau deable	-|---------⌫|-|-----|
deablesl es uaesuoi llant	------|-⌫-|-|-----⌫----|
lesuadec eu ant	--|-|---⌫--⌫--|
el pe r font	-|--⌫-⌫---|
an ferlesenuoie	--⌫--|--|-----|
ensis et il querr e sa proie	---|-⌫-|-|-----⌫|-|----|
centaurusestune aut rebeste	--------|--|--|---⌫-|----|
po itrineespaule s	--⌫-----|-------⌫|
mainsteste	----|----|
hatote nsicomeont home	-|--|-⌫--|---|--|---|
asn e resanble	---⌫|-------|
c es tla some	|--⌫|-|---|
au al per desozlace ntuire	--⌫-|--|----|-|--⌫-----|
moultest de mauu aisena tu re	----|--|-|----⌫---|--⌫--⌫-|
aicestui san bl ables unt	|------|---⌫--⌫---|-⌫--|
l ihomequ iy ylangueson t	-⌫|---|--⌫|-⌫|------|--⌫|
qui amonestentf air ebien	--|---------|-⌫---⌫|---|
ets inen uuelent faire r ien	-|-⌫||-|------|----|-⌫--|
itelsuntli fausypocri te	---|---|-|---|------⌫-|
de parolesenblenthermite	-|-----|-------|------|
m ult sunt	-⌫--|---|
deuant l agentplaisant	-----|-⌫|---|-------|
e tderierefel	-⌫|------|--|
nunshon s ne se puetd a us g aitie r	---|---⌫|-|-|---||-⌫-|-⌫-----⌫|
distdau idou sautier	---|---⌫-|-|------|
uneb estees t	--|-⌫---|--⌫|
co estlas ome	-|--|-|-⌫--|
qu eliauct ors hyenenomme	--⌫|-|----⌫--|----|----|
pas meniable	--|-------|
nes trie nqu ia lisoit sanbla b le	|--⌫|---⌫|--⌫||-|---|------⌫-⌫-|
ordeestlabeste etsiestbel e	---|--|-|----|-|-|--|---⌫|
unehor e ma lea utrefemele	--|---⌫|--⌫-|-⌫---|-----|
a li poetl anbiencompare	|-|---|-⌫-|---|------|
ce sa chiez bi e n deuerite	-|--⌫----|--⌫-⌫|-|-----|
les ienzq uidisrahelissir e nt	--|---|-⌫-||------|-----⌫-⌫-|
premierementa deuse ruir ent	-----------||--|--⌫----⌫--|
a luxu re apressat ornerent	|----⌫-|----||--⌫-------|
ydres ymaginesXXX	----|-------|--|
entendenta us ure	--------||--⌫--|
aauarice etaluxur e	|------|-||-----⌫|
etdespitent ceque	-|--------|-|--|
cesontcilde	-|---|--|-|
singesestdela idefigure	-----|--|-|--⌫--|-----|
d edeable a form e	-⌫|-----||----⌫|
plusres anble	---|---⌫----|
deableque beste	-----|--|----|
couelifau tmaisil ates te	---|-|---⌫|---|-||---⌫-|
mult per estdelaidemeniere	---|--|--|-|----|------|
ne sa dont	-|||---|
cour irperde riere	----⌫-|--|--⌫----|
qua ntd eaubles estoitar change s	---⌫-|-⌫------|-----|--⌫------⌫|
l aisusamont auo ilesanges	-⌫----|----|---⌫|--|----|
co ntresonsignor sergoi ll a	--⌫---|--|-----||-----⌫--⌫|
chiefauoitmais	----|----|---|
b eausestoit maissa resplendor	-⌫---|-----|---|-|---------|
lifumueeentenebror	-|-|---|-|-------|
plusestnoirsqu e erremenzne	---|--|----|--⌫|-------|-|
orest enlapuordanfer	-|--|-|-|---||----|
dec i elperso n folcude ment	-|-⌫-⌫-|--|--⌫|--|----⌫---|
l e comencemen t	-⌫|----------⌫|
etilettu itcilperiront	-|-|-|--⌫-|--|-------|
en lafinqui segul	-|-|--|--|---||
seins posde lui	----|--|-|--|
lib an isierre s ihesu crist	-|-⌫--⌫-------⌫|----|----|
elepha nz estbestesauuage	------⌫-|--|----|------|
granzetforz et si	----|-|---|-|-|
e st mults age	-⌫-|---|-⌫--|
ianecopleraas a	-|-|------||-⌫|
deuantquilcuideang andrer	-------|-|----|---⌫-----|
concoiure est tensethore	--------|--|---|-|---|
sap areilmoine seinsdesmore	-|-⌫----|----|----|------|
as ezpresestdeparadis	--⌫-|---|--|-|------|
zzhe rbe tro uece m	-|--⌫--|---⌫-|-||
mandegloirel e scrizlanomme	----------||-⌫----|-|----|
sanbl ance ade femeet dome	-----⌫---||-|---|-||--|
la femelede ce f ruit	-|-----|-|-|-⌫---|
sen p rimierement	|-|-⌫----------|
totdroit asonmalesenuait	--|----||--|---||-|---|
doufruitlite ntmeng ier	--|----|-|--⌫-|----⌫--|
adontas enblentcharnelmen t	----|--⌫------|----------⌫|
lafe meleenpregneer ra ntment	-|--⌫---|-------|--⌫--⌫-----|
quanttrauaill ie rdoitdesonuantre	----|--------⌫--⌫|---|-|--|-----|
zzgrantlacquiert	-|----|--|-----|
ded e nzsenentre	---⌫-⌫-||-|----|
illuecestius qualaforcele	-----|--|---⌫-||-|------|
limauleses tolafem ele	-|-----|--⌫||-|---⌫--|
le z lin es emour a	--⌫|-|-⌫|-⌫|----⌫|
de ua ntquefa onéaura	--⌫--⌫----|--⌫---|---|
por ledragon	--|-|-----|
qu iliuuetmengiersonfao n	--⌫|-|---|------|--|---⌫|
lim aistredese lephanz	-|-⌫-----|--|-⌫------|
quadameteuese nefient	-|---|-|--|--⌫------|
quie stoient	--|-⌫------|
enparad is	-|-----⌫-|
oudamidexlesauoit m is	-|------|--|----|-⌫-|
iln au oit	-||--⌫--|
en au sfolpen se	-|--⌫|--|---⌫-|
n en sanblen auoi ent	|--⌫-----||----⌫--|
delorsqueeueotd oufrui t goste ́	--------|--|-|-⌫-|----⌫|-----⌫|
quedex liauoitdesueé	--|--|-|----|------|
aadam uintse	|---|---|-|
m e ngier len fitbienletrahi	-⌫-⌫----||-|--|---|-|----|
depar adisfurent	-|---⌫---|-----|
etenmonde trabuchi é	-|-|----|--------⌫-|
pu et estre asignez	--⌫-|----|------|
cist monzporlesdiuersitez	---|---|--|--|---------|
qu en u n estan sunt co n cuillies	-|-|-⌫|----|---|--⌫-⌫-------|
euesdediuersespa r ties	---|-|-------|--⌫-⌫---|
cis tmondeses tcomzzuiuiers	---⌫|-----|--⌫|--|-|------|
dece distdau idous a utier	-|-|---|---⌫-|-|-⌫-⌫----|
quant enuoiezfu nostrepere	----|------|-|-----|---|
d emiser e	-⌫|-----⌫|
euainsa feme adon con u t	----|-|---|---|---⌫-⌫|
etcharnelmentauocliiut	-|----------|---|-|--|
cainmein tenantengeind re re n t	---|----⌫-----|-------⌫--⌫--⌫-⌫|
enduelet enmisere entrerent	-|---|-|-|-----|--------|
uiurelescouientadolor	----|--|------||----|
en po ineentristec e enplor	-|--⌫--|-|-------⌫|-|---|
i hes u cristquilemondefi t	-⌫---⌫|----|--|-|----|--⌫|
por ce pe chie nostrech arprist	--|-|--⌫---|-----|--⌫-|----|
et delapalu	-|-|-|---|
n ostraistfors	-⌫-|-----|---|
pluse stoiens soill ié	---|-⌫------|-----⌫--|
paternosterc est	----------||--|
l orison s	|------⌫|
perlap roierecrist entendons	--|-|-⌫-----|----|--------|
detotalapuisance	-|--||-|-------|
nosmant ieg neen fermecr eanc e	--|----⌫---⌫-|-|----|--⌫----⌫|
ettelb ien	-|--|-⌫--|
ot oliph anzetpo il	-|-----⌫--|-|--⌫-|
ouunle sardra	-|-|--⌫|----|
serpens nebozne remandra	------|-|--|-|-------|
nen ulechoseuermin ou se	-|-⌫--|----|------⌫--⌫-|
tant estla besteprecio use	---|--|-|----|------⌫--|
sea uc unsuoloitendroitsoi	-|-⌫--⌫--|-----|------|--|
fe rmement maintenirla	--⌫------|--------|-|
perc e porroitcenestpasfable	--|-⌫|------|-||--|--|----|
chacierles oeures	------|--|-----|
estbeste multf i er e	--|----|---|-⌫-⌫--⌫|
corz atran chant detel	---||----⌫----|-|--|
que legren orarbrep or roit	--|-|----⌫-|----|-⌫--⌫---|
tranchierqueelet roue roi t	--------|--|--|-⌫----⌫---⌫|
uenerresne la porr o it prandre	-------|-|-|----⌫-⌫-|------|
nelosesoulementatendr e	-||--|--------|------⌫|
qu antlabe s tea ta lanzde bo iure	--⌫--|-|--⌫-⌫-||--⌫---|-|--⌫---|
des autresbe stesse dessoiu re	--|-----|--⌫---|-|-------⌫-|
a z zfl uuecortde randon	|-⌫|--⌫--|---|-|-----|
lif luns eufrates anon	-|-⌫---|-------||--|
l essorceenest	|------|-|--|
l a besteen	-⌫|----|-|
boi tasondeuis	---⌫||--|----|
s orla riuierea zzarbroie	-⌫-|-|------||-|------|
t antse ua labesteioi ant	-⌫--|-|-|-|----|---⌫--|
larbroi esaillant	|------⌫|-------|
queelese prent esuionetes	--|--|-|----|-|-------|
perlesco rneset esuergetes	--|--|--⌫---|-|-|-------|
lors t ripe	---|-⌫---|
et sautetsacheet	-|---|-|----|-|
pe rde streceetperire	--⌫|--⌫-----|-|--|--|
