s eig nors preueire	-⌫---⌫---|-------|
se ite n plusors p ec hezde dampnation	--⌫-|-⌫|------|-⌫--⌫--|-|---------|
siil ueaut l un l aisser	-|-|----||-|-⌫-----|
eles au tres reteniruosnel	|--|--⌫---|------|--|-||
auez pa saabsoudr e de lun	---|--⌫||-------⌫|-||-|
q u ardex nep ar donapas ameitezmas	-⌫-⌫-|--|-|-⌫--⌫---|--||-----|--|
s ii ldeguerp ittoz	-⌫|-⌫|-------⌫-|--|
pechezetde	-----|-|-|
totseprent	--|-|----|
biensparquehom	----|--|--|--|
q u iles faitpuetdeseruirl	-⌫-⌫|--|---|---|-------||
amo rihes u	---⌫|----⌫|
cri st uos dira i	---⌫-|--|----⌫|
bientotesles uertuz totesl es bo nes	---|----|--|-----|----|-⌫-|--⌫--|
ouresq ue lihom fa it	----|-⌫-|-|--|--⌫-|
qu i a char ite ceuestlamors	--⌫||----⌫--|--|--||----|
amors deson	----|-|--|
proemee n s e i santifiete	-----|-⌫|-⌫-⌫|--------||
a ppareillet queilseit	-⌫---------|--|-|---|
di g nes dela gloirenostreseignor	--⌫-⌫--|-|-|-----|-----|------|
quelesbonesou resque li	--|--|----|--⌫--|--|-|
maushomf ai tq ui	---|--|-⌫--⌫|-⌫-|
cha ritenena	---⌫---|--||
nepuetfair e	-|---|----⌫|
sonopsi ssid eitaueirli	--|--|-⌫--|-⌫--|----|-|
pres tresescienceenseipar quei	----⌫---|-------|-|--|--|---|
respondreauiust eau	--------|-|---||-|
pecheorsi cum dist	------|-|--|---|
dexparlo prophetela	--|--|-|-------|-|
tercechosequi	----|----|--|
est besoignable	--|----------|
apreue ires iestla predications	|-----⌫--|-⌫|--|-|-----------|
par queli prestresdeit	--|--|-|-------|---|
pe strelesoa illesdamered e	--⌫---|--|--⌫----|-------⌫|
ueutdameredex	---|--------|
queliprestres	--|-|-------|
facetozio rse c	---|--|--⌫-|||
est ceu queil	--|--|--|-|
loprophete	-|-------|
por ceud is t	--|--|-⌫--⌫|
il que nos nedeu om	-|--|--|-|---⌫-|
pas laisser lo bienadirepor la	--|------|-|---||---|--|-|
cr emedausma uu aiz hommesiss i sunt	--⌫--|---|--⌫--⌫--|-----|---⌫|---|
t r eischose sq u i bo soignab les	-⌫-⌫--|-----⌫|-⌫-⌫|--⌫-------⌫--|
p reueires i cumnosauo m	-⌫------|-⌫|--|--|---⌫|
noscre omlasaintetr in itelo p ere	--|---⌫-|-|-----|--⌫--⌫--|-|-⌫--|
elo fi le lo sainte s per it	|-|--⌫||-|----|-⌫-⌫---⌫-|
noscreomqu e estunsdex	--|----|--⌫|--|--|--|
trest o z poissanz edurab l es	-----⌫-⌫|-------||-----⌫-⌫-|
quedex li peres	--|--|-|----|
ensenble oble	-------|-|-|
es peritfist lo celelate rre e totes	--⌫----|---|-|--||-|--⌫--||----|
chosesde n ien tnos	-----|-|-⌫---⌫|--|
creom qu e lifilzdepr ist	----|--⌫|-|---|-|--⌫--|
sanc dela u irg e marie	---|-|-|-⌫---⌫|----|
equeil soffritpas sionon temps	|--|-|------|---⌫---|-|----|
pilateeq ueil	-----||-⌫-|-|
en c roi z por h omme raembredauspeines	-|-⌫---⌫|--|-⌫---|------|---|-----|
d enfe reque	|----⌫||--|
miso n sepulcreeq ue illeuaau	--|-⌫|-------||-⌫-|-|---|-|
iordemor t	--|-|---⌫|
equeil monta oncelequeil	|--|-|----|-|--||--|-|
s onpe r eequei lue ndraa uior	-⌫-|--⌫-⌫||--|-⌫|--⌫---|-⌫|--|
iuyse poriugerlesuis	----|--|----|--|--|
morz ere ndraachascunsegont	---||--⌫---||------|-----|
ceuqu ilaura	--|-|-|---|
noscreo m qu eli sai nzesperizo b	--|----⌫|--⌫|-|---⌫-|------|-⌫|
le pere eobl efil	-|---||-|-⌫|--|
estgloirifieznoscreomen	--|---------|--|----|-|
sainteigleselosain t	-----|-----|-|----⌫|
bapt esm e	----⌫---⌫|
n osc reom	-⌫-|-⌫---|
la resurrectiondaus cor s	-|-----------|---|---⌫|
auiordel iuysee	-|--|--|----||
durablecest u eraiem e ntceu	------||--|-⌫------⌫-⌫-|--|
est l acreance par	--|-⌫|------|--|
quei s ain t iglesecr e ste	---|-⌫---⌫|-----|--⌫-⌫-||
re cono istde	--⌫----⌫--|-|
qui cestecreance	--|----|------|
bonecr eance	---|--⌫----|
es i fait bone	|-⌫|---|---|
ourepa r quei	---|--⌫|---|
dexueaug erega rde r	--|-----⌫|----⌫---⌫|
benfai tlibi e nsqu eil	------⌫|-|--⌫-⌫-|--⌫|-|
fait ser areceguz	---|---⌫|------|
dauant dee li sera	-----|-||-|---|
estoeziusqau	-----|---|-|
grant besoigsi i lne	----|-----|-|-⌫|-|
ouf orf ait e ndeci qualai	-|-⌫---⌫--|-⌫|---|-||--|
seign orspreueirecestecreance	-----⌫--|-------|----|------|
que sain teigles eaendeu	--|----⌫-|-----⌫||-|--|
estsan z feiceditli	--|---⌫|--|-|--|-|
apostresnepuetnushom	-------|-|---|--|--|
de ce deuez uosdo nquesdire	-|-|----|--|--⌫----|---|
ausdiomainesauo st regentq ue	--|--------||--⌫--⌫-|---|-⌫-|
destruielobien ensei	-------|-|---|-|--|
lo malmett e	-|-------⌫|
par mescreancepa r	--|---------|--⌫|
c harrais ne parnuleautrechose	-⌫------|-|--|---|----|----|
quis eit cont r ai rea lac reance	--|-⌫--|----⌫-⌫--⌫-||-|-⌫-----|
desainteiglesequar	-|-----|-----|---|
sach ezce rtaine mentcilq uiceu	----⌫-|--⌫------⌫---|--|-⌫-|--|
creient lessorceries	------|--|--------|
neles aut res	-|--|---⌫--|
maluaistezq u il	---------|-⌫|-|
maumettent detot eneaus la	---------|-|--|-|---|-|
saintecreanceque nosauomde de e	-----|------|--|--|---|-|-||
p orce ud istli	-⌫-|--⌫|-⌫--|-|
apost ressai nz pousata u manerede	-----⌫--|---⌫-|---||--⌫|-----|-|
gent oreseigno rs preu eire	---|--|------⌫-|----⌫---|
metez lasainte creanc equ i	----|-|-----|------⌫|--⌫|
fundamenz detot b i en	--------|-|--|-⌫-⌫-|
met ez la onscuers dauscrestiens	---⌫-|-|--|----|---|--------|
queuo sauez	--|--⌫|---|
a consei ller	|------⌫---|
que ilpuissents eguremente	--|-|-------|-⌫--------||
ferm ementsoredifierles	----⌫----|--|------|--|
bon esu ertuz	---⌫-|-⌫----|
eles bones oures	|--|----|----|
n ostre pere quies ons ceus	-⌫----|---|--|-|--|---|
sain tifiezseitli	----⌫-----|---|-|
auengelitons re gnes seit	-----|-|---|--⌫---|---|
fai telatoeuolun tesi	---⌫-|-|--|-----⌫-|-|
ele estf ait eoncelissiseit	--|--|-⌫---⌫|-|--|---|---|
fa iteenlaterre	--⌫--|-|-|----|
no strepaind echasc uniordone	--⌫---|---|-⌫|-----⌫-|--|---|
nosh uiepardone nos	--|-⌫-||------|--|
nozm effa issicumnos pard onoma	--|-⌫----⌫-|-|--|--|----⌫---||
ceaus quimeff ait	----|--|----⌫--|
cesta direne	|--||---|-|
soffrequenos	-----|--|--|
seiom tempténeparla	----|------|-|--|-|
temp taciondeld i abl en ede l a maluaise	----⌫-----|--|-⌫-⌫---⌫|-⌫|-|-⌫|-------|
chara ma umenéma s	---||--⌫|----|--⌫|
de liurenos	--⌫----|--|
entrestotes	-|--------|
lesparoles quifurent	--|------|--|-----|
ditesenterre	----|-|----|
s ie st lap lu ssein teet la	-⌫|-⌫-|-|-⌫--⌫|----⌫-|-|-|
hauteela meildre	----||-|------|
lapater nostrequarcestenommeement	-|-----⌫-----|---|----|---------|
establitdex	-------|--|
comandaadi reato z ceausq uien lui	------||--⌫-||--⌫|----|-⌫-|-|--|
creireiente por ceu	---------||--|--|
ele est plusditeep lus	--|--|---|---||-⌫--|
estre en sainte igl es e	----|-|-----|---⌫--⌫|
quenuleautre choseporceu	--|---|----|----|--|--|
certaineme ntquetaus	----------⌫-|--|---|
est reque uos	---⌫-|--|--|
demand e z plusuostre mau	------⌫-⌫|---|-----|--|
damerede queuost rebie nquant uos	-------|--|----⌫-|---⌫|----|--|
disez lapater nostre epor	----|-|-----⌫-----||--|
ceuquenos uolomque uoss ache z	--|--|--|----|--|--|-⌫----⌫|
queuosdis eze	--|--|---⌫-||
que uo s demandez	--|--⌫|-------|
a dequan tuos	|-|----⌫|--|
dis ez l a p ater nostresi	---⌫-|-⌫|-⌫----⌫-----|-|
uosdirome s iuosmost errom en	--|----||-⌫|--|----⌫----|-|
romanzceuquela lettre	-----|--|--|-|-----|
nostre pe requies onceus	-----|--⌫-|--|-|-|---|
s a in tif iezseitli	-⌫-⌫--⌫---⌫--|---|-|
sept chosespre omedeman dom a	---|-----|---⌫-||-----⌫--||
damere dequant	------⌫-|----|
lapa te rnostrela premereestque	-|--⌫--⌫------|-|------|--|--|
quesaintif i ezseit lisonsn ons	--|-------⌫-⌫-|---|-|---|-⌫--|
s egonde chose estquenos li	-⌫-----|----|--|--|--|-|
preomque auengelisons	----|--|-----|-|---|
rengn eslaou	-----⌫-|-|-|
choseestque nosli	----|--|--|--|-|
preomq ue s auolunteseitfa ite	----|-⌫-|-⌫|------|---|--⌫--|
aus i cumele	---⌫|--|--|
est faiteoncel la ou	--|----|-|--|-|-|
qua rte chose que	---⌫--|----|--|
noslipreom queil	--|-|----|--|-|
doi nthu ia	---⌫-|--⌫||
nosnostrepainde	--|-----|---|-|
chascuniorlaounosdisomli	------|--|-|-|--|----|-|
q u inte chose sies tque	-⌫-⌫---|----|-|--⌫|--|
noslipreomqueil	--|-|----|--|-|
no spardoint	--⌫|-------|
nosmef faiz	--|---⌫---|
pa rdonomaceaus qui m eff aitn os	--⌫-----||----|--|-⌫---⌫--|-⌫-|
ontlaiou nosdisom	--|--|-|--|----|
la sextechoseq ue	-|----|----|-⌫-|
nos l ipreomque	--|-⌫|----|--|
temptacio nlaiounos diso mceu	---------⌫|--|-|--|----⌫|--|
estadire que ilne	--||---|--|-|-|
soff retquenospartempt ation	----⌫--|--|--|--|-----⌫----|
seiom menéa m a u l a	----|----||-⌫-⌫|-⌫|
septaine chose siestquenos	-------|----|-|--|--|--|
demando m anos tre	-------⌫||---⌫--|
sei gnor queil nos	---⌫---|--|-|--|
deliuredemau	------|-|--|
o reoiez lapremere	-⌫-|---|-|------|
premerementtaus	----------|---|
a pele deupere	-⌫---|--|---|
quantilditla	----|-|--|-|
paternostrequidreit	----------|--|----|
n i aquaril	|||---|-|
nest pasfi l z	|--|--|--⌫-⌫|
d epar nuleb oneoure que	-⌫|--|---|-⌫--|---|--|
par bone uiequeil	--|---|--|--|-|
demaint ned esne	------|-|-⌫-|-|
le recon oist	-|-----⌫---|
fil pa rle	--|--⌫|-|
peche oud eablesl	----|-|-⌫-----||
quarlimaluais homq ui de	---|-|------|--|-⌫-|-|
ne sescoma ndemenz	-|--|----⌫------|
efaiti celes choses qui	|---|-⌫----|-----|--|
p la isenta u deableeque il	-⌫--⌫----|-⌫|-----||--|-|
pasfilz deque	--|---|-|--|
filzaudiablesi cu m	---|-|-----|-|--⌫|
ditnostresires ausiues qui de	--|-----|----|--|---|--|-|
luinede ses	--|-|-|--|
p a r olesn	-⌫-⌫-⌫---||
ore ntc ureu os estes dau	---⌫-|-⌫--|-⌫-|----|--|
es t diables	--⌫|------|
or ebe s oignedonque s	--⌫|--⌫-⌫----|------⌫|
quelihomqui	--|-|--|--|
u eu tqued ex	-⌫--⌫|--|-⌫-|
oi esa preiere	--⌫|-|------|
ta us p ar la	--⌫-|-⌫-|-|
dex le recon oisse	--|-|-----⌫----|
af iladonc	|-⌫-|----|
poira il direedex l	----|-|---||--||
lide man derasi	-|--⌫---⌫---|-|
il uoitqueceu	-|---|--|--|
as onprofitesicilquipr ien	|-⌫-|-----||-|--|--|--⌫-||
lerec onoistpor son	-|---⌫-----|--|--|
parbonesoure se p ar sainte	--|----|----⌫||-⌫-|-----|
uiequeildeitdemenerla	--|--|-|---|------|-|
preier e ne serapas oiequar	------⌫|-|---|--|--|---|
si c umd i tlescripturedex	-|-⌫-|-⌫-⌫||---------|--|
ditneno tpasles	--|--|-⌫|--|--|
pe cheors iceuspech eorscedeuez	--⌫-----|----|----⌫---|-|----|
e ntendrequide lui n	-⌫------|--|-|--||
cu re eq uiplusuoluntersf ont le s	--⌫-||-⌫-|---|--------|-⌫--|--⌫|
oures audeable quelesdam erede	----|-|-----|--|--|---⌫----|
iss i cu m nosdituneaut re	---⌫|--⌫|--|--|--|---⌫-|
escri pturecilquitorne	-----⌫----|--|--|----|
ceditsoreilleque ilnenoie	-|--||------|--|-|--|--|
la leique dex	-|--|--|--|
comandata us hom sede it a men der e	------|--⌫-|--|-|--⌫-|-⌫---⌫--||
d e uenirfilzd eidonc	-⌫-⌫----|---|-⌫|----|
adoncpoiraildirenostre	----|----|-|---|-----|
quiesonce us	--|-|-|--⌫-|
saintifiezseit	---------|---|
l itons nons	-⌫|---|---|
si ne st il donq ues sainze	-||-⌫-|-|----⌫--|----||
saintifi eztoz iorso il uoir	--------⌫-|--|---|-⌫-|---|
linonsda merede estsainze	-|---|--⌫-----|--|----||
sainti fieztoziorse n	------⌫---|--|---|-⌫|
seimeismes neplu sne p ue tes tre	--|------|-|---⌫|-|-⌫--⌫|--⌫--|
sai nz nes aintifiez	---⌫-|-|-⌫--------|
ensei meism esque ilestm es	-|--|-----⌫-|--|-|--|-⌫-|
deuezsaueirqu e	----|-----|--⌫|
quan t nosdis om sa int ifiezs eit	----⌫|--|---⌫-|--⌫---⌫----|-⌫--|
litons nons	-|---|---|
quenosne preom pasde queisis	--|--|-|----|--|-|---|--|
nons ensei meis mes	---|-|--|----⌫--|
seitsain tifiezq u arilest	---|----⌫-----|-⌫-⌫-|-|--|
parfitement saintif iez mesnos	----------|-------⌫--|--|--|
preom quei l seit sa in tifiez	----|--|-⌫|---|--⌫--⌫-----|
ceus enqueiil	---|-|---|-|
encore mie sa intifiez equ ei l	-----|--|--⌫-------||--⌫|-⌫|
nisen cu i il	--|-|--⌫|-|
s aint ifi ez seit ancor e plus	-⌫----⌫---⌫-|---|-----⌫|---|
saintifi ezq uarsi cum l ihom	--------⌫-|-⌫--|-|--|-⌫|--|
meilzcreit eplus aime damerede	----|----||---|---|-------|
tant est linons	---|--|-|---|
damered epluse n luisaintifiez	-------⌫|---|-⌫|--|---------|
diree autretantuaut	---||--------|---|
n osdisiom	-⌫-|-----|
pl usorsp aroles s ire dexsaintifiez	--⌫----|-⌫-----|-⌫--|--|---------|
seitlitonsnons ons	---|-|---|---|--|
cue rsauspaiensquetuaspor ueua	---⌫-|--|-----|--|-|-|---⌫--||
sauuerq ue il	-----|-⌫-|-|
creient econoiss en taueraide	------||-------⌫--⌫||----|-|
eaueraiseignor	||----|------|
equei ltaiment co me seignore	|--|-⌫||-----|--⌫-|------||
seitsaintifiez litons	---|---------|-|---|
nonsonscuers aus ma luaiscrestiens	---|--|----|--|--⌫----|--------|
deguerpissent lor	------------|--|
pechez enqu eiilsunteque ilt	-----|-|--⌫-|-|---||--|-||
aiment ecree n t	-----||----⌫-⌫|
ecrement queileneau s	|------|--|-|-|---⌫|
fermem e nt	------⌫-⌫-|
tecreient etplus	-|------|-|---|
fer m ementteiaiment	---⌫-⌫----|--|-----|
auengel it ons regnesdamerede x	-----|-⌫|-⌫--|-----|--------⌫|
estreis eilgo uern a	--|---||-|--⌫----⌫|
totsonregne totesseso u r es	--|--|----|----|--|-⌫-⌫-⌫-|
ses c reature s mes i a	--|-⌫-------⌫|--|-⌫|
seitceu que	---|--|--|
ilsei treis eque	-|---⌫|---||--|
li sonsr eg nes	-|---|-⌫--⌫--|
se it totes o ressi preomque	--⌫-|----|-⌫--|-|----|--|
a uengeli s onsregnes	-⌫----|-|-⌫--|-----|
por ceuque en	--|--|--|-|
terreamozhommesen	----||--|-----|-|
regnepasp arsa	----|--|-⌫-|-|
gracem esdeables	----|-⌫-|------|
i regnet par	|-----|--|
p ech esi pre om deq uant nos	-⌫---⌫|-|---⌫-|-|-⌫---|--|
disom q ueil destruieen	----|-⌫-|-|-------|-|
taumaneredaus g enzl o	--|-----|---|-⌫--|-⌫|
regne e de la	----||-|-|
poesteau deab le e que	-----|-|----⌫-||--|
ilmett eenceau ssabonteesa	-|----⌫|-|----⌫|-|----||-|
saintete queila	-------|--|-||
misence ausencuiil regneia	--|-|--⌫--|-|--|-|----|-|
parsagra ce	--|-|---⌫-|
preo m an core q uantnosdisom	----⌫|--⌫---|-⌫---|--|----|
auenge l afinsdau	-----|-⌫|---|--|
secle q uesi ene m iueiente	----|-⌫-|-|---⌫-⌫|-----||
sachent queil est	------|--|-|--|
ue raisde xeuera isreiseque tote	--⌫---|--⌫||----⌫-|---||--|---|
sainte iglese	-----|-----|
regnese queil	-----||--|-|
main te nt	----⌫--⌫-|
s ei tessauceee	-⌫--⌫|-------||
glorifie ieenceaue	--------⌫-|-|---||
enterre eentoz	-|----||-|--|
tot ess es filles	---⌫-|-⌫-|-----|
s eitfaitet auo luntez en terresi	-⌫--|----|-⌫|--⌫-----|-|----|-|
estfai teon cie l	--|---⌫-|-|---⌫|
seig norson	----⌫---|-|
celestf ait ela	--|--|-⌫---⌫|-|
uolunte damered e parfite men t	------|-------⌫|-------⌫---⌫|
sunt o ncel	---|-⌫|--|
d auant dee	-⌫----|-||
ob eissent aluie	--⌫------||--||
fontpa rfitement	---|--⌫--------|
sauolun teesoncom man demen t mes	-|-----⌫-||--|---⌫---⌫-----⌫|--|
motdeceaus	--|-|----|
quifonticel es chosesqu e dexn e	--|---|----⌫-|-----|--⌫|--|-⌫|
uodr oitmie	----⌫--|--|
eporceu preom	|--|--|----|
estautresi	--|------|
disiompar autr esplusorsp aroles	-----|--|----⌫-|------|-⌫-----|
cil qui s unton celseg ont	--|--|-⌫--|-|--|---⌫--|
grande scedauben	------⌫--|--|--|
lagr acequetulor donessire	-|--⌫--|--|-|--|----|---|
done q uef acen t	---|-⌫-|-⌫----⌫|
parfi tement i ssi donges	-----⌫-----|-⌫--|-----|
tuquelihomme mo rtau la	-|--|-|----|--⌫---|-|
facen ten terre sego ntlorpetit	-----⌫|-|----|----⌫-|--|----|
poeires egon tla	----||-⌫----⌫|-|
gracequetulo r dones	----|--|-|--⌫|----|
d onequefacent	-⌫--|--|-----|
latoe uolunte li apos t o ileli	-|--|------|-|----⌫-⌫-⌫--|-|
nostre painde ch ascu niordo ne	-----|---|-|--⌫----⌫|--|--⌫-|
noshui h omqui	--|--|-⌫-|--|
yy na tu res d enature corporau	-|--⌫--⌫--|-⌫|-----|-------|
ede na ture	|-|--⌫---|
espiritauamesterdedoble	--------||-----|-|----|
