etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
etl eua lle tautres no uueles	-|-⌫|--⌫---⌫|-----|--⌫-----|
enq ui ertetdemande etentent	---⌫--⌫--|-|------|-|-----|
samainasa lancelite nt	-|---||-|----|-|--⌫-|
sel prentetdistbiausire	-||----|-|---|---|---|
uousqui aueznonche ualiers	---|--|---|--|---⌫------|
que estice que	--|--|--|--|
uous tene z	---|----⌫|
orsuige mout b ienassenez	-|--|-|---|-⌫--|------|
cheualiercemest uis	--------|-||--|--|
gecuidoi efet ilamis	-|------⌫|--|-|---|
nouuel esaprendr edetoi	------⌫-|-------⌫|-|--|
lesueuz sauoir	--|---|-----|
geltediraice estmalan ce	-||-|----|-|--|-|---⌫-|
dites uous	----|---|
dont queonlal an ce	---|--|-|-|-⌫--⌫-|
s icomiefez	-⌫|--|-|--|
m es iaueloz	-⌫-|------|
nenilamistu	----|---|-|
fiert on t outdemanois	----|-|-⌫--|-------|
adont uautm iexzzdecestro is	----|---|-⌫--|-|-|--|---⌫-|
i auelozque uo usueez	-⌫-----|--|--⌫-|---|
quarquantil meplest gen	---|----|-|-|----||-|
oiseausetbestesab eso ig	------|-|-----||-⌫---⌫-|
lesoccid e silo ing	--|---|-⌫|-|--⌫--|
com lenpourro itzzbousontrere	--|--|------⌫-|-|-----|----|
ualletde cen aige quefe r e	-----|-|-||-|-|--|--⌫-⌫|
mes des cheualiersme res pont	--|--|---------|-|---⌫---|
dimo i s etusezouil sont	-|--⌫|-⌫|-|--|-|-|---|
et le spuceles ueistu	-|--⌫|------|---|-|
legaloisau	-|-----|-|
pan del escu	--|-||---|
c e queestetdequoi u ousser t	-⌫|--|--|-|-|---|-⌫--|---⌫|
ualletfetilcees t abb et	-----|--|-|-|--⌫|---⌫-|
ne te quie rned e ma nt	-|-|----⌫|-|-⌫-⌫--⌫-|
ie cuidoiese d iexm	-|------|-|-⌫--||
nouu elesmedeisses	----⌫---|-|------|
ainzquedemoi lesap re isses	------|-|--|--|--⌫--⌫----|
ettuue ulzqueie les t	-|-|--⌫--|--|-|--||
apre ingne	----⌫----|
tediraicommentqui lpr eingne	-|----|--------|-⌫|--⌫-----|
quara toi uole ntiersmacort	---||--|----⌫-----||----|
escu a n oncequeie port	---||-⌫-|-|--|-|---|
escu anonuoirefe tcil	---||--|----|--⌫|--|
ien el doi	-|-⌫||--|
mieteniruil	--|----|--|
mestdesibon e foy	|--|-|-|---⌫|--|
que se nul	--|-|--|
traitn e l anc eamoy	----|-⌫|-⌫---⌫||--|
en contretouz les cops setret	--⌫-----|---|--|---|-|---|
cest le seruisequil	|--|-|------|-|-|
atantc e u squifurenta rriere	----|-⌫-⌫-⌫|--|-----|-⌫-----|
s e nuindrent parmi	|-⌫|-------|----|
lacharri ere	-|------⌫--|
uersleurse igne u rplusque le	---|---|--⌫----⌫-⌫|---|--|-|
si lidistr entisnelepas	-|-|-----⌫--|--------|
sirequeu o usdit cegal ois	---|--|-⌫-⌫-|--|-|---⌫--|
ilne setpas to utesles lois	-|-|--|--|--⌫---|--|---|
siressediexm ame nt	----|-|---||---⌫-|
denuleriensq u elidemant	-|---|----|-⌫-⌫|-|-----|
nemerespontilmieadroi t	-|-|------|-|--||----⌫|
a inz dem ande dequ anquiluoit	-⌫--|---⌫---|-|--⌫---|-|---|
co mment anon etcon	--⌫----||--|-||-|
sire sach iezbienentr eset	---|----⌫--|---|----⌫---|
queg al ois sonttouz p arnature	--|-⌫--⌫--|---|---|-⌫-|-----|
plusfol s quebes tequipasture	---|---⌫|--|---⌫-|--|------|
cis taussi comuneb este	---⌫|----|--|--|-⌫---|
f ol estquidel ezlu is arreste	-⌫-|--|--|---⌫-|--⌫||------|
s alamu se	||-|--⌫-|
neueut muse r	-|---|----⌫|
ets on te mpsen fo lie user	-|-⌫-|--⌫--|-|--⌫--|---|
ne saidistilse	-|--|---|-|-|
diexmeuoie	---|-|---|
mesa i nzquememet e a lauoie	--|-⌫-⌫----|-|---⌫||-|---|
l orsli demando itd erech ief	-⌫--|-|-------⌫-|-⌫-----⌫--|
ualletfetilnetesoitgrief	-----|--|-|-|-|---|----|
etdespuce lesautressi	-|--|----⌫--|-------|
selesencontrasneue is	-|--|--------|-|--⌫-|
e tlegalois letenoitpr is	-⌫|-|-----|-|-----|--⌫-|
haubercsi l e tir e	------|-|-⌫|---⌫|
ditesbi audouzsir e	----|--⌫-|---|---⌫|
qua uez uestu	-|-⌫--|----|
ie nonfetilcestmonh aubers	-|--|--|-||--|--|-⌫-----|
qui e stsi pesantcommefers	--|-⌫-|-|-----|----|---|
estde fe rce uoiztubie n	--|-|--⌫|-|---|-|---⌫|
de cef et ilnesaige rien	-|-|-⌫-|-|-|--|-|---|
mes mou t ertb el sediexmesaut	--|---⌫|--|-⌫-|-|---|-|---|
quefe tesuo us	--|--⌫--|--⌫-|
uousu au t	---|-⌫--⌫|
u alletcedira ide	-⌫----|-|----⌫|-|
sor uoulo iesa	|-|-----⌫--||
moilancier	--|------|
iauelot nesai etetr ere	------|-|---⌫--|--⌫--|
m en porroiesmal fere	|-|-------|--|---|
dant ch eualierd etiex haubers	---|--⌫------|-⌫|---|------|
gar t diex les byches e tl es	---⌫|---|--|-----|-⌫|-⌫-|
o ccirenenporro ie	-⌫----||-|-----⌫-|
neiames apresneco urroie	-|----|----|-|--⌫-----|
et le cheual ie r	-|-|------⌫--⌫|
u alletfetilsediextait	-⌫----|--|-|-|---||--|
s etumesezdire nouue les	-⌫|-|-|--|---|-----⌫--|
desch eualiers etd e spuceles	--|--⌫-------|-|-⌫-⌫|------|
moiseturiensens ez	--|-|-|----|-|-⌫-|
et cil quifu peti ts enez	-|--|--|-|----⌫|-⌫---|
liamaintenan tdemandé	-||---------⌫|-------|
sirefustesuousainssiné	---|-----|---|-----|--|
nenilualle t	----|-----⌫|
cene puetestre	-|-|---|----|
quenulerienspuisseainssinestr e	--|---|----|-----|-----|-----⌫|
at ourna d ont ainssi	--⌫----|-⌫--|-----|
ualletge ted irai bienq ui	-----|-|-|-⌫---|---|-⌫-|
ditesle dont moultuolentiers	----|-|---|----|---------|
pas yy iours entiers	--|-|----|------|
ces thernois	---⌫|------|
deui ndr ent	----⌫---⌫--|
lesch euali ers	--|--⌫-----⌫--|
qui lesyypuce les	--|--|-|----⌫--|
uonti l le pasou	---|-⌫|-|--|-|
il s en fuient	-||-|-----|
etcillidistsireesgar dez	-|--|-|---|---|-----⌫--|
ce le fo restqueuous uee z	--⌫-|--⌫---|--|---|---⌫|
quicelemontaign e au iron n e	--|---|--------⌫|--⌫----⌫-⌫|
lesde stroizde	--|--⌫-----|-|
ual don ne	---⌫---⌫-|
e tq uestdece	-⌫|-⌫|--|-|-|
f etil biaufrere	-⌫-|-|---|----|
lasontles herceors mame re	-|---|--|-------|-|--⌫-|
quiles terr es font etse m erent	--|--|----⌫-|---|-|--⌫-⌫----|
et s ece le	-|-⌫|--⌫-|
gent ypa sserent	---||--⌫------|
illes uirent	-|--|-----|
s eluous diront	-⌫||---|-----|
etceulsdi entque il	-|----|--⌫--|--|-|
auoecluisei l	----|--|-|-⌫|
laouc e uls hercentleurau ai ne	-|-|-⌫-⌫--|------|---|--⌫--⌫-|
le uallet p re n tsoncha ceour	-|-----|-⌫--⌫-⌫|--|---⌫----|
et ue tla ouliherceo ur	-|--⌫|-|-|-|------⌫-|
hercoie nt les	-------⌫-|--|
te rres arees	--⌫---|----|
oules auoines sontsemees	-|--|------|---|-----|
etquantil uirentle ur s eignor	-|----|-|-----|--⌫-|-⌫-----|
sitrembl erenttou zdepoo r	-|------⌫----|---⌫|-|---⌫|
etsauez po rquo i i lle firent	-|----|--⌫|---⌫|-⌫|-|-----|
pourles cheualiersq ueiluire nt	---|--|---------|-⌫-|-|----⌫-|
luia rmez uen oie nt	--|-⌫---|---⌫---⌫-|
qui bienseuentsil l iau oie nt	--|---|-----||-|-⌫|--⌫---⌫-|
leuraferedit etleur	---|----|--|-|---|
que il uoudr oitch eualierestre	--|-|-----⌫--|--⌫------|----|
et same reeni stroit dusen	-|-|--⌫-|-|-⌫-----|-|--|
quidesto urn e r lencuidoitbien	--|-----⌫---⌫-⌫||-|------|---|
queiacheualiern e uei st	--|-|--------|-⌫|---⌫-|
ne leur a ferenapreist	-|---|-⌫---||------|
galoisdistas	-----|---|-|
ueistesh uiyy ch eu aliers	------|-⌫-|-|--⌫--⌫-----|
e t yypucele s ci	-⌫|-|------⌫|-|
il nefinerenthuiderrer	-|-|-------|--||----|
par ces d est roisfo nt	--|--|-⌫---⌫---|--⌫-|
auoi talui parle ́	----⌫||--|-----⌫|
dist sirepa rci s ontalé	---|---|--⌫|-|-⌫--|---|
li c heualiers	-|-⌫--------|
et lespuceles	-|--|------|
mesormereditesnouu eles	--|-|-|------|----⌫---|
du roy qui lescheualier s	-|--|--|--|---------⌫|
et de l lieu ou ilplusestet	-|--⌫|---|-|-|---|----|
uallet f etildir e	-----|-⌫-|-|---⌫|
q ueroyseiourne akard uell	-⌫-|--|-------||----⌫---|
np asp asséquint	|-⌫-|-⌫----|----|
quilyestoitasei o ur	-|-||-----||---⌫-⌫-|
quantge ifu etsileui	----|-||-|-|-|-|-|
et se tuneltrueu es ici	-|-|-|-||-----⌫-|--|
bien iertquiletens eira	---|---|--|-||---⌫---|
iasidest ournez n esera	-|-|----⌫-----|-⌫|---|
tantos tlecheualiersempart	------⌫|-|--------||-|---|
les granzgalozm outliesttart	--|----|----|-⌫--|-|--|---|
quei la it lesautresataint	--|-⌫|-⌫-|--|-----|-----|
et le ualletnes	-|-|-----|-||
est pasfaint	--|--|----|
de reperier asonmanoir	-|-------||--|-----|
ousa mere dole nt etnoir	-|-|---|----⌫-|-|---|
cuer po rsademore	---|--⌫|-|-----|
grantioiea eueacele	----|---||--||---|
quant e leleuitpasnepot	----|-⌫-|-|--|--|-|--|
celer laioiequeleenot	----|-|---|-|--|-|-|
quarc ommeme requi	---|-⌫---|--⌫-|--|
qu eurtc ontr eluietsile claim e	--⌫---|-⌫----⌫|--|-|-|-|-----⌫|
biaufilz bia u fi l zplusdeyy foiz	---|---|---⌫|--⌫-⌫|---|-|-|---|
bia ufilzmoutaesté destroiz	---⌫|---|---||----|-------|
moncuer p ouruostredemoree	--|---|-⌫--|-----|------|
es t e ́aco uree	--⌫-⌫-⌫|---⌫---|
sique par poimorte nefui	-|--|--|--|----|-|--|
ouau ez uous t ant	-|--⌫-|---|-⌫--|
est e ́h ui	---⌫-⌫|-⌫-|
oudam eg el uousdirai	-|---⌫|-⌫||---|----|
quei a ne uous en ment i rai	--|-⌫|-|---|-|----⌫-⌫--|
dunech ose que	|--|--⌫--|--|
ai gehui moutgrant ioie eue	-|-|--|---|----|---|--|
do nt ne mes oulie z	--⌫-|-|-|-⌫-----⌫|
queliangele	--|-|-----|
dieu nostresire	---|-----|---|
sontsi b e l	---|-|-⌫-⌫|
q ue onques	-⌫-|-----|
ne fi sts ibele	-|--⌫-|-⌫|---|
nelmonden a	|-|----|||
s ib elerien	-⌫|-⌫--|---|
biau filzenquor	---|---|-----|
le digebien	-|-|-|---|
geldispouruoir	-||--|---|---|
etdienco re	-|-|----⌫-|
belemerene ui geore	---|---|-|-|-|--|
le s plu sbeles cho sesquisont	--⌫|---⌫|----|---⌫--|--|---|
quiparla gastefores tuon t	--|--|-|----|-----⌫|---⌫|
cil sontplusbelsicom gecuit	--|---|---|--|-|--|-|---|
quediex nesiangeletr estuit	--|---|-|-|-----|--⌫-----|
lamer eentreses	-|---⌫|----|--|
brazlep rent	---|-|-⌫---|
et distbiaufilzadieu terent	-|---|---|---||---|-|---|
quar moutaigra ntpao ur detoi	---|---|-|---⌫-|---⌫-|-|--|
tua s ueu sicom iecroi	-|-⌫|--|-|--|-|---|
lesangelesdon t lesgentsep laignent	--|------|---⌫|--|---|-|-⌫-------|
quio cientquanqu	--|-⌫----|-----|
ilat aignent	-|--⌫------|
non a i uoir mere non	--|-⌫|---|---|--|
che ualiersd i ent quilont non	---⌫------|-⌫-⌫--|-|-|--|--|
sepasmeace	-|----||-|
quantcheualiernou merli ot	----|--------|---⌫--|-|-|
etquantele f uredreciee	-|----|--|-⌫|--------|
distc ommefame co urouciee	---|-⌫---|---|--⌫-------|
a lass e coms uimalbaillie	|----⌫|--|-⌫-|---------|
biaudouz filzdecheu alerie	---|---|---|-|----⌫-----|
uouscuidoiesi	---|------|-|
b ieng arder	-⌫--|-⌫----|
en o issiezp arler	-|-⌫-----|-⌫----|
n ulnenc onneussi e z	-⌫-||-|-⌫--------⌫-⌫|
che ualiere stredeussi ez	---⌫-----|-⌫---|------⌫-|
biau filz s edamedieupleu st	---|---|-⌫|-------|----⌫-|
seuostrepere uous	-|-----|---|---|
garde ́ etuos au t resamis	-----⌫|-|--|--⌫-⌫--|---|
notcheualie re ncest	|-|--------⌫|-⌫|---|
tant red outénetan t cremu	---|---⌫----|-|---⌫|----|
biaufi l zcomuostr e per e fu	---|--⌫-⌫|--|-----⌫|---⌫|-|
en touteslesyllesde mer	-|-----|--|----|-|--|
decem epuisiebie n	-|-|-⌫|---|-|---⌫|
queuousnedechaez de rien	--|---|-|------|-|---|
deson lignage	-|--|------|
de du m ien	-|-|-⌫--|
kargesuidec heualier ne e	--|-|--|-|-⌫-------|--⌫|
desmeilleursdeceste contre e	--|--------|-|----|------⌫|
esy s les demer	-|-⌫-⌫--|-|--|
n otlignage	|-|------|
m e illor dum ienne	-⌫-⌫----|-|-⌫--|-|
meil lorsontdeceu	----⌫--|---|----|
siest enpluseursliexseu	-|--|-|-------|---|--|
quelesm eschean ces auiennent	--|--|-⌫-------⌫--|--------|
aspre ud omes qui	-|---⌫--⌫---|--|
semaitienent	-|---------|
en granthonn euret e n proesce	-|----|----⌫--|-|-⌫|------|
ma uuestiehontenepe resc e	--⌫------|----|-|--⌫----⌫|
nedec hietpasquarelne	-|---⌫---|--|---|-|-|
les m eil lors decheoirestuet	--|-⌫---⌫---|-------|-----|
u ostre pere si ne lsa uez	-⌫----|---|-|-||--⌫--|
fuparmilehaubercna urez	-|----|-|------|--⌫---|
si quilfutmehaigniezd ucors	-|-|-|--|---------|-⌫|---|
sagra nt t erre etsesgranttresors	-|---⌫-|-⌫---|-|--|----|------|
queila uoi t	--|-|-⌫---⌫|
commepreu dom	----|----⌫--|
et chayengrant pouerte	-|---|-|----|------|
apo uriet desherit é	---⌫--|-|--------⌫-|
e tessi lli ezfurent	-⌫|----⌫---⌫-|-----|
ligentilhome apres la	-|-----|---|----|-|
u terpandragon quifurois	-⌫-----------|--|-|---|
etapr esar tusl icou rtois	-|---⌫-|--⌫--|-⌫|---⌫----|
les terres furent	--|-----|-----|
e ssilliees	-⌫--------|
etlesbonesgenz auilliees	-|--|----|---|--------|
sis e nfouyqu i	-||-⌫|---|--⌫|
uostreper ec ema noirot	-----|---⌫|-⌫|--⌫---|-|
ici encesteforestgaste	--|-|----|-----|----|
nepo tfuirmeseng ra nthaste	-|--⌫|---|--|-|-⌫--⌫-|----|
enli et ier eaporter sefist	-|--⌫--⌫---⌫|------|-|---|
quar nesauoitouil f ouist	---|-|-----|-|-|-⌫----|
quipet it est iez	--|---⌫-|---⌫--|
yymou lt biausfr ere sauiez	-|---⌫-|----|--⌫---⌫|----|
petites ti ez	----|--⌫--⌫-|
poiauiezauoec yy	--|----|----|-|
quant furentu ostre d uifrere	----|-----|-⌫----|-⌫-|----|
et auco nsseil l	-|-|--⌫------⌫|
al erentenyycourzroyaux	--⌫----|-|-|----|-----|
poura uoira rmesetc heuaux	---|-⌫---|-⌫---|-|-⌫-----|
au roydecaualon	-|--|-|------|
liais n ezettantser ui	-|---⌫-⌫-|-|---|---⌫-|
e tcheualierfu	-⌫|--------|-|
ado u be z	---⌫-⌫--⌫|
et liau tres qui	-|-|--⌫---|--|
fuaur oybon	-|-|-⌫-|--|
dego me re t	-|--⌫--⌫--⌫|
azziouranduili	|-|---|----|-|
cheualierset adoubez furent	---------|-|------|-----|
iouranduim orure n t	---|----|-⌫-----⌫-⌫|
p ourreuenir	-⌫--|------|
aleurrepere	|---|-----|
quar i oi eme uouloie ntfere	---|-⌫--⌫|-|-------⌫-|---|
a sar mes furentmor tand ui	-⌫|--⌫--|-----|---⌫|---⌫-|
dontaigrantduelet gran t enn ui	---|-|----|---|-|----⌫|---⌫-|
etce ne fup as	-|-|-|-|-⌫-|
demerueil les	-|-------⌫--|
quar licorbele tle s	---|-|-----|-⌫|--⌫|
corneilles	---------|
ambedui les	------|--|
ainssi l esgenz mo rzlestrouerent	-----|-⌫-|---|--⌫-|--|--------|
deldueldesfilzm ouru t lepere	--|---|--|---|-⌫----⌫|-|---|
et ie aidolo rmoutamere	-|-|-|----⌫|---|----|
pui squ ilfu rentm o r t	---⌫--|-|--⌫---|-⌫-⌫-⌫|
uous e s tiez toutmo nconf o rt	---|-⌫-⌫---|---|--⌫|----⌫-⌫-|
auoi eet tuit	----⌫|-|---|
quariln i auoit p lusdes miens	---|-|||----|-⌫--|--|----|
diexnemenauoit plus	---|-||-|----|---|
don tuousistfere moncuerlie	---⌫|------|---|--|---|--|
le ualle tentent	-|-----⌫|-----|
same relidi t	-|--⌫-|-|--⌫|
fetil me donez	--|-|-|----|
nesaidequoimares onnez	-|--|-|---||----⌫----|
mesmoutiroieuolentiers	--|---|----|---------|
au royquifet les cheualie rs	-|--|--|--|--|--------⌫-|
etg eiraicuiquilem po ist	-|-⌫|---|----|-|-|--⌫--|
lamereloitmesb ienlipoist	-|---||--|--|-⌫--|-|----|
le retint et si	-|-----|-|-|
leseiourne	-|-------|
silapp a reille et	-||---⌫-⌫-----|-|
sil atourne	-||------|
d unchan euas lifist chemise	|-|----⌫---|-|---|------|
etbraiesfetes a lag uise	-|-----|----||-|-⌫---|
de galesouf ont ce	-|----|-|-⌫--|-|
m e sem ble	-⌫|---⌫--|
br aieschemi s etoutensemble	--⌫---|-----⌫-⌫|---|-------|
etsiotcote etchaperon	-|-|-|---|-|-------|
duncui r decerf closenui ron	|-|---⌫|-|---|---|----⌫--|
ai nssintla m e re l	--⌫-----|-|-⌫-⌫-||
trois iourss anzplus	----|----|-⌫--|---|
iotmestierlosenge	|-|------|------|
lors otsameredue l	---|-|-|---|---⌫|
selbeseet aco leenp lo urant	-||---|-|---⌫-|-|-⌫--⌫----|
etdistor aigeduelmoutgrant	-|---|-|-|-|---|---|----|
biaufil zqu a ntaleruous	---|---⌫|--⌫-⌫-|---|---|
uosi roiza lac ourtle roy	--|-⌫---||-|-⌫---|-|--|
sidi rezquear m esuousdoint	-|--⌫--|--|--⌫-⌫-|---|----|
d e co nt redit niauroi tpoi n t	-⌫|--⌫--⌫----|||-----⌫|---⌫-⌫|
qu illesuousdo nra	-|-|--|---|--⌫--|
bienl e sai	---|-⌫|--|
mesquantuousuendrez a	--|----|---|------||
darmesp ortercommentiertd onque s	|----|-⌫----|------|---|-⌫-----⌫|
dec equene feistes	-|-⌫|--|-|------|
n aautruinel	||-----|-||
ueistesfer e	------|---⌫|
comme n tenporreza chief trere	-----⌫-⌫|-|-----||----|----|
mauuesementuoire cedout	----------|----|-|---|
ma lserezafetiezde ltout	--⌫|----|------|--⌫|---|
n il ne stmerueille ce	|-||-⌫-|--------|-|
senne set ce comn a	|-|-|--|-||-|||
mesmerueil leest quanton napren t	--|-------⌫-|--|----|-||-----⌫|
ce q uelenotetuoit souuent	-|-⌫-|--|-|-|---|------|
qu arsil uousplesta retenir	--⌫-||-|---|----||------|
granzbiensuousenp orront	----|----|---|-|-⌫-----|
cheua lierser ez iusquapo	-----⌫---|---⌫-|----||-|
di euplestet ielelo	--⌫-|----|-|-|-|-|
trouueznepresneloing	------|-|---|-|----|
damequidaideaitbesoig	---|--||---|--|-----|
nep uceledesco nsseillie e	-|-⌫----|-----⌫---------⌫|
l a uostreaideappareilli e e	-⌫|-----|---|----------⌫-⌫|
leu rs oit s enule	---⌫|-⌫--|-⌫|---|
l arequie rt	-⌫|------⌫-|
q uartoutesho norsyafiert	-⌫--|-----|--⌫---||-----|
quias dameshonneurne porte	--|-|----|------|-|----|
la seuehonor	-|---|----|
doitestre m orte	---|----|-⌫---|
dames etpucelesserue z	----|-|------|-----⌫|
si serez par	-|----|--|
touthonorez	---|------|
messeauaine enpriez	--|-|-----|-|----|
gardezque ne	-----|--|-|
denuleriens quilidesplese	-|---|----|--|-|-------|
depucele a mout	-|-----||---|
qui la bese	--|-|---|
sele bes ieruousen conssent	-|-|---⌫--|---|-|-------|
le s orplu siele	-|-⌫-----⌫|-|-|
uousdefent	---|-----|
seleuou lezles sierpo urmoi	-|-|---⌫--|---⌫---|--⌫-|--|
m es seeleaanel en doi	-⌫-|-|--||---|-|--|
ouasa cein ture	-||-|----⌫---|
aumosnie re	--------⌫-|
sepa ramouretp ar proie re	-|--⌫|----|-|-⌫-|-----⌫-|
leuousdonne moutm e niert	-|---|----|---||-⌫|---|
etseemp ortez	-|-|---⌫----|
del anelprendreuousdoins	-||---|------|---|----|
et d el au mosn iere con gie	-|-⌫||--⌫----⌫---|---⌫--|
biaufi lzenquor uous dirai el	---|--⌫-|-----|---|----|-|
q u eenc heminneen ostel	-⌫-⌫|-|-⌫----|-|-|----|
nai ezlonguement compaignon	|--⌫-|---------|---------|
qu euous ne	--⌫|---|-|
demandezsonn on	-------|--|-⌫-|
sachiezdelap er sonn e	------|-|-|-⌫--⌫----⌫|
queparle nonconnoistlen honme	--|--|-|--|-------|--|----|
biaxfilzaspreudonmes parlez	---|---|-|---------|-----|
pr eudommesalez	--⌫-------|---|
pr eu domne f orconsseille	--⌫--⌫--|-|-⌫-----------|
celuiqu itientsacompaignie	----|--⌫|----|-|---------|
sus tout esrien s uousueullproier	--|----⌫-|----⌫|---|----|-----|
que aeglise	--||-----|
e t amoustier	-⌫||-------|
alezproie rnostrese ignor	---|-----⌫|-----|--⌫----|
quencestsiecl euousd ointhonor	-|-|---|-----⌫|---|-⌫---|----|
et siu ous doint sicon tenir	-|-|-⌫--|----|-|---⌫----|
quabon ef inpuissi e z	-||---⌫|-⌫-|------⌫-⌫|
mere di s ti l queest eglise	---|--⌫-⌫|-⌫|--|--|-----|
la oulenfetle d ieu seruise	-|-|--|--|-|-⌫--|------|
quiciel etmeretterrefist	--|---|-|--|-|----|---|
ethomesetbestesy mist	-|----|-|-----||---|
etm oustiers i estc emeisme	-|-⌫------|-⌫|--|-⌫|-----|
u nemeson be le ethautisme	-⌫-|----|--⌫-|-|-------|
dec ors saintismeetdetresors	-|-⌫--|--------|-|-|------|
si sacref ie	||------⌫-|
lenle cor s	--|-|---⌫|
ihesul a proph et esainte	----|-⌫|-----⌫--⌫|-----|
firenthonte mainte	-----|----|-----|
trahizfutet	-----|--|-|
iugiez amort	-----||---|
et so u fri la ngoiss edemort	-|--⌫-⌫--||-⌫------⌫|-|---|
pourle s h omes	---|--⌫|-⌫---|
quen enferaloientlesames	-|-|----|------|--|---|
parto ientd escor s	-----⌫---|-⌫-|---⌫|
etc eluile sengetahors	-|-⌫---|--⌫|-|---|---|
sifualestache lie z	-|-|||------|---⌫|
batu etpuiscrucefiez	---|-|---|--------|
