cefu eltans carbre	-|-|-|---||----|
s enosalieme stotens amble	-⌫|--|------⌫|--|---⌫----|
uersluiilaroit	---|--|-|----|
cemesambl e	-|-|-----⌫|
grantpaou rkeia nifaurr oit	----|----⌫|-|-|||-----⌫--|
iares pondrenenouspor oit	-|---⌫-----|-|---|---⌫--|
arie nsq ueiou li demandasce	|---⌫-|-⌫-|--|-|---------|
cila rriestent etil senpasse	--|-⌫--------|-|-||-|----|
uersleuallet gra ntaleure	---|-|-----|---⌫-|-----|
silesalu eet	-|-|----⌫|-|
ualletfaitil	-----|---|-|
n aiéspaor	|----|---|
no naigepar	--⌫|-|-|--|
fa itli ua llesen qui	--⌫-|-|--⌫---|-|--|
niestes u osdiexnaiepar foi	|-----|-⌫-|---|---|--|--|
q uie stes d ontche ua lierss ui	-⌫-|-⌫---|-⌫--|---⌫--⌫----|-⌫-|
ainsmaischeualier ne	---|---|--------|-|
nonquesm ais	|-----|-⌫--|
faitliualles nenuln e nui	---|-|-----|-|--||-⌫|-|
ca ru ouses tesplusbiaus kedex	--⌫|-⌫--|--⌫--|---|----|-|--|
c arf u s cei ou	-⌫-|-⌫-⌫-⌫-|-⌫-|
ore autreteus	--|--------|
ais i luisanset	---⌫|------|-|
presdel ui trais	---|-|-⌫-|----|
lic heualiers seli de mand e	-|-⌫--------|-|-|--⌫----⌫|
ue istuhuipar	--⌫-|-|--|--|
ce st elande	--⌫--⌫|----|
yycheualiersetyypucieles	-|---------|-|-|-------|
l iuallesaa utresnoue les	-⌫|-----||-⌫----|----⌫--|
enquie rtetdemandeetenten t	------⌫-|-|------|-|-----⌫|
asalancesamainlitent	|-|----|-|---|-|---|
selprentetdistbiaus	-||----|-|---|----|
sir e ciers	---⌫|----|
u ous ki auésnoncheualiers	-⌫--|-|----|--|---------|
icouqueuousten és	---|--|---|---⌫--|
faitliceualiersce	---|-|--------|-|
iequidoiebiausd ousam is	-|------|----|-⌫--|--⌫-|
nouele saprendredetoi	------⌫|-------|-|--|
ettulesu iusoirdemoi	-|-|--|-⌫--|--|-|--|
diraicees t malance	----|-|--⌫|-|----|
ditesuousfaiti lc omenlan ce	----|---|---|-⌫||-|-|---⌫-|
sicon fac demes	-|--|--|-|--|
n enilu a l lettu iest o us sos	-⌫---|-⌫-⌫-⌫--|-|--|-⌫-⌫-|--|
ai nsen fierton tou t de manoi s	--⌫-|-|----|-|---⌫|--⌫-----⌫|
don tuautmius	---⌫|---|---|
d ecestr o is	-⌫|--|--⌫-⌫-|
gaue r l osque	----⌫-⌫-⌫-|--|
uousueéschi	---|----|--|
carkankeiouuoe l	--|----|--|---⌫|
oisiau setbiestes aubesoing	------⌫|-|------|-|------|
etsile socis desi loing	-|-|--⌫|---|-|-|----|
queonp oroit zzbouiontraire	--|-|-⌫----|-|-----|-----|
ual let dechou n aiiou kefaire	---⌫--|-|---||-|--|-|----|
maisdes cheuali ersme	---|--|-------⌫--|-|
d y moi se tu sesu	-⌫|--|-|-|--||
et des pucielesuei stu	-|--|-------|---⌫|-|
li uallesau cor del esc u	-|-----|-|--|-||---⌫|
le prentet dist	-|----|-|---|
tout en a per t	---|-|-⌫---⌫|
couke es t e td ecoiu oss iert	--|-|--⌫|-⌫|-⌫|--|-⌫-|-⌫---|
ual letfa itilcee stabes	---⌫--|--⌫-|-|-|-⌫-|---|
quantautres paroles meme s	----|-----|------|-|--⌫|
que ienetequiernedema nc	--|-|-|-|----|-|----⌫-|
iequid oie	-|----⌫--|
sedexmamant	-|--||----|
que tunouuielesmedesiss es	--|-|--------|-|------⌫-|
ainsk edemoile s apr eisses	-----⌫|-|--|--⌫|---⌫-----|
t esapr agne	|-|---⌫---|
iel te diraic omentquilp ragne	-||-|----|-⌫------|-|-⌫----|
c a ratoiu ole ntiersm acort	-⌫-⌫||--|-⌫---⌫-----||----|
e sc usa nonc ou q ueie	-⌫--⌫-||--|-⌫-|-⌫-|-|
escusa no nu oirefa it il	----||--⌫|-⌫---|--⌫-|-|
nele doimie t eni r ui l	-|-|--|--|-⌫---⌫|--⌫|
e statan tb onne	-⌫-||---⌫|-⌫---|
quesenuslanceu tra i t am oi	--|-|--|----||---⌫-⌫||-⌫-|
e ncontretous lescolsse tr ait	-⌫------|---|--|---|-|--⌫--|
c est liseruices	|--|-|-------|
quil me f et	-|-|-|-⌫-|
atantcil qui furent	----|--|--|-----|
se n uinrenttoutelapo rr ier e	|-⌫|------|----|-|--⌫--⌫---⌫|
enuierslorsigno rtot lep as	------|--|-----⌫|--|-|-⌫-|
silidientenes lepas	-|-|----|----⌫----|
s ireke uousdist cilga lois	-⌫--|-|---|---|--|--⌫---|
neset mietoutes noslois	-|--|--|-----|--|---|
faitlisiressed ex mamant	---|-|----|-|-⌫-||----|
que r ie ns nulequilmedemant	--|-⌫--⌫-|---|-|-|-|-----|
nele distil onquesadroit	-|-|---|-|-----||----|
sideman dekankeilu oit	-|-----⌫-|----|-|-⌫--|
none t conenf ai t	--|-⌫||-|-|-⌫--⌫|
sireor saciésbienentresait	---|-|------|---|--------|
que galoissont tuitparnature	--|-----|---|---|--|-----|
plus folquebestesenpasture	---|--|--|-----|-|------|
cis est ausicome une bes te	--|--|---|---|--|---⌫-|
kidales luisareste	-|----|--||-----|
muse n eu oetmuser	---|-⌫|-⌫--|----|
uletansenfolieuser	|-|---|-|----|---|
nesaifai t	-|--|---⌫|
ils edex mau oie	-|-⌫|--||--⌫--|
mai sa inskeme	---⌫|-⌫----|-|
m ete ala uoie	-⌫--||-|---|
kanke iluorral id irai	----|-|----|-⌫|-⌫---|
ia aut rementnenpartirai	-|---⌫-----||-|-------|
lo rs lidemande	--⌫-|-|------|
uall es fa it ilne t esoitgrief	----⌫-|--⌫-|-|-|-⌫|---|----|
mais desy ycheual iers me	---|--|-⌫|------⌫---|-|
et despucielesautresi	-|--|-------|------|
seles encontrasneueis	-|--|--------|-|---|
ualle sletenoitp ris	-----⌫|-|-----|-⌫--|
aupandel haubercsile tire	-|--|--|------|-|-|---|
orme d ites fa it	-|-|-⌫---|--⌫-|
ilbiaussire	-|----|---|
quecestqueuous auésues tu	--||--|--|---|----|---⌫-|
uall e tfait il	----⌫-⌫|---|-|
dont neuoist u	---|-|---|-⌫|
q uecouest de	-⌫-|--|--|-|
fier zzhaubiers	---|-|-------|
sestausipesanscomef iers	|--|---|-----|---|-⌫---|
quil estdefier ce	-|-|--|-|---|-|
uois tu bien	---|-|---|
d ecef aitil ne	-⌫|-|-⌫--|-|-|
maismoutestbiaussedex mesaut	---|---|--|----|-|--|-|---|
k enfaitesuouset keuosuaut	|-|-----|---|-|-|--|---|
uallet cestadirelegie r	-----||--||---|-----⌫|
s o ruoloiesamoi	|-⌫|------||--|
gau relotnesaiaite	---⌫----|-|------|
nem eporoies nul	-|-⌫|------|--|
dansche ualiersde teushauber s	---|---⌫------|-|---|------⌫|
gart dexlesbisce set	---|--|--|-----⌫|-|
q uenulehocirren enporoi e	-⌫-|---|------||-|-----⌫|
ne g airesapries necorroi e	-|-⌫----|-----|-|------⌫|
etlicheual i ersli rad it	-|-|------⌫-⌫--|-|-|-⌫-|
damledex tait	-------||--|
setumeses di re	-|-|-|--|--⌫-|
desch euali ersetdespucel es	--|--⌫-----⌫--|-|--|-----⌫-|
etciuskipetit fusenés	-|---|-|----|-|-----|
li distfus tes	-|---|---⌫--|
uousensinés	---|---|---|
nenil ualletc ene	----|-----|-⌫|-|
puet estre	---|----|
kensipeust nuleriensnestre	|---|----|---|----|-----|
kiuosa tourna	-|--|-⌫-----|
do ntens i	--⌫-|---⌫|
ualle tio u	-----⌫|--⌫|
t ed i rai bienki	-⌫|-⌫-⌫--|---|-|
di tes ledontmoutuol e nt iers	--⌫--|-|---|---|---⌫-⌫--⌫---|
na mie encoryy io rsentiers	||--|----|-|--⌫-|------|
quetoutcis t	--|---|---⌫|
harnoi s medo na	------⌫|-|--⌫-|
liroisartuskim	-|---|----|-||
med i dont quedeuinr ent	-|-⌫|---|--|------⌫--|
licheualierkipa rciuinrent	-|--------|-|--⌫|-|------|
q ui les y ypucieles	-⌫-|--|-⌫|-------|
co nduient	--⌫------|
fontillep asuil	---|-|-|-⌫-||-|
se n fuie nt	|-⌫|----⌫-|
cillidist sireor esgarde ́s	--|-|---|---|-|-------⌫-|
le pl ushaut br uelqueuosue és	-|--⌫-|---|--⌫--|--|--|--⌫--|
mo ntagneauirone	--⌫-----|------|
lason tli destroit de uald o ne	-|---⌫|-|-------|-|----⌫-⌫-|
etkede coufait ilbi aus	-|-|-|--|---|-|--⌫--|
laso n tli ie rceour ma mere	-|--⌫-⌫|-|--⌫-----|-|---|
qu isestiereserce n teterent	--⌫|--|-----|----⌫-⌫|-|----|
etsecesgensi tres pa ssere nt	-|-|--|---||----⌫--⌫-----⌫-|
illeseuents el	-|-|-----|-⌫||
uos diront	--|-----|
etcil dien tquei l i ro nt	-|--|----⌫|--|-⌫|-⌫--⌫-|
auo e c lui se	---⌫-⌫|--|-|
il lesimai ne	-|--||---⌫-|
iusquaceuski ercent la ua ine	----||---|-|-----||-⌫--⌫--|
liual les pre ntson c aceor	-|---⌫--|---⌫-|--|-⌫----|
etuont laou li erceour	-|---|-|-|-|------|
erc oientlestieres arees	---⌫----|--|-----|----|
ule sau a ines	|--⌫|--⌫-⌫---|
sont semees	---|-----|
et quantc iluirent lor signor	-|----|-⌫-|-----|--|-----|
si tram blerenttout de	-|----⌫------|---|-|
etsa uéspor coiil lefi rent	-|--⌫---|--|--|-|-|--⌫---|
pour lescheualiersqueil uir e nt	---|--|---------|--|-|---⌫-⌫-|
quiauoec lorsignoru enoient	--|----|--|-----|-⌫------|
ca rbiensorentsilli	--⌫|---|-----||-|-|
lo raf fairedit etlor estre	--⌫|--⌫----|--|-|--|----|
queil uorroitc heua liersestre	--|-|------|-⌫----⌫----|----|
etsam ereen istroitdelsen	-|-|-⌫--|-|------|--|--|
q uide stournerlenquidoit	-⌫-|--⌫-------||-|------|
queia ch eualie r neueist	--|-|--⌫------⌫|-|----|
affairenapr e sist	------||---⌫-⌫---|
u allesd ist asbouiers	-⌫----|-⌫--|-|------|
ueistesuous yycheua liers	------|---|-|-----⌫----|
puciele s chipas ser	-------⌫|--|---⌫--|
i lne fi nere nthui dale r	-⌫|-|--⌫----⌫-|--||---⌫|
parcesdestr o is	--|--|-----⌫-⌫-|
f ontlibouier	-⌫--|-|-----|
fo ntliualletauceualier	--⌫-|-|-----|-|-------|
qui tantauoitaluiparler	--|---|----||--|-----|
sire paricisont aler	---|--|--|---|---|
licheualieret	-|--------|-|
lespucieles	--|-------|
diteslesnouele s	----|--|------⌫|
del roiki lesche ualiersfait	--|--|-|--|---⌫------|---|
etleliuu il se trai t	-|-|--||-|-|----⌫|
u allet faitildireteuoel	-⌫----|---|-|---|-|---|
que liroi sseiorneaca rdue l	--|-|---⌫|------||--⌫----⌫|
encorepasé tquart i or	-----|-----⌫|----|-⌫-|
q ue li roisifu a souior	-⌫-|-|---||-||-----|
etio u i fuiets i le	-|--⌫||--|-|-⌫|-|
trueuesiki	------|--|
bien ertk il eten signera	---|--|-⌫|-⌫||--⌫------|
destornés nesera	---------|-|---|
tantostle s grans galoss en p art	------|--⌫|----|----||-|-⌫--|
lic heualiersquimoutfutart	-|-⌫--------|--|---|-|---|
qu ileustle sautres	-|-|---|--⌫|-----|
et li u alles ne sest pa sfains	-|-|-⌫----|-||--|--⌫|----|
deretor ner asonmanoir	-|-----⌫--||--|-----|
mere dolantet noi r	---|-----|-|---⌫|
au oit lecuer por sademeure	--⌫--|-|---|--|-|------|
maisg rantioieot	---|-⌫---|---|-|
enicele e ure	-|----|-⌫--|
quele leuoitet	-|--|-|---|-|
celer laioie q ueleenot	----|-|---|-⌫|--|-|-|
c arcomemere qui mout	-⌫-|---|---|--|---|
keurtcontre lu i e t s ile	----|-----|--⌫|-⌫|-⌫|-|
biaus fius mout	----|---|---|
a estédestroi s	|----|-------⌫|
mesc uersasses	--|-⌫---|----|
plu s dey yfois	---⌫|-|-⌫|---|
poruos trelo nge	--|---⌫--|--⌫--|
a poidedueln ere acor ee	|--|-|---||--|----⌫-|
poi mortenesui	--|----|-|--|
uou s tant	---⌫|---|
estét h ui	-----|-⌫-|
auoi dame iel uous	---|---|-||---|
mout bien k e ia nenm ent irai	---|---|-⌫|-||-|-⌫---⌫---|
aimout grant ioieeu e	-|---|----|---|--⌫|
d unechosekei	|--|----|-||
mereennesoliés uosdire	---|---|------|--|---|
an gle dieunostresire	--⌫--|---|-----|---|
sontsitre s bie l co nques	---|-|---⌫|---⌫||-⌫----|
nefistplus bie lec reature	-|---|---|---⌫-|-⌫------|
be l e rie ns	--⌫-⌫|---⌫-|
biausfiu sencorlediie bien	----|---⌫|----|-|-|-|---|
poruoiret d i	--|---|-|-⌫|
taisiésmereneuiiouore	-------|---|-|-|--|--|
lesplusbele s choses quisont	--|---|----⌫|-----|--|---|
qui parlegaste	--|--|-|----|
forie stuont	-----⌫-|---|
ilsontplusbelsicom iou cuit	-|---|---|--|-|--|--|---|
qu idi ex et	--⌫|--⌫-|-|
kelia nglet uit	-|-|-⌫---|-⌫--|
lame reentrese sbrasle prent	-|--⌫-|----|--⌫|---|-|----|
etdistbiaus fiusa dieuterent	-|---|----|---||---|-|---|
carmo ut ai g rant paorde	--|--⌫-|-|-⌫---|---|-|
tuasue utsiconiou croi	-|-|--⌫-|-|--|--|---|
le sanglesdont l a	--⌫|-----|---|-⌫|
gent sepainent	---|-|------|
q ui ocientquanquil ataingne n t	-⌫-|-----|-----|-|--------⌫-⌫|
nonaiuoir mere no nainon	--|-|---|---|--⌫|-|--|
cheua lierdie ntqu il ont	-----⌫---|---⌫-|-|-|--|
lame r es e pas meacestmot	-|--⌫-⌫|-⌫|---⌫-||---|--|
q ue cheualiernomerliot	-⌫-|--------|----|-|-|
e tqu antell e	-⌫|--⌫--|---⌫|
furedrechie	-|--------|
due l com efeme corecie	---⌫|---⌫|---|------|
h alassecon sui maubaillie	-⌫|----|--|--|---------|
b iau sdousfiusdecheualerie	-⌫---⌫|---|---|-|---------|
uousquid oi eiebien garder	---|----⌫--⌫|-|---|-----|
quei a n eno issiésparler	--|-⌫||-|-⌫------|-----|
nequeia nu s nenueissiés	-|--|-|--⌫||-|--------|
cheu a liers deus siés	----⌫-⌫----|----⌫----|
b iausfi ussedamled ieu	-⌫---|--⌫-|-|------⌫--|
queuostre peres	--|-----|----|
gardé et uosautresamis	-----|-|--|-----|---|
n otcheualierd e sihaut pris	|-|--------|-⌫|-|---|---|
tant red o ute ́ ne tant cremu	---|---⌫-⌫---⌫|-|---|----|
biausfiu s	----|---⌫|
conuostre peres fu	--|-----|----|-|
lesilles demer	--|----|-|--|
de couuospoésbienua nte r	-|--|--|----|---|--⌫---⌫|
q ue u ous ne deceésderien	-⌫-|-⌫--|-|------|-|---|
de son l ignagene del mien	-|--|-⌫-----|-|--|---|
cariou su i decheualiers nee	--|--|--⌫|-|---------|--|
desmello urs de cestec on tre e	--|-----⌫--|-|----|-⌫--⌫---⌫|
esillesdemer no t	-|----|-|--||-⌫|
me llor delmien en mon	--⌫---|--|---|-|--|
ma isli mell orsontdeceut	--⌫-|-|----⌫-|---|-----|
sestbien en plu sor slius	|--|---|-|---⌫---⌫|---|
que lesmes kea ncesauienent	--|--|---⌫---⌫---|-------|
aspreudomesa qui paruiene nt	-|--------||--|--------⌫-|
en granthonor	-|----|----|
etenpr oaice	-|-|--⌫----|
mauuestiesho nteneperece	---------|--⌫--|-|-----|
n ecietpasca r	-⌫|---|--|--⌫|
etlesb onsdechairest uet	-|--|-⌫--|------|---⌫--|
u ostre pere ss in esaué s	-⌫----|----⌫|-⌫|-⌫|-----⌫|
fuparmi lesgambesn aurés	-|----|--|-----|-⌫-----|
ilen mehagnadelcors	-|-|------|--|---|
sesgran stie resse s g ranstresors	--|----⌫|---⌫--|--⌫|-⌫---|------|
q ue ilauoitcommepreudom	-⌫-|-|----|----|------|
alatoutapierdission	--|---||----------|
sichai e ngra nt pouerte	-|---|-⌫|---⌫-|------|
apouri et de sir eté	-----|-|--⌫---⌫---|
etessill i é	-|------⌫-⌫-|
fur entator t	---⌫--||---⌫|
lige ntil homeapres samort	-|--⌫---|---|----|-|---|
uterpandra g on squi	----------⌫-⌫--⌫|--|
et peresle bon roiart u	-|----|-|--|--|---⌫|
les ti e n s	--|--⌫-⌫-⌫|
furent essilliés	-----|---------|
pouresgens	-----|---|
auil liés	----⌫----|
enfui kifuir pot	-|--|-|---|--|
u ostreperescemanoirot	-⌫----|----|-|-----|-|
cest e forie st gaste	----⌫|-----⌫-|----|
ne po t fuircare ngranthaste	-|--⌫|---|--|-⌫|----|----|
e nlitiereaporters	-⌫|------|------||
nesotu fuist	-|--||----|
et uo us ki petitesestiés	-|--⌫-|-|------|------|
biausf reresauiés	----|-⌫----|-----|
peti s estiés	----⌫|------|
etalaitans	-|-------|
poiauié spl usdey y	--|-----⌫|--⌫-|-|-⌫|
quantgr antf urentuostre	----|--⌫--|-⌫----|-----|
aulos eta u consel	-|--|-|-⌫|-----|
al ierentayy	--⌫-----||-|
c o urs r o iaus	-⌫-⌫--|-⌫-⌫---|
por auoi rar mes et ce uaus	--|----⌫|--⌫--|-|--⌫---|
de saualon al a	-|------|--⌫|
l i ainsneset tan tseruil a	-⌫|------|-|---⌫|----|||
que cheualiersfuadoubés	--|---------|-|-------|
e t l i autres	-⌫|-⌫|-----|
kipui sfu ne ́s	-|---⌫|-|--⌫-|
ro iban degome r et	--⌫|--|-|----⌫-⌫-|
enzziouranduiliuallet	-|-|---|----|-|-----|
adoubé tet cheua l ierfurent	-------⌫|-|-----⌫-⌫--|-----|
mesmesmorure nt	-----|------⌫-|
qua ntil semisentel	---⌫-|-|-|-----|-|
queioie meuoloientfa ire	--|---|-|-------|--⌫--|
e tlor peres kipu isneluit	-⌫|--|----|-|--⌫-|-||--|
k as ar mesfurentdes confit	|-|--⌫--|-----|---⌫-----|
asarmes fur entmortandui	-|----|---⌫--|---|----|
dontg eusgran t duelet grantanui	---||--|----⌫|---|-|----|---|
del ainsnetaui nrentmeru elles	-||------|---⌫----|----⌫----|
quelicorb e l et les	--|-|----⌫-⌫|-|--|
ambesdeuslesex licre uerent	--------|--|-|-|---⌫-----|
g ens mor tle trouer ent	-⌫--|---⌫|-|------⌫--|
doud o eld e sfiusmor ul ipere	--|-⌫-⌫-|-⌫-⌫|---|---⌫|-⌫|---|
et ieuc le uiemout amere	-||--|-|--|---|----|
soffertep uisque ilfumors	-------|-⌫-----|-|-|---|
uouses tiiés tousli	---|--⌫-----|---|-|
que iouauoieettouslibiens	--|--|----|-|---|-|----|
car ilnen i aplus de s m iens	--|-||-|||---|--⌫|-⌫---|
que plus n em auoitdexlai ss ié	--|---|-⌫||----|--|---⌫--⌫--|
d ontiefusce i oia nsetlie	-⌫--|-|----|-⌫---⌫-|-|--|
li uallese nte nt mout petit	-|-----|-⌫---⌫-|---|----|
a mangie rfaitilme donés	|------⌫|---|-|-|-----|
nesaidequoimaraisonés	-|--|-|---||---------|
m ais mou t iroieu ol entiers	-⌫--|---⌫|----|-⌫--⌫------|
faitles cheua li ers	---|--|-----⌫--⌫--|
eti ouiraiq u iquilen poist	-|-⌫-|---|-⌫-⌫--|-|-|----|
lameretantcomil l iloi st	-|---|---|--|-|-⌫|---⌫-|
le reti e n t	-|----⌫-⌫-⌫|
et si le seiorne	-|-|-|------|
apare lle et	-----⌫--|-|
grossece mise	-----|--⌫---|
e tbraiesfa ite sa	-⌫|-----|--⌫---⌫||
dega lesot	-|--⌫--|-|
lenfes ensamble	|----|-------|
braiesetcaucesce me	-----|-|-----|-|-|
et si otcoteet cape ron	-|-|-|---|-|----⌫--|
closdecuirde	---|-|---|-|
cers enuiro n	---|------⌫|
issilamerelatourna	---|-|---||------|
yyiorsains	-|---|---|
p lusne seiorna	-⌫--|-|------|
que plusni	--|---|||
uotm etre losange	--|-⌫---|------|
lors otla me re	---|-|-|--⌫-|
duele strange	---|-⌫------|
selbaiseetacolee nplorant	-||----|-|----|-⌫|------|
etdi st or ai	-|--⌫-|-|-|
m out g rant	-⌫--|-⌫---|
biausfius quan t iouale rtenuoi	----|---|----⌫|--|---⌫||-|--|
uo u sirés a lacourtle roi	--⌫-⌫|----||-|----|-|--|
sili dirés k armes	-|-|-----||----|
uos doinst	--|-----|
de contre di tniaurapoin t	-|------⌫--⌫|||---|----⌫|
uos don ra bienlesai	--|---⌫-|---|-|--|
mais quant il uenra alessai	---|----|-|----|||----|
darmesportercomentert do nq ues	|----|-----|-----|--|--⌫--⌫--|
cou qu eu o usnefei s tes o nqu es	--|--⌫|-⌫-⌫-|-|---⌫-⌫--|-⌫---⌫-|
ne a ut r u i neue istesfaire	-|-⌫--⌫-⌫-⌫|-|--⌫----|----|
sarés acieftrai re	-----||---|----⌫-|
mau u aisementuoi recedout	---⌫-⌫-------|---⌫-|-|---|
afficierdeltout	-------|--|---|
nes tp as merue llecemestuis	|--⌫|-⌫-|-----⌫--|-||--|--|
sonne set co ucona	|-|-|--|--⌫||-||
maismer uelleestqueonn a prent	---|---⌫----|--|--|-||-⌫----|
cou qu eon otetuoitsouent	--|--⌫|-|-|-|---|-----|
biaus fiuszzsensuos uoel	----|---|-|---|--|---|
e t sifait mou t b ien	-⌫|-|---|---⌫|-⌫--|
a entendre	|-------|
e ts il uou s plaistare tenir	-⌫||-|---⌫|-----||--⌫----|
gransbiensuos enporrauenir	----|----|--|-|----|----|
cheualiers serés	---------|-----|
iusqua poi	----||--|
fius sedieu plaistet	---|-|---|-----|-|
seuoustro ue ́s n e	-|---|---⌫--⌫-|-⌫|
presne loing	---|-|----|
dame ki daieait	---|-||--|--|
nepuci ele desconsellie	-|----⌫--|-----------|
lauostreaide apar ellie	-|-----|---|----⌫----|
lo rso it seles	--⌫|--⌫-||---|
uo senrequierent	--⌫|-|---------|
cart outeshonors iafie rent	--|-⌫----|-----||----⌫---|
quiasdameshono r n eporte	--|-|----|----⌫|-⌫|----|
lasoiehonordoites tremorte	-|---|----|---|--⌫--|----|
da meset pu cielesserués	--⌫--|-|--⌫-----|------|
s i seréspar	-⌫|-----|--|
to utho nerés	--⌫-|--⌫-----|
