par bons emblant	--|--|-⌫------|
lidist dili	-|---|-|-|
enuoiece st chans e ente lguise	-----|--⌫-|-----⌫|-|--⌫|----|
acestui te deuise	|-----|-|-----|
silnelrechoitalt iers leporte	|-|-||------|-|-⌫---|-|----|
chil qui parlaal a porte	---|--|----||-⌫|----|
huymainatoi derrainement	--|---||--|-----------|
deparmoi di liense me nt	-|--|--|-|-|----⌫--⌫-|
kaus autresd ouzt	|--|-----|-⌫--||
airouédire	-|----|---|
chil prentle chan s ea tan t satire	---|----|-|----⌫-⌫|-⌫---⌫||----|
uersle tornoiacuetsauoie	---|-|-----|----|-|---|
c eluileba lhe u	-⌫---|-|--⌫--||
sensmespr endredist son	---|-----⌫----|---|--|
libachelersrechutlegage	-|--------|-----|-|---|
k altorno isen	|-|-----⌫||-|
tantfra darmesconenparra	---|--||----||-|-|----|
po rl amordesadam echiere	--⌫||---|-|-|---⌫|-----|
un poiap resbaisant la chi e r e	-|--|--⌫--|------|-|---⌫-⌫-⌫|
entre se scompagnons	----|--⌫|---------|
pal istson	---⌫--|--|
tantcr ientlaio rn e e	---|--⌫---|-|--⌫--⌫-⌫|
etre so ngne	-|--⌫--⌫---|
proescheli di st ettesmongne	-------|-|--⌫-|-|--------|
connedoi tpasauoir	|-|-|---⌫|--|----|
san s paine	---⌫|----|
amordedameso u eraine	---|-|---|--⌫-⌫-----|
fausete lencuse	------||-----|
cantleuoloi rcelirenfuse	---|-|-----⌫|---|------|
acui siamissefais oit	|--|-|---|-|----⌫--|
ch anseilhmesf aisoit	--⌫---|--|----⌫-----|
paor s le reuientassaillir	----⌫|-|------|--------|
et lidistkal amo r fail lir	-|-|---||||---⌫|----⌫--|
lecouientcomen tq u	-|------|-----⌫|-⌫|
ilenprengne	-|-|------|
sil auientke lechanse	|-|-----|-|-|-----|
alamurfara	||---|---|
nelp rendepas miesliu enra	-||-⌫----|--|---|-|-⌫---|
quilhuiueetaamie	-|--|---|-||---|
sescuers enbatailhe	--|----|-|-------|
etneseitulaisierufaire	-|-|---||------||----|
paorstant le ma ire	----|---|-|--⌫--|
ke le chan sealualet	-|-|----⌫-|-|----|
alse cuntcheualierten di	-|--⌫---|--------|---⌫-|
li esc uiersla mainetdonne	-|---⌫----|-|---|-|----|
siquenesenperchut	-|--|-||-|------|
e nteil guise	-⌫|---|----|
et e nteilmanie re	-|-⌫|---|-----⌫-|
le rechutetrenuoiearriere	-|-----|-|------|------|
kechild euant lere nuoia	-|---|-⌫----|-|--⌫----|
lescuiers le cha nse ploia	|-------|-|---⌫--|----|
altierccheualierestuenus	-|----|--------|--|----|
etlioffr ela	-|-|----⌫|-|
est lich anses multli em ent	--|-|--⌫----|---|--⌫--⌫--|
etdi st ke le co m andement	-|--⌫-|-|-|--⌫-⌫-------|
lad ame uole nti ers fera	-|-⌫--|----⌫---⌫--|---|
dochan s emiexarmeisser a	-|----⌫-⌫|---|-----|---⌫|
k ede nulearmequ ilauo it	-⌫|-|---|---|-|-|---⌫-|
son palefroitdont plusnauo it	--|--------|---|---||---⌫-|
d onea l escuiersili rueue	-⌫--|||------|-|-|----|
kelues uilhsa	-|---||--|-|
dametrue ue	---|----⌫-|
kedeparlugrasce sli rende	-|-|--|-|------⌫|-|----|
d o beldon etquele	-⌫|--|--|-|-|--|
engre prende	-|--|-----|
ce qu ilporradarmes ensfaire	-|-|-|----||----|--|----|
lanuissenua	-|---||-|-|
li i ors escla ire	-|-⌫--|-----⌫--|
hirautcrientlachiés lachiés	-----|-----|-------|-------|
lichansesest oi tenbrachiés	-|------|---⌫--⌫|----------|
dobach eler estroitement	-|----⌫---|-----------|
b aisié tlauoitmultdolcemen t	-⌫------⌫||----|---|--------⌫|
plus de milhefoiesla n uit	---|-|----|----|-|-⌫--|
etdistbien	-|---|---|
anchoi s q uil	------⌫|-⌫|-|
feraen sd armes teliornee	---|--⌫||----|--|-----|
c onque snefu anulior nee	|-----⌫|-|-||--|--|--|
dameporcuitelef uist	---|--|--|---|-⌫---|
multse sioi st	---||-⌫----⌫-|
etse reh aite	-|-|---⌫---|
etloie amorsquant tantlon e ure	-|---|----|----|---||--⌫-⌫--|
coardiseencuipaursneure	-------|-|--|----|----|
li rament oitdachierles brans	-|------⌫--||-----|--|----|
d onti lhaura	-⌫--|-⌫-|---|
trenchiés lesflan s	---------|--|----⌫|
desesp a les etdescosteis	--|---⌫-⌫--|-|--|------|
onq uesmaisnerechut	---⌫--|---|-|-----|
bache lersc o n re chiueras	-----⌫---|-⌫-⌫|--⌫-------|
tapro ec hedeceueras	-|---⌫--⌫-|--------|
porlabielee t portrufer ie	--|-|----|-⌫|--|------⌫-|
morteesttacharsta meperie	----|--|-|----||-⌫-|----|
die uetles iec leperse nsamble	---⌫|-|-|-⌫---⌫-|---|-⌫------|
toute s achars f remist	----|-⌫|----|-⌫-----|
deceke paurs	-|-|-|----|
maisse sc u ersnoian t n	---|--⌫|-⌫-⌫--|-----⌫||
couterien sla b esongne	----|----⌫|-|-⌫------|
amo rslidi st	---⌫-|-|--⌫-|
etli tesmongne	-|-|--------|
k al chanseuestir aquerra	|-|-----|-----|------|
telioie quautrenequerra	--|---|-|----|-|-----|
eleli mo ustrecon pangn ie	--|-|--⌫----|---⌫-----⌫-|
debeled a m e etdensen g n ie	-|---|-⌫-⌫-⌫|-||-----⌫-⌫-⌫-|
duz regars acolersbi az rires	--|-----|------|--⌫-|----|
etbaisie rskin est paslipires	-|------⌫-|-||--|--|-|----|
sagep arleret enbrachier	---|-⌫----|-|---------|
fai r esa charac hier	---⌫-⌫|-|---|--⌫---|
po rtantdedesduis	--⌫|---|-|------|
orperchoitil hquedeceuoir	-|-------|--⌫|--|-------|
leuuetpaurs et coardis e	-|---|----|-|-------⌫|
dautrepart proech e latise	|----|---|------⌫||----|
distque sensia stoit	---|--||---|-⌫----|
ch ansene ues t oit	--⌫---|-|---⌫-⌫--|
cabla m el isaroit t or né	||---⌫-⌫|-⌫|-----|-⌫--⌫--|
auoitsoncors atorné	----|--|---|------|
sika uoirnepeust	-||-⌫---|-|----|
porcopdespeenede lance	--|--||----|-|-|----|
petit pris	----|---|
dar mes do itaquerre	|--⌫--|--⌫-|------|
ilesten pi ech edeter r e	-|--|-|--⌫---⌫|-|---⌫-⌫|
mal montésa	--|------||
pou darmeu res	--||-----⌫--|
etilosecole e sdure s	-|-|--|----⌫-⌫|----⌫|
rechiuoire tson	--------|-⌫|--|
pooirrendre	----|-----|
s ilnefait f ianche r ne rendre	|-|-|---|-⌫------⌫|-|-----|
a u trui porc enepert	-⌫-⌫---|--|-⌫|-|---|
prisd armes negr ascedamie	---||----|-|--⌫---||---|
iugentdro iture	-----|---⌫----|
ensipr oec he	---|--⌫---⌫-|
e t deb i en	-⌫|-|-⌫-⌫-|
f aireli en orte	-⌫---|-|--⌫---|
amorslen hardist etc onforte	----||--⌫------|-|-⌫------|
tantkedelch anseli	---|-|--|--⌫---|-|
alplustresforthaubert	-|---|---|---|------|
d angie rs	|-----⌫-|
nel iplairoit	-|-⌫|-------|
k a sadame aussibienpleiust	||-|---|----|---|------|
kelechanseauoiru estu	-|-|-----|----|-⌫---|
alarmerares tu	||----|----⌫-|
celisamb leleschauces lace	-|-|----⌫-|--|------|---|
lespeechai nt l escu t enbrache	|----|----⌫-||----⌫|-------|
ch eualson elmea prise	--⌫---|--|---|-⌫----|
por pouke sesestr iers ne	--|--|-|--|----⌫---|-|
sis afichesus	-||-----|--|
alesmueure	||-------|
po rs ada me	--⌫|-⌫|--⌫-|
telcu errecueure	--|--⌫-|-------|
kil hne cr ientmortnebleceure	|--⌫|-|--⌫---|---|-|-------|
uer s soncontenttot l am bleu re	---⌫|--|------|--||--⌫----⌫-|
senuaen lescutenbuisié s	|-|-|-||----|---------⌫|
sescontrairesa sibuisi é s	--|---------||-|-----⌫--⌫|
dachie ret tan t	|-----⌫|-|---⌫|
delor e sc us	-|--|-⌫--⌫-|
adetalhi é s	|-------⌫--⌫|
lorhabiers roset enbarre is	--|------|--|-|-------⌫-|
lorhiamesiaert	--|-----|-|--|
debarr ei s	------⌫--⌫|
seschan ses	--|----⌫--|
etmu ltdepechie ́s	-|--⌫-|--------⌫-|
ertsescorsforme nt	--|--|---|-----⌫-|
blech iés	-----⌫---|
mai s licuer snoientne sesmaie	---⌫|-|----⌫|-----|-||-----|
il nesentango issedeplaie	-|-|---|----⌫---|-|----|
kilisoi talespeefaite	-|-|---⌫|||----|----|
touta de sala mainentaite	---|-⌫--⌫||-|---|------|
d e lui albran casseurer	-⌫|--|-|----⌫|-------|
se sescors pe uistend u rer	-|--|---|--⌫---|---⌫-⌫--|
cuersoisaistempren d re	----|------|------⌫-⌫-|
coue n ist a	----⌫-⌫--||
luirendr e	--|-----⌫|
a lésest enlaplusgrantpresse	-⌫---|--|-|-|---|----|-----|
decos mengier sonchanse	-|--|------|--|-----|
etdautruiarmespaistsespee	-||-----|----|----||----|
ta ntalecharparliu s copee	--⌫-||-|---|--|---⌫|----|
ketouslicha nses ensanc bangne	-|---|-|---⌫---|-|---|-----|
chas conskil	----⌫---|-||
aperch oitlesp argne	------⌫--||---⌫----|
maiscenestpaspar son uoloir	---|-||--|--|--|--|-----|
f a itplus	-⌫-⌫-|---|
lec ue rdoloi r	-|-⌫--⌫|-----⌫|
kilhnetr ueuekis orluifiere	|--|-|--⌫---|-|-⌫-|--|----|
pla ies le haschiere	---⌫--|-|--------|
de content en cont entsac ointe	-|------|-|----⌫--||--⌫----|
adeslimembrede sac ointe	---|-|-----|-||--⌫----|
ki lechanseliottramis	-|-|-----|-|-|-----|
bien se stmaintenuscon amis	---||-⌫-|--------|--|---|
tant f u feruset tantferi	---|-⌫|----|-|---|---|
de safor ce	-|-|---⌫-|
partot l e torn oil auenture	--|--|-⌫|----⌫-||-------|
conoistonquiln aarm eure	------|-|-|-|||---⌫---|
forsqu e lechanseseule ment	------⌫|-|-----|-----⌫---|
entrenteli us	-|-----|--⌫-|
crueu sement	-----⌫-----|
f unaureismais	-⌫|------|---|
ne recroitmie	-|------|--|
touteiormaintient	----|--|--------|
tantkelitorno is fu espars	-----|-|-----⌫-|-|-----|
on li donede totes	-|-|---|-|----|
t or noiet e nuoie	-⌫--⌫--|-|-⌫|---|
chascunsa lho ste	-------|||--⌫--|
le conuoie	-|------|
ilf aitsesplaies remuer	-|-⌫--|--|-----|-----|
porm alq uilaitnepeutmuer	--|-⌫-|-⌫|-|--|-|---|---|
ke cechans e gar der ne	-|-|-----⌫|---⌫--|-|
tout ensine	---|---|-|
uuetostertache	---|----|----|
ne ledon roitportot	-|-|---⌫---|--|--|
ceiure ilhparl e	-|---|--|--|-⌫|
roiceles tre	--|-----⌫--|
chascun ski	-------⌫|-|
l otm u lt s enmerue ille	|-|-⌫-⌫-||-|-----⌫---|
liescuier s soi r apareilhe	-|-------⌫|--|-⌫--------|
kile chanse auoita porté	-|-|-----|----|-⌫-----|
a sadame am ultenorté	|-|---||-⌫--|------|
kelep en sedocheualier	|--|-⌫--⌫-|-|--------|
k i porsamorest contalhi é s	-⌫|--||---|--|--------⌫--⌫|
tant qu il	---|-|-|
tornoi le pris	-----|-|---|
maist antale corsentrep ris	---|-⌫--||-|---|------⌫--|
depl aies keniensest deuie	-|--⌫---|-|----|--|-|--|
lassedis t elesilhdeuie	----|---⌫|--||--|----|
sa m ortc opable	-|-⌫--|-⌫-----|
il amies fa itso nditestauble	-||---|--⌫-|--⌫|--|-------|
ke liautredui q ui	-|-|----|--|-⌫-|
plusdissent	---|------|
dame faitchill e	---|---|---|-⌫|
chansep ri sent	-----|-⌫--⌫---|
maisne l oserentret enir	---|-||------|---⌫---|
l escuier faits oue nt	|------|---|-⌫---⌫-|
ladame alcheual ierplayé t	-|---|-|------⌫--|------⌫|
despen s li a payét	------⌫|-||-----|
et sona murli adonee	-|--|-⌫--|-||----|
chisdonsalaplaiesanee	---|---||-|----|----|
alcheu a li e r	-|----⌫-⌫--⌫-⌫|
por unpetitkil	--|-|----||-|
nese lieue	-|-|----|
contreleduchcop	-----|-|---|--|
li au t r edu i	-|--⌫-⌫-⌫|--⌫|
so n t mul tiré	--⌫-⌫|---⌫|---|
lec hanse refuserent	-|-⌫----|---------|
enlor cuer	-|--|---|
formentsenblamerent	------||-|--------|
sor totporledamage	--|--|--|-|-----|
dela da mesage	-|-|--⌫-|---|
ma i sporc eke main s	--⌫-⌫|--|-⌫|-|----⌫|
sont hardi	---|----|
kechis quidelprendre	-|---|--|--|------|
c hasco nssetientaengane is	-⌫-----⌫-|-|----||------⌫-|
liba che lers fu pressaneis	-|--⌫---⌫---|-|---|-----|
des plaie s k al tornoi apris e s	--|-----⌫||-|-----||----⌫-⌫|
lim arisala dameapr is es	-|-⌫---||-|---|---⌫--⌫-|
auoitbele scors atenir	----|----⌫|---||----|
encorlesuol o itmaintenir	----|--|---⌫-⌫-|--------|
car p asniertapouris	--|-⌫-||---|------|
illiprent uol ente izauoir	-|-|----|---⌫----⌫-|----|
fiezetsorses tenu res	---|-|--|--|----⌫--|
feste sde io stesd auent u res	-----⌫|-|--⌫---||-----⌫-⌫--|
tantporc achaqu e l esifurent	---|----⌫---|-|-⌫-⌫-||-----|
to utesplanieres hu isi or s durent	--⌫---|--------|--⌫-|-⌫--⌫|-----|
apresi outtornoiem ent	----||--|--------⌫--|
l a ou tdonémainparement	-⌫|--⌫|----|---|-------|
etmainmangiercortoiset riche	-|---|------|------|-|----|
libachelersno tpas	-|--------||-⌫|--|
cuer nich e	---|----⌫|
kialada meestoitmaris	-||-|--⌫-|-----|----|
largece amo itplu squepari s	------|---⌫-|---⌫|--|----⌫|
namaistonkes nul io r helaine	|-----|----|--|--⌫|------|
cortt int kinefupasuila i ne	---|-⌫--|-|-|-|--|----⌫-⌫-|
qu iuore nti	--⌫|----⌫-||
m angiere nt	-⌫-------⌫-|
et orentquantquil sohaid ier ent	-|----|------|-|------⌫---⌫--|
b oireetpor mangier	-⌫---|-|--|------|
lafemeal seigno r de lmang ier	-|---|-|------⌫|--⌫|----⌫--|
seruiolimaintes p uceles	----||-|------|-⌫-----|
licheualie rspl a yésnoueles	-|--------⌫-|--⌫-⌫---|------|
soutke lada mesert	---|-|-|--⌫-|---|
asacort ki	|-|---|-|
esthonerau ble	--|-------⌫--|
sonchan seerranme nt li renuoie	--|----⌫-|-------⌫-|-|------|
pars ones cui er e tli pr oie	--|-⌫-|--⌫---⌫-|-⌫|-|--⌫--|
l amurde l ile ueste	|---|-|-⌫|-|----|
tantkele ai tseruiasa	----|--|--⌫|----||-|
desoreto zs esparemens	-----|--⌫|-⌫-|-------|
ce liert mult alige mens	-|-|--|---|-----⌫---|
liescuierslechanse	-|-------|-|-----|
aladamecom bienap ris	|-|---|--|---|--⌫--|
distson messagesansme sprendre	---|--|------|---|--⌫-------|
la d ame tentsa mai n porpr endre	-|-⌫--|---|-|---⌫|--|--⌫----|
lechans eki multertsolhié s	-|-----⌫|-|---|--|-------⌫|
etdist por	-|---|--|
ce qu ilestmolhiés	-|-|-|--|-------|
dousancasonamiloiaul	--|---||--|--|-----|
apar emen t roiaul	|---⌫----⌫|-----|
le chanse car orsfin s nep i eres	-|-----|--|--|---⌫|-|-⌫-⌫---|
nepor oi en te s t r e sic hieres	-|---⌫--⌫--⌫|-⌫-⌫-⌫-⌫|-|-⌫-----|
k elisansdontilhesto ittains	-⌫|-|---|---|--|----⌫-|----|
leue stiroitains	-|--⌫------|---|
kel etenistuin neuiande	|--⌫|-----|--|-|-----|
puis keses d ouzamislimande	----⌫-|--|-⌫--|---|-|----|
lorslacole	---||----|
de boncorag e	-|--|-----⌫|
apre sleuesti ornesa ge	----⌫|-|----|-|-|-|-|
lique is diaus d o usfist plus	-|---⌫-||---|-⌫-⌫-|---|---|
gran tchoze	----⌫|----|
au trechascons l encose	--⌫--|-------||-|---|
det restoz	-|-⌫-----|
chiau skele ase rui	-----⌫||--||--⌫--|
etdientkel e a	-|----||--⌫||
con lif ace grantdes onur	|-|-|-⌫--|----|---⌫---|
carelelapo urfaireonur	--|--|||--⌫-|----|---|
aaucuncheua l ier uest i	|----|-----⌫-⌫--|----⌫|
il seuentbien tr estotcesti	-|-----|---|--⌫----|----|
k esessires	-⌫|--|----|
neporsu itarmes	-|-----⌫-|----|
tr estotpleurentachaudes	--⌫----|-------||------|
queho rs del sens lequident	--|--⌫-|--|---|-|------|
ca nt on tma n giésa saleuuident	--⌫-|--⌫|--⌫-⌫---|-|---|------|
es gardiens uontesbanoii er	-|-------|---|--------⌫-|
la damealchans e	-|---|-|-----⌫|
r eploiier	-⌫-------|
regarderme tsent ente	-------|--⌫||---⌫---|
multen fua sonseigneur ente	---|-|-||--|-------|---|
maisilh nefistsembla nt	---|--|-|---|------⌫-|
on ne lenuitmu er	-|-||-|--|--⌫-|
nemain sparlernemainsta i s ir	-|----⌫|-----|-|----|--⌫-⌫-⌫-|
orp ri eiakesde basiu	-|-⌫--⌫|----|-|----|
a scheualiersetas puceles	-⌫|---------|-|-|------|
damoisiele s	----------⌫|
et ascheualiers	-|-|---------|
ens imen t	---⌫----⌫|
fa chent loial	--⌫----|----|
liqueisd iaz fistplusgrantemprise	-|----||--|---|---|----|------|
uchil q u isauieauoit	|---|-⌫-⌫|-|--|----|
ena uentu reai mantsa	-|-⌫-----⌫-|--⌫---|-|
honte neblam e	----|-|----⌫|
ne c remitantke	-|-⌫---|-----|
alaati rer	--|---⌫--|
del chain se si c	--|-----⌫-|-||
aidit deseure	-|--|------|
iu giésdroit ka mursuos honeure	--⌫----|----||-⌫---|--|------|
chilquiagrant	---|--||----|
tresore ngarde	-----|-⌫|----|
sedoitpenersi quil	-|---|----|-|-|-|
k ilhniaitda mage	|--|||--|--⌫---|
etkilhem puistrendrebo n	-||--|-|----|-----|--⌫|
a celi quili	|---|--|-|
fait gard er	---|----⌫-|
puis qu il alecle fa garder	----⌫-|-||-|---⌫||-----|
il doitpar droitrendrel auoir	-|---|--|----|-----||----|
pert por sonnon	---|--|--|--|
ce puetonen ma in	-|---|-|-|--⌫-|
lieu prouer	---|-----|
dont se d o iu en t bien esprouer	---|-|-⌫-⌫--⌫--⌫|---|-------|
lihaut tresorri erprecieus	-|---|--------⌫-|-------|
deldignetresor glor ieus	--|----|-----|----⌫---|
d elafoigardersi	-⌫|-|--|-----|-|
qu ildoiuent	-|-|------|
carlas aintimeordee n	--|-|-⌫------|---|-⌫|
recho iuent	-----⌫----|
ki che ualeriees tclam ee	-|---⌫------|--⌫|----⌫-|
de d eue tdel mondeest amee	-|-⌫-|-⌫|--|----|--|---|
l auesta dr oitmainte nu e	-⌫||--||--⌫--|------⌫--⌫|
carellees t de	--|---|--⌫|-|
etfaitepar sonmande men t	-|----|--|--|-----⌫---⌫|
tresornomeeme nt	-----|-------⌫-|
gardersiqu	-----|-|-|
illepuisentrendre	-|-|------|-----|
car c he ualierauoirentend re	--|-⌫--⌫-----||---|------⌫-|
sontli tresorier	---|-|--------|
ettresorrie quidefoi	-|--------|--|----|
metco nne puet	--||-⌫|-|---|
altresorrie a smainste nir	-|--------|-⌫|----|--⌫--|
sansbrisieru sansdeferme r	---|------||---|-------⌫|
e t s i uos	-⌫|-⌫|--|
osbi en afermer	-|--⌫-|------|
kilhsont partie del tr esor	|--|---|-----|--|--⌫---|
si d ir ai seiepuistres or	-|-⌫--⌫-|-|-|---|---|-|
e nauant k estlatresorie	-⌫|----||--|-|-------|
c est chars	|--|----|
deb achelersnorie	-|-⌫-------|----|
espeesetdehac es	-----|-|-|---⌫-|
deglaiuesdedars e t dem aches	-|------|-|---|-⌫|-|-⌫----|
alauwe degrantporri ere	||---|-|----|-----⌫--|
hy ameporla lumiere	--⌫--|--|-|------|
ba gnieensanc et ensuo ur	--⌫---|-|---|-|-|---⌫-|
c uchie enpaineetenp uour	-⌫----|-|----|-|-|-⌫---|
demorsetde flairantbruine	-|---|-|-|-------|-----|
de lchiela chambreet gord ine	--⌫|----||------|-|----⌫--|
saco ucedeterre fouoite	||--⌫--|-|----|------|
mai stantlauenue	---⌫|---|-|----|
de sanemisque	--⌫|-----|--|
sasofrance	-|-------|
en meta ukesenob liance	-|--|-⌫---|-|--⌫-----|
desonhaubertlinch uel	-|--|------|-----⌫--|
cors cheualb erchu el	---|-----|-⌫-----⌫-|
sestcouersdorage et	|--|-----||----|-|
degaleeet de noif se trueue	-|----|-|-|---|-|-----|
tant blanc carilhn	---|----|--|--||
aautret ente	|----|-⌫---|
c ontresoleilc ontretormente	-⌫----|-----|-⌫----|-------|
ke sone scut d onti lh secueure	-|--|-⌫---|-⌫--|-⌫-|-|-----|
tr e s orriedes i fort oeur e	--⌫-⌫-⌫----|-|-⌫|---|----⌫|
ne por roitestr ed esc onfite	-|---⌫---|----⌫|-⌫---⌫-----|
porceladiex	--|-|||---|
et porg arderse sbonsamis	-|--|-⌫----|--⌫|---|---|
ba chelers quia cea mis	--⌫------|--||-||--|
d oitbien enpris	-⌫--|---|-|---|
a isou ent oiconter	-⌫|---⌫--|-|-----|
quilne do itpour	-|-|-|--⌫-|---|
b ranc caindre	-⌫---|------|
maismessens nep oroitataindre	---|--|---|-|-⌫----|-------|
can tkeles pe esenefi e	---⌫--||--⌫--⌫|------⌫|
sendirai ced ontie	|-|----|-|-⌫--|-|
reprisnen serai	-----||-|----|
aupumelencomencerai	-|----|-----------|
k iparr ais ondoi t to u zronsest re	-⌫|--|-⌫---⌫-|---⌫|--⌫-⌫|---|---⌫-|
d ece nedoutne c lercne	-⌫|-|-|---|-|-⌫---|-|
k ilh men puissent	|--||-|-------|
adroitreprendre	|----|--------|
larondecedone a enten dr e	-|------|---||-----⌫--⌫|
lemond e et q u antquiy repair e	-|----⌫|-|-⌫-⌫--|--||------⌫|
dontcheual ie rs d oite strem aire	---|------⌫--⌫-|-⌫--|-⌫---|-⌫---|
etsire etauoirensa	-|---|-|----|-|-|
