Quel par tque	---|---⌫|--|
Beduer les	-----|--|
dess uensunconrei	--|-⌫---|-|-----|
Borelotces	----|-|--|
Maineo dsei	----|-⌫|--|
Euan der aparç u t	----⌫--|------⌫-⌫|
Que lurforce e	--|--|----||
lurgentde scru t	--|---|--⌫----⌫|
Ens embleles fist tuzrestrai ndre	---⌫----|--|---|--|-------⌫---|
pr isunsnep otatein dre	--⌫----|-|-⌫-|-----⌫--|
Puislesfist	---|--|---|
ensembl et enir Eo rde neementfe ri r	-------⌫|-⌫---||-⌫---⌫------|--⌫--⌫|
Du nc enorent	--⌫-|-|----|
Romeinsle prisE	------|-|---||
Bretuns en	------|-|
Multles greuerent mult	---|--|--------|---|
enpristrent	-|--------|
Equatr edesmeil lorsoci strent	|-----⌫|--|----⌫---|---⌫-----|
Yder ifudmorz	---||--|---|
Unscheualier suai llanzeforz E	--|---------⌫|---⌫----||---||
Hyrelgasde	-------|-|
Per ironNi aueit plushardin isun E	---⌫---|||----|---|----|-⌫---||
D untsiparento rent grantdol E	-⌫--|-|-----|-⌫---|----|--||
Ch a dor ke neneis	--⌫-⌫---⌫--⌫-----|
Nesaisestei t	-|--||-----⌫|
Bore l del	----⌫|--|
Mans u nsgentilz cuens	---|-⌫-|------|----|
Kigrant me sti erau e it as su ens	-|----|--⌫---⌫-|--⌫-⌫-|-|--⌫--|
S ecunteneithar diement Emultamon estot sagent	-⌫|--------|---⌫------||---|----⌫----|-|---|
Mes desurlui puinst	--|----|--|-----|
De sala nce	-|-|--⌫--|
gulet respasser	---|-⌫--------|
Borelchai ̈nepot	----|----⌫|-|--|
Bre tuns aloent esm aiant	---⌫--||-----|---⌫----|
Quedelurgen tperdeienttant	--|-|--|---⌫|--------|---|
Cuntre und	-----|-||
els iot s et	--||-|-⌫-|
Ias uoleientsaisirasmeins	--|-------|-----|-|----|
Mortuprisudes c un fitf ussent E	---||---||---⌫-⌫--⌫--|-⌫-----||
lurprisuns	--|------|
perdueüssent	----|-------|
Guitardlicuensde	------|-|----|-|
Kig uardotceliorlesf orriers	-|-⌫-----|--|--|--|-⌫------|
O t s empre sla	-⌫|-⌫-----⌫|-|
noueleoïe	-----|---|
Romeins une partie	------|--|-----|
Esteienta sprisunsrescurre	-------|-⌫|------|-------|
Cel epa rtlaissa cheuals	---⌫|--⌫-|-----|------|
Ouocli trei mil	---|-|---|--|
cheualierE	--------||
liforiere li	-|-----||-|
Romeinaferirente nd eient	-----||----|----⌫--⌫----|
Bretunsdescunfiseient	------|-------------|
Guitartuintodsesmeisnees	------|---|-|--|-------|
Espur unant lances	-----⌫----|-----|
Plusde centendescheualchi erent	---|-|---|-|------------⌫----|
puisner edresci erent	---|-|-⌫-------⌫----|
Romeins tuz es baïz	------|--|--⌫----|
Etuzse t indrent p urhuniz	|--|-|-⌫------|-⌫-|----|
Quidoentque	-------|--|
ArturuenistEsa genttutele	----|-----||-|---|---|-|
Q uantta nt uirentdeslurch aeir	-⌫---|--⌫-|-----|--|--|--⌫---|
Deg uar isunnorent espeir	-|-⌫---⌫---||----|-----|
P ei t o u bie nlesasail lentE li	-⌫--⌫-⌫-⌫|---⌫|--|-----⌫---||-|
Bretunpasne lur f aillent	-----|--|-|--|-⌫------|
Liunpur lesaltres s auiuentEd es	-|-|--|--|-----||------||-⌫-|
Rome insabatreestriu ent E	----⌫--|-----|------⌫--||
Romeinturnerent	-----|--------|
Tuz descuuerz e tutdescl o s	--|--------||--|-----⌫-⌫|
A sh erberges uoldrent	-⌫|-⌫-------|-------|
Ne saueie nt aillor sguarir	-|------⌫-|------⌫|-----|
Bretunlesuntlunges chac ié E	-----|--|--|-----|----⌫--||
lur ocis untbienuengie ́	--|---|--|---|------⌫|
chacierente	---------||
ateinstrent	----------|
Kidels abatrene sefeinstr ent	-||--|-----|-|-|-------⌫--|
Eua nd ere	---⌫--⌫-||
Ca tellusEd es altrescincce nzu pl us	--⌫-----||-⌫-|-----|---|--⌫-||--⌫-|
Furentat einte abatu	-----|--⌫---||----|
Esquanzmorz e squanz retenu	------|---|-⌫-----|-----|
Tan tenp r istrentcu m prendre	---⌫|-|-⌫-⌫------|--⌫|------|
uoldre n t E t antcuma mene r en porent	------⌫-⌫||-⌫--|--|-⌫----⌫|-|-----|
Puiss u ntel chem inreturné Ula	---|-⌫-⌫-|-|----⌫-|-------||-|
batailleaueitesté	-------|----|----|
Borel lebon cuntede l	----|-|--|----|--⌫|
MansElur morzq ui strentpar leschamps	---||--|---|-⌫--⌫-----|--|--|-----|
Lecuntetrouerentgisant	-|----|--------|-----|
Ensanglantél a lme	-----------||-⌫--|
Porterenfirent lesnafre zE lesocisunt	-----|-|-----|--|-----⌫||--|---|--|
enterre zA ce lsqui	-------⌫||--⌫-|--|
Arthur otroué	-----|-|----|
E s i cumil ot cumandé	|-⌫|--|-|-|-------|
L espremerainsprisunschargierent E	-⌫-|---------|------|----------||
Paris les enueerent	----|--|--------|
Lesaltr es prisnouelement	--|----⌫-|---|---------|
F irentlier estreitement	-⌫----|---|-----------|
Alchas telode lsles	-|----⌫--|-|-⌫-|--|
m ener ent A lurseignurles pr es enteren tLauenture	-⌫----⌫--||--|------|--|--⌫--⌫-------⌫||-------|
e lagueitli distre ntEtui tens emb leliprami st r ent	||-----|-|------⌫-||---⌫|---⌫---⌫-|-|-----⌫--⌫-⌫--|
Romeins se	------|-|
Q uesenz dutancelesueintreitL	-⌫-|---|------|--|--------||
emperer esotl	-------⌫|--||
auentureEsotla gran t descunfitu re	-------||--|-|----⌫|----------⌫-|
Euanderki ert	------|-|--|
Sotdesaltreskierentpri s	--|--|-----|-|----|---⌫|
uitsa gent forment esmaï e	--|-|---|------|------⌫|
Euitlaguer re	|--|-|----⌫-|
s u uentli meschaeit	-⌫-⌫---|-|--------|
Euitque ri ennecunquereit	|--|--|--⌫-|-|---------|
Angui ssus fud	-----⌫---|--|
m ults e smaia	-⌫--||-⌫----|
Pensaepensae d uta	----||----||-⌫--|
Endu ta ncefu d	-|--⌫--⌫--|--⌫|
Arthur secumbatreitUsunriere	-----|-|---------||--|----|
banatendreit	--|--------|
Ki enpr e ́s	-|----⌫-⌫-|
luiueni rdeueit	--|----⌫|-----|
Labatai l le fo rm entdut ot	-|-----⌫-⌫-|--⌫--⌫--|---⌫-|
Purço que rien niguaainot	--|--|--|---|||-------|
Cunseilpristqua	------|----|-||
Host u mirraEpar	----⌫-⌫|---||--|
Lengrestrespasse ra	------|---------⌫-|
Sag entf ist	-|-⌫--|-⌫--|
sumundreemuueirA	-------||-----||
Lengres ui ndrent dehalt seir	------|--⌫-----|-|---|---|
En lacitéseherber gierent	-|-|----|-|------⌫------|
u a lees se	-⌫-⌫---|-|
Le n gresseeitalchiefd un	--⌫-⌫---|----|-|----||-|
le s ual ee s entursunt	--⌫|---⌫--⌫|----|---|
Arthur sottost	-----|--|---|
qu iluoldren tfaire E quelpartil	-|-|-------⌫|----||---|---|-|
uoleienttrair e	-------|-----⌫|
Bien so tquepasnecumb atreit	---|--⌫|--|--|-|----⌫-----|
Dessiquegreinur	----|--|------|
genta ureit	---|-⌫----|
Nes uoltpaslais siersuior ner	--|---|--|----⌫---|-----⌫--|
N eprésdelu i aseürerAquanqu ilpot	-⌫|----|-|--⌫|-------||-----|-|--|
celee ment	-----⌫---|
Fist sumundreemander	---|-------||-----|
Lengresadl aissiéase nestr e	------|-|-⌫------||--⌫-----⌫|
Ultre sen tr espassaa de stre L	----||-|--⌫------||--⌫---||
e mpereür uoltdeuancir	-⌫-------|---|-------|
E la ueie d	|-|---||
Hostumtol ir	-----|---⌫-|
Tute n oitaddissielmein	---|-⌫--|-|----|-|---|
o st queboisqueplein	-⌫-|--|---|--|----|
Tantquiluin t	---|-|-|---⌫|
e nune ua lee	-⌫|--|--⌫--|
Soeïseertapele e	------|--|-----⌫|
Parceleua leepassot	--|---|--⌫--|-----|
Len gres alot	---⌫---|---|
Seshumesfist	--|----|---|
Arth ura rm erEs es cumpaignes ordener	----⌫-|-⌫--⌫-||-⌫-|---------|------|
Quelureque	---|--|--|
Romei nuenissent	-----⌫|--------|
Queprestement lesrecuilissent	--|---------|--|-----------|
tutelafrapaille	---|-|--------|
Quenul ue ́s	--|--|--⌫-|
enbataille	-|-------|
Fistdeiusteun mu nt aresterEcumpai gnedarm ez	---|------|-|--⌫-|------||------⌫--||---⌫-|
Queci l de	--|--⌫|-|
illesuei ent	-|--|---⌫--|
Delamul t it udin esesf reient	-|-|---⌫-⌫--⌫----⌫||---⌫-----|
cen zseisant eesi s	---⌫|-------⌫||--⌫|
Enuneeschieletuz depris	-|--|-------|--|-|---|
Mist en unboisde sus untertre	---|-|-|---|--⌫--|-|-----|
Ne s ai adest r eua senestre	-|-⌫-||----⌫-⌫|||-------|
Moruidlicuensde	-----|-|----|-|
Gloëce stre	-------⌫---|
D utcheuetaine de cel e es tre	-⌫-|---------|-|---⌫|--⌫--|
Acels dist	|---|---|
C i e stez	-⌫|-⌫---|
Pur nulerie nneuusmoue z	--|---|---⌫|-|--|----⌫|
Simestiersestça turnerai Elesal trespar	-|-------|--|--|-------||--|--⌫---|--|
uus tendraiE	--|------||
Ro meinpar auenture	--⌫---|--|-------|
Turneienta descunfiture	--------||-----------|
Puigniezapre ́ ssis ateig niez	-------|----⌫-⌫|--|-----⌫---|
Ociez les nes	----|--|--|
espar niezEcildistrent	-----⌫---||--|-------|
Bienleferum	---|-|----|
Duncpr is t une	---|--⌫--⌫|--|
altrelegiun	----|-----|
Des nob leshumesdesuassals	--|---⌫--|----|--|------|
Hea lmeslaciez s urlur c heuals	---⌫---|-----|-⌫-|--|-⌫-----|
Cel smist enunlieu	---⌫|---|-|-|---|
p lusueabl eNi	-⌫--|-----⌫|||
otfors lui nul	-|---|--|--|
cunest able	------⌫---|
La fudsam eisnie priuee	-|--|-|-⌫-----|-----|
Qu ilotnurrieeal euee	-|-|-|-----||--⌫---|
En mifi stt en i r	-|-|--⌫-|-⌫--⌫-⌫|
Que ilportotpurgumfanun	--|-|-----|--|-------|
D esaltr e s t uzfistuitcumpaignes	-⌫-|----⌫-⌫|-⌫-|---|--|---------|
E n chascuneot dous	-⌫|-------|-|---|
cheue tainesA cheualfud lunemeitiéE lialtre	-----⌫-----||-----|--||--|------||-|----|
furent a piéAcesensemblecumandaE	-----||---||--|-------|------||
çolur di stelurpria	--|--|--⌫-||--|---|
Que cil quiac heualserreien t	--|--|--||-⌫----|--------⌫|
Quant cilapiésecumba t reien t	----|--||---|-|-----⌫-⌫-----⌫|
De trauersl es	-|------|-⌫-|
Rome insferis sentEde trauers	----⌫--|-----⌫---||-|------|
les enuaïssent	--|----------|
Cincmilcinc	---|--|---|
cenzcinquantecinc	---|--------|---|
Cheualie rstuzpri s	--------⌫-|--|---⌫|
Ot chascuneeschielenu m br ez	-|-------|-------|--⌫-⌫--⌫-|
Detut es armest uz armez	-|---⌫-|----|-⌫-|----|
E nquatrefur entes ta blies	-⌫|-----|---⌫--|--⌫--⌫----|
Lescu mpaignesenoit	--|--⌫-------|-|--|
Q uatred etriésquat redeuant	-⌫----|-⌫------|----⌫-|-----|
a utregentmultgrant	-⌫---|---|---|----|
Chascu narméen	------⌫|----|-|
L e fruntdel esc hielepremiere	-⌫|----|-||---⌫----|-------|
Augui sseld	-----⌫---||
Escoceen bailleLautre	-----|-|-----||----|
CornuailleL autrecumpai gne ot	---------||----|------⌫--|-|
mein Elicue ns	---||-|---⌫-|
L atie rcees chiele fudliuree	-⌫|---⌫--|--⌫-----|--|-----|
Biencunr eeeebien armee A	---|----⌫--||---|----||
Aschi llur eides	-----⌫|-|-⌫-|--|
Daney s Ea	-----⌫|||
Loth lureides	---|-|--|--|
Laquarteprist	-|-----|----|
Hoelenguarde	---|-|-----|
Walwei n od	------⌫|-|
luikinec ua rd e	--|-|-|-⌫--⌫--⌫|
Empréscesq uatreot altre s quatre	------|--|-⌫----|-|-----⌫|-----|
Raparailliesa c umbatre	-----------||-⌫------|
Delune fud	-||--|--|
Key iustisie rsE	--|--------⌫-||
Bedue rlibuteilliers	-----⌫|-|----------|
Beduero t le s	-----|-⌫|--⌫|
An geuinse	--⌫-----||
Chinone i s	-------⌫-⌫|
Alc unte d e	-|-⌫---|-⌫|
Guitard l e	------|-⌫|
Fudlautreesch iele cuma ndee Eil	--||----|----⌫---|----⌫---||-|
lunt uo len tiers guiee	|--|--⌫---⌫----|----|
Yuge ïnde	----⌫--|-|
LeïrcestreE	----------||
I onathas de	-⌫------|-|
Dorecestre	---------|
Lasetm ecumpaigne reçurent	-|----⌫|--------|--------|
Seignur ec un estableen furent	------||-⌫--⌫------|-|-----|
Li cuensde	-|----|-|
C o rsalen Ede	-⌫-⌫-----||-|
Badelicu ens	---|-|--⌫--|
O rentlui tmees c h iele enbai ll ieE	-⌫---||--⌫--|--⌫-⌫-⌫---|-|---⌫--⌫-||
Arthur en els multse fie	-----|-|--|---|-|--|
L esbonss eru anzlesbon sarchie rsEles uaillanzarb elas tiers	-⌫-|---|-⌫---⌫--|--|---⌫|------⌫-||--|-------|---⌫----⌫----|
Mist de dous	---|-|---|
parzd eforsla pres se	---|-⌫----|-|----⌫-|
Pur trai rebiena	--|----⌫-|---||
latrauerse	-|-------|
Tuit cilfurent	---|--|-----|
deuant lurei	-----|-|--|
IIfud detriésodsun c unrei	-|--|-------|-|--|-⌫----|
Art hur o t f ait sespartiesEses eschielesesta b li es	---⌫--|-⌫|-⌫--|--|------||--|--------|----⌫-⌫--⌫-|
Oiez quildistases nurrizAses	---|-|-|---||--|-----||--|
barunse alurfiz	-----|||--|--|
Barund i stilm ultme cu n fo rt	----|-⌫-⌫-|-|-⌫--|-|--⌫-⌫--⌫-|
Quant iouozgran zbuntez	----|-|--|----⌫|-----|
uozgranzuertuzuozgranzcunquez	--|----|-----|--|----|------|
Tut tensuustroisha rdize	--|---|--|----|--⌫---||
uostrepruei se t ut	-----|-----⌫-|-⌫-|
t en s cr eist	-⌫--⌫|--⌫---|
Tuttensaui ue ki k en p eist	--|---|---⌫-|-||-|-⌫---|
Qu antiorecordeiopurpen s	--⌫--|-|-----||-|------⌫|
Bret ai gne estenuo str etens	----⌫--⌫--|--|-|--⌫---⌫|---|
Paruuseparuo z cu mpaignun s	--|--||--|--⌫|--⌫--------⌫|
Damedetrente	---|-|-----|
Multsu iliezmu ltmeglorifi	---|--⌫|---|--⌫-|-|------|
Deue en uusmefi	--||-|--|-|-|
Queuus enco rp luscunque rre zEplus p rendrezeplus	--|--|----⌫|-⌫--|------⌫---⌫||---|-⌫------||---|
uoz prüescesuozbo nes m e ins	--|--------|--|--⌫--|-⌫-⌫--|
O ntdous fe izuencules	-⌫-|---|--⌫-|----|--|
R ome in s	-⌫---⌫--⌫|
Sac iez quemis	---⌫--|--|--|
c uersmedeuineEtut erien	-⌫---|-|-----||---⌫|---|
lemedestine	-|-|------|
Queuusencor huile suentr eiz	--|--|----|--|--⌫|-----⌫--|
Sisaurezdun c uencu treis	--|----|---⌫|----|----|
uusauezuencule s	--|---|----|--⌫|
FranceisEtenez	-------||----|
Francesur lur	-----|--|--|
Biendeuezu eintrele speiurs	---|----|-⌫-----|--⌫|-----|
Quant uenc uauez les	----|----⌫|---|--|
Tributairesuusuoe lent	----------|--|---⌫---|
treü uoelen t denus traireE	----|------⌫|-|--|-----||
F rance uoelent recuurer	-⌫----|------|-------|
T elgentquiden t	-⌫-|---|------⌫|
Cumi lam einen td	--|-⌫|--⌫-----⌫||
ualtdecescent	---|-|--|---|
Nesalezuusne ent	--|---|--|--⌫--|
Kar femmesualent alt reta nt	--|-----|-----|---⌫----⌫-|
Biennusdeu umen	---|--|---⌫-|-|
Deu fi e r	--|--⌫-⌫|
Nedeuumpasdesesp erer	-|----|--|------⌫---|
deha r dement	-|--⌫-⌫-----|
Quenusueintrumlegierement	--|--|-------|----------|
Ia pur hume	-|--|---|
fa l dr ez	--⌫-⌫--⌫-|
Nei a p urhumenefuire z	-|-⌫|-⌫-|---|-|-----⌫|
Bien saura iquechascunferaEbie nuerrai	---|-----⌫|--|------|---||---⌫|-----|
ki mi elz ferra	-|--⌫--|----|
Par tutirraie	--|--|----||
tut uer rai Each ascun b usuinserrai	--|---⌫--|||--⌫----|-⌫----|-----|
Quantla parolefud finee	----|-|-----|--|----|
Quelireisout diteemustreeA u neuoiz	--|-|---|--|---||------||-⌫-|---|
lirespun dirent	-|------⌫-----|
Tuitense m b l ecilkiloïrent	---|----⌫-⌫-⌫-⌫|--|-||------|
Quemielzuuelent	--|----|------|
iloc muri r	---|----⌫|
Que del champsenz u ictorieissir	--|--|----|---|-⌫------|----|
Mult l es o ïssiez aramir	---|-⌫-|-⌫------|-----|
Ser r emenz fairee	---⌫-⌫----|----||
f e iz pleuir	-⌫-⌫-|-----|
lifaldrunt	-|-------|
Telfin cum	--|--|--|
ilferaferunt	-|---|-----|
Luc iusfudd	---⌫--|--||
Esp ainenez	---⌫---|--|
Romeinsbienen parentez	------|---|--⌫-------|
Anza ueitdebone iuuente	--|-⌫---|-|---|------|
Meinsdequaranteeplus detr ente	----|-|-------||---|-|--⌫---|
H ard izertedegran t	-⌫---⌫-|--||-|----⌫|
Fait aueitia maintuasselage	---|----|-|----|--------|
Pursaforce	--|-|----|
epursa ualurLaueitlumfaitemper eür	|--|-|----||----||-|---|-----⌫---|
Lemgres pa rmatin	------|--⌫|----|
Hostu m d r eitalerquida	-----⌫|-⌫-⌫--|---|----|
Meüeesteitsa grantgent t ute	----|-----|-|----|---|-⌫--|
