ceoauint al quinzimean	--|----|-|-------|-|
prince uos apel e.pila te	-----|--|----⌫||----⌫-|
apelalebedel silide manda	----|-|----|-|-|--⌫----|
qu e iilfistceo.le	--⌫-⌫|-|---|--||-|
dist quantuosmenueiastes a	---|----|--||---------||
alisandree n ierusalemdun cuiieo	--------|-⌫|--------|---⌫|-|--|
iesuseersuzl asn un	---|---|--||---⌫-|
tindrentenlors mains	-------|-|---|----|
palmes .li altre geterentlors	-----||-|----|-------|---|
uestemen z enlauaies idist rent	--------⌫|-|-|---|-⌫|----⌫---|
salué seiestu	-----|----|-|
h al tbenei ts eitqui	-⌫--⌫|-----⌫|-⌫--|--|
uint el nun deu	---|-|--|--|
crierentenuerslebedelli	-------|-----|-|----|-|
crier entenebreuet tu	-----⌫--|-|----|-|-|
crias enebreu	----|-|----|
pu isque tu es	--⌫----|-|-|
g rieurespundi lebedelieo	-⌫---|-------|-|----|--|
demandaiaungieu c eoque est	-------||-|---|-⌫-|--|--|
quelienf a ntcrie n tene breu	--|-|---⌫-⌫-|----⌫-⌫|-|-⌫---|
et il medist . e t	-|-|-|---||-⌫|
pilatelo r	-----|--⌫|
deman dacummentcrient	-----⌫-|------|-----|
e breuetilli distrent	-⌫---|-|-|-|-------|
etpilatelordistque esticeo	-|-----|--|---|--|--|---|
d istrentceoes tsire	-⌫------|--|--⌫|---|
saluez nos.dunc distpilate	-----|--||---|---|-----|
al bedelissiezlahorset si	-|----|-----|-|---|-|-|
c ummeuosuolezsi lamenez	-⌫---|--|----|-||-----|
c haenz.duncissile bedel	-⌫----||---|---|-|----|
cummeilaueitfaitdeuant.	----|-|----|---|-----||
puissi dist a	---|-|---||
ie su si reentrez	--⌫-|--⌫-|-----|
ensle princeu os	--|-|-----|-⌫-|
cummeiesufuentrezles enseig n es	----|---|-|-----|--|------⌫-⌫-|
tene itd euant p i late	----⌫-|-⌫----|-⌫-⌫---|
seabaissierentsiaourerent	-|-----------|-|--------|
i esu .cumm e	-⌫--||----⌫|
li gieuuirent	-|---|-----|
qu eles enseigne s aourerentie s ue t	--⌫|--|--------⌫|--------|--⌫-⌫|-⌫|
commentilsa baisierent	------|-||-⌫---------|
e ncuntre luidunces crier e ntli	-⌫------|--|---|--⌫-----⌫-⌫-|-|
quiportouentles e nseignes. pi late	--|--------|--|-⌫-------||--⌫---|
d i stdun cas gieusne	-⌫-⌫-|---⌫|-|----|-|
nientceoque les	----|--|--|--|
ens e ignesseabai ssierentpar	---⌫-⌫----|-|----⌫-------|--|
etaourerentiesuet	-|--------|---|-|
uosblasm ez	--|-----⌫-|
celskisporterent	---|-||--------|
cummeseillesbaissassentpor	----|-|-|--|----------|--|
aorer.dunc dientli	----||---|----|-|
gieu apilatenosue ism es	---||-----|--|--⌫---⌫-|
port entles	----⌫--|--|
e nseignesseabaissieren t	-⌫-------|-|-----------⌫|
aourerentiesu.duncapela	--------|---||---|----|
ce lsquiportouentlesens eigne s	--⌫-|--|--------|--|---⌫-----⌫|
silordemandap or	-|--|------|-⌫-|
queife istesuosceo ildienta	---|--⌫----|--|--|-|----||
pila te nossumm espae ns	----⌫-|--|----⌫-|---⌫-|
etserfsasydles .etpo urqueil	-|----|-|----||-|--⌫-|---||
ao ureriun nosueirem en t	--⌫------|--|------⌫--⌫|
nostenismesfermementlesenseignes	--|-------|--------|--|--------|
mais elesmeis mes se	---|---|----⌫--|-|
abaissierent.duncd i st	-----------||---|-⌫-⌫-|
maist res de lasina goge	-----⌫--|-|-|----⌫---|
es lisiezdeuosmeismes f orzhomme s	--⌫-----|-|--|------|-⌫--|-----⌫|
etilt iengent	-|-|-⌫------|
les e nseignessiuer un se ils	--|-⌫-------|-|---⌫-|-|-||
abaiseru ntparelsmeisme s.du nc	--------⌫-|--|--|------⌫||--⌫-|
pristrent limestredesgieus	--------|-|-----|--|----|
ho mmess ilorfirent	--⌫---|-⌫|--|-----|
teni rlesenseig n esde ua ntpilate	----⌫|--|------⌫-⌫-|--⌫--⌫-|-----|
dis tpilate	---⌫|-----|
meneziesus horsdelpretoir e et	----|----|---|--|-------⌫|-|
puis si lramene zenq ue l	---|-||------⌫|-|-⌫--⌫|
mani ereque uousuoudrez . d unc	----⌫--|--|---|------||-⌫--|
iesu ole bedel.	---||-|----||
d uncapelapila tece lsqui	-⌫--|----|----⌫-|--⌫-|--|
tindrentlese n seignes	-------|--|-⌫-⌫------|
lesalude c e sa rqueselesenseign es	-|---|-|-⌫-⌫--⌫|--|-|--|-------⌫-|
se abaissassent q uant	-|-----------|-⌫---|
iesusuendreit	----|-------|
ens arierequeil	--|-----|--|-|
lorfe reittre nchierles testes.	--|--⌫---|---⌫-----|--|-----||
quantoutce o	----|--|--⌫|
ditsic ummanda	--|-|-⌫------|
rameneriesu e ns el pretoire.	------|---|-⌫-|-|-------||
et lebedel en lamaniereque il	-|-|----|-|-|------|--|-|
a u eitamenédeuant la	-⌫-⌫--|-----|-----|||
ramené .etquan t	------||-|----⌫|
iesusrent rales	----|----⌫-|--|
enseig n esse abaissierent	------⌫-⌫-|-|-----------|
etaou rerent	-|---⌫-----|
iesumsicummeil	----|-|----|-|
aueientfai tdeuan t.	------|---⌫|-----⌫||
qua ntceouitsioutmultgrant	---⌫-|--|--|-|--|---|----|
poorsi leu a sus desunsie g e	---|-|---⌫|--|-|--|---⌫-⌫|
s ine sout quefaire .	-⌫|-|---|--|----||
pilateparnu nprocula	-----|--|--⌫|------|
en uoiamesa gesili ma nda que	--⌫---|----⌫-|-|-|--⌫--|--|
nientn eli a fereit aiugier cel	----|-⌫|-|-⌫-----||-----|--|
iuste homme.et silima ndaque	----|----||-|-|-|--⌫--|--|
aueit sofe rt celenuit	----|----⌫-|---|---|
gran t po orenauisiun	----⌫|--⌫-|-|------|
porcelsaint	--|--|----|
homm e. d onc distrent	----⌫||-⌫--|-------|
ligieua pilate dun	-|---||-----|--|
deis mes bien kilest	----⌫--|---||-|--|
enchantere	---------|
ueezcu m me	---|--⌫-⌫-|
il fai t a	-|---⌫||
femmesof fr irgr a ntpeineensu nge	----|---⌫--⌫-|--⌫-⌫-|----|-|--⌫--|
porceo q uee le le deust deliurer .	--|--|-⌫-|-⌫-|-|----|-------||
pilate apela	-----|----|
dunc iesusilidist	---|---|-|-|---|
dunnostuque	--||-|-|--|
c es gi eust	-⌫-|--⌫--||
accusentenm ultes	-------|-|-⌫----|
chose s et	-----⌫|-|
tunerespuns	-|-|------|
nient. etiesusli respundi s eil	----||-|----|-|-------|-⌫|-|
neu ssent poeste de	|--⌫----|-----|-|
parlerdelo rsb ou che sbien etmal	-----|-|--⌫-|-⌫--⌫---⌫|---|-|--|
nientne pa rlassent	----|-|--⌫-------|
uerun tce okil	-----⌫|--⌫||-|
parole nt.dunc respundire nt li	------⌫-||---|----------⌫-|-|
plusuieldes gieussidistren t	---|---|--|----|-|-------⌫|
a ies uque	|---⌫|--|
duncp ri me siesnésen	---|-⌫--⌫--⌫|--|---|-|
fornicaciun e tpuis par tanaissance	----------|-⌫|---|--|-|--------|
fufaitelocisiiu nd ese nfanz en	-|----||-------⌫|-⌫-|-⌫----|-|
b elleemet	-⌫-----|-|
pu is se n	--⌫-||-⌫|
fuirentiosep hetmarie o uo sen	------|-----⌫|-|----||--⌫|-|
egipteporceok	-----|--|--||
il n ourent	-||-----|
nie ntdefianceenuostrepople.li	---⌫-|-|-----|-|-----|----||-|
alqua nt des gieu squ i	-----⌫-|--|----⌫|--⌫|
ilocere ntparlouentbiende	---|---⌫-|--------|---|-|
ies uetdis t rentnosne di sun	---⌫|-|---⌫-⌫---|--|-|--⌫--|
pas queilf ustnezenfornicaciun	--|--|-|-⌫--|--|-|----------|
ai nzsauunbienque marie	--⌫-|----|---|--|----|
sameref uesposeea	-|---|-⌫|------||
p ilate as gieus q ui	-⌫----|-|----|-⌫-|
distr ent kilert	-----⌫--||-|--|
forni caciunl a	-----⌫-----|-⌫|
uo s trepa role n	--⌫-⌫--|--⌫---||
pasueraie carsamer e	--|-----|--|-|---⌫|
fuespousee	-|-------|
si cumme part ie deuost r e	-|----|----⌫-|-|----⌫-⌫|
genttesmoigne.	---|--------||
duncapilateanna etka iphastu it	---||-----|---|-|--⌫----|--⌫-|
en fo rni cac iunetki l	-|--⌫---⌫---⌫--|-||-⌫|
estenchantere fors cels	--|---------|---|---|
quis unt si de ciplez etproselite	--|-⌫--|-|--⌫-----|-|--------|
nezenfornicaciun cum mei l	--|-|----------|---⌫-|-⌫|
apelap ilate anna etkaiphassi	----|-⌫----|---|-|------|-|
l ordemandaqui sunt	-⌫-|------|--|---|
siproselite-cilquidistrentk	-|--------||--|--|-------||
i lnefutpasnez	-⌫|-|--|--|--|
defor nicaciun .	-|---⌫-------||
duncdistrentl a zar e t as teronet	---|-------|-⌫-⌫--|-⌫|--⌫----|-|
anton o n etiac ob	-----⌫-⌫|-|---⌫-|
samuel ysaacet finees	-----|----|-|-----|
annesetiudasnos nesummespa s	----|-|----|--|-|-----|--⌫|
enfornicaciu nnez ainz	-|----------⌫|--|---|
summesfiz des gieu s	-----|--|--|----⌫|
ueritecarnos f usmes as	-----|--|--|-⌫----|-|
e spo saillesmari e.dunc	-⌫---⌫------|----⌫||---|
p ilatelesdozep a rlesalu	-⌫----|--|---|-⌫-⌫|-|---|
de cesar seceoertkil	-|----|-|--|--||-|
ertpasnezdefo rnicaciun	--|--|--|-|--⌫--------|
d ien t apil atenosne deuunpas	-⌫---⌫||---⌫--|--|-|----|--|
iurersolonc no strel ei	----|-----|--⌫---|-⌫-|
maisiliur entquenos	---|-|---⌫--|--|--|
pasueriteparle salu de c esar	--|-----|--|-|---|-|-⌫---|
serun co p abl e	----|--⌫-⌫---⌫|
de mo rt .	-|--⌫-||
du nc distrent	--⌫-|-------|
anna et kaiph as	---|-|-----⌫-|
a pilat eueritees tceoqueces	|-----⌫|-----|--⌫|--|--|--|
dozedientkiln	---|----||-||
nezdefornicaciu n me senchantere	--|-|----------⌫|--⌫|---------|
este td itkil	--|-⌫|-⌫-||-|
deuetreietno snesummes	--|-|--|-|--⌫|-|-----|
cre uz. du nc cummanda pi late	---⌫-||--⌫-|-------|--⌫---|
popleissir ho rsfors lesyy	----|----|--⌫-|---|--|-|
quidiseie nt que iln esteit	--|------⌫-|--|-||-----|
pasnezforni c ac iun.et iesufistaler	--|--|-----⌫-⌫--⌫--||-|---|---|---|
pa rse iaune part.	--⌫|--⌫||--|---||
puis s i lor	---|-⌫|--|
p arquele raisuni l	-⌫-|----|-----|-⌫|
uoloientoc ire iesu.	-------|--⌫--|---||
etil lidien t enui eunt deceo	-|-|-|----⌫|----⌫|--|-|--|
quil garistla	-|-|-----|-|
gen tparlor	---⌫|--|--|
sa bat.et p il atelorre spunt	--⌫--||-|-⌫--⌫--|--|--⌫----|
boneourele uolen t	---|---|-|-----⌫|
ocireetc il r espunden tsi re	----|-|-⌫-|-⌫--------⌫|--⌫-|
oil . pilatereplei nzde	--||-----|------⌫-|-|
ireissifo rsdelpreto ire	--|---|--⌫-|--|-----⌫--|
dis t ionetruis encest	---⌫|-|-|----|-|---|
hom menulec oup e.l i	---⌫-|---|-⌫---⌫||-⌫|
respundirent se	-----------|-|
copablenosne l te liuri s u n	------|--|-||-|-----⌫-⌫-⌫|
pas.resp undi	--||----⌫---|
pila tem enez	----⌫-|-⌫---|
l enetsi l	|-|-|-||
iugiezsolun cuostre	-----|-----⌫|-----|
lei.etil respundi r en t ilne	--||-|-|--------⌫-⌫--⌫|-|-|
noslistocirenulho mm e.	--|---|----|--|--⌫--⌫||
duncentrapilateelpretoiresi	---|----|-----|-|-------|-|
ap elaie suso l ement	--⌫--|--⌫-|--⌫-⌫----|
dem a ndaestureide sgieus	---⌫-⌫--|-|-|--|--⌫|----|
respundiiesussi li dist	-------|----|-|-|---|
dis tuce odetei	--|-|--⌫|-|--|
meism e ou altres	-----⌫|-|-----|
le t e dis trent demei	-|-⌫|---⌫----|-|--|
pilat e respundisuiieodu nc	-----⌫|-------|--|--|--⌫-|
g ieuu ostregentet	-⌫--|-⌫----|---|-|
eue s ques tel i urerenta mei	---⌫-⌫---|-|-⌫-⌫------||--|
auez u osfo rfaitrespundi	---|-⌫-|--⌫----|-------|
i esumunr egnen est pasd	-⌫--|--|-⌫---||--|--||
munde. seil fust	----||-|-|---|
mundemes menistres	----|--|--------|
c ontrestussent sinefusse pas	-⌫------------|-|-|----|--|
liuréasgieus.	-----|-|----||
mais munregne	---|--|----|
estpasdici .respundi	--|--||--||-------|
p ila te es tudonc rei	-⌫---⌫-|-|-|---|--|
respundiiesustud is	-------|----|-|-⌫-|
a iceosuiieo	|---|--|--|
aiceo ui nc ieoetchas cun	|---|--⌫-|--|-|----⌫--|
qui estdeueriteot	--|--|-|-----|-|
e tpilatelidem andaque est	-⌫|-----|-|---⌫---|--|--|
ueriteet iesus	-----|-|----|
li distuer ite	-|---|---⌫--|
c iel.p ilate dist	-⌫--||-⌫----|---|
et nestpasue ri tee n t erre	-||--|--|--⌫--⌫-|-⌫|-⌫---|
respundi iesuscelsqui	-------|----|---|--|
uer ite dienten	---⌫--|----|-|
terre cum ment	----|---⌫---|
pueentilestreiugi ez	-----|-|----|----⌫-|
quisuntpoes tif sen terre	--|---|----⌫---⌫|-|----|
pi latelessai esuel	--⌫---|----|-⌫--|-|
pretoi re si	------⌫-|-|
i ssiforsas	-⌫--|---|-|
gieussilord ist	----|-|--|-⌫--|
ieon etruis	--|-⌫|----|
nuleachaisun	---|-------|
cest homme.	---|----||
li gieulidistr enticestui	-|---|-|-----⌫--|------|
dist iopuisdest ru irele	---|-|---|----⌫--⌫--|-|
templeetentr o is	-----|-|-|--⌫-⌫-|
i orslepuis	-⌫--|-|---|
re faire.dun c	--⌫----||---⌫|
lord ist pilate	--|-⌫--|-----|
temp lee tligi eu li	----⌫-|-⌫|-|--⌫-|-|
dientlet em p leousalemun	----|-|-⌫--⌫-⌫-|-|------|
mis tquarantesisanzfai re.et cist	---⌫|-------|--|--|---⌫-||-|---|
defferaetreferaen tre is	------|-|-----|-|---⌫-|
et duncdistp ilat e	-|---|---|-⌫----⌫|
pascopabl edel sancde cestiuste	--|------⌫|--|---|-|---|----|
homme uos l euerez.	----|--|-⌫|----||
gieu le suensanc	---|-|---|---|
seitsu s nosetsu snos fiz.dunc	---|--⌫|--|-|--⌫|--|--||---|
apela pilate	----|-----|
pre stre s silor dist priueement	---⌫----⌫|-|--|---|---------|
laissiez uos acusaci unsca rieone	-------|--|-------⌫--|--⌫|--|-|
achaisundigne	-------|----|
dem ortneporla curaciun	-|-⌫--|-|--|-|-------|
trespasd elsabat	------|-⌫-|----|
du ncdie ntli	--⌫-|---⌫-|-|
prou eirea pilate	----⌫---||-----|
qui cuntredit a	--|--------||
estdign edemortetcist	--|----⌫|-|---|-|---|
c untreditet	-⌫-------|-|
adeu etacesar.	|--|-||----||
dunccummanda p ilate asgieus	---|-------|-⌫----|-|----|
il is si senttuitforsdel	-|--⌫--⌫---|---|---|--|
pretoire .et	-------||-|
apelaiesus silidis t	----|----|-|-|---⌫|
queuels tuqu e iet eface	--|---|-|--⌫|-|-⌫|---|
et iesu respundis icummedoné	-|---|-------|-⌫|----|----|
est .e t distpilate	--||-⌫|---|-----|
cum mentest don é respunt	---⌫---|--|---⌫-|------|
iesu moyseset	---|-----|-|
prophete sproph etizere ntde ceste	--------⌫|-----⌫-------⌫-|-|----|
passiu ne t ma resurrectiun.	------⌫|-⌫|-|-----------||
cummece ooiren t ligie u si	----|--⌫|-----⌫|-|---⌫|-|
distrent api late a que i uels	-------||--⌫---||---⌫|---|
p lusoi r lesmencunge sacest	-⌫--|--⌫|--|--------⌫||---|
anchanteoret distpilate	---------|-|---|-----|
seceoestmencu ngequ eild i t	-|--|--|-----⌫--|--⌫|-|-⌫-⌫|
m ene z l enauostre	-⌫---⌫||-||-----|
etsileiugiezsoluncuo stre	-|-|-|-----|-----|--⌫---|
d un cdie ntli gieu	-⌫--⌫|---⌫-|-|---|
a pilateen	|-----|-|
no str e leiestdrei ts e	--⌫---⌫|--|--|----⌫|-⌫|
hommemesfa itaaltre	----|-----⌫-||----|
doinsttre nte etn uef	-----|---⌫--|-|-⌫--|
copset quiencont r edeu	---|-|--|------⌫-⌫|--|
de itestrelapid é .dun clor	--⌫-|----|-----⌫-||---⌫|--|
pilatese il cuntredeupar o le	-----|-|-|-----|--|---⌫-⌫-|
menezlen sil iugiez	----||-|-||-----|
uostre lei . etligieud ie ntnos	-----|--||-|-|---|-⌫--⌫-|--|
u ol unkil seit	-⌫--⌫-||-|---|
c r uce fié .	-⌫-⌫---⌫---||
etpilated istceonest	-|-----|-⌫--|--||--|
bien.pil ateesgardalepople	---||---⌫--|------|-|----|
s iuit p lusors ploran s sidist	-⌫|--|-⌫-----|------⌫|-|---|
t ot cestpoplene	-⌫-|---|----|-|
u eutpas kil	-⌫--|--||-|
mo rge. duncdientli plusuiel	--⌫--||---|----|-|---|---|
proueireap i l at eporceo	-------||-⌫-⌫-⌫--⌫|--|--|
est iluenuzqueil	--|-|----|--|-|
deitmorir.	---|----||
duncdist pilateque	---|---|-----|--|
porqueiildeit	--|---|-|---|
mori r il respundirent car i l	----⌫|-|-----------|--|-⌫|
ki l estfizdeu	|-⌫|--|--|--|
nicod emussest utdeuantpilatesi	-----⌫---||---⌫-|-----|-----|-|
distsired on ez	---|---|-⌫--⌫-|
mei cungiede	--|-----|-|
di reunpoi dep aroles	--⌫-|-|--|-|-⌫-----|
respundipila te	-------|----⌫-|
n ico demus distiodisas	-⌫---⌫----|---|-|--|-|
proueires eta s diacreset a	--------|-|-⌫|------|-||
popledesgi eus enlasynagoge	----|--|--⌫--|-|-|-------|
queuolez uos d	--|----|--||
icesthomme il	----|----|-|
faittielssignes glori eus	---|----|-----|-----⌫--|
qu eonquesmaishomme	--⌫|-----|---|----|
lai ss iez l	---⌫--⌫--||
e sterneli	-⌫---|-|-|
nulmalse ilest	--|--|-|-|--|
si gn esesteruntet	--⌫--⌫-|-------|-|
ilcar unt .car	-|---⌫--||--|
moysesenu oiez dedeu	-----|---⌫---|-|--|
fistmulzsignesen	---|---|-----|-|
e giptesicummedeu cummanda deua nt	-⌫----|-|----|--|-------|----⌫-|
faraunlerei.et	-----|-|--||-|
d eus deses nouris	-⌫--|-|--|-----|
mambresrefi rentcesmeismes	------|----⌫---|--|------|
nient tanz.et	----|---||-|
egiptiens l esaouro uentsi	--------|-⌫-|-----⌫---|-|
cummepordeus .et por ceoque	----|--|---||-|--|--|--|
signesquil faiseient	-----|-|-|--------|
nerent mie depardeu	|----|--|-|--|--|
perirentettozcelsqui enels	-------|-|--|---|--|-|--|
crurent .etp orceo uosd i	------||-|-⌫-|--|--|-⌫|
que cestuilaissiezcaril	--|-----|-------|--|-|
dign edemort .dunc	----⌫|-|---||---|
distrent ligieu a nic odeme	-------|-|---||---⌫----|
tuessundeciplesiparoles	-|-|--|------|-|------|
porlui.dis tn icodemus	--|--||---⌫|-⌫-------|
l eprinces un	-⌫|-----|-⌫-|
q uipa rol eporlui	-⌫-|--⌫---⌫|--|--|
l apoestedecesardeceste	-⌫|-----|-|----|-|----|
dign et eduncfurentles	----⌫--⌫|---|-----|--|
gie usiriezuersnicodeme sil i	---⌫-|----|---|-------|-|-⌫|
distrenttucreisensa uerite	-------|-|----|-|-|-----|
et s iai es part	-|-⌫|--⌫-|---|
etnico demus	-|----⌫----|
desgieu ssailli suz	--|----⌫|-----|--|
si priapilatequei losast	-|---|-----|--|-⌫|----|
parl er.e tpilatedi st parole.	----⌫-||-⌫|-----|--⌫-|-----||
ild is t ie o	-|-⌫--⌫|--⌫|
iu ien unlit	--⌫|-|-|--|
dedo lourtrenteuitanz.et iesu	-|--⌫---|-----|--|--||-|---|
sana et mulzaltres	---|-|---|-----|
pene zdel dia ble s untpar	----⌫|--|---⌫--|-⌫--|--|
etmulz altresporprisde	-|---|-----|------|-|
diuerses enfermetezs untpar lui	-------|---------|-⌫--|--|--|
gariz. c arsitostcum me	----||-⌫-|-|---|---⌫-|
me uit siout	-|--|-|--|
mercidemeisime	----|-|--|-|-|
dist lieuesuz sipo rte	---|----|--|-|--⌫--|
tunlit si ua .etieo	--|--|-|-||-|--|
al e i.dient	--⌫-⌫||----|
dunneuos deismes altresi	--|-|--|------|------|
sanout lag ental sabat	-----|-|-⌫--|-|----|
et i etoutlesdeable shorsdelo rs	-|-⌫----|--|------⌫|---|-|--⌫-|
corsetunaltreleua	---|-|-|----|---|
d i stieof ui	-⌫-⌫-|--|-⌫-|
cie udesma	---⌫|--|-|
nais sance et si cumm e	----⌫----|-|-|----⌫|
iesupa ssa	---|--⌫--|
parmei ie ocriai	--|--|--⌫|----|
ah alteuoizle	|-⌫---|---|-|
fi zdauia ies	--⌫|---|-⌫--|
mei.et iloutmerc ide mei si	--||-|-|--|----⌫|-|--|-|
eneire ui.et un	-|---|-||-|-|
l euasuz si	-⌫--|--|-|
dis tieoer e co rb	---⌫|--|--⌫|--⌫-|
sanapa r parole. etu naltre	---|--⌫|-----||-|-⌫|----|
distieoer e lepreus sime	---|--|--⌫|------|-|-|
parole.etun e femm eparnun	-----||-|--⌫|----⌫|--|--|
iocoruid esan c	-|----|-⌫|---⌫|
doze a nz e t io	---|-⌫-|-⌫|-|
frenge de sun ues te me ntet	-----|-|--|---⌫--⌫--⌫-|-|
eneirefui g arie.dientli	-|---|--|-⌫---||----|-|
gieuno strelei nerece itpas	---|--⌫---|--|-|----⌫-|--|
tes temoigned e fem me	---⌫-------|-⌫|---⌫-|
. etmulzdes	|-|---|--|
altresgieus	-----|----|
et des fe mmesdis er enticesthomme	-|--|--⌫---|---⌫--⌫--|----|----|
est prop hete e tles	--|----⌫---|-⌫|--|
deableslisuntsougez	------|-|---|-----|
lor dist pilate por queine	--|---|-----|--|---|-|
sunt il susie tauosmaistres	---|-|-----⌫||--|-------|
et ildient n os ne	-|-|----|-⌫-|-|
et lialt re diserent a	-|-|---⌫-|-------||
ilr esuscita lazaru napr e sle	-|-⌫-------|------⌫|---⌫-⌫|-|
q uartiorq ueil	-⌫---|--|-⌫-|-|
monume nt.	------⌫-||
dunco utpoor	---|-⌫-|---|
pilatesidist as gie us	-----|-|---|-|---⌫-|
uolezespandrelesanc	----|-------|-|---|
de lnunnui s sant	--⌫|--|---⌫-⌫---|
puis siapela pilat enicodem us et	---|-|----|-----⌫|-------⌫-|-|
lesdouzegieusqu iaueientdit	--|----|----|--⌫|------|--|
kil ne r tp a snédefo rnicaci unet	|-||-⌫-⌫|-⌫-⌫|--|-|--⌫-------⌫-|-|
si lord ist que	-|--|-⌫--|--|
ferai ie odece s t	----|--⌫|-|--⌫-⌫|
pop le qui tel	---⌫-|--|--|
tumultefai t et il	------|---⌫|-|-|
nos ne sa uun.il le	--|-|--⌫--||-|-|
uerunt . dunc	-----||---|
ap ela pilate	--⌫--|-----|
gieussilord istdunnest	----|-|--|-⌫--|--||--|
uostre costum equeunuo slaist	-----|------⌫|--|-|--⌫|----|
homme c opable auostr e pa sche et	----|-⌫-----||-----⌫|--⌫---|-|
aiunnobledeso micid es	-|-|----|--|-⌫-----⌫-|
en lachartre qui	-|-|------|--|
e st apelé	-⌫-|-----|
barabazcareniesune trui s	------|--|-|---|-|----⌫|
ionulea chai s on d emort.	-|---|-⌫----⌫-⌫-|-⌫|---||
uolezuosqueieo uoslais	----|--|--|--|--|---|
dunccrier en tli g ieu si	---|-----⌫--⌫|-|-⌫--|-|
dist rentbarrabam laissiez	----⌫---|-------|-------|
e tpilate lordemandaque	-⌫|-----|--|------|--|
fer unnos deiesuqui est	---⌫-|--|-|---|--|--|
christetildistrent	-----|-|-|-------|
cruc efiez altrefei z distr ent	----⌫----|----|---⌫|-----⌫--|
ami decesar	--|-|----|
cestuilaissezcar il	-----|------|--|-|
fizdeuetreiseuosneuolezque	--|--|-|--|-|--|-|----|--|
ilseit e t nientcesar	-|---|-⌫|----|----|
dunc secorocapilate silord ist	---|-|-----|-----|-|--|-⌫--|
to zior zfu s tezgent	--⌫|---⌫|--⌫-⌫--|---|
estriuoseeta ce ls quiporuos	--------|-||--⌫-|--|--|--|
respundi rent	--------⌫---|
fupor n ospilat e	-|--|-⌫-|-----⌫|
