laiieperdue	|-|-|-----|
silpourmoiferecourt a isi e	|-|---|--|---|-----⌫-⌫---⌫|
languitenlato ur	------|-|-|--⌫-|
courtaisie me fistiluoire	---------|-|---|-|----|
si gra ntq ue	-|---⌫-|-⌫-|
nusnou porr oi tcr oi re	--||-|----⌫--⌫|--⌫--⌫-|
quant iluostque	----|-|---|--|
ietrespassasse	-|-----------|
la haieetla r osebes asse	-|---|-|-|-⌫--|---⌫---|
doipas maugre sau o ir	--|--|--|--|---⌫-⌫-|
nei ene lensaure iauoir	-|-⌫|-||-|----|-|---|
ia se dieu	-|-|---|
plestdou dieud	----|--|---||
nedeluiplaintes	-|-|--|-------|
neclam or s	-|----⌫--⌫|
ned esperance nedois euse	-||--------|-||---⌫---|
qui t antmaestégr ac ieuse	--|-⌫--|||----|--⌫--⌫----|
nefere mes	-|---|--|
car tortaur oie	--|---|---⌫--|
sedeleurbienfezmeplaignoie	-|-|---|------|-|--------|
i amesforsdu soffrir	||--|---|-|------|
cors amartire	---||------|
etdatendree nboneesperance	-||------|-⌫|---|--------|
tantquamor sm enuoit al eiance	-----|----⌫||-----|--⌫-----|
atendre merci mecouuient	------|----|-|-------|
quar ilme distbie n mensou uient	---|-|-|---|---⌫||-|---⌫----|
tonseruiseprand rai degre	--|------|-----⌫--|-|--|
etteme traienhaut	-|-|--⌫---|-|---|
semauuestiene lete	-|--------|-|-|-|
mes espoir	--|-----|
ce n iertmietost	-||---|--|---|
cesuntsi dit	-|---|-|--|
bien pert que	---|---|--|
te ndremen tmamot	--⌫-------⌫||---|
donc n iafors debienseruir	---||||---|-|---|-----|
se ieueill	-|-|----|
songredeseruir	--|--|-------|
quenmoiser o i ent	-|-|--|---⌫-⌫-⌫--|
li d efaut	-|-⌫----|
damorsp a sne defaut	|----|-⌫-⌫|-|-----|
p arfoiquediex nefailli onqu es	-⌫-|--|--|---|-|-----|----⌫-|
c ertesilde faut enmoid onques	-⌫----|-|--⌫---|-|--|-⌫-----|
si n esaiiepas donce uient	-|-⌫|--|-|--|--|-|----|
neia nesaurai sedeuient	-|-|-|-----|-|------|
orau tsicom	-|--⌫|-|--|
aler pour ra	---|----⌫-|
face enamo rs cequ il uour ra	---|-|---⌫-|-|-|-|----⌫-|
oudeschaperou d	-||-------|-||
en c ourir	--⌫-⌫----|
silueust si me les se mourir	|-|----|-|-|---⌫-|-----|
n enuendroieiames	|-|-------|----|
sisuiiemorssenelac hief	-|--|-|---|-|-||--⌫---|
o u sau trespo urmoinelachieu e	-⌫||--⌫---|--⌫-|--|-||------⌫|
mes sam orsquisifortmegrieue	--||--⌫--|--|-|---|-|-----|
pormo ileuouloi t acheuer	--|--⌫|-|------⌫|------|
nu smausnemepo rroitgreuer	--⌫|---|-|-|--⌫----|-----|
quimau en i stensonseruise	--||--⌫--⌫-⌫-|-|--|------|
orautdutoutasa	-|--|-|---||-|
conseil l sill iueustmetre	-------⌫||-|||----|----|
i enem ensaiplusentremet r e	-⌫|-||-|--|---|--------⌫-⌫|
m es con mentque dem oiauiegne	-⌫-|---⌫------|-|-⌫-|------|
ieli priqueillisouuiegne	-|-|--|--|-|-|--------|
debelacueill enp res m a mort	-|--|------|---⌫--|-⌫|---|
quisanzmo i	--|---|--⌫|
et touteuoispor lu i	-|--------|--|--⌫|
auosamorsainzqueiem u ire	|--|----|------|-|-⌫-⌫--|
d esquene puis	-⌫----|-|---|
porte rson f es	-----⌫|--|-⌫-|
sanzrepentirmefazcon fes	---|-------|-|--|---⌫--|
font li lealam ant	---|-|---|--⌫--|
etueillferem ontes taman t	-|----|---|-⌫-|---⌫-----⌫|
au depart irmon	-|------⌫-|--|
queur li les	----|-|--|
serontautr emi les	-----|----⌫|-|--|
tantc omains inc me dement oie	---|-⌫-|----⌫--|-|------⌫--|
d esg rans douleu rs queiesent oie	-⌫-|-⌫---|------⌫-|--|-|----⌫--|
nenesa uoiecuiquerremire	-|-|--⌫---|--|-----|---|
dema tristecene demire	-|-|-------|-|-||--|
lorsuidroitamoi reuenant	---|-|----||--|-------|
resonlabelel auenant	----|-|---||------|
quides atouriusdescendi	--|-|-⌫|---|--|-------|
q uant m esconplainte sentendi	-⌫---|-⌫-|----------⌫|------|
beau s amisdi str esonlabele	----⌫|---|--⌫-|-⌫---|-|---|
conmen t se	------⌫|-|
portelaquer ele	----|-|----⌫--|
sera stuia	----⌫|-|-|
d amerlassez	|---|-----|
n as t upaseumalass ez	|-|-⌫|--|-|--|---⌫-|
q ue t esemble	-⌫-|-⌫|-----|
sun ti ltropd ouz outropamer	---⌫|-⌫|---|-⌫--|-|---|---|
se z entule meane slire	--⌫|-|-|-|---|-⌫----|
quite puist aidier et soffire	--|-|----|-----|-|------|
bon seigne urserui	--|------⌫-|----|
tapris etaserui	||---|-|-----|
ett e tourmentesanzseior	-|-⌫|--------|---|----|
il temesc hai bienleior	-|-|----⌫--|---|-|--|
conqueshomageli feis	|-----|-----|-|---|
foxfusquanta cetemeis	--|--|----||-|-|---|
messanzfailletu	--|---|-----|-|
n e sauoies	-⌫|------|
se igneura ffereauoie s	--⌫-----|-⌫----|-----⌫|
qu arsetubienle	--⌫-|-|-|---|-|
conneusses	---------|
on qu essesh om estén	--⌫--⌫-|--|-⌫-|----||
ouse tul eussesesté	-|-|-||-----|----|
ia nou seruisses un	-||-|--------|-|
nonpasuniournonpas u ne	--|--|-|---|--|--|-⌫-|
ainzc ro iquesa nzpointde	---|-⌫--⌫|--|--⌫-|----|-|
son homagel i re noia sses	--|-----|-⌫|--⌫----⌫---|
neia mesparamor namasses	-|--⌫--|--|---||------|
quenoisletupoint oil	------|-|-|----|--|
sifazde quoi part	-|--|-|---|--||
d eta nt quil medisttudoisestre	-⌫|--⌫-|-|-|-|---|-|---|----|
mout liez donttuassibonm estre	---|---|---|-|-|-|--|-⌫----|
e tseigneu r desi hautrenon	-⌫|-------⌫|-|-|---|----|
quenois letude plusi e non	------|-|-|-|---|-⌫|--|
forstant quilmebaillases	---|---|-|-|-|-----|--|
anfoip lustost cuns	-|--|-⌫--|---||--|
et ie remes anlabalance	-|-|----|-|-|------|
certes ces t poure	-----||--⌫|----|
connoissance	-----------|
mesorue il l quet ules connoiss e s	--|-|--⌫--⌫|--|-⌫|--|--------⌫-⌫|
q ui ta nta nasbeudangoisses	-⌫-|--⌫-|-⌫|-|--||--------|
que tou z an i esdes figurez	--|---⌫|-|-⌫-|---⌫------|
n u slas chetismaleure z	-⌫-⌫|--|-----|-------⌫|
nepeutfes enprandre	-|---|--|--------|
greign eur	------⌫--|
bon fetconnoistre so ns eig neur	--|--|---------|--⌫|-⌫---⌫---|
etsecetuibienconnoiss oies	-|-|----|---|--------⌫---|
legierementissirpourroies	----------|----|--------|
dela prison ou tantanpire s	-|-|-----|-|---|------⌫|
dameuoi rpuisqu iles t	---|---⌫|-----|-|--⌫|
et ie seshom liges	-|-|--|--|----|
moutien tendist u o lentiers	---||--⌫------|-⌫-⌫-------|
mesq ueurse tplusanapreist	--|-⌫----|-⌫|---|-|------|
sifust quilecon l en	||---|--|----||-|
p armonchiefie la t	-⌫-|--|----|-|-||
enueillprendre	-|----|------|
puisquetesqueu rsiueustentendre	------|--|----⌫-||----|-------|
ortedemonstreresanzf a ble	-|-|----------|---|-⌫-⌫--|
choseq ui nest	----|-⌫-||--|
pas de m ons trable	--|--⌫-⌫---⌫-----|
si saurastantostsa nzsciance	-|-----|------|--⌫-|------|
etconn oist r assanz connoi ssance	-|----⌫----⌫-⌫-|---|------⌫-----|
cequin epe u t estreseu	-|--|-⌫|--⌫-⌫|----|--|
nedemonst ré neconneu	-|-------⌫--|-|-----|
quant aceque iap lusensache	----||-|--|-|-⌫--|-|----|
n ushomquisonq ue ur iat ache	-⌫-|--|--|--|-⌫--⌫-||--⌫---|
neque ia pource ma inssendoill e	-|--|-|---|-|--⌫--||-|-----⌫|
s ilnes t texqu efoir	|-||--⌫|--|--⌫|---|
leu oill e	-|-⌫----⌫|
lorst a urele neudesnoé	---||-⌫--|-|--|------|
quetouriorz trouueras noé	--|-------|--------|---|
bien lentencion	---||--------|
ciladesc ripcio n	-|-|----⌫------⌫|
amors c eestpezhaineuse	----|-⌫|--|--|-------|
amorsc est ha i ne amoureuse	----||--|--⌫-⌫-|--------|
leaute zlade sleaus	------⌫|-|--⌫-----|
c estlade s leaute zleaus	|--|-|--⌫-⌫------⌫|----|
c estp oortoute a sseuree	|--|-⌫--|----|-⌫------|
esperanc e desespere e	--------⌫|---------⌫|
ce s treson	|-⌫-⌫|----|
t ou teforsenab le	-⌫--⌫-|--------⌫-|
cestforce ne r ieresnabl e	|--|-----⌫--⌫-⌫-|-------⌫|
cestdou zperilzasoinoier	|--|---⌫|-----||--|----|
griesf eslegiers apaumoier	----|-⌫-|------||-------|
c e st caribdis l ap er illeuse	|-⌫-|-------|-⌫|-⌫--⌫------|
desagraable et gracieuse	----------|-|--------|
c e stlangueurtoutes anteiue	|-⌫-|-------|----|-⌫------|
cest sant e tout emalad iu e	|--|----⌫|----⌫|-----⌫--⌫|
cestfainsaouleenhabondance	|--|---|-----|-|---------|
c e st couoiteusesouf fisance	|-⌫-|---------|----⌫------|
cest laso i fqui tou iorsestiure	|--|-|--⌫-⌫|--|---⌫---|--|---|
iureceq uide so if s	-----|-⌫-|-|--⌫-||
cestfaus deliz	|--|---|----|
c estt risteurliee	|--|-⌫------|---|
cest leescela	|--|-----|-|
courrouciee	----------|
do uz mal douceurmalic ieuse	--⌫-|--|------|-----⌫----|
douc esaueurm al	----⌫|-----|-⌫-|
e ntec hiezdepard onpechiez	-⌫----⌫---|-|----⌫-|------|
depechiezpardon enth echez	-|------|-----|----⌫----|
ces tpeinequ itropest i oi eu s e	|--⌫|----|--⌫|---|--|-⌫--⌫--⌫-⌫|
cestfelonie la piteus e	|--|------|-|------⌫|
geu squi nestpointest ables	---⌫|--||--|----|---⌫----|
estazt rop fe rse t	----|-⌫--|--⌫-|-⌫|
t ropmua bles	-⌫--|---⌫---|
force enfermeen fermetefors	----|------|--⌫------|---|
qui toutesmeut p ars es	--|---|-----|-⌫-|-⌫-|
cestfossens c	|--|--|---||
est sagefolie	--|---|----|
prosper it etristeetiolie	-------⌫--⌫|-----|-|----|
cestr isplains de	|--|-⌫-|-----|-|
p leurs etde ler mes	-⌫----|-|-|---⌫--|
r epost rauaillan tan touztermes	-⌫---|-⌫---------⌫|-|---|-----|
ceestenf ers lidouc er eus	-|--|---⌫--|-|----⌫--⌫--|
paradisli doulereus	------|-|--------|
cestchartre qui prisons	|--|------|--|------|
prin te nsplein de froitiuernage	----⌫--⌫-|----|-|----|-------|
ces t taignequiriensn e refu se	|--⌫|-----|--|----|-⌫|----⌫-|
lespor pres	--|---⌫---|
etlesburia ususe	-|--|-----⌫-|--|
c ar a usintbiensuntamoretes	-⌫-|-⌫----|---|---|-------|
souzbureausconmesou zb runet es	---|------|----|---⌫|-⌫-----⌫-|
car nu snestde sihautli gnage	--|--⌫||--|-|-|---|--⌫----|
treuuelensisage	-----|--|-|---|
nedef orc e	-|-|-⌫---⌫|
tant esprouué	---|--------|
n e sihar dinalen	-⌫|-|---⌫-|||--|
nequitant ait d	-|--|---|--||
autresbonte z	-----|-----⌫|
qui param ors n e soitdontez	--|--|--⌫--|-⌫|---|-----|
touz limondesua cele	---|-|-----|-|---|
dexq ui tou zles des u oie	--|-⌫-|---⌫|--|---⌫-⌫--|
ce nesuntcildemale uie	-|-|---|--|-|---|--|
que geniusesconmenie	--|-----|---------|
pour ce quilf onttortan ature	---|-|-|-|-⌫--|---||-⌫----|
n epourcese ien	-⌫|---|-|-|-||
aidelscure	-||--|---|
ne ueill iep as quele sgen zaimen t	-|----|-|-⌫-|--|--⌫|---⌫|-----⌫|
decelea mordomilse claiment	-|---|-⌫--|--|-|-|-------|
en la finlas	-|-|--|--|
chetifdolant	-----|-----|
tant l esue t	---|-⌫-|--⌫|
amorsaff olant	----|---⌫----|
messetuuieuz bienesche uer	--|-|-|----|---|-----⌫--|
qu amorsnetepui ssentg reuer	-|----|-|-|---⌫----|-⌫----|
etuieuzgarirdeceste	-|----|----|-|----|
n e peu zsi	-⌫|---⌫|-|
bonbeurage	--|------|
conmepense r delui	----|-----⌫|-|--|
tunenpeuzautr ementio ir	-||-|---|----⌫----|--⌫-|
set u lesuiz il te suiura	-|-⌫|-|---|-|-|-----|
s e tutenfuizi l	-⌫|-||-----|-⌫|
quantioibien res on	----||-|---|---⌫-|
qui pou r naiants est debatue	--|---⌫|-----||--|------|
dame fis i edece	---|--|-⌫|-|-|
ien e nsai pa splusque deu an t	-||-⌫|--|--⌫|---|--|---⌫--⌫|
a ce quemen	|-|--||-|
pui sser etraire	---⌫--|-⌫------|
en malecona tant	-|-|----||---|
pui s neant aprend re	---⌫|----|------⌫-|
silasaiiebienparqueurrendre	-|-|--|-|---|--|----|-----|
concme sq ueurs	|--|--⌫|-⌫----|
ri e ns neno blia	--⌫-⌫-||-|-⌫---|
uoireentendre qu anqu ilia	----|-------|--⌫---|-|||
pourlireentoutconm unement	---|---|-|---|----⌫------|
ne mesamoitant	-|--||--|---|
seuleme nt	-------⌫-|
mes pu isqu am or	--|--⌫---|--⌫-|
mauezdescrit e	|---|-------⌫|
etta ntloee ettan tde pite	-|--⌫-|---|-|---⌫|--⌫---|
prier uos ueill	----|--|----|
doud efenir	--|-⌫-----|
siquil men puis t	-|-|-||-|----⌫|
mieuzsouenir	----|------|
quarnelo i	---|-||-⌫|
defeni ronques	------⌫|-----|
uolanti ersori	-------⌫--|-||
e n ten tdonques	-⌫-⌫---⌫|------|
amors se biensui	----|-|---|--|
cestm aladiedep ensee	|--|-⌫-----|-|-⌫----|
antreyy pe r sonesannex e	----|-|--⌫-⌫----|-----⌫|
fran chese ntr elsdediuerssexe	----⌫---|-⌫--|--|-|-----|---|
uenanz agenzparardeur nee	-----||---|--|-----|--|
deuisi on d esor d enee	-|----⌫-|-⌫----⌫-⌫---|
pour acoleretpo urb esier	---|-----|-|--⌫-|-⌫----|
pourelsch arnelment	---|--|--⌫--------|
amantau tre chose	----|--⌫--|----|
art et sedelite entant	--|-|-|-----|-|---|
de fruitauoirnefeti lforce	-|----|----|-|--|-⌫|----|
aude liurersa nz pl ussesforce	-|--⌫-----|--⌫-|--⌫-||------|
sisunt auc und etelmanie r e	-|---|---⌫-|-⌫|--|-----⌫-⌫|
que cesteamor non t	--|----|---||--⌫|
miechie re	--|----⌫-|
touteuoi sfinsaman z sefaig nent	--------⌫|---|----⌫|-|----⌫---|
mes param or samerne	--|--|--⌫--⌫|---|-|
gabentausincdes dames	-----|-----|--|----|
etleurprometent corset a mes	-|---|--------|---|-|-⌫--|
etiurent mencon geset	-|-----|------⌫--|-|
qu itreuue nt deceuables	-||------⌫-|---------|
tantquil ontleur de liteu	-----|-|--|---|--⌫--|-|
mescilsu ntlimainsdeceu	--|--|--⌫-|-|----|----|
car ade sui entilmieuzb eau m estre	--|---⌫|--⌫--|-|----|-⌫--|-⌫----|
d eceuoirquedeceuzestr e	-⌫------|--|-----|----⌫|
meesmem a nten cesteguerre	-------⌫-⌫-|-|----|-----|
quantle m aien ni	----|-|-⌫---|||
seuentqu erre	-----|--⌫---|
mesie s aibienp as	--|-|-⌫-|---|-⌫-|
c ontinuer l	-⌫-------||
estred euin	----|-⌫---|
asonp oairuoloir d eust	|--|-⌫---|-----|-⌫---|
quic o nques afamegeust	----⌫-⌫----||---|----|
et soigard er a nsonsenblable	-|--|----⌫-|-⌫|--|--------|
pource quilsunttuit corrunp a ble	---|-|-|-|---|---|-------⌫-⌫--|
iaparsuccession	-|--|---------|
ge neraci on	--⌫------⌫-|
quar puisquepere etmeref aillent	---|------|---|-|---|-⌫------|
natureueus t quelifilzfaill ent	-----|----⌫|--|-|---|-----⌫--|
pourrecontinue r cesteeuure	---|----------⌫|----|----|
siqueparlu nlautrer equeuure	-|--|--||-⌫||----|-⌫-------|
im ist nature delit	|-⌫--|-----|----|
pou r ce ueustq u e lensidelit	---⌫|-|----|-⌫-⌫|--|-|----|
quecis t ouri ernes	--|---⌫|----⌫-|-||
en foiss ent	--⌫-----⌫--|
e tquece ste	-⌫|--|--⌫--|
euurenehaissen t	----|-|-------⌫|
q uarmaintnitre roientiatret	-⌫--|----|||---⌫-----|-|---|
s e niertdel izqu i lesatret	-⌫||---|---⌫-|--⌫|--|----|
ainsin cnatu r eisotiua	------⌫|----⌫-⌫||-----|
sachiezque nusa droitn iua	------|--|--||----|||-|
n ena pasentenci ondro ite	-⌫|||--|-------⌫-|---⌫--|
quisanzpl usde liticouuoite	--|---|--⌫-|--⌫--||-------|
c arcilquiua delitquerant	-⌫-|--|--|-|----|------|
seztuquicefet	--|-|-||-|--|
conmes ers et	----|-⌫--|-|
cheti setnices	-----⌫|-|----|
au pri nce	-|---⌫--|
detr e stouzlesu ices	-|--⌫-⌫----|--|-⌫---|
car c est det ou z mauslaracine	--||--|-|-⌫--⌫|---|-|-----|
sicomtulles	-|--|-----|
l edeter mine	-⌫|-----⌫---|
ouliu r e qu i lfistdeuiellece	-|---⌫-⌫|-|-⌫|---|-|-------|
quilloe etu e us t	-|-|--|-|-⌫-⌫--⌫|
plusque ieunece	---|--|------|
car ieuneceboute home etfame	--|------|----|---|-|---|
en touz perizdecors etdam e	-|---|----|-|---|-||--⌫|
e ttr op e st fortc h osea pas ser	-⌫|--⌫-|-⌫-|---|-⌫-⌫--||---⌫--|
sanzm ortou sanzmenb r e	---|-⌫--|-|---|----⌫-⌫|
fere h onteou domage	---|-⌫---|-|-----|
soi soit asonlignage	--|---||--|------|
par ionec es e n ualihons	--|-----⌫||-⌫|-|-|---|
e n tou tesdissolucions	-⌫|---⌫--|-----------|
etsuitlesmale s conpaign ies	-|---|--|----⌫|--------⌫--|
etlesdesorden eesuies	-|--|--------⌫--|---|
etm ues o n p ropossou uent	-|-⌫-|-⌫-⌫|-⌫----|---⌫---|
or s erant	-|-⌫|---|
garder la franchi se	-----|-|-------⌫-|
quenatureauoit an luimis e	--|-----|----|-|--|---⌫|
etcui de pr endre auciella	-|---⌫-|--⌫----|-|---|-|
q uantilsemetilleu cenmue	-⌫---|-|-|--|-----⌫|-|--|
etrem aint	-|---⌫---|
tantquilsoitprofe s	-----|-|---|-----⌫|
o usil resen ttrop	-⌫||-|-----⌫|---|
grie f le fes	----⌫|-|--|
en repen t et	-|-----⌫|-|
puis se nist	---||-⌫|--|
ousauieespoirifenist	-|-|--|-----||-----|
quil n esenose reue nir	-|-|-⌫||-|--|----⌫--|
i fettenir	|--|----|
etcontreson	-|-----|--|
queuri demeure	----||------|
la uitagrantmes eseet pleure	-|--||----|---⌫--|-|-----|
lafranchis equi la perdue	-|--------⌫|-|-⌫||-----|
lipeut estrerendue	-|---|----|-----|
senestquede xgraceli	-||--|--|--⌫|----|-|
quisameses elief f ace	--|-|-----⌫|-|--⌫-⌫--|
etletiegne en obedienc e	-|-|-----|-|--------⌫|
par la uertu depaci ence	--|-|----|-|----⌫---|
i eun e ce m ethome esfolies	-⌫---⌫-⌫-|-⌫-|---|-|-----|
esribauder ies	-|--------⌫--|
esluxures e tesout r ages	-|------|-⌫|-|---⌫-⌫---|
etmutacions de c ourage s	-|--------|-|-⌫------⌫|
etfetconm enciertexmellees	-|--|----⌫-----|--|------|
quipui ssuntenuiz desmellees	--|---⌫|---|----|---------|
entex perilxlesmetiennec e	-|--|-----|--|--|------⌫|
quelesqueursa d eli ta d rece	--|--|-----||-⌫---⌫|-⌫-⌫---|
ainsint del ite nla ce	------|---⌫-|-⌫---⌫-|
le corset lapenseehumaine	-|---|-|-|-----|------|
par iennec esacha mberiere	--|------⌫|-|---⌫-------|
quidesmaus	--|--|---|
fereestcou st umi er e	---|--|---⌫--⌫---⌫--⌫|
etdesg enz	-|--|-⌫--|
adelitatraire	|----|------|
ian equerroitautre	-|-⌫|-------|----|
euurefaire	----|----|
mesuiell ecel esen resache	--|-----⌫--|-⌫-|-|------|
quic eneset si le	--|-⌫|-|--|-|-|
re sac h e	--⌫---⌫-⌫|
ou le dema ntaus a nci ens	-|-|----⌫-|--|-⌫---⌫--|
qu e iennece ot	--⌫|------|-|
ensesliens	-|--|----|
quilleur remenbreencore	-|-|---|-------|-----|
desgranzperi lz quilontpassez	--|----|----⌫-|-|-|--|-----|
etdesfoliesqu ilont	-|--|-----|-|-|--|
don c les forces leura soutretes	---⌫|--|-----|---||--------|
aueclesfolesu o lantez	---|--|----|-⌫-⌫-----|
doncil seul ent estretant ez	---|-|----⌫--|----|----⌫-|
uiellecequile sacompaigne	-------|--|--⌫|---------|
quimout l eurestbone compe igne	--|---|-⌫--|--|---|-----⌫---|
lesrama inea droite uoie	--|----⌫--||-----|---|
etiusq uenla	-|----⌫|-|-|
fin les conuoie	--|--|------|
mesmalemp loiesonseruise	--|--|---⌫---|--|------|
carnu s nelaimene ne	--|--⌫|-||---|-|-|
auma insiusquacetant an	-|--⌫--|----||-|---|-|
qui la uo sist auoir	-||-|--⌫---|----|
car nusneueust uieuzdeuenir	--|--|-|----|----|------|
n e i ennes	-⌫|-⌫----|
sauie fenir	-|--|----|
sisesbai ssent et merueil l ent	-||-----⌫----|-|-------⌫-⌫--|
quantanleurremenbrance ue illent	----|-|---|----------|--⌫-----|
folies leursouuient	-----|---|-------|
siconsouu enirleurcouuient	-|--|----⌫---|---|-------|
conmen ti l	------⌫|-⌫|
firenttelbesoigne	-----|--|-------|
sanzreceuoirhonteetuergoig ne	---|-------|----|-|-------⌫-|
