seign eorpreudonor	-----⌫--|------|-|
li coui ent	||----⌫--|
etau quartfist liroiscrier	-|-|----|---|-|---|----|
p arla ciete	-⌫-|-|----|
tou t demanois	---⌫|-------|
quefa cent	--|--⌫---|
t rosserl eurh arnois	-⌫-----|-⌫--|-⌫-----|
sommiersapare illier	-------|-----⌫-----|
puissenissentsansdeloier	---||-|-----|---|------|
areins sera faitl isecres	|----|---|---|-⌫|-----|
e tlui i ones roisc oronés	-⌫|--|-⌫---|---|-⌫------|
esmurentcommu nement	-------|-----⌫-----|
etuontarains a	-|---||----||
s acrement	-⌫-------|
d agonbers etson p erei	-⌫-------|-|--|-⌫--||
parla cietegrant ioiefirent	--|-|----|----|---|-----|
unsamme dit fuc orronés	-|-----⌫--|-|-⌫-------|
da g onbe rsqui tantfu pe nés	--⌫-⌫----⌫-|--|---|-|--⌫---|
formentl i	------|-⌫|
fir entgrante nnor	---⌫--|----|-⌫---|
mainthomagereceust ce io r	----|-----|------|-|--⌫|
du roidagonbertuos larrai	-|--|--------|--|-----|
maismoltpar tansireu enro i	---|---|--|---||---⌫----⌫|
quanttans seraderetorner	----|---|---|-|-------|
mais ancois uos uorroiconter	---|-----|--|-----|-----|
une auent ure p erill eu se	--|-----⌫--|-⌫-----⌫--⌫-|
nu shom neuitsi merueilleuse	--⌫|--|-|--|-|-----------|
a c elte nsq uedag onb e r stint	|-⌫-|--⌫-|-⌫-|---⌫---⌫-⌫-⌫|---|
fr ance et bretaingnearo me	--⌫---|-|---------||--⌫-|
lauenturedont	|-------|---|
altens que uosdiremorrés	-|---|--|--|---||-----|
auoita rome un	----||---|-|
roiuaillant	--|-------|
harditet pre us	-----|-|---⌫-|
etconbatan t	-|--------⌫|
otheuiens auoi t anon	--------|----⌫||--|
femme pristdemoltgr ant	----|----|-|---|--⌫--|
lestoiredistquen totle monde	|------|---|-|-|--|-|----|
qu ilecerchast	--⌫|-|-------|
e nlareonde	-⌫|-|-----|
netrouastpasun meillor d amme	-|------|--|-|------|-⌫---|
yyansf u liroissafemme	-|--|-⌫|-|---|-|----|
ne por rent	-|---⌫---|
auo irnu lenfant	---⌫-|--⌫|-----|
de cesen uontdesconfo rtant	-|-||-|---|--------⌫----|
nes orenten	-|-⌫----|-|
r e mai nt	-⌫-⌫---⌫-|
liunsa lau tre	-|--|||--⌫--|
secon plaint	-|---⌫-----|
unior auinta	-|--|----||
agrantioieetagrant deduit	|----|---|-||----|-----|
s en iuitli roi s s a m ulier	|-|---|-|---⌫|-⌫|-⌫----|
comme cilqui	----|--|--|
l amoit dequ er	|----|-|--⌫-|
amour n au oi tenaltrer ien	----||--⌫--⌫|-|----|-⌫--|
autressibien	-------|---|
liroisuint aluicele nui t	-|---|---||--|---|---⌫|
se engendraquiquil e nnuit	-|-------|----|-|-⌫----|
deusenfa nsadonqu es li rois	---|----⌫-|------⌫-|-|---|
dontses cuersf upuis mo lt destrois	---|--|----|-⌫|---|--⌫-|-------|
etn ep or quant diexen	-|-⌫--⌫--⌫----|---|-|
deyy en fansquilengendra	-|-|--⌫---|-|-|-------|
lie et ioieu se	--|-|-----⌫-|
mais p ui s e nfumoltangoisseuse	---|-⌫--⌫|-⌫|-|---|----------|
ensi uosm orrésconter	---|--||-----|-----|
li te rmesui n tdeldeliurer	-|--⌫---|--⌫-⌫|--|-------|
a sesiotdamessachans	-⌫--||-|----|------|
laroi ned eyyenf ans	-|---⌫-|-⌫|-|---⌫--|
se deliura adieuplesir	-|------||---|-----|
la uie llequediexpuisthonir	-|---⌫--|--|---|----|----|
quemere othe uiensestoit	--|---|----⌫----|-----|
leyyenfansesgar deet	-|-|-----|-----⌫-|-|
moltsen aire en	---||-|---|-|
sonco ra ge	--|--⌫--⌫-|
par unpeuele ne srag e	--|-|--|--||-⌫----⌫|
lorsdistlauiellealar o in e	---|---|-|-----||-|-⌫-⌫--⌫|
saura l en uo strecon uine	----|-⌫-|--⌫---|---⌫---|
quec enepu e tes t reporuoir	--|-⌫|-|--⌫-⌫|--⌫-⌫-|--|---|
queunefammepeust auoir	--|--|----|----|----|
de usenfans	--⌫-|-----|
ensembl eaunlit	-------⌫||-|--|
s ayyhommenason	||-|----|||--|
adeuste nes abondo nee	|---||-⌫|-|------⌫--|
taleauteses t b ien	-|------|--⌫|-⌫--|
ce rtesce distladesloiaus	--⌫---|-|---|-|--------|
ieferoitoi ettesiuma us	-|----|--|-|--|----⌫-|
ardo irete npoudr euente r	----⌫-|-|-⌫|-----⌫|-----⌫|
lesenfans uait apoinscoi tier	--|-----|---||----|---⌫---|
ialesestranglast aitant	-|--|----------||----|
qua ntl esdames tot maintenant	---⌫-|-⌫-|----|--|---------|
les litolirentdes esmai n s	--|-|-------|-|-⌫-|---⌫-⌫|
pardieu distelec est de l mei ns	--|---|---|--||--|--⌫|---⌫-|
ie lesferoitottr oi s m orir	-|--|----|--|--⌫--⌫|-⌫---|
ladame uoutdel it sai lli r	-|---|---|-|-⌫-|---⌫---⌫|
simal ade comeelefu	-|---⌫--|---|--|-|
quantli enfanslisontrandu	----|-|-----|-|---|----|
etlauiel lesen tor ne atant	-|-|----⌫-||-|---⌫-|----|
a sonfieu zui nt maintenant	|--|----⌫|--⌫-|---------|
criant toteeschauelee	-----|---|---------|
bien sembloi tfe mm eforsennee	---|-------⌫|--⌫--⌫|--------|
uie lle q ueaitmalmain	---⌫--|-⌫-|--|--|---|
biaxfieuzde ta famme	---|----|-|-|----|
quantelet a fait	----|--|||---|
c ertesapo iquei en esrage	-⌫----||--⌫|--|-⌫||-----|
fammesor tos	----|--|--|
da medist ilqueauésuos	--⌫-|---|-|--|----|--|
queiaiia m esrageroiuiue	--||-|-||--------|---|
portafamme lorde	--|-|----||---|
queaun garcone st	--||-|-----|-⌫-|
sachiésc estue rite prouee	-------||--|--⌫---|-----|
fait q u antquelisiet	---|-⌫-⌫-----|-|---|
quiquilennuitne qui qu en griet	--|-|-|-----|-|--|-|-|----|
quyyqu istr ons apo rtés	-|-|--⌫----⌫--||--⌫----|
qu eli garconsa engendrés	--⌫|-|------||---------|
damedisti ln enparlés plus	---|---|-⌫||-|------|---|
iuqueslitermessoit uenus	-----|-|-----|---|----|
queledeura releu e r	-|--|----|-----⌫-⌫|
poésmo strer	----|--⌫----|
yyen semble ce sa chiés	-|--⌫-----|-|--⌫-----|
queieenseroibie nuen gi és	--|-|-|----|---⌫|---⌫--⌫--|
ceste choselaisseréscoie	----|----|---------|---|
nesoiqueuosenmentiroie	-|--|--|--|-|--------|
tantiustlada meettant	---|---|-|--⌫-|-|---|
que de yyenfansreleua	--|-|-|-----|-----|
damefurel euee	---|-|---⌫---|
lasalefuencortinee	-|---|-|---------|
dame d istli r ois entende ́s	---|-⌫--|-|-⌫--|-------⌫-|
a n uitmais	-⌫-⌫--|---|
uosrepouserés	--|----------|
sachiésieuos desporteroi	-------|-|--|----------|
asaint piereueillieriroi	|----|----|-------|---|
dieugracieret aurer	---|------|-|----|
afait releuer	|---|------|
si reuo s fere ́suo	--⌫-|--⌫|----⌫-|-|
car iesuienuostrecommand	--|-|--|-|-----|------|
lii ortrespassela nuit uient	-|-⌫-|--------|-|---|----|
la roinebiensacontient	-|----|---||--------|
ensachambrecouchierala	-|-|------|-------|--|
celeq uepoi nt ne	---|-⌫-|---⌫-|-|
quenulho me	--|--|--⌫-|
del montla hace	--|---|-|---|
sesenfanz out s i lesenbrace	--|-----|--|-⌫|--|------|
beisiéslesaet	-------|--||-|
et al aitiésetsaueilliés	-|--⌫------|-|----------|
grant fula cla rte ladedens	----|-|-|---⌫--|-|-----|
pucelesiotet	------||-|-|
quisedo rmoi entseurement	--|-|--⌫----⌫--|--------|
etlad ameto tens ement	-|-|-⌫--|--⌫|---⌫----|
quantl i uespres sestaprochiés	----|-⌫|------||--|---------|
oteheui ens ses tenbuschiés	-------⌫--||--⌫|----------|
sestesconsés	|--|--------|
et oluitrois	-||--|----|
dese spri eués	-|--⌫|---⌫----|
etla uiell e	-|-|-----⌫|
q uediexdoint honte	-⌫-|---|----|----|
p orchaceetamonte	-⌫------|-|-----|
un garcon ap ele	-|-----|--⌫--|
cilui n tal uin e sotporquoi	--|--⌫-⌫||-⌫-|-⌫|--|--|---|
amisdiste le	---|---|-⌫-|
orm ent endés	-||---⌫-----|
seuos faitesmesu olentes	-|--|-----|--|-⌫------|
ieuosdonroicen tmar s d argent	-|--|-----|---⌫|---⌫||-----|
lemat inau	-|---⌫-|-|
c omencement	-⌫---------|
et boneroubeetb on destrier	-|---|----|-|-⌫-|-------|
teferoicheualier	-|----|--------|
da medist ligarc onstrotiers	--⌫-|---|-|----⌫--|-------|
ie fe roipor	-|--⌫--|--|
uosuolentiers	--|---------|
uostreuoloir sant n ul r es pit	-----|-----|---|-⌫-|-⌫--⌫--|
oraue ́s faitel eb i e n dist	-|---⌫-|---|--⌫|-⌫-⌫-⌫|---|
p arlep oing l eprentsisenua	-⌫-|-|-⌫---|-⌫|----|-||-|-|
aulitladame len	-|--|-|---||-|
enlac hambre	-|-|-⌫-----|
trequoie men t	--|-----⌫---⌫|
qo nquesn e les ore ntlagent	|-⌫----|-⌫|-|-⌫---⌫-|-|---|
apele legarcon	----|-|-----|
tostdiste lesant tencon	---|---|-⌫-|---|-----|
coucheto is osces te	-----|--⌫|-⌫-|---⌫-|
tos nusencostelaroine	--|--|------|-|----|
ilie no ser o ie	-|-||-⌫---⌫-⌫-|
m atinpe n dusse roie	-⌫---|--⌫-⌫--|--⌫---|
n aié s pourdistla mauuese	|----⌫|---|---|-|------|
suefre toisiso ist ot aisse	-----|--|-|--⌫-|-⌫-|----|
ci l fitde gai nergrant	--⌫|--|-|---⌫--|----|
grandu elets orsie demenant	---|--⌫-|-|-⌫----|-------|
ils edesueste et sisecouche	-|-⌫|-------|-|-|-|-----|
mais ala roinenetou che	---||-|----|-|---⌫--|
osastesueil li er	----|------⌫--⌫-|
t el poor an ose cluinier	-⌫-|---|||--|-------|
maleuie llesencort	---|---⌫--||-|---|
asonfiluientala	|--|--|----||-|
fie uz disteleui enentuient	---⌫-|---|--|--⌫-|--|---||
certes apoi qu ene mepe nt	-----||--|--⌫|-|-|--⌫-|
ouquene mocidunc outel	-|--|-||--||-|-⌫----|
p arlafoi q ue	-⌫-|-|--|-⌫-|
d oisa intm ar cel	-⌫-|--⌫--|-⌫--⌫--|
ta fammetaainsihon i	-|----|||----|---⌫|
ligarconsgistencoste	-|------|---|------|
orendroitlete mostreroi	--------|-|-|--------|
pertrus lesesgardoi	------|--|-------|
etli roismaintenants en	-|-|---|---------||-|
a lacham be sau oietorne	|-|----⌫-|-|-⌫--|----|
aulitlaroines en uint	-|--|-|----||-|---|
huimaisorréscom il	--|---|-----|--|-|
do leur et pe rte	--⌫---|-|--⌫--|
sansachaiso net sant	---|-------⌫|-|---|
l iga rconuit le roi ueni r	-⌫|--⌫---|--|-|--|----⌫|
si afa itsemb lantde dormir	-||--⌫-|----⌫---|-|-----|
li roistenoitsespeenue	-|---|-----||----|--|
la ui ellequesoit	-|--⌫---|--|---|
li distb iauf iu sque a tentu	-|---|-⌫--|-⌫--⌫|--|-⌫--|-|
oci tost a branc mol u	--|---||----|---⌫|
dame distli r oisn onferoi	---|---|-|-⌫--|-⌫-|----|
d orm ant n	-⌫---⌫--||
es oc irai	-|--⌫---|
lirois s af amme	-|---|-⌫|-⌫---|
esg ardoit	---⌫-----|
etladame quesadormoit	-|-|---|--||-------|
est oit enmolt	---⌫--|-|---|
gra ntfreco n	---⌫-|-----⌫|
celi sembloit enuision	-|-|-------|-|-----|
un ae ig lelauoit aerse	-|--⌫--⌫-||----|----|
etlab atoit	-||--⌫----|
toten tra uerse	--|-|---⌫----|
etsesmamelesesrachoit	-|--|------|--------|
etses yyenfansen portoit	-|--|-|-----|-|------|
esueillesi	-------|-|
m esenfa nsdiexai e aie	-⌫-|----⌫-|---|--⌫|--|
seseuseure si s	--|--|---|-||
etuit le roi deuantlui	-|--|-|--|-----|--|
quisonb ranc daciernu	--|--|-⌫---||----|-|
uers la dame ces mos disoit	---|-|---|--|--|-----|
cestuoslicherres	|--|--|--------|
q uipi e ca	-⌫-|--⌫-⌫-|
ses uolenties de uosfait a	--|--------|-|--|---||
atousiorsle	|---|---|-|
cuidi és celer	-----⌫--|----|
laroin ecomence a	-|----⌫|------||
diexdis tele suitraie	---|---⌫|--|--|----|
doucedamesaintema rie	----|---|-----|--⌫--|
quima faittelm espri sion	--|||---|--|-⌫-----⌫---|
creés tel traison	-----|--|------|
mer cidemoi	---⌫-|-|--|
ienemesprisonques uertoi	-|-|------|-----|--|--|
dame c edistoth euiens	---|-⌫|---|---⌫-----|
taiséuou squeceneuaut riens	-----|---⌫|--|-|-|---|----|
pr encci toteprouee	--⌫--|-|---|-----|
l orsala maisnie	-⌫--||-|------|
silafi stprendre maintenant	-|-|--⌫-|------|---------|
ensa chartre lamist errant	-|-|------|-|---|-----|
etses yyenfansaueuclu i	-|--|-|-----|----|--⌫|
apres a legarcon sai si	----||-|-----|---⌫-|
quisechouchaparcouoitise	--|-|------|--|--------|
ato stlatesteprise	|--⌫-|-|----|----|
puis lefist la	---|-|---|-|
forstr a iner	---|--⌫-⌫---|
ses cheualier smand er	--|---------⌫|----⌫-|
sil eur contade	-|-⌫--|----|-|
chiefen chi ef	----|-|---⌫-|
son g r antennuietsonmes chief	--|-⌫-⌫--|----|-|--|---⌫----|
si enueul t	-|-|----⌫|
i ugement auoir	-⌫------|----|
cil dien tfaites	--|----⌫|-----|
u os uol oi r	-⌫-|---⌫--⌫|
nul qui deuersli	--|--|-----|-|
et lauiellem oltl	-|-|-----|-⌫--||
angoissa it	--------⌫-|
queardet ro pfait grantdemore	--|---|-⌫--⌫|---|----|-----|
etlaroinecrieetpleure	-|-|----|---|-|-----|
qu eenlachartre	--⌫|-|-|------|
secon plai nt	-|---⌫----⌫-|
mo lt a lecuerde	--⌫-||-|---|-|
doleu r taint	-----⌫|----|
asesy yenfans s	|--|-⌫|-----||
celequemoltestoitdolente	---|--|---|-----|------|
e nfansdist elequ efer ons	-⌫----|---|--|--⌫|---⌫--|
biensoi queto t troismorrons	---|--|--|--⌫|----|------|
atort nosfaithon hon t	|---|--|---|--|---⌫|
e tsinen auonsriens mesf a it	-⌫|-||-|----|----|----⌫-⌫-|
por u osiert mes c or sendoleur	--|-⌫-|---|--|-⌫--⌫|-|-----|
lorsles besa	---|--|---|
pargrantamor	--|----|---|
ensifuladame la	---|-|-|---|-|
aumatinetqui quilanuit	-|------|---⌫-|-|----|
afaitliroissa g entma nder	|---|-|---|-|-⌫--|--⌫---|
qu antillesafa itauner	--⌫--|-|--||--⌫-|----|
silorcon ta toutcelafaire	-|--|---⌫-|---|--|-----|
e tdemandaquilporra	-⌫|------|-|-|----|
dient loiaument	----|--------|
i uge m ent	-⌫---⌫-⌫--|
cilrespondent i snelement	--|---------|-⌫--------|
sirefon tilfaitesla	---|---⌫|-|-----|-|
meillorconse iln e porre ́s pr endre	------|-----⌫-|-⌫|-----⌫-|--⌫----|
en fan sf aitesno rir	--⌫---⌫|-⌫----|--⌫--|
tant qu il	----⌫-|-|
sepuissentgarantir	-|-------|-------|
gran thoneu rier ta	----⌫|-----⌫|---⌫||
li roisen fu fo rmentpensis	-|---|-|-|--⌫----|-----|
lamaleui elle respond i	-|---|--⌫---|-------⌫|
baronsdistelediexmerci	-----|---|--|---|----|
loésuo sdont d u ne p utaine	----|--⌫|---||-⌫-|-⌫-----|
queme fi exfacen ona i ne	--|-|--⌫-|---|-⌫---⌫-⌫-|
fiusdistla dame isnele ment	---|---|-|---|------⌫---|
uasit enuengeat on talen t	-|-||-|----||-⌫-|-----⌫|
lib arons ne seuentquedire	-|-⌫----|-|-----|--|---|
q uelauielle nosent desdire	-⌫-|-|-----||----|------|
ca rtrop iert de mauue s e	--⌫|---|---|-|-----⌫-⌫|
n osentproier porla roine	|----|-----|--|-|----|
lir ois f ist	-|-⌫--|-⌫--|
un feualumer	-|--|-----|
lar oine f ist amener	-|-⌫---|-⌫--|-----|
t rente seriansporluialerent	-⌫----|------|--|--|------|
cha r trel engeterent	---⌫-⌫--||-|-------|
aufulamainent	-|-|-|------|
d efors rome	-⌫----|---|
p orluifammes et ho mes	-⌫-|--|-----|-|--⌫--|
entresesbr asl e s	----|--|--⌫-|-⌫-⌫|
enfan s tint	-----⌫|---|
oles seriansbelementuint	|--|------|-------|---|
deman de t otentour	-----⌫-|-⌫-|-----|
quefe ralendemoiseingneurs	--|--⌫-|--|-|--|---------|
l iserganzpor	-⌫|------|--|
otheuiensu os ueult ardoir	--------|-⌫-|----|-----|
q ua n tla roinnel entendi	-⌫--⌫-⌫|-|-----||------|
le cuerottaintetm arri	-|---|-|----|-|-⌫---|
o theuiensenapel a	-⌫-------|-|----⌫|
cortoisementlaraisona	-----------||-------|
pordiexfait ele otheuien	--|---|---|--|-------|
oresgardesetufaisbien	-|------|-|-|---|---|
q uanttuafa mme me preis	-⌫---|-||--⌫--|-|----|
tum eiuras	-|-⌫|----|
que t u lem ien	--|-⌫|-|-⌫--|
co rs gard er oie s	--⌫-|----⌫--⌫---⌫|
comeletuensetupoo ies	---|-|---|-|-|---⌫--|
gentiexroispordieu	------|---|--|---|
se tug ardes tonsairem e nt	-|-|-⌫----|--|------⌫-⌫-|
que si diexa it mercidem oi	--|-|---|-⌫-|----|-|-⌫-|
queie nemespris oncu ertoi	--|-|-|------|--|-⌫-|--|
lorsue issie ́s gen tdolousier	---|--⌫-----⌫-|---⌫|--------|
dame s etche ualie rsplore r	----⌫|-|---⌫-----⌫-|-----⌫|
lapoure gensla regratoient	-|----|---|-|----------|
porladouceor quenlui trouoient	--|-|------|-|-|--|--------|
puepl es por lu i	-----⌫-|--|--⌫|
porlesgrans biensqu	--|--|----|----|-|
elle fais oit	---|----⌫--|
he diexfont l e sg ensquefero ns	-|---|---|-⌫-⌫|-⌫--|--|----⌫-|
dec eledamequeperdons	-|-⌫--|---|--|------|
quetant iertuailla nteetamee	--|---|---|------⌫--|-|---|
partrais on l a	--|-----⌫-|||
ot nepotmot dire	-|-|--|--|---|
porse se nfansformentsouspire	--|--⌫|-⌫----|------|-------|
etporluiqui	-|--|--|--|
etl auiellesest escriee	-|-⌫|-----||--|------|
f ie us dist lauiellequatentu	-⌫--⌫-|---|-|-----|-|---|-|
failes ru er	--|--|--⌫-|
taisés uosdame	------|--|---|
distlirois	---|-|---|
q uei en es	-⌫-|-⌫||-|
ardero iiamois	------⌫|-----|
por safemme li ro i	--|-|----|-|--⌫|
et desen fansgrantp ietea	-|--|--⌫---|----|-⌫---||
dela damese	-|-|---|-|
carli saremensledestreint	--|-|-------|-|--------|
cequ elel auoitdeu ant mis	-|-|--||----|---⌫--|--|
dame d istilparsaintdenis	---|-⌫--|-|--|----|----|
i ap ar moi n i ertuos	-⌫|-⌫-|--||-⌫--|--|
co rsb leciés	--⌫-|-⌫------|
mai s mon r oia umeme uidiés	---⌫|--|-⌫---⌫--|-|------|
estes t rou e e	----|-⌫---⌫-⌫|
uos ser i ésarse etenbr asee	--|---⌫-⌫--|---|-|----⌫---|
et uosyyenfa nsenportés	-|--|-|----⌫-|-|------|
siredist eleor	---|---|--|-|
pordi ex uos le	--|--⌫-|--|-|
urai martyr	---|-----|
qu ipornos	--⌫|--|--|
mort deignasofrir	---|-----|-----|
queuosg ensa presmoi neuiengnen t	--|--|-⌫--|-⌫---|--|-|--------⌫|
neanulmalne moic onstrainent	-||--|--|-|--|-⌫----------|
d amedistil ne do utés	-⌫--|---|-|-|--⌫----|
carfo iquedoisainte marie	--|--⌫|--|--|-----|----|
senus uosfaisoit	-|--|--|------|
enconb rie r	------⌫---⌫|
fero iede trenchier	----⌫-|--⌫--------|
atantlafistliroismont er	----|-|---|-|---|----⌫-|
se ur uncheualetpuisliu r er	--⌫-|-|-----|-|---|---⌫-⌫-|
sesyy enfanssansatargier	--|-|-----|---|-------|
etp uislifait	-|-⌫--|-|---|
l i roisbai llier	-⌫|---|---⌫----|
deniersa plenti e por despendre	------||------⌫|--|--------|
cheualiers lafistprend re	---------|-|---|-----⌫-|
s ileurcomanda p ardeuis	-⌫|---|------|-⌫-|----|
quillamai nenthordu pais	-|-|-|---⌫---|--|-|---|
en boisen ouengaust	-|---|-|-|-|----|
puisre uiengnent	---|--⌫--------|
si neleurcha ut	-|-|---|---⌫-|
demaine ntsisen uont	-------⌫-|-||-|---|
trente liuesmeneel o nt	-----|----|----||-⌫-|
donclala isse nttotesgarree	---|-|--⌫----⌫-|--|-------|
adamedie x lon t	|-------⌫||--⌫|
seigneo rsdistelle a	-------⌫-|---|---||
di eualés	--⌫-|----|
mon droi tsein g neor mesalués	--|----⌫|----⌫-⌫---|-|------|
tor nelaroine	---⌫-|-|----|
toteseulepar la	---|----|--|-|
tantaale ́tante s t ue nue	---||---⌫|---|-⌫-⌫|--⌫--|
queson droitc hemina	--|--|----|-⌫----||
tantu aparun gas t esentier	---|-⌫|--|-|---⌫-⌫|------|
un grant uallesunrochi er	-|----|--|--|-|-----⌫-|
d ame unefon tain e	-⌫--|--|---⌫----⌫|
que molt estoit et	--|---|-----|-|
clereet sai ne	----|-|---⌫-|
uns gransserpensgi stilue cpres	--|----|------|--⌫-|----⌫|---|
qui laf ontainegardeades	--|-|-⌫------|----|---|
sor lafonta ine zzarbre auoit	--|-|-----⌫--|-|----|----|
que plustre	--|---|--|
grant douceor geto it	----|------|----⌫-|
queencensnemugelia s	--|-----|-|-------⌫|
etlaroineisneslepas	-|-|----|---------|
descent a t erre	------||-⌫---|
lefrainlilait	-|----|-|---|
chaioir aual	------|---|
enfansal aitiés	-----|--⌫------|
puislesbesa sesachouchi és	---|--|---||-||-------⌫--|
en sonmantel sorl	-|--|-----|--||
erbe dru e	---|---⌫|
ainsalaboireala	---|--|----||-|
fontainn e	--------⌫|
porle doleur et	--|-|-----|-|
por lapainne	--|-|-----|
ang oisse etladoleur	---⌫----|-|-|-----|
q u eleau o it eutote	-⌫|--|--⌫-⌫-|-|---|
sise stc ouchie	-||-⌫-|-⌫-----|
lessesenfanss est	--|--|-----||--|
m ais tr op auoitenla	-⌫--|--⌫-|----|-|-|
ser pa nslionsetsauagine	---⌫--⌫-|----|-|-------|
sigransbest essauages	-|----|----⌫-|------|
quep lains	--|-⌫----|
estoitlibos chages	-----|-|---⌫-----|
atantesuos un	----|-|--|-|
sin geerrant	---⌫-|-----|
qui mol ti e rtgrantetmaufaisant	--|---⌫|-⌫-⌫-|----|-|---------|
qu antil uist	--⌫--|-|---|
les enfansgesir	--|-----|----|
lorsen ou tsigr antd esir	---|-|--⌫|-|--⌫--|-⌫---|
quil parui ntsicoie m en t	-|-|-----⌫-|-|----⌫-⌫--⌫|
quel aroine pas nensent	--|-⌫|----|--||-|---|
undes enf ansa	-|--|---⌫--||
a son c ollemistsi	|--|-⌫-|-|---|-|
se n ua it	|-⌫|--⌫-|
quantil fu unpoiesloi ngniés	----|-|-|-|--|-----⌫------|
si sasiet enzzchemi n	-||----|-|-|-----⌫|
l enfantd esuoloupe e tdes lo ie	|-----|-⌫--------|-⌫|---⌫--⌫-|
lamoe li fistpar grantio ie	-|--|-|---|--|----|--⌫-|
alaioie qu il	|-|---|-|-|
fait lenfant	---||-----|
esuos u nch eualier errant	-|--|-⌫|--⌫------|-----|
q ui decheuauch ee	-⌫-|-|--------⌫-|
il lescrie	-||-----|
qua ntilleuoit	---⌫-|-|-|---|
le issiés l enfantmetésle ius	--⌫------||-----|-----|-|--|
quau antneleporterés plus	-|--⌫--|-|-|--------|---|
etquant li singeslente ndi	-|----|-|-----||----⌫--|
l enfantmist iusuer luis a ill i	|-----|---|--|--|--|-⌫-⌫---⌫|
p isl a sihurté	-⌫-|||-|-----|
arco n lasouine ́	----⌫|||------⌫|
roub e ade sciree	----⌫||--⌫-----|
etlich eualier s tretl espee	-|-|--⌫-------⌫|---||----|
le singeenatel cop	-|----|-||--|--|
que lundes	--||-|--|
lis ingeuo it qu	-|-⌫---|--⌫-|-|
ile stna uré s	-|-⌫-|--⌫----⌫|
a trois pies saut	|----|---|---|
come deués	---|-----|
etlicheuaus	-|-|------|
ilretornesiregiba	-|------|-|-----|
d u piel asiferu	-⌫|--|||-|---|
qu aterrelamortabatu	-||----|||---|----|
cheualier prist lenfa n t	--------|----||----⌫-⌫|
silechouchaen	-|-|------|-|
