puisquececi feniauons	------|---|---|----|
mesorc on u ientquen cetechose	--|-|-⌫--⌫-⌫---|-|-|---|----|
l espinenousengend re rose	|-----|---|------⌫-|---|
cil quio ntlecournet	--|--|-⌫-|-|---|--|
et fuien tles delizdoumond e	-|-----⌫|--|----|--|----⌫|
cileauxmeismessacrifient	--|---|------|---------|
aucriator en quil se	-|------|-|-|-|-|
cilsacri ficedep aiz font	--|-----⌫---|-|-⌫--|---|
des ierrent et	---⌫------|-|
endieuse seul l ent	-|---|-|----⌫-⌫--|
f uienz ceq uildo iuentfoyr	-⌫----|-|-⌫|-|--⌫----|---|
dechar ssacri fi c eestain t	-|----⌫|-----⌫--⌫-⌫|------⌫|
lipremers des bo usqu il	-|------|--|--⌫-|-|-|
of fr a i nt	--⌫--⌫-⌫-⌫-|
liseg onsdes	-|---⌫--|--|
oyl les yere	---⌫--|---|
deco l onslatiercemeniere	-|--⌫-⌫--|-|-----|------|
cild eleursmembresf ort	--|-⌫|----|------|-⌫--|
etquiparfa ite pensee	-|--|-----⌫--|-----|
etp arl eur s freres trauailfon t	-|-⌫-|-⌫---⌫|-----|------|---⌫|
c i l sa cri ficedeboufsont	-⌫-⌫|--⌫---⌫---|-|---|---|
qui sontde mem b re s	--|---|-|---⌫-⌫--⌫|
enlor courageethu mble	-|--|------|-|--⌫---|
etdonentle ursbiensafoys on	-|-----|--⌫--|----||----⌫-|
s i com loyllelatoyson	-⌫|--||----|-|-----|
cil sacrificea	--|--------||
dieufo n t	---|--⌫-⌫|
etc i lq uien lestudesont	-|-⌫-⌫|-⌫-|-||-----|---|
etleurscorsont adieud esceaux	-|----|---|--||---|-⌫-|----|
cilfontsacrif iced oyseaux	--|---|------⌫--||------|
puis fi stdie xtelcommendemen t	---|--⌫-|---⌫|--|-----------⌫|
enfan tcommenement	-----⌫|----------|
tu itcilquideaaron ississe nt	--⌫-|--|--|-|----|-------⌫-|
le ursacre	--⌫-|----|
de ueaulfeiss ent	-|----|-----⌫--|
et lisanzfust adie u	-|-|---|---||---⌫|
enuiron l auti erespen duz	------||----⌫-|-----⌫--|
fiz deaaronn oté	--|-|----|-⌫---|
cil quidear mesga rdeo nt	--|--|-|--⌫--|--⌫--|-⌫-|
et ihes ucrizousaincteyg lise	-|----⌫----|-|------|--⌫---|
estpar l autiernoteeetprise	--|--||-----|----|-|----|
et parles anc no terde uome s	-|--|-|-⌫--|--⌫--|--⌫----⌫|
lamale uoluntede s homes	-|---|------|--⌫|----|
ordeuons enssiprend requar	-|-----|----|-----⌫-|---|
sensestlauiede la cha r	---|--|-|--|-|-|---⌫|
q ua ntlisa n sespanduzsera	-⌫--⌫-|-|--⌫-⌫|-------|---|
lacharsenzdotesemo r ra	-|---|---|---|-|--⌫-⌫-|
etsimauuescouoytement	-|-|-----|----------|
sontosté toutpremierement	---|----|---|-----------|
tantostapres totledesir	------|----|--|-|----|
de charesgar deroiz m orir	-|---|-----⌫-----|-⌫---|
donque s es t lisanzen te nduz	------⌫|--⌫|-|---|--⌫--⌫---|
pa rles fizdea ar on e spenduz	--⌫|--|--|-|-⌫--⌫-|-⌫------|
quantpar le sme stres estostee	----|--|--⌫|--⌫----|--|----|
male uoluntez etdotee	---|-------|-|----|
enssi n ost re	----|-⌫---⌫-|
offrendemise	-------|---|
s eradeuantdie ue nliglise	-⌫--|-----|---⌫|-⌫||-----|
ceauxq uesainc teyglisere coit	----|-⌫-|-----⌫-|-----|--⌫---|
conuenenza dieu es treuoit	--------||---|--⌫--|---|
quan telle seaut ced it	----⌫|---|----|-|-⌫-|
tozcesaut res ors	--|--|---⌫--|--|
li prestresl ape lde trayra	-|-------|-⌫|--⌫|--⌫-----|
le smembr es p arp ars tranche ra	--⌫|-----⌫-|-⌫-|-⌫--|-------⌫-|
lifeux sus	-|---|--|
l auti erde me n oys	|----⌫-|--⌫--⌫-⌫--|
seramisenfoysondeboys	---|--|-|-----|-|---|
et totcequi sera tr anchi é	-|--|-|--|---|--⌫-----⌫-|
desmembres serade uise ́	--|------|---|--⌫----⌫|
tiex note doitc iestreasize	---|---|---|-⌫|----|----|
lapeaulest t raiteet fors mise	-|----|--|-⌫----|-|---|---|
qu ant aucunsposede	--⌫--|-----|---|-|
les f a izquilapperent de	--|-⌫-⌫-|--||-------|-|
enleurpensee r eti ennent	-|---|-----|-⌫---⌫-----|
les chose s	--|-----⌫|
qu eellescontiennen t	--⌫|----|----------⌫|
quar ils embleq ueu er tuzs ont	---|-|-⌫----|-⌫-|-⌫--⌫--|-⌫--|
enmai nsqui nul les	-|---⌫-|--|---⌫--|
bontezn ont	-----||--|
membreadeuiser	-----||------|
quech acunssedoitauise r	--|--⌫----|-|---|-----⌫|
li doit mie pes e r	-|---|--|---⌫-⌫|
l esfaiz desauie pe ser	-⌫-|---|-|-|--|--⌫--|
que en l ui ne	--|-|-⌫-|-|
soient pechié	-----|------|
enleudeuertuestaché	-|--|-|----|-------|
quarl iorgoilleuxmont s ouent	---|-⌫|---------|---|-⌫----|
enlu i apelent humblement	-|--⌫|------|-----|---|
et liauiersquitr opestar ge	-|-|-----|--|--⌫-|-----⌫-|
sefait soue nttenir alarge	-|---|----⌫-|----||----|
et li feuxsenznisu ne dote	-|-|---|---|----⌫-|---|
certaineet bone	-------|-|---|
amor n ous note	---|-⌫--|---|
deceteamorlicours merit	-|---|---|-|----|----|
cest li dons	|--|-|---|
dousaint esperit	--|----|------|
ci squilebo ispor ardoirporte	--⌫|--|-|--⌫-|--|-----|----|
estp oruo ircis quis edeporte	--|-⌫-|--⌫-|--|--|-⌫|------|
enlisant e n chantant	-|-----|-⌫|-------|
etensain zescriz	-|-|----⌫|-----|
depo rte nt	----⌫---⌫-|
a mor dou saint esperi t	-⌫--|--|----|------⌫|
decetechose senorrit	-|---|----|-|-----|
quideuisé	--|------|
desbonsfaizont	--|---|---|--|
lesquiextufesb ieno rdenabl es	--|----|-|--|-⌫--|-⌫-------⌫-|
en tens en	-|---|-|
l e uxconuenables	-⌫-⌫-|----------|
boyaul tuitet li pie	-----|---|-|-|--|
seent parayue n etoyé	----|--|---|-⌫-----|
ci apre s deu ise rm	-|----⌫|---⌫---⌫||
q uechacunsmembres	-⌫-|------|------|
noterp eut	----|-⌫--|
porlechiep d oi testre	--|-|----|-⌫--⌫|----|
lentencio ndelapens ee	|--------⌫|-|-|----⌫-|
p arquoylon	-⌫-|---|--|
uoi ttotgouerner	---⌫|--|-------|
ens sico m me doiu en t ale r	---⌫-|--⌫-⌫-|----⌫--⌫|---⌫|
cesgress e squiau	--|-----⌫-⌫|--|-|
les desirs doucoursene fient	--|-----|--|---|----⌫----|
liboyaul lafiguref ont	-|-----|-|-----|-⌫--|
des uicesquenos am esont	--|----|--|--|--⌫-|--|
auquiexsit u y uiauxpens er	-|----|-|-⌫||----|----⌫-|
fem ier amasser	---⌫--|------|
lipiesenefientn os ouure s	-|--|--------|-⌫-|-----⌫|
quarpartantdefoizcomtuouures	---|--|---|-|---|--|-|-----|
porfereterriennesm as ses	--|---|---------|-⌫--⌫--|
par tantdefoizlapos dre am asses	--|---|-|---|-|---⌫--|--⌫----|
tutemesf e z si tu	-|-|----⌫-⌫|-|-|
ens urmontertote mesure	-|-⌫-------|---|-----|
sisuperfluite d emendes	-|----------|-⌫------|
enboyureen d ormirenuiendes	-|-----|-|-⌫----|-|------|
or c onuiendradonques	-|-⌫--------|------|
e tles boya ux	-⌫|--|----⌫-|
et leslaue	-|--|---|
ce esta d ire que	-|--||-⌫--|--|
tes le rmes	--|--⌫---|
netie nt detoz	-----⌫-|-|--|
mauxlesgerm es	---|--|----⌫-|
puisui entque li prestres fera	---|--⌫--|--|-|-------|---|
telfeuqueto tem brasera	--|--|--|--⌫|--⌫------|
combu stion	-----⌫----|
sus lautierde lobl ation	--||-----|-||---⌫----|
cest q ueloblaciont el soi t	|--|-⌫-||-------|-⌫-|---⌫|
et quesitresboneodorait	-|--|-|---|---|---|--|
quellem ont	-|---|-⌫--|
iuque desusles c eauxamont	----|----|--|-⌫---|----|
cisautier snotele	--|------⌫|---|-|
en quo y len metdefustgrant s ome	-|---⌫|--|--|-|---|----|-⌫--|
ces tq uant	|--⌫|-⌫---|
tu l izetme zgranzcures	-|-⌫-|-|--⌫|----|----|
e nsauoirsai nctes escritures	-⌫|-----|---⌫----|---------|
fait sont sih oneste	---|---|-|-⌫-----|
s a cordent alarequeste	|-⌫------||-|-------|
d elestu deet delemprise	-⌫||----⌫-|-|-||------|
queta penseeaura emprise	--|-|-----|---|------|
det esmembreslors lebois couures	-|-⌫-|------|---|-|---|------|
ence que tu fesbonesouures	-|-|--|-|--|----|-----|
douno n doupreu oyreestescriz	--|--⌫|--|----⌫---|--|-----|
etsenef ie zi he suc riz	-|-----⌫--⌫|-⌫--⌫---⌫--|
qu ienf lame	--⌫|---⌫---|
tot ebone ouure	---⌫|---|----|
quechas cunsbon soupenseou ouure	--|----⌫---|---⌫|-|----|-|----|
enssisacrific e estre se aut	----|--------⌫|----|--⌫--|
tozhom quiami nis tre r	--|--|--|---⌫---⌫---⌫|
adieu de totesapensee	|---|-|---|-|-----|
etquelise ruises l isee	-|--|-|--⌫-----|-⌫|--|
etqueilauseruirsesfor ce	-|--|-|-|-----||-----⌫-|
corset desaforce	---|-|-|-|----|
l i seruis es detel	-⌫|------⌫-|-|--|
a dieu tresfineodordonne	|---|---|---|---|----|
quars achezbie n q ue ce t e odors	---|-⌫----|---⌫|-⌫-|--⌫-⌫|----|
rous essourm onte e t totesflors	----⌫-|-----⌫---|-⌫|----|----|
se il tepuetseoir	-|-|-|---|----|
e tp layre	-⌫|-⌫----|
que s acrifi ceu oillesfere	--|-⌫------⌫-|-⌫-----|---|
de chieureou dooylle	-|------|-||-----|
lorsdonr asaigne aulcenote	---|----⌫-|-----⌫--|-|---|
etcilqui simple decoursont	-|--|--|-----|-|---|---|
qu ianulnuisencene font	--⌫||--|-------|-|---|
cilf ont adieu nestpasm eruoyll e	--|-⌫--||---||--|--|-⌫-------⌫|
sacrifice nomédooylle	--------|----||-----|
cilquil es sentm aux qu efaiz	--|--|-⌫--⌫---|-⌫--|--⌫|---|
sacri ficede c hie ure font	-----⌫---|-|-⌫---⌫--|---|
et liliuresme is mes	-|-|-----|--⌫--⌫--|
du isonentune	--⌫|-----|--|
o rcequilaposé	-⌫|-|-|-||----|
oyl leceme	---⌫-|-|-|
cisquine ue aust n ulluim esfere	--|--|-|--⌫---|-⌫----|-⌫-----|
etcilquice sse demal f ere	-|--|--|--⌫--|-|--|-⌫--|
e tcisetcil	-⌫|--|-|--|
e nygu aln ombre	-⌫|---⌫-|-⌫----|
enuersdieuparuoy r se descombre	-----|---|--|---⌫|-|--------|
aign ele stnomezcedit len	----⌫-|-⌫-|----|-|--|--|
iuqu il aitacompli so nan	---|-|--|------|--⌫|-|
etnou s auonl an apelé	-|---⌫|---||-|-----|
quantlisollauxatant alé	----|-|------||---|---|
quilas o ncercle plainem ent	-|-||-⌫-⌫|-----|-------⌫--|
e nuironéou firm a ment	-⌫-------|-|----⌫-⌫---|
aus sili bonsest dizpa rfaiz	---⌫-|-|---|--|--|--⌫----|
simplesen diz enfaiz	------|-|--|-|---|
sauie uaitaco mplissent	-|--|---|---⌫--------|
leueraysolloilcommendant	-|----|------|---------|
etliaygneauxsoi tent el point	-|-|-------|---⌫|-|-⌫-|----|
que de tachenait enluipoint	--|-|----||--|-|--|----|
ceest ad irecesaichez	-|--||-⌫--|-|------|
face s depechiez	----⌫|-|------|
selonc m auuese action	-----|-⌫-----|-----|
auectesbi ensco mmixtion	---|--|--⌫--|--⌫-------|
lipres tres	-|----⌫---|
lesl autier estoit	--||-----|-----|
quie ns acri fientdisoit	--|-⌫|-⌫----⌫----|-----|
quilregar d ast ne lifust payne	-|-|-----⌫-⌫--|-|-|---|----|
uersle spartie s d aquilloyne	---|--⌫|------⌫||---------|
etpuisfeistac ourpr op ice	-|---|----||-⌫--|--⌫--⌫--|
pardeuantd i uson s a cr ifice	--|-----|-⌫-⌫|--|-⌫-⌫--⌫----|
aq u illoynesenz nulle	--⌫-⌫------|---|----|
noteles agaizd oudia ble	---|--|----|-⌫-|---⌫--|
quarenco ntresad eceuence	---|----⌫---|-|-⌫-------|
doi tsimple s a uoirporu eance	---⌫|------⌫|-⌫---|----⌫----|
simples hom aguiser sedoit	------|--|------|-|---|
causi comserpenzsages	|---|--|------|----|
et si mplescontre lesfelons	-|--⌫----|-----|--|-----|
to t autresicommecolons	--⌫|------|----|-----|
aquill oyneporte senzdo te	------⌫---|----|---|--⌫-|
les agaizdel enem i note	--|----|-||----⌫|---|
po rceque il uente zs	--⌫|-|--|-|-----⌫||
que lason siege pos eroit	--|-|--|----|---⌫----|
e ttufais adieu sa crifice	-⌫|-|---||---|--⌫------|
festantparsonoffic e	--|---|--|--|-----⌫|
sontabel isse nt	---|----⌫----⌫-|
ausouer a in roy trespoissan t	-|-----⌫-⌫-|--|---|-------⌫|
de cesttabe rnaclel	-|---|----⌫-----||
er tdeuerorient posee	--⌫|----|-----|----|
autie rsert	-----⌫-|--|
plain ement	-----⌫----|
posezp ard e uerocci den t	----|-⌫-|-⌫-⌫--|----⌫---⌫|
doutabernaclealuis	--|---------|||--|
au oitsi comm e ierecors	--⌫--|-|----⌫|-|-----|
au t reautiertelcomm e darr ere	--⌫-⌫-|-----|--|----⌫|----⌫--|
que moyses yotfaitfayre	--|-----||-|---|----|
tabernacles iege	---------|-⌫---|
lar cheetli	|--⌫--|-|-|
cherubinendui	-------|----|
couurient tozdisicelui	--------|--|--|-----|
e tparm ai ntesfoiz	-⌫|--|-⌫--⌫---|---|
queune besteocisees to it	--|--|----|----|--⌫--⌫-|
iostel a utier	----||-⌫----|
defors a l uis	-----|||--|
que cilde danz receuaintpuis	--|--|--⌫---|--------|---|
etsituuia ux	-|-|-|---⌫-|
fered oyseaux	---||------|
d etortresou	-⌫|------|-|
de columbeaux	-|---------|
tonsacrif ice a di eu des ceaux	--|------⌫--||--⌫-|--|----|
t edoites tre	-⌫|---|--⌫--|
pla isenz et beaux	---⌫----|-|----|
c i lqui oyseldoneruoudra	-⌫-⌫|--|----|----|-----|
lechi efau	-|---⌫-|-|
collireto rtra	--|-|----⌫---|
quil y tr ouer a	-|-||--⌫----⌫|
aup iedelautier	-|-⌫-|-||-----|
cesoyseau x par lorge mir	--|------⌫|--|--|--⌫--|
l estudientnot er remir	|--------|---⌫-|----|
qu iqua ntlessainz escrizremire	--⌫|---⌫-|--|----|-----|-----|
aussai nz ceauxgemistetsoupire	--|---⌫-|----|-----|-|------|
lioyseaux asonchief r e to rs	-|------||--|----|-⌫-⌫--⌫-|
sic omilesgardast soncors	-|-⌫-|-|--------|--|---|
aussit com	-----|--|
tutantfaitauras	-|---|---|----|
q uelesco m mendem enz sauras	-⌫-|--|--⌫-⌫------⌫--|-----|
quenous en seignent	--|---|--⌫-------|
li sa in tliure	-|--⌫--⌫|----|
uoyc omme nt les	--|-⌫----⌫-|--|
por ras en siure	---⌫--|--⌫----|
li chiesde loyselnest	-|----|-||----||--|
d o uco laraic heznedero z	-⌫-⌫|--⌫|-----⌫--|-|----⌫|
mesautr ecicommeune	--|----⌫--|----|--|
do nlisansdou colaualr aye	--⌫|-|---|--|--|---|-⌫--|
au treciar acher doiztu	--⌫----|--⌫----|---|-|
lamor detacharpar uertu	|---|-|-|---|--|----|
mes c ha scunsenpe ut	--|-⌫--⌫----|-|--⌫-|
cequemestie rslidoituenir	-|--|------⌫-|-|---|----|
dou pizlaueciee t	--|--|-|----|-⌫|
gieteque ceestla costume	----|--|-|--|-|------|
laoue stge teelacendre	-|-|-⌫-|--⌫--|-|-----|
donne e nsitenten dre	----|-⌫---|-----⌫--|
ici sleuxou	---⌫|---|-|
totelacendr e	---|-|-----⌫|
doitestreespen due	---|----|-----⌫--|
audescendre	-|--------|
estpar deue rssolloil	--|--|----⌫-|------|
prochainsalauterpar	--------|||----|--|
ceteuessiesenefie	---|-----|------|
lemestrequi moutestudie	-|-----|--|---|------|
quipuisgresenflezdeuient	--|---|---|-----|------|
porlescr ipture	--||----⌫-----|
q uil retient	-⌫|-|------|
lesplumesse nefien ceont	--|-----|--⌫------⌫-|--|
desescri z quepoete font	--|-----⌫|--|----|---|
plainde r ibauderie	----|-|-⌫--------|
etdorsmozet	-||--|--|-|
de triche rie	-|------⌫--|
liso ll auxnessenz nousdecri t	-|--⌫--⌫--|------|---|-----⌫|
lalumered eihe sucrit	-|-----|-⌫|---⌫-----|
etlacendrea lamortsauient	-|-|-----||-|---||-----|
parl a quelehons	--|-⌫|----|---|
cendre deui ent	-----|----⌫--|
e t situihesucrit recenses	-⌫|-|-|--------|-------|
ala mor tfineme nt penses	|-|---⌫|------⌫-|-----|
del egie r pecher	-|-⌫----⌫|-----|
niorgoilleux faizn eferas	-|---------|---|-⌫|----|
etsitu prenscetecostume	-|-|-|----|---|------|
tu gieteras uecieet plume	-|-------|----|-|----|
estgi teelace ndre	--|--⌫--|-|--⌫---|
et sol lauxdoit nescenseprendr e	-|---⌫---|---|-------|------⌫|
les esselles	--|-------|
tu froys seras	-|-----⌫----|
de l oyse l nelestrancheras	-||----⌫|-|--|---------|
paresselles doneess on t	--|-------|-----|-⌫--⌫|
leselesqui autuoler	--|---|--|--|----|
ceus enefieceauxquiont	--|-⌫-----|----|--|--|
lor cuer desusle c ielamont	--|---|----|-|-⌫--|----|
ettuitcil qu ion t tant	-|---|--|--⌫|--⌫|---|
queilontdegranz se nzle pri s	--|-|--|-|----|--⌫-|-|---⌫|
etdoiuentescriure	-|------|-------|
delorsens autresa ut	-|--|---|-|---|-⌫-|
a euxque dedieumeut	|--|--|-|---|---|
sensque ho nsa u o irpeut	---|--|--⌫-|-⌫-⌫-⌫-|---|
doitceditla letre	---|-|--|-|----|
loyseltranchier n e n ulfierm etre	|----|--------|-⌫|-⌫-|---|-⌫---|
entelm ani ere q u	-|--|-⌫---⌫--|-⌫|
nesoit par lui	-|---|--|--|
discordemi s e	-------|--⌫-⌫|
lioffre ns	-|-----⌫-|
farine prendra	-----|------|
desushuylle	----|-----|
e nsurqueto tnoblit point	-⌫---------⌫||----|----|
queilenc ens	--|-|---⌫--|
a die un e doint	|---⌫|-⌫|----|
qui f arineoffredoit	--|-⌫----|----|---|
que lecourmonde doitauoir	--|-|---|----|---|----|
li huil les	-|----⌫--|
amor sai n cte	---|---⌫-⌫--|
lien censdeprierees tnote	-|--⌫---|-|-----|--⌫|---|
uns diceu x quip r esensser a	--||----⌫|--|-⌫-⌫----|---⌫|
p lainpoindef arine prendra	-⌫---|---|-|-⌫----|------|
et duillesi com	-||----|-|--|
ie lentens	-||-----|
ile nleueratot lencens	-|-⌫------|--||-----|
etsus lauterleposera	-|--||----|-|-----|
porcequarecuiref era	--|-|-||------|-⌫--|
poroffr iretdo neretfere	--|----⌫-|-|--⌫--|-|---|
odorquiadieu puisse	---|--||---|-----|
m as aa r on enportera	-⌫-|--⌫-⌫-|--------|
t otcequi rem enens s era	-⌫-|-|--|---⌫----|-⌫--|
oucilqui delui	-|--|--|-|--|
se rontné	--⌫---|--|
eticildon so ntsaint n omé	-|---|--|--⌫-|----|-⌫---|
quia penseemonde etfine	--||-----|----|-|---|
icisoffrehuilleetfarine	---|----|-----|-|-----|
et bien e st	-|---|-⌫-|
to z liremenenz	--⌫|-|-------|
aa ro netatozsesenfans	--⌫--⌫|-||--|--|-----|
quanttapensee estcicliere	----|-|-----|--|-|-----|
quelestenl	-|-|--|-||
amor detonfrere	---|-|--|----|
li encens alonor	-|-----|||---|
est off ers	--|---⌫--|
de nost reseygnor	-|----⌫-|------|
priereuoyrement	-----|--------|
apartien ta dieusollement	--------⌫||---|--------|
sainzdeprion	----|------|
cen estpasen	-||--|--|-|
ent encion	---⌫-----|
quesauuement pa r ea uxayons	--|--------|--⌫|--⌫-|----|
m ese n lor	-⌫-|-⌫|--|
preces nous fions	-----|---|----|
oblac ion d iuine	-----⌫--|-⌫----|
qui est oit	--|---⌫--|
duillee tdefarine	|----|-⌫|-|-----|
raysons si co mie	------|-|--⌫|-|
de parler ce q ui	-|-----|-|-⌫-|
oufou rc uit	-|---⌫|-⌫--|
tu aurasce	-|----|-|
di tlaloypain	--⌫|-|--|---|
oufo uret sera senzleuain	-|--⌫-|-|---|---|-----|
etquan t tuarousé	-|----⌫|-|------|
dui llelorsoffrirleporras	|--⌫--|---|-----|-|-----|
qui tresgr antchalor	--|---|--⌫--|-----|
aquantqu e lonliabandone	|-------⌫|--|-|-------|
noussenefieet	---|------|-|
nous no te	---|--⌫-|
lapres sur e doumondetote	-|----⌫---⌫|--|----|---|
etcil q ui ap raintensonttuit	-|--|-⌫-|--⌫----|-|---|---|
s on tlipa inqui	-⌫--⌫|-|--⌫-|--|
dedan zsont cui t	-----⌫|---|---⌫|
etciladieu	-|--||---|
dou totseoffren t	--|--|-|------⌫|
quiparamorde	--|--|---|-|
luiles ouffrent	--|-|-⌫-------|
pains senzleuainua	----|---|-----|-|
quesenzmalsoyon s	--|---|--|-----⌫|
nonnuisan t	--|------⌫|
luill enote qui nousbesoigne	|----⌫|---|--|---|-------|
queamor sainct e	--|---|------⌫|
end ieuno u so ygne	-|-⌫--|--⌫-⌫|-⌫---|
non sollementoffrir porr as	--|--------|-----|----⌫-|
lepain queoufor	-|---|--|-|--|
mesunschas c uns offrirporr a	--|--|----⌫-⌫--|-----|----⌫|
lapa ste q uif ritesera	-|--⌫--|-⌫-|-⌫---|---|
etcom m ende	-|---⌫-⌫---|
soitf rite enhui l leenpaelle	---|-⌫---|-|---⌫-⌫-|-|-----|
i tiexpastefritesontpa in	-⌫---|----|----|---|--⌫-|
arouséduillesenzleuain	------||----|---|-----|
quecil qui poroffrir	--|--|--|--|-----|
la toych e	|-⌫-----⌫|
so itcortoisdecour etde boyche	--⌫-|------|-|---|-|-|-----|
les crituree ncore sde uise	|--⌫------|-⌫-----⌫|--⌫---|
etdit c ete	-|--|-⌫--|
offrendeprise	-------|----|
ge co mme nzq uetula depi eces	-|--⌫---⌫-|-⌫-|-|-|----⌫---|
etf ro issesenmenues	-|-⌫--⌫----|-|-----|
souuen tauientqueaspremen t	------⌫|-----|--|--------⌫|
blasmelimestr esetreprent	-----|-|-----⌫-|-|------|
celuiqueil doit	----|--|-|---|
en se igne r	--⌫--⌫----⌫|
et doucement paruoyzmener	-|--------|--|---|----|
donquesdoiz	------|---|
tubien auisier	-|---|------|
cesteoffrend eet	----|-------⌫|-|
lesparolesmenuement	--|------|--------|
et ton decipledou ce ment	-|--|------|---⌫--⌫---|
enitel meniereasener	-|---|------|-----|
quet unoupuisses agener	--|-⌫||-|------|-----|
etlui lledesusenonde ns	-||--⌫--|----|------⌫-|
note quesoyesabundans	---|--|----|-------|
parde danst oncourd a morsaincte	--|--⌫---|-⌫-|---||-⌫--|------|
etde piti enonmiefaincte	-|-|----⌫|--|--|------|
etsi esmayéauoyes	-|-|------|-----|
c elui qu eensaignierdeuo y es	-⌫---|--⌫|---------|----⌫-⌫-|
e n la finesteut que	-⌫|-|--|-----|--|
paro les dontu	----⌫--|--|-|
l eblandies	-⌫|-------|
loffr endeasaparei llee	|----⌫---|-|------⌫---|
d echo se quisoit graillee	-⌫|---⌫-|--|---|-------|
at otceduill e	|-⌫-|-||----⌫|
teporuoyes	-|-------|
qu arousezen soit toteuoye s	-|------|-|---|---|----⌫|
lifeuxquiestsozl agraille	-|---|--|--|--|-⌫|------|
totc equiest desusgraill e	--|-⌫|--|--|----|------⌫|
touts oitilfoiblespardesoz	---|-⌫--|-|------|--|----|
parsiequ eil n	--|--|--⌫|-||
estoign e t oz	-------⌫|-⌫-|
quantliconfessorslespechiez	----|-|---------|--|------|
blasm e etrepren t de ses	-----⌫|-|------⌫|-|--|
i cisqui sostientled urdit	-⌫--|--|-------|-|-⌫-|--|
et la du rte	-|-|--⌫--|
quelonlidit	--|--|-|--|
estau tresia pareil liez	--|--⌫----|-⌫------⌫---|
comeseilfustgrailliez	---|-|-|---|--------|
mes a rousezduill e d oitest re	--|-⌫-----||----⌫|-⌫--|---⌫-|
cestqu e pres a itdouceurdo u	|--|--⌫|---|-⌫-|------|--⌫|
mes lisoufranzsoit en telpoint	--|-|-------|---|-|--|----|
quede leuainoucourn ait point	--|-|-----|-|---||--|----|
quantdurteira	----|----|--|
naille riens	|----|----|
m urmurant	-⌫-------|
qu i sacrifice uoudra fere	--⌫|--------|-----|---|
