libonsrois artusdebre t aigne	-|---|---|----|-|---⌫-⌫----|
fet laroine amon	--|-|----||--|
d e nuiedontuo sestesplains	|-⌫---|---|--⌫|----|-----|
an uious estes et ui la ins	--⌫----|----|-|--⌫--⌫--|
deramposne ruozcompegnons	-|--------⌫|--|---------|
ne gaa ignons	-|---⌫-----|
uostrecompegn ie	-----|-------⌫-|
nosnipe rdon smie	--|||--⌫----⌫|--|
quegenecui tc h oseauoirdite	--|-|-|---⌫|-⌫-⌫--|----|---|
qui medoieestreamal	--|-|---|----||--|
uos pri te siez uos en	--|--|--⌫---|--|-|
car ne stcort oisie ne	--||-⌫-|----⌫----|-|
de p lezdoi seusemainteni r	-|-⌫--||--⌫----|--------⌫|
ciz plez ne	--|---|-|
doi t auant	---⌫|----|
nelennel doitplusha ut	-|--|-||---|---|--⌫-|
mes fete s	--|----⌫|
nos aaco nter	--||---⌫---|
ce que ilauoitcomenci é	-|--|-|----|-------⌫-|
quec i nedoitauoirtencié	--|-⌫|-|---|----|------|
ac esteparole re spont	|-⌫---|-----|--⌫----|
calogrenanzetsidespont	----------|-|-|------|
c erte ssirede latencon	-⌫----⌫|---|-|-|-----|
grantcusencon	----|-------|
petit m e n	----||-⌫|
es tetp oilapris	--⌫|-|-⌫-|-|---|
s euosauez uersmoim espris	-⌫|--|---|---|--|-⌫-----|
ie niau ra i a iordomage	-|||--⌫-|-⌫|--|-----|
qaplusuaillanteta	||---|-------|-||
auezuosd itsouentan ui	---|--|-⌫-|-----|--⌫-|
ene stes coustumiers	-|-⌫---|----------|
t ozi ors doitpui r lifumiers	-⌫-|-⌫--|---|---⌫|-|------|
ettaonspo ind ree tmalozbruir e	-|----|--⌫---⌫-|-⌫|----|-----⌫|
an uiousanui eret m u ire	--⌫----|----⌫-|-|-⌫-⌫--|
en conteraihui mes	-|-------|--|--|
sema damem ensoef ree npes	-|-|---||-|----⌫-|-⌫|--|
etge lipriquelesentes e	-|-|-|--|-|--||-|---⌫|
queiachosequime desplese	--|-|----|--|-|-------|
n emecomm ant soemerc i	-⌫|-|----⌫--|--|----⌫|
dame trestuitcil qui so ntc i	---|-------|--|--|--⌫-|-⌫|
fetkeuzbon	--|---|--|
greuosen sauroie nt	--|--|-|-------⌫-|
quiuolentiersle	--|---------|-|
conte orroient	----|-------|
s inenfetesuosriens pormo i	-⌫||-|----|--|----|--|--⌫|
mesfoique uosdeuezle	--|--|--|--|----|-|
leuo stre segnoret	-|--⌫---|-----|-|
commande zli si fer ez bien	--------⌫|-|-|---⌫-|---|
ca logrenantfetla reine	--⌫--------|--|-|----|
neu oschail ledelaatine	-|-⌫-|-----⌫-|-||-----|
mo nsegnor keu	--⌫|-----|--|
lesenesc ha l	-|------⌫--⌫|
coustu miersest de diremal	------⌫----|--|-|---|--|
ennelep uet chasto ier	-|-|-|-⌫--|------⌫--|
comm ande r uo s	----⌫----⌫|--⌫|
uoeilet proie r	----|-|-----⌫|
que ianenaiez aucuer	--|-||-|---|-|---|
nepor cen e les siez adire	-|--|-|-⌫|---⌫---||---|
se de mam o r uole z	-|-||--⌫-⌫|----⌫|
ainzenc omencie zderechie f	---|---⌫-------⌫|--------⌫|
c ertesdamecem	-⌫----|---|-||
est mout grief	--|---|----|
c ommandeza f ere	-⌫-------||-⌫--|
ainzmele ssasseles	---|-|--⌫-----|--|
oi ls trere	--⌫-|----|
secorr oucier neuo scuidass e	-|----⌫-----|-|--⌫|-------⌫|
qu enuleri en huimescontasse	--⌫|---|--⌫-|--|--|-------|
dira ipuisqu il uos s i et	----⌫|-----|-|--|-⌫-⌫-|
q uequei lonques	-⌫----|-⌫|-----|
m esoitgrief	-⌫|---|----|
ilaiabien p asséyyans	-||-|---|-⌫----|-|--|
quegeseulscome paisan s	--|-|----|---|------⌫|
aloieque ra nt	----|---⌫--⌫-|
armezd eto tesarme ures	----|-⌫|--⌫--|----⌫---|
si co mech aualiersdoitestre	-|--⌫-|--⌫-------|---|----|
sitrou ai zzs e ntier a	-|----⌫-|-|-⌫-⌫----||
forestespesse	-----|------|
mout i ot uoie	---||-|---|
felon esse	-----⌫---|
d e ronces	-⌫|-----|
etdespin es plaine	-||-----⌫-|-----|
aquelqu a nui aquelquepaine	|-----|-⌫--||------|----|
tigcel e uoieetcelse ntier	--|---⌫|---|-|--|--⌫----|
et bienprestotl e iorentier	-|---|---|--|-⌫|--|-----|
m enalaich eu auchanteinsi	|-|---|--⌫--⌫------|----|
tantquedel afor est issi	------|-|-⌫|---⌫--|---|
quiau oitnonbre c heliande	--|--⌫--|--|---⌫-⌫-------|
de lafores t enunelande	-|-|-----⌫|-|--|----|
latro ua i ge unebretes che	-|---⌫--⌫|-|--|------⌫--|
ademie l ieue englesche	|----|-⌫---|--------|
plusniot pas	---|||-|--|
cele partuigpl u s	---|---|--|--⌫-⌫|
troua i zzbaileetzz	-----⌫|-|----|-|-|
clo senuiron	---⌫|------|
pa rfont et	--⌫----|-|
ponttozseuls estoit	---|--|----|-----|
la fortere ce	-|-------⌫-|
ens o n poigzz o stoir	-|-⌫-⌫|---|-|-⌫----|
genel oi mi esalue ́	-|-||-|--⌫|-----⌫|
com ilmeuin ta les t riefprendre	--|-|-|---⌫|||--⌫-⌫---|------|
command aa	-------⌫||
des cen dre	---⌫---⌫--|
iedescendiil	-|-------|-|
qu emest ierauoiedo ste l	--⌫|----⌫--|----||-⌫---⌫|
et il med i ttot maintenant	-|-|-|-⌫-⌫|--|---------|
plusd eyy foiz en	---|-⌫|-|---|-|
qu ebe ne oitefust	--⌫|--⌫--⌫---|---|
paroulaienz	--|-|-----|
entrezestoie	-----|-----|
atanten la cortenentrasme s	----|-|-|---|-|--------⌫|
le plainet la	-|----|-|-|
porte pas sa smes	----|---⌫--⌫---|
enmilacort au uau assor	---|-|---|-|---⌫----|
acuidexdoi nti oiee t honor	|--|--|---⌫-|-⌫--|-⌫|----|
tantcomilfist	---|--|-|---|
moicele nuit	--|---|---|
pendoitun etablece cu it	------|--⌫|----|-|--⌫-|
quiln iauoitnefe rne	-|-|||----|-|--⌫|-|
neriensq ui dec oiuren e fust	-|----|-⌫-|-|-⌫----|-⌫|---|
s orcele table dunmart e l	-⌫-|---|----||-|----⌫-⌫|
qu ipe ndue	--⌫|--⌫---|
ertazz po stel	--||-|--⌫---|
feril iu auass orsyyc o ls	---|-⌫|-⌫-----⌫--|-|-⌫-⌫-|
cilquiamont erent	--|--|----|----|
uois etl eson	---|-|-⌫|--|
s isaillirentde la	-⌫|---------|-|-|
et ui ndrent l a	-|--⌫-----|-⌫|
liunsaisirent moncheual	-|-|--------|--|-----|
queli bons ua uassorstenoit	--|-|---|--⌫------|-----|
etge u i q ue ue r smoi uenoit	-|-|-⌫|-⌫-|--⌫-⌫|--|-----|
unepucele beleet ge n te	--|-----|---|-|--⌫-⌫-|
enmoidesarmermis ts	-|--|-------|---⌫||
mo ut bien	--⌫-|---|
etmaffublazz chier	-||------|-|----|
uairdescarlat e	---||--------⌫|
et tuit no sgue rp i r entla	-|---|--⌫|---⌫--⌫-⌫-⌫--|-|
siquauoecmoietouoe cli	-|-|----|--|-|----⌫|-|
neremaintnu s ce	-|------|--⌫|-|
que plus n	--|---||
iqueroieu eo ir	|------|-⌫--⌫-|
et elem emenaseoir	-|--|-⌫|---|----|
elplusbelpraeletdoumonde	-|---|--|------|--|----|
clos tot demur	---|--|-|--|
lalatr ouai	-|-|--⌫---|
si afetiee	-|------|
sibie nparlan te tenseg n iee	-|---⌫|------⌫|-⌫|-----⌫-⌫--|
de telsolas et	-|--|----|-|
dete lest re	-|--⌫|---⌫-|
quemou tmidelito i tae stre	--|---⌫|||------⌫-⌫||-⌫---|
neiames pornulesto uoir	-|----|--|--|----⌫---|
nemenqueisse remouoir	-||-|------|-------|
mestant m e	--|---|-⌫|
fist lanuit	---|-|---|
de gue rre	-|---⌫--|
liu auassors qui meuintquerre	-|-⌫-------|--|-|---|-----|
qua ntdesouper futenseth e ure	---⌫-|-|-----|-|---|-|-⌫-⌫--|
nepoiplusferededem eu r e	-|--|---|---|-|---⌫--⌫-⌫|
l uezsoncommandement	-⌫--|--|-----------|
dels ouperuosdiraibriement	--|-⌫----|--|----|-------|
quilfudeltotamadeuise	-|-|-|--|--||-|-----|
desquedeuant moi fua ssise	-----|-----|--|-|-⌫----|
la puceleq uis	-|-----|-⌫-||
apressouper itant me dist	----|-----|----|-|---|
liuau assors qu	-|---⌫-----|-|
ilnes auoit	-|-|-⌫----|
letermem esq ueiln	-|----|-⌫---⌫-|-||
herbergiéch eualiererrant	---------|--⌫------|-----|
qui auenturealastqueran t	--|-------|----|------⌫|
senauoitilm aint herbergie ́	|-|----|-|-⌫---|---------⌫|
parsonostelm en	--|--|----||-|
enguerred ons e gepoisse	-|-------⌫-|-⌫|-|-----|
etgelidi zuolentiers sire	-|-|-|--⌫|---------|---|
c ar hont e fustdel e scon d ire	-⌫-|----⌫|---|-||-⌫----⌫-⌫--|
m outf uibienlanuito stelez	-⌫--|-⌫-|---|-|---|-⌫-----|
e tmes cheu ax	-⌫|--|----⌫-|
de squ elen	--⌫---⌫|--|
cargeenoi proiéausoir	--|-|-|-|-----|-|---|
sifub ienfete maproier e	-|-|-⌫--|---|-|------⌫|
monos te et sa fillechiere	--|--⌫-|-|-|----|-----|
a u saint esperit c omman dai	-⌫|----|------|-⌫-----⌫--|
etparlorc ongiem enalai	-|--|--|-⌫----||-|---|
tres totauplustostque gepoi	----⌫--|-|---|---|--|-|--|
lostel guere sesloigniénoi	|----|-----⌫|---------||-|
quantgetr ouai enzz	----|-|--⌫---|-|-|
torzsauu agese tespaarz	---|----⌫---|-⌫|------|
quisentrecombatoie n ttuit	--||--------------⌫-⌫|---|
etdemenoientsigr antbrui t	-|---------|-|--⌫--|----⌫|
ettel fiert e	-|--|-----⌫|
ette lorgoeil	-|--⌫|------|
geuoirdireuos	-|---|---|--|
quedepaor met re s arrere	--|-|---|-|-⌫--⌫|-----|
quenule b este	--|---|-⌫---|
nestsifiere	|--|-|----|
ne si orguel l ouse co m tor	-|-|------⌫-⌫---|--⌫|--|
uns uilainsqui	--|------|--|
resambl oi tmor	-------⌫--⌫|--|
g rantethisde usadesmesure	-⌫---|-|-----⌫-||--------|
issit re s ledecre a tur e	---|-⌫--⌫|---|---⌫-⌫---⌫|
qu enneporroitdi redebouche	-|-|-|------|--⌫-|-|-----|
uigeseo irsorune souche	-|-|---⌫-|--|--|-----|
unegrant mac ueen s amain	--|----|---⌫-|-|-⌫|---|
gemapr och ai	-||---⌫---⌫-|
uersle uila in	---|-|----⌫-|
si uiquilotgross elateste	-|-|-|-|-|-----⌫|-|----|
plu squeroncins neaut re be s te	---⌫|--|------|-|---⌫-|--⌫-⌫-|
cheuols m ell ezet frontpelé	------|-⌫---⌫-|-|----|----|
sotplusdeyy esp ansdele	|-|---|-|-|---⌫--|-|-|
o re ille smoussues	-⌫--⌫----⌫|-------|
autretexcomunsolefan z	-------|--|--|------⌫|
lessorcisgranzetleuis	--|-----|----|-|-|--|
oilzd esuettenesde cha t	---|-⌫|-----|--|-|---⌫|
go u lefe nduecome	--⌫-⌫-|--⌫---|---|
denzdesenglieraguz etr ous	---|-|-------|---|-|-⌫--|
barbenoiregren onstort is	----|----|----⌫--|----⌫-|
etlemen ton	-|-|---⌫--|
aers aupis	---|-|--|
u estu zde robesiestrange	-⌫----⌫|-|---|-|-------|
q ueni auoit	-⌫-|||----|
nelin ne lange	-|--|-|----|
ainzotason	---|-||--|
c o l atachiez	-⌫-⌫|-------|
yy cui rsde nouelescorchiez	-|---⌫-|-|----|---------|
deyytor e ausoudeyybues	-|-|---⌫-⌫--|-|-|-|---|
en piezsailliliuilai nslu es	-|---|-----|-|-----⌫-|--⌫-|
me uituerslu iaprochier	-|--|---|--⌫|--------|
nesai sil meuoloitt ouchier	-|--||-|-|-----|-⌫------|
nene sai qu iluolo it	-|-|--|-|-|----⌫-|
emprendr e	--------⌫|
m esgeme garnid ou	-⌫-|-|-|----|-⌫-|
deffe ndre	-----⌫---|
t a ntque geui que	-⌫-⌫----|-|-|--|
il sest ut	-||---⌫-|
en pi eztoz cois et	-|--⌫-|--|---|-|
e tfumon tezdesor zz tronc	-⌫|-|---⌫--|----|-|----|
b ienyy piezdelonc	-⌫--|-|---|-|---|
sime sg arda	-||-⌫--⌫---|
etmotned is t	-|--|-|-⌫--⌫|
n i e ntplus q unebest ef eist	-⌫-⌫-⌫-|---||--|----⌫|-⌫---|
lor s cuidai	---⌫|-----|
resonpa role ne seu st	----|--⌫---|-|---⌫-|
totesuoiest a ntm	----|----|-⌫-⌫-||
quege lidisuacarmedi	--|-|-|--|-|--|-|-|
s etuezbonechoseou non	-⌫|-|-|---|----|-|--|
e tilditqui lesto itunsh om	-⌫|-|--|-|-⌫|----⌫-|--|-⌫-|
quexhomeztutex co m	---|--|-|-|--|--⌫|
sigartcesbestesence stb ois	-|---|--|-----|-|--⌫-|-⌫--|
gardesporsa int	-----|--|--⌫--|
p erederome	-⌫--|-|---|
i a necon n oissent	-⌫|-|---⌫-⌫------|
necuitqe n plainne	-|---||-⌫|----|-|
enboschage	-|-------|
puisthomgarder be stesauuage	----|--|-----|--⌫--|------|
cinea illorspo rnule c hos e	-|-|-⌫-----|--⌫|---|-⌫---⌫|
sele n estloie	|--||--|---|
gegartci cestes	-|---|-|-----|
e tius tis	-⌫|---⌫--|
queianistront decest porpr i s	--|-||------|-|---|-----⌫-⌫|
e nleuoi r	-⌫|-|---⌫|
n i anu lequis	|||--⌫-|--||
ost mouoir	--|-----|
desque l es me	----|-⌫-⌫-|-|
uoi entueni r	---⌫--|----⌫|
quantge enpui sune tenir	----|-|-|---⌫|--|----|
aspoinz queiai et durs	-|----|--||-|-|---|
s iladestrainz parmi lecors	-⌫|-|--------|----|-|---|
autresdepaor tramblent	-----|-|---|--------|
et tot enuironmoisassam blent	-|--|------|--||-----⌫----|
ausicompor merci crier	---|--|--|----|----|
nenusne siporroit	-|--|-|||------|
f orsmoi sentr elesse stoi t	-⌫--|--||---|---||-⌫----⌫|
q uemaintenantne fustoc is	-⌫-|---------|-|---|--⌫-|
einsi s ui	----|-⌫-|
bes te s sire	---⌫--⌫|---|
ettumer edeuro ie sdire	-|-|-|-⌫------⌫--⌫|---|
quexhom tu i es	---|--|-|-⌫-|
etquetu quiers	-|--|-|-----|
gesu i c e uoiszz	-|--⌫|-⌫|---|-|
che ual ier s	---⌫---⌫---⌫|
etqu i erce que	-|--⌫-⌫-|-|--|
tr ouernepuis	--⌫---|-|---|
assezaiquis	----|-|---|
etqueuoud roiestutrou er	-|--|----⌫----|-|----⌫-|
auen ture pores prouer	----⌫---|--|--⌫-----|
map roeceet mo nhar dem ant	-|-⌫----|-|--⌫|---⌫---⌫--|
ort eproietquier	-|-⌫|---|-|----|
s etusez quetumeconselles	-⌫|-|--|--|-|-|--------|
o u d auentureoude meruelles	-⌫||-------|-|-|--------|
a cest conse il fau drastu bien	|---|-----⌫-|---⌫---|-|---|
que d auen turenesai rien	--||----⌫---|-|--|---|
mesrieno ipa rler	--|---|-⌫|--⌫---|
tuuoloiesaler	-|------|---|
cipre s iusqu	-|---⌫|----|
aun efo ntaine	|--⌫|--⌫-----|
nenreuendroiespass anz	|-|----------|--|-⌫--|
setuli r endoi esson droit	-|-|-|-⌫-----⌫-|--|----|
tut rouerasc i orendroit	-|-⌫------|-⌫|--------|
un sent ierquila	-|----⌫--|--|-|
tote ladroiteuoie ua	---|-|-----|---|-|
iadautr esuo iesmout	|||----⌫-|--⌫--|---|
la fontaine uerras	-|-------|-----|
etestplusfr oide quenusmarbres	-|--|---|--⌫---|--|--|------|
ombre lifetliplus b iaus ar b res	----|-|--|-|---|-⌫---|--⌫-⌫--|
conquespe ustf erenatur e	|-----|--⌫--|-⌫--|-----⌫|
e n to ztens la fuelledure	-⌫|--⌫|---|-|-----|---|
que n ela pertsoirnematin	--|-⌫|-|---|---|-|----|
ets i pentunsbacinsd	-|||---|--|-----||
aunesil onguechaa ine	|--|-|-⌫----|----⌫--|
quidur eiusquala fo n ta ine	--|---⌫|----||-|--⌫-⌫--⌫--|
le zla fo n tainetr ouera s	--⌫|-|--⌫-⌫----|--⌫-----⌫|
zzperron telcomtuuerras	-|-----|--|--|-|-----|
etdautre part unechapel e	-||----|---|--|------⌫|
petitemes el estmout b ele	-----|--|-|--|---|-⌫--|
saubacinueuls de	|-|----|----|-|
l eueprendre	|--|------|
etdeso r le pe rr onespandre	-|----⌫|-|--⌫--⌫-|-------|
tuuerras uneteltempeste	-|-----|--|--|-------|
quen ces tbois ne	-|-|---⌫|---|-|
d emourr a beste	-⌫------⌫|----|
neischeuriexne cersnepors	---|-------|-|---|-|---|
nezli oiselisterontfo rs	--|-|----|-------|--⌫-|
car tuuerrassi foudroier	--|-|-----|-|--------|
uenteretarbrespec oier	-----|-|-----|---⌫---|
tonerplouoiretespartir	----|------|-|-------|
que se tu tenpuesdepartir	--|-|-||-|---|-------|
sanz grant anui	---|----|---|
etsan zpesan ce	-|---⌫|-----⌫-|
tuseras demellor cheance	-|----|-|-----|------|
quecheualiersqueueisse	--|---------|--|-----|
do uuilainme	--⌫|-----|-|
parti adonqes	----|------|
quebienm otlauoie	--|---||-|-|---|
espoirsi fu tierce	-----|-|-|-----|
et pot estrepr esde	-|--|----|--⌫-|-|
qu antlarbreet la chapeleui	--⌫--||----|-|-|------|-|
bi ens a i d elarbrecest la	--⌫-|-⌫-⌫|-⌫||----||--|-|
que ce estoitliplus bi aus	--|-|-----|-|---|--⌫--|
c onque s desor	|-----⌫|----|
terrecreust	----|-----|
s ifortpleust	-⌫|---|-----|
quepardes oz	--|--|---⌫-|
enpass as t	-|----⌫--⌫|
ain cois couroitpardesustoute	---⌫---|------|--|----|----|
alarbreu i le	||----|-⌫|-|
b ac inpendre	-⌫--⌫-|-----|
delplu sfi n orquifust auend re	--|---⌫|--⌫|-|--|---||----⌫-|
onquesenco ren nu lefoire	-----|----⌫|-|--⌫-|----|
del af onta inepoezcroire	-|-⌫|-⌫----⌫--|---|-----|
que eleboultcomeuechau de	--|--|----|--|--|----⌫-|
perronsd une esme raude	------||--|----⌫----|
perciezausi comunebous	------|---|--|--|---|
unerubizdesous	--|----|-----|
plusflamboianzetplu s uermeils	---|---------|-|---⌫|-------|
quenestau m atinli soleils	--||--|-|-⌫---|-|------|
quantil apertenoriant	----|-|----|-|-----|
iaque gesache	-|--|-|----|
enuos nement irai	-|--|-|----⌫---|
l a fon ta ineaueoir meplot	-⌫|---⌫--⌫--||----|-|---|
d on tgene metieg	-⌫--⌫|-|-|-|---|
miea s age	--||-⌫--|
de la tempest e	-|-|-------⌫|
et d el orage	-|-⌫||----|
qu euolentiers menrep entisse	--⌫|---------||-|---⌫------|
totmaint enants e ge poisse	--|-----⌫----|-⌫|-|-----|
quantg e oileperron crouz é	----|-⌫|-|-|-----|-----⌫-|
auba c in arrouzé	-|--⌫-⌫-|-------|
m es trop en iuersai cedout	-⌫-|---|-||-----|-|---|
quelorsuilecielsi der rout	--|---|-|-|---|-|---⌫---|
quedeplusdeyy	--|-|---|-|-|
m efe roitesoils	-⌫|--⌫---|-|---|
etlesnues tot meslemes le	-|--|---|--|--------⌫-|
getoient noifetpluieetgresle	-------|---|-|----|-|-----|
lit onoi rre	-|-⌫----⌫--|
etli uentbr uioient	-|-|---|--⌫------|
trestotlairdestru ioient	------||--|------⌫-----|
li tens pesmesetforz	-|---|-----|-|---|
yy foizcui daibienest remorz	-|---|---⌫--|---|---⌫-|---|
desfoudresqu entor	--|------|-|----|
moic h aoient	--|-⌫-⌫-----|
etdesarbr esqui l	-|--|----⌫-|-|-⌫|
de specoient	--⌫--------|
moutf u ipe nezet	---|-⌫-⌫|--⌫--|-|
tr a uelliez	--⌫-⌫------|
tant queli tansfurapaiez	----⌫--|-|---|-|------|
ca rlitensga ires nedur a	--⌫|-|---|--⌫---|-|---⌫|
q ui detotme rasseur a	-⌫-|-|--|-|-------⌫|
de sq uege ui laircler	--⌫--⌫-|-|-||--|---|
d e ioiefu i to z asseur	-⌫|---|--⌫|--⌫|-----|
carioie sonquesla	--|---||-----|-|
oubli er gra ntanui	-----⌫-|---⌫-|---|
etquantloragesfup a sse z	-|----||-----|-|-⌫-⌫---⌫|
uiges ozl e	-|-|-⌫-|-⌫|
pinamas se z	--|----⌫--⌫|
tan td oiseaxs	---⌫||-----||
e stq ui croi reuoell e	-⌫-|-⌫-|----⌫-|-----⌫|
iparoit branchenef oel le	|-----|------|-|-⌫---⌫-|
que toz nefustcouer zdoise aus	--|--|-|---|-----⌫||----⌫--|
senestoit l ia rbresplus be aus	|-|-----|-⌫|-⌫----|---|--⌫--|
ettrestuitlioise lcha ntoient	-|-------|-|----⌫|---⌫------|
s ique trestuits entracordoient	-⌫|--|-------||-------------|
mesdiuerschans chant oit chascuns	--|-----|----|-----⌫--|-------|
c equec hantoit liuns	-⌫|--|-⌫------|-|--|
a l autre chanter n enoi	||----|------||-|-|
de lorioieme resioi	-|--|---|-|-----|
s esc outai	|---⌫----|
t antqu ilor entfet	-⌫----|-|--⌫--|--|
lorseruisetr estota	--|------|--⌫----||
qoncmes no i si	|--|--||-⌫|-|
croi qu emesnusloie	---|--⌫|--|--||--|
qui tantmeplot etabeli	--|---|-|---|-|----|
quegem en du iporfol	--|-||-|--⌫|--|--|
t ant if uiqueoiuen ir	-⌫--||-⌫-|--|-|---⌫-|
cheualiersceme fuauis	---------|-|-|-|---|
bie nmonescienti usquayy	---⌫|--|------|-⌫---||-|
telnoiseet	--|----|-|
teltempest menoit	--|------|-----|
u nssolscheualiersquiuenoit	-⌫-|---|---------|--|-----|
quantg eleui	----|-⌫|-|-|
tot sol uenan t	--|--|-----⌫|
mon cheualre strainz mai nte nant	--|-----|--⌫------|---⌫---⌫---|
n aumonterdemore	|-|-----|-----|
comemau talentis	---|---⌫-------|
uintplusto stquns a lerions	---|---|--⌫-||--|-⌫------|
fiersparsambl antcomzzlions	----|--|-----⌫--|--|-|----|
haut comilpotcrier	---|--|-|--|----|
mecommencaadeff ier	-|-------||----⌫--|
uas sa us dit il	---⌫--⌫-|--|-|
uos mauezf et	--||---|-⌫-|
s ansdeffia n cehonteetlet	-⌫--|------⌫-⌫-|----|-|--|
deffiermedeu ssiez uos	------|-|---⌫----|--|
sileustquereleentrenos	|-|---|------|----|--|
oua u mainsdroiture r eq uerre	-|-⌫|----|-------|-⌫--⌫----|
