#META#TextURIAlexisP13	-----|------|--------|
#META #DEAF http//www.de a f -pag e.d e/fr/bibl/bib99 a.php #AlexisP	-----⌫|---|------------⌫-⌫-⌫----⌫---⌫---------------⌫-----⌫-------|
#META #T L A lex.Alex .S.	-----⌫|-⌫|-⌫---|----⌫|-|
#META# ARLIMA	-----|-----|
Etsainteeglis eam asor totes	-|-----|-----⌫|--⌫|--|----|
De f elonienotonkesenluiriens	-|-⌫-----||-|----|-|--|----|
Etpri stmollier puis kilfutanchie ns . ...	-|---⌫-|------|---||-|--|------⌫--⌫-⌫--|
Puis conuiersérentensemblelongheme nt	---|-------------|-------|--------⌫-|
Ass e ́s i orent etormieret	---⌫-⌫-||----|-|-|---|-|
griset uié s uinetformen t	---|-|----⌫|--|-|------⌫|
Etbo rs et uilesetrice teneme nt.......	-|--⌫-|-|----|-|---|------⌫--------|
Etsain teeglise reu is dérentsouent.	-|----⌫-|-----|---⌫--⌫------|------|
Maisdunerienlorpoise	---||--|---|--|----|
mout forme nt	---|-----⌫-|
e nfan tsi ensontmoutdolent	-⌫----⌫|-|-|---|---|-----|
Diuenapielentandoi parfiteme nt.	--|-|-------|----|---------⌫--|
He roi sdeglorepa rtoncomandement	-|---⌫|-|----|--⌫|--|----------|
Unfil nosdo ne kisoita ton	-|--|--|--⌫-|-|---||--|
T an tli deproient p ar granthumilitet	-⌫--⌫|-|--------|-⌫-|----|--------|
Et enlorcuerenonttantsospire t	-|-|--|---|-|--|---|-------⌫|
Et enlorieus tan teslarmesplor et	-|-|--|---|---⌫--|-----|----⌫-|
poure stantuiestementdonet	-----⌫|---|---------|----|
K e nostre	-⌫|-----|
Alemollier tramistf econditet	|-|------|------|-⌫--------|
Unf i llord one	-|-⌫-⌫|--|-⌫--|
si l enséuent bon	-||-|------|--|
Desaintbatesmelontt ostregen eret	-|----|------||--|-⌫--|-----⌫---|
Biel nonli do nent enlecrestie n tet	---|--|-|--⌫---|-|-|-------⌫-⌫--|
Dan tA le xis	---⌫|-⌫--⌫--|
filapielet.	--|-------|
Page u01P281	----⌫------|
ko m cuiDius leua u td o ner	--⌫|--|---|-|--⌫-⌫|-⌫-⌫--|
Aprieslidamekitantfista loer	-----|-|---|-|---|---||---|
Soingnosementfisentlenfantwarder	------------|-----||-----|-----|
Ettenrem ent e tcoucier et	-|------⌫--|-⌫|------|-|
Moutd euintbiau ssifistmout aamer	---|-⌫----|----⌫|-|---|---||---|
Puissilefi s entalescole	---|-|-|--⌫-⌫--|||-----|
Et lescriture enseignieretmostrer.	-||--------|---------|-|-------|
Enpoi de tenss otbienlireet	-|--|-|---|-⌫-|---|---|-|
Et enl at inm out sagement	-|-|-⌫--⌫-|-⌫--|-------|
Etune lo ig entementuisiter .	-|--|--⌫|-⌫-------|-------⌫|
E tkan t lienfesfutdesarsbien	-⌫|---⌫|-|----|--|--|--|---|
Demo utciers	-|--⌫-|----|
dras sest ricemen tparés	---||--|-------⌫|-----|
roiene st alés	--|-|-⌫-|----|
Tant le sieruitpar s es	---|-|------|--|-⌫-|
humili t és	------⌫-⌫--|
Ke li aarmesetwarnemensdo n és	-|-||----|-|--------|--⌫-⌫--|
Et les hono rsdont s es péreiertcasés	-|--|----⌫-|---|-⌫-|----|---|-----|
Liarendu esetdesautr esasse ́s.	-||-----⌫-|-|--|----⌫-|----⌫--|
K an tuoitlipére	-⌫--⌫|---|-|----|
kemais narae nfa nt	-|---||--|-⌫---⌫-|
For ske chelsol keil par aime	---⌫|-|---|--|-|-|--|---|
Do ntsepo rp ense delsiécleaen	--⌫-|-|--⌫--⌫---|--|------||-|
Orue utkepreng emolli erensenuiuan t.	-|--⌫-|-|-----⌫|-----⌫-|-|--|-----⌫-|
Il enaq uise unemout	-|-||-⌫---|--|---|
Fille aunducunrice homeuaillant .	----||-|--|-|---|---|--------⌫|
Chiu sli o troieetm il	----⌫|-|-⌫----|-|-⌫-|
liures uaillan t	-----|-------⌫|
E t un castielasasel	-⌫|-|------|-----|
etmana n t.	-|----⌫-⌫-|
Nomentlortierme deloras semblem e nt	-----|--|-----|-|--|--⌫-------⌫-⌫-|
K antuin t aufairese l	-⌫--|---⌫|-|----|--⌫|
Moute nsont liet dambespars liparent.	---|-⌫|---|---||----|---|-|------|
DansAlex i sl esp osauoirement	---|----⌫-⌫||---⌫--|--------|
Ma isd e chelplait	--⌫-|-⌫|---|----|
neu au si st ilnie nt	-|-⌫--⌫--⌫-|-|---⌫-|
De totentot a	-|--|-|--||
Diu asen talent	--||--|-----|
Se liloisis tiluiesquistcastement	-|-|------⌫|-|--------|--------|
Ke de chelsiécle	-|-|---|------|
nequistencombr ement.	-|----|-------⌫-----|
Kant li siens péreot fa it	---|-|----|----|-|--⌫-|
t otapriester	-⌫-|--------|
Pageu01P282	----------|
Etsesbarons ue niretau ner	-|--|-----|--⌫--|-|--⌫--|
Et senpalaisriceme ntcon ree r	-|--|-----|------⌫-|---⌫---⌫|
Et fa i tde snochesle	-|--⌫-⌫|--⌫|-----|-|
premerain s o per	--------|-⌫-⌫--|
Liiorssenuasiprent a	-|---||-|-|-|----||
l auiesprer	|--------|
T raientlesnapes	-⌫-----|--|----|
lestables fontoster	--|-----|---|----|
Etlorre liefcoillir etama sser	-|--|--⌫---|------|-|---⌫---|
E tafrarinsdepartiretdoner .	-⌫||------|-------|-|-----⌫|
Choudi st li	---|--⌫-|-|
pe ́reBiausfilsu a	--⌫--|----|---|-⌫|
tentco u c ier	|--|--⌫-⌫-⌫--|
A uue ctesp oseDiusted o ins t hiret ier	-⌫---⌫||---⌫--|---|-|-⌫-⌫---⌫|-----⌫--|
Ne uaut li enfes senpérecorechier	-|---|-|----|--|----|--------|
Sus sedrecha nelosa delaiier	--|-|-----|-||--|-------|
cam bre sisefaitd escauchier.	---⌫--|-|-|---|-⌫----------|
Lipéreifutetlim é re au ui s	-|----||--|-|-|-⌫--⌫-|-|--⌫|
Lecam brefon tenchenser	-|---⌫--|---⌫|--------|
et ioincie r	-|-------⌫|
Etkantsenisse nts ilontfai te	-|---||-|----⌫-|-⌫||--|---⌫-|
EtAlexisre wardas e	-|-----|--⌫----|-⌫|
KantA lexi sotse femm e	---|-⌫----⌫|-|-|----⌫|
Kitantparestcorto ise etbien	-|---|--|--|-----⌫--|-|---|
Etcouoitoseetblanceen s e c a r	-|--------|-|-----|-|-⌫|-⌫-⌫|
cambr ekisi est portend ue	-----⌫|-|-|--|-------⌫-|
ramenmbrede	--------|-|
sechelest edru e	-|-------⌫|---⌫|
De sai nt eeglise ke tantamainten ue	-|---⌫--⌫|-----|-|---||-------⌫-|
Si lchele a miekidou chielest	|-⌫|----|-⌫--|-|--|----|--|
Porcar nelfemme	--|---⌫--|----|
re l enquist.....	--⌫-⌫-----------|
D ontcrientilmoutkesarmesoitperd ue	-⌫--|-----|-|---|-||---|---|----⌫-|
Et auiuiseDamediuconfondue.	-|-|----|------|---------|
H eD iusdist	-⌫|-⌫--|---|
il ki nosa s	-|-|--|-⌫|
l euirgene tel aissasaombrer	-⌫|------|-|-⌫-----|------|
E tenl ecr oistelai ssas	-⌫|-|-⌫|--⌫--|-|---⌫---|
P ornos c aitis pe ce o r srac ater	-⌫-|--|-⌫----|--⌫--⌫-⌫-⌫|---⌫---|
Fainos ciers siretescommansesw ard er	--|--|----|---|--|------|---⌫---⌫-|
nosne puis tg ab er.	--|-|----⌫|-⌫--⌫--|
Dontmecuidabien mespérealoer	---|-|----|---|--|----|----|
Kant ilme fis t cheste	---|-|-|---⌫|-----|
dameesposer	---|------|
Pageu01P28 3	----------⌫|
nem en fuitotme ueutafo ler	-||-|--|--|-|---|---⌫--|
Eteninfier	-|-|-----|
elplus p arfo ntieter.	-|---|-⌫----⌫-|-----|
DansAlexissosp ire moutfo rment	---|-----|----⌫--|---|--⌫----|
Etsir eclaimeDiumo utpa rfit e men t	-|-|-⌫------|--|--⌫-|--⌫----⌫-⌫---⌫|
Sefranceespose cas toie	-|-----|-----|---⌫---|
douchement.	----------|
SainteEscriturelidespontsaintement	-----|--------|-|------|---------|
Etilliblas mec hes teuie	-|-|-|----⌫-|-⌫---⌫-|--|
Etlautre uoie degloreli aprent	-||----|---|-|----|-|-----|
Ta ntueutparlerodli totbie le men t	--⌫-|---|-----|-|-|--|---⌫--⌫---⌫|
Kecoucie tsoientpartotlepauement	-|------⌫|-----|--|--|-|-------|
Puissenfuir a sil p uetcheleeme nt.	---||-|----⌫||-|-⌫--|--------⌫--|
Tant lecastoiekelinuisest mo ie	---|-|------|-|-|---|--|--⌫-|
wa ite est	--⌫--|--|
endo rmie et coucie	----⌫---|-|-----|
Etlipuchielemoutf ormentanuiie	-|-|-------|---|-⌫-----|-----|
P uisprentl aniel	-⌫--|----||----|
dont il tot enwa gie.	---|-|--|----⌫---|
Deus p ar sen fis t	---|-⌫--⌫|-|---⌫|
par merueill e boidie	--|--------⌫|-----|
damelune moitietbai l li e	---||--|------|---⌫-⌫--⌫|
Etpui sa l autresorlui	-|---⌫|||----|--|--|
bien estoiie	---|------|
iama is a Rometant apr oci e	----⌫-||---|---|---⌫---⌫|
Keilr esoit en	-|-|-⌫----|-|
lesaleproisie	-|---|------|
E t illormostr e chelese igne asais ie	-⌫|-|--|-----⌫|----|--⌫---|-----⌫-|
Kelreconois sese femmel	-||--------⌫-|-|----||
DistlipuchieleOrsuimout	---|-|-------|-|--|---|
e swaré e	-⌫------⌫|
Lamen reportedon ttu	-||-|------|---⌫|-|
aporté e.	-------⌫-|
Kequierrasoreenestraignecontré e	-|-------|--|-|--------|-------⌫|
Por coimelai skanttu m	--|--|-|---⌫|---|-||
asesposé e	-|-------⌫|
De mainseraidete camb re ie tée	--⌫---|----|-|-|----⌫-|--⌫---|
Pu i s meniraicommefemmeeswarée	--⌫-⌫||-|---|----|----|-------|
Telh o nt e	--|-⌫-⌫--⌫|
araiiam aisnierchonorée.	---|---⌫--||---|--------|
Bieledist iltunies	----|---|-|-||--|
miese ne ́e	--|--⌫--⌫-|
Chest eg rantgoietarac or t eduré e	-----⌫|-⌫---|---||--|-⌫--⌫-⌫|-----⌫|
deuie nsesposée	-----⌫||-------|
T arme ie rte l chieldegoie coronée	|---|--⌫-|-⌫|----|-|---|-------|
Auuec les angelesiertassisee l pose ́ e .	----|--|------|---|-----|-⌫|----⌫-⌫-⌫|
Pageu01P28 4	----------⌫|
Gentiuspu chieleches tuiprent	------|--⌫-----|----⌫--|----|
Kie n le croissoffrit mort port	-|-⌫|-|----|------|---|--||
Pornosieterdechele	--|--|----|-|----|
gra ntpuor	---⌫-|---|
Kif aitl es arm es	-|-⌫--|-⌫-|---⌫-|
en infiergrantdolor.	-|-----|----|-----|
N aen chestsiéclenu leparfiteamor	||-|----|------|--⌫-|------|---|
Maistotisome s en	---|--||----⌫|-|
P armou t grant	-⌫-|---⌫|----|
go ie sass em blen t peceo r	--⌫-||---⌫--⌫----⌫|-----⌫|
Maisildepartentadu el	---|-|--------||--⌫-|
etatristor.	-||-------|
France puchiele	-----|-------|
ortetiene n bontet	-|-|---|-⌫|-----|
Si tien net c ueret.. .. ...............	-|---|--|-⌫--|----⌫--⌫--------------|
......corskitant s ont	---------|-|---|-⌫--|
Ma ru irentonke sl elorg rande biaute t	--⌫|-⌫----|----⌫|-⌫|--|-⌫----|------⌫|
S epo r i chestedolenteu a nitet	-⌫|--⌫|-⌫-----|------|-⌫-⌫----|
Sonten infie relplusparfontietet.	---|-|-----⌫|-|---|------|-----|
Mebiele amiew ardeteca steet	-|----|---|-⌫---|-|--⌫----|
Iltese ra moutbien	-|-|--⌫-|---|---|
werre do net	-----⌫--⌫--|
K ensemble	|-------|
asangele sprendrassochi etet.	-|------⌫|-------|-----⌫----|
porteras corone declartet .	-------|-----|-|-------⌫|
Me b i eledrue	-|-⌫-⌫--|---|
ormedo n econgie t	-|-|--⌫-⌫|------⌫|
IouaiuiersDium oncoraigeficiet	--|-|----|--|-⌫-|------|-----|
Si werpirai et	-|-------|-|
metiereetmenfiet	-|----|-|--|---|
liu ou chisgranspalaissiet	--|-|---|----|-----|---|
nepiergeet le	-|-----|-|-|
soi e amisti et.	---⌫|------⌫--|
Mespérefaitd emo imout	--|----|---|-⌫|--⌫|---|
gra ntpeciet	---⌫-|-----|
Kimadousiéclee mboet	-|||--|------|-⌫----|
Por unseul	--|-|---|
po ikilnemaeng ig ni et	--⌫||-|-|||---⌫--⌫--⌫-|
Eten infieroup lusparfontlanchiet.	-|-|-----|-|-⌫--|------|--------|
Diuste soit warde	---|-|---|----|
soiepit ie t	---|---⌫--⌫|
en fuien escilamenpi et.	-|--|-|----||--|--⌫--|
pu chieleoit	--⌫-----|--|
de sen signor	-|--|-----|
Keueutwerpir	-|---|-----|
liet toteshonor	-|-|---||----|
S auoirp oés k ele	-⌫----|-⌫---||--|
o tau cuerdolor	-⌫|-|---|----|
Tel cri t i etakele nepoutgrignor	--|---⌫|-⌫--||--|-|---|------|
Page u01P285	----⌫------|
siremeruillosepaor.	---|---------|----|
Mierch i tdistil bieleporDiuamor	------⌫-⌫|---|-|----|--|--|---|
Nefa ire honte	-|--⌫--|----|
Iesu toncre a tor.	---|--|---⌫-⌫---|
Setume donesdelui sieru ir	-|-|-|----|-|--|-----⌫-|
Enparadi s	-|------⌫|
en legloreangelo r	-|-|----|------⌫|
As dec onquie rrecoroneaoriflor.	-|-|-⌫------⌫--|-----||-------|
F rancepuchielecho u dist	-⌫----|-------|---⌫|---|
s a insAlexis	-⌫-⌫--|-----|
hu ifuisseenu ntor noi	--⌫|-----|-|-⌫|---⌫--|
Ancu i seroie	----⌫|-----|
apielésetmalrnis	-------|-|------|
Eten letiereacouetés e tmis	-|-|-|----|--------|-⌫|--|
P uissi m aroieseneslesquinz e dis	-⌫--|-||-----|-|-|--|-----⌫|--|
Siobliet ke a inc	-|-----|-|-⌫--|
Tot autretels orte	--|-------||-|-|
prendoittefins	-------|-|---|
Feroieiou detoiioul	-----|--|-|--|--||
tepl euis.	-|--⌫----|
D olenst oschia us kipor	-⌫----|-⌫-|----⌫-|-|--|
lororsdelis	--|--|----|
Pierdentlelong hegoi edeparadis	-------|-|----⌫-|---⌫|-|------|
Fran cepuchielenob li et armem ie.	----⌫-|-------||--⌫--⌫||---|-⌫--|
Car li honfai tmoutgrandedie ruerie	--|-|--|---⌫|---|-----|---⌫-----|
K i por le carselasse d	-⌫|--|-|--|-|----||
ar meoblie	--⌫-|----|
Carli f iel c ors	--|-|-⌫--|-⌫--|
laform ent	||----⌫--|
Iaentre iausdeusnefaura aatie	-|----|---|---|-|----|----|
Car licors aime	--|-|---|---|
glotren ie	-------⌫-|
Et uan itetetperecheet folie	-|---⌫---|-|------|-|----|
S iueutauoir to stens lepanche em pl ie	-⌫|---|----|--⌫|---|-|-----|--⌫--⌫-|
Lu ineca uton kes soitmausou	--⌫|-|--⌫-|--⌫--|---|---|-|
Tant ost conlarmeist	----⌫--|--||---|--|
dechelco r s pua nt	-|---|--⌫-⌫|---⌫-|
amaonkes neDiu	--|----|-|--|
nesenco mant	-|--|--⌫---|
Maisde malfaire	---|-|--|----|
sefist fort etpoi ssan t	-|---|---|-|---⌫----⌫|
Si uinre nt luesmildiablea corant	-|-----⌫-|---|--|-----|-⌫-----|
Kilenc auchié renttr estot uer sle torment	-||---⌫-------⌫---|--⌫----|---⌫|-|------|
uierson t etlisi erpentmordant.	---|---⌫|-|-|--⌫-----|-------|
Coi k il en fachentchoutro u ons	--||-|-|------|---|---⌫-⌫--|
no slisant	--⌫|-----|
Pageu01 P286	-------⌫---|
Au samed i	-|-----⌫|
anc hois lecoccantant	---⌫---|-|--|------|
Reuientdroi tl	------|----⌫||
a rmea lefoss e c riant	-⌫--||-|----⌫|-⌫----|
Lepuantcors moutforment	-|----|---|---|------|
m audisant	-⌫-------|
Kilaconduite en chelton nents i	-|||-------|-|---|---⌫---|-⌫|
H e corsdistl	-⌫|---|---||
arm emarteuionkes	---⌫|--|-|-|----|
Mausoit delhore kefumesaiostet	--|---|-||---|-|----|------|
E tmau ditsoientde sainte	-⌫|---⌫--|-----|-|-----|
Andoili piet	----|-|---|
Etles d eus	-|--|-⌫--|
ont chou manouret	--|---|-------|
Etic hil cuerskichou a por penset	-|--⌫--|----|-|---||---⌫-----|
Aussilibocekicho uapor p arlet	----|-|---|-|---⌫||---⌫-⌫----|
Et lidoiuel kichouontrew ardet	-|-|--|--|-|---|--|---⌫----|
Etlesoreillesk ichou	-|--|-------|-⌫|---|
ont escoute t	--|-------⌫|
Dont limie nme mbr es ontsi g rieftor mentet	---|-|---⌫|--⌫---⌫|-⌫--|-|-⌫---|---⌫-----|
Orgirascorsen le tiere eniermee	-|----|---|-|-|----|-------|
Et iouira icome	-|--|---⌫|---|
Ale dolorketu	|-|----|-|-|
masporparle e	|-|--------⌫|
Duskau iuise........ .......	---|-|-----|||-----⌫------|
Kant te c a rs ertdemor tr esu sc hit e e	---|-|-⌫-⌫-|--|-|---⌫|-⌫---⌫--⌫---⌫-⌫|
Elen laetdetrent eans	-|-||--|-|-----⌫|--|
Dontsera icors	---|----⌫|---|
droita toi	----||--|
chesmembres droi t atoirestoree	---|------|----⌫||--|-------|
Odt o i ens em bl e enl efl ame emb ras ee	-|-⌫-⌫|---⌫--⌫--⌫|-|-⌫|--⌫--|---⌫---⌫-|
Kelid i ablenosarontaprest e e	-|-|-⌫-⌫---|--|----|------⌫-⌫|
Puisco mparras lorguei l	---|--⌫------||------⌫|
et le posnee	-|-|-----|
Ketutosio rs assigrant	-|-|--|--⌫-|-|-|----|
Francepuchiele	-----|-------|
pe nsedeDiuser uir	--⌫--|-|--|---⌫--|
Dontetecarcui estouraporir.....	----|-|--|--|------|---------|
C uiestoura	-⌫-|------|
etb ienetmal	-|-⌫--|-|--|
Delitepeine ke le	-|-|-|----|-|-|
pui sse swarir.	---⌫---⌫|-----|
g rant goieki	-⌫---|---|-|
La sseche l icui coui e ntdepartir	--⌫--|---⌫-⌫|--|----⌫-⌫-|-------|
Pageu01P287	----------|
E teninfier odles maufé sgésir	-⌫|-|-----|-|--|------⌫|-----|
Etenleflametostens adie s bruir	-|-|-|----|--|---|----⌫|----|
G entiuspuchiele con fors	-⌫-----|-------|--|---|
plaislasera	----|-|---|
K antn ost r e sire aui ughe ment uen ra.	-⌫--|-⌫---⌫-⌫|---|-|-⌫----⌫---|---⌫--|
Et ilsecr oisl ésnos esta bli ra	-|-|-|--⌫--|-⌫--|--|----⌫---⌫-|
Et ilsesp l aies totesnos	-|-|--|-⌫-⌫---|----|--|
Et lecoronedesp inek	-|-|-----||---⌫--||
Ormedibiele kelima uuais fera	-|-|-|----|-|-|--⌫----|---|
K antliplus iustes	-⌫--|-|---|-----|
achel ior trembl era.	|---|--|------⌫---|
Go ioschel u i kidesieruitara	--⌫--|----⌫-⌫|-|--------|--|
borea diestr eparts era	---||------⌫|---|-⌫--|
Eto dlesan g eles en paradisira	-|-⌫|--|--⌫-⌫---|-|------|--|
Lan araiaparlet	-||--|-|-----|
der icetet	-|-⌫-----|
Ne deparaigene	-|-|------|-|
denobilit et	-|-------⌫-|
g rant co rsne delegier co stet	-⌫---|--⌫-|-|-|-----|--⌫---|
Nedecaucier	-|-|------|
nede rminengole t	-||-⌫---|------⌫|
Chen tm ile	----⌫|-⌫--|
d enie rsmoneet	-⌫----⌫-|-----|
Niualen t mie un boui onempenet	||-----⌫|--|-|----⌫-|------|
Sil enchestsiéclene sontpor	|-|-|----|------|-|---|--|
Nero isnecuens n i	-|--⌫-|-|----|||
m enrapoestet	-⌫---|------|
Mai sch il	---⌫|--⌫-|
s ero ntl eior totcor onet	-⌫---⌫-|-⌫|--|--|---⌫---|
Et trait auantetsignor apielet	-|----|----|-|-----|------|
Ki chiarontuescut encaste et	-|--|----|-----|-|-----⌫-|
E t m aintenu e dr oitur eetcaritet	-⌫|-⌫-------⌫|--⌫-----⌫|-|------|
Etu iersl orproism es	-|-⌫---|-⌫-|------⌫-|
parbonefoit er ret	--|---|---|--⌫--|
Ckiltroueront le	---|--------|-|
postic aornet	-----|-----|
Etleportier del ourir	-|-|------|-||----|
apr iestet	---⌫-----|
liautreiérent	-|----|------|
en susbotet	-|--|----|
Et asdiab lesenlor	-|-|----⌫--|-|--|
mains deliuret.	----|--------|
France puchiel eormelaissiésf u ir	-----|-------⌫|-|-|--------|-⌫-⌫-|
Siuos ira icon quierre etdes ieruir	-|--|---⌫|---⌫------|-|---⌫-----|
Chelegrantglore kine	----|----|----|-|-|
puetdefinir	---|------|
Oucausn efro is ne	-|---|-⌫|---⌫-|-|
nos porasuir	--|---|---|
Pageu0 1P288	------⌫----|
Nefa insne soisn e nule	-|--⌫--|-|---|-⌫|---|
r iensnuisir	-⌫---|-----|
L ate feraide	-⌫|-|----|-|
telconroituiestir	--|------|------|
eaig e sne por a	----⌫-⌫|-|---⌫|
Ne le ́reenmbl er n erobére	-|--⌫--|-----⌫-|-⌫|------|
si totlorplaisir	-|--|--|------|
Nushomkisoit nelor puet	--|--|-|---|-|--|---|
rientolir .	---|-----⌫|
Gentiuspuch ielecarme lai ssie ́saler	------|----⌫---|--|-|---⌫----⌫-|---|
Siuosiraiconquierre et	-|--|---|---------|-|
Cheleg r antgoieki	----|-⌫-⌫--|---|-|
nepuet tresaler	-|---|-------|
S oschi elneslboce kile saceconte r	-⌫-|---⌫-||--|---|-|-|---|-----⌫|
