qui mul tdolenz en	--|---⌫|-----|-|
uoloietot esceschose s conter e t	-----|---⌫-|--|-----⌫|-----|-⌫|
di reliliures	--⌫-|-|-----|
en seroitt rop	-|-----|-⌫--|
et la mati ereheparqua ntesfoiz	-|-|----⌫--|-|--|---⌫---|---|
b ellesdamoisel es totesnues	-⌫----|--------⌫-|----|---|
li apparurentlaou	-|---------|-|-|
ilg i soi t	-|-⌫-⌫---⌫|
et ce er t lideablese ncel sem blance	-|-|--⌫|-|------|-⌫|--|---⌫-----|
quantesfoizbelles uiandes li	------|---|-----|------|-|
apparurent d eua ntlaoufamin e	---------|-⌫---⌫-|-|-|-----⌫|
lodestra ignoi talafieiel i	-|------⌫-----⌫||-|----|-⌫|
coroient le u deuantla	-------|--⌫|-----|-|
eno roisons ethulloi entet wolp ils	-|-⌫------|-|------⌫--|-|----⌫--|
trespassoientdeua ntlui e ta la	------------|----⌫-|--|-⌫||-|
feieli sembloit que	---|-|-------|--|
g enza rmees	-⌫--|-⌫----|
seconb atissent deuant	-|----⌫-------|-----|
doncu enoitaucunsdeceus	---|-⌫----|-----|-|---|
tozarmez ausi comef eruparmi	--|----|---|---|-⌫--|----|
locorss isembloit	-|---|-⌫|-------|
qu id eus t	-||-⌫---⌫|
mai ntenan tmorirsisela i ssoit	---⌫------⌫|----|-|-|--⌫-⌫----|
maintenantch a ira s piesdo sain thome	---------|--⌫-⌫-|-⌫|---|-|----⌫|---|
etli proiot	-|-|-----|
quil idonast	-|-||-----|
sepult uremesp or	------⌫--|--|-⌫-|
cenelaissoit	-|-|-------|
sainziouenciaus s esoroiso ns	----|---------|-⌫-|------⌫-|
a faireainzau oi t	|----|---|--⌫--⌫|
adess achiere	---|-⌫|-----|
fichieuers terreetqua nt	-----|---|----|-|---⌫-|
quesapenseelitrestornoitpar	--|-|-----|-|----------|--|
auentureaautrechosesicomil	-------||----|----|-|--|-|
auientma i ntefo izaua ntil	-----|--⌫-⌫--|--⌫-|---⌫-|-|
s a i lloitsu setacoilloit	-⌫-⌫-⌫----|--⌫|-|--------|
quisefai soitm ala des etsilo	--|-|---⌫---|-⌫---⌫--|-|-|-|
b atoitdes	-⌫----|--|
mu ltdurement tan tquecil s	--⌫-|-------|---⌫---|--||
esuenoissoitetli autre au si	-----------|-|-|----|--⌫-|
il est oi t deliure s	-|---⌫--⌫|-------⌫|
ainsiesto it libo nsiouenciaus	----|----⌫-|-|--⌫-|---------|
tem p tezdeldiab les parplusors	---⌫-⌫--|--|----⌫--|--|------|
manieresend iuer ses formeset bien	-------|-|-⌫----⌫--|-----|-|---|
sachi ezq uetreslosez ime an	-----⌫-|-⌫-|---|-|---⌫--|-|
iusq uauuin tisme soffriilles	----⌫|-|---⌫----|-----|-|--|
cha lorset	---⌫---|-|
l esf roidure set pl uies	-⌫-|-⌫-------⌫|-|--⌫---|
u enoient enu ne c haut equ	-⌫------|-|-⌫-|-⌫----⌫|-|
a uoit faitedeionsetpuisap res	-⌫---|----|-|---|-|---|--⌫--|
au uenti es me an f istilune	-|-----⌫--⌫-|-|-⌫--|-|--|
c ellequiiusqueahui	-⌫---|--|-----||--|
d ureencore encelmeismeleucele	-⌫--|-----|-|--|-----|--|---|
cell eotpiezdelarge etyyde	----⌫|-|---|-|----|-|-|-|
painesipooit il	----|||----|-|
dr ecier etunpoi	--⌫----|-|-|--|
e stoitplu s	-⌫----|---⌫|
longueetseuosla ueissiez	-----|-|-|--|-|-------|
elle uos semb la stmielz s e pulture	---|--|----⌫--⌫-|----|-⌫-⌫------|
quemaisonceleneni	--|---------|-|||
iut un ques	--|--⌫---|
iusquasamortsesorun lit	----||-|---|-|--|-|--|
faitdei on s a la pureterreet	---|-|-⌫--⌫||-|---|----|-|
solemen tlauesteureque sainz	-------⌫|-|-------|--|----|
anthoineli auoitdoneene	-------|-|----|----|-|
il unques puis quarbiendis oit	-|-----|---|---|---|---⌫--|
que hairene d euoitmie estre	--|----|-|-⌫----|--|----|
saintesescritures	------|---------|
il ensamemo ir eet	-|-|-|----⌫--⌫|-|
en s a p ensee et	-|-⌫|-⌫----|-|
quantilauoit faite ssesoroisons	----|-|----|-----⌫|--|-------|
uerseilloitsespsalmes	----------|--|------|
tot ausi co nmesenostre si re	--|---|--⌫--|-|-----|--⌫-|
fust ensapresence por ce que	---|-|-|-------|--|-|--|
longuechose seroit de totess es	-----|----|-----|-|----|-⌫-|
r acont ersicom elesauindre n t ie	-⌫-----⌫-|-|--|---|-------⌫-⌫|-|
uosencont erai	--|-|----⌫---|
siquec il qu i reten dra porra	-|--|-⌫-|--⌫|-----⌫--|----|
reteni rselui plais t	------⌫|-|--|-----⌫|
a ucunbie naa prenre	-⌫---|---⌫||-⌫-----|
apr e scequeliiouenciausot yyan	---⌫-⌫|-|--|-|---------|-|-|-|
iusqueauuintesisim eanne	-----|-|----------⌫|-|-|
me n i ail en yy	--⌫-⌫-⌫|-|-|-|
anzdeces yyans	--|-|--|-|--|
de mi setier de	--⌫-|-----|-|
fari ne don til	----⌫-|---⌫|-|
faisoitpoul mentetes autr esyy anz	------|----⌫---|-|-|----⌫-|-|--|
nemeni a il sepain sec	-|----⌫|-|-|---|--|
etsel e taigueett reslauintese ptisme	-|--|-⌫|----|-|-⌫--|-|-------⌫-----|
an iusqu a ansosti ntilsauie	-|----||-|-----⌫-|-|-|--|
derbesetderacines	|----|-|-|------|
et tr esloan	-|--⌫-|-|-|
iusquatantqu il e n	----|------|-|-⌫|
ne menia il	-|----|-|
ior que yy	--|--|-|
u ncespesanz	-⌫---|-----|
de pai n dorge	-|---⌫||---|
er bescuitesenmen i erede p orree	--⌫--|-----|-|---⌫-⌫--|-|-⌫----|
ets anzoile	-|-⌫--|---|
adoncsent i	----|----⌫|
ses ia uz li o sc urisoientet	--|--⌫-|-|-⌫--⌫--------|-|
sescors co nme ncaaes tre	--|---|--⌫---⌫--||--⌫--|
d estrai nzparunemaladiedo nt	-⌫------⌫-|--|--|------|--⌫-|
mistiloi leen	---|-|--⌫-|-|
luir econforteretporsoncors	--|-⌫---------|-|--|--|---|
s oste nirai n si t respassailiu squ	-⌫----⌫--|--⌫-⌫-|-⌫-------|-|--⌫--|
an u nques	-|-⌫----|
nimeni adefrui tnede	||----⌫|-|----⌫|-|-|
poulmentned autresde	-------|-||-----|-|
chose sse dece n on queieuos ai	-----⌫|-|-|-|-⌫-|--|-|--|-|
ditt antsolement	--|-⌫--|-------|
ses corsestoit	--|---|-----|
auq ues afeblizpar u ielles ce et	---⌫--|------|--|-⌫------⌫-|-|
que li morzl ap rocho it	--|-|---||--⌫-----⌫-|
sembloit se ti n tiliusqu	-------|-|--⌫-⌫|-|----|
atantqu ilot octante a nz	------|-|-|------|-⌫-|
ce sunt yy	-|---|-|
anzquonquesde	--|-|-----|-|
pain ne gos ta	---|-|---⌫-|
quaradoncestoit ensi	---|----|-----|-|-|
pens eeconsilu enist doncprimes	----⌫-|--||-|-⌫----|---|-----|
esouresnostresei gno r	-|----|-----|---⌫---⌫|
me nioit dune uiande de	--⌫----||--|-----|-|
l ifaisoitetd erb esta illi es	-⌫|------|-||---⌫-|--⌫----⌫-|
ens embleet	---⌫----|-|
ent resonboiuree t son	---⌫-|--|-----|-⌫|--|
mengier au oitasezescha rsementlo	------|--⌫--|---|-----⌫------|-|
ence s temanier e	-|--⌫-⌫-|------⌫|
uietotson aagen e unquesne	--|--|--|---|-⌫|-----|-|
ie uneneis enior	--⌫--|---|-|--|
defestenepor	-|----|-|--|
gr euancequileust	--⌫-----|-|-|---|
netrespassa q uilunques	-|--------|-⌫|-|-----|
meniastdeuan t	------|-----⌫|
cequesolauzert	-|--|-----|--|
chochiezmes orsl aironsde	-------|--|--|-⌫-----|-|
ce ester si reuen drons au	-|----|-|-----⌫----|-|
c omenceme ntde	-⌫--------⌫-|-|
lamat ere e t d esa	-|---⌫--|-⌫|-⌫|-|
quant liiouenciaus abito itencore	----|-|---------|-----⌫-|-----|
enlachaute	-|-|-----|
toissu ed ontie uosai deuant	------⌫|-⌫--|-|--|-|-----|
na uoitd aage queyyanz	|-⌫---||---|--|-|--|
siuinrent larron sune	-|------|------⌫|--|
ilcuidoi ent	-|------⌫--|
qu il eustaucune	-|-|---|-----|
chosequil li	----|-|-|-|
peusse n t to lirou	------⌫-⌫|--⌫--|-|
cuido ient queliioue nciaus	-----⌫---|--|-|----⌫-----|
fus tuenuzillue cabiters i	---⌫|----|-----⌫|-----|-⌫|
seuleme nt	-------⌫-|
en lordespitetqu iln eustdel s	-|--|-----|-|-|-||---||--⌫|
criemene do te porc ele	-----|-|--⌫-|--|-⌫|-|
conmencie rentlilarron a que rre	---------⌫---|-|-----||---⌫--|
par totentrela mer	--|--|----|-|--|
paluq uien	---|-⌫-|-|
ladesertineestoittres	-|--------|-----|---|
laues pre iusqu	-|---⌫--|----|
n eleporent trouer quant	-⌫|-|-----|-----|----|
ilfucl ersiorzsilo	-|-|--⌫--|---|-|-|
trouerentt an t ostcomillo	--------|-⌫--⌫-⌫--|--|-|-|
uirent silidemanderentausi	-----|-|-|----------|---|
g eusqu ef e roiestuselarr ons	-⌫--|--⌫|-⌫-⌫----|-|-|----⌫--|
uenoient atoilis ainz	-------||--|-|-⌫---|
i ouenciaus	-⌫--------|
lorrespondi etdist	--|-------|-|---|
nuz estetr ienn	--|--|-|-⌫--||
cri ent pas quelarronsl	---⌫--|--|--|------||
assa illentl i	----⌫-----|-⌫|
s e tun as n ulechos esneporqu ant	-⌫|-||-|-⌫--|----⌫-|-------⌫--|
te p orroitlen bienocire	-|-⌫-----|--|---|----|
sainzylariensl or	----|-------|-⌫-|
uoirementme	--------|-|
po rroientli larron	--⌫------|-|-----|
lecriengie	-|-----|-|
suitote ns	--|----⌫-|
a p pareliezd e	-⌫-⌫-------|-⌫|
morirdontse	----|---|-|
m e rueill e rentlila rron multde la	-⌫-⌫------⌫-⌫---|-|--⌫---|---|-|-|
grant seur te qu	----|----⌫-|-|
ilauoi tenlu iet	-|----⌫|-|--⌫|-|
dela grant foiqui	-|-|----|--|-||
enluietentendirente liouence lsi	-|--|-|----------|-⌫|-------⌫|-|
li dis se ntqu	-|---⌫--⌫-|-|
il lauoient	-||------|
totelanuit	---|-|---|
quisetquetro uerne	---|-|--|---⌫--|-|
pooientsiestoientauogle	------|-|-------|-----|
deloria uzs ainz	-|--|--⌫-|-⌫---|
hilar ien sles	-----⌫---⌫|--|
conmenca adoctriner et a amones ter	-------||--------|-||------⌫--|
quillemallaiss as s enta	-|-|-|--|-----⌫--⌫-⌫--||
sisetenissent	-|-|--------|
encou antque tresdont	-|---⌫--|--|---|---|
a menderoien til loru ie	-⌫----------⌫|-|--|-⌫-|
quant liiouenciausotestéen cel	----|-|---------|-|----|-|--|
leuqu ilotyy	--|-|-|-|-|
anz laren onme e	--|-|---⌫----⌫|
de luifuespanduepartotelacontree	-|--|-|-------|--|---|-|------|
depalestine ado ntu intune	-|--------|---⌫-|-⌫--|--|
f amea luiqui tot pre merainementl	-⌫--||--|--|--|---⌫----------||
ala quer re porce que	--|----⌫-|--|-|--|
ses ba ronslades pisoit qua rensa	--|--⌫---|-|---⌫-----|---⌫|-|-|
comp aignie auoitest éy y anz	----⌫-----|----|---⌫-|-⌫|--|
nefruitnepo oitauoircele	-|----|-|--⌫--|----|---|
uintasaint ylariensetsi	---||----|-------|-|-|
lais s achaoirdeuant	----⌫-⌫|-----|-----|
luiase spiez	--||--⌫|---|
puissili dist	---|-|-|---|
par donemoilohardement que	---⌫---|--|-|--------|--|
ieaifaitdecaue ni rquar	-|-|---|-|-|--⌫--⌫|---|
b esoi gnemiachacie	-⌫----⌫--||||-----|
sainz ylariens nelar eg a rdamie	----|-------|-|-|-⌫--⌫-⌫--|--|
ainzsen u olttorneretfuir	---||-|-⌫--|-----|-|---|
cele lidist	---|-|---|
biaussireporquoi	----|---|--|---|
neme regardes	-|-|-------|
po rquoiueustufuir	--⌫|---|---|-|---|
m e rcitec riene mereg a rde	-⌫-⌫--|-|-⌫--|-|-|---⌫-⌫--|
mie conm efame mesconmechai tiue	--|----⌫|---|--|----|----⌫---|
nonporquan t fame doit	----------⌫|---|---|
lenuolentiersesgarderendroitbien	--|---------|-------|------|---|
porta lo sau eo r	----|-|---⌫--⌫|
mon de cilq ui sain	---⌫-|--|-⌫-|---|
sunt ethaitie ́non	---|-|------⌫||-|
mestier de	------|-|
miresmescilqui	----|--|--|--|
sunt em f ermetmalade	---|--⌫-⌫--|-|-----|
sainzylariensarestaet sili	----|-------|-----|-|-|-|
demandaporquele	------|--|-|--|
oquoison etporquoi eleestoit	-------|-|--|---|--|-----|
uenue celel icontaet	----|---|-⌫|----|-|
dist si con	---|-|--|
uos lauezoi arriere	--||---|-|------|
sainzylari en s regarda	----|-----⌫--⌫|------|
uerslocielsifistuersloci el s	---|-|---|-|---|---|-|--⌫-||
o roisonpuis sidistalafeme	-⌫-----|---|-|---||-|---|
qu e les en ra las tarrie reet	-|-⌫-||-|--⌫---⌫|-----⌫-|-|
no streseignor	--⌫---|------|
fiancecele s en partiet reuint	-----|---||-|----|-|-----|
asonbaronetfurent	|--|----|-|-----|
ensembleq an tuintauchief	-------|-⌫--⌫|---|-|----|
ot fru itele reuint	-|---⌫-|--|-----|
a sa intyl ar i ensatotun filquenostre	|--⌫--|--⌫--⌫-⌫--|---|-|--|--|-----|
sire li auo it	---|-|---⌫-|
don e ́par	---⌫-⌫|--|
lesproie res des ain thomeetele	--|-----⌫--|-|-⌫---⌫|---|-|--|
estoit multioiose et	-----|---|-----|-|
fulopre mier miraclequ e	-|-|---⌫---|------|--⌫|
no stres irefist	--⌫---|-⌫--|---|
porlosaint iou encel qui fust	--|-|----|---⌫----|--|---|
apresaui nten celtensqueli	----|---⌫-|-|--|---|--|-|
unhauthommereu enoit	-|---|----|---⌫----|
iorentrelietsonbaronett rois	--|----|-|-|--|----|-|-⌫---|
e l ea uoit	-⌫-⌫|-⌫---|
de monseignorsainz an thoinesqui	-|--|------|----|--⌫------|--|
habitoite nl ermitage	-------|-⌫||-------|
quant l adame ui nt	----|-⌫|---|--⌫-|
a lacite degase	|-|---|-|---|
unemultgra ntenfermet ez	--|---|---⌫-|--------⌫-|
prista se s	----||--⌫|
anfanzparqu el e	-----|--|-|--⌫|
co uint d emorer enlauile	--⌫---|-⌫-----|-|-|---|
lamaladiepristas	-|------|----|-|
enf anz porl a cor ruption	---⌫--|--|-⌫|---⌫------|
del ai rdelacite ouporce	-||--⌫|-|-|---|-|--|-|
s ire uoloitdemostrer	-⌫--|-----|--------|
lag loiresainzhylairens sons erfdon	-|-⌫----|----|--------|--|-⌫--|--|
uosporrezaua ntoirlueure	--|-----|---⌫-|--||----|
etentend reli anfantestoie nt s i	-|------⌫-|-|-----|------⌫-|-⌫|
malade que tuitlimire	-----|--|---|-|---|
quiaeusu en oient	--||--|-⌫--⌫----|
desesperoient	------------|
lopereetlame re	-|---|-|-|--⌫-|
l a meredemenoi tg rantc riet	-⌫|---|-------⌫|-⌫---|-⌫-|-|
aloi talun	----⌫|||-|
sauoitloquel	-----|-|---|
el led euoitpremiers	--⌫-|-⌫----|-------|
doloserne p laindretant	------|-|-⌫------|---|
gran tdolor que n onc iél i	----⌫|----|--|-⌫---⌫--|-⌫|
et ditqunssa inzhom	-|--||--|--⌫--|--|
es toithabitoit toz	--⌫---|-------|--|
seuspresdiluecen	---|---||----|-|
l e rmitage l a	|-⌫------|-⌫|
de me p rist maintenan t	--⌫-|-⌫---|---------⌫|
s erianzet mesch ineset	-⌫-----|-|-----⌫---|-|
sahaute conpaigni e q u eleauoit	-|----|---------⌫|-⌫|--|----|
conrichedamequ e le	--|----|---|-|-⌫-|
che ualiersnedam es p or la	---⌫------|-|---⌫-|-⌫-|-|
granthaste qu	----|----|-|
a uoitsise	-⌫---|-|-|
mista la u oieeta grantmales	---||-|-⌫--|-||----|----|
p ai nn e s lienortatant	-⌫--⌫--⌫-⌫|-|-----|---|
se sbarons	--⌫|-----|
quelemon ta susunasne	-|--|---⌫-|--|-|---|
trauail d elalongue	------|-⌫|-|-----|
dameala tantqueleuint	---|--|-----|--|---|
a sain tylarienqui encor estoit	|----⌫|------|--|----|-----|
adoncmultionesdaage e t	----|---|----||---|-⌫|
quantel elouit	----|--⌫|-|--|
homede ieteconiur	---|-|-|-|-----|
cri stnostre seignor	---⌫-|-----|------|
s ain tecr oiz ou ilfu miset parlo	-⌫---⌫-|--⌫--|-|-|-|--|-|--|-|
sancqu id elui f u espandu z	---|--⌫|-⌫|--|-⌫|-------⌫|
q ue tute n	-⌫-|-||-⌫|
u eign esa gaseet si m e	-⌫----⌫-||---|-|-|-⌫|
re nt me s troisfilz	--⌫-|--⌫|----|---|
parcesoi tlinons	--|-|---⌫|-|---|
no s trese ignor	--⌫-⌫--|--⌫----|
losalueordetotli monde	-|------|-|--|-|----|
glorifiezenla	--------|-|-|
cit edes paie nsetlor	---⌫|--|----⌫-|-|--|
soit tenu e ui ls	---|----⌫|--⌫-|
et abatuesainz ylariesdista la	-|-----|----|------|---||-|
demequilner tun ques	---|-|-||--⌫|--⌫---|
f orsdesa ce llepuisqu	-⌫--|-|-|--⌫--|-----|
premie rementneorsnen	------⌫-----|-|--||-|
is troitilmiequaril ne u olo it	--⌫----|-|--|---|-|-|-⌫---⌫-|
mieauoiracostumequei l alast	--|----||------|--|-⌫|----|
alaciteneauilemeesmementdetel	|-|---|-||---|---------|-|--|
c ho s equantl ademeoice	-⌫--⌫-⌫|----|-⌫|---|-|-|
se laiss achaoira sespiezsi	-|-----⌫|-----||--|---|-|
conmencaa c rier multhau tementet	-------||-⌫---|---|---⌫-----|-|
adir eylariensersihe sucrist	|---⌫|------|---|---⌫-|----|
rent m oi m es	---|-⌫-|-⌫-|
anfa nz etasi	----⌫-|-|--|
ontestégardéparsaint	--|----|-----|--|----|
anthoi neen egypte ouil	------⌫-|-|-----|-|-|
demoréensemble l uiausiso ient	------|-------|-⌫-|---|--⌫---|
i lpa rtoigar déenlaterre	-⌫|--⌫|--|---⌫--|-|-|----|
out uabi testuit	-|-⌫|---⌫--|---|
estoientoula dame parloit	-------|-|-|---|------|
ploroient etsainzylaries	--------|-|----|------|
pl oroitporl a pitie delad emeque	--⌫----|--|-⌫|----|-|-|-⌫--|--|
diroie ieplus unquesla damenese	-----|-|---|-----|-|---|-|-|
uoltpartir	---|-----|
iusqu esa tantquilli otencouent	-----⌫-|-⌫-----|-|-|-|-|-----|
quantlisoleuz ser oit	----|-|-----|---⌫--|
esconsezquili iroitagase et	-------|-|-||----||---|-|
en treroi t dedenz la	--⌫------⌫|-----|-|
uilelade me	---|-|--⌫-|
semparti etretorna arriere	|-|----|-|------|------|
sainzylaireslasiui	----|------|-|---|
ta ntquil al anuitier entra	--⌫---|-|||-------|----|
ui lesiu in tlaouliaf ant	--⌫-|-|-⌫--⌫|-|-|-|--⌫--|
gysoi entsil escon mencaa	-----⌫--|-|-⌫-|---⌫----||
esgarderetnost reseignor aa peler	-------|-|----⌫-|------||-⌫----|
dolcement qui l	--------|-|-⌫|
parsam iseri corde	--|-|-⌫-----⌫----|
dai gnast a	---⌫----||
ce stro is anf an z	--⌫|---⌫-|---⌫--⌫|
re ndesanteselu iplais soit	--⌫--|----|-|--⌫|-----⌫---|
or poezuo s oirgrantmiracleet	-|---|--⌫|--|----|------|-|
gr antmer uoil le quar	--⌫--|---⌫----⌫-|---|
conmencierenttuit tr oi as uer	------------|---|--⌫-||-⌫--|
sidurement tantostcomli	-|-------|------|--|-|
sainzhomot porelsproiéa nostre	----|--|-|--|--|-----||-----|
seignorcom	------|--|
sonloreust	|-|--|---|
aigue sorlocors e t so rl es	----|--|-|---|-⌫|--⌫|-⌫-|
gitee plaine men t en	----|------⌫---⌫|-|
meisme hore co nmencierentil	-----|---|--⌫----------|-|
mengiercequ il fai tna uoient	------|-|-|-|---⌫||-⌫-----|
engrantpieceet sirequenir r ent	-|----|----|-|-|--------⌫-⌫--|
lor merequi gran t d olorme noit	--|---|--|----⌫|-⌫---|--⌫---|
i lbeneirentn ostre s eig noret	-⌫|--------|-⌫----|-⌫---⌫--|-|
bais ierentmultdoce mentlesmains	----⌫-----|---|----⌫---|--|----|
d elsaint homeparcuiproie resil	-⌫-|----|---|--|--|-----⌫--|-|
auoie nt santere c eue	-----⌫-|----|--⌫-⌫--|
quan tceste	----⌫|----|
chose fuueueetoi eetloing et pre s	----|-|---|-|--⌫|-|----|-|---⌫|
par totela cont reelipluso r	--|---|-|----⌫--|-|-----⌫|
delaterre des yreconmencierent a	-|-|----|-|-⌫--|------------||
sai nthylariemet deuenoie n t	---⌫-|-------|-|--------⌫-⌫|
crestienetlip lus ore n	-------|-|-|-⌫---⌫-|-⌫|
prendoientabitdemoinepor	---------|---|-|----|--|
en se mbleluien lerm itageencel	--⌫--⌫---|--|-||---⌫----|-|--|
te mpore adoncna uoitunq ues	--⌫----|----||-⌫---|---⌫--|
aueabai eenla c ontree de	--|----⌫|-|-|-⌫-----|-|
palestinene	--------|-|
moin e ses aint y lariensnom en	----⌫|-|-⌫---|-⌫------|--|-|
terrede syremessa inzylarie s	----|-|---|--|--⌫--|------⌫|
les ydoctrin a etaprist	--||-------⌫|-|-----|
etfisttant parl	-|---|---|--||
n ostres eig norquimult iotdes	-⌫----|-⌫---⌫--|--|---||-|--|
homesetl aloi	----|-|-⌫|--|
nostreseig nor	-----|----⌫--|
cr ure ntmultsaintem enttantcomil	--⌫---⌫-|---|-------⌫--|---|--|-|
nesquirent	---------|
enegy pteauoit nostresire adont	-|---⌫--|----|-----|---|----|
sa inzanthoinequimultuiauz	--⌫--|-------|--|---|----|
e sto itetde grantaa ge	-⌫---⌫-|-|-|----|--⌫-|
terre de pa lestineauoit	----|-|--⌫------|----|
ylariens sicomieu osai	-------|-|--|-|-⌫-|-|
u ilet eest o it enceltens	-⌫----⌫|---⌫-⌫-|-|--|---|
entrelaterred egy pte	----|-|----||---⌫--|
etlac ont ree de	-|-|-⌫---⌫--|-|
syrefacideestoi t	---|-----|-----⌫|
unef a m equiauoit	--|-⌫-⌫-⌫|--|----|
est é yy anz	---⌫-|-|--|
aueugle cel e	------|---⌫|
fuameneeas ain tyla riensaint	-|-----||-⌫---⌫|---⌫---|----|
ylari ensauoi t adont	-----⌫--|----⌫|----|
e ns embleluimu lt demoinesqui ala	-⌫--⌫----|--|--⌫-|-|-----|--||-|
nos treseignor sestoient	---⌫--|------||-------|
s ih ai oient abitde	-⌫|-⌫--⌫----|---|-|
moniage quant	------|----|
uint deuant	---|-----|
losain t homee le	-|----⌫|---|-⌫-|
l idis t qu	-⌫|---⌫|-|
auoittot so n a uoierdespendu en	----|--|--⌫|-⌫----|-------|-|
mires porcequelec uid oitq u i lli	----|--|-|-|--|-⌫---⌫--|-⌫|-⌫|-|
deussentaid ier sainzylay res	-------|---⌫--|----|----⌫--|
lirespondie tdist	-|-------|-⌫|---|
eussesdon éaupour es	-----|---⌫-|-|----⌫-|
asd espendu	-|-⌫------|
e tdonéau	-⌫|----|-|
m iresihesucristli ueraismires	-⌫---|----|----|-|-----|----|
taust saneeet	|---|----|-|
