troueela pucele	-----|-|-----|
ainsq ueli ma t ere fenisse	-----⌫-|-|--⌫-⌫--|------|
por ésoirconfaite m ent	---⌫--|--|--------⌫-⌫--|
entramer ent lo ia ument	--------⌫--|--⌫--⌫----|
fenic hecligettantama	-----⌫-|-----|---|--|
ca inchomefemetant nama	|-⌫--|---|---|---||--|
bien iparutcai nc tant	---||----||--⌫-|---|
ne ut nule femepora mer	|-⌫-|---|---|--|-⌫--|
n epooientestreasei our	-⌫|------|----||---⌫--|
po rparlerpernuit	--⌫|-----|--|---|
fenissecu iboneamo rmort	------|--⌫|---|---⌫|---|
fistausi queseustlamo rt	---|---|--||---|-|--⌫-|
s estlasseclamee	|--|----|-----|
ate re es tkaue pasmee	|--⌫-|--⌫|---|-----|
aincporbatren e	---|--|----|-⌫|
porconfo ndre	--|-----⌫---|
neporlepl onc c onli fist	-|--|-|--⌫--||-|-|---|
espaumes nusn esapercut	-|-----|--|-⌫||------|
queuiuefustsi les	--|---|---|-|--|
ce lequiblancefucon laine	--⌫-|--|-----|-|--|----|
onn isentne nealaine	-|||---|-|-|-----|
porteee n fu e miseaterre	-----|-⌫|-||---||----|
ra conte li	--⌫----|-|
queclige squibienlengiensot	--|-----⌫|--|---||-----|--|
quil neut lecuerni cen esot	-|-||--|-|---|--⌫-|-⌫|--|
cuiquilenp oistne cui	--|-|-|-|-⌫---|-|--|
lestalésdesfouirparnuit	|--|----|-------|--|---|
trueuegra ntioieot	-----|---⌫-|---|-|
e eleausiquantele	|--|---|----|--|
touterespasee	----|-------|
sagrant dolor pasee	-|----|----|----|
diusquitousmaus	---|--|---|---|
f ait respaser	-⌫--|-------|
nosot roitsib ientrespaser	--|--⌫---|-|-⌫--|--------|
lieusoions	---|-----|
ouila mi s	-|-||--⌫|
sesamie s e ses amis	--|----⌫||--|---|
sacent cilde lo inge de	-----|--|-|--⌫--||-|
par o led er ecede nide	---⌫-⌫-||--⌫-|||-⌫---|
i l neut sibel edusqueen inde	-⌫||--|-|---⌫|-----|-|---|
si bo nesiumlesinoble	-|--⌫-|-|---|-|----|
nauoi t dusquen c ostantinoble	|----⌫|----|-|-⌫-----------|
lapucele c orto ise	-|-----|-⌫----⌫--|
ne fumiede gran t para g e	-|-|--|-|----⌫|----⌫-⌫|
ses peresfudafai re gent	--|----|-||----⌫-|---|
il notenfrancene	-||-|-|-----|-|
a r t o is	-⌫-⌫-⌫-⌫-|
nepluslarg ene	-|---|----⌫|-|
plu scort oi s	---⌫|----⌫--⌫|
eustla mai no umetre	---|-|---⌫|-⌫|----|
i lses eu st	-⌫|-|-⌫--⌫-|
bienent remetre	---|---⌫------|
decortois ieed on orfaire	-|-------⌫-|||--⌫-|----|
con cilqui fu debon afaire	--|--|--|-|-|--|-----|
bonte deluauasor	----|--|------|
erecsafil le aoisor	---|-|---⌫-||----|
n equedentilfu fiexderoi	-⌫-------|-|-|---|-|--|
maisamorqui prent a	---|---|--|----||
les sienslif istla bele	--|----|-|-⌫--|-|---|
presistnul auoi r	------|--|----⌫|
e recfudebonenature	-⌫--|-|-|---|-----|
ilacie uamainteauen ture	-|----⌫-|-----|----⌫---|
ereclapucele rescou st	---|-|-----|------⌫-|
maisdeso nsanci	---|-|--⌫|---||
mist grantcost	---|----|---|
ornosdoi n st diussibienrescore	-|--|---⌫-⌫-|---|-|---|------|
e desed ouce amorresc ousre	|-|-|-⌫---|---|----⌫----|
kenparadis s oit	|-|------|-⌫--|
qua ntl imors no saradesfais	---⌫-|-⌫|---|--⌫|--|------|
enlaqu ato rsi mebranq uete	-|-|--⌫---⌫---⌫-|-----⌫---|
un epuantu ielle te	--⌫|----|-⌫-----⌫-|
commen tele sasorilloit	------⌫|--||---------|
enmi lescanssed espouil loit	---|--|---|-|-⌫-------⌫---|
commentlorde uiellek ufarde	------||---|-----|-⌫-----|
se n p uantmusel oint e farde	--⌫|-⌫---|----|---||----|
co mm e nt liescuierspasa	--⌫--⌫-⌫-|-|-------|---|
deua ntlilauielle pasa	----⌫-|-|-|-----|---|
auan tapreslescuier	----⌫|----||------|
de ret orn er	-|---⌫---⌫-|
l etintmou lt cort	-⌫|---|---⌫-|---|
lies cuiersadesala	-|--⌫-----|---|--|
eli uieletesieui l	|-|------|----||
dusquau n epetite	----||-⌫-⌫|-----|
queuo l ésuosdame u iellete	--|--⌫-⌫--|--|---|-⌫------|
f aitliescuie rs enr i ant	-⌫--|-|------⌫-|-|-⌫-⌫--|
m iré suos wi mais	|----⌫|--|-|---|
mesdous enfensor mescoutés	--|---|-----|-||--------|
ie uos prique uosme	-|--|--|--|--|-|
siferésmo ultflorie amosne	-|-----|--⌫--|-----|-----|
par celuiqu isout ientle	--|----|--⌫|----⌫---|-|
ordeputeuie ll e me sele	---|---|---⌫--⌫|--⌫---|
en fautneuosesceruele	-|---|-|--|--------|
nonfere ́s sim arésfoutue	--|----⌫-|-||----|-----|
lord euielletant	|---⌫|-----|---|
sesu e rtue	|---⌫-⌫---|
q uimoultauoit	-⌫-|----|----|
les piau s	--|----⌫|
lesc uierpristpar	|---⌫---|----|--|
les drapiaus	--|-------|
ansdouslegran tdebat	------|-|----⌫|----|
confa itementsora us s enb at	-----⌫------|--|-⌫-||---⌫-|
unscheuali ersde	--|-------⌫--|-|
lac ontre e	-|-⌫-----⌫|
quiceuaucoittoutel es tree	--|--------|----||--⌫---|
s orés commentsor	|----|------|--|
aussareste	--||-----|
kescoufaitila	|-|--|---|-||
kailentreuousa p artir	||-|----|---||-⌫----|
l es cuiersd istnep uispartir	|--⌫-----|-⌫--|-|-⌫--|-----|
ceste orde	----|---|
u i ellede mehouce	-⌫-⌫---|-|-|----|
si mepriequ e	-|-|---|--⌫|
iel efouche	-|-⌫|-----|
biaussireche ualiersilment	----|---|---⌫------|-|---|
me s en fens	--⌫|--⌫---|
est certai nement	--|------⌫-----|
uosme ntés ordeu ielle ame re	--|--⌫----|---|-⌫----|---⌫-|
on quesuoirnef ustesma mere	--⌫---|---|-|-⌫----|-|---|
liceualiers f ormentiura	-|--------|-⌫-----|---|
queleuiellet e f ou ter a	--|-|-------⌫|-⌫--⌫---⌫|
nonferai sir eses fie us sui	--|----|---⌫|--|---⌫-|--|
d onquesuoeilio uque	-⌫-----|----|--⌫|--|
lepo rtésoutreceste i auet e	-|--⌫----|----|----|-⌫----⌫|
liescuie rsprist	-|------⌫-|----|
leu ielle te	-|-⌫-----⌫-|
esraumen tason	--------⌫||--|
outre l en p orte mou ltli	----||-|-⌫---|---⌫-|-|
quantoutreuintius la ru ee	----|----|---|--|||--⌫-|
si ca p auqu ilnel	-|||-⌫-|-|-|-||
puisle comman deasui s deabl es	---|-|------⌫-|-|--⌫|-----⌫-|
l idou speresesperitab les	-⌫|---⌫|----|---------⌫--|
apreslamortol ui nos maint	----|-|---||-⌫-|--|----|
ens ense s	--|-|--⌫|
cieu s laouilmain t	----⌫|-|-|-|----⌫|
lic uin zimebra nque d el liure	-|-⌫---⌫---|---⌫---|-⌫-|----|
par olee demos treadeliure	---⌫--||-----⌫--||------|
delpreuyl leede galeron	--|---|--⌫-||-|------|
ilnotd u sq u	-||-|-⌫-⌫--⌫|
endisnadaron	-|---------|
en galesnulec reature	-|----|---|-⌫------|
q ui fustd esi	-⌫-|---|-⌫|-|
belefaitur e	---|------⌫|
plusuaill ansf emef u	---|-----⌫--|-⌫--|-⌫|
maisamorsles pristdesen	---|----||--⌫----|-|--|
sifor tk amariyll e pri st	-|---⌫|||---|---⌫|---⌫-|
decoi nushom n e	-|--|--|--|-⌫|
soréscommentylles ala	|----|------|----|--|
as tornoisco mli	-|------|--⌫|-|
c omment l	-⌫-----||
c ai nc pu isedine retorna	|--⌫-|--⌫----|-|------|
uers lafem eainsse ndesto rna	---|-|---⌫|---||-⌫|-----⌫--|
porlahontede loeil	--|-|----|-||---|
d e lk ie f	-⌫-⌫|-⌫--⌫|
c reue ́p er grantmeskie f	-⌫----⌫|-⌫-|----|------⌫|
s oréscom mentaromeuint	|----|---⌫---||---|---|
soréscomment	|----|------|
il liauint	-|-|----|
soréscommentfuseneskaus	|----|------|-|--------|
le mpereorylle sfu kaus	|-⌫------|----⌫|-|---|
d esto rs edebata illes faire	|----⌫-||-|----⌫----|----|
conci lqui	--|--⌫|--|
ertde grantafaire	--|-|----|-----|
sorés co mmentl idamoissiaus	|----|--⌫----|-⌫|----------|
qui pl usfuio insqu enuso is s iaus	--|--⌫-|-|--⌫--|--⌫|--|-⌫--⌫-⌫---|
persabonteper saprouech e	--|-|----|--|-|-------⌫|
fu puis mis ensi	-|---|--|-|-|
grant h au teche	----|-⌫--⌫----|
que lemperereen	--||-------|-|
gue r redon	---⌫-⌫----|
liafaitdesa	-||---|-|-|
fille doun	----|---|
comgaler ons	--|-----⌫--|
enc e ior qu ildeutla	-|-⌫|--|-|-|---|-|
espouse rylle retrouua	-------⌫|---|-------|
yll esuers libienseproua	---⌫-|---|-|---|-|----|
carmou ltforment li abeli	--|---⌫-|------|-|----|
quan t gal eronuoitdeua ntli	----⌫|---⌫---|---|----⌫-|-|
sorésc ommen tyllesiura	|----|-⌫-----⌫|----|---|
concilquenso i nule	--|--|-|-|--⌫|---|
iane fer at ele di sfame	-|-|---⌫|-⌫--|--⌫----|
quil prenge au trequesaf ame	-|-|-----|--⌫--|--|-|-⌫--|
s o réscongalerons	|-⌫---|--|-------|
quiplusfu blan c equef le urs dente	--|---|-|----⌫-⌫|--|-⌫--⌫--||---|
douce mentmerc hi li	-----⌫---|----⌫-|-|
le r en geen	-|-⌫--⌫-|-|
siprengelabel e	-|-----|-|---⌫|
destre rendueaicuer	|----|-----|-|---|
sor és commentpe rl aposto le	|--⌫--|------|--⌫||------⌫-|
acroceamitree	|----||----||
fu faite d ausladepart ie	-|----||--|-|------⌫-|
ensifulac osepartie	---|-|-|-⌫--|-----|
ga leronscui licorsdiusaint	--⌫-----|--|-|---|--|----|
fur endu e	-|-⌫----⌫|
lieu moultsaint	---|----|----|
eyllesal afillepris se	|----||-⌫|----|----⌫-|
lem p erao rqu imoult leprisse	|--⌫-⌫----⌫|--⌫|----|-|-----|
or nosuoe lle diu st ant pr issier	-|--|---⌫--|---⌫|-⌫--|--⌫-----|
nos uoelledesp rissier	--|-----|----⌫------|
pornospec hie s apres	--|--|---⌫---⌫|----|
de no uie k	-|-|--||
estend ecours	--|-|-⌫-----|
uousquelliure lire uaurés	---|---|----|---|------|
enla sepzimeb ra nqueorrés	-|-|------|-⌫--⌫---|-----|
par lerd un	---⌫--||-|
cl erc d egr ant reno n	--⌫--|-⌫|--⌫--|----⌫|
the op hilus auoitanon	---⌫--⌫----|----||--|
richefudoredepecune	----|-||-||-|-----|
tos t ledesmontaf ortun e	---⌫|-|-------|-⌫-----⌫|
fort uneq uileroetorne	----⌫--|-⌫-|-|--|----|
enpau deuresil ed e sto rne	-|--||---|-|-⌫|-⌫-⌫---⌫--|
queded iul atotdest orné	--|-|-⌫-|||--|----⌫----|
tan tl afortunetostt orné	---⌫|||------|---|-⌫----|
queil fista n	--|-|---|-⌫|
certesiln ot pas le cuer	-----|-||-|--|-|---|
or rescoutéscon grantmeskief	-|---------|--|----|------|
del sancmeismedesenkief	--|---|-----|-|--|---|
escristlec artre	------|-|-⌫----|
edounaaumauais kael	|----|-|-----|---|
ensigr antpouretekai	-|-|--⌫--|------|--|
que diu esessainsen ha i	--|--||--|----|-|--⌫|
si fu kauen d esperanche	-|-|--|-|-⌫---------|
qu ediu maudiste sac r eanche	--⌫|--|------||-|-⌫-⌫-----|
e nortp ecietsi sen oia	-⌫|--|-⌫----|-|-|-⌫--|
quele c ors diu en	--|-|-⌫--|--|-|
maisainc samererenoii er	---|---|-|---|------⌫-|
ne u autan coissalast noier	-|-⌫--|--⌫---||----|----|
la tresdouceuir ge pucele	-|---|----|---⌫-|-----|
quide diuestmere eancele	--|-|--|--|---||-----|
carancois que	--|------⌫--|
l eustencele	|---|-|---|
l auoitsurtoteriensamee	|----|--|---|----|---|
edameeami e	|---||---⌫|
engranth autece fu	-|----|-⌫-----|-|
cil quidedi u se fudemis	--|--|-|--⌫|-|-|----|
sauieu z ae nsi lonctan s	-|--|-⌫-⌫|-⌫|-|---|---⌫|
decou nesui ioupas m e n tans	-|--|-|--|--|--|-⌫-⌫-⌫---|
deu antune	---⌫--|--|
be le capel e	--⌫-|-----⌫|
conde l amere di uapele	|-|-|-⌫|---|--⌫|----|
the op hilusun ior passa	---⌫--⌫----|-|--|----|
quimo ultfo rten soncuerpensa	--|--⌫--|--⌫-|-|--|---|----|
l icapele te si st as	-⌫|------⌫-|--⌫-|-|
theophilusoi les	---------|-|--|
canterdelamere diu	-----|-|-|---|--|
teusrepent a n ceaucuer li toce	---|------⌫-⌫-⌫-|-|---|-|---|
et espites q ui l	|-⌫-|----|-⌫|-⌫|
aureleue rlass eclama	-|------⌫|--|-⌫|----|
s uiio u de uenus	-⌫-|--⌫|--⌫----|
deuan tl im a geenest	-----⌫||--⌫-⌫-|-|--|
al u ecfutanta or issons	--⌫-⌫-|-|---||--⌫-----|
ag enillonssi conliss ons	|-⌫-------|-|--|----⌫--|
queladame qui to t r aco rde	--|-|---|--|--⌫|-⌫---⌫--|
persadoucemiss ericorde	--|-|----|----⌫-------|
sacar tre iluec liraporta	-|---⌫--|----|-|------|
enliseru ir gr ant d e porta	-|-|----⌫-|--⌫--|-⌫-⌫---||
eleracordaa son fil	|-|------||--|--|
ensilede liuradescil	---|-|--⌫----||----|
s oré scomment li	|----⌫|------|-|
lemi racleneutpa s	-|--⌫----||--|--⌫|
theophil uso	--------⌫-||
soien maine	--|-|----|
theophilusgaran tenmaine	---------|-----⌫|-|----|
liueskescuilicorsdi u saint	-|-----|--|-|---|--⌫|----|
preechalemi racle saint	------|-|--⌫----|----|
sorés commenttheoph ilus	|----|------|------⌫---|
qui de pechi e fuasolus	--|-|-----⌫|-|-----|
apres cou rendi ame	----|--|----|--|
diucx lenp ortae nostred ame	----||-|-⌫---||-----|-⌫--|
apresla mort dius	----|-|---|---|
nos enport	--|-|---|
e s cieusoutantadedeport	-⌫|----|-|---||-|-----|
cesteb ranquedises epti me	----|-⌫-----|-----⌫----⌫-|
parolee demostreperrime	-----||-------|--|---|
damadasede beleydone	|-----||-|---|----|
dusquesen calidone	------|-|-------|
fem edenulplusnoble	---⌫|-|--|---|----|
amadas maintcruelest or	-----|----|----|---⌫-|
furniemainteg rantbatail le	----||-----|-⌫---|------⌫-|
a les pe ed acierqui	||--⌫--⌫||----|--|
hardisenonamoreus fu	-----||--|------|-|
l es pristdesenfu	|--⌫----|-|--|-|
siky do ne	-||-⌫--⌫-|
enloramorn o t	-|--|---||-⌫|
ainssentramerentloiament	---||----------|-------|
sansuil enie l on gement	---|---⌫---|-⌫--⌫-----|
puisorésconlidamoisiaus	---|----|--|-|---------|
casar mese rtioinsconoisaus	|-|--⌫--|-⌫-|----|--|-----|
auentur e queree nala	-------⌫|----|-⌫|--|
p ai s ecae la	-⌫--⌫||-||-|
apres orésconla p ucele	----|----|--|-|-⌫----|
quiplus ertblan ceque	--|---|--|----⌫-|--|
la beleyd onepr is tmari	-|---|--⌫--|--⌫--⌫|---|
donteleotmo ultle	---|--|-|--⌫--|-|
entruesqueliuasausde	---------|-|-----|-|
estoitale ́s	-----|---⌫-|
quere s en pris	----|-⌫-|---|
apr esorésc on	---⌫-|----|-⌫-|
fai tement	---⌫-----|
ilr euintd untornoiement	-|-⌫----||-|----------|
comm entiloilano uu iele	----⌫--|-|-|-|--⌫--⌫---|
do nt ladol ors	--⌫-|-|---⌫--|
lirenouiele	-|--------|
qu ema rieeestoitlagente	--⌫|--⌫---|-----|-|----|
qui pl usertb lanceque	--|--⌫-|--|-⌫----|--|
florsdente	----||---|
commentisside se nmemore	------|---|-|--⌫|-----|
br aia n t conu ne mandeglo r e	--⌫---⌫-⌫|--|-⌫-|--------⌫-⌫|
senes t alésper lepa i s	|-|--⌫|----|--|-|--⌫-⌫|
dolan seesba his	-----⌫||----⌫--|
soréscon ydo n e la	|----|--|---⌫-⌫|-|
dal eren unpelerina ge	|--⌫-|-|-|--------⌫-|
pr istcongiet po rquer r ea madas	--⌫--|------|--⌫|----⌫-⌫|-⌫----|
ilnotsi preu dusqueab audas	-||-|-|---|-----||-⌫----|
car lapucelemix	--|-|-----|--|
queceluiquemaricla m oit	--|----|--|---|---⌫-⌫--|
ta nt lequist keleletro ua	--⌫-|-|----||--|-|---⌫-|
moult bienen uers lui	----|---|--⌫---|--|
amad asquiseut e stregens	----⌫-|--|---|-⌫---|---|
hués estoitdemou ltdegens	----|-----|-|---⌫-|-|---|
depouretefutosre mis	-|------|-|--|--⌫--|
m aisl a pucele	-⌫--|-⌫|-----|
en sasantepersonsauoir	-|-|----|--|--|-----|
liespor nula uoir	---|--|--|-⌫---|
amadas qu antiluoitsamie	-----|--⌫--|-|---||---|
dieux faiti lor nehagemie	----|---|-⌫|-|-|-|-|--|
mauiegrant ioiedem ai nne	-|--|----|---|---⌫--⌫--|
o l ui be le ydone enramaine	|-⌫-|--⌫-|----|-|------|
so réscomment	|-⌫---|------|
liceualiers	-|--------|
faésquitant fu fors efiers	----|--|---|-|---||----|
labeleydonelitoli	-|---|----|-|---|
sikele ceuaucoit	-||--|--------|
sore ́sconilli	|---⌫-|--|-|-|
mistl anel	---||---|
enso npetitet do it	-|--⌫|------|--⌫-|
s orésc onele sanla	|----|-⌫-|--|----|
conam adasse	--|--⌫---|-|
desconforte	----------|
ecommentilla enfouie	|------|-|||------|
conme n ttote	-----⌫-⌫|---|
nuitlawaitie	---|||-----|
con mentli ceualiersfa és	---⌫---|-|--------|--⌫--|
qui tantertfel e d esreés	--|---|--|--||-⌫------|
letrouai ous te letombe l	-|----|-⌫---⌫-|-|-----⌫|
saciésnelifumiebel	------|-|-|-|--|--|
entraus dousfu grans	---|--|---|-|----|
lipreusama das corsacors	-|----|---⌫--|---||---|
lec eualierfaéc onquist	-|-⌫------|---|-⌫------|
dontmoultgran t loengei	---|----|----⌫|-----||
liceua liersdistne	-|----⌫----|---|-|
biausam adas	----|--⌫---|
con qui sm	---⌫---⌫||
faireuoeilc o uqueprod onsdoit	----|----|-⌫-⌫|--|----⌫--|---|
os tés laneletdeso n doit	--⌫---||-----|-|--⌫|---|
al a pu cele qu ilagist	|-⌫|--⌫---|--⌫|-|---|
eamadastantostsifist	|-----|------|-|---|
tanto stfuceleres p ase e	-----⌫-|-|---|---⌫-⌫---⌫|
quidoitestretrespasee	------|----|--------|
amad as grantio iemena	----⌫-|----|--⌫-|---|
la beleydo n eenramena	-|---|---⌫-⌫|-|-----|
morses toit li	---|--⌫---|-|
marisladame	----|-|---|
qui fusans blasme	--|-|---|-----|
e sans difame	|---|-----|
lor terresontuenu	--|----|---|---|
bien estamadasauenu	---|--|-----|----|
a moull i erla dame prisa	|-----⌫-⌫-|-|---|---||
autreforment prissa	----|------|-----|
tant qu ensamblefure nten uie	----⌫-|-------|----⌫-|-|--|
diexnosw art	---|--|-⌫--|
de ma le d enuie	-|--⌫|||----|
e nosdoinst	|--|-----|
ci si mainten ir	-|-|-------⌫-|
droitenomaintenir	-----|-|---|----|
mortdesamai sni e	---|-|-|---⌫---⌫|
il laamaisnie	-|||-------|
cestebranquesed iusme saut	----|------|-|-⌫--|-|---|
qui t os lespecoours asaut	--|-⌫-|--|-------|----|
parole delecast el a ine	-----|-|-|----⌫--⌫-⌫--|
deuregiqui	-|----|--|
pasnertuila ine	--||--|----⌫--|
niecheestoitauducde b orgongne	-----|-----|-|--|-|-⌫-------|
l isto ire letesmong ne	|----⌫--|-|-------⌫-|
e dunc euali er qui	||-|-⌫-----⌫-|--|
sike n la fin las sen	-||-⌫|-|--|--||-|
ne quidiés	-|-------|
paqueieuos	-|--|-|--|
diausfu faitete scouenenche	|---|-|----|--⌫|---------|
parcui lam orertdescouerte	--|--||--⌫-|--|---------|
lide l autre feroitpe rte	-|-||----|-----|--⌫--|
eparle petitcaelet	|--|-|----|-----|
que il ueroitel	--|-|-----|-|
qua ntil uauroit	---⌫-|-|------|
totesles fois	----|--|---|
parleroita	--------||
li s ans defois	-|-⌫--|-----|
sorésco nmentli dus otc ier	|----|--⌫----|-|--|-|-⌫--|
lecheualieretletint	-|--------|-|-|---|
conmente ntor luirepaira	------|-⌫---|--|------|
con me nt l aducoise lama	---⌫--⌫-|-⌫|------||--|
conment lic eualiersrefuse	------|-|-⌫-------|-----|
laducoiseeelela cuse	-|------||--||-⌫---|
enuersle duceliiura	-----|-|--||-|---|
decoieleseperiura	-|--|--|-|------|
qu eli c eualiersueut auoir	--⌫|-|-⌫-------|---|----|
lamorde li parestauoir	|---|-|-|--|-------|
sorésconment lidus	|----|------|-|--|
queleceualierocira	--|-|-------|----|
n ara d e luipite	|--|-⌫|--|---|
se ne li dist lauer ite	-|-|-|---|-|---⌫--|
sorés come ntl ic eualiers	|----|----⌫-|-⌫|-⌫-------|
quitantert bia se	--|---|--|---⌫||
fo rsefiers	--⌫-||----|
duc queriens	--|--|----|
for ssanieche	---⌫|-|-----|
foiqu illid oit	--|-|-|-|-⌫--|
m aisli dusancoi sli	-⌫--|-|--|-----⌫|-|
queanul uineledira	--||---⌫-|-|-|---|
sioréscome ntladucoi se	-|----|----⌫-|-|-----⌫-|
onquesde priier	-----|-|-----|
ne sacoise	-||-----|
au duc depar a morli die	-|--|-|--|-⌫--|-|--|
se liceualiersaam ie	-|-|--------||--⌫-|
carbienp ercutquelidus sot	--|---|-⌫----|--|-|--|--|
la m orque	|-⌫-⌫-|--|
licheualiersot	-|---------|-|
tant lebl ang ietangona	---|-|--⌫---⌫||------|
q uelidus si	-⌫-|-|--|-|
saban donna	|----⌫----|
que lauerite	--|-|-----|
l end escueure	|-|-⌫-------|
fistmoultuilaineoueure	---|----|------|-----|
sorésco men t	|----|--⌫---⌫|
lidu stintcort	-|--⌫|---|---|
qui pa snit int	--|--⌫|||-⌫--|
son auoircourt	--|----|----|
alecortuintlicastelaine	|-|---|---|-|---------|
quiplusertblancequenest l a ine	--|---|--|-----|--||--|-⌫-⌫--|
uinta lac ort oses	---||-|-⌫--||--|
dontelea uoitasesde	---|--|-⌫---|---|-|
con mentel e	---⌫---|--⌫|
fur anprosnee	-|-⌫--------|
deladuc oi se	-|-|---⌫--⌫-|
edisfam ee	|------⌫-|
come n t ele	----⌫-⌫|--|
uin ten sacanbre	---⌫|-|-|-----|
qui tou teestoit	--|---⌫-|-----|
oureeala nbre	----|||-⌫---|
conmentdesperancele mo rt	------|---------|-|--⌫-|
que elesenliura a mort	--|--||-|----||---|
coment l iceuali ersge ntieus	-----|-⌫|------⌫--|--⌫-----|
