#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
#M ETA #CCLicenseCCBY-NC-SA4.0In te r national	--⌫---⌫|--------|-|-------|--|--⌫--⌫-⌫-------|
Pag eu01P001	---⌫-------|
#|PROLOG UE	||------⌫-|
Salemonnos enseignee dit	------|--|-------||--|
E sillis t	|--|---⌫|
son escri t	--|-----⌫|
Qu e nusne deitson sen	--⌫|--|-|---|--|--|
Ainzl e deit omsi d emostrer	---|-⌫|---|-|-|-⌫-------|
Q uel om i	-⌫-||-||
ait p ro e	--|-⌫-||
Q u ensifirentli a nce ssor.	-⌫|---|-----|-|-⌫---⌫----|
S ecilquitrouerentles parz	-⌫|--|--|--------|--|---|
E l es granzl iu resdessetarz	|-⌫-|----|-⌫--⌫--|--|--|--|
Page u01P002	----⌫------|
Des philo sophes	--|-----⌫-----|
le s tr aitiez	--⌫|--⌫-----|
Dontt ozli	---|-⌫-|-|
monzestenseig ni ez	---|--|------⌫--⌫-|
Se fuss ent teü ueire ment	-|----⌫--|---|-----⌫---|
u esq ui stli sieglesfoleme nt	-⌫---⌫--⌫-|-|------|------⌫-|
Comebest eseüssonsuie	---|----⌫-|-------|--|
Quefustsaueirsne	--|---|------|-|
Ne seü ssons sole sgua r der	-|----⌫----|--|-⌫----⌫-⌫--|
Ne lund elautredeseure r.	-||-|-⌫||----|-------⌫-|
Reme mb re ́serontatoz	----⌫--⌫--⌫|-----||--|
Econeüparlor	|-----|--|--|
granz se ns	----|--⌫-|
Quar scië nce	---|-----⌫--|
queest teüe	--|--|----|
Esttostoblie ̈eeperdu e.	--|---|-----⌫-||-----⌫-|
Quisetenenseig neo ne dit	--|--|||------⌫-||-|--|
Nepuet muërnes en tr oblit	-|---|----|-||--⌫--⌫----|
E sc iënceque stb ie noïe	|--⌫-----|-|-⌫-|-⌫--⌫|---|
Germe e flo ristefru tefie.	----||---⌫---||---⌫-----|
Quiuueutsaueirequientent	--|----|-----||--|-----|
Sachei z de mie u zlen	------⌫|-|---⌫-⌫||-|
estsouent .	--|------⌫|
Pageu01P 003	--------⌫--|
Debi en ne puetnustropoï r	-|--⌫-|-|---|--|---|---⌫|
Ne trop saueir	-|---|-----|
neret eni r	-|---⌫---⌫|
s e deitatargier	-⌫|---|-------|
Debienfairene d ens eignier	-|---|----|-||---⌫------|
E qui plusseteplus deitfa ire	|--|---|--||---|---|--⌫--|
Deçon esedei tnus retraire.	-|--|-⌫|-|---⌫|--|--------|
Epor çome uue il traua illier	|--|--|-|---⌫-|-----⌫-----|
Enuneestoir ecomencier	-|--|------⌫|--------|
Que delatinouio la	--|-|----|-|-|-|
Sei ailesen ese i o	-||-|-|--||-|-⌫|
Lauoudrais ien romanzmetre	-|------|-⌫|-|-----|----|
Quecilqui n	--|--|--||
entendent lale tre	--------|-|--⌫--|
Sepuissentde duireel	-|-------|--⌫----|-|
Moute stlestoirerichee gra nz	---|-⌫-||------|----||---⌫-|
Edegrantueureetde grantf ait.	|-|----|----|-|-|----|-⌫---|
Enmain tsen	-|----⌫|--|
Sa u eirco mT roie	--⌫-⌫--|--⌫|-⌫---|
Maisl a uer tée st poi	---|-⌫|---⌫--|-⌫-|--|
Omer squi fu cler smeru eillos	----⌫|--|-|----⌫|----⌫-----|
E sage s ees ciënto s	|----⌫||--⌫-------⌫|
Pageu01P004	----------|
Escristde l adestruc ion	------|-|-⌫|-------⌫--|
Delgrantsi ege e delac hei son	--|----|--⌫--||-||--⌫---⌫--|
Po rquei Troiefud esertee	--⌫|---|----|-|-⌫------|
Queonc puisnefurabitee.	--|--|---|-|-|-------|
M a isnedist	-⌫-⌫-|-|---|
pa ssisli u resu eir	--⌫|--|--⌫-⌫--|-⌫--|
Quarbiensauons senz nulespeir	---|---|-----|---|--|-----|
Quilnefu pui sde	-|-|-|-|---⌫|-|
c entanznez	-⌫--|--|--|
Queli granzozfu assemblez	--|-|----|-|-|--------|
Nestmerue illesili f aillit	|--|-----⌫---||-||-⌫-----|
Quaronc ni	---|--|||
funeriennenuit.	-|-|---||-|---|
Qua ntilenot so nliurefait	---⌫-|-|-|-|--⌫|----|---|
E aAthe nes	||----⌫--|
l o tr etrait	|-⌫|-⌫-----|
Si otestr ange c ontençon	-|-|----⌫---|-⌫--------|
Dampnerle uoustrentpar	------|-|--------|--|
Porçoquo t	--|--|-|-⌫|
fait lesdamede us	---|--|------⌫-|
Combatre oleshomescharne us.	-------||--|----|------⌫--|
Pageu01P005	----------|
Tenul i fuadesuerie	---|-⌫|-||-------|
Ea meruei l l osefolie	||------⌫-⌫-⌫--|----|
Quelesde us	--|--|--⌫-|
co mehome shumains	--⌫-|----⌫|------|
F ais eit combatreasTroïains	-⌫---⌫--|-------|-|--------|
deuessesensement	-------|-------|
Fai seitcombatr eau ueclage nt	---⌫---|-------⌫|--⌫--|-|--⌫-|
Equan t sonliurerecit erent	|----⌫|--|----|-----⌫----|
Plusor por c ̧o lerefuserent.	-----|--|-⌫-|-|----------|
fuOmersdegrantpris	-|----|-|----|---|
Etantfi st	|---|--⌫-|
puis sic omiotruis	---|-|-⌫-|-|----|
liuresfureceu ̈z	-----|-|-----⌫-|
Ee n a utorité	|-⌫|-⌫-------|
Àprès lonctensque	------|---|---|--|
ço te st é	-|-⌫|-⌫--⌫-|
Qu eRomeot	--⌫|---|-|
iapieceduré	-|----|----|
El ten sSalustel e uaillant	-|---⌫|------|-⌫|-------|
Quelon tene itsi	--||-|----⌫-|-|
apoiss ant	|-----⌫--|
pro dehautparage	--|-|---|-----|
Pa geu01P006	--⌫--------|
E aclercmerueillos esage	||----|---------||---|
Ci l Salustesço	--⌫|-------|--|
truisli sant	----|--⌫---|
Otun neuo fo rtmentsac hant	-|-|---|--⌫-----|---⌫---|
Corne l ius ertapelez	-----⌫-⌫--|--|-----|
De l e tres sa gese fon dez .	-|-⌫-⌫---|--⌫--||---⌫---⌫|
De lui e ste itm outg rantparole	-|--|-⌫---⌫-|-⌫--|-⌫---|-----|
A Athene steneit es cole	|------⌫|-----|--⌫---|
Uniorquereiten	-|--|------|-|
unau maire	-|--⌫----|
Portrair eliuresdegramaire	--|-----⌫|-----|-|-------|
aquise reuersé	|---||-------|
les a utr es atroué	--|-⌫---⌫-||-----|
Lestoireq u eDa ire o t escri t e	|------|-⌫-⌫|--⌫--|-⌫|-----⌫-⌫|
languefaite edite	-----|----||---|
IcistDaire sdo ntcioëz	----|-----⌫|--⌫-|-|---|
Dede nzest eit oncneneissi	----⌫-|---⌫--|--||-|----|
D esciqueloz s	-⌫---|--||-||
ende parti	-|--⌫----|
Mainteproëcei fistdesei	-----|------||---|-|--|
Ea asautea	||----|||
Pageu01P00 7	----------⌫|
E nluiau eit	-⌫|--|--⌫--|
clerc me rueillos	----|--⌫-------|
Edessetarzesc iëntos	|--|--|--|---⌫------|
uitsigrant laf aire	--|-|----||--⌫---|
Q ueainz nepuis	-⌫-|---|-|---|
ne f unusmaire	-|-⌫|--|----|
Si uous t lesfaizmetre	-|----⌫|--|---|----|
enmem oire	-|---⌫---|
En grezeisene scrist l es t oire.	-|------|-|-⌫-----||--⌫-⌫----|
Chascuniore nsi lescriu eit	------|--|-⌫--||------⌫--|
Co m e i l oses	--⌫-⌫|-⌫||--|
ieuzl eueeit.	---|-⌫|-----|
faiseientleior	--------|-|--|
Oenbataill eo ene sto r	|-|-------⌫||-|-⌫---⌫|
Tot escriueitlanu ita près	--|--------|-|--⌫-|-⌫----|
Icist queieuosdi	----|--|-|--|-|
Onc poramor ne	--|--|---|-|
s e nuoust taire	|-⌫|----|----|
uerté d ireer etraire.	-----|-⌫--||-⌫-------|
s i lertdes Troïe ns	|-⌫|--|--|------⌫-|
Nes en pen diéplu s	-||-|---⌫---|---⌫|
uerslessuens	---|--|----|
Nemaisque uerslesGrezeisfist	-|---|--|---|--|------|---|
estoirele ueire scrist	------|-|---|-⌫-----|
f usisliures pe rduz	-⌫|--|-----|--⌫---|
Quil nefutrouez	-|-|-|-|-----|
Pageu 01P 008	-----⌫---⌫--|
Mais a Athe nesl etro ua	---||----⌫--|-⌫|---⌫-|
Co rn elius quiltranslata	--⌫--⌫----|---|--------|
Degreulet orna	-|---|-|-⌫---|
Parson sene	--|--|--||
pa rson engin.	--⌫|--|-----|
Mout endeuons	---|-|-----|
mi euzceluicr eire	--⌫--|----|--⌫---|
E plu ste nir s es toireaueire	|---⌫|--⌫--||--⌫----||----|
Queceluiquipuisn efunez	--|----|--|---|-⌫|-|--|
Decentanzod eplus ass ez	-|---|--||-⌫|---|---⌫-|
Quirien n ensot iç o sauon	--|---||-|--|---⌫|----|
Sep ar oïrle dire no n.	-|-⌫-|---|-|---|--⌫-|
Cesteestoiren estpasusee	----|------||--|--|---|
Nenguaireslieusn en	|-|------|----|-⌫-|
I aretraiten e fustancore	-⌫|-------|-⌫|---|-----|
MaisB eneei zdeSainte	---|-⌫-----⌫|-|-----|
Lacon t rouéefait	||---⌫-⌫----||---|
les mozescri t	--|--|-----⌫|
En sitailliezensicurez	--⌫-|-------|---|----|
En sias isensi pose z	--⌫-|--⌫-|---|----⌫|
Quepl usnemeins n i	--|--⌫-|-|----|||
Pageu0 1P009	------⌫----|
Ciuueilles to irecome ncier	-|----||--⌫--⌫--|----⌫----|
Le latin siuraielaletre	-|----|-----||-|----|
Nuleautrerien n	---|----|---||
iuoudraimetre	|------|----|
S ensin oncomio l truisescrit	|---|-⌫-|--|--⌫|----|-----|
m i equ aucun	-⌫-⌫|-|----|
N im etese	||-⌫--|-|
faire l esa i	----|-⌫|--⌫|
Mais lamati ree ensiurai.	---|-|----⌫-||--------|
#|RESUME ́ DU POÈME	||------⌫|-|-----|
Dirai uos doncea	----|--|---|||
Deque u sfaiz iert	-|---⌫-⌫|---|---|
liliurestoz	-|-----|--|
Ed equ eiiu ou dr ai tr ai tier	|-⌫|--⌫-||-⌫--⌫--⌫-|--⌫--⌫---|
Sempresicial	------|--|-|
comen cier	-----⌫---|
uospar l eraide	--|---⌫-⌫---|-|
Qu ibien u esqu i	--⌫|---|-⌫----⌫|
ce ntanz e plus .	--⌫-|--||----⌫|
G ente f emmeotdame T hetis	-⌫---|-⌫---|-|---|-⌫----|
nonçome stauis.	--|--||-⌫-|----|
dousfuAchillès	---|-|--------|
Quimoutfuproz erenom ez.	--|---|-|---||-----⌫--|
Pageu01P010	----------|
Ad onc uos redirai	--⌫--|--|------|
ComentIa so neHerculès	-----|--⌫--⌫||--------|
Par enginepa rtraïson	--|----||--⌫|-------|
Aler ent querrela Toiso n	----⌫--|-----|-|-----⌫|
Com Medeap arson saueir	--|----|-⌫-|--|-----|
Lalorfistconquer re	-|--|---|-------⌫-|
Pu i s di rai parquel	--⌫-⌫|--⌫--|--|---|
Ilcrauen teren tYlion	-|------⌫-----⌫|----|
E tote Tr oie	|---|--⌫--|
eniceusanz	-|----|--|
Que ancornesteitguaire sgr anz	--|----||-----|------⌫|--⌫--|
Com Laomed onfu ocis	--|------⌫-|-|---|
Qu ire i sesireert del	--⌫|--⌫-⌫||---|--|--|
S iorreizcomfaitierement	-⌫|-----|--|-----------|
Ap rès icestdestruiemen t	--⌫---|----|-----------⌫|
La refo ndaPrianz li	-|----⌫--|-----|-|
Quimoutfu s agesecorteis	--|---|-|-⌫---||------|
C om el fu	-⌫-|-|-|
gran t com	----⌫|--|
Et dequelgentel fu	-|-|---|---|-|-|
Comliconseilfu rentpuis	--|-|------|--⌫---|---|
AdantHector	|---|-----|
Deque rreEsiona l or	-|---⌫--|-----|-⌫-|
Pageu01P0 11	---------⌫-|
ComeAnt en or	---|---⌫--⌫-|
leriche c ant e	-|----|-⌫---⌫|
L a laenGrece demander.	|-⌫-|-|----|--------|
Aprèsorreiz dire econter	-----|-----|---||-----|
Comd anz Parisen	--|-⌫--|----|-|
QuidameHeleineenamena	--|---|------|-|----|
Ecomlitemple sf ubrisiez	|--|-|------⌫|-⌫|------|
Oum ilhomesotdetrenchiez	-|-⌫-|----|-|----------|
L es noces	-⌫-|----|
elassemblement	||-----------|
Cuicompar erentmaintege nt.	--|------⌫----|-----|--⌫--|
Ap rèsorr eizlespr ophecies	--⌫---|---⌫--|--|--⌫-------|
Q uep a sneuoustren testreoïes	-⌫-|-⌫-⌫|-|--------⌫|----|----|
Necreüesnetantnequan t	-|------|-|---|-|----⌫|
Dontpuismesa u int aPr iant	---|---|----⌫-⌫--||--⌫---|
QuAgamennone	-|--------||
ETelamon e	|------||
Palamedè se Uli x ès	---------⌫||---⌫-⌫--|
Lidu sdAth en eeAchill ès	-|--⌫||---⌫--⌫||------⌫--|
Pag eu01P012	---⌫-------|
Ecentrichere ie	|---|----|--⌫||
pre i si e ́	---⌫-⌫--⌫-⌫|
uindrents o rTroïens irié	-------|-⌫-⌫|-------|----|
Par m e ro naue i grant e fier	--|-⌫-⌫||----⌫|----||---|
Oncmai stant riche cheua lie r	--|---⌫|---|----|-----⌫---⌫|
Nefure nt iostéa i nz	-|----⌫-|-----|-⌫-⌫-|
En si comienlestoiretrui s.	--⌫-|--||-||------|----⌫-|
Le nombreorre iz dela na u ie	-|-----|----⌫-|-|-|--⌫-⌫-|
Ecomentelfu establie	|-----|-|-|-------|
eles contenances	|--|----------|
Lesmorsl est ec hes lesse mblances	--|---|-⌫-|-⌫--⌫--|--|--⌫-------|
Des r eis des princesdesdan z eles	--|-⌫--|--|------|--|---⌫-⌫---|
Edesdame sedes puceles.	|--|----⌫||--|-------|
S or reizpar ler d	|--⌫---|---⌫--||
ung ra ntconcire	-|-⌫--⌫-|------|
E alque lomliura	|-|---⌫|-|----|
Elase ignorie detoz	|-|--⌫------|-|--|
EcomdanzAchillèsli	|--|---|--------|-|
Ala en De lf onalrespons	--|-|--⌫--⌫-|-|------|
uitles uisions	--|--|------|
Ecom Calcas olui	|--|-----||--|
Pa geu01 P013	--⌫-----⌫---|
Q ui di stpuisqua ntq uil	-⌫-|--⌫-|---|---⌫-|-⌫|-|
E c omeAgamennonlireis	|-⌫--|--------|-|---|
Sa crefiaueantGrez e is	--⌫-----|----|----⌫-⌫-|
fairecesse r	----|-----⌫|
Quilor toleit m erapasser.	--|--|-----|-⌫-||------|
Aprèsorre i z	-----|----⌫-⌫|
d eTenedon	-⌫|------|
Comentfuprise come ntnon	-----|-|---||----⌫-|--|
quefistdan z	--|---|---⌫|
E Telephus.fizHerculès	|--------|--|--------|
S orceusde Mese	-⌫-|---|-|---|
quiluenquirent	-|-|---------|
Ecomentilsecombatire nt	|-----|-|-|---------⌫-|
Co mTel ephu sotle païs	--⌫|---⌫----⌫|-|-|----|
Quantrei s	----|---⌫|
Teütran s fu ocis .	--------⌫|-|----⌫|
P uis uosdir aic o me	-⌫--|--|---⌫-|-⌫-⌫-|
Esis com painzD iomedès	|--|---⌫----|-⌫-------|
Alerentporte r l emessage	------|-----⌫|-⌫|------|
Erequerredrei tde l outrage	|-------|----⌫|-||------|
Quien Greceauei t este ́ faiz	--|-|----|----⌫|----⌫|---|
Elesrampoignese le s laiz	|--|---------||--⌫|---|
Qu iloïre ntq uedi tlorf u	-|-|-----⌫-|-⌫-|--⌫|--|-⌫|
Equa ntqu il	|---⌫-|-|-|
iotresp ond u	|-|----⌫---⌫|
Ec omPalame de ̀ sr euint	|-⌫-|------⌫--⌫-⌫|-⌫----|
Pag e u01P014	---⌫-⌫------|
Cilqui lempireotp uise t int.	--|--||-----|-|-⌫--||-⌫---|
Aprèsorreizco mf aitement	-----|-----|--⌫|-⌫-------|
Iosterent Greulorp arlemen t	--------|---|--|-⌫-------⌫|
Com liconseil furen tdoné	--|-|------|-----⌫|----|
Daleras eeir lacité	|---|--⌫---|-|----|
des riches reisparler	--|-----|---|-----|
E lunaprès l autrenomer	||-|-----||----|----|
QuilauindrentuersG r eus guarnir	--|-|-------|---|-⌫-⌫--|------|
E lesbataillesma int enir	|--|--------|--⌫---⌫---|
Com l esnesfurente s tablies	--|-⌫-|--|-----|-⌫-⌫------|
estoireel esnauies	------||-⌫-|-----|
C omen tP roteselaus liproz	-⌫----⌫|-⌫---------|-|---|
Coru toce nt nes auanttoz	----⌫||--⌫-|--|----|--|
Com liautre uindrentaprès	--|-|----|-------|-----|
Ocentmilcheu al ierse	|---|--|----⌫--⌫---||
DesTroïensquisrecoillirent	--|-------|---|-----------|
Equilesporz l or	|--|--|---|-⌫-|
defendire nt	---------⌫-|
pa restoueir	--⌫|-------|
Si logiere nt sem presleseir.	||-------⌫-|---⌫---|-|----|
Sorreizcom	|-----|--|
Troiefua sise.	----|-|-⌫----|
Q uededisan z nefupuispris e	-⌫-|-|--|--⌫|-|-|---|----⌫|
Elarnerueillee lad olor	|-|---------||-|-⌫---|
La bata i ll eelefierestor	-|----⌫-⌫--⌫||-|---|----|
Pageu 01 P015	-----⌫--⌫---|
ocistPatroclus	----|--------|
mil cheualie rseplus	--|--------⌫-||---|
E sorrezcomeilfunaurez	||----|---|-|-|-----|
E chiereme nt puiscomparez	|--------⌫-|---|-------|
Ecomfu mo rzCassibilant	|--|-|--⌫-|----------|
Quisisfrere ert efi z	--|--|----|--||--⌫|
Greus torna s t l i maus	----|-----⌫-⌫|-⌫|---|
Ne fust T elamon Aïaus	-|---|-⌫-----|-----|
QuiaHectorse c ombateit	--||-----|-|-⌫-------|
Quantluns lautre neconoissei t.	----||--||----|-|---------⌫-|
Sorrei zdes triuesqu il requistren t	|-----⌫|--|-----|-|-|----------⌫|
Quils en tredone ren teprist rent	-|-||--⌫-------⌫---⌫||-----⌫---|
Leduelqu Achillèsdemena	-|---|-|--------|-----|
De Patroclu squ et r opama	-|--------⌫|--⌫|-⌫-⌫-|--|
ComCa ssandralafill ea l	--|--⌫------|-|----⌫|-⌫|
Remistc eusdeden zenesfrei	-----|-⌫--|-----⌫|-|-----|
Pa rses parfonzdeui nemenz	--⌫|--|------|----⌫-----|
sesp rophetizemenz.	--|-⌫-------------|
A doncuo s	-⌫---|--⌫|
rediraiap rès	------|--⌫---|
Comfa ite ment Pal amedès	--|--⌫---⌫---|---⌫------|
Fuplaig nanz delasei gn orie	-|-----⌫---|-|-|---⌫--⌫---|
Delap rinc édelamaistrie	-|-|-⌫----⌫-|-|-|-------|
Qu A gamenn on otsorG rezeis	-|-⌫------⌫-|-|--|-⌫-----|
Pageu01 P016	-------⌫---|
Desorsonu i ée sorsonpeis	----|--|-⌫-⌫-||--|--|---|
La bat ailleque aprèsuint	-|---⌫----|--|-----|---|
Qu emout red ura puis	--⌫|---|---⌫--|---|
Dir a i en	---⌫-⌫|-|
ordremot amo t	----|--||--⌫|
E çoquecha scunsifisttot	|--|--|---⌫----||---|--|
orentlepeior	----|-|----|
Parlaforceeparlauigor	--|-|----||--|-|----|
merueillos	---------|
har di eue rtuos	---⌫-||--⌫----|
Comliconseilre furentpr is	--|-|------|--⌫-----|--⌫-|
De luicomentilfu stocis.	-|--|-----|-|--⌫-|----|
Puisorreizlaquartebatail le	---|-----|-|-----|------⌫-|
Lagrantpe ine e	-|----|--⌫--||
tr auaille	--⌫------|
Queiltraistrentoceusdedenz	--|-|---------||---|-----|
Dontilio ttr eismi lsan gl enz	---|-||-⌫|--⌫--|--⌫|---⌫--⌫--|
Com fa ite ment lireipoissant	--|--⌫---⌫---|-|--|-------|
Quiesteient deuers Priant	--|-------|-----|-----|
Ioster entoce us cor sacors	------⌫--||--⌫-|---⌫||---|
Quipluspreisi ée rent defors	--|---|------⌫-|-⌫---|-----|
Com ent l ire i s Thoa sfupris	---⌫--|-⌫|--⌫-⌫|----⌫|-|---|
Q uEctor trencha lenesdeluis	-⌫|----|------|-|--|--|--|
Pageu01P017	----------|
Quenuo ust	-|-|--⌫--|
li reisPrianzpu is	-|---|-----|--⌫-|
Qui lcomandaro mpreedetraire	---⌫|------|--⌫---||-------|
ComeA ntenor eE neas	---|-⌫-----||-⌫---|
Troi ̈lus ePol idam as	----⌫---||---⌫----⌫-|
FurentenC hambrede B eautez	-----|-|-⌫-----|-|-⌫-----|
Ouassezfure ntsermonez	-|----|----⌫-|-------|
Eamon es tez debi en faire.	|----⌫--⌫--|-|--⌫-|-----|
Aprèsporreizoïrr etraire	-----|------|---|-⌫------|
D un ora ge dun grant d un	|-|---⌫-||-|----||-|
Quilestentes fi sttrebuchier	--|--|-----|--⌫-|---------|
Les tres depaileeetdesamiz.	--|---|-|----||-|-|-----|
Après re co nt eliEscriz	-----|--⌫--⌫--⌫|-|-----|
laqui nteassemble e	-|---⌫--|--------⌫|
Que par grantirefuiostee.	--|--|----|--|-|------|
d irai totadeu i se	-⌫---|--||---⌫-⌫-|
Comfumo rz lireisdeLarise	--|-|--⌫-|-|---|-|-----|
ComfumorzAlmenis	--|-|---|------|
plush auz d e l ostGr ez eis	---|-⌫--|-⌫||--|--⌫--⌫--|
Pageu01P018	----------|
Eco mfu morzEpistrophus	|--⌫|-|---|----------|
Esis frer e r eisSced i us	|--|----⌫|-⌫--|----⌫-⌫-|
Edes autres reisset o	|--|-----|---|--||
Q u imoute st eientdegran tpris.	-⌫-⌫|---|-⌫--⌫----|-|----⌫|----|
Après p or reizoïr	-----|-⌫--⌫---|---|
Comei uint puisleSaietai r e	---||---|---|-|-------⌫-⌫|
Esasemblanceeço q uil	|-|--------||--|-⌫|-|
E com Di omedèslocist.	|--|--⌫------||-----|
Sorreizap r ès deGalatee	|-----|--⌫-⌫--|-|------|
lui sorst aspre meslee	--|----|----|-----|
cheuaus Hector l	------|-----||
Quisonpeisual eit	--|--|---|---⌫--|
d orr ecuit	|-|-⌫----|
Co meAntenorfuprisle ior	--⌫-|------|-|---|-|--|
DontTroi ̈enorent dolor	---|----⌫--|----|----|
Com labatailledefi na	--|-|-------|----⌫-|
Quelendema inr ecomen ça	--||------⌫-|-⌫------⌫--|
Pesmee crue ̈lor ribleemal e	----||----⌫-|--⌫----||---⌫|
Dontset mileremestr ent	---|--|---|-------⌫--|
Après orreiz	-----|-----|
Pageu01 P019	-------⌫---|
en uou stre nt	-|---⌫----⌫-|
EcomCalc asparsonsaueir	|--|----⌫-|--|--|-----|
L esfi sta for ce remaneir.	-⌫-|--⌫-||---⌫-|--------|
Pu isd i raicom	--⌫-|-⌫-⌫--|--|
fait iere men t	----⌫----⌫---⌫|
li uréatorment	--⌫---||------|
Dela puӧrdes	-|-|----|--|
corsporr iz	---|----⌫-|
Quinesteien tenseuel i z	--||-------⌫|-------⌫-⌫|
Comtriueslorcou int	--|-----|--|---⌫--|
Po re usarde ir e met reenterre	--⌫|-⌫-|----⌫-||---⌫-|-|----|
ComDiomedès iala	--|--------||--|
EUlixèsque moutama	|------|--|---|--|
ComDolonl e s pristencondu it	--|----|-⌫-⌫|----|-|-----⌫-|
Endr eit ho redem ienuit	----⌫--|--⌫-|-|-⌫-|---|
Com latriuefudetreismeis	--|-|----|-|-|----|---|
Malg ré Hectore sorson	--|-⌫--|-----||--|--|
corsfur entamas se ́	---|---⌫--|----⌫--⌫|
Ecome enfurentgrantli ré	|---|-|-----|----|-|--|
C omrefupris	-⌫-|---|---|
liparlemenz	-|--------|
D e ceus def orsa ceusdedenz	-⌫|---|---⌫--||---|-----|
C omTho as fu quit e sde	-⌫-|---⌫-|-|----⌫-⌫|-|
PorAntenorleuieildeTroie	--|------|-|----|-|----|
ComentCalc asli	-----|----⌫-|-|
Pageu01P0 20	---------⌫-|
E li tress ages	|-|---|-⌫---|
Requist sa fi lleede manda	------|-|--⌫--||--⌫----|
Quiaueitno n	--|----|--⌫|
QueTroïlusaueitamee	--|-------|----|---|
E comPria n z liaquitee	|--|----⌫-⌫|-||-----|
E comeHectore Achil lès	|---|-----||-----⌫---|
Oia nt mi lcheuali erse mè s	---⌫-|--⌫|-------⌫--||---⌫|
S entraatirentcors a cors	|-----------|---||---|
dede nzec il	----⌫-||-⌫-|
Ne loruoustrentpasconse ntir.	-|--|--------|--|-----⌫----|
Apre ̀spo rr eiz auant o ïr	----⌫-|--⌫--⌫--|----|-⌫--|
Com lafi lle C alcaslaproz	--|-|--⌫--|-⌫----|-|---|
Eissi deT roie ueianttoz	----|-|-⌫---|-----|--|
Leduel quelf istaldeseure r	-|---|-|-|-⌫--|-|-------⌫|
Ecomlapreiapui sdamer	|--|-|----|---⌫||---|
Enlostdefors	-||--|-----|
Diomedès.	---------|
Deçou os tr ait eraiadès	-|--|-⌫-|--⌫---⌫---|----|
