o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
bonspastu r s	---|-----⌫-⌫|
ki deu serui renta grantdolurs	-|--|-----⌫---||----|-----|
edepuce l es ke purrumdire	|-|----⌫-⌫-|-|-----|---|
certes nepuet nulquersuffire	-----|-|---|--|---|------|
lur grant trau ai llu r grant	--|----|----⌫--⌫|--⌫|----|
turmenz pur	------|--|
r iendescrire	-⌫--|-------|
leq uer destreign entdefolie	-|-⌫--|---------⌫--|-|----|
lachar tendrede uillainie	-|---|-----|-|--------|
n es aicument parquel	-⌫|-⌫-|-----|--|---|
nesadnatureenseignuri e	|-|-|-----|-|--------⌫|
naturenunoezpur que i	-----|--|--|--|---⌫|
kar de natur e	--|-|-----⌫|
es tlale i	--⌫|-|--⌫|
hairmesaise	---|------|
fei me sei	---⌫||--|
lachar nurrir	-|---|-----|
engrant requ e i	-|----|----⌫-⌫|
c e r teslefunt	-⌫-⌫-⌫--|-|---|
tutautr em ent	--|----⌫--⌫--|
kar fe i me	--|--⌫-⌫||
sei communement	--|----------|
ahandolu r trauailtur ment	---|----⌫|------|---⌫---|
sust enentsuffraument	----⌫----|----------|
p ar mesaiselur	-⌫-|------|--|
c ors chasti ent	-⌫--|------⌫--|
parchastetea deuseali ent	--|-------||--|-|---⌫--|
pur humblessetuita cumpli ent	--|--------|---|-⌫------⌫--|
les cumanz deuuelesse	--|-----|--||---|-|
purlurtraua ilz melzde scrire	--|--|-----⌫--|---|--⌫-----|
deune u usuoil cunter edire	-|--|-⌫-|---|-----||---|
par queltrauailpa r qu el mart y re	--|---|------|--⌫|--⌫-|----⌫-⌫-|
delceil cunqu istlegrante m pi re	--|---|-----⌫--|-|----|-⌫-⌫--⌫-|
uele t uziursregnera	|--|-⌫-|---|------|
odsunespu squetan tama	-|--|----⌫|--|---⌫|--|
iesuquisaluera	---|--|------|
les bonselesmalueisdampnera	--|---||--|------|-------|
mo dewen ne fudnumee	--⌫-----⌫-|--|----|
desesparen zquant esteit	-|--|-----⌫|----|-----|
dequel l ignage	-|---|-⌫-----|
fud e ng endré	--|-⌫--⌫-----|
uusd iru m siuu s agree	--|-⌫---⌫|-|--⌫|----|
enic eltens ancienur	-|--⌫-|---|-------|
unsreis esteitdegrant	--|---|-----|-|----|
outgrant honur	--|----|----|
kardecunnouthesteitseignur	--|-|-------|-----|------|
ceo keauumapris	--|-|---|----|
allang uage de c es t pai s	-|----⌫---|-|-⌫--⌫|---⌫|
maheuotn unceo	----|-|-⌫-|--|
sioutdessonsgrant l osepris	-|--|--|---|----|-⌫-||---|
tostquantfudde	---|----|--|-|
parcunseil desunbarnag e	--|------|-|--|------⌫|
muillerprist de	------|----|-|
grant p ara ge	----|-⌫---⌫-|
que multestei t preuz	--|---|-----⌫|----|
fille esteitd	----|-----||
un roipoant	-|--|----|
quimult ertpru z e uail lant	--|---|--|---⌫||----⌫---|
dalbranahitleuuntn uma nt	----------|-|---|-⌫---⌫-|
ele petiteli	|-|----||-|
ded uuelinadlasei gn urie	-|-⌫-----|-|-|---⌫--⌫---|
que tante st fo rtee gar nie	--|---|-⌫-|--⌫--||---⌫--|
latere tu teq ueaden baillie	-|---|--⌫-|-⌫-|-|-|------|
pargrant sa u eirgo uerne	--|----|--⌫-⌫--|--⌫----|
n p lusmai s quedire	|-⌫--|---⌫|--|---|
nustrarrumalamatire	--|------||-|-----|
quenpri sauum	-|-----⌫|---|
a d esc rire	|-⌫---⌫---|
quem i s curaget rait etire	--|-⌫-⌫|-----|-⌫---||---|
cis trei maheudunt aicun té	---⌫|--|----|---|-|---⌫--|
filleoutd e grantb unte	----|--|-⌫|----|-⌫---|
gentou tle	---|--⌫|-|
cors eacesmé	---||------|
ede ducu r enlumine ́	|-|----⌫|--------⌫|
deu quien main natur e	--|--|-|---|-----⌫|
lafurma p art elmesure	-|----|-⌫-|-⌫-|-----|
su nsemblantnensaporture	--⌫|-------||-|-|------|
nenadtechededesmes u re	--|-|----|-|------⌫-⌫-|
labeltefait a preiser	-|----|---||------|
ceomes tauis	--||--⌫|---|
quele spe rit nesetble sc er	--||-⌫---⌫--|-|--|---⌫--⌫-|
ne en orguille queorleuer	-|-|-----|-|----|----|
maisi celeq ue natualur	---|-⌫---|-⌫-||-|----|
pur ueires t uaine k a r	--|---|--⌫|----|-⌫-⌫|
cheenttost engr anterrur	-----|---|-|--⌫--|----|
bealt ede laculur	-----⌫|-|-|----|
c est edame	-⌫---⌫|---|
nestpas cheue	|--|--|----|
purbealt e que eiteue	--|-----⌫|--|--|--|
kartant tost	--|---|---|
cume st issue	--|-⌫-|----|
de iuu enteenmelzse	-|---⌫---|-|---|-|
kar paru ouadeusealie	--|--|-⌫-||--|-|---|
parunesuesquedeseinte	--|-|-------|-|-----|
pur e schiure	--|-⌫------|
quelesmalueis destreint	--|--|------|--------|
s i uu sdir raib ien cu ment	-⌫|--⌫|---⌫--|-⌫--|--⌫---|
a d t ut gu erpi c estmundpresent	-⌫|-⌫-|--⌫---|-⌫--|---|------|
c unfor t da m i e	-⌫-----⌫||-⌫-⌫||
pur deu seruirdeuo tement	--|--|-----|----⌫-----|
cisteue squeduntfazmemoire	---|---⌫---|---|--|------|
cumnuscuntentl iestoire	--|--|------|-⌫|------|
enueidelap ostoire	----|-||--⌫------|
ce lestinq uisetengl oire	--⌫-----|-⌫-|--|-|--⌫---|
asyrre isu intpu rprecher	-|----⌫-|-⌫--|--⌫|------|
lenuniesue	-|--|---||
lesmescreanz d encumbrer	--|--------||--------|
ceofup a trizquedeusout	--|-|-⌫-⌫---|--|---|--|
tantparla tere est xxx	---|--|-|---|--|--|
quilalpaisestentré	-|-|-|---|--|-----|
que lireisa den poes te	--|-|---|-⌫|-|----⌫-|
maheuli pruzelesené	----|-|---||-|----|
modewenne ladeu amie	--------|-|--|---|
de grac erepl enie	-|----⌫|----⌫---|
mul t ferem entsenestesioie	---⌫|-----⌫--||-|--|-----|
delanuuele qu e ad	-|-|-----|--⌫|-|
pus sanz nuledemuree	--|---|---|------|
alai nz que potsenest	||--⌫-|--|--||-|--|
aseinzpatrizqui ad preché	|----|-----|--|-|------|
la leiiesuque	-|--|---|--|
e n s unserm unluradmust ré	-⌫|-⌫-|----⌫-|--|-|----⌫--|
cumentlimundkefudampné	-----|-|---|-|-|------|
par lefr u t	--|-|--⌫-⌫|
quefu uee ́	--|-|---⌫|
par ie su crist	--|--⌫-|----|
es t restoré	--⌫|-------|
seignursfait	-------|---|
ilne quermentir	-|-|---|-----|
kialceiluo lt reuertir	-|-|---|--⌫-|-------|
trauail e p eineestoetsuffrir	------||-⌫---|-----|------|
chas teteamer le m und	----⌫---|---|-|-⌫--|
m od ewe nnequil otpar l er	-⌫--⌫---⌫--|--||-|---⌫-⌫-|
mul tsepren ta purpe nse r	---⌫|-|----⌫||-----⌫---⌫|
cu mentsepui sseeslocher	--⌫---|-|---⌫--|-------|
q ue ueitiss ichan ger	-⌫-|---|---⌫|----⌫--|
cume bran ch equ eest flu rie	---|----⌫--⌫|--⌫|--|---⌫--|
quetostapresdeueint	--|---|----|------|
dehaitde cesteuie	-|---|-|----|--|
foliefaitketro psen fi e	----|---|-|---⌫||-|--⌫|
quanta s ez	----|-⌫-⌫-|
desquel euesque	-----||------|
s enestalee	|-|--|---|
a deuse es tuoee	|--|-|--⌫|---|
purceorequert qu esei tuel ee	--|--|------|--⌫|---⌫|---⌫-|
lieuesquequ i est garni	-|------|--⌫|--|----|
delsein tesperit	--|----⌫|------|
si respundi	-|-------|
iesu cristpar	---|----|--|
lim undas tui tguerpi	-|-⌫--|-|---⌫|-----|
tedoin tfilles ab e neisun	-|----⌫|----|-⌫|-⌫-⌫-----|
eieopar grantd euociun	|--|--|----|-⌫------|
lare l i giun	-|--⌫-⌫-⌫---|
uu s doins ense intismenun	--⌫|----|-|--⌫------|--|
quantli euesqueladsac ree	----|-|------||-|---⌫--|
unepucel e l iad	--|-----⌫|-⌫|-|
sacusinepar	-|-----|--|
queadeuseert uoee	--||--|-|--|---|
puc ele scumanda	---⌫---⌫|------|
a unseint humeq u ilm ult	|-|----|---|-⌫|-|-⌫--|
qui en deulescunfer ma	--|-|--|--|------⌫-|
elettrur elure nseigna	|-------⌫|--|-⌫------|
modewennela deu ancel e	--------|-|--|-----⌫|
que tant pare stebonee b ele	--|---|--|-⌫-||---||-⌫--|
en cele lei quetien t	-|---|--|--|----⌫|
pargrantsau erso nc o rs	--|----|---⌫-|--⌫|-⌫-⌫-|
pa rfeimp arseisa	--⌫|---|-⌫-|--|-|
charchastie	---|------|
neuolt que	-|---|--|
seit enorgui l l ie	---|-------⌫-⌫-⌫-|
perdelam anantie	----|-|-⌫------|
quedeup remet	--|--|-⌫----|
sungrant trauail	--|----|------|
su ngr efmartire	--⌫|--⌫-|------|
nepoetnushompurren	-|---|--|--|--|--|
deso ilzpl ure dequ ersuspire	--|-⌫--|--⌫--|-|--⌫-|------|
parieunefait	--|----|---|
sa charde fire	-|---|--⌫---|
tan tai m e deue su nseruise	---⌫|--⌫-⌫|--||--⌫|------|
dequi amureleest esprise	-|--|---|--|--|------|
quelanela feintise	--|-|-|-|-------|
de ciestsecl eren ne prise	-|----|----⌫|--|-|----|
ci el ads un queo rfermé	--⌫-|-|-⌫-|----⌫|-----|
p urceo ad pur deutuit	-⌫-|--|-|--|--|---|
l aglorieueinede l mund	-⌫|-----|----|--⌫|---|
kice us deceitduntes t amé	-|--⌫-|-----|---|--⌫|---|
ses parenz	--|-----|
faitcun uertir	---|---⌫-----|
e lurerrur arelinqui r	|--|----||--------⌫|
laleiiesulurfait tenir	-|--|---|--|---|----|
quiu intle mund demort garir	--|-⌫--|-|---|-|---|----|
lalumerequeest esprise	-|-----|--|--|------|
sulumlalei	----|-|--|
de seint e eglis e	-|-----⌫|-----⌫|
ne deit ennule	-|---|-|---|
enc uuerture neenublimi se	-|-⌫-------|-|-|---|--⌫-|
ne poetestrebien c e le e	-|---|----|---|-⌫-⌫--⌫|
lacite queestfe rmé	-|---|--|--|--⌫---|
sur muntaineha lt leuee	--|-------|--⌫-|----|
seitm ultesgardee	---|-⌫--|-------|
nepoet ladamesesbensc eler	-|---|-|---|--|---|-⌫---|
qu ant d ampne deulesuoltmustrer	--⌫--|-⌫-----⌫--|--|---|------|
faitpartuitale r	---|--|---|---⌫|
par t elsuertuzcumuoi lcu nter	--|-⌫--|-----|--|---⌫|--⌫---|
ces teda m e duntai	---⌫-|--⌫-⌫|---|-|
unenfantd egrant bunte	-|-----|-⌫|----|----|
acuilli adenamiste	------|-|-|-----|
nurrirpargrant	-----|--|----|
cump arlescritlauumapris	--|-⌫-||-----||---|----|
lugerotnun ceo	----|-|--|--|
m eest auis	-⌫|--|---|
passéuci nk	-----||--⌫-|
ale ttreslad ladamemis	|--⌫----||-|-|---|--|
nesaicumentp ar deuce o qui	-|--|-----|-⌫-|--|--⌫|--|
modewenne l esuennurr i	--------|-⌫|---|----⌫|
apelea sei editami	----||--||--|--|
bealfiz fait ele caentendez	---|--|---|--|-|-------|
enlapastureuusenirez	-|-|------|--|-|---|
e c esteuachegarderez	|-⌫---|----|-------|
ueelkeciueez	---|-|-|---|
le nfant respunt k ebonement	|-⌫----|------|-⌫|-------|
frad lesuencumandement	---|-|---|----------|
pussanznu lare stement	--|---|--⌫|---⌫------|
sen estaléiouseme nt	|-|--|---|-------⌫-|
ueezcumentlui esch e i	---|-----|--|----⌫-⌫|
delaforestunleu	-|-|-----|-|--|
ueellui adrau i	---|--|-|---⌫|
lenfantleueit si s enfui	|-----|-|---|-||-|--|
ueirtalentderire	---|-----|-|---|
desoilz pl uredel	--|---|--⌫--|--|
q ueorsuspire	-⌫---|------|
derunts esch eueustire	-----|-⌫-|--⌫----|---|
feirene quedire	----|-|--|---|
a sadameueint plurant	|-|---|----|------|
sumdammage	--|------|
mul tple ignant	---⌫|---⌫-----|
quant ele l euei tuenirplurant	----|--|-⌫|---⌫|----|------|
que a stuf aitele li	--|-⌫|-|-⌫--|--|-|
m eie n enfant	-⌫---⌫|-----|
leue el feit il	-|--⌫-|---|-|
auumper du	---|---⌫-|
cumentbelfilzquee stdeuenu	-----|--|---|--|-⌫-|-----|
un chienleu usad tol u	-|----|-|-⌫-|-|---⌫|
afor ce prise abatu	|---⌫-|---||----|
f ilzfaitel etu	-⌫--|---|--⌫|-|
prend eras	-----⌫---|
lemein bastunsi t	-|---|-----|-||
laulabe ste huilessas	-||-|--⌫--|--|-----|
q ue c auengelui	-⌫-|-⌫|----|--|
lugerse nu aitignelement	----||-⌫|-⌫--|---------|
qu iluei tu	-|-|---⌫||
i llate nt	-⌫||---⌫-|
delbastun lefeirt su uent	--|-----|-|----|--⌫---|
siluiditi rre ement	-|--|--|-⌫---⌫----|
madameu usco mande	-|---|-⌫-|--⌫----|
uengezebenuusmand e	-----||--|--|----⌫|
ueis lauiande	---|-|-----|
ketu pre is encest elan de	-|-|---⌫-|-|----⌫|---⌫-|
quan tlauoizad	----⌫|-|---|-|
o ezmeruei ll ede	-⌫-|------⌫--⌫|-|
a la da me esttostuenue	|-|--⌫-|--|---|----|
easpie zli	|-|---⌫|-|
est cheu e	--|----⌫|
manere mercili c rie	-----|----|-|-⌫--|
ententsilchas tie	-----|-||----⌫--|
culue rtfait	-----⌫-|---|
teicuue nt change r tauie	--|----⌫-|------⌫|-|--|
tunet u nlignage	-|-|-⌫-⌫|------|
purtunmaisfait	--|--|-------|
e tu n utrag e	|--⌫|-----⌫|
iamesnefrasdammage	----|-|---|------|
denule best esene stsaluage	-|---|----⌫|-||-⌫-|------|
t u la uachegarder as	-⌫|-|----|------⌫-|
lequiueeldeuoré as	-|--|---|------|-|
encuntre nature lea meras	-------|-----|-|-⌫----|
ecumt a me resiw eras	|--|-⌫|--⌫-|---⌫---|
e t userrasdeluiamé	|-⌫|-----|-|--|---|
bi enasoiqu e	--⌫-|-|-|--⌫|
testchargé	|--|------|
uat an atanttuascum g e	-||-|----|-|-|---⌫-⌫|
uait ign elem e nt	---|---⌫----⌫-⌫-|
oisun i ug emen t	-|--|-⌫--⌫----⌫|
sulum lesuendeuise ment	----|-|---|------⌫---|
cumandement	----------|
leleurepeirea	-|--|------||
lapast ure	-|----⌫--|
ua ch een pre ntl a cure	--⌫--⌫|--⌫---⌫-|-⌫|---|
chan gé san ature	----⌫--|-|-⌫----|
oezseign ursque lauen ture	--|-----⌫--|---⌫|----⌫---|
orest cumfilze cumpastur	-|--|--|---||--|-----|
kiainzfud le r eetolur	-|---|--|--⌫-⌫||----|
encuntre ad ore	-------|-|--|
g r antestauenu	-⌫-⌫--|--|----|
ceo m estauis	--||--|---|
decest leu	-|---|--|
quantceu s	----|---⌫|
quide lisunt	--|-|-|---|
nesun t duté nep o in t cremu	-|---⌫|----|-|-⌫-⌫--⌫|----|
t uzs u ntdamaches	-⌫-|-⌫-⌫-|-------|
nul nestparelsdamage z	--||--|--|--|------⌫|
elfruntdeuantsuntestelez	-|----|-----|---|------|
cumsid eu leseustmerchez	--|-|-⌫-|--|---|------|
leuestrange n epo et durer	--|-------|-⌫|--⌫-|----|
presd iluec	---||----|
necunue rser	-|-----⌫---|
u ein tpurr obber	-⌫---⌫|--|-⌫----|
trestuzuuntalencuntrer	------|---|||--------|
lamerueille ela auenture	-|--------||-|-------|
desqu a huiuncoredure	----||--|-----|---|
ki li leulap asture	-|-|--|-|-⌫-----|
lanou e lequantestsu we	-|---⌫-⌫-|----|--|--⌫-|
par lepais e espandue	--|-|---||-------|
alaleideu es tcunuertue	|-|--|--|--⌫|--------|
la gentque ainzertmescr ue	-|---|--|---|--|-----⌫-|
lagentp aene	-|---|-⌫---|
queer tmalueise	--|--⌫|-------|
pardiabl ed untert esprise	--|-----⌫|-⌫--|--|------|
queenemi sunt	--|----|---|
adeuseruise	|--|------|
fei dese inteeglise	--|-|--⌫---|-----|
da m pnedeu u nt tuit loé	--⌫-⌫-----|-⌫-|---|---|
qued em ortlesads alué	--|-⌫|-⌫--|--|-|-⌫----|
parsamerciesabunte	--|-|----||-|----|
deceste dame dunt ai	-|----|---|---|-|
a li repairenthalte	|-|--------|----|
reise cun tesmult suu ent	---||---⌫--|---|---⌫--|
quidelu r or elurarge nt	--|-|--⌫|-||--|----⌫-|
souentesfeiz l i funtpresent	-------|---|-⌫|---|------|
mais la d amesuluml e sc rit	---|-|-⌫--|----||-⌫--⌫--|
ason eosreciut	|--|--|-----|
end euadm issun delit	-|-⌫-|-|-⌫-|--|----|
pur quili mund ad e ndespit	--|--|-|---|-|-⌫|-----|
eglisesfait	------|---|
partu itleuer	--|--⌫-|----|
paise dedi er	---||----⌫-|
n obles pucelesifait ueler	-⌫----|------||---|----|
qui adeus euunt dune r	--||--|-⌫|---|----⌫|
seig nu rsaiezen remembrance	----⌫--⌫-|---|-|----------|
cestedamekarsanzdutance	----|---|--|---|------|
aue r poezmultgr ant fiance	---⌫|---|---|--⌫--|-----|
adauer par li multtost le gance	-|---|--|-|---|---|--⌫----|
deuosm alse deu ospechez	-|--|-⌫--||-|-⌫-|-----|
q uantnus serumtre stutiugez	-⌫---|--|----|---⌫---|----|
sulumnosmalse no sbuntez	----|--|---||--⌫|-----|
auu men tuitn osee z	---⌫|-|---|-⌫-|--⌫|
que de usiseitpl u shonu ré	--|--⌫-||---|--⌫-⌫|----⌫--|
s il uus uentseignursagre	|-|--|---|-------||--|
plus uusdirr ai	---|--|----⌫-|
dela bunt e	-|-|----⌫|
de modewennedunt ai	-|--------|---|-|
k ardauidit enzalsauter	-⌫-|---|--|--|-|-----|
cumn uslauum oicunter	--|-⌫-||---|-|-----|
bie ndeuloer	---⌫|--|---|
en sesseinz ehonurer	-|--|----||------|
ens elpaisusameisu n	--|-|---||-|-----⌫|
dame duntnusparlum	---|---|--|-----|
recettésuntdeufel laru n	-------|---|--|--|----⌫|
quegua st entt utela	--|---⌫--⌫--|-⌫--|-|
a unenuittant	|--|---|---|
ke almuster a prismeren t	-|-|-----|-⌫---------⌫|
dous uaches q ueitrou erent	---|-----|-⌫-||----⌫----|
parlareci nenamen erent	--|------⌫|-|----⌫----|
tantlunge me ntl esu nt chacees	---|-----⌫--⌫-|-⌫-|-⌫-|------|
ewelesunt men ees	--|--|--|---⌫--|
mes tantc haudesles unt	--|---|-⌫-----|--|--|
i lfuissent esch aufee s	-⌫|-------|----⌫-----⌫|
entrernipoent pur mur rir	-----|||----|--|---⌫--|
nelachalur sus tenir	-|-|-----|---⌫----|
neilnoserentreuertir	-|-||------|-------|
purtuitlauerdiciquent yr	--|---||---||--|-|-|-⌫-|
or uuntarereoreuu ntauant	-|---|----|--|--⌫-|----|
lesewesuunt par	--|---|---|--|
tuit cerchant	---|-------|
m aiscum plu s	-⌫--|--|---⌫|
lesu unt t astant	--|-⌫--|-⌫-----|
epluschaudesl esuunttrouan t	|---|------|-⌫-|---|------⌫|
oreneseuentque	--|-|-----|--|
poent f a ire	----|-⌫-⌫--|
quelpartturner ne qu el p art	---|---|-----|-|--⌫-|-⌫--|
trouen tdemalaire	------⌫|-|--|---|
quenul ne sietq ue lcunseilcre ire	--|--|-|---|-⌫--⌫|------|---⌫--|
poentdemu rrer	----|----⌫---|
neareir e n osent returner	-|-----⌫||----|-------|
al tr eu e ieuuntc h er che r	--⌫--⌫|-⌫-⌫-|---|-⌫-⌫--⌫---⌫|
ilpuissenteschaper	-|-------|-------|
trest uten u i t	-----⌫--|-⌫-⌫-⌫|
unt si erre ́	--|-|----⌫|
elesdeserze nui run é	|--|-----|-⌫---⌫---⌫-|
e schaperquidentpuruerite	-⌫------|------|--|-----|
aueir quilunte mbl é	----|-|-|--|-⌫---⌫-|
maisquantli iurs este it uen u	---|----|-|---|----⌫-|---⌫|
biense suntaparceu	---|-|---|------|
parle mus terquiluntueu	--|-|---⌫--|-|-|--|--|
q uilsunt pris	-⌫|-|---|---|
e cunfundu	|-------|
oreueientbi enki	--|-----|--⌫-|-|
le sadmorteen cum bré	--⌫|-|---||--⌫---⌫---|
si dampned eupur	-|-------⌫-|--|
delurm ai sfaitne prentpite	-|--|-⌫--⌫----|-|----|---|
oresepernenta cunsi lle r	--|-|------||-----⌫---⌫|
qua ntil ueientle	---⌫-|-|-----|-|
grant mester	----|-----|
ala d ameuuldrunt aler	|-|-⌫--|-------|---|
de lur m aisfait merci	-|--|-⌫------|----|
al e ntreie	||-⌫-----|
del abbeie	-||-----|
repentan tsunt	--------⌫|---|
delurfolie	-|--|----|
requerentquelesguie	--------|--|--|---|
amodewenneladeuamie	|--------|-|--|---|
q uan ta lad ames untuenuz	-⌫---⌫||-|-⌫--|-⌫--|----|
deuantsepiezli	-----|-|---|-|
sun t cheuz	---⌫|----|
cuntent lu i	------|--⌫|
lesg ranz ue rtuz	--|-⌫---|--⌫---|
nuitenelssentuz	---|-|--|-----|
funtsil da me mercia i ez	---||-|--⌫-|----|-⌫-⌫-|
d eces chaitifs	-⌫|--|-------|
kenusparuusse u m sa luez	-|--|--|--|--⌫-⌫|--⌫---|
al iuruserrumtuitiugiez	-|--||-----|---|-----|
mer ciaiez	---⌫-|---|
mesf iz faitelen aezpour	--|-⌫-|---|--||--|---|
iesuen croiz agrantdolur	---|-|----||----|----|
suffrilamortpu rpecheu r	-----|-|---|--⌫|------⌫|
oreuusgardezdemesprisun	--|--|-----|-|--------|
s ireceu ezconfessiun	-⌫|-----⌫-|---------|
si auerezpur ueirpardun	-|-----|--|---|-----|
deu ospechezeg aris un	-|-⌫-|-----||-⌫----⌫-|
ilrespunent q uebone ment	-|--------|-⌫-|----⌫---|
sulu mle suende uiseme nt	----⌫|-|---|--⌫------⌫-|
s ue ncuma nde ment	-⌫--⌫|----⌫---⌫---|
atantdeteresusl esprent	----|-|---|--|-⌫-|----|
eendeucunforté	|-|--|--------|
cunge lur dune	----|--|---|
sisadseigné	-||-|------|
tant s en suntale e	---||-|---|---⌫|
q uan tlanoueleestpup lee	-⌫---⌫|-|-----|--|---⌫--|
tu tela gent delacuntre	--⌫-|-|---|-|-|-----|
lauertudeu enuntloee	-|----|--|-|--|---|
em odewenne lahon ur ee	|-⌫-------|-|---⌫--⌫-|
par cestlos que ad	--|---|--|--|-|
centcinquantede lpais	---|--------|--⌫|---|
gentizpuc elesdemultgrantpris	-----|---⌫---|-|---|----|---|
de nune i ne le	-|----⌫-⌫-|-|
abith unt pris	----|--|---|
nesest pur ceoenorguillie	-||--|--|--|----------|
modew ennela deuamie	-----⌫---|-|--|---|
maistantdeplus sun	---|---|-|---|--|
cors chastie	---|------|
parfeim parseip ar dur euie	--|---|--|--|-⌫-|---⌫|--|
cestmir acle cunté auum	---|---⌫---|-----|---|
cumenz elli urele	--|--|-|--⌫--|-|
mesterkel entendum	-----|-||-------|
e l ad amedequeor	|-⌫|-⌫--|-|----|
s eittu ziursaid ere	-⌫--|--⌫|---|---⌫--|
uer s dampnedeupa rsapreer e	---⌫|--------|--⌫|-|-----⌫|
que nusnepe rdumlalumere	--|--|-|--⌫---|-|-----|
queperduunt lagentpec here	--|----|--|-|---|---⌫---|
kiparorguilepa r enuie	-|--|-----||--⌫|----|
par maluei ste par	--|------⌫--|--|
keilfir entenceste uie	-|-|---⌫--|-|----|--|
deceilperdrunt	-|---|-------|
lamananti e	-|-------⌫|
modewendesest purpensee	--------||--|--------|
kede gr ace ert alu mé	-|-|--⌫--|--|---⌫--|
kepurlagent d un test pre isee	-|--|-|---|-⌫--⌫|--|---⌫---|
partiruu ldrade lacuntree	-----|--⌫---|-|-|------|
le s granzhonursn e	--⌫|----|-----|-⌫|
poet suffri r	---|------⌫|
q ue lifait ainzuuolt	-⌫-|-|---|---|----|
pursunsei gnur	--|--|---⌫---|
de melzseruir	-|---|-----|
de munt f ocardsen uolt part ir	-|---|-⌫----||-|---|----⌫-|
issi fud leliu	---|--|-|--|
ad cunuersé	-|--------|
ronansunfr eread	----|--|--⌫--|-|
silia dsu enqu ermustré	-|-|-⌫|--⌫-|--⌫-|------|
ic ist ronanpur	--⌫--|----|--|
ep aressampl ed e sa sorur	|-⌫-|-------⌫|-⌫|-|----|
gue rpiadl egr ant honur	---⌫--|-|-⌫|--⌫--|----|
du n realmedunt	|-⌫|-----|---|
ertse ignur	--|--⌫----|
pus li fist d eu grantgwerdun	--|-|---|-⌫-|----|------|
karp ar sa grantreligiun	--|-⌫-|-|----|-------|
dehalt euesquelui	-|---|------|--|
parcommune elec tiun	--|------|----⌫---|
fr erre faite le uuscuuentaler	--⌫---|---|-⌫-|--|-----|---|
les deserzpartuitcercher	--|-----|--|---|------|
si uus pui sse z	-|--|---⌫---⌫|
nulliu tr ouer	--|--|--⌫---|
uabb e iepuis sum fermer	|---⌫-⌫-|----⌫--|-----|
unusp u issum	|--|-⌫-⌫----|
d euseruir	-⌫-|-----|
nepo umc igarir	-|--⌫-|-⌫|----|
pur lagentqu euei	--|-|---|--⌫|--|
cilest alé multbo nement	--|--|---|---|--⌫-----|
sulumle su en deuis em e nt	----|-|--⌫-|-----⌫--⌫-⌫-|
cerche ́ adtantlungement	------⌫|-|---|--------|
kel iu troue mu lt atalent	-|-⌫-|----|--⌫-||-----|
funtaineclere eserie	-------|----||----|
bo is pasturee praerie	--⌫-|------||------|
afeirta ab beie	-----||--⌫---|
quantdiluec est	----||----|--|
r e pairé	-⌫-⌫-----|
dame adtuitmustre ́	---|-|---|------⌫|
