cicomenceli	-|------|-|
licuu erss enis si de cel anferpu llant	-|---⌫--||-|--⌫-|-|--|----|--⌫----|
mo ntaem paradissor	--⌫--|-|------|--|
lerbeuerdo iant	|---|-----⌫---|
au pommiere s tuenuzqerem ise n deffant	-|------|-⌫-⌫|----||--|-⌫-|-⌫|------|
toutantor s anuiron e	---|----||-------⌫|
sagaitade tozsan s	|-----|-|--|---⌫|
queadan snelueistqui ertdegrant	--|----⌫|-||----|--|--|-|----|
et pensaqu elafeme	-|----|--⌫|-|---|
nestoit pasde	|-----|--|-|
gr a ntsens	--⌫-⌫-|---|
euecauienamoiparole au mes sagier	--|-|---||--|-----|-|---⌫-----|
moi parlerde dessozcest pommier	--|-----|-|-----|---|------|
p ra ndoufr u itqui	-⌫--⌫|--|--⌫-⌫-|--|
ciestsen essaie	-|--||-|-----|
n ou feraicedisteuedeueé nosfui er	|-|----|-|---|--|-----|--|-|-⌫-|
maniue embelesu ern en auras	-----|-|---|--⌫-||-|----|
desto rb ier	-----⌫--⌫--|
moncriator	--|------|
an com b rier	--⌫---⌫-⌫---|
iel a im de	-||-⌫-|-|
tout moncuerpas	---|--|---|--|
neldoi correcier	-||--|--------|
euedistlideablestufaizmolt grant	--|---|-|------|-|---|---|----|
fruittun emanger as	----|-|-⌫|------⌫-|
ca uienparoleamoiesco utebeleamie	-|---|-----||--|----⌫--|---|---|
ton sireettoifistdie xores ten grant	--|---|-|--|---|---⌫|-|--⌫|-|----|
prisle fruite nla	---|-|----|-⌫|-|
soiebail lie	---|----⌫--|
que il uoetque tu	--|-|---|--|-|
p erdes la	-⌫----|-|
parm enableuie	----⌫-----|--|
man iuee n ne d outer n et echautq ue	---⌫--|-⌫|-|-⌫----|-⌫|-⌫|----|-⌫-|
sa chesm a	--⌫---|-⌫|
belesuertantos t commangeras	---|---|------⌫|--|-------|
de m abouche	-|-⌫|-----|
enla toi eettula	-|-|---⌫|-|-|-|
r e ceu ras	-⌫-⌫---⌫--|
p erdras sanz	-⌫-----|---|
demorancei ceqorendr oitas	--------|-⌫-||------⌫--|-|
q ain cne ueiscertesa d oncuerras	|---⌫|-|---|-----|-⌫-⌫--|-----|
qantenauras mangi ét onsignorendon ras	---|-|----|-----⌫-|-⌫-|-----|-|---⌫--|
il feratoncomma nttanto st e neslepas	-|---|--|-----⌫-|-----⌫-|-⌫-------|
l alasse prant lapomequilif u	-⌫|----|----|-|---|--|-|-⌫|
la par ole	-|---⌫--|
au signora	-|-----||
est uenue en samainlaportee	--|----|-|-|---|||-----|
illi distdouceme n t queastufai tderuee	-|-|---|-------⌫-⌫|--|-|-|---⌫|-----|
qui tedo n alapomme ele me	--|-|--⌫-⌫|-|----|--|-|
las gespoirq enseras acor t	--||-----||-|----||---⌫|
te rmeenianee	--⌫--|------|
mamie i esai b i en etuoia	|---|-⌫|--|-⌫-⌫-|-|--||
tonsamblant	--|-------|
q uemange raslefruit	-⌫-|-----⌫--|-|----|
dontt una s	---|-⌫||-⌫|
nu l commant	--⌫|------|
donn alapomedi moiiel t e de mant	----⌫|-|---|-|--|-||-⌫|--⌫---|
certesseen	-----|-|-|
maniu esnos	-----⌫-|--|
iseronsperdant	|-----|------|
cere spont lachaitiue	-|--⌫----|-|-------|
paselcouen ant	--|-|-----⌫--|
m aniue om oibiausiregreit	-⌫----||-⌫-|---|---|---||
ensaurai moltg rant	-|-----|---|-⌫---|
certesce d istad ansbien deuonsobei r	-----|-|-⌫--|--⌫--|---|-----|----⌫|
an ostre criatornelideuons faillir	|-⌫----|------|-|-|-----|------|
car apresc estmeffait ierttart a urepent ir	--|----|-⌫--|------|---|---|-⌫|------⌫-|
se maniue slapomequeie	-|------⌫|-|---|--|-|
t e uoitenir	-⌫|--|----|
decest liuounossommesnos coue ndra	-|---|--|-|--|-----|--|----⌫---|
painnesgranzet trauausno sc ouendrasoffrir	------|----|-|------|--⌫|-⌫------|------|
paspo rnea nt decest	--|--⌫|---⌫-|-|---|
liudepart ir	--|------⌫-|
lorsli respondi euece	---|-|-------|--|-|
nemapascouent	-|||--|-----|
quilefruit m edonna ainz medi stautrement	--|-|----|-⌫|----|---|-|--⌫-|--------|
m aniueen frereomoinosremaindronsceans	-⌫----|-|----||--|--|----------|----|
uolenti ersbele s uerha	-------⌫--|---|-⌫--|-|
malporpens	--|------|
mangie rentqui lorfuend effans	------⌫---|--|--|-|-|-⌫-----|
lideabl es s en torne	-|-----⌫-||-|----|
qantlesoteni ane z	---|--|-|---⌫---⌫|
biensotq ueilseroient depara d isge tez	---|--|-⌫-|-|-------|-|----⌫-⌫-|--⌫--|
nostresiresiuintsiles aapelez	-----|----||---|-|--||-----|
d itesadanou es te spo r	-⌫---|---|-|--⌫--⌫|--⌫|
qoiuosre ponnez	--|--|--⌫-----|
sire ca suire pos de f ueilleacouetez	---|-|--|--⌫--|-|-⌫-----|-------|
et seiea i meffait la uengence	-|-|-|-⌫|------|-|-------|
cert essiferai iesachiez	----⌫-|-|----|-|------|
n i remaindrez	||---------|
por ceqasobei aeuain plus	--|-||-|---||----|---|
maleic onaurassiremaind ra	------⌫-|----|-|-------⌫-|
t u creisl edeabl equionques	-⌫|----|-⌫|-----⌫|--|-----|
ilch aidelass uzpar samaluaise fo i	-|--⌫-|-|----⌫-|--|-|-------|--⌫|
isforsdeparadisma inne tafemeo toi	-|---|-|------|--⌫---|-|---||--|
s e terre negaaingnes	-⌫|----|-|--------|
na urasaut r e conroi	|-⌫---|---⌫-⌫|-----|
sirece distadan scertescepo isemoi	---|-|---|----⌫|-----|-|--⌫--|--|
dolanzse nestiss uz adans	-----||-⌫|--|---⌫-|----|
sa famemai nneosoi essiliez et	-|---|---⌫--||--|-------|-|
etderbesetde	-||----|-|-|
fueillessontcoue rte t u estiz	-------|---|----⌫-|-⌫|-⌫----|
pluse stgraind e	---|-⌫-|------⌫|
que ne lor	--|-|--|
li sire sqesforma	-|----⌫||-|----|
molt enhaiz	---|-----|
tantonteste ́ ensamble qu e	---|--|----⌫|-------|--⌫|
il oren tyy fiz	-|----⌫|-|--|
li u nsotno na biaus et liautr eskayn s	-|-⌫-|-|--⌫|-⌫----|-|-|----⌫-|----⌫|
molt par fudekayn	---|--|-|-|---|
malel engend reure	---||------⌫----|
ain cmereneportasimalepor teure	---⌫|---|-|----|-|---|---⌫----|
qant ilfu hom	---|-|-|--|
parfaizded am erdeunot cure	------|-|-⌫--⌫----||-|---|
amort haiabe l	|---|--|---⌫|
lasaintecriature	-|-----|-------|
tualoulic u uer spargrant mesauentur e	--|--|-|-⌫-⌫---⌫|--|----|----------⌫|
mortle laissagisantcele s ainte figure	---|-|-----|-----|---|-⌫----|-----|
lassuzde sonsaint cieldesce ndi li sauuere	-----|-|--|----|---|-----⌫--|-|------|
uenuzestacaindiu a	----|--||---|---⌫|
faitilfauslere	---|-|---|---|
anemisd am e rdeu	-----|-⌫--⌫-⌫---|
qastufait detonfrere	|-|-|---|-|--|----|
kaynsarespon duc omtraitesmurdrere	----||------⌫-|-⌫-|------|-------|
nemef u com ma nde ́neien	-|-|-⌫|---⌫--⌫---⌫|-|-||
e nfuiga rdere	-⌫|--|--⌫----|
damerdie xliadit	--------⌫|-||--|
dur eparoleamere	---⌫|-----|----|
m aleoiteso itlore	-⌫------|--⌫-||--|
quet engendra tom	--||-------|--|
quesorte rre	--|--|--⌫--|
chaisfors douuentr eta	----|---|--|-----⌫|-|
di ua cuuer strai tes tui esdieua nemis	--⌫-|-----⌫|----⌫--|-|-⌫-|---|-⌫----|
t uasocis ab el enquelliu l as tu	-⌫|-|---|--⌫-|-|---|--||-|-|
correciéquilere m es	--------|-|-|--|-⌫-|
iene saiou i l	-|-|--|-|-⌫|
estcelirespontkains	--|-|-|------|----|
nemefucommandéne	-|-|-|--------|-|
engard e nelpris	-|----⌫|-||---|
cuuers dist nostre	-----|---|-----|
sires traitesmaleis	----|------|-----|
lid ea blesdenferquiestm es ane mis	-|-⌫--⌫---||----|--|--|-⌫-|---⌫--|
me re ieta depara dis	--⌫-|---|-|----⌫--|
ang ingnie ́quetonfrereasoc is	---⌫------⌫|--|--|----|-|--⌫-|
ne te sai quedoner	-|-|--|--|----|
forsmamaleic on	---|-|------⌫-|
tusoies maleoiz o tapr oce ssion	-|----|------||-|--⌫---⌫----|
ettrestuitti anfa nt	-|-------|-|----⌫-|
etc il d etameson	-|-⌫-|-⌫|-|----|
ceque laboreras i a nenait ilfuis on	-|--|--------|-⌫||-|--|-|----⌫-|
tu irasdecestsie clea gran t	-|---|-|---|---⌫--||----⌫|
enfersierttesostexto ut sanzr emission	-----|---|--|----|--⌫-|---|-⌫-------|
ab iausai t paradisenabs olucion	--⌫---|--⌫|------|-|---⌫------|
die xfi nasa paro leatantsenesttornez	---⌫|--⌫-|-|----⌫-|----||-|--|-----|
lame abel enco nduitet	|--|---|-|--⌫----|-|
li co rsest remes	-|--⌫-|--|----|
grant duel enfait	----|---|-|---|
lipere sq antl an fes	-|----⌫|-⌫--||--⌫--|
estt roue z	--|-⌫----⌫|
liduiportent	-|--|------|
letier z en	-|----⌫|-|
la terreestposez	-|----|--|----|
le duelneu ossaidir equi	-|---|-|-⌫-|--|---⌫|--|
lafu deme n ez	-|-|----⌫-⌫-|
molt iploraa danzpuiss en estretor nez	---||----|-⌫---|---||-|--|-----⌫--|
osa bel emoillierconuersa puisadanz	|-|---⌫|-------|-------|---|----|
parladeu uolen te a engendréenfanz	--|-|--|-----⌫-||--------|-----|
mesch i nesetuall ez d epetiz	-----⌫-⌫--|-|----⌫-|-⌫|----|
e tdegranz	-⌫|-|----|
lifreresprist lasuerde deuo nt	-|-----|----|-|---|-|--|-⌫-|
l escom ma nz	-⌫-|---⌫--⌫-|
dontdepar tentles ter resles	---|-----⌫---|--|---⌫--|--|
fo re zetlesch ans	--⌫--⌫|-|--|--⌫--|
d e laterreapartir ne n	-⌫|-|----||-----||-⌫|
ire mest unspans	|--⌫---|--|---|
d a bel et	|-⌫--|-|
desamortadieu formen tpe sa	-|-|---||---|------⌫|--⌫-|
lina geamistien eport a	----⌫-|------|-⌫|----⌫|
granttensfurent sorterreonques n esregar da	----|---|-----|--|----|-----||-|-----⌫-|
male uiemenoientporcelesadossa	---|--|-------|--|-|--|-----|
e t pu is quil	-⌫|--⌫--⌫-|-|
lesmaldis tonq uesp uisnesama	--|------⌫|---⌫--|-⌫--||-|--|
forme nts enrepanti qantonqueslescria	-----⌫-||-|------|---|-----|--|---|
l on gue suesq uiad anset	-⌫--⌫---⌫|----⌫-|--⌫--|-|
safameautretal	-|---|-------|
tantqan dui	---||--⌫--|
fu rentmor t niot nula rres tal	--⌫---|---⌫|||-|--|-⌫----⌫--|
qantpar ad isguerpirentassezfi rentgrantmal	---|---⌫--⌫-|---------|----|--⌫---|----|--|
ene nfertrebuche rentouilsoffri ren t mal	-|-⌫---|--------⌫---|-|-|------⌫---⌫|--|
cilquideluiissirentsior ent	--|--|-|--|-------|-|--⌫--|
lisiresquiestoit ens a grantmaieste	-|----|--|-----|-|-⌫|----|------|
correciez fuformen tsinot	--------|-|------⌫|-||-|
d i st qaho ntemorrontila	-⌫-⌫-|||--⌫--|------|-||
l apoe s te	-⌫|---⌫-⌫-|
il en iura	-|-|---|
sades t re et di stporue rite	-|---⌫-⌫-|-|--⌫-|--|--⌫---|
trestuit morront pareueissi	-------|------|--|--|---|
nenestordraqueyyquiseront onoe	|-|-------|--|-|--|-----||--|
adoncdescentdou	----|------|--|
ci elasoil aapelé	--⌫-||--|||-----|
nostresirest uies	-----|----|-⌫|--|
moltbiendemoi	---|---|-|--|
tuferas f aireune a rcheetiesir e deqoi	-|----|-⌫---|--|-⌫---|-|-|---⌫|-|--|
ami sdeces os i ers qui croi s sentantorto i	---⌫|-|--|--⌫-⌫--|--|----⌫-⌫---|----|--⌫|
maiso nceles ferasetcha mb retes p arsoi	-----⌫-----|----|-|---⌫--⌫----|-⌫-|--|
tu anterrasdedanse ttian fanto	-|-------|-----|-⌫|-|--⌫---||
l or moill iers	-⌫-|-----⌫---|
etlo rfemesqui	-|--⌫|----|--|
serontauoectoi	-----|----|--|
de toutesriensquiuiue yy	-|-----|----|--|---|-|
issi u oeilque le facesquepansél aipar	---|-⌫---|--|-|----|--|-----||-|--|
noe distnostresire bi ensai t uies prodom	--|---|-----|---|--⌫-|--|-⌫|--|-----|
i etaibiendeuisé dontfera s la	-⌫||-|---|------|---|----⌫|-|
do si ersetdebetun	|-⌫--⌫--|-|-|----|
dedanset anuiron	-----|-|------|
m aison c elesdedans	-⌫-----⌫-⌫---|-----|
qu ebestesimetr om	--⌫|-----||----⌫-|
detoutes le s manieres queel monttrouerom	-|-----|--⌫|-------|--|-|---|-------|
etlor famesde danziotroiom	-|--|----|--⌫---||------|
si remoltuol entierscerespon t	--⌫-|---|---⌫------|-|------⌫|
li prodo m	-|-----⌫|
sitostcoml archeiertf a i te	-|---|--||----|---|-⌫-⌫-⌫-|
noe bi e nlesaur ai	--|--⌫-⌫|-|----⌫-|
des yypars	--|-|---|
do u mondeyau es cro is t refera i	--⌫|----|---⌫-|---⌫--⌫-⌫-|----⌫|
ya u es douces aunassamb lerai	--⌫-⌫-|-----||-|------⌫----|
leplus ha ut	-|---|--⌫-|
m ondediaueacouetera i	-⌫---||---|---------⌫|
ho m eetfemes en	--⌫-⌫|-|----|-|
t er re qa nqueu itnoierai	-⌫--⌫-|--⌫---|-⌫-|------|
oisiaus etb estes m ues noier	------|-|-⌫----|-⌫--|----|
consentirai	----------|
fors ceausq ensamble	---|----||-------|
otoidedanslarchemetrai	|--|-----||----|-----|
adoncfloteral archeso r	----|------||----|--⌫|
lesonde sde mer	--|----⌫|-|--|
m ona rcelciel	-⌫-|-⌫-|-|---|
metrai qant ieuoldra ice sser	-----|---|-|------⌫|--⌫---|
ado ncfer ailesyauesen	---⌫-|---⌫-|--|----|-|
lorliusretorner	--|---|-------|
a misnoelpor toiuold ra itoutrestorer	-⌫--|---|--|--|----⌫--⌫|---|-------|
noetoz lescommanzson	--|--|--|------|--|
signoraamplist	-----|-------|
li b onshom	-|-⌫--|--|
lar ch eaprestechambres dedansifist	|--⌫--⌫|------|-------|-----||---|
sa fam eetsesanfanz etlor	-|---⌫|-|--|-----|-|--|
famesimis t	----||---⌫|
le soi siaus et les	--⌫|--⌫----|-|--|
bestessicom diex	-----|-|--|---|
li tremist	-|------|
et malesetf emeles	-|----|-|-⌫-----|
chascun parsoieslit	------|--|--|----|
no eclostsafene stre le z	--⌫|----|-|----⌫---|--⌫|
safame sasist	-|---||----|
liso la us et la luneperdirentlor clarte	-|--⌫--⌫-|-|-|---|--------|--|-----|
adon c tornali mondesenmolt gran t oscur te	----⌫|----|-|-----|-|---|----⌫|-----⌫-|
molt fud iex cor rec iez	---|-|-⌫--|---⌫---⌫--|
simostras a fierte	-|-----|-⌫|-----|
monsfudol a nzq ants esenti	---|-|---⌫-⌫-|-⌫--|-⌫|----|
ner em estene stan t ne	-|-⌫--⌫--|-|-⌫----⌫|-|
chastelne c i te	------|-|-⌫-⌫-|
ia onttoutesles	-|--|-----|--|
yaue sl emo ntanuir onné	----⌫|-⌫|--⌫-|-----⌫----|
liauesozlarchedont otpoor n oe	|---|--||----|---|-|---|-⌫-|
cil quiloresuiuoientqantoirentton er	--|--|----|-------|---|-----|---⌫-|
plo uoir etgresloieretlaterre	---⌫---|-|--------|-|-|----|
delal uneetdou solei l	-|-|-⌫--|-|--|-----⌫|
uoientcesyauescroistre	-----|--|----|-------|
et l esuenzsorm onter	-|-⌫-|---|----⌫----|
sorleshausmonss en fuientporloruies	--|--|---|---||-|-----|--|--|---|
maiscequel or ualun	---|-|--|-⌫-|---||
emporen teschaper	-|-----⌫|-------|
hom e bestesoise ltuit	---⌫|-----|----⌫|---|
noierent enmer	-------|-|--|
qan tceuitnostresires tuit	---⌫|-|--|-----|----|---|
estoientno i é	-------|--⌫-⌫-|
talent nefupascorreciez	-----|-|-|--|--------|
laa mont ouil	-|-⌫---|-|-|
est o ses an g les	--||--|--⌫-⌫--|
deffentquema isnepl u iedoncas on	------|--|--⌫-|-|--⌫-⌫-|---||-⌫-|
arc tendié	--|------|
de noel etdes siensli a	-|---|-|--|----|-||
pris grantpitie	---|----|----|
et command eq ueuoisentarrieres	-|-------⌫|-⌫-|------|-------|
qant diexl ot c omma nde ́sicessa de plouoir	---|---||-|-⌫----⌫---⌫|-|----|-|------|
le solei lparm a tin aparoir	-|-----⌫|--|-⌫-⌫--|------|
uitle suenz apaisiezmolten	--|--⌫|---|-------|---|-|
fu li ez por uoir	-|--⌫-|--|---|
asesan fanz a	|--|--⌫---||
dit nosgarronsia por uo ir	--|--|------|-|--|--⌫-|
seses euesabaissentcomlepo rronssauoir	-|--|---|--------|--|-|--⌫----|-----|
ce lire spo ntsesfiz nos te	-|-|--⌫---⌫-|--|--|--|-|
d ironsiauo ir	-⌫----|-|--⌫-|
par z zdecesoisiausporras a parceuoir	--|-⌫|-|--|------|-----|-⌫--------|
il ne reu endrapasseterrepuet auoir	-|-|---⌫----|--|-|----|---|----|
noese leuasuzp orl a	--|-|---|--|-⌫-|-⌫|
fenestreourir	-------|----|
lors apriszz corbelsilenl aissai ssir	---||---|-|-----|-||-|-⌫----|-⌫---|
licorbiau fumolt liez qant	-|------|-|---|---|---|
sem potdepartir	|-|--|-------|
nea larc hen oe	-|||---⌫-|-⌫-|
neuos tpuis re uenir	-|---⌫|---|--⌫----|
ue uquepa sne reuendr a	--⌫|--|--⌫|-|-------⌫|
i l aquiszzcoulontantqueil	-⌫||---|-|-----|---|--|-|
mistlesor la fenestre	---|-|--|-|-------|
etcongielidona	-|-----|-|---|
tout uole ́que laterre troua	---|----⌫|--|-|----|----|
unraim doliu e a prisal	-|---||----⌫||---|||
arc here paira	---⌫-|--⌫----|
no e liuaancontre	--⌫|-|-|-------|
e tantrerl ilaissa	-⌫|-----|||-----|
noedeuintmolt	--|-----|---|
liezqant illecoulonuit	---|---|-|-|-----|--|
uers leciel regarda	---|-|---|------|
adieugracesrendit	|---|-----|-----|
assistsoidess uslarcheet le raim li	-----|--|----⌫-||----|-|-|---|-|
rece ualeraima	----⌫||-|---||
ses anfa nzadit	--|----⌫-||--|
uenu z estlicoulons oun ramelpetit	----⌫|--|-|------||-|----|----|
desor aura denosno stresi res	--|-|---|-|--|--⌫---|--⌫--|
suzlesondes demeruacele archeflotant	--|--|----|-|--|-|---|----|------|
uers lesm onsd	---|--|-⌫--||
erme niel es ualiuenzchacant	----⌫--|-⌫-|-|-|---|------|
noesa fame	--|-|---|
ets i anfant	-|-⌫|-----|
larcontueue lcieldecolorsapa rant	|--|--|--|-⌫|---|-|-----|---⌫---|
etu o itde	-|-⌫-⌫-|-|
tou t esparsleseues	---⌫-⌫-|---|--|---|
lesdoucesdes saleesse	--|-----|--|-----|-|
uontbiendesse urant	---|---|-----⌫----|
so rles monsderme nie	--⌫|--|---||----⌫--|
remestlarche	-----||----|
sor lesmonsd ermenieestoitl	--|--|---||------|-----||
archear riuee	----|--⌫----|
destr auaxq	--|--⌫---||
ot soffertne fu pointdep anee	-|------|-|-|----|---⌫---|
no es enest	--⌫||-|--|
issuz safame etsamaisnee	----|-|---|-|-|------|
lafene stre a	-|----⌫---||
ouerte qu i fuetgran z et	-----|--⌫|-|-|----⌫|-|
lioiselsen issirent tuita	-|----||-|-------|---||
l a rma ille	|-⌫---⌫---|
uaf orspa ist requi m oltere	-|-⌫--|--⌫---⌫-|--|-⌫--|--|
d onco nt guerpie l a r c hepasne	-⌫--|-⌫-|------||-⌫-⌫-⌫-|--|-|
fu remu ee	-|----⌫-|
archesiafaitsa maiso n	----|-||---|-|-----⌫|
deda nsm i s tse s anfanzolor	----⌫-|-⌫-⌫-⌫|--⌫|-----||--|
process io n	-------⌫--⌫|
pl usnauoitgente l	--⌫-||----|---|-⌫|
sieclesicomlisanttrouon	-----|-|--|-----|-----|
il n efurent	-|-⌫|-----|
queyyseconterlesuolom	--|-|-|-----|--|----|
s estroisfi z	-⌫-|----|--⌫|
ape la ant o rsoi	---⌫-|---⌫-⌫|--|
mianfa n t uo ssa ue z	-|----⌫-⌫|--⌫|--⌫--⌫|
queiesuifebl eshom	--|-|--|----⌫-|--|
dema ntresqueie uif	----⌫-------|-|--|
iai tcontencon	|--⌫|--------|
enyypa rzlaterre entre nos	-|-|--⌫-|-|----|----|--|
sor lesmonsd ermeni eest nostrearchearrestee	--|--|---||------⌫|--|-----|----|-------|
de toutesparzan fant est	-|-----|---|--⌫---|--|
largelac ontree	----|-|-⌫-----|
iesaibien qen c est montnest	-|--|---||-|-⌫--|---||--|
nul eam eeschape e	---⌫|--⌫|-------⌫|
q ueparcest	-⌫-|--|---|
g rantdelug e	-⌫---|-----⌫|
neso i t amortliuree	-|--⌫-⌫||---|-----|
nostre sir e nosaces t e terredo nee	-----|---⌫|--||---⌫-⌫|----|--⌫--|
iela uosuoil	-|-|--|---|
partir faitenen	-----|----||-|
soitm ellee	---|-⌫----|
cillorade partie	--|--||--⌫-----|
lie ensontlian fant	--|-|---|-|--⌫---|
noe ssemelesterres sesuingnesu a planta nt	---⌫|---|--|-----|--|------|-⌫|------⌫-|
ilestoitmoltuiaush om	-|-----|---|----|-⌫-|
p ainneauoiteugrant	-⌫----|----|-|----|
doupr emieruin qu	--|--⌫----|--|-|
ilotli bonshom si	-|-|-|---|--|-|
queyures s end ormi	--|----||---⌫---|
ainz le soleilcouc h ant	---|-|-----|----⌫-⌫--|
desc ouer tot	----⌫----⌫|-|
sommenbrequenelsote ndormant	--|-----|--|-||--|-⌫|------|
liainznezdesesfizl ena l amolt	-|------|-|--|--||-|-⌫-⌫|---|
senuinta u	|-|---|-⌫|
fr erese tum ecr oiz	--⌫--|-|-|-⌫|--⌫--|
par fo itu	--|--⌫|-|
m e siura s	-⌫|-----⌫|
sesfr ereslir es p ontpremiersmediq ueas	--|--⌫---|-|-⌫--⌫-⌫--|-------|-|-|-⌫-|-|
laforsgi stnostreperesdesc ouers de sesdras	-|---|--⌫-|-----|----|----⌫----|-|--|---|
por qoilas descoue rt sachesquelcomparr as	--|--||-|-------⌫-|-----|--||-------⌫-|
iasa beneiconenta	-|-|-------|-|-|
uie naura s	--||----⌫|
s omperep loré	-⌫-|---|-⌫----|
porce q ue	--|-|-⌫-|
lotescharni et gabé	|-|-------|-|----|
sescheueaxdetir asa doucuersoupir é	--|------|-----⌫|||--|---|------⌫-|
ilrecula uersluine lapas	-|-----|---|--|-|||--|
sil e racouet a belementet	-|-⌫|-------⌫|-------|-|
es u illasauns oupirgeté	--⌫-⌫---|||-|-⌫----|----|
i llora d itqui	-⌫|--||-⌫-|--|
