ormec ouient telcose	-|-|-⌫-----|--|---|
etgrant fain q ui mou lt le de haite	-|----|---|-⌫-|---⌫-|-|--⌫----|
siconme i l uintaunearee	-|----|-⌫|---||--|---|
si senen t raenunepree	-||-|--⌫-⌫-|-|--|---|
puissenu int dro i taune	---||-|-⌫--|---⌫-⌫||--|
moultdolansetmoultsecouro u ce	----|-----|-|----|-|-----⌫-⌫-|
quilp uiss e mengierausouper	-|-|-⌫----⌫|------|-|-----|
uoitr i e nsdesa p astu r e	---|-⌫-⌫-⌫-|-|-|-⌫----⌫-⌫|
l ambleure	|-------|
forsdoubose tui n t	---|--|--|-⌫|--⌫-⌫|
are stéssestdefainbaai ll e	---⌫----||--|-|---|----⌫--⌫|
maigresestoit	------|-----|
etmoultch etis	-|----|--⌫---|
gr antfain	--⌫--|---|
auoitenson pais	----|-|--|---|
d eu re sen autressestendelle	|--⌫--⌫|-|-----||---------|
etses uentres sisesmeruelle	-|--|------|-||---------|
et si boel	-|-|---|
quisontd ed e ns	--|---|-⌫--⌫-⌫-|
que font sespoesetsesdens	--|---|--|---|-|--|---|
dangoissegientetde	|-------|----|-|-|
et do ugrant fai nquimoult le blece	-|--⌫|----|---⌫|--|----|-|----|
lors distquilf ait malua isatendre	---|---|-|-|-⌫--|-----⌫-|------|
a c ouu on ne puetriensprendre	|-⌫-||-|-|---|----|------|
a icestmo tparzzsentier	|----|--⌫|--|-|------|
s encorutzzarpenten tier	|-|----|-|-----|--⌫---|
onquesneuolt entrer	-----|-|---|-----|
tantque iluint azztrespas	---|--|-|---||-|------|
s i conmeot lecorr elassié	-⌫|----|-|-|----⌫|------|
si a coisi e n	-||----|-⌫|
z zplaisie	-⌫|------|
parencoste d unesauaines	--|------||---|------|
uneabeiede blan smoisne s	--|----|-|----⌫|------⌫|
e tunegrai gnepardencos te	-⌫|--|----⌫--|--||-----⌫-|
urenarsuoetf a ireu ne	|-----|---|-⌫-⌫--|-⌫-|
la graignefu moul tbien	-|------|-|----⌫|---|
limurfurent de	-|--|-----|-|
moul t fortneuous enmentirons	----⌫|---|-|---|-|--------|
etfur entc losto utenuir on	-|---⌫--|-⌫--|--⌫-|-----⌫-|
d un fossedonthauteestla	|-|----|---|----|--|-|
puet riensquiui ue	---|----|--|--⌫-|
tolirparforce	----|--|----|
puisquelagraigne estfermeet	---|--|-|------|--|----|-|
plentiueuse estdenor eture	----------|--|-|---⌫----|
care llees t	--|-⌫--|--⌫|
en bonepas t u r e	-|---|---⌫-⌫-⌫-⌫|
moultparestoit bone	----|--|-----|---|
lag raigne	-|-⌫-----|
ma is apluisorsesto it	--⌫-||-------|----⌫-|
estraig ne	-------⌫-|
assesi a detel ui ande	----|||-|--|--⌫---|
com renars li houpilsdeme ind e	--|-----|-|------|----⌫---⌫|
gelin esc ap ons sorannes	-----⌫-|-⌫--⌫--|-------|
renars estce lepartalés	-----|--|--⌫-|---|----|
par mi lauoieafait zzsau t	---⌫-|-|---||---|-|---⌫|
tousa brieuésde fair e	---|-⌫-------|-|----⌫|
onqu es nefusesfrainstenus	----⌫-|-|-|--|-----|----|
tant quilest ascaponsu enus	---|-|-|--|-|-----|-⌫---|
s or le fosses esta restés	-⌫-|-|----||--|-⌫------|
degaaignier t ozaprestés	-|--------|-⌫-|--------|
e t desgelinesassalir	-⌫|--|------|------|
m aisaelles nepuet	-⌫--||----|-|---|
r ecortenm ilagr aigne	-⌫----|---⌫|-|--⌫----|
nitrueuemaisn e pont neplanche	||-----|---|-⌫|---|-|------|
nepert rui smoul tse	-|----⌫---⌫|----⌫|-|
desconforte	----------|
lorsregard edeuers laporte	---|------⌫|-----|-|----|
et uit le guicetentrouert	-|--|-|-----|--------|
et legelinierent rouert	-|-|-------|---⌫-----|
cel epartuint outreselance	---⌫|---|---|----|-|----|
o res t re narsen gran tbalanc e	-⌫|--⌫|--⌫---|-|----⌫|------⌫|
carseonpuetaperceuoir	--|-|-|---|---------|
que illesuoelledece uoir	--|-|--|-----|----⌫---|
lim oineret enront	-|-⌫---|---⌫-----|
son ga ige	--|--⌫--|
etluimeismese nost aige	-|--|------|-⌫|---⌫---|
carfelonsontademesure	--|----|---||-------|
cuicauttoutestenauenture	--|---|---|--|-|-------|
or ua renarsparle porpris	-|-|-----|--|-|------|
grantpa o r a destresorpris	----|--⌫-⌫|||----|------|
uint asgelines siescou t e	---|-|------|-|-----⌫-⌫|
ueritesque	------|--|
moultsed oute	----|-|-⌫---|
quebiensei tquilfait	--|---|---⌫|-|-|---|
r euenusest par	-⌫-----|--|--|
grant paora qu e	----|---||--⌫|
onne l oie	-|-||--|
i stdelacort e ntre enla	-⌫-|-|-|---|-⌫---|-|-|
etsecomen cea porpens er	-|-|-----⌫-||-------⌫-|
quebesoinsfaituielletroter	--|------|---|-----|-----|
et l i fainstantlep artormen te	-|-⌫|----|---|-|-⌫--------⌫-|
oubiaulisoitouserepente	-|---|-|---|-|-|------|
qu ellelefaitarriersfichi e r	-|---|-|---|------|-----⌫-⌫|
p o rlesge line sarochier	-⌫-⌫|--|--⌫----⌫|-------|
rena rsarri ere	----⌫-|----⌫--|
graigneentrepar derierre	------|----|--|-------|
sic oiem entcain s nese	-|-⌫----⌫--||---⌫|-|-|
les ge li n esn enaperc urent	--|--⌫--⌫-⌫-|-⌫||-----⌫----|
sorzz tas enot yy fiché es	--|-|--|-|-|-|------⌫-|
quiestoi entamort iugié s	--|-----⌫--||---|------⌫|
et cils q uiestalésen	-|---|-⌫-|--|----|-|
semontasorzz tasde	-|----|--|-|--|-|
por lesg elinesa prochier	--|--|-⌫-----|-⌫-------|
les gelinessententlogier	--|------|------|-----|
li fuerresientres salir ent	-|-----|-|-|----⌫-----⌫--|
a ngletsetapirent	-⌫----|-|-------|
etr en arsapreselles sen torne	-|-⌫--⌫--|----|----||-|----|
siles aprises to ut	-|--||-----|--⌫-|
il les uit	-|--|--|
e nanglees	-⌫-------|
toutes troisl es	-----|----|-⌫-|
aestranglees	|----------|
d esy y en fait	-⌫-|-⌫|-|---|
sesg reno ns bruire	--|-⌫----⌫-|-----|
latie rce uorraport er	-|---⌫--|----|----⌫-|
q uantot mengiésifua	-⌫---|-|------|-|-||
delagraign eistpar une h a ise	-|-|------⌫|--|--|--|-⌫-⌫--|
etsachi eregelineenp or te	-|-|---⌫--|-----|---⌫--⌫-|
maissiconme	---|-|----|
il uinta lap orte	-|---||-|-⌫---|
siotmou ltg ranttale nt deboi re	-|-|---⌫-|-⌫---|----⌫-|-|---⌫-|
ciusqu i sotbienla	---|--⌫|--|---|-|
ge ntdecoiure	--⌫-|-------|
unpuis a uoitenmi la	-|---|-⌫---|---|-|
renarsleu itcelepartcort	-----|-|-⌫-|---|---|---|
porsasoifque	--|-|---|--|
e staindr e	-⌫-------⌫|
m ais ilnepuetaleweataindre	-⌫--|-|-|---|||--|-------|
orarenarscelpuctrouué	-||-----|--|--|------|
moultp ar leui t	----|-⌫-|-|--⌫|
pa rf ont etle	--⌫--⌫--|-|-|
dedens neuolt i lpassalir	-----|-|---|-⌫|--|----|
p a orot desoimalbailir	-⌫-⌫-|-|-|--|--------|
puet engien sauoir	---|-----|-----|
conmenti lpuist deleweauoir	------|-⌫|----|-||--|----|
signor or escoutésmerue lle s	-----|-|--------|-----⌫---⌫|
puc s iauoit yy selles	--|-⌫|----|-|-----|
quantluneuie ntet	----||--|---⌫-|-|
etrenars qui t ant	-|-----|--|-⌫--|
seloncle puc s	-----|-|--||
estacostés	--|-------|
grai nsetmaris	----⌫-|-|----|
et trespensés	-|----------|
dedensconme nce aesgarder	-----|-----⌫--||-------|
etsonombrea aboot er	-|--|----||-----⌫-|
lorl ontdiauble	--||--|------|
desonombre quil a ueu	-|--|----|-|-||--|
cuida q ue cefust	----|-⌫-|-|---|
safem equaimedamorfine	-|---⌫|-|---||---|---|
que herb e rgiéfust	--|----⌫-⌫----|---|
ren ar sfupe nsisetdole ns	---⌫--⌫|-|--⌫---|-|----⌫-|
il ademand équiestu	-||------⌫-|--|-|-|
d i moila deden squefais t u	-⌫|--|-|-----⌫|--|---|-⌫|
lauois doupucuie nt	-|---|--|--|---⌫-|
cont remont	----⌫-----|
renarsl oy drecelefro nt	-----||-|----|-|---⌫-|
ilrap elau nea utrefois	-|---⌫--|-⌫-|-⌫---|---|
contremontresortilauois	---------|------|-|---|
renarsloimo ultsesmeruelle	-----||-|--⌫--||---------|
sespiesamisen u ne	--|---||--|-|-⌫-|
ainsnesot motsiuint aual	---|-|--|--|-|---|---|
or liestencontrémou ltmal	-|-|--|--------|---⌫-|--|
quantilfuenle we che us	----|-|-|-||-⌫-|---⌫-|
biensotqueilfudeceu s	---|--|--|-|-|-----⌫|
quants af e me	----|-⌫|-⌫-⌫-|
nia t enue	|||-⌫---|
quill ic uidoit	-|-|||-⌫-----|
au oirue ue	--⌫--|--⌫-|
orest renars	-|--|-----|
enmal ef rape	-|---⌫|-⌫---|
diaub le l ontmisen	-----⌫-||--|--|-|
tele trape	---|----|
acost éss estaunepierre	-----⌫--||--||--|-----|
b ienuolsistes tremors en bierre	-⌫--|------|--⌫--|---|-|-----|
licaitiss ue ffre granthaschie	-|-----|-⌫--⌫---|----|------|
moultasouent lap el	----||-----|-|-⌫-|
o restmieusque nfersne engies	-⌫|--|----|-|-⌫----|-|-----|
aboindroitest ciuscunchiés	|---|----|--|---|--------|
iorsmettoutson pooir	---|--|---|--|----|
ato ut lemond e deceu oir	|--⌫-|-|----⌫|-----⌫--|
or nesetrenarstrouer	-|-|--|-----|-----|
en que lmaniered oupucisse	-|---⌫|------|-⌫-|--|---|
nu lsnelporoi tesleec h i e r	--⌫-|-||-----⌫|------⌫-⌫-⌫-⌫|
grantir ees t esmeus	----|--⌫|--⌫|-----|
q uant ilestensid eceus	-⌫---|-|--|---|-⌫----|
neprisezz bou ton totso n	-|----|-|---⌫--|--|--⌫|
signorilauint	-----|-|----|
ace lenui t et aceleeure	|--⌫-|---⌫|-||---|---|
quyse ngrinssans nule	-|---⌫-----|---|---|
senestissusd unegrant	|-|--|----||--|----|
quequer relico uuintuiande	--|----⌫-|-|--⌫----|-----|
quelifa ins ligrieue	--|-|--⌫--|-|-----|
to rnésse nesti riement	--⌫----||-⌫|--|-⌫------|
ma i sonasrendus	--⌫-⌫--|-|-----|
les gra ns	--|---⌫-|
lepais trouamou lt	-|---|----|---⌫-|
ciconuersen tfaitilmal fe	-|---------⌫|---|-|---⌫-|
qu eonnipuet troue r	--⌫|-|||---|-----⌫|
ne riens nullequeondema n de	-|----|----|--|-|----⌫-⌫-|
tornésen esttout le passet	------|-|--|---|-|-----|
corantsen uintuersleguic et	-----||-|---|---|-|----⌫-|
pardeuantla rendat ion	--|-----|-|------⌫--|
s enes t uenusle gra nt troto n	|-|--⌫|----|-|---⌫-|-----⌫|
le puctr ouaenmi sa	-|--|--⌫--|---|-|
u rena rs li rousses banoie	|----⌫-|-|---||--⌫-----|
desus lepucs estac liné s	----|-|--||--|--⌫-----⌫|
gr ainsetmariset	--⌫---|-|----|-|
trespensés	----------|
dedensconmenceae sgarder	-----|-------||-⌫------|
etsonombr ea bo eter	-|--|----⌫||--⌫---|
uitplusesga rda	--|---|----⌫--|
to utens icomre narsouura	--⌫-|---⌫|--|--⌫---|----|
co nmeil secouchasusadens	--⌫--|-|-|-----|--|----|
omb re quil u it laiens	---⌫-|-|-|-⌫-|-----|
cuidaque f ustda mehe rs ens	----|--|-⌫--|--⌫-|--⌫--⌫--|
que herbe rgiéfust dedens	--|-----⌫----|---|-----|
etquerenarsfust	-|--|-----|---|
sacie ́spas neli	-----⌫-|--|-|-|
etd istmoult pa r	-|-⌫--|----|--⌫|
suimalbailis	--|--------|
de mafemeuils ethonis	-|-|---|---|-|----|
quere nars	--|--⌫---|
m aforstraite	||---------|
etau o ecsoiceansatraite	-|--⌫-⌫-|--|----|------|
moultest ore	----|--|--|
traitresle rr es	-------|--⌫--⌫-|
quien sid ecoitsacomere	--|--⌫-|-⌫----|-|-----|
sinemepuisdelui ga rder	-|-|-|---|-|--|--⌫---|
maisseie l pooie	---|-|-||----|
si faitementme nuengeroie	-|--------||-⌫|--------|
iamaisblasmen en aueroie	-----|-----||-|------|
lo r sahu rlépar g rantuertu	--⌫-⌫||--⌫---|--|-⌫---|----|
a sonombredist quie stu	|--|----|---|--|-⌫|-|
que pense stuputep rouee	--|-----⌫|-|---|-⌫----|
quantorenar t	----||-----⌫|
taicitrouee	|-|-|-----|
lauois reso rti	-|---|----⌫--|
contremont	---------|
selisa mbleque lirespont	-|-|--⌫---|--|-|------|
lorsa hurlé uneautre fois	---||-----|--|----|---|
contremont res ortilauois	---------|---⌫---|-|---|
que qu ysengr ins se dementoit	--|-|------⌫--|-|--------|
tresto u tescout o it	------⌫-⌫|------⌫-⌫-|
quantas ses lotlas siéthurler	----|--⌫--||-|---⌫----|-----|
puis silaprisaa peler	---|-|||---||-⌫----|
kies coudie usquim aparole	-|-|--|---⌫-|--||------|
ia tien ge ca de den sesc o le	-|---|-|-|--⌫---⌫|---⌫-⌫-|
quiest uua distysengri ns	--|-|-⌫|-|---|-------⌫-|
ia sui ie uostres bonsuoisins	-|--|-|------|---|------|
q ui fuiiadis	-⌫-|--|----|
uostrez compere	------|------|
amiés que uos trefrere	-----|--|---⌫--|----|
par fo ir enart	--|--⌫|-⌫----|
quitantsaietd	--|---|--|-||
engienetd art	-----|-||--|
suimorsl a di eu merci	--|---|-⌫|--⌫-|----|
ma pen eancefac ici	-|---⌫----|--|--|
d istys engr inscest	-⌫--|--⌫----⌫--||--|
mesconfors	--|------|
renart des	-----|--|
quan tes tu dont mo r s	----⌫|-|-|---|--⌫-⌫|
etilli resp ontdes l	-|-|-|----⌫--|--||
doitmeruillier	---|---------|
seiesuimorsausi morront	-|-|--|---|---|------|
t resto utcil quien uie sont	-⌫-----⌫-|--|--|-|--|---|
parmi lamort lesc ouue nra	----|-|---|--|-⌫----⌫--|
iorque dieusu o rra	--|--|----|-⌫-⌫--|
oratentm armenostrezsirez	-|----||---|------|----|
horsdecestmartire	---|-|---|------|
d e c el puant sie cle	-⌫|-⌫-|----|---⌫--|
mais que die u salamort	---|--|---⌫-⌫||-|---|
i euouspr ibialsc omperesdo ls	-⌫|---|--⌫|----|-⌫------|--⌫-|
pardonés lescorous	--------|--|-----|
que lautr iereuste s uersmoi	--||----⌫--|-----⌫|---|--|
dist yse ngrins etiel	---|---⌫-----|-|-||
oruoussoient t u itpar donné	-|---|-----|-⌫-⌫-|---⌫-----|
c omperescietdeuant de	-⌫------|-|-|-----|-|
maisde uostremort	---|-|-----|---|
sui dolans	--|-----|
distrena rsetiensuiioians	---|----⌫-|-||-|--|-----|
i oiansenie suo ire parf oi	-⌫----|-|--⌫|--⌫--|--|-⌫-|
b iaus comperesdi moiporcoi	-⌫---|-------|-|--|--|--|
q uel i mienscors	-⌫-|-⌫|----|---|
gist enlabier e	---|-|-|----⌫|
cies h er me lineensatais niere	---|-⌫--⌫--⌫---|-|-|----⌫----|
et mameestem	-||--|--|-|
paradis mise	------|---|
d euantles	-⌫----|--|
piesihes uasi se	---|----⌫|---⌫-|
com per es ses porcoi i el uoel	---⌫---⌫-|--|--|--|-⌫||---|
onquescur edo rguel	-----|---⌫||-⌫----|
se tue soureg neterr estre	-|-|-⌫|-|---⌫-|----⌫----|
iesui em paradi scelestre	-|--|-|------⌫|-------|
caiens sontles	-----|---|--|
g aaigneries	-⌫---------|
li bosliplain	-|--|-|----|
lespraieries	--|--------|
c iens a richepoucinaille	-⌫|--||----|----------|
cienspues u eoirmainteo uaill e	-|--|---|-⌫---|-----|-⌫-----⌫|
e tma inte	-⌫|--⌫---|
o eet ma i ntechieure	-⌫|-|--⌫-⌫--|------|
ciensp uetonueoirmaintlieure	-|--|-⌫--|-|----|----|-----|
etb ues etuaiches	-|-⌫--|-|------|
et mou tons	-|---⌫---|
espriuiers ostoirs	---------|------|
ysengrinsiure saint siluestre	--------|---|----|--------|
qu e il uo rr oitladede ns estre	--⌫|-|--⌫--⌫--|-|----⌫-|----|
r ena rsdist lassiéscouester	-⌫---⌫-|---|-------|--|----|
ciensnepoésuousentrer	-|--|-|----|---|-----|
paradisestcelestiaus	------|--|---------|
mais nestmiea	---||--|--||
tousconmunaus	---|--------|
moultaseste ́tousi orspechier res	----|-|----⌫|---|-⌫--|-------⌫--|
felettrai tr ese ttr ichier res	--|-|----⌫--⌫-|-⌫|--⌫------⌫--|
m asm escreu	|-|-⌫-----|
p ar dieu e t	-⌫-|---|-⌫|
grant ue rtu	----|--⌫--|
ainsneli fisdescoue nue	---|-|-|--|-------⌫--|
nonquesparmoine fucroissue	|-----|--|--|-|-|-------|
tu dis q u e tes filsauoutrai	-|--|-⌫-⌫|--|---|-------|
onques certesnele	-----|-----|-|-|
parce l sig norquime fis tn é	--|--⌫|---⌫--|--|-|---⌫|-⌫-|
enail a uerite	-|-|-⌫|-----|
s airement e n astoutez	-⌫-------|-⌫|-|-----|
sancouquepointne	--|--|--|----|-|
d ist ysengrins	-⌫--|--------|
ieuousencroi	-|---|-|---|
seluouspar d oingenbonefoi	-||---|---⌫-⌫---|-|---|--|
m aisfaite smoilaiens entrer	-⌫--|-----⌫|--|-----|-----|
rena rsrespont	----⌫-|------|
lassiés este r	-------|----⌫|
nauonscure de noise	|----|---|-|----|
lapoé sueo ircel eboise	-|----⌫|---⌫-|---⌫|----|
audoilia mos tréla selle	-|--|-||---⌫---|-|----|
orescoutésune meruell e	-|--------|--|-------⌫|
re narsse tbien son sensespandre	--⌫---|--⌫|---|--|---|-------|
liauoitfai t enten dre	-|----|---⌫|-----⌫--|
quelessell es qui laes toi ent	--|--|----⌫-|--|-|--⌫---⌫--|
quia la poliepen doient	--||-|----|---⌫-----|
poisessontdebienet de mal	-----|---|-|---|-|-|--|
par dieule pere	--|---|-|---|
es peri tal	--⌫----⌫--|
dans r enarsqui toutseitt richi er	---|-⌫----|--|---|---|-⌫-----⌫-|
qui le b eoitaengingnier	--|-|-⌫---||---------|
fai t esso ntpar	---⌫-⌫-|--⌫-|--|
ite lesgart	---⌫|-----|
quequantl a nmed oucors separt	--|----||-⌫--|-⌫-|---|-|---|
ubi enlisieceu	|--⌫-|-|----||
bienli griet	---|-|----|
a un epoisebien sasiet	|--⌫|----|---||----|
etdieus par e stausipoissans	-|----|--|-⌫-|---|-------|
seli honsestb ien	-|-|---|--|-⌫--|
i lse deua lec hadeius	-⌫|-|----⌫-|-⌫-|-|--|
etlimausrem ain t	-|-|---|---⌫---⌫|
touslassus	---|-----|
mais h onssilna	---|-⌫--||-|||
conf esseprise	----⌫---|----|
nepo rroit	-|--⌫----|
pase nnuleg u ise	--|-⌫|---|-⌫-⌫--|
ci aualerieletedi	-|-----|-|-|-|-|
ysengrinsrespo nto r	--------|-----⌫-|-⌫|
sit aitlisains e speris	-||--|-|----|-⌫-----|
astu tespe chies regehis	-|-|--|--⌫----|------|
oilfaitilaun	--|---|-||-|
uiellieure	---|-----|
barbuechieure	-----|------|
moulttresbienetmoultsaint emen t	----|---|---|-|----|-----⌫----⌫|
n auramaismanmedampnement	|---|---||---|---------|
porcos equ asiecl e aiefaite	--|---⌫|-||-----⌫|--|----|
neporc aciénepo rtr aite	-|----⌫----|-|--⌫---⌫---|
seuo usuolés c a	-|--⌫-|-----|-⌫|
ancoi suouscou ientcon fess er	-----⌫|---|---⌫---|---⌫----⌫-|
etdeuos pechie s repentir	-|-|--|------⌫|-------|
carnulsn ep ue t	--|---|-⌫|-⌫--⌫|
seconfes se ne liamainn e	-|------⌫-|-|||------⌫|
compainsia po rceneremaigne	-------|-|--⌫|-|-|-------|
queiou la aual auous	--|--|-|---||---|
sachiésquilm auin t	-------|-|-||----⌫|
hui sans faille	--|---|-----|
ien contrai h uien mima	|--⌫------|-⌫-|--⌫-|-|
en siconmehuimatin uenoie	--⌫-|----|--|----|-----|
dant hubert lescou fl e	---|-----||-----⌫--⌫|
aluim ec o nfessac ora nt	|--|-⌫|-⌫-⌫-----|-⌫---⌫-|
que onque sniueuc	--|-----⌫|||---|
plusaten dre	---|----⌫--|
d elui ueucp eneance prendre	-⌫|--|---|-⌫------|------|
etuolenti ers le	-|-------⌫--|-|
tousmesp e chies mepar dona	---|--|-⌫-⌫----|-|---⌫---|
donti o isacie ́sdeuoirgrantioie	---||-⌫|-----⌫-|-|---|----|---|
bial sco mperesse iecuidoie	----⌫|--⌫-----|-|-|------|
q uecefustuoirsqueuous medittes	-⌫-|-|---|----|--|---|-|-----|
qu e deuospechie s	--⌫|-|--|------⌫|
soiéscuit es	-----|----⌫-|
auroip r ieroiecelestre	-|--|-⌫-⌫-----|-------|
qu ei luous doinst ceens	--⌫|-⌫|---|-----|----|
u ostreestre	-⌫----|----|
uu o usserie ́sbienliement	|-⌫-⌫-|-----⌫-|---|------|
compere ort osthaustiuement	------|-|-⌫--|-----------|
me fai tes ladedens ent re r	-|---⌫--|-|-----|---⌫--⌫|
car moult idesiraa l e r	--|----||----||-⌫-⌫-⌫|
carfoiquedoi sa i nte esp erite	--|--|--|--|--⌫-⌫--|---⌫----|
la ue rite uo us e naiditte	-|--⌫---|--⌫-|-⌫|-|----|
pordi eu pensés	--|--⌫-|------|
de moi t enser	-|--|-⌫----|
renarsl icomen ceacr ie r	-----|-⌫|-----⌫-||--⌫--⌫|
quiluous estuetd ontdieuprier	-|-|---|-----|-⌫--|---|----|
etmoultdoucementgratie r	-|----|--------|------⌫|
queil uousface uraipa rdon	--|-|---|---|---|--⌫---|
deuos pechiesremision	-|--|------|-------|
ensiipo rri ésentrer	---||--⌫---⌫--|-----|
ysengrinsniu olt pl useste r	--------|||-⌫--|--⌫-|----⌫|
son cul torna uers orient	--|--|----|---|-----|
et satesteuersocciden t	-|-|----|---|-------⌫|
etconm encaaorguener	-|----⌫---||-------|
e tmoultd urementahurler	-⌫|----|-⌫------||-----|
faitmain t emeruelle	---|----⌫-⌫|-------|
estoitaualenlautres elle	-----|---|-||----|-⌫---|
qu i oupuc	--⌫|-|--|
estoitaual ee	-----|----⌫-|
cefu parpute destinee	-|-|--|---|-------|
querenars sest	--|-----||--|
dedenscouchiés	-----|--------|
ysengrin siert par	--------⌫|---|--|
tens irie ́s	---|----⌫-|
distysengrinsia id ieuproié	---|--------||-⌫|-⌫--|-----|
et ioudist ren ars gratié	-|--|---|---⌫--|------|
u ous uen résa ualsans de meure	-⌫--|---⌫---|-⌫--|---|--⌫----|
ilestoitnuisai celeeure	-|-----|---||-⌫---|---|
et le se stoiles	-|--⌫|-⌫------|
clerluisoient	---|--------|
ete n lewedoupuicparoi ent	-|-⌫||--|--|---|-----⌫--|
ren arscuitar t estoitl i ssue	---⌫--|--|---⌫|-----||-⌫---|
liauo itfai tun e tr eslue	-|---⌫-|---⌫|--⌫|--⌫----|
ysengri nuoistuces	-------⌫|---|-|--|
m eru elles	-⌫---⌫----|
quedeuantmoiardentcandoi lles	--|-----|--|-----|------⌫---|
ihesus te feraur ai pardon	-----|-|---|--⌫-|-----|
et mo ultbo neremi sion	-|--⌫--|--⌫-|----⌫---|
passio nlefier e	------⌫|-|----⌫|
e n l o relle	-⌫||-⌫----|
i auoit founecandoille	|----|--|-|--------|
ai nsiauoitasses fro id ure	--⌫-||----|----|---⌫--⌫--|
etobscurteetgrantlaidure	-|-------|-|----|------|
ysengrinskiai nsnot sauoir	--------|-|--⌫-||-|-----|
cuide bienk il l i die uoir	----|---||-|-⌫|--|---|
adontsesfo rcead on t es tr iue	----||----⌫--|--⌫--⌫|--⌫--⌫--|
ausaiel abatrede riue	-|----|-----|-|---|
lespi essisau tdeden s	--|--⌫-|-|---⌫|-----⌫|
yse ngrin s fu liplus pesans	---⌫-----⌫|-|-|---|-----|
deuale co ntre	-----|--⌫---|
o rescoutésle	-⌫|--------|-|
o u puc sesont	-⌫|--|-|---|
entrecontré	-----------|
ysen grins laaraisoné	----⌫----|||--------|
co mpereporcoitenu astu	--⌫----|--|--||-|-⌫-|-|
etr enarsliarespon du	-|-⌫----|-||------⌫-|
n en faite siachieren efrume	|-|-----⌫|-|-----|-⌫|----|
bi en uou s en	--⌫-|---⌫|-|
dirailacoust ume	----|-|-----⌫--|
quant li unsualiautre uient	----|-|--|-|-|----|----|
c estlac o st umequiaui ent	|--|-|-⌫-⌫--⌫--|--|---⌫--|
em paradisl asus	-|------|-⌫|--|
ettu uaseninferlaius	-|-|--|-|----|-|--|
des di aubles su iesca pés	--|--⌫-----|--⌫|----⌫---|
ettutenuas	-|-||-|--|
asui smalfes	-|--⌫|-----|
mo ultesen gr an thonte c heois	--⌫--|-|-|--⌫--⌫|----|-⌫----|
etiensu iforsb ie n	-||-|--⌫|---|-⌫--⌫|
le pereesperit a uble	-|---|-------⌫-⌫---|
la iuscon uersentlidiaubl e	-|--|---⌫------|-|------⌫|
desquere nars uint alaterre	-----|--⌫---|---||-|----|
moult sesbaudi stde	----||-------⌫-|-|
fa i reguere	--⌫-⌫-|----|
ysengrins esten male tra pe	--------|--|-|---|---⌫-|
f ustpris d euanthalap e	-⌫--|---|-⌫----|-----⌫|
ilpa ssiad olés	-|--⌫|-|--⌫----|
conquantou	--|----|-|
pucfu aualés	--|-|------|
signororo é s desrendus	-----|-|-⌫--⌫|--|-----|
perdirentlor uertus	--------|--|-----|
lorfe uesfurenttrop salees	--|--⌫--|-----|---|-----|
qu il orent mengiés	-|-|----|-------|
siorent trop beule soir	-|----|---|--|-|---|
lanuit dormirentconme l oir	-|---|--------|----|-⌫--|
f urentpere ceus	-⌫----|----⌫---|
