multay usécum pechere	---|-|---|--|------|
elurmemoyres	|--|-------|
oreoy ezcristi enegent	--|--⌫-|------⌫--|---|
uusquien dieuomnipotent	--|--|-|---|---------|
auezefey eesperance	---||--||--------|
ede saluaciun	|-|--------|
les eint imb erdunt	-|-⌫----⌫-|-⌫-|---|
li bon duc lipiusedmunt	-|--|--|-|---|-----|
fudesuessoy ne uei rement	-|-|-------⌫-|---⌫-----|
reys ede halteg ent	---||-|----|-⌫--|
desa ncienessethne sfu né	--|-⌫------|------⌫|-|--|
li etutsaparente	-||--|-|------|
princes erei sfuren t	------||---⌫|-----⌫|
ses ancestres	--|--------|
eila prescum	|-|-⌫---|--|
ildutestre	-|--|----|
e nenglet ere	-⌫|------⌫--|
de unepartiedese ngleys	-|--|-----|--|-⌫-----|
rey s edutre fude lag e n t	---⌫||----|-|-|-|-⌫-⌫-⌫|
d eue rs or ient	-⌫---⌫-|--⌫---|
karengl etereen iceltens	--|----⌫----|-|---|---|
fu dep a rti entrey ssens	-|---⌫-⌫--|-|----⌫|---|
e trey s p rinces	|----⌫|-⌫-----|
le ss egnuries	--⌫|-⌫-------|
aueient decestre ysparti es	------|-|--|---⌫-|-----⌫-|
k arun re yaueite nchescune	-⌫-|-|--⌫|----|-⌫|-------|
seintedmunt esteit rei	----|-----|-----|--|
de celep ar te ou l aube crieue	-|---|-⌫--⌫-|-||---|-----|
l e steile iour nal lieue	|-⌫-----|----⌫--|----|
eoulisoleilelieuee nest	|-|-|------|----||---|
lespeisan z	--|------⌫|
lecl aym entes t	-|--⌫---⌫--|--⌫|
ore pu rreitacundo ter	--|--⌫----|---|--⌫--|
edecesteoeured e mand er	|-|----|----|-⌫-⌫----⌫-|
purq ueytreisreis	--|-⌫--|----|---|
ou tenpays	--⌫|-|---|
en celtensensembleestay s	-|--|---|-------|-----⌫|
esein t edmuntf ut	|----⌫|-----|-⌫-|
unde t reys	-|-|-⌫---|
ieo l euusdi r ra ysempresmaneys	--|-⌫|--|--⌫-⌫--⌫|------|-----|
karainzau eit sanzmesprisu n	--|---|--⌫--|---|--------⌫|
engleterebretaigne a	--------|--------||
debrutquisagentime na	-|---|--|-|---||--⌫-|
e qui la te repoplia	|--|-|--⌫-|-----|
pusla t yndren tder ey	--|-|-⌫------⌫|-|-⌫-|
enbi en en	-|--⌫-|-|
peseenre quey	--||-|--⌫---|
deskesa ltensdeuort igern e	-----|-⌫|---|-|----⌫-----⌫|
quilepays mistdeuersgalerne	--|-|---|---|-----|------|
epusies quauter pen dr agun	|--|---⌫-||----⌫---⌫--⌫---|
tindrentlatere li	-------|-|---|-|
de ute rpendra guniesquearthur	-|---⌫-------⌫--|-----|-----|
latyndren tilb aldeseur	-|-------⌫|-|-⌫--||---|
apre sa rthur latereauint	----⌫|-⌫----|-|---|----|
a radawal adrequilatynt	|-------⌫---|--|-|---|
en sontensuintune murine	-|--|---|---|--|-----|
kelursurtdeune	-|--|---|-|--|
kelesse isanteparze mais	-|--|--⌫-----|---||---|
delafaymmururent	-|-|---|-------|
ra dewall e qui	--⌫------⌫|--|
fumultdolenteir ascu	-|---|-----||--⌫---|
de la gentquem orerentdefaym	-|-|---|--|-⌫------|-|---|
ki neaueient ne	-|-|------|-|
duntpussent uiureunrepast	---|------|----|-|-----|
lepaisguerp iren tt utgast	-|---|-----⌫----⌫|-⌫-|---|
purla mesese quilunt	--|-|-----|-|-|--|
enarmonichetuz sen	-|--------|--||-|
kepetitbretayg neadanou n	-|----|-------⌫-|-||---⌫|
lauait lireyse	-|---|-|---||
pl urantcr i a ntfesant grantdo el	--⌫----|--⌫-⌫-⌫-|-----|----|--⌫-|
morzuoleient estrealuru o il	---|-------|----||--|-⌫-⌫-|
su zcielneadme seseendr ei t sey	--⌫|---|-|-|--⌫---|----⌫--⌫|--|
ke tantgreefcum	-|---|----|--|
faym en sey	---|-|--|
meisal aynqu isiresesteit	---|--⌫--|--⌫|----|-----|
paysbelles rescei t	---|--|--|------⌫|
douneassezguarisun	----|----|-------|
payneu incharafuis un	---||-⌫-|---||----⌫-|
ericheme nt fistsuiur n er	|-------⌫-|---|-----⌫-⌫-|
tantcumiliuol dr ent	---|--|-||---⌫--⌫--|
dunc remistbretaygnela g rant	---|-----|--------|-|-⌫---|
sanz homme efemme e sanz	---|----||----||---|
tre stutlepay s fugast ine	---⌫---|-|---⌫|-|----⌫--|
fors deso y selse de saluagine	---|--|-⌫-⌫---||-|--------|
kantlesp oep lesu ltre mary ns	---|--|-⌫---⌫--|-⌫----⌫----⌫-|
quia bretaignefurentenclyns	--||--------|-----|------|
oyrentlan ouele dir e	-----|-|-⌫----|---⌫|
que lesb retunsunt lurempire	--|--|-⌫-----|--|--|-----|
issideguer pieleiss é	---|------⌫-||-----⌫-|
multen furentioyiyusee	---|-|-----|-------||
apr este ́l ur nauies	---⌫----⌫|-⌫-|-----|
deui taile e	-|--⌫----||
deblegarnies	-|--|------|
ceusdesue ssune eles	---|-|---⌫----||--|
edegutl ande	|-|----⌫---|
lesgutteis	--|------|
lurneefesaprestenteaturnent	--|-----|--------||-------|
e lurpeis e ke	|--|----⌫|-|
tant suiournent	---|---------|
uita ileia mene ntadeliure	----⌫--||-⌫----⌫-||------|
duntilpurruntbien set	---|-|------|---|--|
anz u iure	--|-⌫---|
erich esarmes aplente	|----⌫-|----||-----|
et ut emaneredebl e	|-⌫--⌫|-----|-|--⌫|
dec e str eis teresfinement	-|-⌫-⌫|--⌫--|----|-------|
iuu ntem ult dela u iste gent	|--⌫-||-⌫--|-|-|-⌫---|---|
liioefne bac hele r	-|-----|---⌫----⌫|
purlosepurp risconquester	--|--||--|-⌫--|---------|
attenduunte demuré	------|--||------|
tanque dieuslur tram ist oure	-----|----|--|----⌫--|---|
ka nt ilui rent le	--⌫-|-|--⌫---|-|
uente stable	---|-⌫-----|
eque leourefucouenable	|--|-|---|-|--------|
de err eraprest é sunt	-|---⌫-|------⌫-|---|
en mersemettent si	-|--|-|------|-|
tantse penerent de	---|-|-------|-|
quilsentre ateinstrent	-|-||----|----------|
pr esa prici ezerent	--⌫-|-⌫-----⌫-|----|
les unsdesautr es	--|--|--|----⌫-|
se dote rent	-|----⌫---|
karn u ledecestreis nauies	--|-⌫-⌫-|-|--|----|-----|
kien mers untdepar ties	-|-|--|-⌫--|-----⌫---|
nesaueitdautrec eoestla	-|-----||----|-⌫-|--|-|
queenbretaygnete nisent	--|-|--------|--⌫-----|
ilsente rd emanderentqu il su nt	-||----⌫--⌫---------|-|-|--⌫-|
duntiluienent e oui l	---|-|------||-|-⌫|
tantuntenquis tantdemandé	---|--|-----|---|-------|
qu ils entredi ent uerite	-|-||-------⌫--|-----|
ke en bre tayne uuntpur	-|-|---⌫----|---|--|
horsdelurpays	---|-|--|---|
tantu ntparl é lescheue taynes	---|-⌫-|----⌫-|--|-----⌫-----|
detrey sgenzedet reis co mpaynes	-|----⌫|---||-|-⌫---|--⌫------|
en semblesealient	--⌫-----|-|-----|
ec ompayni eentr	|-⌫-------⌫|---|
equilensem blesetendru nt	|-|-|-----⌫--|-|------⌫-|
ei amesne sentrefauderunt	|-⌫---|-||-------------|
t antunt sigl e ́ ta ntuntc uru	-⌫--|--|----⌫-⌫|--⌫-|--|-⌫--|
qu i ls unt en bretaygneuenu	-|-⌫|-⌫--|-|--------|---|
dreituersla maryne	----|---|-|-----|
sigle ntuag entepernent p ort	-----⌫-|---⌫--||------|-⌫--|
le pais trouen tdelitable	-|---|------⌫|--------|
el a terebiengaynable	|-⌫|---|---|-------|
iltrouentlesgranz	-|------|--|----|
g ayne ries	-⌫----⌫---|
boisee foreste	----||-----||
pesche ries bon sefines	------⌫---|---⌫||----|
merbon ssalyn e s	--|---⌫|-----⌫-⌫|
unmeis ilunt	-|---|-|--|
ia de muré	-|--⌫----|
tant qu elpa issun tacerté	---|-|-|--⌫-|---⌫|------|
dunc funtl e s	---|---|-⌫-⌫|
granzfoss esleu er	----|----⌫-|---⌫-|
pur eusgarirerescetter	--|--|----||--------|
leuent brestechesodk ernel s	-----|---------|-|-⌫-----⌫|
kecuntreu alent bonschastels	-|-------⌫----|---|-------|
dehericunsede	-|-------||-|
lesc eynentsifuntruile i z	--|-⌫-----|-|---|-----⌫-⌫|
delquerdel	--|---|--|
cheygnesf orzehalz	-------|-⌫--||---|
criementsiegesne asalz	-------|-----|-|----|
bon chastelifunte bonburg	--|------||---||--|---|
cla ymeun corees cardeburg	---⌫--|--⌫---|--⌫--------|
pusneses unt	--|-|-|-⌫--|
pas alo ngni	--|---⌫---|
b lefurentb iengar ni	-⌫-|-----|-⌫--|---⌫-|
lesteresla borer enteerent	--|----|--⌫-----⌫--||----|
erich e mentle scultiuerent	|----⌫-⌫---|--⌫|----------|
kar mul tp ar	--|---⌫|-⌫-|
cel egen t b on gaygnour	---⌫|---⌫|-⌫-|-------|
tantu nt en	---|-⌫-|-|
teretra uay l é	---|---⌫---⌫-⌫-|
elabor é eg aygné	|-----⌫-||-⌫-----|
qu ilaue iententensgrant plentez	-|-|---⌫---|-|---|----|------|
une de tuzblez	-||-|--|---|
en armoniche e sttostueneu	-|--------|-⌫-|---|----|
lanoue l ee tost	-|----⌫-⌫||---|
ka ntles bretuns l	--⌫-|--|------||
oyerentdire	------|---|
grantdoelenaueient egranti re	----|---|-|------||----|-⌫-|
cumpoent ariereuindren t	--|----|-----|-------⌫|
en b retaynequil primestindre nt	-|-⌫------|-|-|-----|------⌫-|
odtantdeg entc umil aueient	-|---|-|-⌫--|-⌫-|-|------|
arei m er p urre ient	----⌫-⌫-|-⌫----⌫---|
aprochen tue rscelegent	--------⌫|--⌫-|---|---|
si lesmandentmult	-|--|------|---|
cointement	---------|
e lur messages lestramettent	|--|-------|--|---------|
kedelu r teres e demettent	-|-|--⌫|---|-⌫|--------|
lur heritage	--|-------|
a lgent delucsi fruntque	-⌫----||---|-|----|--|
es ilneuolentpuramo ur	||-|-|-----|--|---⌫-|
to st issir	--⌫-|----|
horsde lurhono ur	---|-|--|----⌫-|
p arforc e	-⌫-|----⌫|
lesferuntaler	--|-----|---|
sise rr apisl e demurer	-|--⌫--⌫|--|-⌫|------|
kant les foreyn sdeultr e mer	---|--|------⌫|-|----⌫|--|
oyerent les	------|--|
mess ages parler	----⌫---|-----|
eil escult en teentende n t	|-|------⌫--⌫||-------⌫-⌫|
k illatere	|-|-|---|
les defendent	--|--------|
ilremand enthar d iement	-|------⌫--|---⌫-⌫-----|
eas bre t u nsea lurgent	|-|---⌫-⌫-⌫-|||--|---|
s enalgentdel	|-|-----|--|
ousiceonounsiserrapis	-|-|--|---|-|----|--|
ledemurerasbr anzd ascer	-|------|-|--⌫--||----|
lur couend raadesr ayner	--|------⌫-||----⌫----|
asbra nzdeascereodla lance	-|---⌫-|-|----||-|-|----|
der eynerentlademurance	---⌫-------|-|--------|
d el desreyne rtut prest	-⌫-|--------⌫|--|----|
keceo est lurt ere elur	-|--|--|--|-⌫--||--|
co nq ues t	--⌫--⌫---⌫|
k arkan tilenlateree n tr erent	-⌫-|---⌫|-|-|-|---|-⌫-⌫--⌫----|
hom menef emm eni tro uerent	---⌫-|-|-⌫---⌫|||---⌫-----|
k iderienlur contredist	-⌫|-|---|--|---------|
nequi areisu nlesmist	-|--||-----⌫|--|---|
karenlat ered	--|-|-|-⌫--||
unuiua n t	-|----⌫-⌫|
n e outhommen e f emmen e enfant	-⌫|--|----|-⌫|-⌫---|-⌫|-----|
lesbretuns	--|------|
isu ntpusentrez	|--⌫-|--|-----|
folementisunt	-------||---|
ceole smandentbienli foreyn	--|--⌫|------|---|-|-----|
labatayleau erunteusd emayn	-|------|--⌫----|--|-⌫----|
foreynsuntres pundeu	------|--|---⌫-----|
bretunsunt	------|--|
bata yle requerent	----⌫--|--------|
es maierent	--⌫-------|
karles fo reynssuntb ien armez	--|--|--⌫----|---|-⌫--|----|
eplusgentuntqui l nuntde	|---|---|--|-|-⌫||--|-|
en c untre unde eus il	-|-⌫----|-|-|--|-|
enuntkatre	-|--|----|
nest pasouwel	|--|--|----|
itelcumbatre	---|-------|
nepurkan tle s	--------⌫|--⌫|
s esbaudirent cumbaru ns	|----------|--|----⌫-|
lendemaynfunt l urc hiualiers	|-------|---|-⌫-|-⌫--------|
armere munterlurdestriers	----||-----|--|--------|
odtantdegentcumilorent	-|---|-|---|--|-|----|
e cumilaramirp oer ent	|--|-|-----|-⌫---⌫--|
odl esforeyns	-|-⌫-|------|
dun cseasem b lerent	---⌫|-|----⌫-⌫-----|
emeyntrudecoupedonerent	|----|---|----|-------|
e lesforeyns	|--|------|
se cu mbatirent fierement	-|--⌫--------|--------|
odbranzodhaches od esp eies	-|----|-|-----|-|---⌫---|
coupenttestesepoynes e piez	------|-----||-----||---|
gettentlurgran tpieres	------|--|----⌫|-----|
od lureslin gesodlurf undes	-|--|-----⌫--|-|--|-⌫----|
odleshache s	-|--|-----⌫|
le suuntrequere	--⌫|---|------|
ketuzlesfende nt desken te re	-|--|--|-----⌫-|---|-|--⌫-|
l ancentgauelocs enp ennez	-⌫-----|-------|---⌫----|
du n t il untm ilenbo ueliez	--⌫-⌫|-|--|-⌫-|----⌫-----|
trespercealpr imeruol	--------|-|--⌫---|--|
haubercneuaut un	------|-|---|-|
foiledechol	----|-|---|
kantlesbretunsne purrentmes	---|--|------|-|------|--|
de foreynssustenirlefes	-|------|-------|-|--|
encumba tanttienent	-|-----⌫---|------|
issiquenul s ed esreie	---|--|--|-⌫|-⌫-----|
auantenueientlarascaile	----|-------|-|-------|
ele sbesteso dlur uitaile	|--⌫|-----|-⌫|--|------|
d reita galeslesc hiesen cl ins	-⌫---||----|--|-⌫---|--⌫--⌫--|
tienen te ueiese chimins	------⌫||----||------|
queuor t i gerne	--|---⌫-⌫-⌫----|
kantde bretaynefuchacié	---|-|-------|-|------|
parhorseh en g e elurg ent	--|---||-⌫--⌫-⌫||--|-⌫--|
queuortigern eu eirem ent	--|---------⌫|-⌫-----⌫--|
outaincesatrai zelpays	--|-----|-----⌫|-|---|
cum sol deers degr antp ris	--|---⌫----|-|--⌫--|-⌫--|
tenulesoute nut eseiours	---|--|--||---⌫-||----|
feit luro utbiens e	---|--|-⌫-|----||
gran t hono urs	----⌫|----⌫--|
erichemen t lessoldea	|--------⌫|--|-----|
erealso ldeles dona	|---|--⌫--|--|---|
k ecilguarderent	-⌫|--|---------|
b ie n de uth lages ede enemis	-⌫--⌫|-|---⌫----||-|-----|
pu sfeseientmult	--⌫|-------|---|
grant treisun	----|------|
horse ehengee	----||----||
sonco mpayn u n	--|--⌫-----⌫-⌫|
lereymandent a ambr esbire	-|--|------||----⌫-----|
e l esplushalzde	|-⌫-|---|---|-|
son emp ire	--|---⌫--|
eiliuindren t uei remen t	|-||-------⌫|---⌫-----⌫|
sanz arme cumaparlement	---|---|--||--------|
eh en geelur mesne	|-⌫--⌫-||--|----|
pur late requilu nt co ueité	--|-|--⌫-|-|-|-⌫-|--⌫-----|
uortigerne until u c pris	---------|--|--⌫-⌫|---|
eles autresu nttuzoccis	|--|-----|-⌫-|--|----|
desk niuez	--|-⌫----|
que unten m usceouns	--|--|-|-⌫-------|
que rich es cuntesqueba runs	--|----⌫-|-----|--|--⌫---|
katrece n t eceisantep lus	----|--⌫-⌫||------||-⌫--|
fo rs soul lireineeschapanuls	--⌫-|---|-|--|-|------|---|
uor tigernequis enembla	---⌫------|--||-|----|
edreiten gua le ssenala	|----|-|---⌫--⌫||-|--|
sii hantai le	-||----|-⌫||
keali uynd rentcoiement	-||-|----⌫---|-------|
purs eur t ede c elege nt	--|-⌫---⌫-⌫|-|-⌫--|--⌫-|
e quilsunt	|-|-|---|
de lur parent	-|--|-----|
ilu nt cestegent	-|-⌫-|----|---|
de scumfit	--⌫------|
belehalteme ntles resceut	--||-------⌫-|--|------|
cum parenzresceyuredu t	--|-----|--------|--⌫|
lasuntlesbret unsaresté	-|---|--|----⌫--|------|
eles foreynssuntreturné	|--|------|---|-------|
de la ui ctoire	-|-|--⌫-----|
equil untle sbretunschaciez	|-|-|--|--⌫|------|------|
issipersirentlibretun	---|--------|-|-----|
bretayneebr etayne sonn o un	-------||--⌫-----|--|-⌫-⌫-|
epurc eoheyentl esgaleis	|--|-⌫-|-----|-⌫-|-----|
parmort elguereles	--|----⌫-|----|--|
elesf oreynsultremaryns	|--|-⌫-----|----|-----|
kisa gesesteientdegrant fins	-|--⌫--|-------|-|----|---|
uerslamarinerepayrerent	---|-|-----|----------|
o u l a menuegentleisserent	-⌫|-⌫|----|---|---------|
cumdefemmese	--|-|-----||
an celesedeserianz	--⌫----||-|------|
esirefirentmult que sages	|-|-------|---|--|----|
purc eo qu	--|-⌫-|-|
il sun tdetreisla nguages	-|---⌫|-|----|--⌫------|
ileslistrent entr	-|---------|---|
el stre i s re ys	--⌫|---⌫-⌫|--⌫-|
deche scun langua gedel s tre is	-|---⌫---|------⌫-||--⌫|---⌫-|
ke nulsdeautredirepou st	-|---|-|----|---|---⌫-|
kegr ein dreseg nurie eust	-|--⌫---⌫--|---⌫----|---|
ke apr esceolur lo zloterent	||---⌫-|--|--|--⌫|-------|
ela tereen	|-|---|-|
treis de partir ent	----|--⌫------⌫--|
deanglechailesu	-|----|---|-|-|
fu re nt ebe llur	--⌫--⌫-||--⌫|--|
sicumlamerlenuirune	----|-|--||-------|
detamisedekes	-|-----|----|
decels deangles an z mespr is un	-|---|-|----|-⌫--⌫|-----⌫--⌫-|
res ceus t engletere sunnoun	---⌫----⌫|--------|--|---|
lepais eln orthautres i	-|---|-|-⌫---|------⌫|
guthl ande chai	-----⌫---|---|
descocedekesa l humbre	|-----|----|||-----|
granterentne sai	----|----|-|--|
a un fier barun deal mayne	|-|---|----|-|--⌫----|
uenue odla compayne	----|-|-|-------|
otrieren t ent rels	--------⌫|---⌫|--|
pursaruistech e ualereie	--|-|-----|--⌫-⌫-------|
lyndeapellerent le barun	----|---------|-|----|
deliprist lyndeseisun	-|-|----|-------|--|
acels desu eisoine	|---|-|--⌫------|
chaile pais	---|-|---|
delo rient	--|-⌫----|
sicumlamerledeuise	----|-|--|-|-----|
de wytheme dekestamise	-|------|----|-----|
r ichepais	-⌫---|---|
ega ynable	|--⌫-----|
e bonedouce	|--||----|
edelitable	|--------|
i fa i tbon habit er	|--⌫-⌫|--|-----⌫-|
aluncosteifeir tlamer	-|-|----||----⌫|-|--|
delau trep art eest li	--|--⌫--|-⌫---⌫|--|-|
aseziade lpessun fr eis	---|-|--⌫|-----|--⌫--|
deu ant degrant fosses	---⌫--|-|----|-----|
kedel uneeuwealautr eateynt	-|-||--|---|-|----⌫|-----|
e sta ngleapelentle pai s	-⌫---⌫---|------|-|---⌫|
lagentkei su nte stais	-|---|-||--⌫-|-⌫----|
kisu ntasaze zdet uzbiens	-|--⌫-|-----⌫|-|-⌫-|----|
tutsuntmanant	--|---|-----|
nelu rfautr ie ns	-|--⌫|---|-⌫--⌫-|
lepaises t d e	-|---|--⌫|-⌫|
trei scun trees	----⌫|---⌫----|
estab l ide bien	-----⌫-⌫|-|---|
northfolksuthfolkestsex untno un	--------|-------|-----|--|--⌫-|
d e tuz biensi ad grant	-⌫|--|----||-|----|
lessues unesfuren t	--|----⌫---|-----⌫|
furent bienherbergiez	-----|---|---------|
biengaderent	---|-------|
cel estp a is	--|--|-⌫-⌫-|
apreslongtens eanzedis	----|-------||--||--|
epus tra mistrent sanz	|--|---⌫-------|---|
lurmessagesdes ke	--|-------|---⌫-|
purlurfrerespur lu r c osins	--|--|-----|--|--⌫|-⌫----|
purluramy spu rl u r ueisins	--|--|---⌫|--⌫|-⌫-⌫|------|
k ant il uyndr entbienuenu z	-⌫--|-|-----⌫--|---|----⌫|
suntenpaiser ece u z	---|-|---||-⌫---⌫-⌫|
s ipoep li erent l ac u ntree	-⌫|----⌫--⌫----|-⌫|-⌫-⌫----|
ougasteedesertee	-|----||-------|
en richescee	-|-------||
ioy eeenpes	---⌫||-|--|
ues q uierent elur eirs	---⌫-⌫------||--|---|
unrei aue ient ceofu leueir	-|--|---⌫---|--|-|-|---|
prodomm emu l t degr ants a ue ir	-------⌫|--⌫-⌫|-|--⌫--|-⌫-⌫--⌫-|
offe outno unsi fu	---|--|--⌫-|-|-|
bo n chi ualer sa ge	--⌫|---⌫----|--⌫-|
ecris tiente multam a	|----⌫-----|---|--⌫|
eseinteegliseenhaucea	|-----|-----|-------|
cilfu deest anglerei sec und	--|-|-|---⌫----|--|---⌫--|
deuantle re yseint e dmu nd	-----|-|--⌫|----|-⌫---⌫-|
lerey offe fumultma rriz	-|--|---|-|---|--⌫---|
deceoqu il neoutfile enef iz	-|--|-|-|-|--|----⌫|-|-⌫-|
ilpused euis er	-|---|-⌫----⌫-|
l eregiunasunfiner	-⌫|-----||--|----|
p lusurspenses	-⌫-----|-----|
aue it encur age	---⌫-|-|---⌫--|
alp arfi n pen saque sage	-|-⌫----⌫|---⌫-|--|---|
keaieru s al emirra	-||----⌫-⌫--⌫-|---|
e ihesu cristde priera	|----|----|--⌫-----|
ke ihesucri s tl ido yn et eleir	-|----|---⌫-⌫|-⌫|--⌫--⌫|-⌫-|--|
ki digneseitdelregne aueir	-|----|---|--|----|----|
sipurposaa	-|------||
keparsessoyneertsunchemin	-|--|-------|--|--|-----|
cusinqui reis	----|--|---|
s essoynemaynteneit	-⌫------|---------|
ilfe ttostsoneire	-|--⌫|---|--|---|
a preste r	-⌫------⌫|
kariln euoult	--|-|-⌫|----|
plus suiou rner	---|-----⌫---|
pri m e rementa dpriscunge	---⌫-⌫-⌫-----|-⌫|---|----|
pus pristcun geasesprin cers	--|----|---⌫-||--|----⌫---|
as baruns ea chiual ers	-|-----|||------⌫--|
re gne lescom anda	--⌫--|--|---⌫---|
e nul tdoucementle spria	|---⌫|--------|--⌫|---|
quiltenissentdreitiust ise	-|-|--------|----|----⌫--|
eenhauceassent sein te eglise	|------------|----⌫-|-----|
dunc semet enmerses en turne	---|-|--|-|--|-||-|----|
d e k ess ess oyne n e si uourne	-⌫-⌫-⌫-|-⌫---⌫---|-⌫|--⌫-----|
lireisq ui soncosi nesteit	-|---|-⌫-|--|----⌫|-----|
bel e hautement	--||--------|
le r esceit	-|-⌫-----|
multsepena	---|-|---|
de liioi r	-|-|---⌫|
