une auentureuus dirai	--|-------|--|----|
e nte n d u	-⌫---⌫-⌫-⌫|
dolenteecur e cusefu	------||---⌫-⌫---|-|
asun seignurl addemandé	|--|------||-|-------|
eillocis t paren g res te	|-||----⌫|--|--⌫-⌫---⌫-|
lirum pt a ses d eus mei ns	-|---⌫-||--|-⌫--|---⌫-|
deceofistilketrop uileins	-|--|---|-|-|---|------|
surla da me le	--|-|--⌫-|-|
s equesun chainseensanglanta	-⌫|--|--|------|----------|
de surlepizdeuant	--⌫--|-|--|-----|
del achambr eseni sta	-|-⌫|------⌫||-|-⌫-||
la da meprent lecors petit	-|--⌫-|----|-|---|----|
dure m entplure e si	----⌫-⌫--|----||-|
t uz ceus kilel austic t r airent	-⌫-|---|-|-|-⌫-----|-⌫-⌫-----|
elesenginseleslacunsfir en t	|--|-----||--|-----|---⌫--⌫|
karmu t l i	--|--⌫|-⌫|
unttoleit gra nt	--|-----|---⌫-|
lassefe te l emal	----|--⌫|-⌫-⌫|--|
nepur raim esla nuit	-|---⌫--|-⌫-|-|---|
nealeral a fe nestre	-|---||-⌫|--⌫-----|
ui eosuleiemu namiueer	|-⌫-|-----|--⌫|--|---|
unec hose sai ieo	--|-⌫---|--|--|
ilquidra keieomefeigne	-|-----|-|--|-|-----|
m estu etquec un seilpreigne	|----⌫-|--|-⌫--⌫---|------|
l elausticl itrameterai	-⌫|------|-⌫|---------|
lauenturelimanderai	|-------|-|-------|
en unepiecedesami t	-|--|----|-|----⌫|
a orbrusdé	|-|------|
et utescrit	|-⌫-|-----|
adloiselet enuolup é	-||------|-------⌫-|
u nsunuallet ad apelé	-⌫|--|-----|-|-----|
sun mess ageliadchargie ́	--|----⌫--|-|-|-------⌫|
ami l adenueié	--||-|------|
cilestalch eualieruen uz	--|--|-|--⌫------|---⌫-|
lidistsaluz	-|---|----|
t utsunmessageli	-⌫-|--|------|-|
e le lausticl ipresenta	|-|------|-⌫|-------|
q uanttut l i	-⌫---|--|-⌫|
additem ustré	-|--||-⌫-----|
eill aueitbiene scuté	|-||----|---|-⌫-----|
delauenturee steitdolenz	-||-------|-⌫----|-----|
m es ne fupasuileinsne lenz	-⌫-|-|-|--|------|-|---|
unuass eletadfet	-|----⌫---|-|--|
uncniotfer ne acer	--|||-|--|-|---|
t utfude or f in od bonespieres	-⌫-|-|-|-|-⌫-|-|----|-----|
mu tpreciuses emut	--⌫|--------||--|
couerclei ot	-------||-|
tresb ienasis	---|-⌫--|---|
le laustica d dedenz mis	-|------|-⌫|-----|--|
puis fistl achasseenseeler	---|---|-⌫|-----|-------|
tuzi ursl adfetod	--|-⌫--||-|--|-|
celea uenturefucu ntee	---|-⌫------|-|--⌫---|
nepotestrelunges ce lee	-|--|----|-----|--⌫--|
enfirentli bretun	-|-----|-|-----|
lelau stic	-|---⌫---|
l apelenthu m	|------|--⌫|
