un cautestd e	--⌫|-|---|-⌫|
la coro nee tlisineao uré	-|----⌫-|-⌫|-|---|--⌫---|
etlesdiues	-|--|----|
reliques domi a	-------|--|||
tel planté	--|------|
porcoilespri geonques chaetifmaleuré	--|--|--|--|-|-----|------|-------|
ho n tem e nestuenueie soi	--⌫-⌫-||-⌫|--|----|-|--|
Oliuier genti sho nsaiez demoipiti é	------|-----⌫|--⌫-|---|-|--|----⌫-|
mersa rrasin	--|--⌫-----|
iluo sie rt	-|--⌫|--⌫-|
Bersi tune mitienziam	--|-|-|-|||----|-||
Quantl enten t O liuiers id e pit iéploré	----||-----⌫|-⌫-----|-⌫|-⌫|---⌫--|-----|
Desozlarbrelechouchebelement	-|--||----|-|------|-------|
uaincue est la batai ll eetlich ampafinez	------|--|-|-----⌫--⌫|-|-|--⌫--|-----|
Oliui e rpristlirois qui moutestoi tnaf rez	-----⌫-⌫|----|-|---|--|---|-----⌫|---⌫--|
Deuantl u ilec houchabe lementetsoef	-----|-⌫-⌫|-|-⌫-----|--⌫-----|-|---|
dun peu deso n	|-|--|-|--⌫|
bliautl iabendelescostez	-----|-⌫||----|--|-----|
S iredist Fiera br as pordexcar	-⌫--|---|-----⌫--⌫-|--|--|--|
uolen tiersm i feroibapti zieretleu er	-----⌫----|||----|-----⌫---|-|---⌫-|
Sigemersarrasiniluos	-|-|--|-------|-|--|
iertre prou ez	---|--⌫----⌫-|
Certesdi s tO liu ieriesui engrant	-----|--⌫-⌫|-⌫---⌫--|-|--|-|----|
ia par moi	-|--|--|
niser ez chargie z neremuez	||---⌫-|-------⌫|-|-----|
Li sarrasinss	-|--------||
esfo rce presdeluiest ale z	----⌫--|---|-|--|--|---⌫|
ad onquessunt a sisbelement le zalez	--⌫-----|---|-⌫--|-------|--⌫|---|
Fierab rasdalixandreueis	------⌫--||--------|---|
liconteestalez	-|----|--|---|
D oucementlep riap ar	-⌫-------|-|-⌫--|-⌫-|
granthumilite z	----|--------⌫|
Gent isquens Oliuierpor dexcarm	----⌫-|----|------|--|--|--||
e np orte z	-⌫|-⌫----⌫|
Mout suipr es de maf inie	---|--|--⌫-|-|-|-⌫-|-|
cuerc re uez	---|-⌫--⌫--|
uoitici .ii . des tries c oran z eta briue z	---|--|---⌫|---⌫----|-⌫----⌫|-|-⌫-----⌫|
ua prenlebaucenso r qu ila	-|---|-|-----|--⌫|--⌫|-|
e staregni e	-⌫-|------⌫|
Si monte parlestri u	-|----|--||-----⌫|
quidorestpainturez	--||-|--|--------|
peis uienpard au a ntmoi so r	---|---|--|-⌫--⌫-⌫-|--|--⌫|
cestarb rerame	---|---⌫-|---|
Bien me porras	---|-|-----|
porter esloges etantref	-----|-|----|-|-|---|
et siemport epl orance	-|-|------⌫|--⌫-----|
poiseamoulez	----||-----|
Lorsar as .iiii.espeesonqueshons	---|--⌫-|-----|-----|-----|---|
neui t te x	-|--⌫|--⌫|
Bien tisarraadestreciblanchet	---|-|----||-----|-|-------|
Tantmaidequeso ie s or	---||---|--|--⌫-|-⌫-|
l arcont raue rserz	|----|-⌫----⌫----|
tu m as cha rgiegarden	-||-|---⌫---|----||
uoiztulaceb r uille ta	---|-|-|-|-⌫-⌫-----⌫||
cesarbr esplan tez	--|----⌫-|----⌫--|
Lala is soihuemati n. l .m.armez	-|--⌫--⌫--|--|----⌫|-⌫-⌫|-|----|
Orait dex n osfransparla	-|--|--|-⌫-|----|--|-|
so ebont ez	--⌫|----⌫-|
Carieneuoi	--|-|-|--|
comen tnus e n	-----⌫|--|-⌫|
puisse eschaper	-----|-------|
Orsontnostre f rancoisenzenlator carree	-|---|-----|-⌫------|--|-|-|--|-----|
sarra sin lesasaillentla putegentd es ue e	-----⌫--|--|--------|-|---|---|-⌫--⌫--⌫|
Mesonquesni	--|-----|||
forfirentunepomeparee	--------|--|---|----|
L iamirant	-⌫|------|
apelemalpin daigre moree	----|-----||----|----|
N otsi mestre	|-|-|-----|
larr oniusqua la mer betee	----⌫-|----||-|--|----|
Malpin distlam irant	-----|---||--⌫----|
parmabarbe mellee	--|-|----|-----|
Sisaceinture auoies a	-|-|-------|-----||
flor i. e mblee	----⌫-|-⌫----|
francoisnar o ie ntuers nosnul e	-------||--⌫-⌫--⌫-|---|--|---⌫|
e tsitulam enbloies cestueriteprouee	-⌫|-|-|-||-------||--|-----|-----|
Demonorti donr a i	-|--|-|-|----⌫-⌫|
uneg rant someree	--|-⌫---|------|
Ta nt comlacei nturea ientnert latorafamee	--⌫-|--|-|---⌫----|-⌫---||--|-|--|-----|
Sirecedistlile rre demainainzlauespree	---|-|---|-|--⌫--|-----|---|-|------|
aincoisdema inalaubequeperelarosee	------|----⌫-|||---|--|---|-|----|
uos aurelaceinture	--|---|-|-------|
alad amel iur ee	|-|-⌫--|-⌫---⌫-|
Qua ntl e ntentlamirantgrant ioieademenee	---⌫-||-⌫----||------|----|---||------|
Liior ueta	-|--|--||
declin et to rnelauespree	-----|-|--⌫--|-|------|
Tant atenditlilerrespres	---|------|-|-----|---|
fu del aiornee	-|-|-⌫|-----|
uenuzestesfosse zsa lesuetresnoee	----|--|-|-----⌫||||---|-------|
pui ssenuet a lato rsi la	---⌫||-|--||-|--⌫|-|||
plu s t ostra mpee	---⌫|-⌫--|--⌫---|
Queescuroln	--|------||
achesne en la	|-----|-|-|
forestram ee	-----|---⌫-|
to r s enent r ac a iementac elee	--⌫||-|---⌫-⌫|-⌫-⌫-----||-⌫---|
isneleme ntettost uin tala	--------⌫-|-|---|---⌫||-|
unecha ndeleaprise	--|---⌫----||----|
aufeul aalumee	-|--|||-----|
uint a lusde la chambresilatroua	---|||-|-|-|------|-|-|----|
etiladitsoncharmetantost estde ff ermee	-|-||--|--|-----|------|--|--⌫--⌫----|
Nosfrancoisuoitdormantenlasa lepa uee	--|-------|---|------|-|-|--⌫-|--⌫--|
Si anozg entli lerre	-||--|-⌫--|-|----|
so duiteet en chantee	--⌫----|-|--⌫------|
ses ueillassent porlator d orco mb lee	|--⌫----------|--|-|--||-|--⌫--⌫--|
Licue n sGui deb orgoigne a	-|---⌫-⌫|--|-|-⌫-------||
l ach ier menbree	-⌫|--⌫--|------|
e rta un e	-⌫-||--⌫|
f enestredeuers	-⌫------|-----|
lamersalee	-|--|----|
poru eoirligrantost	--|-⌫---|-|----|--|
etlilerresnefistplus longuedemore e	-|-|-----|-|---|---|-----|------⌫|
uient aulitfloripasquertplus	----|-|--|-------|-|--|---|
belequefee	---|--|--|
Tant aquis	---||---|
lace inture	-|--⌫-----|
lauoittrouee	|----|-----|
e nuiron luila ceintpar la b ocle doree	-⌫-----|--|-|----|--|-|-⌫---|----|
flo ripasreg ardaqu ertplusbele quefee	---⌫----|---⌫---|-|--|---|---|--|--|
O le uou dragesircar	|-|---⌫--|----|--|
forme ntliagr ee	-----⌫-|-|---⌫-|
pa rlesflanslasaisittotenues achee	--⌫|--|----|-|-----|---|--|-⌫----|
Lapucele sesueilleenhauts	-|-----||-------|-|---||
estescriee	--|------|
Sei nt e marie	---⌫--⌫|----|
da merei necoronee	--⌫-|---⌫-|------|
Ou estes uos fetelletropfet eslon gue estee	-|----|--|--|---|---|---⌫-|---⌫--|----|
Sespucele sacorent checune escheu elee	--|------⌫|------|------|------⌫---|
Quantuoient	----|-----|
lilarronplu s	-|-----|---⌫|
noir dunepeure e	---||--|-----⌫|
Totelaplushardieest e nfu ietorn ee	---|-|---|-----|--|-⌫|--⌫-|----⌫-|
Lilerre afloripa sdeso zlui	-|----||-------⌫|----⌫|--|
parlemienescient ialeustue rgondee	--|-|---|------|-||---|--⌫------|
Qu a ntGuiondebo rgoignealanoiz escoutee	--⌫-⌫-|----|-|--⌫------||-|---|-------|
ala cha mbre sen u ient coran tderando n ee	|-|---⌫---||-|-⌫---|-----⌫|-|-----⌫-⌫-|
ilescriea samie tesiez uos	-|-----|||---|-----|--|
lerresloitd ulitsautauolee	-----||--|-⌫|--|---||----|
et lidusleferi t olechief	-|-|--|-|----⌫||-|----|
en.ii. m oitiezl e	-|---|-⌫-----|-⌫|
fe ntlaceint ure	--⌫-|-|-----⌫--|
L achandele	-⌫|-------|
aularr ones t a d oncanublee	-|----⌫-|--⌫|-⌫-⌫--|------|
On cpluslench antementno t ladedenz	--⌫|---||----⌫-------||-⌫|-|-----|
Doncsaillentsuslic ontesdelaterre	---|-------|--|-|-⌫----|-|-|----|
a lachosedechief	|-|----|-|----|
ench ief contee	-|--⌫--|-----|
Lelarronont gete parmiune	-|-----|--|---|----|--|
O totel aceinturededenz lamer salee	|---|-⌫|-------|-----|-|--|----|
etdexporcoilefirentsi dure destinee	-|--|--|--|-|-----|-|---|-------|
Iamesicest e per t enese rarestoree	----|-----⌫|---⌫-⌫|-|--⌫-|-------|
perdueest lac ein ture eten lamerget ee	-----|--|-|-⌫---⌫---|-|-|-|--|---⌫-|
d orfinune granttorrasee	|-|--|--|----|--|----|
Qu ant nozfr ancois	--⌫--|--|--⌫-----|
loirentmie ne	|-----|--|-|
que ousancdemes pe e	--|-|---|-||--⌫--⌫|
por ras tonco rsbannier	---⌫--|--|--⌫-|------|
Qua nt Fierabraslenten tneseueust coro cier	---⌫-|--------||-----⌫|-|-|----|----⌫---|
mantel mists on	-----|---|-⌫-|
c or sacouchier	-⌫--⌫||-------|
Sorsonescues toit Fierab rasaco udez	--|--|---|--⌫---|------⌫--|---⌫---|
Tantfut fi ers etnobilesetdegrant	---|--|--⌫--|-|------|-|-|----|
N iprisaOliuierii . deniers monai ez	||----|------|--⌫|------|-----⌫-|
Fierabrassi taistlit on	--------|-||---|-|-⌫-|
C amoidi qu i tuiese tde	||--|-|--⌫|-|--|-⌫|-|
quel parente z	---|-------⌫|
etRespontOliuier	-|------|------|
orrez ueritez	----|------|
apele garindeperegorzfunez	----|----|-|-------|-|--|
fiuza .i .uauasor	---||--⌫|------|
quiotnoniocer e	--|-|--|-----⌫|
iorfu iieprimesdeno ueladobez	--|--⌫|-|-----|-|--⌫--|-----|
et si madobaKa rles li fort	-|-||----|--⌫---|-|---|
rois coronez	---|------|
anu o iemaat oiasezmena	---⌫-⌫-||||-⌫-|---||-||
porde sre nier sondroit s eicien uoiez	--|--⌫---⌫---|--|----|-⌫|--|--⌫----|
G efer roi l ab at aille situie s si	-⌫|---⌫--|-⌫|-⌫--⌫----|-|-|--⌫|-|
Ormonteinellementqueplus	-|----|---------|--|---|
n idemo reiz	||----⌫---|
QuantlententFie rabrass ia .i.	----||-----|---⌫-----|-⌫||--|
Garincarmidiorega r dene mice ler	----|--|-|-|--|--⌫-⌫-|-|-|--⌫--|
porquoi n iest	--|---|||--|
ue nuRol lantliadurez	--⌫-|---⌫---|-|-----|
Ouli c uens	-|-|-⌫---|
Oliuier quita ntest	------|--|--⌫-|--|
B erartdemondidier	-⌫----|-|--------|
par dexditOliuiercari tont en	--|--|--|------|--|||--|-|
Mesgedomlen	--|-|--||-|
na curesu iici enu oiez	||---|--⌫|--|---⌫---|
Gefe rroila	-|--⌫---|-|
batai llesituies	-----⌫--|-|-|--|
icelap ostr equelenquierten	---|--⌫----⌫|--||-|-----|-|
Getiroiiaferirpar e n.ii. les	-||---|-|----|--|-⌫|---|--|
Quant l enten tFierabrasgriesenfutet	----||-----⌫|--------|----|-|--|-|
ad oncares ponducomiaoirporrez	--⌫--||---⌫----|--|-|--|-----|
almoif oiGarin ces achespo r uertez	-|--|-⌫-|----|-|-⌫----|--⌫|-----|
O nq uepuisicelle oreque iefuiadobez	-⌫--⌫-|---|-----|--|--|-|--|-----|
neiosteo nul homedesi basparentez	-|----||--|---|-|-|--|-------|
Sinif utroiso u conte o ua mirantclamez	-|||-⌫-|---|-⌫|----|-⌫|-⌫-----|-----|
Si te ocisde coi se ramonprismont ez	-|-|---|-|--|--⌫-|--|---|----⌫-|
Cert esainz ser oitlaide m ent a ui lez	----⌫-|---|---⌫--|-----⌫-⌫--|-⌫--⌫--|
queaufizdun ua uasor	--|-|--||-|--⌫----|
encham p mellez	-|----⌫|-----|
Mesceferoiportoi	--|-|----|--|--|
por h omenez	--|-⌫--|--|
Orendroi tmonteroiubaucenpo mele z	--------⌫|-------||-----|--⌫----⌫|
Sia roia moncoulm onfortescu	-|-⌫--||--|---|-⌫-|---|---|
etmileroichae ra	-|-|----|----⌫||
te rrede mongrez	--⌫--|-|--|---|
pe ispren mon b au cenetsila mmaene	--⌫-|---|--|-⌫--⌫--|-|-||-⌫-----|
Sige fac cepor	-|-|--|-|--|
e tr espontOl iui erdefolie parlez	-⌫|-⌫-----|--⌫---⌫-|-|----|-----|
Ou uou suoillezoun onlidestriermileirez	-|---⌫|------|-|-⌫-|-|-------|-|-----|
et siperdroizla test esiu isne uos	-|-|-------|-|----⌫|-|-⌫-|-|--|
Quantlent e nt Fierabrasapoinestforsen ez	----||---⌫-⌫-|--------||--||--|------⌫-|
Ga r in dist Fierabras	--⌫-⌫-|---|--------|
leimoi a toi	--|--||--|
h ardiiescombatre	-⌫---|--|-------|
m iuz enfaiza am e r	-⌫--|-|---||--⌫-⌫|
par mah om etmondexe ntoina	--|---⌫--⌫-|--|--|-⌫|--|||
que b lam er	--|-⌫---⌫-|
Mesonulsibas homeneuol i oncio ster	--||--|-|--|---|-|---⌫|--|--⌫---|
iet ociemout mendeuro itpeser	-||---|---||-|-----⌫-|----|
iamesn auraieanorienute qui er	----||-----|---|-|-|-|---⌫-|
Seaufizd un uau asorere uenu iost er	-|-|--||-|---⌫---|--|---|----⌫-|
uoil greignor	---|-------|
anor mos treer	---|---⌫----|
D e s uscebaucensorm	-⌫|-⌫-|-|-----|--||
i uerrasia monter	|-----|-|-----|
e ttutesl aiserasquant	-⌫|-||---⌫------|----|
quepuetrandoner	--|---|-------|
Gemileroichaieretdemongreuerser	-|||----|-----|-|-|--|--|-----|
Bienen pouzmoncheualetmon	---|-|---|--|-----|-|--|
es cuporter	--⌫-|-----|
uoiRol la ntou Oli uiers onper	--|---⌫--⌫-|-|---⌫---|-⌫-|--|
Ber artdemondidieret lescoz gilemer	---⌫--|-|--------|-||----|------|
Ouogierlidanois qui tant fait	-|----|-|-----|--|---|---|
et linus nioseneue nirnealer	-|-|--|||--|-|--⌫--|-|---|
iui eng e .ii. p or lor corses prou er	|--⌫---⌫|---|-⌫-|--|---|--⌫----⌫-|
ne liti e zneli quart n isera	-|-|--⌫-⌫|-|-|----|||---|
CertesditO li ui er de f olieparlez	-----|--|-⌫--⌫--⌫-|-|-⌫---|-----|
etli ui l ains le	-|-|--⌫-⌫---|-|
dit pieça oï la uez	--|-----|--||-⌫--|
