mapainewelm etreetmacure	-|----|--|-⌫---|-|-|---|
mo n solasuneonc he	--⌫|----|--|---⌫-|
quene feroitdels i en	--|-|-----|--|-⌫-⌫-|
forset deliu re s	---|-|-----⌫--⌫|
e t il estlaiset malo str u	-⌫|-|--|---|-|----⌫---⌫|
ilne seu ent r es n e tondu	-|||---⌫--|-⌫-|-⌫|----|
anch oisesthideusetbarbé s	----⌫--|--|-----|-|------⌫|
masseuo uscr oire	--|-|--⌫-|--⌫---|
uos treamisser ai plus deliure s	---⌫--|---|---⌫-|---|-------⌫|
etsiaurés delmien yyl iures	-|-|-----|--|---|-|-⌫----|
por consen tirma uol ente	--|------⌫--|-|---⌫---|
lareg ardé	||---⌫----|
ditchou n epuet est re	--|---|-⌫|---|---⌫-|
mie u s ua uroieestre	---⌫-⌫|--⌫----|----|
encorean aistre	-----||-⌫-----|
quei e uiscefaits ifol saut	--||-⌫----|---|-⌫|--|---|
uostre parolerienneua ut	-----|-----|---|-|--⌫-|
neuosdeniersbienl e sg ardés	-|--|------|---|-⌫-⌫|-⌫-----|
card a nscoustans ena asses	--|-⌫-⌫-|-------|-||----|
quimontm as ouef no rie	--|---|||-⌫---|--⌫--|
seporso nbienmalliu oloie	-|--|--⌫|---|--|-|-⌫----|
ales siéenla	|---⌫---|-|-|
etilremestt ous trespensis	-|-|-----|-⌫--|---------|
touscorrechi ésetab au bi s	---|--------⌫--|-|--⌫--⌫--⌫|
quei l nesepuetco nu e rtir	--|-⌫|-|-|---|--⌫--⌫-⌫---|
lefaitmoltesioir	-|---|---|-----|
queleestcortoiseet plaisant	-|--|--|-------|-|-------|
leuistretic etauenant	-|--|-----|-|------|
les ieusuairslabouche p etite	--|---|----|-|-----|-⌫----|
neporoitpas estr edescrite	-|-----|--|----⌫|-------|
dist l iprouossa gransb iaute	---|-⌫|-----|-|----|-⌫----|
iesuifai tilm usartpr ouué	-|--|---⌫|-|-⌫----|--⌫----|
le welie do nt a mer	-|--|-|--⌫-|-⌫--|
quentiounenpuis perci e rl escorce	----|--||-|---|-----⌫-⌫||------|
poroitestre anul	-----|----||--|
ienepuispasau oir soncuer	-|-|---|--|--⌫--|--|---|
ce mesta uis sele	-||--|-⌫--||--|
ne maim me	-||---⌫-|
ensitousseus alui	---|---|---||--|
sec la imme	-|-⌫--⌫---|
liprouos qant ilplus ne	-|-----|---|-|---|-|
grant co se a ufair e l	----|--⌫-|||----⌫||
lada m eesta losteluenue	-|--⌫-⌫|--|||----|----|
lendemainse restesmaie	|-------|-|---|-----|
por al ertoutdroita l	--|--⌫-|---|----|||
oileseru i che	-|-|----⌫-⌫--|
si semeto itel repairier	-|-|----⌫-|-|--------|
l ors l encontrelefo restier	-⌫--||-------|-|--⌫------|
bienfuarmésdarcetdespe e	---|-|-----||--|-||----⌫|
dameysabielasaluee	---|------||-----|
et e lle luia utressi biel	-|-⌫--|--|-⌫------|---|
iltrais tde	-|-----⌫|-|
sondoit zza niel	--|---|-|-⌫---|
definor bienualoit zz m arc	-|--|-|---|-----|-|-⌫--|
dameneuous doinspa smonarc	---|-|---|----|--⌫|--|--|
ani eluous doins gie	---⌫-|---|----|--|
por seulementauoircong ie	--|--------|----|----⌫-|
de baisier uostreb ielebouche	-|------|-----|-⌫---|-----|
queneportepasmaleento uc he	--|-|----|--|---|----⌫--⌫-|
elerespontco mmecortoise	--|------|--⌫--|-------|
sir efaitelepas	---⌫|---|--|--|
nemep ois e	-|-|-⌫---⌫|
selarcetlan ieluousremaint	-||--|-||--⌫--|---|------|
carnulbesoig nemed e stra i nt	--|--|-----|-|-|-⌫-⌫----⌫-⌫-|
tos tconquisse	---⌫|--------|
ie neuousfer a iiaseruice	-|-|---|---⌫-⌫|-|------|
paruilon iequeioi s ache	--|-----⌫-|--|-||-⌫---|
iaporpaor deuostre h ace	-|--|---|-|-----|-⌫--|
ledondeuostreaniel	-|--|-|-----|----|
neferaido ntil uous soit	-|----|--⌫-|-|---|---|
par cho ia dantcons tant	--|---⌫||---|----⌫---|
de splaise	--⌫------|
ent toutauoaaise	--|---||-|----|
etiouiraiamon hoste l	-|--|---||--|-----⌫|
home q u iestsi g arco nier	---|-⌫-⌫|--|-|-⌫----⌫---|
uostrefememedi st l a utrier	-----|---|-|--⌫-||-⌫-----|
se hont enon	-|----⌫|--|
aur ésleguer red on	---⌫--|-|----⌫---⌫-|
q uentquece soit utost	-⌫------|-|---||---|
ai c est motde lisepart	|-⌫-⌫--|--|-|-|-|---|
remestpluscauskebrese	-----|---|---|-|----|
qui li euistlatest erese	--|-|----|-|----⌫|---|
azzra soir	|-|--⌫---|
d a chie r	|-⌫----⌫|
ulesche uiaus faireesr a gier	|--|---⌫----|----|---⌫-⌫---|
si len fustilautresi	-||-|---|-|------|
mais si re coustans delh amie l	---|--⌫-|-------|--|-⌫----⌫|
miedeltoutcestp lait	--|--|---|---|-⌫---|
oroésque la	-|---|--|-|
dame afait	---||---|
ost ele st	---⌫-|-⌫-|
uenueerrant	----|-----|
etfa itma ngier	-|--⌫-|--⌫----|
sonpaisant	--|------|
orauintsice distmonmaistre	-|----|-|-|---|--|------|
entrele p rouostetlepr estre	----|-|-⌫-----|-|-|--⌫----|
e tle forestierce me s anbl e	-⌫|-|--------|-|-|-⌫----⌫|
alerent un ior	------|-|--|
boi ree n sanb le	---⌫-|-⌫-⌫----⌫-|
qantorentbeut	---|----|---|
et mangi e ́	-|-----⌫-⌫|
et i lfurent auq ues	-|-⌫|-----|---⌫--|
sire distli prouo s	---|---|-|-----⌫|
au pres tr e	-|----⌫--⌫|
dontnef eist	---|-|-⌫---|
ilmoltb ones tre	-|---|-⌫-|--⌫--|
de lafemesi gno rcon st ant	-|-|---|--⌫---⌫|---⌫--⌫--|
on e ndeueroi tiuneryy ans	-|-⌫|-------⌫|----|-|--|
enpaineten	-|---|-|-|
eueet en sel	--|-|-|--|
etenuiandequaresmel	-|-|-----|--------|
porunenuiten	--|--|---|-|
ci na forsnostroisquinos	-|||---|--|----|--|--|
par foi cho udist li f orestiers	--|--|---⌫|---|-|-⌫--------|
qui poroit sa bouchebaisie r	--|-----|-|-----|------⌫|
bi en endeueroits offr irlamort	--⌫-|-|-------|-⌫----⌫-|-|---|
distliprouosuousaués tort	---|-|-----|---|----|---|
tantieuner et mortrechoiure	---|-----|-|---|--------|
porunetelfeme dech oiur e	--|--|--|---|----⌫----⌫|
nes tsa i nne	|--⌫|--⌫-⌫--|
cosem i ea faire	---|-⌫-⌫||----|
aautrecief	|----|---|
encou uient	-|---⌫----|
ele nenu ieutnulescouter	--||-|-⌫---|--|-------|
porprometre nepordonner	--|-------|-|--|-----|
quedeli se	--|-|-|-|
welleentremetre	----|---------|
cate llestuet ius	----⌫||-----|--|
tantque leaitpouerte etfain	-----|-⌫-|--|------|-|---|
adontseme traar ecl ain	----|-|--⌫--||-⌫---⌫--|
ensi d oitens eruir ui lai ne	---|-⌫--|-|-⌫----|--⌫---⌫-|
folsestkiautrement le mainne	---|--|-|--------|-|-----|
or oe ́squea	-|--⌫-|--||
porleuinqui	--|-|--|--|
lefi s tfol estre	-|--⌫-⌫|--|----|
a ditases y ycompain gnons	|--||--|-⌫|-------⌫----|
s au ésdi st	-⌫--⌫--|--⌫-|
ilque nous ferons	-|--|---|-----|
nesomes no us asses	-|----|--⌫-|----|
da pouri rsignorconstant	|-⌫-----⌫|-----|-------|
prenésdel a et	------|-|-⌫|-|
i oud e cha	-⌫-|-⌫|--|
dehaitaitquisifaindera	-----|--|--|||-------|
ce respontcas cunsend roitsoi	-|------|---⌫---|---⌫---|--|
orsontac ompaigniétouttroi	-|---|--⌫---------|---|---|
bienporo ntpartir	---|----⌫-|-----|
lormar chie	--|---⌫---|
seronttoutt roiirié	-----|---|-⌫--|----|
etse depar tentd eleschot	-|-|-----⌫---|-⌫||-----|
mes sirec oustansne	--|---|-⌫------|-|
queo nli ait t elplait	--|-⌫|-|--|-⌫-|----|
zz diemenc he auint	-|-------⌫-|----|
queli prouoiress ermona	--|-|--------|-⌫-----|
et au allemosti er r eg arda	-|--⌫-|-|-----⌫-|-⌫--⌫---|
si uint dantcous tantdeuantsoi	-|---|---|----⌫---|-----|--|
i lnelecela pascec r oi	-⌫|-|-|---|--|-|-⌫-⌫-|
ainsdistque tres toutcil l	---|---|--|----⌫---|--||
queau alle mostierestoient	--|--⌫-|-|------|-------|
signoretdamesescouté s	-----|-|----|--------⌫|
etmes pa roles en te ndé s	-|--|--⌫----|--⌫--⌫----⌫|
ue ésladant	--⌫--|-|---|
coustantd elhamiel	-------|-⌫-|-----|
marisdameys abiel	----|---|--⌫----|
il aespouseesa commere	-||-------|-|------|
siestbi endroisqu i l	-|--|--⌫-|----|-|-⌫|
et s iuousd iquel	-|-⌫|---|-⌫|--||
archeuesq ue	---------⌫-|
sima mandé etli eues que	-|||-----|-|-|----⌫--|
grantp i echaqu eie lor ma in	----|-⌫-⌫--||--⌫|-|--|--⌫-|
lu ietsafame huiet	--⌫|-|-|---|--|-|
siles feraondepa rtir	-|--|---|-|----⌫---|
espuetplusconsenti r	-|---|---|--------⌫|
or dantc ou s tantissiésuousent	-|---|-⌫--⌫-⌫---|------|---|--|
de cestmosti er dentre lagent	-|---|-----⌫-||----|-|---|
or to sissie ́s	-|--⌫|-----⌫-|
desai ntee glise	-|---⌫--|-⌫----|
ilni aura ia fait se ruice	-|||---|-|---|--⌫----|
tant commeuousidemorrés	---|----|---||--------|
lorsfuconsta ns forment irés	---|-|------⌫-|------|----|
nesetquef aire ne que dire	-|--|--|-⌫---|-|--|---|
p al e descouloréplain dire	-⌫--⌫|----------|----||--|
alostelaupr estre e st	||----|-|--⌫----|-⌫-|
s il a ill u ecquesate ndu	-⌫|||---⌫-⌫-----|---⌫--|
tan tquemessefu cantee	---⌫|--|----|-|-----|
qu ela gent	--⌫|-|---|
s enes toitalee	|-|--⌫---|---|
liprestresestuenusalostel	-|-------|--|----|||----|
dantco n s tantk inatendoit el	---|--⌫-⌫-⌫---|-⌫||-------|-|
enconstreuenus	--------|----|
fuidechiu ilains	--|-|--|-⌫-----|
ma lostrus	--⌫------|
faitlip r estres ch ou ne ua utriens	---|-|-⌫-⌫-----|--⌫-|-|--⌫-|----|
aiesté tousraiens	-|----|---|-----|
queiasoufferttonauoltire	--|||-------|--|-------|
etrespontda nconstan s biaussir e	-|------|--⌫|-------⌫|----|---⌫|
amord ieu donés	---|-⌫--|-----|
etauuesqueetaudo i en	-|-|-----|-|-|--⌫-⌫-|
p orfairemoiquit eclamer	-⌫-|----|--|----⌫|-----|
et queua u roies tudonn er	-|--|--⌫-⌫----|-|----⌫-|
seiete facestredeliures	-|-|-|--|----|-------|
sire ie uousdonra i yyliures	---|-|---|-----⌫|-|-----|
orte uado nquesrepose r	-|-|-|--⌫----|------⌫|
se poritan tpu ese scaper	-|--|----⌫|--⌫-|-⌫-----|
dieus t ar ad onnésacape	----||--⌫|-⌫----|-|---|
lu i cons tanss escap e	--⌫|----⌫---||-----⌫|
etestasonos t eluenus	-|--||--|--⌫-⌫-|----|
et qant safemel	-|---|-|---||
biensetquei l	---|--|--|-⌫|
est correchiés	--|----------|
ses bras lia a ucolla ch ie ́s	--|---|-||-⌫|--|--⌫--⌫--⌫-|
queauésfaitelebiaus	--|----|---|--|----|
damefait i lm alsui baillis	---|---|-⌫|-⌫-|--|------|
ayyli ures	|-|--⌫---|
mamis li pr estres	||--|-|--⌫-----|
s enos uolons plusensanble estre	-⌫|--|-----|---|-------|----|
quelconselenporonsnos prendre	---|-----|-|-----|--|------|
qui liafait entendre	--|-||---|-------|
q ueuous estes macommere	-⌫-|---|----|-|------|
ne uous en cautfa itelebiau sfr ere	-|---|-|---|--⌫-|--|----⌫|--⌫--|
iamarenserésenesm ai	-|--|-|-----|-|---⌫-|
s oitoefdequalle	-⌫--|--|-|-----|
plusauonsno usdenie rsquepaille	---|----|--⌫-|-----⌫-|--|-----|
ie don raiyyliures uyy	-|---⌫--|-|-----||-|
d ontceste	-⌫--|----|
co seu int	--⌫-|-⌫--|
neuouscalle	-|---|----|
de cor rechier	-|---⌫------|
mais alonsli ement mangier	---|----|--⌫----|------|
et il si fisen t	-|-|-|-----⌫|
niore ntpassislongemen t	||---⌫-|--|--|--------⌫|
enlestreuint	-||----|---|
lomeauprouost	|--|-|------|
constan tfaitilleués	-------⌫|---|-|-----|
estuetuenir acort	-----|----||---|
nara illoisi rqui	|--|-|-----⌫|-||
distla damequecoupuetestre	---|-|---|--|--|---|----|
cilrespont	--|------|
da memo nmaistre	--⌫-|--⌫|------|
lema montdurement h asté	-|||---|-------|-⌫----|
ata n t constants enest	---⌫-⌫|-------||-|--|
au prouost uints e	-|------|---|-⌫|
et il f ierementlapiel a	-|-|-⌫-------||-----⌫|
orcha dantconstant	-|--|---|-------|
uousau e ́szztel geuempris	---|--⌫-⌫-|-|--|--|-----|
dontnesca perés pa s	---||----⌫-----|--⌫|
fieus a putainuil ain s puant	----||-----|---⌫---⌫|----|
petituo us ua ur auostreboule	----|--⌫-|--⌫--⌫|-----|----|
atant lahiersent	----||--------|
parlag oule	--|-|-⌫---|
lauo itouce p	|---⌫-|-|--⌫|
apr i esfait ilaré s uouspis	---⌫-⌫-|---|-|----⌫|---|--|
caruo usseré s mis	--|--⌫-|-----⌫|--|
ua to stdist	-|--⌫-|---|
ila sonuarlet	-||--|-----|
amonsignor	|--|-----|
que iai cha iens l e trai t or	--||-|---⌫---|-⌫|----⌫-⌫-|
qu i ennuit a	--⌫|-----||
senfor m e nte nblé	--|---⌫-⌫-⌫-|-⌫----|
il enna bi enunm uiporté	-|--||--⌫-|-|-⌫-|-----|
etparnuitse ngran gebrisie	-|--|---|--⌫|----⌫-|-----|
lors est constansen	---|--|-------|-|
forthaschie	---|------|
qant onl imentlar enchin se ure	---|-|-⌫|---|---⌫-----|--⌫--|
hasi resedieusm esech ure	-|--⌫-|-|----|-⌫|----⌫--|
fait dantco nstan tie	---|---|--⌫-----⌫|-|
n iaico upes	||-|--⌫---|
hadantcon stantce	-|---|---⌫----|-|
sontestoupes	---|-------|
dontuousnousuol ésestouper	---|---|---|---⌫--|-------|
ilniari e ns dechauc hirer	-||||--⌫-⌫-|-|-----⌫----|
sireconstanspardiufait	---|-------|--|--|---|
cardessiquen uostrecourtil	--|------|-|-----|------|
fulatrache delblesiuie	-|-|-----|--|--|----|
s irefaitil	-⌫--|---|-|
c estpar enuie	|--|--|----|
q u eo nmeme tsusteleeuure	-⌫-⌫|-⌫|-|--⌫|--|---|----|
maisanchoisq ueplu s endescueure	---|--------⌫-|---⌫|-|--------|
prenésdel mie n	------|--|---⌫|
porpais a uoir	--|---|-⌫---|
ienaisurciel s ichie rauoir	-||-|--|---|-⌫|----⌫|----|
queneuausisseau oir	--|-|-------|--⌫--|
ai nsqueiefuisse chitrouué	--⌫----|-|-----|--|------|
en cestc ep	-|---|-⌫-|
a teldesho nor	|--|-----⌫--|
don rastu monsignor	---⌫--|-|--|-----|
seie tefas est redeliures	-|-|-|--|---⌫-|-------|
uousdon rayyli u res	---|---⌫-|-|--⌫-⌫--|
adont l ail dou ce p os té	----|||-|--|--⌫|--⌫--|
etdantconstanssen e stal é	-|---|-------||-|-⌫-|--⌫-|
parmil el iu d unecoustur e	----|-⌫|-⌫-||--|-------⌫|
a tantesteu ousadr oi tu re	-⌫---|---|-⌫--||--⌫--⌫--⌫-|
aco rantson bouie rrobet	---⌫---|--|-----⌫|----|
fait il uarlet	---|-|-----|
mainneetqueas tu	-----|-|--|-|-|
siremal u ous	---|--|-⌫--|
estore auenu	--|--|----|
li foresties	-|--------|
uos bue semmainne	--|---⌫|-------|
etsidistquel autrese mainne	-|-|---|--||----|--⌫-----|
li e n blastesparnuityy	-|-⌫-⌫------|--|---|-|
yy erau l esetyycaisnes	-|----⌫-⌫-|-|-|------|
et me rquedi	-|--⌫-----|
di eusfait constans	--⌫--|---|-------|
que cepuet e st re	--|-|---|-⌫--⌫-|
tan taihuitr aitma leiorne e	---⌫|-|--|--⌫--|--⌫-|-----⌫|
lors asa capedeffublé	---||-|---|--------|
sicorta pries le forestier	-|---|-⌫----|-|--------|
en hautlico mmenchea hucier	-|---|-|--⌫------||-----|
sireprudoma ten désm oi	---|-----|-⌫---⌫---|-⌫-|
hadan uilainde	-|--|-----|-|
tant auésla	---|----|-|
pancepesa nt	----|----⌫-|
quesiuous uenés	--|-|---|-----|
uostenissié s	--|---------⌫|
ag rantdamage	|-⌫---|-----|
semoia portiss i é szz frommage	-|--|-⌫-------⌫-⌫--⌫|-|-------|
uostr e gieron yyo es	-----⌫|-----|-|-⌫-|
bi encuidiés or	--⌫-|-------|-|
auoiru osbues	----|-⌫-|---|
ma is sachiésautrement	--⌫-|-------|--------|
uostreg rantpanche u ou snuira	-----|-⌫---|-----|-⌫--⌫|----|
quelautrier nostrebo is anblastes	--||------|-----|--⌫-|--------|
et enuostrehostell	-|-|-----|-----||
enportaste s	----------⌫|
constans siforsenés	-------|-|--------|
qu eldis t parmoncief uo usment és	-|-|---⌫|--|--|---|--⌫-|----⌫--|
iounenbl ai onquesencorrie n	--||----⌫-|-----|----|---⌫|
sefui ss earmésautressi	-|---⌫--⌫|-----|-------|
c ommeuousestesdan suass al	-⌫---|---|----|---⌫|----⌫-|
soruousempar uenist	--|---|-|---⌫-----|
sedieusa i t hui dem	-|----|-⌫-⌫|--|-||
uouseuissiéscau ci és trop tart	---|--------|---⌫--⌫--|---|---|
uosyyesperonsenuospies	--|-|-------|-|--|---|
lorsfuli forestiersirie ́s	---|-|-|---------|----⌫-|
seliaditireemen t	-|-||--|-------⌫|
uilaindontteuie nt t eltalent	-----|---|-|---⌫-|-⌫-|-----|
que tuteuieus a moi conbatre	--|-|-|----||--|-------|
si taitdieusmeu ieus	-||--|----|-|-⌫---|
malientras	--||-----|
iamai snul home	-----⌫|--|---|
neba t ras	-|--⌫-⌫--|
ue rs luitor n a legl aue at ant	--⌫-|--|---⌫-⌫|-|--⌫--|--⌫--|
lorsotpao rl i	---|-|---⌫|-⌫|
si re disti lpor	--⌫-|---|-⌫|--|
diume rchi	--|--⌫---|
leglorieusqui nementi	-|-------|--|-|----|
n e metené sorpas si co urt	-⌫|-|-----⌫|-|--|-|--⌫--|
me m enésalacourt	-|-⌫----||-|----|
e tmepl aidiés amon	-⌫|-|--⌫------||--|
uousn ia riéspas	---|||-⌫----|--|
gr anthono r	--⌫--|----⌫|
s imaitdieusne grant	-⌫||--|----|-|----|
iaien ma huge l esm onlit	|-|-|-|---|-⌫-|-⌫-|--|
yy liur estou sp ries a uostreoes	-|----⌫-|---⌫|-⌫---||-----|--|
mais queieraieen	----⌫--|-|---|-|
pais mes bues	---|--|---|
e tacordés so ie partant	-⌫|-------|--⌫-|--|---|
cil quinaloite ldemandant	--|--||----|-⌫|--------|
l idistfaimen t seuretfi	-⌫|---|--||--⌫|---|-|-|
ten é sfait il ieuousafi	---⌫--⌫|---|-|-|---|--|
et iouleprenccommen tqui l aille	-|--|-|----|------⌫--|-⌫|----|
orenpues remenertaumalle	-|-|---|------||------|
c onsta nsa	-⌫-----⌫-||
l ostelen r ep air e	|----|-|-⌫--⌫---⌫|
m o ntcorrec hié snesetquefaire	-⌫-⌫-|------⌫----⌫|-|--|--|----|
enunlitest	-|-|--|--|
couchie ́senuiers	-------⌫-|------|
leuis ot taintetpaleetpiers	-|--|-|----|-|---|-|----|
etq a nts afamelotseu	-|-⌫-⌫-|-⌫|---||-|--|
ke ilfuirascu	-|-|-|-----|
eleque aués	--|--|----|
da mefait iluousne s aués	--⌫-|---|-|---|-|-⌫----|
huieuencest iour	--|-|-|---|---|
lorslicontetoutlenc ombrier	---|-|----|---||---⌫------|
delpro uostet delfore st ier	--|---⌫---|-|--|----⌫--⌫--|
commentestiss usde lorprison	------|--|---⌫-|-|--|-----|
etyyliuresderae nc hon	-|-|-----|-|---⌫--⌫--|
puislicontatoutderechief	---|-|----|---|--------|
delp re stre trestou tlemes cief	--|-⌫--⌫---|-------⌫|-|---⌫---|
liuresp aiie r	-----|-⌫----⌫|
dame montmepuises maiier	---|---|-|---|--⌫-----|
carie n en	--|-||-|
saiudeniers pr endre	--||------|--⌫----|
ilmeconuientmesmaison suendre	-|-|-------|--|------⌫|-----|
etlebletquede uonsmangier	-|-|---|--|--⌫---|------|
s irene uousen	-⌫--|-|---|-|
b i enuousosterai d e	-⌫-⌫-|---|------|-⌫|
etildemou ron ten tel trap e	-|-|-----⌫---⌫|-|--|----⌫|
queuousser ésa utretantlies	--|---|---⌫--|-⌫-------|---|
quemiluouson tfaitcorechié	---|-|---|--⌫|---|--------|
tantsepena delconforte r	---|-|---|-||--------⌫|
queilsont assisa u souper	--|-|---|----|-⌫|-----|
quentilo rentassesmangié	----|-|-⌫---|----|------|
ysabiel c ouchi é	------|-⌫-----⌫-|
l and e mainuaita sa kierue	|---⌫-⌫---|---||-|-----|
ladamenes tpas	-|---||--⌫|--|
esp ierdue	---⌫-----|
ai nsapie lasa cambriere	--⌫-|----⌫-|-|--------|
quemontsot	--|---|--|
w a lest rot	-⌫-⌫----⌫--|
walestrotbieledouce amie	--------|----|----|---|
or n e soiés	-|-⌫|-----|
pa sesb ahie	--⌫|---⌫---|
q u edieu snousenuoi t huigaaing	-⌫-⌫|----⌫|---|-----⌫|--|-----|
or to staparelliés unbaing	-|--⌫-|----------|-|----|
e lelefai t	-⌫-|-|---⌫|
sansatendrepl us	---|------|--⌫-|
tos totmislap aelesus	---⌫|-|--|-|-⌫---|--|
etuiersadeli aue enla	-|-----|-||-⌫--|-|-|
zz drap desus p o rfairees tuue	-|---|----|-⌫-⌫|----|--⌫---|
puisuintasadame	---|---||-|---|
dame iaifaituostreco mmant	---||-|---|-----|--⌫----|
ladamewale strot	-|---|----⌫----|
uamoiporleprestre letro t	-|--|--|-|------|-|---⌫|
q ueuiegneis nelment	-⌫-|-----|--⌫------|
siap or c auuecsoil a rgent	-|--⌫--⌫|----|--||-⌫----|
etil nous ert bienenco n tre	-|-|---|--|---|----⌫-⌫--|
aport touslesiuiaus	----|---|--|-----|
e t cel eeffor ce sestrumiaus	-⌫|---⌫|-----⌫-|--|-------|
quesont grosdeuierslesta lons	--|---|---|------|--|--⌫---|
onquesbiesteq u e	-----|-----|-⌫-⌫|
poin t tahons	----⌫|-----|
n eu iplu scor reparlecaut	-⌫|-⌫|---⌫|---⌫-|--|-|---|
que wal est rot gal ope etsaut	--|---⌫---⌫--|---⌫--|-|---|
montsepena	---|-|---|
de tostal er	-|---|--⌫-|
liprestres e rtuen us de	-|-------|-⌫-|---⌫-|-|
quipens e oir bone	--|----⌫|--|---|
qant wa lestrotuitsi	---|--⌫------|--|-|
walestrotque lbesoing	--------|---⌫|------|
sireporuous	---|--|---|
suien g rant	--|-|-⌫---|
ca r iaimadametant ha stee	--⌫||-|-|---|---|--⌫---|
queie l ai	--|-||-|
a choumen ee	|---|---⌫-|
quele ferauostreseruice	-|--|---|-----|------|
bonementauostred euise	-------||-----|-⌫----|
uen ésaliisn element	---⌫--||-|---⌫------|
eleamolt gra nt mestierdargent	--||---|---⌫-|------||-----|
apo rtés litost sapromesse	---⌫----|-|---|-|-------|
ie na iuoir nu legimpleespesse	-||-⌫|---|--⌫-|-----|------|
sinoc onquesdeluostre	-||-|-----|--|-----|
enuerite leuous di bien	-|-----|-|---|-|---|
liprestreslotsisensou rist	-|-------||-|-||-|---⌫---|
walestrot n et e soitpetit	--------|-⌫|-⌫|---|----|
tienyy sa usporunpel ico n	---|-|--⌫-|--|-|---⌫---⌫|
est orliu ilai n senmaison	--|-|-|-⌫----⌫-⌫|-|-----|
neniluoirsireil ni	----|---|---|-|||
iecuic mada me auoir	-|---|-|--⌫-|----|
mai suousies tes	---⌫|---|---⌫--|
mont debonaire	---|--------|
atant s est	----||--|
remiseelrep aire	-----|-|---⌫---|
et il e stcourous asdeniers	-|-|-⌫-|------|-|------|
tantena p riscens et mil ier s	---|-||-⌫--|---|-|---⌫---⌫|
cuneg rantbroseenae mplie	|--|-⌫---|----|-||-⌫----|
et les ioiausn	-|--|-----||
ainsa boute ́tout enson sain	---||-----⌫|---|-|--|---|
oiésquefistlicapelain	----|--|---|-|-------|
bien s atornaet se	---||-----|-|-|
zz mantiel aso ncolpend i	-|------||--⌫|--|----⌫|
qu iestoidescarlateengrain e	--⌫|----||--------|-|-----⌫|
sicomfortuneledema inne	-|--|------|-|----⌫---|
issi deson oste erran t	---|-|--|---|-----⌫|
montsouffre etuas ou ffacant	---|------|-|-|-⌫--⌫------|
carl i b orse pesoitaual	--|-⌫|-⌫---|-----|---|
oroie ́scomli	-|---⌫-|--|-|
a uintma l	-⌫---|--⌫|
enmi sauoieaencontree	---|-|---||--------|
uneghelinegri melee	--|------|---⌫----|
quipastureenu ne	--|------|-|-⌫-|
