XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
ense ré stoutmor tet af iné(s).	-|--⌫---⌫|---|---⌫|-|--⌫-------|
per e smedista l deseurer	---⌫-⌫|-|---|-⌫|-------|
Qu eilnauoit	--⌫|-||----|
.X.chitésEtto utchouqu	--|------|-|--⌫-|---|-|
ilmedistaiiou troue ́ (s) .XXI Aiols otdes	-|-|---|-|--|-----⌫-⌫---⌫|--|----|-|--|
laronsle s	-----|--⌫|
.II.ochisIlescriaas .iiii.Rendés u osp r is	---|----|-|-----|-|-----|------|-⌫-|-⌫-⌫-|
pe ndreudel	--⌫---||-||
ardoirertmes plaisirs. Lila ron respondirent	-----|--|--|--------|-|--⌫--|-----------|
FelDieumen tiNos compaignons	--|---|---⌫-|--|----------|
auésmorsetoc his	----|---|-|--⌫--|
uousle comper éschie rains l	---|-|------⌫--|----⌫|---||
esclarcir.Gransmac ̧ues	---------|----|---⌫---|
au oientbien l ont	--⌫----|---||--|
r equisAiol[s]leual	-⌫----|------|---||
escudesorson	---|----|--|
fiert.i.d es	----|--|-⌫-|
laro nsquil	----⌫-|-|-|
consui Quel ateste	-----|--|-⌫|----|
delbu partir.	--|-|------|
Pui ss escrie Monioiepar grant	---⌫||-----|------|--|----|
air Fi exaputainlaron tout	--|--⌫-||-----|----|---|
est es prisX X II	---⌫-|---|-⌫-⌫-|
Aio l[s ]otdesl arons les .iii.tués	---⌫---⌫|-|--|-⌫----|--|----|----|
Il referi lequa rt	-|-----|-|---⌫-|
grantfie r té(s)Que lates telifistdel	----|---⌫-⌫-----|--|-|---⌫-|-|---|--|
bu uoler .	-|-----⌫|
touten fuian ts e nsontto rn éEtAiolsles	---|-|-----⌫||-⌫|---|--⌫--⌫-|-|----|--|
encauchepar	-------|--|
gran tf ierté. Sen alunr etenul	----⌫|-⌫------||-|||-|-⌫----||
autretu é.Al	----|--⌫--|||
abie reuien ttout le	---|------⌫|---|-|
(cemin)fere ́Pui s	------|----⌫|---⌫|
desloiale s m oines pa r	------|--⌫|-⌫----|--⌫|
[grant]bonté.Hau te mentescr i aCestuiprendésAle	------|------|---⌫--⌫---|----⌫-⌫|-----|-------||-|
branceduncainesile pendés	-----||-|----|-|-|------|
Ca rtoutissi doitonlaron	--⌫|---|---|---|-|----|
mener.Etcilsifis sentsempresans	-----|-|--|-|---⌫---|-----|---|
demorer. La	-------|-|
c ommenc haiustiche Aiol[s] li b erPuisle	-⌫------⌫-|-------|------|-|-⌫-|---|-|
mainti (e)ntilbien	------⌫----|-|---|
to utsonaé.Huimais	--⌫-|--|---|------|
p orésoir lauer ité Comilrendrasen	-⌫----|--|-|---⌫---|--|-|-----|--|
peresoniretéCar pargr ant traisonen	---|--|-----|--|--|--⌫--|------|-|
f u ie tés.La	-⌫|--⌫----|-|
nuit i seiorna iusc a uior clerCongieta pris	---||------|---|-⌫|--|---|------||---|
as moinessi	-|-----|-|
s estarmés.	|--|------|
Aiol[s]monteel	------|----|-|
ceu alsen esttornés	---⌫-||-|--|------|
Ens onmaistre	-|-⌫-|------|
cemine ne st entrés . XXIII	----|-⌫|-⌫-|-------⌫|----|
ua Aio l[s] lan ce	-|---⌫---|---⌫-|
leu eeEttres pas se	---⌫-|-|----⌫---⌫-|
le spl ai ns	--⌫|--⌫--⌫-|
et lescontreesEtles	-|--|-------|-|--|
g ransdesrubans etlesu al ee[s] uen us est	-⌫---|--------|-|--|-⌫--⌫----|---⌫-|--|
aPoit iersa.u.	|----⌫---||--|
iornees. C hefup ar.i.	-------|-⌫-|-|-⌫-|--|
i oidia laue s p ree Aiolsentra es	-⌫---||-|--⌫-⌫-⌫--|----|----|-|
rues parmilestr eeSalance	---|--|-||----⌫-|-|----|
estoitmoltt orteet enfumee	-----|---|-⌫---|-|------|
Et sese scus fu uieuslaboucle leeEtsa	-|--|-⌫---|-|----|-|-----|--|-|-|
resneronp ue	----|----⌫-|
e t renoee Et	-⌫|-----|-|
de soncol son tdesci rees. L i	-|--|--|---⌫|-----⌫----|-⌫|
ceual [s] uitlesarmesmal	-----⌫--|--|--|----|--|
at ireesIl f ronchede s	--⌫----|-|-⌫-----|--⌫|
Aiolsli tientl eres ne estroits ereeAusi	----|-|----|-⌫|---⌫-|------|-⌫---|---|
teste en h autleue e	----|-|-⌫--|----⌫|
Que licersqueon cachea	--|-|---|--|-|----||
m eneeQuant	-⌫---|----|
li bracet le cacentalaramee. Cheualier	-|-----|-|-----||-|-----|--------|
borg oisle n esg arderentEtdamesetpuceles	----⌫--||-⌫|---⌫-------|-|----|-|------|
monterentEtdistliu n [s] a lautreuoiés	--------|-|---|-|-⌫-⌫--|||----|-----|
P arla foiqueu ou[s]	-⌫-|-|--|--|-⌫----|
doiquiest c hisl eresCesarmes qu e	--|--|--|-⌫--|-⌫---|--|----|--⌫|
ilport e a il enbleesMais	-|----⌫||-|------|---|
molt paralechiere[et]beleet	---|--||-|-----|---|---|-|
clereE t bi enresamble	----|-⌫|--⌫-|-------|
francemere.XXI u	-----|----|---⌫|
DesorsenuaAiol[s ]moltirascu[s] Quant	--|-||-|-|------⌫|---|--------|----|
tout leu ont	---|-|-⌫--|
gabantgr antet menu. Euous.i.	-----|--⌫--|-|----||---|--|
lecheorcorantuenu	------|-----|---|
un celier isttousiure squ	-|-----|--|---|----⌫|-|
ilot be u Et o tiuéas d eiss	-|-|--⌫|-|-⌫|---|-|-⌫--||
ot toutpe rduCorantuint a A iolsi larestut	-|---|--⌫--|-----|---||-⌫--|-||------|
frain lesach ap a rgrant uertu.Mai st red ist	----|-|----⌫|-⌫-⌫|----|-----|---⌫--⌫-|-⌫--|
lilechieres	-|--------|
estesuenu [s]	----|----⌫--|
Qua ue ́st antdemo ré alboin eurMicompai gnonuos	-|-⌫--⌫-|-⌫--|----⌫--|-|---|--|-|------⌫---|--|
b eenttoutontper du.Cis cheuauses tmoult	-⌫---|---|--|---⌫--|--|------|--⌫|----|
ma igreset	--⌫----|-|
con fo n du[s]Ilesteraanqui	---⌫--⌫-⌫----|-|-----|----|
al uinbeuEtcel e lanc e	-|--|--|-|---⌫|----⌫|
cisesc u[s ].Quiuousdonache	--|---⌫---⌫-|--|---|---|--|
frai naor ba tu	----⌫||-|--⌫-|
Lesresnes e ns ontroutesmai s [m o lt]bo in[s]fu.	--|-----|-⌫|-⌫--|-----|---⌫|--⌫-⌫--|--⌫----|--|
frainles a isisilares tut.	----|-|-⌫-⌫--|-||----⌫---|
Mar chegai lerega rdesi nel	---⌫-----|-|----⌫--|-|--|
connutIlhauce le pi é destr esi l a	-----|-|----|-|--⌫-|-----⌫|-|||
feruPardesous	---|--|-----|
lebraioelenseluuibu Quetoutson	-|------|--|-|--|-|--|---|--|
pie ́liaelcor s	---⌫|-||-|---⌫|
repu[s ]Iostelui	------⌫|----|--|
estendu .Cuiuers	-------⌫|------|
choudistAiols a(il)u ousferu	---|---|----||---|-⌫--|---|
Qu egisiés uousilleuc	--⌫|------|---|-----|
car leuéssus Racateramongage .u .sous u	--|-----|--|-------|--|---|--⌫|---||
pl us. Et cil	--⌫--|-|--|
borg oissen gabe ntqui lont	----⌫--||-|----⌫-|--||--|
ueuEtdistli	--|-|---|-|
aut reTraitoien	---⌫-|---|--|-|
sus Cisestde la	--|--|--|-|-|
tauern etropto st	------⌫|---|--⌫-|
issus Che sambl edesceuausleroiArtuNe peut	----|--|-----⌫|--|-----|-|--|---|-|---|
cons ent ir h omequetout	----⌫---⌫-|-⌫--|--|---|
ne tut.EDexcom	-|---||--|--|
escusChe resambledes a rmesda ntEsa uQui uesqui par	----|--|-------|--|-⌫---|--⌫-|---⌫|--|-----|--|
eage. c. ansu	---|-⌫-|--||
plus . QuantlentendiAiolsdolan senfu	----⌫|----||------|----|-----⌫|-|-|
ParfondementreclaimeleroiIe su. X Xu	-----------|-------|-|--|--⌫--|-⌫-|
ua Aiol[s]parle march ié Lu i ne chau ts	-|------|--|-|-----⌫--|--⌫|-|----⌫||
estoccisli	--|----|-|
pautonie rs Carmoltl auoit gab e ́	--------⌫-|--|---||----|---⌫-⌫|
etlaidengi e ́ Moltle	-|--------⌫-⌫|---|-|
uontporsiuant	---|--------|
trestout apie ́ E tseria nte t borgois	-------||---⌫|-⌫|-----⌫-|-⌫|------|
Et d ames et	-|-⌫---|-|
p uceles etcesmolliers	-⌫-----|-|--|-------|
Ainsmaisn entratel	---|---||----|--|
ioi ededens Poitiers.	---⌫|-----|--------|
Etdistliunsalautre	-|---|-|--|||----|
Toutauons denouelreg aig [n]iéC ar chi nouses t	---|----|-|----|---⌫---⌫-----|-⌫-|--|---|--⌫|
uenus un[s]ch eual iersQui sambl e d el	----|----|--⌫----⌫---|--|-----⌫|-⌫-|
paragedantAuden g ier.	-----|---|-----⌫-⌫---|
Li borgoissontfe lonetmaluoisié M olt	-|------|---|--⌫--|-|---------|-⌫--|
l iarontlait	-⌫|----|---|
di tetreprouier	--⌫|-|--------|
u menrés [i]celdestrier	|------|-----|-------|
Bienaitq uiuous	---|--|-⌫-|---|
apristaceuauchier.uous uengerésFo ur é	-----||----------|---|--------|--⌫--⌫-|
quantt ansen	----|-⌫--|-|
[i ]e rt.De lacoseanos moines ai és	--⌫--⌫--|-|-|---||--|-----|--⌫--|
Neuouscautaparmain[si]le laisiés	-|---|---|-------|---|-|-------|
Il prie ron t	-|----⌫---⌫|
enlorsaut iers	-|--|----⌫---|
Quantil canteront	----|-|--------|
[messe] en	------|-|
lorm oustie r	--|-⌫------⌫|
De roberordene ́	-|----|------⌫|
c estgranspich ié s.Fa it esnou sun eslais	|--|----|----⌫---⌫-|--⌫--⌫-|---⌫|-|-----|
parche marchié.L ichiende	--|--|--------|-⌫|----|-|
cesteuile s en sontgagié	----|---||-|---|-----|
Q uilmenger ont	-⌫|-|------⌫--|
lecard e celd estrier.ChiésPieronl e	-|--|-⌫|--|-⌫-------|-----|-----|-⌫|
sue[u] ruosherbe rg iésSelidonés .u.	------⌫|--|-----⌫--⌫---|-|-|-----|--|
u osdeniers	-⌫-|------|
Iluousaprend[e]ra qui r	-|---|----------|---⌫|
ataillier uo suiuere ́smoltbiend e	|-------|--⌫|------⌫-|---|---|-⌫|
cestmestierOnnedo itauoi rho nte	---|------|-|-|--⌫-|----⌫|--⌫--|
degai ngier.Quant	-|---⌫-----|----|
Aiolsle ntendisifuir ié(r )s.Bel	----||-⌫-----|-|-|--⌫-----⌫--|--|
e t c ortoisement lo r	-⌫|-⌫----------|--⌫|
respondié Si gnorched is t	---------|--⌫---|--|-⌫--⌫|
lien fescaruos tar giés	-|--⌫--|--|--|---⌫----|
Dameldieus uospardoi nst tous	---------|--|------⌫--|---|
uo[s]p i ciésAlésa uos	----|-⌫-⌫----|----||--|
o steussi melais i és	-⌫----|-|-|----⌫-⌫--|
tieng [io u]m iea	----|---⌫-|-⌫-||
gui[n]lech ierCai tissuid autre te re	----------⌫--|---⌫--|--||----|--⌫-|
nel quiernoie r	--|----|----⌫|
Qui qui m etie gnea ui(e)l iem et iengchier.	--|--|-⌫|---⌫--||-----|-|-⌫|-⌫---|-----|
Al q uan ts e n	--⌫-⌫---⌫||-⌫|
reto rnerent qu enontpitié.XXuISignor	----⌫------|-|-|--|------|---|-----|
ias aués u ous	-|-⌫----|-⌫--|
s e stueritésIl n	|-⌫-|-------|-||
si elhome demere	--⌫-|---|-|---|
Ta nt soitiouene set fo rsetadure ́sS esto it en	--⌫-|---|------⌫|-|--⌫-|-|-----⌫-||----⌫-|-|
autr eterre	----⌫|----|
escaiti ués	-------⌫---|
Qui lfustpourede dra setdesnue ́sQuene	-|-⌫|---|----|-|---⌫|-|------⌫-|--|-|
laid engiés et moltgabés	----⌫------|-|---|-----|
Etqui l nes o it	-|-|-⌫|-|-⌫-⌫-|
tenuseng ra nt	----|-|-⌫--⌫-|
uieuté(s) Aus ifu	---------|---⌫|-|
enPoitiersAiol[ s] liber (s)Qu e	-|-------|-----⌫-|-|---⌫--|--⌫|
t restoutle porsieuentpa r l a c hitéu asalcheualiersire	-⌫------|-|---------|--⌫|-⌫|-⌫----|-⌫---|--------|---|
nouspa rlé sFurentcesar me[s]faite[s]	---|--⌫----⌫|-----|--|--⌫----|-------|
enuoresné Fu	-|-|-----|-|
Audengier[s]uosperes quitan t fuberEtRai[m]bergh e uo	-----------|--|----|--|---⌫|-|--|-|-----------⌫|-|
ole uisc lerI teu sar messoloit toudis	|-|--|-⌫--|-⌫---⌫|--⌫--|-----|-----|
po rte r .C a r	--⌫---⌫-⌫|-⌫-⌫|
remané sono usenc est	-------⌫||--⌫-|-|-⌫--|
estéAcestePentecoust e nosiu[s]	----||----|----------⌫|--|----|
fe re ́s uo	--⌫--⌫-|-|
cheuause rt torchiés etabeurésSinousen	------|-⌫-|--------|-|-------|-|---|-|
iuerons parlachité. Qu an tAi o l[s]	------|--|-|------|--⌫--⌫|--⌫-⌫---|
lentendimoltfui ré s	|------|---|-|-⌫---⌫|
Ilsoiblastengier	-||-|----------|
sifortgaberEt	-|---|----|-|
mautalen tbie n	--------⌫|---⌫|
le s auésA	-|-⌫----||
dehardementho me	-|--------|--⌫-|
tostenbrassé .Illiuint	---|---------⌫|-|-|---|
entalentet enpensé Queiltraisist del feure	-|-----|-|-|-----|--|-|-------|--|----|
let[r]éEtqu	-------|-|-|
il lor courust	-|--|------|
sus tout abriué[s]Quant	--|---|---------|----|
de lconselson	--⌫|-----|--|
pereli e stmenbréE tdel castiementdel gau t	---|-|-⌫-|------|-⌫|--|---------|--|---⌫|
ra mé. Portantsi a son	--⌫---|--|---|-||--|
s ens ramesur éBelemen tlo r	-⌫--|-------⌫-|-------⌫|--⌫|
r e spontparhumletéSignor Dieus le uosmirelaisiés	-⌫-⌫----|--|-------|-----|----|-|--|---|-------|
est eruousfai tesuiloniequ em e	---⌫-|---|---⌫--|------|--⌫|-⌫|
gabe ́sEt tor tet	----⌫-|-|---⌫|-|
grantpichié et mauai stés Aincne	----|------|-|-----⌫----|---|-|
uosmesfisriens	--|-----|----|
Se iesuispou reshomDex aass és	-|-|---|---⌫--|--|--||---⌫--|
L iroisdes ainteg loire	-⌫|---|-|-⌫----|-⌫----|
de maieste ́ Quile cielet l e ter e	-|-------⌫|--|-|---|-|-⌫|---⌫|
aag arderEtdel	||-⌫----|-|--|
sienm e poragra n t	---|-⌫|---|---⌫-⌫|
partdon erQuantDameldieusuaura iarai	---|---⌫-|----|---------|----||---|
assés. L i	------|-⌫|
a uquantsentornerent	-⌫-----||-|--------|
o ntpitéPor	-⌫-|----|--|
chouquebele ment l	---|--|----⌫---||
oentparle r.Es uo us	---|-----⌫-|-|--⌫-|
.i.lecheour tout	--|-------|---|
.i.celier er t	--|-----|--⌫|
touseniurésEtsesto itde ses	---|-------|-||----⌫-|-|--|
dras tousdesnués.	---|---|--------|
Par lefrainles aisisil	--|-|----|-|-⌫---|-||
Que .ii ii.pi és arie re le fist	--|---⌫--|--⌫--|----⌫-|-|---|
passer. uasa ld ist li	------|----⌫|-⌫--|-|
lechieres amoipa rlés Anuit herberger ésamonost el	--------||--|--⌫----|----|---------⌫--||--|---⌫-|
Une de nosmescine s allitarés Trestoute	--|-|--|-------⌫|-|--|----|--------|
leplus bele que	-|---|---|--|
quesirésUto utelapluslaidese miex l	--------||--⌫--|-|---|----|-|---||
uostreh aub ersseraaupainportés Deuostre elme	-----|-⌫---⌫--|---|-|---|------|-|-----|---|
a grantplentéD e uo scauc hiersarons poiso nasse ́s.	|----|------|-⌫|--⌫|----⌫----|----|-----⌫|----⌫--|
Isn elemen tenest auantpassés	---⌫------⌫|-|--|----|------|
Selialalefr a ind elci ef	-|-|--|-|--⌫-⌫-|-⌫-|--⌫-|
osterAto utuers	----|---⌫-|---|
leta uerne	-|--⌫----|
en est to rnés.Qu ant	-|--|--⌫-----|--⌫--|
Ma[ r]chegai s esentsi deliurésDelfrain quedela	---⌫-------|-⌫|---|-|--------|--|----|--|-|-|
ontosté( s)	--|------⌫-|
Onquessifais	-----|-|---|
cheuausne fu trouésIoi	------|-|-|------||-|
l emestre di requ ilfu	-⌫|-----|--⌫-|-|-|-|
faés.Apr è s	-----|---⌫--⌫|
leglouton uatous	-|------|-|---|
a b riués Il cluing ede l orelge silahapé	-⌫-⌫-----|-|------⌫|-||-----|-|||----|
aterie lsi lacombré Que.ii ii.piésdetere	------⌫|-|||------|--|---⌫--|----|-|---|
lasousleué	||--------|
S(e) aes couselatestesellaistal erLiglou s	---||--⌫----|-|----|--|----|--⌫-|-|----⌫|
teresiest pasmé s	---|-|--|------⌫|
Que parmilesnarines sautl isans	--|--|-|--|------|---|-⌫|---|
cler[s]. Aiolsler etorna tout	-------|----|-|-⌫-----|---|
desongréAs piés	-|--|---|-|----|
a defouléQue	|-------|--|
.iii.cost esliael corsfroé. De	----|----⌫-|-||-|---|-----|-|
sonc eualsa baiselibaceler [ s ] Se li	--|-⌫---||-⌫----|-|-------⌫-⌫-⌫|-|-|
o ttoutdelp uinle	-⌫|---|--|-⌫--|-|
fr ain ostéEtc hief deson	--⌫--|----|-|-⌫---|-|--|
ceuallarefreméuasal	----|||-------|----|
AiolscaruosleuésSe uou s uolésdel	----|--|--|-----|-|---⌫|-----|--|
arés.Ce rtesieneu ieng pas	-----|--⌫---|-|-|-⌫---|--|
pormarier.	--|------|
Adoncs eng abent toutpar	----||-|-⌫----|---|--|
lachitéBorgoi set	-|-----|------⌫|-|
damoiseletb achele r.Etdist	-------|-|-⌫------⌫-|-|---|
uee ́sOn ques [mès]	---⌫-|--⌫---|-----|
tés ch euaus nefu tr ouésC he peut	---|--⌫----|-|-|--⌫----|-⌫-|---|
bi en estre uoir quil	--⌫-|----|---|-|-|
e st faés.	-⌫-|-----|
XXuII Desor cheuau ce	----|--|-|------⌫-|
Aiol sg rains	----⌫|-⌫----|
et plain[s]d	-|-------||
tou t leuo nt	---⌫|-|--⌫-|
gabantaual	-----|---|
l aui leBorg oisetdamoiseleset [les]mescin es u asal	-⌫|--⌫-|----⌫--|-|---------|-|----|------⌫-|-⌫---|
p arlésa nou sch eual ier	-⌫-----||---⌫|--⌫----⌫--|
sir eFuren tc esarmes	---⌫|-----⌫|-⌫-|----|
uostreguiseAinsen[tous] nosaés	-----|----|---|-|-----|--|---|
Aiol slorrepo ndi	----⌫|--|----⌫--|
grantcortoisie	----|--------|
SignorlaisiemeesterDex	-----|-------|----|--|
leu osm ir e F ra nshom(e )qui ra[ m]prone a utr epar estouthi e	-|-⌫-|-⌫--⌫|-⌫--⌫-|-----⌫|--|---⌫------|-⌫---⌫|--|--------⌫|
Ildoi tsate re	-|---⌫|-|--⌫-|
perdre etsa f ranchiseLaron	-----|-|-|-⌫-------|----|
doiuentgaber	------|----|
Cil qui so ntengenre ́ par	--|--|--⌫-|-------⌫|--|
Li au quant	-|--⌫----|
sento rnerentsi	|-|--⌫------|-|
s umelie nt Et	|------⌫-|-|
glouton se liescrien tQ uils enf ache	------|-|-|-------⌫|-⌫|-||-|-⌫---|
porter ases	-----||--|
me scines. Lig loussenu a	--⌫------|-|-⌫---||-|-⌫|
plaingn antduceursopi re	-------⌫--|-|---|----⌫-|
Et demandel eprestre ne pot plus dire.E t	-|------|-⌫|------|-|--|---|----|-⌫|
gar çonetribaut	---⌫---|-|-----|
tou tli escrientTu a shapéle	---⌫|-|-------|-|-⌫|----|-|
fra insinenasmie.	---⌫-|-||-|-|---|
Atantes.i.bo rgoismanantet	----|-|--|--⌫----|-----|-|
r icheCil ot anon	-⌫---|--|-||--|
Gautiers de	-------|-|
s ai ntDenise	-⌫--⌫-|-----|
Senescausfu.u . ans le duc	--------|-|--⌫|--|-|--|
droits ignorAiolauisseIl le	----|-⌫----|---|-----|-|-|
r esamblemiexqu home	-⌫------|---|-|---|
uiue.I l ua u raia parlerde	----|-⌫|--⌫-⌫-|-|-----|-|
grantfranch ise. XXuIII	----|------⌫---|-----|
Sign ordist liborgoi slais siésesterCascunss e	----⌫-|---|-|------⌫|----⌫----|----|------|-⌫|
deuer o itbien	-----⌫-⌫-|---|
porp e nserQue	----⌫-⌫---|--|
i lna.i.toutseul	-⌫|||--|---|---|
Tan t soitetforset iouenes [et] bacheler[s] S ert	---⌫|---|-|---|-|------|---|----------||--|
oreen autret ere es caitiue ́sQuilfu stpoure	--|-|----|-⌫--|--⌫-------⌫-|-|-|--⌫-|----|
d esnuésS ilso oi t laidengieret	-⌫------||-||-⌫--⌫|---------|-|
siblamer Ne	-|-----|-|
fu st i aplushont eux eta bosm e ́s	--⌫-|-⌫|---|----⌫--|-|-⌫----⌫-⌫-|
Courechou setdol ansetaire ́s	---------⌫|-|---⌫--|-|----⌫-|
uosu eésquilestenf eset bachel ersN	--|-⌫---|-|-|--|---⌫-|-|------⌫--||
apas a prisles	|--|-⌫---|--|
ar mes bie na	--⌫--|---⌫||
porterEtsinahome	-----|-|-|||---|
autruinaure ́	-----|-----⌫|
Nenulerien t ol unautruienblé	-|---|---|-⌫--⌫||-----|-----|
la i de ngiés etranpr onés Anç oisle deusiés o	--⌫-⌫--⌫-----|-|-----⌫----|----⌫--|-|-------||
uousme ner	---|--⌫--|
EtporD ieuherbergier et o st eler . Lipreudom(e) l	-|--|-⌫--|---------|-|-⌫--⌫----⌫|-|---------||
amistésDamo iseus debo in air e	-------|----⌫----|-|--⌫-|---⌫|
cha enten désSe	--|-----⌫---|-|
uolésost el nel me cel és Seu ou sherbergerai	-----|---⌫-|--|-|---⌫--|-|-⌫--⌫|----------|
parcarité	--|------|
Poramorm onsignorqueresamblés Legentilduc	--|---|-⌫-|-----|--|---------|-|-----|--|
tant f uber.	---|-⌫|---|
Ilfu cachiésde	-|-|-------|-|
Francepar poest e ́Parle	-----|--|-----⌫-⌫|--|-|
c onsei l Ma kairele d effa é u ous	-⌫-----⌫|--⌫----|-|-⌫----⌫-|-⌫--|
le resambl és plusquehomené	-|-------⌫--|---|--|---|--|
Porlesoiea misté(s )auréso stel.S euos	--|-|---|-⌫--------⌫|-----|-⌫----|-⌫|--|
cheuaus nefustsi	------|-|---|-|
des carn e ́ [s]Miexsamblas tMar chegai	---⌫----⌫-⌫-⌫--|---|-------⌫|---⌫-----|
que riensso zD é.	--|----|--⌫|-⌫--|
P orlamor deldestri erque	-⌫-||---|--|------⌫-|--|
iainoméAura cisde	|-|----|---|--|-|
grantplenté.E t	----|-------|-⌫|
Aiol s res pond i commesenés	----⌫|---⌫----⌫|----|-----|
Sire Die xleuosmirequi	---|---⌫|-|--|---|--|
n ousfist né [s]Lipreud oml	-⌫--|---|---⌫--|-|-----⌫-||
enmenaasonostel	-----||--|----|
nuitAi ol bienos tel é(s) E	---|--⌫-|---|--⌫---⌫----||
si fistMarchegaibienestabl erTrestous	-|---|--------|---|------⌫-|-------|
le s.iii.piésli	--⌫|----|----|-|
fist f e rer.XXI XAiols lifiexEliefuherb ergiés	---|-⌫-⌫---|---⌫|----|-|---|---|-|----⌫------|
L ostes qui	|----|--|
lherber gaot	|------⌫-|-|
non Gaut iers Se n escaus	--|----⌫---|--⌫-⌫-----|
Elie.u.ans	---|--|--|
entiers Et fu de mainte	------|-|-|-|-----|
cose bi enaaisiés.	---|--⌫-|--------|
