quant limundesfuestabliz	----|-|-----|-|-------|
e poesteemaorie	|-----||-----|
sies traison nen	-|--⌫|-----||-|
que plu s reseit des atre mp rez	--|---⌫|-----|---⌫----⌫--⌫--|
di uersdautres e deseurez	--⌫---||-----||-------|
equant eu niatant d e l	|----|-||||---|-⌫||
q ue a s au tresne	-⌫-|-⌫|--⌫---|-|
seit co nmun	---|--⌫---|
i liseient igaument	-⌫||-----|-------|
sis au umbienc ertainem ent	-|-⌫--⌫-|---|-⌫--------⌫--|
queplusenestdouz etempre z	--|---|-|--|---||------⌫|
e be nignesemesurez	|--⌫-----||------|
edecauientq u	|-|-|----|-⌫|
esregion s	-|------⌫|
i ors achau ze	-⌫--||----⌫||
suntle s u erminesueni mos es	---|--⌫|-⌫------|----⌫---⌫-|
pesmescruaus e hainoses	-----|-----||-------|
eles be s tesmortau sef i eres	|--|--⌫-⌫--|------⌫||-⌫-⌫---|
p oplesd eteusmanieres	-⌫----|-⌫|---|-------|
qui nen untleis en	--|--|--|--|-⌫-|
nerais o n	-|----⌫-⌫|
dreiturenedis cre tion	-------|-|---⌫---⌫---|
quine seuentquestmausnebie ns	--|-|-----|-|--|---|-|---⌫-|
e qui plus sunt felons que c hien s	|--|---|---|-----|--|-⌫----⌫|
neirs mento ns granz	----|-----⌫-|----|
eiusqu enlaterre	|----|-|-|----|
pendan zore illeso dlo nsbes	------⌫|---⌫----|-⌫|--⌫-|--|
e moctplus lez lespiezd un es	|---|---|--|--|---||-|-|
sen form ezefez	--|----⌫-||--|
c oi n e uossereient	|-|-⌫|--|-------|
porlagrantchalor	--|-|----|-----|
ou toziorzui ue nts anzfreidor	-|--|---|--⌫--⌫-|-⌫--|------|
enauientce queie uo sdi	-|-----|-|--|-|--⌫|-|
p a rtiedemidi	-⌫-⌫---|-|---|
enoccidentuersmienu it	-|-------|---|-----⌫-|
o ud efreidureresun tcuit	-⌫|-⌫|-------|-----⌫|---|
ou neis egla ceemer aplus	-|---||---⌫-||--||---|
cesauumb ienn enrenaistnus	-|----|-⌫--||-|------|--|
sonlafo rcedelele men t	--|-|--⌫--|-||---⌫---⌫|
porce quesanz n ul temp r e ment	--|-|--|---|-⌫-|----⌫-⌫-⌫---|
est toteestr ait e lo r nature	--|---|----⌫---⌫|--⌫|-----|
eissi c om deue e de	----|-⌫-||--||-|
por c e resuntdesatempré	--|-⌫|-----|----------|
porcen eseuentqu eestleis	--|-|-⌫|-----|--⌫|--|---|
neque estiorzne	-|--|--|---|-|
anzneme is	--|-|--⌫-|
por cen ena eneusdoucor	--|-||-||-|--|-----|
sidesl einon	-|----⌫-|--|
eamer t or	|----⌫-⌫-|
nedotent mortne lorso uient	-|-----|---|-|--|--⌫----|
quearmeseitnequ eudeuient	--|---|---|-|-|-|------|
deus d etrencher ned e us ocire	|--|-⌫--------|-||-⌫-|----|
necu id e estreneguns	-|--⌫--⌫|----|-----|
eisic onuos poezoir	---|-⌫-|--|---|--|
ueer apr endree	---|---⌫----||
concezdeus o ures	--|--|---|-⌫---|
uunt a dr e it	---||--⌫-⌫-|
laporl echaut c a p orle freit	-|--|-⌫|----|-⌫|-⌫-|-|----|
au cunsmedira sesdeuient	--⌫---|-|---||--------|
por quecoestdumcoa uie nt	--|--|-|--|--|-|-⌫---⌫-|
quelafreidors	--|-|-------|
estcasigra nz	--|-|-|---⌫-|
elalichau z	|-|-|----⌫|
siesboill anz	-|-------⌫--|
m ais nemisoior	-⌫--|-|||--|-|
comsif aiteschoses	--|-|-⌫----|-----|
h auteestmoc t loure	-⌫---|--|---⌫||---|
e lamatire	|-|-----|
esiiaureittropa dire	|-||-----|---||---|
emeinilistpa sdemorer	|--|||---|--⌫|------|
quer m o ctia	---|-⌫-⌫-|||
d elaparler	|-||-----|
mais quinuoudrasaueir	---|--||-----|-----|
p lineouaugustin	-⌫---|-|-------|
en tr e cezcontrarietez	--⌫--⌫|--|-----------|
qui suntsigranzcon	--|---|-|----|--|
freidur eedarson	-------⌫|||----|
rest docel abitation	---|---||--------|
querparlatemprem entde ler	---|--||--------⌫--|-||-|
ne trop est e ne	-|---|---⌫|-|
tr op i uer	--⌫-|-⌫--|
en sunt ligran trenne abita ble	-|---|-|----⌫|----|-----⌫--|
eb eledelitable	|-⌫-||--------|
eple ntaif eabond os	|---⌫----||-----⌫-|
deq uanq ue huenestdes iro s	-|-⌫----⌫-|---|--|---⌫---⌫|
d ebe leform eisunt lesgenz	-⌫|--⌫-|----⌫||---|--|---|
e des aiges contenemenz	|-|-⌫----|----------|
discret rais nable	------|----⌫----|
ebienuestu	|---|----|
tropgrantnesuntnet r opmenu	---|----|-|---|-|-⌫-⌫-|---|
cistseuentle s afaiteme nz	---|-----|--⌫|--------⌫-|
le sarslesleisle s	--⌫|--|--|---|--⌫|
cistseuentc onnois treeueeir	---|-----|-⌫------⌫--||----|
eentendre eaper ce u eir	|-------||----⌫--⌫-⌫--|
estcundexcuncriator	--||-|--||-|------|
cistseuentladeteel onnor	---|-----|-|---|||----|
quilquiert	-|-|-----|
q ui luectquelonliface	-⌫|-⌫|---|--|--|-|---|
eque lonainteque lon	|--|--|---||--|--|
oruos deic e	-|--|--|-⌫|
b r iementmostrer	-⌫-⌫-----|------|
me stuet deceparler	|-⌫----|-|-|-----|
lifilosofee lipa rfit	-|-------||-|--⌫---|
liplus saige e	-|---|----||
lipluseslit	-|---|----|
q uinpoct estre	-⌫-||---|----|
sun teserontte n uamestre	---⌫||-----|--⌫-⌫||-----|
firentune di uision	-----|--|--⌫-----|
discr etemente od	-----⌫------||-|
deumondet ot ed e l aterr e	--|----|-⌫-||-⌫|-⌫|----⌫|
laclocteserre	|-----||----|
treispar ties i asignerent	----|---⌫---||---------|
dum lapremereaise	--|-|------|---|
africqueeuro pe totlemonde	-------|----⌫-|--|-|----|
queclot eaceint mer par fonde	--|---||-----|--|---⌫----|
iceztreisparsdeui s	---|----|---|----⌫|
maisce auum	---|-|---|
nosbienapris	--|---|----|
quiga usne sunt pas	-|---⌫-|-|---|--|
tient l unecomlesdos	----||--|--|--|--|
q uas eprentsonconmencement	-⌫|--⌫|----|--|-----------|
desmid iiusque norient	--|---⌫|----|-⌫|-----|
entie rement terre ema rine	-----⌫-----|----||--⌫---|
eenseptent riensafine	|-|-------⌫---||----|
ede s s e ptentriensestent	|--⌫|-⌫-⌫--------||-----|
europeuersoccident	-----|---|-------|
ita nt re tient nepl usnemains	---⌫-|--⌫----|-|--⌫-|-|----|
dece resonmes	-|-|-------|
biencert ains	---|----⌫---|
desoccid entiusquenmidi	--|-----⌫--|----|-|---|
redureafri cquetot	-----|----⌫---|--|
aa setienttoten	|-⌫-|----|--|-|
lesdous partiesd icestmont	--|---|------||----|---|
les autres par zles	--|-----|---⌫|--|
deusparties	---|------|
queuosauezicioies	--|--|---|--|---|
ato zdemandemenz	|--⌫|----------|
e asgre iosenqueremenz	|-|---⌫--|----------|
li porre i ticifaire	-|-----⌫-⌫|--|----|
saur eitmos trer direeretraire	----⌫--|---⌫---|---||-------|
comlesme r su unt n e les	--|--|--⌫-⌫|-⌫--|-⌫|--|
necome lessunthab it ees	-|--|-⌫--|---|---⌫--⌫--|
d equ exoiseau snedequex ienz	-⌫|--⌫-|------⌫|-|-|---|---|
dequexbestesde quexserpe nz	-|---|-----|-|---|-----⌫-|
n el es me rue illesgranz e	-⌫|-⌫-|--⌫---⌫----|----||
ade milman ieres	|-|--|---⌫----|
o usuntlesp ierresprincipaus	-⌫|---|--|-⌫-----|---------|
nesa ueir por queussuntitau s	-|--⌫---|--|-|--|---|----⌫|
nesidiuerses	-|-|-------|
d ec olors	-⌫|-⌫----|
queilesch os sesmenors	---|--|--⌫--⌫--|-----|
pre nnent euenquentles pl usgranz	---⌫----||-------|--|--⌫-|----|
q uici sereit part ot	-⌫-|-|-----|--|-⌫-|
m octli fe reitbuendemander	-⌫--|-|--⌫---|---|-------|
buenap rendrebuen	---|--⌫-----|---|
a ceste ourequeiaia	|----|---|--||-||
mebe soigneu n	-|--⌫-----|-⌫|
poia retrai re	--||------⌫-|
comm ente urope esta sise	----⌫--|-⌫----|--|-⌫---|
autresparzsedeuise	-----|---|-|-----|
ci p rentl	-|-⌫---||
o ureconme ncem ent	-⌫--|-----⌫----⌫--|
orin ees tr ace	----⌫|--⌫--⌫--|
ena is s emen t	|--⌫--⌫-⌫----⌫|
du miaiatr aitereafaire	--⌫||-||--⌫----|||----|
c euos puisbiendeueir retraire	-⌫|--|---|---|-|---|-------|
quela premereregi on	--|-|------|----⌫-|
dum ie itruis memoir e enon	--|-||----|------⌫||--|
e stsicela basse a pelee	-⌫-|---|-|----|-⌫----|
es iconmenceeestioste e	|-⌫|-------||--|-----⌫|
odlespaluz	-|--|----|
meotidiene s	----------⌫|
granzmerueillessun tplenes	----|---------|---⌫|-----|
en tr edanube eloce an	--⌫--⌫|-----|||---⌫-|
quicortde ue rsseptentrian	--|---|--⌫--⌫-|----------|
s estent icesteregion	|-----|-----|-----|
eisiest closed enuiron	---|--|----||------|
iusq ue niermaine tiente d ure	----⌫|-⌫|-------|----||-⌫--|
eisicom retraitlescriture	---|--|------||--------|
estrange est	-------|--|
diteeapelee	---||-----|
edestr anges genzabitee	||----⌫----|---|-----|
porl esestrangespoplesnez	--|-⌫-|--------|-----|--|
dumto zc il	--|--⌫|-⌫-|
rennes estpo plez	-----|--|--⌫---|
estgermaines auuage	--|-------|-⌫-----|
qu imoct estgr a nzn estpaspetite	--⌫|---|--|--⌫-⌫-||--|--|-----|
ienz epoplesi ra assez	---||-----||-|----|
felonstropede sme surez	-----|---||--⌫---⌫----|
licitisunt unspop lesnuz	-|--||---|--|---⌫--|--|
presdesmareise despaluz	---|--|-----||--|----|
meru eilleaor rible	----⌫----||--⌫----|
lig ot une	-|-⌫-|--|
ienzmoc tpenible	---|---⌫|------|
isunt ap r eseli al ain	|---|--⌫-⌫-||-|--⌫--|
qui ne seue ntquestuinn e	--|-|----⌫-|-|--|--|-⌫|
de lait debuer reed epeison	-|---|-|----⌫-||-⌫|-----|
u iuen t e dela ueneison	-⌫----⌫||-|-|-------|
dum m oct prennen tesanz gra nt	--|-⌫--|-------⌫||---|---⌫-|
l aterr eenes t plene	-⌫|----⌫|-|--⌫|----|
li gepid iensuntenpres	-|-----⌫--|---|-----|
feloneenreure	----||------|
epuis lirogeeli	|---|-|---||-|
lihunapreselibo ugreis	-|--|----||-|--⌫-----|
elidaneisfortgent hardie	|-|-----|---|---|-----|
ea presc ildesclau un nie	|-⌫---|-⌫-||------⌫--⌫--|
pu is uientl irennede iermaine	--⌫-|----|-⌫|----|-|-------|
eap resceluid	|--⌫--|----||
france aquit ai n eespaigneen sus	-----|-----⌫--⌫-⌫|-------|-|--|
autresrennes ia	-----|-----|||
dumniertci faitemention	--||---|-|----|------|
quer nes torleusnenepoon	---||--⌫|-|---|-|-|---|
maisdegermai neuo sr etrai	---|-|------⌫-|--⌫|-⌫----|
certeinem entquerbien lesai	---------⌫--|---|---|-|--|
nul plusbelren nene stuetquerre	--|---|--|---⌫-||-⌫----|-----|
plus plentaifnemeillor terre	---|-------|-|------|----|
tanti aient tant	---|||---|---|
e nina ist	-⌫||--⌫--|
es tmerue ill e	--⌫|-----⌫---⌫|
qu ilespaist	--⌫|--|----|
dumiluient	--|-|----|
queisifaitp o ples ostient	--|--|---|-⌫-⌫--|-⌫------|
engermainea une montaigne	-|-------||--|--------|
roistehautefieregrifa igne	-----|----|----|-----⌫---|
le s ienzlapelentadn oe	--⌫|---||------|---⌫-|
si comies liu resai	-|--||-|---⌫--|-|
densum damun tunfluiuesort	|-|--||----⌫|-|-----|---|
u ersorient sen cort	-⌫--|-----||-|---|
seixanteeuesgran zen onmees	-------|---|----⌫||-⌫-----|
quiauironn ent les c ontrees	--|-------⌫--|--|-⌫------|
si asenblentcetr uislisant	||--------|-|--⌫--|-----|
por telest	--|--|--|
ra b i nosegrant	--⌫-⌫-⌫--||----|
efierse p erillosele z	|----||-⌫------||--⌫|
hyst erdanubeestapelez	----⌫-|-----|--|-----|
entrei c est fl u iuee locean	----|-⌫-⌫--|--⌫-⌫--|||----|
e later reou suntlialan	|-|---⌫-|-|---|-|---|
afieresgenzdemainzsembl anz	|-----|---|-|----|-----⌫--|
sauuagessuntemescrean z	-------|---||--------⌫|
uneisle i a	--|---|||
bienqueces t rosi e	---|--||--⌫|----⌫|
qui estdela grantmer	--|--|-|-|----|--|
detotes parzauironnee	-|----|---|--------|
duncau tresicom	---|--⌫----|--|
d elord iuersesmaiso nnetes	-⌫|--|-⌫------|-----⌫-----|
gitent essainsgran ze plen ers	-----|------|----⌫||----⌫--|
ceusqui sunt	---|--|---|
suntene st o rglai uesachié	---|-|-⌫--⌫-⌫|----⌫-|------|
tosteisneldireesbrasez	---||----||--|-------|
tr estoteissi	--⌫----|----|
eplusa ssez	|---|-⌫---|
poplesforsei ssir	-----|---|--⌫---|
porlesgranzrennesenuair	--|--|----|-----|-----|
epor f airelesgra nzocises	|--|-⌫---|--|---⌫-|-----|
les granzgaaizeles con quises	--|----|----||--|---⌫-----|
entre alane qui	----|----|--|
moct est lee	---|--|--|
eiecequinestsa nz gelee	|---|--||--|--⌫-|----|
es tdanem archela p le n ere	--⌫|-----⌫----|-|-⌫--⌫-⌫--|
eissi a sise en te uman e r e	----|-⌫---|-|--⌫|---⌫-⌫-⌫|
estcomm ecoronne	--|----⌫|------|
fieresmontaignes lauiron ne	-----|---------||------⌫-|
ce ditla letre e liescri z	-|--|-|----||-|-----⌫|
ueztreisfiz	--|----|--|
seneiaf e ze c annon plus	--||---⌫-⌫||-⌫-|--|---|
sicomretrait y s ido rus	-|--|------|-⌫-⌫---⌫--|
les treispartiesde cest	--|----|------|-|---|
m erpa rfonde	-⌫-|--⌫-----|
orente t indrente	----||-⌫------||
quifulainz nez	--|-||---|--|
ede lu i f u	|-|--⌫|-⌫|
lipopl es ne z	-|----⌫-|--⌫|
quila popla equila t int	--|-|----||--|-|-⌫--|
de luid escenditozeuint	-|--|-⌫------|--||---|
ca moct afri cqueasapartie	--⌫|--|----⌫---||-|-----|
de ce ne redotonn os	-|-|-|------|-⌫-|
iafe z europedeu ersnos	----⌫|-----|---⌫--|--|
eissialatota	----|--|--||
i afezoctunfilmoctenpoz	-⌫---|--|-|--|---|----|
qu i funonmezgoemagoz	--⌫|-|-----|-------|
cist ui nt engocee	---|--⌫-|-|---||
dune sillebedeson non	|--|------|-|--|--|
finiestpo see	--||--|--⌫--|
fu g ocediteeapelee	-|-⌫--|---||-----|
degozma go sfugocedite	-|-----⌫--⌫|-|---|---|
e stoire es t	-⌫-----|--⌫|
delui descenditexlignees	-|--|-------|--|------|
quimoctfuren t	--|---|-----⌫|
puisessa ucees	---|----⌫----|
e fe lonpop lee co nqueranz	|--⌫--|---⌫-||--⌫-------|
sorto z hardiz ecombatanz	--|--⌫|-----||--------|
cancequeci	----|--|-|
uosainonm ee	--|-|----⌫-|
qu idem ers estauiro nnee	--⌫|-|-⌫--|--|-----⌫---|
par grante sfo rzeparpoeir	--|----|-⌫---⌫-||--|----|
conquist rentpu isapresloreir	--------⌫---|--⌫-|----|--|--|
deu sioct sifaitehabondance	|--⌫||--|-|----|---------|
e sitres grantm ul tepleance	|-|---|----|-⌫--⌫--------|
q uendous popless e d euiserent	-⌫|-|---|-----|-⌫|-⌫--------|
l igot parlessor zqu	-⌫|--|--|--|---⌫|-|
ilgiterent	-|-------|
a usicomg laiueist	-⌫--|--|-⌫----|--|
oucomlion prent	-|--|---|----|
s en eisi lunsdar mesgarniz	|-|---||--||--⌫--|-----|
eus fupr ozeh ard i z	--|-|--⌫-||-⌫---⌫-⌫|
tanauseoct n on	------|--|-⌫-|
dreitement	---------|
sicelaut re uersorient	---||---⌫-|---|-----|
enuairent pargrant esforz	--------|--|----|-----|
oucentmilhommesoctainz	-|---|--|-----|--|---|
quele f ustlor doma ine	-|--|-⌫--|--|----⌫--|
queru esoen lireis degite	---|-⌫----|-|---||----|
s ec om b atie oeuscentfeiz	-⌫|-⌫--⌫-⌫---||--|---|---|
ic ist les	--⌫--|--|
tint am ort destreiz	---||-⌫--|-------|
icist l or	----|-⌫-|
chariasi les dos	-----|-|--|--|
comnor ent	|-||--⌫--|
ioralu irepos	--||--⌫|----|
cist l or liuroctestors	---|-⌫-|------|-----|
ebat aillesgranze	|---⌫-----|----||
lo ng esdur alorcontencon	--⌫--⌫-|---⌫|--|--------|
lorgerre elordest ruction	--|----||--|----⌫------|
elo rchaplesgranzepleners	|--⌫|------|----||------|
tantquennoiaalormoil lers	---|-|-----||--|----⌫---|
sanzeuserentpoi les uee ient	---|--|----|--|--|---⌫---|
etrop atart	|---||---|
lesioiseie nt	--|-------⌫-|
naue ientd eusuole irn eaise	|---⌫---||--|----⌫-|-⌫|---|
nenuldelitquaf en ne plaise	-|--|----|-||-⌫--⌫-|-----|
quas batai lleserenttostens	-|-|-----⌫---|----|--|---|
e ncontreles	-⌫------|--|
ecelesqui point nesteitbe l	|----|--|----||-----|--⌫|
p ri strententreusconseil nouel	-⌫--⌫-----|---|--|------|----|
desleierent	----------|
quelormarizdeu tot laissere nt	--|--|----|--|--|--------⌫-|
tex fulorestablissemenz	--|-|--|-------------|
q uedeusniertmaisaio stemenz	-⌫-||--||---|---|---⌫------|
nulquiodeus maigne	--|--|-|--|-----|
nequidemuert en lorc ompaigne	-|--|------|-|--|-⌫-------|
isi eufirenteisieutendron t	---⌫-|-----|-----|-------⌫|
toz les iorzmaisqueles ui uront	--|--|---|---|-|---|--⌫----|
d eusr ein esf irent d eslo r	-⌫--|-⌫---⌫-|-⌫----|-⌫-|--⌫|
quimoct erentdegrantualor	--|---|----|-|----|----|
ce fulampete e marpesse n	-|-|------||--------⌫|
quimoctorent	--|---|----|
plusor sde sno bles desuaillanz	------⌫|--⌫|--⌫---|--|-------|
f orzhar dies	-⌫--|---⌫---|
ecombatt anz	|-------⌫--|
es l urentme stres eprinces s es	--⌫-⌫----|--⌫----||-------⌫-⌫-|
e a ce zdeus	||--⌫|---|
aiuerr es es	------⌫--⌫-|
lesmamelesdestresse coistrent	--|------|------|-|--------|
qu auislorfu que les lor	-|---|--|-|-|-⌫--|--|
nu istrent	--⌫------|
sou enta rmer	---⌫--|-⌫---|
a ar mesprendre	|--⌫--|------|
atrairedarz ea	|-----||--|||
lestrenchanz gau elozdacer	--|--------|---⌫---||---|
c estesdamesamazoneises	-⌫----|----|----------|
qui m octfurentpro zecorteise s	--|-⌫--|-----|---⌫||--------⌫|
enuairentpuisparcenza nz	--------|---|--|---|-⌫-|
europe qui	-----|--|
siest granz	-|--|----|
contezelesreiaum es	-----||--|------⌫-|
le s proui ncesele s duchea umes	--⌫|-----⌫---||--⌫|------⌫---|
sozmistren tpuisa	----------⌫|---||
lor danger	--|-----|
aufertrenchan t	-|--|--------⌫|
ea lacie r	|||----⌫|
partota lalorseig nor ie	--|--|-⌫-|--|----⌫---⌫-|
tex meruei llenefuoie	--|------⌫--|-|-|--|
d elesn euuuil	|---|-⌫-|---|
pl usma int enir	--⌫-|--⌫---⌫---|
mais quilorfaiz uoudr eit oi r	---|--|--|---|-----⌫--|--⌫|
siliselestoiredes	-|---||------|--|
qui moctest	--|---|--|
plus granz	---|----|
queles noz	--|--|--|
ilocorraloroure enti er e	---|---|--|---|----⌫--⌫|
qui moct i	--|---||
est granze plen iere	--|----||----⌫---|
desgozq uicanze ore nt saisie	--|--|-⌫-|----|---⌫-|-----|
ede us poplee	||-⌫-|-----|
r e isiamillerse acen z	-⌫-⌫--||------|||---⌫|
un s poples p uise	--⌫|-----|-⌫--||
ferues tizd armese garniz	------⌫--||----||-----|
lir eis d eus funon mezberiz	-|-⌫--||--|-|---⌫--|----|
cistlesafi niteziermaines	---|--|---⌫----|--------|
eles paluzmeotidieanes	|--|----|-----------|
conquist ren t p uiser egion s	--------⌫---⌫|-⌫--||-⌫-----⌫|
nesuntescritlesnons	-|---|-----|--|---|
mais danemarche celeam erent	---|---------|---|--⌫----|
celeretin drente popl erent	---|-----⌫----||----⌫----|
puis ioctreiscedit	---||--|---|-|--|
pleinsdemoctgra ntfilosofie	-----|-|---|---⌫-|--------|
edestrange senembeu z	||-------|--|-----⌫|
quim oct furentloinz	--|-⌫--|-----|----|
cezoctnoneucten	--|--|--|-----|
e c un eaml autrealmoxen	|-⌫--⌫--||----|------|
tote escienceorent amain	---|-------|----||---|
icistfurentdesarz certain	----|-----|--|--|------|
dicez apristre nttantgot ei s	|---|--------⌫-|---|---⌫--⌫|
po isorentmains queligrezeis	--⌫|-----|----|--|-|------|
die nteafichent sa nzfaille	---⌫-||-------|--⌫-|-----|
qu e m arsqui estdexdebataille	--⌫|-⌫--|--|--|--|-|-------|
