quantmene laus ottroieasise	----|----⌫---|-|----|----|
moltsa uoit desloi s	---|--⌫---|--|---⌫|
poriugieran erent uenues	--|-----|-|----|-----|
par isl es abien	---⌫-|-⌫-||---|
cha s cune d elese sgarda	---⌫-⌫---||---|-⌫-----|
et longuema nt	-|--------⌫-|
por pansasoiq ueiugemant	---⌫----|--|-⌫-|-------|
nefe roitpashastiue mant	-|--⌫---|--|-------⌫---|
sanz gra ntporpens et	---|---⌫-|------|-|
aluireu i egnen tal tierzio r	|--|---⌫-⌫-----⌫|-|----|--⌫|
si s en seramiauz	-||-|---|----|
dunc iugera delor biautez	---|-----|-|--|------|
pargrant anginlofi stparis	--|----|----|-|--⌫-|----|
queilloraloterme mis	--|-|--||-|----|--|
porp ansasoiqueantretant	----⌫---|--|--|--------|
lanuan roiento fres	|-|---⌫-----|-⌫---|
etporroitan	-|------|-|
de sonprou fair e	-|--|---|----⌫|
eles semistrentelrepair e	---|-|-------|-|------⌫|
uoirot panséiu nopremi ere	---|-|-----|--⌫-|-----⌫--|
estr euenuealuiarier e	--|-⌫-----||--|-----⌫|
etpromist li carlidonroit	-|------|-|--|-|------|
plus quesespere ne	---|--|--|---|-|
etmoltp a rloferoitric hehome	-|---|-⌫-⌫|-|-----|---⌫-|---|
maisquil li otroias t lapome	-----|-|-|-------⌫|-|---|
et afic hast	-|----⌫---|
poru erite	--|-⌫----|
que eleau stgr ai gnorbiaute	--|--|--⌫-|--⌫--⌫---|-----|
retornasananesl opas	------||-|-----⌫---|
anes tuenuea	-|--⌫|----||
lui pall as	--|----⌫-|
d eessedebataille	-⌫----|-|-------|
etprialiquenelifaille	-|---|-|--|-|-|-----|
al isetiegn eau	|-⌫|-|-----⌫|-|
iug ema nt	---⌫---⌫-|
etal lido urahar de m ant	-|-|-|--⌫--|---⌫--⌫-⌫--|
ett elpris de c h euale rie	-|-⌫-|---|-|-⌫-⌫-----⌫--|
netroue raiaans auie	-|-----⌫-|-|-|-⌫|--|
nulme illor de soi	--|--⌫----|-|--|
ne son per	-|--|--|
ianel porrah uem sormont er	-|-||----|-⌫--|-------⌫-|
pallass anu auen usreuient	-----||-|-⌫|---⌫-|------|
quila batailled amor	--|-|-------||---|
etdam ean e stoit et d ee sse	-|---⌫|-|-⌫----|-|-⌫--⌫--|
celeliafait tel promesse	---|-||---|--|-------|
s al i s e	||-⌫|-⌫|
t ientdel iugemant	-⌫---|--|-------|
donrapro chenem ant	----|---⌫------⌫--|
laplusb ele	-|---|-⌫--|
famedelmo nt	---|--|--⌫-|
u ait s en desofresquels	-⌫--||-|--|----|-|--|
seporpans aanmaint	-|-------⌫|-|----|
alqu e ldecest rois se	-|--⌫-⌫|-|--|-⌫---|-|
carmoltcoueitalarichec e	--|---|------|-|------⌫|
des irralaproece	---⌫---|-|-----|
maismo lt li	---|--⌫-|-|
plot l afemeplus	---|-⌫|---|---|
quepromiselio t	--|------|-|-⌫|
lesdee ss es nesatardiere n t	--|---⌫--⌫-|-||---------⌫-⌫|
ma i salortermerepairerent	--⌫-⌫||--|----|----------|
lo iugemantont dem andé	-|-------|--|---⌫----|
q ue quep a ris	-⌫--⌫--|-⌫-⌫--|
ordonauenus	-|---|----|
et iuia qu ele ualoitp lus	-|---|-|--|-----|-⌫--|
quelesdous autres	--|--|---|-----|
de bia lte	-|---⌫--|
fubiengue redo né	-|---|---⌫----⌫--|
car dameheloin elid ona	--|---|------⌫|-|-⌫--|
plusbelefamen e troua	---|---|---|-⌫|----|
palla s etiuno	-----⌫|-|---|
sanmar rir ent	|-|---⌫---⌫--|
etcals d etroi e	-|---|-⌫|----⌫|
anhai rent	-----⌫---|
porso llache isondep aris	--|--⌫||----⌫---|-|-⌫---|
hairent p ui stotlo pais	------|-⌫--⌫|--|-|---|
iunouitene as an mer	---|--|---⌫-|-|--|
molt se pena d elu i greue r	---|-|---|-⌫|--⌫|-----⌫|
seta nz tozplainslot ra uailla	--|-⌫-|--|-----|-|-⌫--⌫-----|
parpluso rsme rslo dem ena	--|-----⌫-|--⌫-|-|---⌫--|
mo ltanhai tote	--⌫-|----|---|
aun i orlimutgranttempeste	|-|-⌫-|-|--|----|-------|
car moltforman tcom utlamer	--|---|------⌫|---⌫-|-|--|
lesnesc omancenta uau crer	--|--|-⌫-------||---⌫---|
toneetpluetuante et esclaire	---|-|----|----|-|-------|
mo ltcomancalait tensa faire	--⌫-|------|---|---||----|
chieent f oldres	------|-⌫-----|
esp essemant	---⌫-------|
comeueestlamers	-----|--|-|---|
sifaito scur	-|---|-⌫---|
ne uoien tgote	-|-----⌫|---|
neneseuentt enirlorr ot e	-|-|-----|-⌫---|--|-⌫--⌫|
neuoientclartenesoloil	-|-----|-----|-|-----|
ilne seuentdaus nul consoi l	-|-|-----||--|--|------⌫|
de nule part	-|---|---|
neuo ientport	-|--⌫---|---|
merlorprometmort	--|--|-----|---|
neuoient lune	-|-----|---|
neest oilles	-|---⌫-----|
ronpen tlorc ordesc hieent uoilles	------⌫|--|-⌫----|-⌫-----|------|
brisentet mas tetgouernail	------|-|---⌫|-|--------|
moltu ontahonteet atrauai l	---|-⌫--||----|-||------⌫|
neeschip ren e es turman	-|------⌫-|-⌫|--⌫-----|
de sond roi tcorsnen	-|--|-⌫---⌫|---||-|
er tcertan	--⌫|-----|
ilneseuent quel partiltor nent	-|-|-----|---|---|-|---⌫---|
s il u ontauant	|-|-⌫--|----|
oilretorn ent	|-|------⌫--|
anauan tureont mislo ruie	-|----⌫---|--|--|--⌫|--|
danzeneasformants	---|----|------||
pardeufait	--|--|---|
il buerfur en tné	-|---|---⌫--⌫|--|
cil quiatroie lacite	--|--||----|-|---|
furen t detran chiéet	-----⌫|------⌫----|-|
ment ornaige chait is	|-|-⌫----|-|-----⌫-|
miauz uolsisse queachilles	----|-------|--|-------|
ma ustoci so utitides	|-⌫--|---⌫|-⌫|------|
ocisfurenttant conte	---|-----|---|----|
q ue ci morissea it elhonte	-⌫-|-|------||--⌫-|----|
por coinem oci strentligreu	--|--|-||---⌫-----|-|---|
e ngra nthe montcoillilideu	-⌫|---⌫-|-||--|-----|-|--|
nepuisanter reco nuerser	-|---|-|---⌫-|--⌫------|
etnoauz aiance steme r	-|----|-|-|--⌫--|--⌫|
moltlungue mant mont	---|------⌫---||--|
trauaillié	----------|
sino ntdemoinu le	-||-⌫-|-|--|--⌫-|
pro mise montnesai q uelterre	---⌫---||--|-|--|-⌫--|----|
nesaiougela puisse querre	-|--|-|-|-|-----|-----|
mo ltaitrouéi slesanmer	--⌫-|-|-----|-⌫---|-|--|
delat errenoipar ler	-|-|-⌫---||-|---⌫--|
qu e ran tamoltgrantpoine	--⌫-⌫---⌫||---|----|----|
si comfortuneme	-|--|------|-|
molt sedementot eneas	---|-|-------|----|
mo l t seclamotchai t is	--⌫-⌫|-|-----|----⌫-⌫-|
i leschapaate rre	-⌫|------||--⌫--|
pui squeanmer s o fri s t t elguerre	---⌫---|-|--|-⌫-⌫---⌫-⌫|-⌫-|-----|
mia uzuolsist estreatroieocis	---⌫-|------|----||----|---|
osesparanzo ses amis	|--|-----||--|---|
la ouhector et priamus	-|-|-----|-|------|
furento cisc o ntesetdus	-----|-⌫--|-⌫-⌫---|-|--|
molt s esm aient sicompaign on	---||---⌫----|-|--------⌫-|
nedesirren t se	-|--------⌫|-|
la mor tnon	-|---⌫|--|
celorest ui squemoltlortarge	-|--|--|--⌫|--|---|--|----|
deuantloroi ot unebarge	-----|-|--|-|--|----|
sesgouer nalzliest	--|-----⌫---|-|--|
e t mastetsi gl ean mer	-⌫|---|-|--⌫--⌫|-|--|
troiztorz t orna anmoltpodore	----|---|-⌫---|-|---|-||--|
une ua gueliuin t des ore	--|--⌫--|-|---⌫|---⌫--|
qui silafiert anlundes	--|-|-|----|-||-|--|
lesborzafraizetdecasse z	--|---||----|-|-------⌫|
ro n pent cheuilles etclot ur es	--⌫-⌫---|--------|-|----⌫--⌫-|
l euei antreparlesiointures	|--||----|--|--|--------|
anplielasol deemant	-----|||---⌫------|
af ondeeestanun mom a nt	--⌫----|--|-|-|---⌫-⌫-|
icil ontlo r	---|--|--⌫|
trauailfiné	------|----|
cil necrie m entmesnulore	--|-|----⌫-⌫--|--|--|--|
pareusner tmes terreco nquise	--|--||--⌫|--|----|--⌫-----|
n echastia usarsnet orsa sise	-⌫|-------⌫-|--|-|-⌫--|-⌫---|
liu anz aqui alt lesau tresnes	-|-⌫--|----⌫--|--|--⌫---|--|
depiecentmarssi gles et tr es	--------|---|--⌫---|-|--⌫-|
parcelemer lesespa rpaille	--|---|--|--|----⌫------|
eteneasmolt	-|----|---|
se meruoill e	-|--------⌫|
ianequideueni r ap ort	-|-|----|----⌫||-⌫--|
etmerli promet	-|--|-|-----|
ansi ontlif uitis	---|--|-|-⌫----|
soferttroisiorsqu	-----|----|---|-|
quantuinta lquart qu i la iorn a	----|---|-⌫|----|-|-⌫|-⌫----⌫|
li uanzf aillidel totce ssa	-|---|-⌫----|--|--|--⌫--|
lisola uslieuene	-|----⌫-|----|-|
deltotremest	--|--|-----|
lameranpes	-|--|-|--|
asoagie eestla tenpeste	-------⌫|--|-|-------|
dontleuaeneasla teste	---|---|----|-|----|
et esgardadeu antson uis	-|------|---⌫--|--|--|
se uit delib elopais	-|--|-|---⌫|-|---|
to zrehai te sescompaignons	--⌫|-----⌫-|--|----------|
nagentafo rtasauirons	-----||--⌫-|-|------|
tan tontnagié ett antsi gle ́	---⌫|--|-----|-|-⌫--|--⌫---⌫|
qualpor t de	-|-|---⌫|-|
libes on ttorné	---|-⌫--⌫|-----|
forsco mp lus	---|--⌫|-⌫--|
to st porent	--⌫-|-----|
del oru intnesqu e setnen	-|-⌫-|-⌫--|--|--⌫|--||-|
celesatachent elriua ge	----|-------|-|----⌫-|
lopaistr ouent moltsal uage	-|---|--⌫----|---|---⌫---|
n euo ient bordenemeison	-⌫|--⌫---|----|-|-----|
ne borc neuile	-|---|-|---|
m e squequ esoit	-⌫-⌫|-----⌫|---|
f orma nt lorplaist	-⌫----⌫-|--|-----|
e neasuetanlaforest	-⌫---|--|-|-|-----|
u n s so ls	-⌫-⌫|--⌫-|
mesc hinsalaolui	----⌫---|--||--|
por tere ntanbe dui	---⌫----⌫-|----⌫--|
e tce rsetb ischesontbersé	-⌫|--⌫-|-|-⌫-----|--|-----|
sihome an ont	-|---|-|--|
asez por té	---|---⌫--|
lesfeus alum e ntelgrauier	--|---|----⌫-⌫-|-|------|
si apr esteren t	-|---⌫-------⌫|
lomangi er	-|-----⌫-|
e lboislo pristrentl iem ent	-⌫|---|-|--------|-⌫---⌫--|
mer gardoie nt s oua nt	--|-------⌫-|-⌫---⌫-|
sil po issentlor neschoisir	|-|--⌫-----|--|--|------|
que liuanz	--|-|---|
ot fetdep a rtir	-|--|---⌫-⌫---|
estoien t curios	-------⌫|-----|
mais moltfurentpui scorrecos	---|---|-----|---⌫|-------|
decau sq ue	-|---⌫|-⌫-|
ilu irentnoier	-|-⌫----|----|
atandentrec o urer	-------|---⌫-⌫---|
esa utresontgraignor fiance	-|-⌫----|--|-------|-----|
m eses morzn on tpointd	-⌫-|-|---||--⌫|----||
esperan c e	-------⌫-⌫|
sorles f aloises	--|--|-⌫------|
uontgarder	---|-----|
ses uer roient	|-|---⌫-----|
loinganlamer	----|-|-|--|
quantnes uoientsi on tgra nt	----||-|-----|-|--⌫|---⌫-|
quemerspar fonde	--|---|---⌫----|
nestrang lot e	|-|-----⌫---⌫|
do ncaeneas asanblé	--⌫-||----|-------|
c au squi olui sontariu e ́	-⌫--⌫|--||--|---|----⌫-⌫|
nani otdes a	|-||-|-|-⌫|
comp aignie	----⌫-----|
nemes q uel atiercepartie	-|--|-⌫-|-⌫|-----|-----|
caus comancaaconforter	---|------||--------|
quil ore ntan la	-|-|---⌫-|-|-|
seignorf ait ilfranc cheual ier	------|-⌫--|-|----|------⌫--|
ne u osdeu ezmie e s maier	-|-⌫-|---⌫-|--|-⌫-⌫----|
se uosauezeu peor	-|--|---|-|---|
anc es te mermal	-|-⌫--⌫-|--|--|
caa ua nt uosdelictera	-|-⌫--⌫-|--|--------|
q uantiluos an remembrera	-⌫---|-|--|-|---------|
buenuos seraareconter	---|--|---||-------|
lesmausquauez euanmer	--|---|-|---|-|-|--|
hue nquise smu eta nalt re	---⌫|--||-⌫---⌫-|-⌫|---⌫-|
et porpaisconqu er re	-|--|---|-----⌫--⌫-|
ang rantenorne	-|-⌫---|---|-|
pue tu e nir	---⌫|-⌫-⌫--|
bienetmalnepu ets ofrir	---|-|--|-|--⌫-|-⌫----|
quitozte nsasauo lant e	--|--|--⌫-||-|--⌫----⌫|
no nquesnamal	|-⌫----|||--|
esper m anté	-----⌫-⌫----|
c e m est auis ian esau ra	-⌫||--|---|-|-⌫|---⌫-|
anegunior quebien sera	|----|--|--|---|---|
orau onsmol tso fertaha nz	-|--⌫--|---⌫|--⌫---|---⌫-|
par plu sorsmerplusde	--|---⌫---|--|---|-|
etmo lti auonst rau ai llié	-|--⌫-||----|-⌫---⌫--⌫----|
e t molt geune ́etueillié	-⌫|---|-----⌫|-|-------|
sau ons iamesd erepo s	|--⌫--|----|-⌫|----⌫|
m oltnospl aira	-⌫--|--|--⌫---|
auquesdebien	-----|-|---|
sof rant tr auailetmalet	---⌫---|--⌫----|-|--|-|
sic omfortunenos demoine	-|-⌫-|------|--|------|
nosconduirontli	--|---------|-|
queiln oson tp romisan fe u	--|-|-⌫-|--⌫|-⌫----|-|--⌫|
anlomb ardielama ior	-|----⌫----|-|--⌫--|
dilu e c furentnostre ancessor	|---⌫-⌫|-----|-----|-------|
some sets inauon	----⌫|-|-⌫||---|
deuitaillesemolt ponon	-|-------|-|---|-|--|
estuetgarison quer re	-----|------|----⌫-|
ma is moltuoi	--⌫-|---|--|
ciestrangeterre	-|-------|----|
u nques pluss alu ageneui	-⌫----|---|-⌫---⌫--|-|-|
s edel uiure ne	-⌫|--|----|-|
nia noian t delseiorner	|||-----⌫|--|-------|
maisdelm et renosan lamer	---|--|-⌫--⌫-|--|-|-|--|
etreque ron au tre	-|-----⌫--|--⌫--|
ouit ai lle	|---⌫--⌫--|
soitmialz tro uee	---|----|---⌫--|
eu edolcefoin etaueine	--⌫|----|---|-|-----|
asc he uals quiuiuent a poi n e	-|-⌫--⌫---|--|-----||---⌫-⌫|
atanteneasachoi s iz	----|----||----⌫-⌫-|
discheua liersp rozethardiz	--|-----⌫----|-⌫--|-|-----|
quilopaisaillent	--|-|---|------|
etse li sachentrenoncier	-|-|-|------|--------|
anquelpais sontariue ́	-|---|---|---|-----⌫|
sehomeian egrain	-|---|||-⌫|----|
d iluectorne nt	|----|-----⌫-|
limesagi er	-|------⌫-|
quilacontreeuon t	--|-|------|---⌫|
errentpar uals etp armontaignes	-----|--|---|-|-⌫-|---------|
par boschages etpar	--|--------|-|--|
champaignes	----------|
t anton terréneuirenton	-⌫--|--⌫|----|-|-----|-|
q uilor saustrandre raison	-⌫-|--|----|-----|-----|
rien qui uesquistn es	---|--|-------|-⌫-|
tant onter ré pa r lagaudine	---|--|--⌫--|--⌫|-|------|
qu ilantrerent en unsanter	-|-|--------|-|-|-----|
dec el istuncheminplener	-|-⌫-|--|-|-----|-----|
limesagiero ntta nttenu	-|-------|-⌫-|--⌫-|---|
cheminquilarge s	-----|--|-----⌫|
carta geuir ent lacite	-----⌫-|---⌫--|-|---|
dontdid otin tlafe rmet e	---|---⌫|---⌫|-|--⌫----⌫|
dame didotintlepais	---|---|---|-|---|
m iaus ne ltenistq uens	-⌫---|-||-----|-⌫---|
n emar chis	-⌫|---⌫---|
unc nefu mais	--|-|-|---|
parunefeme	--|--|---|
miel zm a intenuenornere gn e	----⌫|-⌫-⌫-----|---|-|--⌫--⌫|
dicelpaisnertm ienee	|---|---||--|-⌫-|--|
ainzertdetirelacon tr e e	---|--|-|---|-|---⌫--⌫-⌫|
sicheusotanon sessir e	------|-||--|--|---⌫|
uns su ens	--|--⌫--|
frerelofist	----|-|---|
e n essilchacasaseror	-⌫|----|----|-|----|
po rcequiluoltauoirl enor	--⌫|-|-|-|---|----||---|
c elesanestparmerfoie	-⌫--||-|--|--|--|---|
moltot gran tgentetcomp aignie	---|-|----⌫|---|-|----⌫-----|
portéanamoltgranttres or	-----|-||---|----|----⌫-|
dra sargent	---⌫|-----|
an celpaisestariuee	-|--|---|--|-----|
au princeuintdela	-|-----|---|-|-|
par grantangi n lialaq uerr e	--|----|----⌫|-|--|-⌫----⌫|
qu il l iuandist tant	-|-|-⌫|------|---|
desa terre	-|-|----|
compor pren droituncu irdet o r	--|---⌫----⌫----|-|--⌫-|-|-⌫-⌫|
aargen tetor	|-----⌫|-|-|
etliprinces li o troia	-|-|------|-|-⌫----|
quidelenginneseg arda	--|-||----|-|-|-⌫---|
didot ranchapar corr eetes	---|-⌫-----|--|----⌫----|
locuirquimol t fure ntg relletes	-|---|--|---⌫|----⌫-|-⌫-------|
decelesat antte rre	-|----||-⌫--|--⌫--|
cuneci tei a	|--|--⌫-|||
puiscon quis ttan tparsarichece	---|---⌫----⌫|---⌫|--|-|------|
parson ang i n	--|--|---⌫-⌫|
queleauoit totle pais	-|--|----|--|-|---|
etlesbarons	-|--|-----|
aso isozm i s	|--⌫|----⌫-⌫|
s acit e auo it non cart age	-⌫|---⌫|---⌫-|--|----⌫--|
enl ibe si st sor leri uage	-|-⌫--|--⌫-|--|-|--⌫---|
lamerlibat dune	-|--|-|--||--|
laniertasa ilie	-||---|---⌫---|
delautrepa rtsuntliuiuer	-||----|--⌫-|---|-|----|
etlimara isgrant etplene r	-|-|----⌫-|----|-|-----⌫|
etgrant f o sseza barbaca ne	-|----|-⌫-⌫---||-------⌫-|
fai t ala guise libicane	---⌫||-|----|-------|
et tr enchieezetplais seiz	-|--⌫-------|-|-----⌫---|
cengles ba rres pont torneiz	------|--⌫---|---|------|
ain zquelanui egn e ancartage	---⌫---|--|--⌫---⌫|-|------|
de stroitetmaint passage	--⌫-----|-|----|------|
el coigamon tdeuer slariu e	-|---|----⌫|-----⌫|-|---⌫|
otunegr antroc hena iue	-|--|--⌫--|---⌫-|--⌫--|
iluecsontli	----|---|-|
mural assis	----|----|
licarrelsontde marbrebis	-|-----|---|-|-----|--|
de blancetd	-|----|-||
indeetdeuermoi l	---|-|-|------⌫|
pargrant anging	--|----|-----|
etparcon soil	-|--|---⌫---|
isun tasistotac om pas	|---⌫|---|--||-⌫--⌫--|
tu itsontdemabreetda dama s	--⌫-|---|-|----|-||-⌫----⌫|
limurson t fait a pasto rals	-|--|---⌫|---||-----⌫---|
apilerez et	|------|-|
abischesa oisiaus a flors	|------||------||----|
ol emar b re de	|-⌫|---⌫-⌫-|-|
c ent colors	-⌫--|-----|
sontpainturédeforsli	---|--------|-----|-|
s anzuermeillonetsanzazu r	-⌫--|---------|-|---|---⌫|
totan uironotfet	--|--⌫----|-|--|
de ma ngnetesparmoltgrant sens	-|--⌫------|--|---|----|---|
pierre q ui mo ltest dure	-----|-⌫-|--⌫-|--|---|
l am a ngnetee st	-⌫|-⌫-⌫-----|-⌫-|
d etelnature	-⌫|--|-----|
homarmezni uenist	--|----|||-----|
quelapierr ea soi	--|-|-----⌫||--|
neltraisi st	-||------⌫-|
tant nan uen issen tohalbers	---||-|---⌫-----⌫||------|
ne fussents anp realmurae r s	-|------|-⌫---⌫-|-|--|--⌫-⌫|
limu re rentespeset	-|--⌫|-⌫---|----|-|
q uinecri e ment	-⌫-|-|---⌫-⌫---|
negun asalt	----|----|
cinc c enz torz auoita nuiron	---|-⌫--|---|----|-⌫-----|
es trelodemoin edonion	--⌫--|-|------⌫|-----|
deue rs lauil e	----⌫-|-|---⌫|
erenttrifo i re	----|-----⌫-⌫-|
ogranz pier res de	|----|----⌫--|-|
marbre toz	-----|--|
li chemins	-|------|
alotp ar de soz	---|-⌫-|--⌫--|
g ra n tmarchiei	-⌫--⌫-⌫|------||
auoit tozd i s	----|--|-⌫-⌫|
la uend oita nlouairlogris	-|----⌫--|-⌫|-|---|-|---|
coltesde pailec ouertors	-----|-|----|-⌫-------|
porpresp a illes drasdecolor	------|-⌫-⌫----|---|-|----|
pier r esespices	----⌫-⌫-|------|
etuaiselle	-|-------|
marche a n di e ric he et	------⌫-⌫-⌫--⌫|---⌫-|-|
ipooitlan toz t e nztroue r	|----|--|--|-⌫-⌫-|-----⌫|
nes epousthomporpens er	-|-⌫|----|--|-------⌫-|
deriche ce queel mont fust	-|-----⌫-|--|-|---|---|
celleu planteneus t	--|--|-----||---⌫|
granzruesot	----|---|-|
etp ale sri ches ap lante	-|-⌫---⌫|--⌫---||-⌫----|
boriois menanz sa les ett ors	------|-----|--⌫--|-|-⌫--|
et aleors etparleors	-|-----|-|-------|
belsmenages a grantplente	---|------||----|-----|
de dan zanla cite	--⌫---⌫|-|-|---|
setme stresp ortesiau o i t	--|--⌫----|-⌫----||--⌫-⌫-⌫|
