quitoutesestoient dargent	--|-----|-------||-----|
cordesgietent.i.br et	-----|------|--|--⌫-|
etlescanpenellessi	-|--|----------|-|
si qet o ut le	-|-|-⌫-⌫-|-|
palesenson e	----|-|---⌫|
et to uteslesfenestresoeuren t	-|--⌫---|--|--------|------⌫|
etlesmerueilles	-|--|---------|
s edescueure n t	-⌫|---------⌫-⌫|
etlienchantement a perent	-|-|-----------|-⌫-----|
queparlesfenestreuol erent	--|--|--|-------|---⌫----|
qarriaus et saietes	-------|-|------|
senferirent p lus de .uc.	|-|-------|-⌫--|-|---|
mon seignor.G. en lescu	--|------|--|-||---|
mes il nes ot	--|-|-|-⌫-|
l ienchan tem e nztexestoit	-⌫|------⌫---⌫-⌫-|--|-----|
quenulomueoi r	--|--|-|----⌫|
de qe lliuliqarrel	-|--⌫|--|-|-----|
uenoi en t	-----⌫--⌫|
archiersqu ile streoi ent	-------|--⌫|--⌫|-----⌫--|
etcepouezuos	-|-|----|--|
b ien e ntendre	-⌫--|-⌫------|
queg rant escroisotade scendre	--|-⌫---|------|-||--⌫------|
desarba lest eset d e sa rs	--|----⌫----⌫-|-|-⌫-⌫|-⌫-|
ni uou sistestre	||---⌫---|----|
po rmilmars	--⌫|--|---|
mis sire.G. a	--|---|--||
mes lesfenestres sanzdemore	--|--|--------|---|-----|
reclostrentq en us	----------|-⌫|-⌫-|
et mi ssire.G.osta	-|--⌫|---|--|---|
les qarri a u squ iferuz est oient	--|-----⌫-⌫-⌫|--⌫|----|---⌫----|
en son escue t silauoient	-|--|---|-⌫|-||------|
enp lusorsleuselcorsblecie	-|-⌫-----|---|-|---|-----|
mes ami spas seri sol o it	--|---⌫|---⌫--||---⌫-⌫-|
ienese p as ouli	-|-|-|-⌫-|-|-|
es ttrop p arfonde	--⌫|---|-⌫------|
et lahaut partot	-|-|---|--|--|
siporr oit	-|----⌫--|
u os nioser iez	-⌫-|||----⌫--|
fet lapucelle bienlesai	--|-|------|---|-|--|
onqu es certesne le pen sai	----⌫-|-----|-|-|---⌫--|
q euost antd ecuere ussiez	-⌫|--|-⌫--|-⌫|---|-⌫-----|
qe uos passer io ss issiez	-|--|-----||-⌫--⌫-----|
qeceestl ig uez	-|-|--|-⌫|-⌫--|
pe ril lex	--⌫---⌫--|
nesttropcoraiex	|--|---|------|
nos epasser por nulepaine	|--⌫|-----|--|---|----|
tant ostiusq ala	----⌫--|---||-|
mis sire.G . soncheual	--|---|--⌫|--|-----|
legez pa rfontel ual	-|--|--⌫----|-|--|
riue contrem ontdroite	---|-------⌫--|-----|
etla riuieref uest roite	-|-|------|-⌫|---⌫----|
m issire.G.lauoit	-⌫-|---|--|-|---|
si ditqesoncheual auoit	-|--|-|--|-----|----|
main t gre ignorfosse	----⌫|---⌫----|----|
tressa illi	------⌫---|
e t pe nse	-⌫|--⌫--|
quil au o i toi	-|-|--⌫-⌫-⌫|-|
dire et conte renplusors l e us	---|-|-----⌫|-|------|-⌫-⌫-|
qecil q uil egue	-|--|-⌫-|-⌫|--|
porroi tpasser l	------⌫|-----||
e uep a rfonde	-⌫-|-⌫-⌫-----|
ila uroitt otleprisdoumond e	-|-⌫----|-⌫-|-|---|--|----⌫|
elloi gnede lariuiere	-----⌫--|-|-|------|
etuint touz	-|---|---|
les gari ere	--||---⌫--|
po rsailliroutreme s ilfaut	--⌫|------|----|--⌫|-|---|
qu il neprist m iebienlesaut	-|-|-|----|-⌫-|---|-|---|
ainzsa illidroitenmilegue	---|--⌫---|----|---|-|--|
etsoncheual atantno e2	-|--|-----||---|--⌫-|
quilpr istte rrede.i iii.piez	-|-|--⌫--|--⌫--|-|--⌫---|---|
s is estporsaillir afic hiez	-⌫||--|--|------|----⌫---|
si s elancese qe ilsaut	-|-⌫|----|-|-|-|---|
sor lariuequi fuhaut	--|-|---|--|-|---|
ai soiscon uint par	--⌫---|---⌫---|--|
desce n dremonseignor	-----⌫-⌫--|--|------|
qiltrou asonc heu alm olt uain	|-|----⌫|--|-⌫---⌫-|-⌫--|---|
etil estdesc enduz tanto st	-|-|--|----⌫----|-----⌫-|
atalent queilliost	|-----|--|-|-|--|
laselle e tilli aos tee	-|----|-⌫|-|-||--⌫--|
e tpo ressuieraco stee	-⌫|--⌫|------|---⌫---|
qantl ipoituaxlifuo st ez	---|-⌫|------|-|-|-⌫--⌫-|
l eue des fl ansetd es	|--|--|--⌫--|-|-⌫-|
e tdesi amb esliaba tius	-⌫|--|-⌫---⌫-|-|---⌫|--|
laselleet m ontesus	-|----|-|-⌫---|--|
sisenua lepas setpetit	-||-|-|-|---⌫--|----|
qa ntqe .i. solcheualieru it	--⌫-|-|--|--|--------|-⌫-|
quigib eoit.i.espreu ier	--|---⌫---|--|------⌫--|
deuant leche ualie r	-----|-|---⌫-----⌫|
auoit .iiii.chiens aoisiax	----|-----|-----||-----|
licheualiers estoit mol tb iax	-|---------|-----|---⌫|-⌫--|
plus ne pu et	---|-|--⌫-|
direde bouche	---|-|-----|
l aprouche	|-------|
biauss ortote	----|-⌫-|---|
lacria ture	-|----⌫---|
dexuosd ointhui	--|--|-⌫---|--|
bone auent ure	---|-----⌫--|
derespondr eisniax	-|--------⌫|-----|
tuiesli bonstuiesli	-|--|-|---|-|--|-|
mesdimoi s ine	--|-|--|-⌫|-|
ted essie e	-|-⌫-----⌫|
commenttu assole	------|-|-|---|
pucellede la	------|-|-|
sacompeign ieou	-|--------⌫-|-|
sirefaitil.i.cheualiers	---|---|-|--|---------|
quipor te.i .esc udeqartiers	--|---⌫-|--⌫|---⌫|-|-------|
lamenoit q a ntie	-|-----|-⌫-⌫-|-|
lencontr ai	|-------⌫-|
etque deuintdarmesl outrai	-|--|-----||----||-----|
mene2 l enaleno tonier	----||-||-|--⌫-----|
qilledeuoitauoir	|-|-|-----|----|
c ertes sireiluos dist uoir	-⌫----|---|-|--|---|---|
et lapucelle fu mami e	-|-|------|-||---⌫|
on q uesne	--⌫-⌫--|-|
fistdem o nbon	---|-|-⌫-⌫|--|
amoiemalgre	----|-----|
.i. sien ami li	--|---|--|-|
so loitme ner	--⌫---|--⌫--|
de luiseruirmepenai	-|--|-----|-|----|
seruisesmestier n i ot	-------|------|||-|
au plus-311tostqe ele po t	-|-------|---|-|--|--⌫|
moilessie r aqois onquist	--|------⌫|-----⌫-|----|
celui so n ami fist	----|--⌫|--|---|
endr oitto lue las	----⌫--|--⌫--||-|
n est mieagas	|--|--||--|
es tmolt preuz sim aitdex	--⌫|---|----|-||--|--|
il onquestiex	-|-----|---|
onquesuenistosast	-----|-----|----|
o utrouerme qui dast	-⌫|-----|-|---⌫---|
f ait etelcho se	-⌫---⌫|--|---⌫-|
nulcheualier fa ire	--|--------|--⌫--|
ceqefaire l	-|-|----||
losdoumo n t etleprisas	--|--|--⌫-⌫|-|-|---|-|
gran tprouecec o n quis	----⌫|------|-⌫-⌫-⌫---|
elgu epe rillossail lis	-|--⌫|--⌫-----|----⌫--|
te ui ntde	-|--⌫-|-|
grant harde ment	----|-----⌫---|
bien ueroiem ent	---|-------⌫--|
cheualiersn enreissi	---------||-|-----|
fait i ldo n tme menti	---|-⌫|--⌫-⌫|-|----|
damo is ellequime	----⌫--⌫---|--|-|
uo i ra croireme fist	--⌫-⌫|-⌫-----|-|---|
foizipassoitleior	---||------|-|--|
ami s porlaso e amor	---⌫|--|-|--⌫|---|
elelarenoiee	--|-|------|
fust eleorenoiee	---|--|--|----|
moltest plaine de daiable	---|--|-----|-|------|
el euosdit s igran tfable	--⌫|--|--|-⌫|----⌫|----|
uoshet nel puis	--|--|-||---|
uoloit fairenaier	-----|----|----|
quetupleu iras et ie toi	--|-|----⌫---|-|-|--|
setu rien dema ndermeuels	-|-|---|----⌫---|-|---|
ousoitmaio ieousoit	-|---|-|--⌫-|-|---|
que i apor rien necelerai	--|-⌫|--|---|-|------|
lauerite seiele	-|-----|-|-|-|
ett uausitme	-|-⌫|----|-|
que ia porriens	--|-|--|----|
t ot qa nqeie	-⌫-|--⌫--|-|
uoud resauoir	----⌫-|-----|
setu m ensez dire le uoir	-|-||-|--|---|-|---|
faitont anduice stef iance	---|--|----|--⌫--|-⌫----|
etmissire .G.commence	-|--|---|--|-------|
a dem anderpremierement	|---⌫----|-----------|
sirefaitil ieuosdemant	---|---|-|-|--|-----|
quiel eest etqelnonel ea	--|--⌫|--|-|--|--|--⌫||
frerefaitil	----|---|-|
dela ci te	-|-|--⌫-|
iebienue rite	-|---|--⌫---|
siquitemen t	-|--------⌫|
qin est omequi rien i endoie	-||--|--|--|---||-|---|
ien etieg riens ededeunon	-|-⌫|---|---|-⌫|-|--|--|
etuoscomment giro melan z	-|--|------|----⌫-----⌫|
sire mo ltpre uzetmoltuaillanz	---|--⌫-|---⌫-|-|---|-------|
estesie la ibienoidire	----|-||-⌫|---|-|---|
gr antterre ie ste ssire	--⌫--|----|--⌫---⌫|---|
comm entanonlapucelle	----⌫--||--|-|------|
de qu inulebo n neno uelle	-|--⌫|---|--⌫-⌫-|--⌫----|
cont eenepresnelo i g	----⌫-|-|---|-|--⌫-⌫|
s icom u osli port ez tesmoig	-⌫|--|-⌫-|-|----⌫-|------|
f et ilbiente smoignier	-⌫-|-|---|--⌫--------|
queelefa it a e l loignier	--|--|--⌫-||-⌫-⌫-------|
e stmaleetd esd eigneuse	-⌫-|---|-|-⌫---⌫-------|
etporc ea non l o rgeillouse	-|--|-⌫||--||-⌫---------|
denorgres ouelefu	-|------|-|--|-|
s en fumoltpetiteaporte e	|-|-|---|-----|------⌫|
et ses am iscommenta	-|--|--⌫-|------||
