nob leslil ions	---⌫--|-|-⌫---|
l imurdreorsontliplusfort	-⌫|-------|---|-|---|---|
deustsidecoiure	----|-|-------|
que n edeussiez aparcoiure	--|-⌫|-------|---------|
qui menconge uosfera cr oire	--|-------|--|---|--⌫---|
oudi rac hosequin est	-|--⌫-|-⌫---|--||--|
aque meconneu stes	|--|-|------⌫---|
ma isonquespui shom e neustes	--⌫-|-----|---⌫|---⌫||-----|
poruosaittantepainee ue	--|--|--|----|----|-⌫-|
l acharronpue	-⌫|---|-----|
desgranz t rauauz ceestlasome	--|----|-⌫-----|-|--|-|---|
qantieporuosalaiarome	---|-|--|--|---||---|
en sa lerneeta monperlier	-|--⌫----|-||---------|
porlamecin e apareille r	--|-|-----⌫|---------⌫|
sirem estier uosaieu	---|-⌫-----|--|-|-|
cedistgr i nberzmoltdece u	-|---|--⌫-⌫----|---|----⌫|
uosquiditesquil	--|--|----|-|-|
porriensne l	--|----|-||
uodroieau oir fait	------|--⌫--|---|
gr inberzf aitno blesbi ena sdi t	--⌫-----|-⌫--|--⌫---|--⌫-|-⌫|--⌫|
iadeceneseras	-|-|-|-|----|
bi enp uetestre que	--⌫-|-⌫--|----|--|
maismalementle	---|-------|-|
certuerte quemendairenart	|--|----|--|-----|-----|
fu dem oiepa rt	-|-|-⌫--|--⌫-|
quibienlidist	--|---|-|---|
q uac ortueni st	-⌫||-⌫--|----⌫-|
nepasendesdaing	-|--|-|-------|
ne lteni st	-||----⌫-|
ren art qui fait mainte promesse	---⌫--|--|---|-----|-------|
e tmo ltset de	-⌫|--⌫-|--|-|
re spondiquebienle	--⌫-----|--|---|-|
et quea co rtolui iroit	-|--||--⌫-||--|----|
ren artfistdelaler	---⌫--|---|-||---|
sanb lan t	----⌫---⌫|
tibert tintsoncheualenblant	-----|---|--|-----|------|
qant ilfurentau ne	---|-|-----||-⌫-|
re nar tqui set demainte guile	--⌫---⌫|--|--|-|-----|----|
sor l ostelqui zzprestreestoit	--||----|--|-|------|-----|
du rementsegaitoit	--⌫-----|-|------|
e nla ma ison	-⌫|-|--⌫---|
notn uleentree	|-|-⌫--|-----|
for szzboe l	---⌫|-|---⌫|
qu antes tfermee	--⌫--|--⌫|-----|
laot tandu	-|-|----|
lazpor lui pa nr e	--|--|--|--⌫--⌫|
renartfistatiber t entendre	-----|---||-----⌫|-------|
quepari luec solo i tuenir	--|--|-⌫---|----⌫-⌫|----|
etasgelinesaueni r	-|-|------|-----⌫|
otsorizet raz	-|----|-|--|
nenauoitta nti us qua arraz	|-|----|--⌫-|-⌫--⌫-||----|
t iebertqui da que uoirdeist	-⌫-----|---⌫-|--|---|----|
degrantfo lie s entremist	-|----|--⌫--||--------|
a udep artirse ti ntp or	-⌫|---⌫----|-|--⌫-|-⌫-|
lichei sorlecol	-|---|--|-|--|
ilnesottantboutern e trair e	-|-|--|---|-----|-⌫|-----⌫|
quediluecse	--||----|-|
p oistretraire	-⌫---|-------|
cilqu isefurent entr emis	--|--⌫|-|-----|----⌫---|
doul azfairequ il	--|-⌫-|----|-|-|
qanti lsorentqu	---|-⌫|-----|-|
i lout prison	-⌫|--|-----|
l unpr ist zzpe l	|-|--⌫--|-|--⌫|
etre nartsemi s t a lauoi e	-|--⌫---|-|--⌫-⌫||-|---⌫|
qui na talant que lenle	--|||-----|--|--|-|
tibertbatentetd o nentc ous	-----|-----|-|-⌫-⌫---|-⌫--|
lil azr o ntouteno i t lifous	-|-⌫-|-⌫-⌫-|-|----⌫-⌫|-|---|
qan ttibertse santi aterre	---⌫|-----|-|----||----|
le ssor cizlieueles danz serre	--⌫|---⌫--|----|--|---|----|
illiau in tgrante	-|-|--⌫--⌫|-----|
nauint plus beleacreature	|----|---|---||-------|
queliprestresi	--|-|-------||
deschau zenbraieset toz n uz	-------⌫|-|-----|-|--|-⌫-|
uint atibert	---||-----|
uostferrir	---|-----|
et cilqui se	-|--|--|-|
uoloitga irir	-----|--⌫---|
dou p rouoire lacoilleprist	--|-⌫------|-|-----|----|
siq uede riens n i entreprist	---⌫-|-|----|||---------|
en samai n ot ce estla uoire	-|-|---⌫|-|-|--|-|----|
leplusd elacoi lleaup rouoire	-|---|-⌫|-|---⌫--|-|-⌫------|
m aniaainz qu	-⌫---|----⌫-|
i s ist delostel	-⌫-⌫--|-||----|
nesch apam estibertdetel	|----⌫--|-⌫-|-----|-|--|
laprest reseifuacor ue	-|-----⌫---||-|----⌫-|
ne serames chiere tenue	-|---|--|-----|----|
qant uoitla	---|---|-|
pertequa eue	----|-||--|
las sefaitelema lestr ue	---⌫-|---|--|--⌫-----⌫-|
mi ssiresaperduesa ioie	--⌫|----||-----|-|---|
parq ueen telchier te est oie	--|-⌫-|-|--|-----⌫-|---⌫--|
orna urail mesdemoi cure	-||-⌫--|-|--|-|--|---|
qantilape rduel enble ure	---|-||--⌫---||-----⌫--|
orsai bienquil	-|--|---|-|-|
qanti laidierneseporra	---|-⌫|-----|-|-|----|
a ioieaitenuemaiouante	|---|-|----|-|------|
plustriteet dola nte	---|----|-|----⌫--|
il medonoitlesbiausmangier s	-|-|-----|--|----|-------⌫|
bonsdras mol t uolantiers	---|---|---⌫|---------|
orsai bienfaillirm i estuet	-|--|---|------|||-----|
gran tchosei	----⌫|----||
afer e lestuet	|---⌫||-----|
missires aperd u	--|----||----⌫|
li ch a zlabaillie ́	-|--⌫-⌫|||-------⌫|
siconil demoinentl orduel	-|--|-|--------|-⌫-|---|
tibertsenistparzzbooueil	-----||-|--|--|-|------|
renart sen fupiecapart iz	-----||-|-|----|----⌫-|
einsi fuliieusmalpartiz	----|-|-|---|--|-----|
chose afaitpla in tes	----||---|---⌫--⌫--|
tibertdesa utresia ma intes	-----|--|-⌫----|||--⌫----|
b runs sereplaintquile fistbatre	-⌫---|-|-------|-||-|---|----|
auc hain neo u	-|-⌫----⌫-|-⌫|
lefi stenbatre	-|--⌫-|------|
quecharpantieroren t	--|----------|----⌫|
etlaissiétout ad escouert	-|-------|---||-⌫-------|
q uemiel auoitdedanz	-⌫-|---|----|-----|
cil lenquida tr ai re a se sdanz	--||-|----|--⌫--⌫-||--⌫|---|
songroing imi stetenbati	--|-----||--⌫-|-|-----|
tantqueleco ing enabati	------|-|--⌫--|-|----|
onquesdescoinzni	-----|--|----|||
et oufu s t rem estle groi ng	-|-|--⌫-⌫|---⌫--|-|----⌫-|
lorsfu lil asen gr ant	---|-|-|-⌫-|-|--⌫--|
t oteotper duesac olor	-⌫--|-|---⌫--|-|-⌫---|
renart nefis tf orsquesori re	-----|-|---⌫|-⌫--|--|----⌫-|
l euitentelmartire	-⌫|--|-|--|------|
etdistaubru nman giezas sez	-|---|-|---⌫|---⌫---|--⌫--|
tantque sai e z	------|---⌫-⌫|
biens aoulez	---|-⌫-----|
li mi ez estuostreiel	-|--⌫-|--|-----|-||
uos l a is	--|-⌫-⌫-|
e n torneaeslais	-⌫|----||-----|
iainon renart biausamis br un	|-|--|-----|----|---|--⌫-|
estm iel igar zconmun	--|-⌫-|-⌫|---⌫|-----|
uo suolez tot	--⌫|----|--|
auoi rsanzfa ille	----⌫|---|--⌫---|
iane nfer aiu e rsuos bataille	-||-⌫|---⌫-|-⌫-⌫-|--|-------|
clam eroi e quite	----⌫----⌫|----|
ien aimestier	-||-|------|
defaire luite	-|----|----|
q antasse z otrampones tra i t es	-⌫--|----⌫|-|-------|---⌫-⌫-⌫-|
etloufesli otplusorsfai tes	-|-----|-|-|------|---⌫--|
tornezs en estneuostplus	-----||-|--|-|---|---|
etcilrem est	-|--|---⌫--|
en grant m ar tire	-|----|-⌫--⌫---|
le gro i ngestant etsa cheet	-|---⌫-⌫-|-----|-|--⌫--|-|
nelp uetauo ir	-||-⌫--|---⌫-|
silneldescire	|-|-||------|
nestoitpas dou	|-----|--|--|
totasonchois	--||--|----|
liforetier s	-|--------⌫|
uenoi td oubois	-----⌫|-⌫-|---|
yyes toientenla	-|--⌫-----|-|-|
qantuire nt	---|----⌫-|
lorsl un l	|--||-||
autrebou te	----|---⌫-|
g e uoiz z	-⌫|--|-⌫|
ors dis t lipremiers	--|---⌫|-|-------|
parr afransf or eti e rs	----⌫|----|-⌫--⌫---⌫-⌫-|
quebien sa iaidi e r n e sepuet	--|---|--⌫|----⌫-⌫|-⌫|-|---|
preno nsfairelestuet	-----⌫-|----||-----|
qantbruns liorslesot	---|----|-|--|--|-|
i lne se u ostplus atenir	-⌫|-|-|-⌫--|---|-----|
ainzsa che	---|--⌫--|
asoipartel air	|--|--|--|--|
quetot lecuirfait	--|--|-|---|---|
detot songro ing e tdeses	-|--|--|---⌫--|-⌫|-|--|
nenremestpoint entor s esioes	|-|-----|----|----|-⌫-|---|
maisainzquei l	---|------|-⌫|
e nfust oste z	-⌫|---|----⌫|
liontt antbatulescostez	-|--|-⌫--|---|--|-----|
demacueset	-|-----|-|
de bast ons	-|----⌫--|
iss uzenes t a reculons	---⌫-|-|--⌫||-------|
arrie r e maingita hasart	-----⌫-⌫|---|---|-----|
renart la tenupormusart	-----|||---|--|-----|
uaalongeal ai ne	-||----|--⌫--⌫-|
m aisein cois	-⌫--|---⌫---|
ot ilsoufe r tpaine	-|-|-----⌫-⌫|----|
etdan trenartquinaitconfais se	-|---⌫|-----|--||--|-------⌫-|
nefinederrer	-|---||----|
ta ntqua lantree	--⌫---|||-----|
abrunl ors	|---||--|
grant ranponeeue	----|------|--|
biausire brunet quar	---|---|---|-|---|
se est esmoinesou ermites	-|---⌫-|-----|-|------|
e t quelmesse ch antersa uez	-⌫|---|----|--⌫----|--⌫--|
queuos sig rant corone	--|--|-|-⌫---|-----|
moltpar a uezuermoil	---|--|-⌫--|------|
bie n per tquef utesa mesc hief	---⌫|---⌫|--|-⌫---||----⌫---|
etquela f orce	-|--|-|-⌫---|
n es t pas	|--⌫|--|
lipisnest pasi leuquesuostre	-|--||--|--|-⌫------|-----|
einsi seruire nar tmonhome	----|----|--⌫---⌫|--|---|
parles s ain z	--|--|-⌫---⌫|
q uelen prie arome	-⌫-|--|---||---|
q uele bond roi tlor enf erai	-⌫-|-|--|-⌫---⌫|--|-|-⌫---|
seprouer lepuisie lp and rai	-|-----|-|---|-||-⌫---⌫--|
dant brunson p laint	---|---|--|-⌫----|
etlamesange	-|-|------|
s ereplaint	-⌫|-------|
qarqanteleuostbaissier	--|---|--|---|-------|
eta lui se	-||--|-|
uost acoincier	---|--------|
lesdanzgitaporleconbrer	--|---|---|--|-|------|
einsinlaquid aestrangler	-----|-|----⌫|---------|
orentseseles oue s	----|--|---|---⌫|
atant resai ll ien	----|-----⌫--⌫|-|
mo lt pa rf ais soitgrantdesuerie	--⌫-|--⌫|-⌫---⌫---|----|-------|
quan t il faisso itteltr icherie	----⌫|-|------⌫-|--|--⌫------|
queleestoit	-|--|-----|
enloisac onmere	-|--|-|-⌫-----|
si let eno itpor	-|-|-⌫---⌫-|--|
sonconp ere	--|----⌫--|
por c e di qui	--|-⌫|-|-||
pasl oiaus	--|-⌫----|
las econtint	-|-⌫|------|
conde sloiaus	--|--⌫------|
renartnefaitderie nsacroi re	-----|-|---|-|---⌫-||----⌫-|
parn at ure	--|-⌫--⌫--|
faitam escroire	---||-⌫-------|
serest clamee	-|---|-----|
quidema integen t estamee	--|-|--⌫---|---⌫|--|---|
des a serordame coup e e	-|-⌫|----|---|----⌫-⌫|
q ue renart lia esclo pee	-⌫-|-----|-||-----⌫--|
etyy mortesde	-|-|-----|-|
sesse rors	--|--⌫---|
dontau cuera gr a ingnordolors	---|-|---||--⌫-⌫-----|-----|
g rantma lafaita	-⌫---|--⌫||---||
poures ge nt	-----|--⌫-|
ianepor or ne	-|-|--|-|-|
p orar gent	-⌫-|--⌫---|
nedoitlenlai ssiera	-|---|--|---⌫----||
porsesfelo nies	--|--|----⌫---|
licorbiausrest acort u enuz	-|-------|---||---|-⌫---|
etd istq uedroiz lis o i tt enuz	-|-⌫--|-⌫-|----|-|-⌫-⌫-⌫|-⌫---|
d erenartqui	-⌫|-----|--|
pri stson fro m ai ge	---⌫-|--|---⌫-⌫--⌫-|
etpuisr efistsi gr ant	-|---|-⌫----|-|--⌫--|
queolesdanzle uosts aisir	--||--|---|-|---|-⌫----|
enfistmi eson pla issir	-|---|--⌫|--|---⌫----|
qui saparcutqu	-|||------|-|
i l le uostprandre	-⌫|-|---|------|
sis en tornane l	-||-|----|-||
uosta tandr e	---|-⌫-----⌫|
r en artquisertde tentesfrumes	-⌫--⌫--|--|---|-|-----|-----|
liaracha yydesplum e s	-|-----|-|--|----⌫-⌫|
bienle cuida	---|-|----|
auoirsorpris	----|------|
par sonenging ete ntre pris	--|--|-----|-|-⌫----⌫---|
illidis oitquil	-|-|---⌫--|-|-|
au oitploi e	--⌫--|----⌫|
ma is deluiotmale mo noie	--⌫-|-|--|-|---|--⌫---|
neuosporroiepasretraire	-|--|------|--|-------|
le smauslan uinele	--⌫|---||--⌫-|-|-|
querenarta fait	--|-----||---|
a ysengrin etaspl usors	|-------|-|-|--⌫----|
ysengrinsesta moiclamez	-------||--||--|-----|
de renartq uisi estbla m ez	-|-----|-⌫-|-|--|---⌫-⌫-|
desafam equeamaumise	-|-|---⌫|--||------|
fo r ce desozlui	--⌫-⌫-|----|--|
siuilment et	-|------|-|
entel maniere	-|--|------|
com se fustunechanberiere	--|-|---|--|----------|
tots espans ers fuaconpliz	--|-⌫-|----⌫--|-|-------|
enaiiesui hon iz	-|-|-|--|---⌫-|
geneuoil quema gen t meha ce	-|-|---|--|-|---⌫|-|--⌫-|
cou ientqueielor fac e	---⌫---|--|-|--|---⌫|
qantr oieni aus liuismastin s	---|-⌫-----⌫--|-|--|------⌫|
qi rese tde pl usorslatins	-|----⌫|-|--⌫----|-----|
etqui m olt a fierle	-|--|-⌫--||---|-|
sereclaime qantoitmesag e	-|-------|---|--|-----⌫|
lauoiemefistdema	-|---|-|---|-|-|
quemefeis t	--|-|----⌫|
uenirrenart	----|-----|
lorssi ot rena rtsigrant hont e	---|-|-|----⌫-|-|----|----⌫|
que ie nensai	--|-||-|--|
direle conte	---|-|----|
maisb iena	---|-⌫--||
o ielam e r e le	-⌫-|-|-⌫-⌫-⌫-⌫-|
de cedontroieniauslapele	-|-|---|--------||----|
etdis tque pars atraison	-|---⌫|--|--|-⌫|------|
le f i stret enirenprison	-|-⌫-⌫-|---⌫---|-|-----|
amuserlisotp arparole	-----|||--|-⌫-|-----|
et lid istduneceo ingnole	-|-|-⌫--||--|---⌫------|
queuns uil ains auoit tandue	--|--|---⌫---|----|-----|
l ezuneu oie desfandue	-⌫-|--|-⌫--|--------|
quelagis oituns saintuaires	--|-|---⌫--|--|----------|
apelez sainzylaires	-----|----|------|
et bien ente nd reli afait	-|---|----⌫--⌫-|-||---|
quelaredrescent	--|-|---------|
licontra it	-|------⌫-|
cil nen sot pasla	--||-|--|--|-|
pa ns aquil	--⌫--⌫|-|-|
deistuerite	----|-----|
fist parangin gac roi re	---|--|-----⌫|--⌫---⌫-|
cu ida sapa role fus tuo i re	--⌫--|-|--⌫---|---⌫|--⌫-⌫-|
sagesestresol oit	----|----|---⌫--|
nusnes tsisagesnefoloi t	--||--⌫|-|----|-|-----⌫|
la l ifistre n artlemusage	-|-⌫|---|--⌫-⌫--|-|-----|
enlenging a uoitzz	-||-----|-⌫---|-|
queunsuilais misiauoit	--|--|-----|--||----|
molt bienle sa uoit	---|---|-|--⌫---|
reoiniaus ne fis tpas quesages	--------|-|---⌫|--|--|----|
sailli aua n t pristle	-----|---⌫-⌫|----|-|
neuost sachierqueil	-|---|------|--|-|
auressachier laissala co rde	-|---------|-----|-|--⌫--|
quidesor lec o llideuale	--|----|-|-⌫-⌫|-|-----|
pai neet engoisse	---⌫-|-|-------|
souf rimale	----⌫-|---|
ci lsefrandoille etre torne	--⌫|-|---------|-|--⌫----|
et renar t qu i pas neseiorne	-|-----⌫|--⌫|--|-|------|
et q uilotmenéconmefol	-|-⌫-||-|----|----|--|
lela is sa pand rep arlecol	-|--⌫--⌫-|----⌫-|-⌫-|-|--|
renartlir ousqu e ma us feusarde	-----|-|-⌫--|--⌫|--⌫-|---|---|
lidistdesui g nessa iez garde	-|---|--|--⌫-⌫--|--⌫--|----|
bienf ul i	---|-⌫|-⌫|
matinsd e ceuz	-----|-⌫-⌫---|
desgar desfuap arceu z	--|---⌫--|-|--⌫-----⌫|
omacues etotiniau s	|-----|-||------⌫|
li aunierentbienlesb uri aus	-|--------|---|--|-⌫---⌫--|
ileuc o ntta ntle lasbatu	----|-⌫-|--⌫-|-|--|---|
q u alaterr e lont abatu	-⌫||-|----⌫||--|----|
criequi ne	---|-||-|
sim plementcon tenir	---⌫------|---⌫----|
a moltgranpaineesch apeuis	|---|---|----|----⌫--|--|
s i co nil dist ieluospleui s	-⌫|--⌫|-|---|-||--|-----⌫|
bien deuro i t on renart des t ruire	---|-----⌫-⌫|-|-----|---⌫-⌫----|
tozlimondes	--|-|-----|
li de uro i t n u ire	-|--⌫---⌫-⌫|-⌫-⌫--|
einsi nbail listla	-----⌫|----⌫---|-|
ianenpenra or	-||-|----|-|
qu ene ledestruie	--⌫|-|-|-------|
se iln esttezqu ilse des fa nde	-|-||--|--|-|-|-|---⌫--⌫--|
honte maf ait	----|||-⌫--|
etui lenie	-|--⌫----|
tropai soufertsar enardie	---|-|------|-|-⌫------|
renart totceauezuosfait	-----|--|-|---|--|---|
acui c est	|--||--|
belmaudah ezait	--|------⌫-|--|
maisparmaba rbeseiepuis	---|--|-|--⌫--|-|-|---|
conseil uoi r letru is	------|---⌫|-|---⌫-|
qa ntuos demoidepartir ez	--⌫-|--|-|--|--------⌫-|
iames besten	----|----||
l amoiefoien uoi l iurer	-⌫|---|--|-|---⌫|----|
quetotceu erroizauerer	--|--|-|-⌫-----|-----|
c eesteuosuenuz	-⌫|---|--|----|
quedroizeniert a c ortten uz	--|----|-|---||-⌫--|---⌫-|
r enartfait	-⌫----|---|
iltropieshaiz	-|---|--|---|
cilnesestpastropesbahiz	--|-||--|--|---|------|
net ro phatizde	-|-⌫--⌫|----|-|
esté a u ez abo ne escole	----|-⌫-⌫-||--⌫-|-----|
u erst e rretin ten clinle	-⌫--|-⌫-⌫--|---⌫|--⌫---|-|
etf ait sanblantqu i li soitgrie f	-|-⌫--|-------|-||-|---|----⌫|
bien sauoit	---|-----|
traireet bien	-----|-|---|
bien respondreet bienoposser	---|--------|-|---|------|
qantil e n a etlie u etaise	---|-|-⌫||-|---⌫|-|---|
orlicouie nt que ilse ta isse	-|-|-----⌫-|--|-|-|--⌫---|
caril uoitleroicorrocié	--|-|---|-|--|--------|
unpoia son chief redr ecier	-|--||--|----|----⌫----|
iln enotenluiqueaprand re	-||-|-|-|--|--|------⌫-|
biensesot ga rder	---|-|--|--⌫---|
dentepran d re	|--------⌫-⌫-|
au roi aditqui liotroit	-|--||--|-||-|-----|
quilpu isse re spondre pardro it	-|-|--⌫---|--⌫------|--|---⌫-|
et audroitqu ildiras ac ort	-|-|----|-|-|---||--⌫--|
tantendir ainen	---|-|---⌫-||-|
au raitort	--⌫--|---|
re nart d istnoblesbienasdit	--⌫---|-⌫--|-----|---|-|--|
i a decen iaurasdesdit	-⌫|-|-|||----|-----|
o rdirasnos	-⌫|----|--|
tescoterons	|---------|
setudizbi ennos	-|-|--|--⌫-|--|
nos ta irons	--|--⌫----|
s irecedi strenartbien	-⌫--|-|--⌫-|-----|---|
quia uez dit nesuipas quites	--|-⌫--|--|-|--|--|-----|
des aloingnes queauezfaites	--|--------|--|---|-----|
queuosauezdesormoitrait es	--|--|---|----|--|-----⌫-|
d e tib ertetde lamesange	-⌫|---⌫--|-|-|-|------|
maisie dib ie n	---|-|-|-⌫--⌫|
aqueque pra ingn e	|--|--|---⌫----⌫|
de ch antecler etdeco up ee	-|--⌫-------|-|-|--⌫--⌫-|
quepa r moine fuesclopee	--|--⌫|--|-|-|-------|
ne reonel ne	-|-----|-|
netiecel insonfromage	-|------⌫-|--|------|
brun s liorss	----⌫|-|--||
estdemoi clamez	--|-|--|-----|
