meredieuquiuou s	---|---|--|---⌫|
queiousacheuo file tuous de cuer	--|--|----|-|--|-⌫|---|-|---|
d a meseieuousaimdontaiiebienamé	-⌫-⌫-|-|-|---|--|---|-|-|---|---|
cardontame raiiou ledouchuregi era mé	--|---|---⌫--|--|-|----|-----⌫|--⌫--|
detousbienset detoussensc lamé	-|---|----|-|-|---|---|-⌫----|
da m eescaufésmoncoercar troplaienduré	--⌫-⌫|--------|--|---|--|---||-|------|
uoirement l	--------||
ai rimeed e glaceetde	-|----|-⌫|----|-|-|
depechie sengelésdeueni n etd	-|------⌫|-------|-|----⌫|-||
c artoutafai tme slasc orsde	-⌫-|---||---⌫|--⌫|--|-⌫--|-|
honte etdel aidure	----|-|-|-⌫-----|
que c estfine meruiel leque	--||--|---|-------⌫-|--|
ihesucris l endure	----|---||-----|
etpui squed ius	-|---⌫---|-⌫--|
l atantsou f fiert eten duré	||---|---⌫-⌫----|-|--⌫----|
queiaien mespechies silo nge mentregn é	--||-|-|--|------|-|--⌫---⌫---|----⌫-|
damebiendoi counois tre cestela rghe	---|---|--|-------⌫--|----|--⌫---|
so yésdem en	--⌫---|-|-⌫-|
consei lta nt	------⌫|--⌫-|
qu e i a ie conté	--⌫||-⌫-|-----|
co nt e ́ en que lmaniereos con tredemand er	--⌫--⌫-⌫|-|---⌫|------|-|---⌫--|------⌫-|
quit an ta i demaus	--|-⌫--⌫|-⌫|-|---|
faitnaincnen	---||---||-|
uou samender	---⌫|------|
e t cou mentosiedireieme uelh	-⌫|---⌫---|-|-|---|-|-|---|
quime ncors nepuisf air e	--|--⌫|---|-|---|-⌫---⌫|
t r es douchemeredieu paruomisericorde	-⌫-⌫-|-----|---|---|--|-|----------|
pr oyésu ostredouch	--⌫----|-⌫----|----|
tousb ienss aco rde	---|-⌫---||---⌫--|
quilanc oisque	-|-|---⌫-----|
i emuire mestraignede te lcorde	-⌫|----||--------|-|--⌫|----|
que de luietde mame soit	--|-|--|-|-||--|---|
fait elaracorde	----⌫|-|------|
damea udarainiour de	---|-⌫|-----|---|-|
mendestroitde part	--|-------|--⌫---|
pr o ye ́suo str e chierfil	--⌫-⌫--⌫-|--⌫---⌫|----|--|
q ui touslesbi ens depar t	-⌫-|---|--|--⌫--|-----⌫|
q uenparadis me d oinstuna ngletdunepart	-⌫|-|------|-|-⌫----|-|-⌫----||--|---|
car se poruousnest d ameio u	--|-|--|---||--|-⌫--|--⌫|
n io sc l amerpar t	||-⌫|-⌫-⌫---|---⌫|
dameuous estesc elequi	---|---|----|-⌫--|--|
p or tés le sm essages	-⌫--⌫---|--⌫|-⌫------|
u ousportéspo r	-⌫--|------|--⌫|
les fols uo u s portéspor les	--|---|--⌫-⌫|------|--|--|
u ous es testou rsenma rc heki	-⌫--|--⌫--|---⌫-|-|--⌫--⌫-|-|
ward éslespassages	----⌫--|--|-------|
die uueutalera uousest	---⌫|---|---||---|--|
li uoiages	-|------|
au ssicom li chasti auski enmarche	--⌫--|--|-|------⌫--|-|-|-----|
est warantetrechesau	--|-----|-|-----|-|
besoing sesa mis	------|--|-⌫--|
et des f entd a u tre par t detous	-|---⌫-⌫--||-⌫-⌫--|---⌫|-|---|
aussi est esuousdamelir eches	----|---⌫-|---|---|-|-⌫----|
en m arches	-|-⌫-----|
sontli parlemen tpris	---|-|--------⌫|---|
lafa it onlesacordesde	-|--⌫-|-|--|------|-|
couconamespris	--||-||------|
a uousd oi t	|---|-⌫--⌫|
f airepais	-⌫---|---|
cuers quibien estapr is	----|--|---|--|---⌫-|
etkiau ous sacordedieus le	-|-||-⌫--||-----|----|-|
remetempris	----|-|---|
damechastiausenmarche doit	---|--------|-|-----|---|
e stret rauilli és	-⌫---|-⌫-------⌫--|
a ssaut souuentneuou s en mierueil hiés	-⌫----|------|-|---⌫|-|--------⌫----|
se lich astiausrec etelesfuia ns	-|-|--⌫------|---⌫--|--|----⌫-|
essillié s	---------⌫|
uous esteslicons ausato us	---|----|-|----⌫--||--⌫-|
d esconsill iés	-⌫---------⌫---|
uoirement s il ueul entcroire	--------||-|----⌫--|-----|
uoc o nseil	-|-⌫-⌫----|
uraiemen t	--------⌫|
cest delais sierlesmaustoutaucommenchement	|--|-|----⌫---|--|---|---|-|------------|
repenti r et	-------⌫|-|
gehiret fairea me ndement	----|-|----|-⌫--⌫------|
a merdie uuiurea dr oit	-⌫--|---⌫|----||--⌫--|
nepuet estreautre men t	-|---|----|-----⌫---⌫|
dous ch astiaus	---|--⌫------|
dou ce tours tr esdouc efermetes	---⌫-|----|--⌫-|----⌫|-------|
toustansuenr a auou spourm es	---|---|----⌫||---⌫|---|-⌫-|
enfre m etes	-----⌫-⌫---|
uou s anoieproyés	---⌫|----|------|
dieu si hastés	---|-|------|
desamour soitmesla s	-||----|---|--|--⌫|
cuersuisités	----|-------|
mais amoursne	---|-----|-|
puetuoirenmoncuertroueruoi e	---|---|-|--|---|-----|---⌫|
carmagrans felonnie	--|-|----|-------|
me destourne	-|--------|
etdesuo ie	-|-----⌫-|
i enterrapournulbien quei e	|------|---|--|---|--|-⌫|
separuo usdoucedamesamiste	-|--|--⌫-|----|---||-----|
ne m enuoie	-||-----|
car uousm e po é s	--|---|-⌫|--⌫--⌫|
dameplusq ue nussainsai dier	---|---|-⌫-|--|----|--⌫---|
et plush ardi ement	-|---|-⌫----⌫----|
p oés adieu plai dier	-⌫---||---|----⌫---|
lis aint e n d epriant me puel entaua ncier	-|-⌫---|-⌫|-⌫|-----|-|----⌫--|---⌫----|
maisuouspoésdi udamecommander	---|---|----|--⌫|---|--------|
uouspoésdieu	---|----|---|
proyercomme saintepuciele	-----|----|-----|------|
etcom seproprefi lle	-|--|-|-----|--⌫--|
etcomse propr e	-|--|-|-----⌫|
quiyy moishierbegatout	--|-|---|-------|---|
d ieu dedans saducecele	-⌫--|-----|-|---|---|
oruousp roidouce	-|---|-⌫--|----|
damepar uostre gr antdoucour	---|--|-----|--⌫--|------|
que uousmeseco urés amenbesoinggregnour	--|---|-|----⌫----||--|------|-------|
proyéset c o mman d ésuofi le t uosignour	------|-|-⌫-⌫----⌫-⌫--|-|--⌫|-⌫|-|------|
kilemplissemon	|-|-------|--|
cu erdesetr esg rantamour	--⌫-|-|-|--⌫-|-⌫---|----|
toursfondee en	----|-----|-|
amoursoliausplainsd e	----|------|-----|-⌫|
iane stil nus kipu i st	-||-⌫-|-|--|-|--⌫-⌫-|
nombreruostr eami stie	------|-----⌫|---⌫---|
uouseste splaine lu ne	---|----⌫|-----|--⌫-|
tantauéses p loit ié	---|----|--⌫-⌫----⌫--|
aidié s miedameuosa	------⌫|--|---|--||
uousneuous cangiésmie	---|-|---|-------|--|
con def ortune	--|-|-⌫-----|
tan stoute entir eet toute une	---⌫|----|-----⌫|-|----|--|
a t ousurai srepentansestuo stre a m ou rscomm une	|-⌫--|----⌫|--------|--|--⌫---|-⌫-⌫--⌫-|----⌫--|
saimieusno um ercie r t esqueplainelune	--|----|--⌫--⌫-|---⌫-⌫-⌫-|--|-----|---|
uousestesplainelune et	---|----|-----|---|-|
sere ́s sansde cour s	----⌫-|---|--⌫----⌫|
cuerski a dro itu ousaime ilate nt urai	----|-||---⌫-|-⌫--|---|-|---⌫-|---|
tropiaia targiémetre m esteu t au	---||-|-⌫------|----||-----⌫|-|
d amesecour és moi	-⌫--|------⌫--|--|
carmestermes e stcours	--|--|-----|-⌫-|----|
uousnestesmie	---||----|--|
lu necro issan set des cro issans	--⌫-|---⌫-----⌫|-|---⌫---⌫-----|
ain s estesdetousbiensraemplietous	---⌫|----|-|---|----|-------|---|
qu ibienuousameroitco m meloiaus	--⌫|---|---|------|--⌫-⌫-|-----|
deuo stre amourseroit	-|--⌫---|----|-----|
to us sescuers so urundans	--⌫-|--|----|--⌫-------|
siplaineestesde bien q ue touteensouro ndés	-|-----|----|-|---|-⌫-|----|-|-----⌫----|
dameparuo mierchisour mo ienre spand és	---|--|-|------|---|--⌫|-|--⌫-----⌫--|
tan tquemescuers	---⌫|--|--|----|
estrearousés	----|-------|
c autrementnepuis estre demespechiesmondés	|--------|-|---|----|-|--|------|------|
uousestes lo lifanskia incne	---|----||-⌫-----|-|-⌫--|-|
sedieussoffr iauou s hautement	-|----||----⌫||---⌫|--------|
u ous dou cheda me	-⌫--|---⌫--|--⌫-|
nousdesploia	---|-------|
encore estes uousdameno mme e adroitmonta ig ne	-----|----|---|---|--⌫---⌫||----|-----⌫--⌫-|
car nientplus	--|----|---|
m ontparro it unecas taigne	-⌫--|-----⌫-|--|---⌫-----|
nestilbontes el mont	|--|-|-----|-|---|
leuostreataigne	-|-----|------|
aportadiusauousdamourlensegne	-----|---||---||----||------|
dameainsqueuos	---|------|--|
dous cuer s fust d edieuaourn és	---|----⌫|---|-⌫|---|-----⌫--|
er t lipeules	--⌫|-|-----|
de lmon de	--⌫|---⌫-|
sitres malatournés	-|---|--|--------|
queiasito stne	--|-|-|--⌫-|-|
del siecletournés	--|-----|-------|
quil n e fust eninfiercondui setbestournés	-|-|-⌫|---|-|-----|------⌫|-|----------|
quatremilans et plusfu	-----|--|--|-|---|-|
limonsala gan	-|---||--⌫--|
p arl orguel deldyableet par	-⌫-||-----|--|-----|-|--|
sonmale n gan	--|--|-⌫-⌫--|
amen issoitdecorsnes l amesa intie han	--||-----|-|---|--||--|--⌫--|--⌫--|
quinalast en infier	--||----|-|-----|
par le pec h iedadan	--|-|---⌫-⌫-||---|
uoirsestquedieusestoit	----|--|--|----|-----|
aceltanssi	|--|---|-|
uierslepeuplequi ert	----|-|-----|--|--|
si tre sma leures	-|---⌫|--⌫-----|
quea ngles	--|-⌫----|
ne arc h angeles nosoit pryer pou reus	-|---⌫-⌫------||----|----|---⌫|--|
maisp ou r uousdouchedame	---|-⌫--⌫|---|-----|---|
deuintdieusamour eus	-----|----|-----⌫--|
tresgra ns ful iamourski	---|---⌫-|-|-⌫|-----|-|
tantledeporta	---|-|------|
que nosettousse s biens en	--|--|-|---|--⌫|----|-|
uous seuleaport a	---|----|-----⌫|
t restousentirsenuoussedeporta	-⌫------|-----|-|---|-|------|
puisuintaufelo nsiecl eoupeudedeport	---|---|-|----⌫|-----⌫|-|--|-|-----|
tresgr anz fuli	---|--⌫--|-|-|
amourskicruauteuenqui	-----|-|------|-----|
paramours ui nt a uouspar	--|-----|--⌫-||---|--|
amourse nn asqu i	-----|-⌫|-⌫----⌫|
par amours	--|-----|
f u elmondepourestant	-⌫|-|----|-----|---|
comi l hiues qui	--|-⌫-⌫||---⌫--|
pa r amour simor utpa r	--⌫|-----⌫||---⌫-|--⌫|
sigranzfuliamourset siaigre et	-|----|-|-|-----|-|-|----|-|
q uedeschiene nfier	-⌫-|-----|-|-⌫----|
enalali con fors	-|--|-|---⌫---|
ai nc nelpo t contrester cr am ponsne	--⌫-|-||--⌫|---------|--⌫--⌫---|-|
quedieuspar fine	--|----|--|---|
amournen gietast	----||-|------|
sa ge ntfors	-|--⌫-|---|
a moursl es entra ist	-⌫----|-⌫-|-|---⌫--|
forsamoursr essuscita	---|-----|-⌫--------|
a mou rs remai nstent iere amo urs	-⌫---⌫-|-----⌫--|---⌫---|---⌫--|
el ciel monta	-|---|----|
amoursap en tecoust esagen t reconforta	-----||-⌫--⌫-------⌫|-|---⌫|---------|
amou rs se doucemereen selci elemporta	----⌫-|-|----|---|--⌫|-|--⌫-|------|
do nt enforc h a no ioiequant	--⌫-|------⌫-⌫|-|---|----|
elefu rauie	--|-|----|
care le fait pour nousa	--|-⌫-|---|---|---||
dieu t an tenuaie	---|-⌫--⌫|-----|
quilnouspardoinstnosmau setnosdoinsst	-|-|---|--------|--|---⌫|-|--|------|
s ebo uneuie	-⌫|--⌫--|--|
teusda me doitbiene strep ar	---|--⌫-|---|---|-⌫---|-⌫-|
fineamour sieruie	---|----|------|
damequiuou s s a roit	---|--|---⌫|-⌫-⌫---|
uoloi rsieruir	-----⌫|------|
uer3 01uousles ariésbien	----⌫-----|-|-⌫-----|---|
largement desier uir	--------|------⌫--|
mais cismondesme	---|--|-----|-|
setmen lascuer sirauir	--|--|--|---|-|----|
que i i siercmiusce luiki meu eut	--|||----|---|--⌫--|-|-|-⌫--|
dam ec om cismons estde	---⌫|-⌫-|--|---|--|-|
do l our entechiés	--⌫-⌫--|---------|
mieru eillee stkenabi smen	-----⌫----|-⌫-||-|---⌫--||
estpiechatrebuchiés	--|-----|----------|
ma isu ous	--⌫-|-⌫--|
proye z tantdam euostrefilet	-----⌫|---|---⌫|-----|--|-|
que par forc hed amou rsegrantir eadouchiés	--|--|----⌫-||----⌫|-|----|--⌫|---------|
dam euous nou s sie rués auo coustuoirement	---⌫|---|---⌫|---⌫----||-|----|--------|
ma is nousledesieruons uer uou smout	--⌫-|---|-|---------|--|---⌫|---|
et q uant uosfius	-|-⌫---|--|---|
ue utp rendr e	--⌫-|-⌫-----⌫|
desmeffais uengement	--|------|--------|
lorsmetéspournousdametout uo corsempresent	---|-----|---|---|---|---|-|---|-|------|
dont fa itesuosprieressaintsaint eset	---|--⌫---|--|------|----|-----⌫-|-|
etmoustrésuodouch	-|--------|-|----|
filuopiset	--|-|--|-|
uosmamiel es	--|------⌫-|
etl iramenteu éslestresdou chesnouuiele s	-|-⌫|--------⌫--|--|---|---⌫---|--------⌫|
k iluoustramistpar l	|-|---|------|--||
ang elequimoutlisamblentb iel es	---⌫--|--|---|-|-------|-⌫---⌫-|
adontl aués uous dame	----||----|---|---|
si a ert et si	-|-⌫--|-|-|
ueutd e ffendr esil	---|-⌫-⌫------⌫|-||
auésuoussouspris	----|---|-------|
et distdame	-|---|---|
uo usestesdes iglorieu spris	--⌫-|----|-|-⌫|-------⌫|---|
qui la d esous uous siertcha	--|-|-⌫----|---|----|--|
deseureert sieruis	------|--|------|
merefait li dous dius	---|---|-|---|---|
ci s peulessedesuoie	--⌫|-----|-|------|
paror guel melai dan g e parpechieme guerroie	--|--⌫---|-|---⌫---⌫-⌫|--|-----|-|-------|
et parfinedroiturebienuengi ermen	-|--|---|-------|---|-----⌫-||-|
seuous se ul en estiésplu snelesoufferroie	-|---|--⌫--⌫||------|---⌫|-|-|----------|
maisquantuousditesm er eb iaus	---|----|---|----|-⌫--⌫|-⌫---|
f iusi eteporta i	-⌫--|-⌫|-|-----⌫|
et iouu oi les dousflans	-|--|-⌫-|--|---|----|
ouiou medeportai	-|--|-|-------|
etle s doucesm amielesmere que	-|--⌫|-----|-⌫------|---|--|
si ma uéseniur e ́qu erespondr e ne sai	-||-⌫---|-----⌫-⌫|--⌫|--------⌫|-|--|
fors tantquepour uous	---|---|--|---|---|
dameles depor tetatent	---|--|-----⌫|-|----|
ets isuimouttre sliesq uant	-|-⌫|--|---|---⌫|---|-⌫---|
aucuns serepent	-----|-|-----|
c il qu ilad esous maine ntproient s idouchement	-⌫-|--⌫|-|-⌫----|-----⌫-|------|-⌫|---------|
atemprerauqu esmo n	-------|----⌫-|--⌫|
maut alent	----⌫----|
ne doit onbie n teldame so nsier ui cheliurer	-|---|-|---⌫|--|---|--⌫|----⌫--⌫--|-----|
quisi set son s eignouretsonfi leniurer	--|-|--|--|-⌫------|-|--|--⌫|------|
pou rcouqu elenousu eut de s m auua i sdeli urer	---⌫|--|-|--|---|-⌫--|--⌫|-⌫----⌫-⌫|----⌫---|
cuersgentius ki bienl	----|------|-|---||
enpu e tdesseurer	-|--⌫-⌫|--------|
damedame milfo is	---|---|--|--⌫-|
etplusque ne	-|---|--|-|
n ientplus que iepo ro ie	-⌫---|---|--|-|--⌫--⌫-|
tout le mont desconfire	---|-|---|---------|
neporoitto u slimonsuograntbonteitdescrire	-|-----|--⌫-⌫|-|---|-|----|------|-------|
c uerskiaimetel damedoit	-⌫---|-|---|--|---|---|
bien p e chied espir e	---|-⌫-⌫---|-⌫-----⌫|
c uersui lainsenuieusnelaporoit amer	-⌫---|--⌫----|------|-|-|-----|---|
uilainscuerslameroi t	------|----||------⌫|
uoistsoinoier enmer	----|--|----|-|--|
maiscuers quiuiloun i e ne	---|----|--|------⌫-⌫|-|
p oroit endamer	-⌫----|------|
d oita mercele dame etami eclamer	-⌫--|-⌫--|---|---|-|---⌫|-----|
ne diiamieiacuersneniert	-|-|-|--|-|----||-|---|
sinoirsne simauuais n e	-|----|-|-|------|-⌫|
nes ifrois	-|-⌫|----|
silne conf iessea droitetserepente	|-|-|----⌫----||----|-|-|------|
que diusetce stedame	--|---|-|--⌫--|---|
nelefac heco rtois	-|-|---⌫-|--⌫----|
conment amonsnous couki nosames	------|----|---|--|-|--|---|
ho uni s t	--⌫---⌫-⌫|
pou rquoi n	---⌫|---||
amons nous donquescouqui lamew ar i st	----|---|------|--|--||--|-⌫--⌫-⌫-|
les amours sonts igrans	--|-----|---|-⌫|----|
des boinsen	--|----|-|
ihesucrist	----|----|
a cestm ierueille quant	||--|-⌫--------|----|
ilonque s e nist	-|-----⌫|-⌫|--|
ha dousdiusdeboinairessunpetit enauoie	-|---|---|----------||-|----|-|----|
gr antamourqu i desuoyésrauoi e	--⌫--|----|--⌫|--------|-----⌫|
iamaisn iroie se us	-----||----|--⌫-|
nepa rcha mp	-|--⌫|---⌫-|
nepa ruoie	-|--⌫|---|
maisnesa i camours s etli urai sdieus m	---|-|--⌫||-----|-⌫-|-|----⌫|----||
ciertessenfier sertnienssi	------||------⌫|--|----|-|
d iroitonpouruoir	-⌫----|-|---|---|
condoitfairemierueillespour	|-|---|----|----------|---|
ihesu cristauoir	----|----|----|
ilsemist pourno us tousains	-|-|---|---|--⌫-|---|---|
n i mis tautreauoi r	||---⌫|----|----⌫|
o n sedoittosremetrepoursamour	-⌫|-|---|--|------|---||----|
ki bien ueut dieuamersaint le	-|---|---|---|---||---|-|
uir gemarie	---⌫-|----|
quionquesde bienfa ire nefu iouresma rie	--|-----|-|---|--⌫--|-|-|---|----⌫--|
cu ersqu i	--⌫--|--⌫|
a liseprenth autement semar ie	|-|-|----|-⌫-------|-|---⌫-|
etq uiconqueslesuitn	-|-⌫--|-----|-|---||
a pas uoieesmarie	|--|---|------|
cestuoirsetdr oiscon plaintcar	|--|----|-|--⌫--|---⌫-----|--|
etsiest no s tr eescuslassus etnostreestache	-|-|--|--⌫-⌫--⌫|----|-----|-|-----|------|
quiparamours	--|--|-----|
enfois iata che	-|--|||---⌫--|
atachiés est adieu	--------|--||---|
dunea mourouseatache	|--|-⌫-------|-----|
dousdiuscomil se fait auous bien	---|---|--|-|-|---||---|---|
amourmondainedeson cuerdestachier	----|-------|-|--|---|---------|
ciert ess onconniss oit	-----⌫-||-|-------⌫--|
quedius lachata	--|---||-----|
s il niertplusque dieruésneluaurroit	|-||---|---|--|-------|-||-------|
courech ier	-------⌫--|
orest mierchis et	-|--|-------|-|
pai s ki aquier taconcord e	---⌫|-|------⌫||-------⌫|
etamoursqu itout	-|-----|--⌫|---|
uaint carto u s iour sbien recorde	----|--|--⌫-⌫|----⌫|---|------|
merchihuceamour s	-----|---|-----⌫|
trait pais ladro iteac or de	----|---|-|---⌫--|--⌫--⌫-|
dieusseueut	----|-|---|
acorde rfause stqu isende s co rde	------⌫|---|-⌫-|--⌫||-|--⌫-⌫--⌫--|
amoureuseest li cordeua s idous cord on s	--------|--|-|----|||-⌫|---|----⌫--⌫|
enacord ant	-|-----⌫--|
nousproiequenous nous ac ordons	---|----|--|---|---|--⌫-----|
senousenuraie am o ur	-|---|-|----|--⌫-⌫-|
cescordo ns recordon s	--|-----⌫-|--------⌫|
iadiusne soufferraque nouse n	-|---|-|--------|--|---|-⌫|
descordon s	---------⌫|
dame quiles descorsendroi tpoi n t	---|--|--|------|-|----⌫|---⌫-⌫|
acordésmo nlascuerquito usest descordés	-------|--⌫|--|---|--|--⌫-|--|---------|
seuousmame	-|---||--|
etmon corsenuersdieu	-|--|---|-----|---|
nacorde ́s	|------⌫-|
parmes peciespuis	--|--|-----|---|
estr eeninfi er encor dés	----⌫|-|----⌫-|-----⌫---|
quelbo ntefa i	---|--⌫--|--⌫|
i oudameauo fil se	-⌫-|---||-|--|-|
sesamourconnissoi e	-||----|---------⌫|
ilmaroitpris a l	-||----|---|||
maisi ouuousrequ ir d ame et de cueruo us	---|-⌫-|---|----⌫-|-⌫--|-|-|---|--⌫-|
qu e uousproyéspou r micarpardette a	--⌫|---|------|---⌫|-|--|--|----||
uousplai m	---|----⌫|
pour cou uousfis tdiu sdamequeaidier nousd eués	---|--|---|---⌫|---⌫|---|--|-----|---|-⌫----|
roine e stesdes angelesle pooiren aués	----|-⌫---|--|------|-|----|-|----|
e tuoscuer se sts idous	-⌫|--|----⌫|-⌫-|-⌫|---|
que faire leuolé s	--|----|-|-----⌫|
orfa ites le b es ognecar faire lesaués	-|--⌫---|-|-⌫--⌫---|--|----|-|-----|
dame cistyypointsonte nuousce mesamble	---|---|-|----|---|-⌫|---|-|-|-----|
po oirsdet teet	--⌫---|---⌫-|-|
u oloirsetsau oirs tout	-⌫-----|-|---⌫---|---|
damepr o yés uo filou	---|--⌫-⌫---|-|--|-|
tou s li bie ns s asanle	---⌫|-|---⌫-||-----|
caliourdel	|-|---|--|
iugemen t delui ne medes samble	-------⌫|-|--|-|-|---⌫-----|
encoreestesuous	-----|----|---|
dameuraieest oilede	---|----|---⌫---|-|
reepl ainedem ielou ilna point	--|--⌫---|-|-⌫--|-|-|||----|
merepour gens n o ur i ramiepouramer	---|---|---|-⌫-⌫--⌫-⌫|---|---|---|
aiu e queon	---⌫|--|-|
doi taubes oingre clame r	---⌫|-|---⌫---|--⌫-----⌫|
e st oi leestes pou rquoi	-⌫--⌫--⌫-|----|---⌫|---|
direle mec ouuient	---|-|-|-⌫------|
carparuousse radrececuer ski a	--|--|---|-|------|----⌫|-||
u ousse tient	-⌫--|-|----|
ausi comeline spar	---|---|-|--⌫|--|
lest oilea	|---⌫---||
po rtuient	--⌫-|----|
a dieupar uousreuien ent	|---|--|---|------⌫--|
pech eo ur moutbiens	----⌫--⌫-|---|---||
reedemielpourquoiunapoint	--|-|---|---|---||||----|
d amertume	|-------|
pourcouqu ema i ns	---|--|--⌫|--⌫-⌫-|
c haitis quiparsonpechietu me	-⌫-----|--|--|--|-----|--⌫-|
estsouuentrep entansetsouuentse ra lume	--|------|---⌫-----|-|------|-|--⌫---|
car uo dou cour s	--|-|---⌫----⌫|
a tempreles	-⌫-----|--|
du rscuers par co ustume	--⌫-|----|--|--⌫-----|
mere estespo urn ourircar	---|----|--⌫-|-⌫----|--|
u ous nousnorrissiés	-⌫--|---|----------|
quien uostreamour ui t il estbi en encr aiss ie ́s	--|-|-----|----|--⌫|-|--|--⌫-|----⌫----⌫--⌫-|
sen estoituopryere don tuo	-||-----|-|-----|---⌫|-|
filrapais iés	--|------⌫---|
iecroiquetoutlimonsfust	-|---|--|---|-|---|---|
p i echa p erilliés	-⌫-⌫---|-⌫--------|
uo use stes nostreaiuec est uoirsetnos	--⌫-|-⌫---|-----|---||--|----|-|--|
car paruousdouchedame fulanemisuencus	--|--|---|-----|---|-||-----|-----|
encor e aen u o usdame yy principausuiertus	-----⌫||-|-⌫-⌫-|---|-|---------|------|
donttous libiens nou s uientn oioie	---|---|-|----|---⌫|----|-⌫|---|
etnos salus	-|--|----|
uousfustes li	---|-----|-|
uraisthronesoulifiu sd iumonta	----|------|-|-|---⌫|-⌫-|----|
yyescaillonsiout ainsnulnen	-|---------||--|---|--||-|
quiles alu	--|-|-⌫--|
en uouregie planta	-|-|-----|-----|
don t li dousfru is issiqui	---⌫|-|---|---⌫-|---|--|
tousnousraca ta	---|---|----⌫-|
lipr emiersesc ail lonsse	-|--⌫-----|---⌫---⌫---|-|
iou b iendirelose	--|-⌫--|---||--|
oulifius d iumonta	-|-|---|-⌫-|----|
pour ataindrelerose	---|-------|-|---|
cefucouqueliang elestrouualeu irgene	-|-|--|--|-|---⌫---|-----|-|-⌫-----|
