porrades ein eporra	----|-|-⌫-|-⌫|----|
efutun slunseotla	|--|--⌫|---||-|-|
brunee aliseemotfut	----||----||--|--|
clerscheuose mellez de	----|-----||-----|-|
cilrespontalducde	--|------|-|--|-|
mesquant ilu et qe	--|----|-|-⌫-|-|
ealt o r nera r eir eten de n t	|-|-⌫-⌫-⌫--|-⌫-⌫---⌫|---⌫--⌫-⌫|
contintsei el	------|--|-|
siparlamolt tempree m ent	-|----|---|-------⌫-⌫--|
sire fa itilal m i en e speir	---|--⌫-|-|-|-⌫-⌫-|-⌫----|
uosditessenedi tes	--|----|--||--⌫--|
pesqueuosuint	-----|--|---|
del retorner	--|-------|
m essiuos pla istne	-⌫-|-|--|---⌫--|-|
laissezmiamenderun poi	------|||------|-|--|
s iuosd irai queqe ge	-⌫|--|-⌫---|----|-|
siuosuisquegifolei	-|--|--|--|||----|
diequimelzensara dire	--|--|---|-|---|---|
iadeuesme n	-|----|-||
d xmqisiestmo r t	|-|-|-|--|--⌫-⌫|
noses tcre ugr ansdescon for t	--|--⌫|---⌫|--⌫--|------⌫---⌫|
nenospoetuenirc e crei	-|--|---|----|-⌫|---|
domag efors de lrei	-----⌫|---|--⌫|--|
sonconmanda me nt	--|--------⌫--⌫-|
luinames reco uram ent	--|||--|----⌫----⌫--|
d enosfera	-⌫|--|---|
quelu i plaira	--|--⌫|-----|
uose n grec e	--|-⌫|----⌫|
porrum uerslui	-----|---|--|
nosuoltfereme rci	--|---|---|--⌫--|
g ar ru ml ap lus	-⌫--⌫--⌫|-⌫|-⌫--|
dexuoldraconfu nd ra	--|-----|-----⌫--⌫-|
se porrauersluirepondre	-|----|---|--|-------|
creirelemen los	-----|-|--|--|
torneronissiles doz	-------|---|--|--|
unsdenoseuesques	--|-|--|-------|
grantre gart epar resson	----|--⌫---||--|-----|
senz e uesque	---|-⌫-----|
esanzmestre	|---|-----|
de uo nnoslongament	--⌫--⌫|--|--------|
nostremeisteire	-----|--------|
entendum for menteesleire	-------|---⌫---|-------|
qui seit debonedoctrine	--|---|-|---|-------|
amorne por aine	---|-|--|---|
n e aparatge	-⌫||------|
entendumpas neaatg e	-------|--|-||---⌫|
bacha lerpasne	-----⌫--|--|-|
refusersiil estprod om	------|-|-|--|----⌫-|
quel euesqueert	--||------|--|
elimestreertacheuez	|-|-----|--|------|
pretpo rs ei	---|--⌫|-⌫-|
eporlepoble eporle	|--|-|----||--|-|
coma ntieunes eeste r	----⌫-|-----||----⌫|
eparlostalmonesfere	|--||--|------|---|
quantligeunes	----|-|-----|
serunt complit	-----|------|
aliornquiseraestablit	-|---|--|---|-------|
il aut auantenos	-|--|----||--|
de nospechet sium confes	-|--|-----|---|-----|
e st enlaplace	-⌫-|-|-|----|
esacr if ise i face g ra nti	|----⌫--⌫--||---|-⌫--⌫-||
siliso sit iduncreclot	-|-|--⌫--|----|-----|
poetsauerque dexnosot	---|----|--|--|--|-|
lisaiue home c ilqui	-|----|---|-⌫-|--|
dexcremen t	--|------⌫|
ces tconsel loentet bienlement	---⌫|-----|----|-|---||----|
m ess untd	-⌫-|-⌫--||
euesque que rre	------|---⌫--|
qui s eitprodomet de lor	--|-⌫--|-----|-|-|--|
uns poet esuelz	--|----⌫-|---|
qu i ot en boisesté men di s	--⌫|-|-|---|----|---⌫--⌫|
de deserui r rel egio s	-|-|-----⌫|---⌫----⌫|
lesmist de d os	--|---|-|-⌫-|
sorunperr on	--|-|----⌫-|
silorafaitunbref sermon	-|--||---|-|---|-----|
p rim es commandeauersilence	-⌫---⌫-|-------|---|------|
e illuntengrantreuerence	|-||--|-|----|--------|
pei sq ue illeuirente n	---⌫--⌫-|-|-|-----|-⌫|
tuitsi tor nent	---|||---⌫---|
p etitegrant	-⌫---||----|
quar ben sor en	---|--|---⌫-|
notmal uestenetricher ie	|-|---⌫----|-|-------⌫-|
diuafetilcee st	---|--|-|-|-⌫-|
grandre it	---|---⌫-|
