s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
ledoisarraisnier	-|---|---------|
dautrescoses etacoin tier	|-----|----|-|-----⌫---|
maissouuentledoisesgarde r	---|------|-|---|-------⌫|
etdetes iex	-|-|--|--|
li doismoustrer	-|---|-------|
auant l amorq uiesten to i	----||---|-⌫-|--|-|--⌫|
mai scon ne lsaceg a rde toi	---⌫||-|-||---|-⌫-⌫--|--|
e uxestt os t acusee	-⌫-|--|-⌫--⌫|-----|
amo r ssouuentet demoust ree	---⌫-⌫|------|-|-------⌫--|
damepr oieras	---|--⌫-----|
ca illors ne	|-⌫-----|-|
t ena cuseras	|-|-⌫------|
etkellepuisten soi	-||---|----|-|--|
iecuicqu e	-|---|--⌫|
ci smeueu t amer	--⌫|-|---⌫|---|
quime regarde	--|-|------|
etsi tres amo urousement	-|-|---|---⌫---------|
etsimesamble bien par m	-|-|-|-----|---|--||
quilm aint pl us que nule	-|-||---|--⌫-|--|---|
autre dame	----|---|
u olent ierstout adiesmesgarde	-⌫-----⌫---|---|----||------|
monueoi rseprent ga r de	--|----⌫|-|----|--⌫-⌫-|
etselleencel penseca io it	-||---|-|--|----|--⌫--⌫-|
plusuolentierstesgarderoit	---|---------||----------|
tenroitanulfuer	------||--|---|
k enetenportastmil lorcuer	-⌫|-||-|------|---⌫--|---|
ce sam blant	-|---⌫----|
adonquesdire liporas	-------|---|-|----|
t resdoucedame ieuousaim	-⌫--|----|---|-|---|--|
etdamorsbielauo us me	-||----|---||--⌫-|-|
amis enuos treprison	|--|-|---⌫--|-----|
orestenuostreguerredon	-|--|-|-----|--------|
telparolle direporas	--|------|---|----|
quan ttule	----⌫|-|-|
osde uantli	-|--⌫---|-|
au cunditeta ucunafaire	--⌫--|--|-|-⌫---|-----|
couk elleloedois	--||---|--|---|
coukelle blasme	--||---|-----|
doisblas mer	---|----⌫--|
etsama niere	-|-|--⌫----|
etsauaillance	-|-|--------|
soittoutadies	---|---|----|
t aco ntena nce	-⌫|--⌫-----⌫--|
t uuoispeusd esusli	-⌫|---|---|-⌫---|-|
toutcortoi sementosteli	---|------⌫-----|---|-|
sesatours a m esseant	--|-----||-⌫------|
qu if aceadiretantnequant	--⌫|-⌫--||---|---|-|----|
dire lidoisma douce rien	---|-|---|-|----|---|
certe s c e neuamieb ien	-----⌫|-⌫|-|-|--|-⌫--|
s iluosplaisoitiel	|-|--|-------|-||
u autreme n t l	|-------⌫-⌫||
a faiteroie	-⌫--------|
l unemu ltb ien lesouferra	|--|--⌫-|-⌫--|-|-------|
etmultgr an tgretuous	-|---|--⌫--⌫|---|---|
c e llequiert	-⌫-⌫--|--|--|
cortoi seet	------⌫-|-|
et sauua ge	-|-----⌫-|
tost sireparfoi	---|---|--|--|
nai cu rec atouciés amoi	|-|--⌫-||--------||--|
etsesa cot eu ses	-|-|-|---⌫||--|
gist enli u quinestmie	---|-|--⌫|--||--|--|
osterlidoismult bieleme nt	----|-|---|---|-------⌫-|
etau leuerauientsouuen t	-|-|----|-----|------⌫|
quesablance	--|-|-----|
iamb eueras	----⌫|----|
tenlouieradonte n aras	--|-----|----|-⌫|---|
etselaiambeest b ieleetblan c e	-|-|-|----|--|-⌫---|-|----⌫-⌫|
soitdedame	---|-|---|
udedamo ise lle	|-|----⌫---⌫--|
celleoeure li estmult tresbielle	----|----|-|--|---|---|-----|
iacierte snel i despla ira	-|------⌫|-|-⌫|------⌫--|
ia couroucnet en	-|------|-||-|
carbienuo ellent paruerite	--|---|--⌫-----|--|-----|
que on uoie l a lo rbiaute	--|-|---|-⌫|--⌫|-----|
couk ellesont	--||----|--|
debienseant	-|---|----|
puetiestre	---|-----|
sesiet en priesse	-|---|-|------|
gardeque n ustrop nel	----|--|-⌫-|---|-||
elle ensoit hors	---|-|---|---|
li doisioin d reton cor s	-|---|----⌫-⌫-|--|---⌫|
cortoisementetbiel etbien	-----------|-|---|-|---|
aus icom tunenpuis s esrien	---⌫|--|-||-|----⌫-⌫-|---|
a ucu n motlancier	-⌫---⌫|--|------|
orellec onse l lier	-----|-⌫----⌫-⌫---|
mo ltsouuent	--⌫-|------|
auient c a uman gi er	-----||-⌫|---⌫--⌫-|
trueue o n	-----|-⌫|
amorsetsansdan gier	----|-|---|---⌫---|
c arlesuiandesetleuin	-⌫-|--|------|-|-|--|
sicom iepenset deuin	-|--|-|---|-|----|
fontsouent l agentembraser	---|-----|-⌫|---|-------|
da morsesprendreetaluminer	|-⌫---|--------|-|-------|
setuu eusbien mon	-|-|-⌫--|---|--|
con sel croir e	---⌫--|-----⌫|
tupeumangier etboire	-|--|------|-|----|
que tusoiesbien en tons ens	--|-|----|---|-|--|-⌫--|
enfaisend isetentalens	-|---|-|-⌫-|-|-|-----|
teusamorsest pl ain edardure	---|----|--|--⌫---⌫||-----|
c au m a ngier	|-|-⌫-⌫----|
prentet petit dure	----|-|----|---|
etsen e st	-||-|-⌫-|
fo rt destroit	--⌫-|-------|
etl end ema in eneston	-||---⌫---⌫-|-|--|-|
siprenton tost te leaco intance	-|----|-|---|--⌫-|---⌫------|
quipuetauoir pe udedurance	--|---|----|--⌫|-|------|
car q uant o nabute tmangi é	--|-⌫---|-⌫||--|-⌫|-----⌫-|
siso nt plus baut licueret	-|--⌫-|---|---|-|---|-|
dontuienentligasles risees	---|------|-|--|--|-----|
o eure s sont oubliees	-⌫----⌫|---|-------|
adontaontostdescouuiert	----||-|---|----------|
couque on a	--|--|-||
l onctans c ou uier t	-⌫--|---|-⌫--⌫----⌫|
m ains homi	-⌫---|--||
aes tés ouspris	|--⌫--|-⌫------|
damo rs au mangiercemestu is	|---⌫-|-|------|-||--|-⌫-|
lapuestuli ure	-|---|-||-⌫--|
re sambler	--⌫------|
p ormiexdescouurirton pens er	-⌫-|---|---------|--|----⌫-|
parler por a splus baudeme nt	-----|---⌫-⌫|---|-------⌫-|
lih ar di ement	-|-⌫--⌫--⌫----|
lessotiesquetuferas	--|-----|--|-|----|
tou tesso r leuinmeteras	---⌫--|--⌫|-|--|------|
ausis ourleuiniertlacoupe	---|-⌫--|-|--|---|-|----|
detesm e sfais etalacoupe	-|--|-⌫-⌫----|-||-|----|
tamie b uuera	|---|-⌫----|
l autamieatoucera	-⌫|||---|-------|
doiserranmentboire	---|--------|----|
lifer asacroire	-|---⌫-||-----|
ketu l aim es	-|-||---⌫-|
e nsisauoir	-⌫--|-----|
lifait am or et pierceuoir	-|--||--⌫-|-|---------|
elletoucea	---|----||
ses biausdo is	--|----|--⌫-|
au cunmorsielprendr eledois	--⌫--|------|------⌫|-|---|
tantost liementetmangier	------|------|-|------|
eten prenda nt se s	-|-|------⌫-|--⌫|
mai ns tou cier	---⌫-|---⌫---|
et ens e ment par	-|---⌫-⌫---|--|
sous letab le	---|-|---⌫-|
tapers ou s lepietn	----|-⌫--⌫|-|---||
etq uantau ie nt queil est	-|-⌫---|--⌫--⌫-|--|-|--|
etlaconpaigniedepart	-|-|---------|-----|
adontladois tuconuoier	----|-|---|-|-------|
etli est raindre etembrac ier	-|-|---⌫------|-|------⌫--|
etlididame bonne	-|-|-|---|----|
uos d oinst nost re	--|-⌫----|----⌫-|
s ir e an uit	-⌫--⌫|--⌫--|
uo c onpai ngne	-|-⌫-----⌫---|
t out ensement	-⌫--|-------|
amari hautement	|---|--------|
u amiboine nuitliproie	|--|----|---|-|----|
touth a uteme nt siqueo n l oie	---|-⌫-⌫-----⌫-|-|--|-⌫||--|
maisentre tes d ens tout enbas	---|----|--|-⌫--|---|-|--|
lamalenuit liproieras	-|---|---|-|-------|
se d ameai me s quiaitbaron	-|-⌫--|--⌫--⌫|--|--|----|
hono rli porte c est m oltbon	----⌫|-|----||--|-⌫--|--|
entousliusu	-|---|---||
letrouueras	-|--------|
del uisieruirtepeneras	-|-⌫-|------|-|------|
ami enfa iet compa ign o n	--|-|--⌫|-|-----⌫---⌫-⌫|
a semaison	|-|-----|
quecoutepuetmoltaua nc ier	--|--|-|---|---|---⌫--⌫--|
te looccoisonquier	-|-|-------|----|
maisonetconuier ser	-----|-|-------⌫--|
puisses etueni reta ler	------|-|----⌫|-|-⌫--|
fai tantqueuolentiers	--|---|--|---------|
ensamaisonet tecon uo ie	-|-|-----|-|-|---⌫--⌫-|
nipuesal erpar lui	||---|--⌫-|--|--|
faiqu etuaillespar a ut rui	--|--⌫|-|-----|--|-⌫--⌫--|
seses maris tes conpains	-|--|----|--|-------|
porcouquetrophaus u	--|--|--|---|---||
enlerueconpaignonquier	-|-|--|---------|----|
lescuitupuisses repair ier	--|--|-|------|------⌫--|
de cuiostelpora sueoir	-|--|----|----⌫|----|
tadameet au	-|---|-|-|
mainet au soir	---|-|-|---|
etdontelletepuistoir	-|---|---|-|----|--|
cantereta leretuenir	-----|-|-⌫--|-|----|
mais l oc cois onss oit	---||--⌫----⌫--|-⌫--|
siquipo isoitderenoumee	-|--|--⌫|---|-|-------|
maint e thorsde l pais	----|-⌫|---|--⌫|---|
ladois tufai re	-|---|-|---⌫-|
d e s am is	-⌫-⌫|--⌫-|
tip uiss e sacointier	||-⌫----⌫-⌫|--------|
a lip arl eruenuoyer	|-|-⌫---⌫-||------|
encort eloc etuoel loer	----|-⌫|--|-|---|---|
an uluinedito npenser	|-⌫---|-|-|--⌫|-----|
s adont b ienneti puetualo i r	|----|-⌫--|-|||---|----⌫-⌫|
queon netenpuistdeceuoir	--|-|-||-|----|-------|
tonpenseteux	--|----|---|
sa uoirporoit	--⌫---|-----|
kemultd ure menttenuiroit	-|---|-⌫---⌫---|-|------|
n aies aminecompa ingnon	|---|--|-|-----⌫-----|
qui iasace tenten tion	--|-|---||-----⌫---|
sausi neses lesienpen s er	|---|-|--|-|---|---⌫-⌫-|
ciertainement et	------------|-|
s ansdo uter	-⌫--|--⌫---|
lorstipu esp lus seurement	---|||--⌫-|-⌫--|--------|
des cou urirethardiement	---⌫---⌫---|-|---------|
et luienuoyer	-|--|------|
secest mes tiersie	-||--|---⌫----|-|
portantsetu	------|-|-|
ip uesa ler	|-⌫--|-⌫--|
paraut rui neli	--|---⌫--|-|-|
do is mander	--⌫-|-----|
fols est qu i autruii enuoie	---|--|--⌫|-----||-----|
f orslui puis qu	-⌫--|--|----⌫-|
il iaitsauoie	-||--|-|---|
teux ia en uoi étautru i	---|||--⌫---⌫--|-----⌫|
kipuis ena eutanui	-|---|-||--|---|
c auoec son	|----|--|
oesleretenoit	--|-|-------|
etson conpaig nonl etol oit	-|--|-------⌫--|-⌫|---⌫--|
porcou enparent n etefie	--|--|-|-----|-⌫|-|--|
neenconpaignond e tamie	-|-|---------|-⌫||---|
deuantautruine l doi sloer	-----|-----|-||---⌫|---|
queil ne luoelleamer	--|-|-||-----|---|
femeuenfansdoise nuoier	---||-----|---|-⌫-----|
at a miepourc on sellier	||-⌫--|---|-⌫--⌫------|
encorte uoel iecons e l lier	----|-|---|-|----⌫-⌫-⌫---|
netelaisseengingni er	-|-|-----|--------⌫-|
delab iaute t adamoiselle	-|-|-⌫----|-⌫|---------|
car tel etesamblerabielle	--|---⌫|-|-------|-----|
par nuit a umangieraca ndelle	--|---|-⌫|------||--⌫-----|
bielledeui scle re etuermelle	-----|-|--⌫|---⌫-|-|-------|
qui lendemain	--||-------|
enmile iour	---|-|---|
a urapierduesacoulou r	-⌫--|------|-|------⌫|
netelaisse	-|-|-----|
s ouspre ndredonqu es	-⌫------⌫---|-----⌫-|
debiaute que	-|-----|--|
ueisses onques	------|-----|
acaterd ra su soi e	-----|-⌫--⌫||---⌫|
droisestqueil deiour leuoie	----|--|--|-|-|---|-|---|
carquantpari s lidam oisiaus	--|----|----⌫|-|---⌫------|
quitanti e r t	--|---|-⌫-⌫-⌫|
auenansetbiaus	------|-|----|
desdyue sses iugem ent	--|----⌫---|-----⌫--|
fi st a ucleriour	--⌫-|-⌫|---|---|
apertement	---------|
cascunem oltbienrem ira	------|-⌫--|---|---⌫--|
apriesde lo r	-----|-|--⌫|
bi aute iug a	--⌫---|---⌫|
keuenus cou	-|----|--|
enestlasoume	-|--|-|----|
po rsabiaute	--⌫|-|-----|
douna la poume	----|-|----|
par nuit mainte	--|---|-----|
take estcouerte	---|--|------|
quipariorestmolt	--|--|--|--|---|
descouuerte	----------|
por c ouesga rdebien	--|-⌫-|----⌫--|---|
a cuituuiusdouner t amour	|--|-|---|-----||----|
d ituporastro uu er	-⌫-||----|---⌫--⌫-|
damequetuuaurasamer	---|--|-|-----|---|
conme n ttut	-----⌫-⌫|-||
dir ai sansalon gier	---⌫-|---|----⌫---|
conmentt a dameproieras	------|-⌫|---|-------|
icimesti erde consel	--|-----⌫-|-|-----|
qu ellessunt demaintemaniere	-|----|---|-|-----|------|
po rcou dois	--⌫|--|---|
cangiertaproiere	------|-|------|
maisretienbienen ton memo ire	---|-----|---|-|--|----⌫--|
pornullen e	--|----|-⌫|
tendesesp oire	|-|------⌫---|
toutsoitricesote ne	---|---|---|---|-|
nebassen ede hau	-|----|-⌫|-|--|
croitoutadies	---|---|----|
quetu l aur as	--|-||---⌫-|
multmainsases t	---|----|---||
engreueras	-|-------|
car ancoiss etairont	--|-----|-⌫|------|
auco nmen cier deltans	-|--⌫----⌫---|--|---|
etl i cien leslieuresfu iront	-|-⌫|---|--|------|--⌫----|
quenulesfem e sencestm ont	--|----|---⌫-⌫|-|---|-⌫--|
sedesfen gentau lonccontreh ome	-|------⌫---|-|---|-----|-⌫--|
c arne desirentcest	-⌫-|-|-------||--|
forsconles	---||-|--|
proitetcon lesaint	----|-||-|--|---|
rienlorcuers	---|--|----|
e taceliplusformen t	-⌫||---|---|------⌫|
quip lus s en	--|-⌫--||-|
cou rt et plusliplaist	---⌫-|-|---|-|-----|
celiuainte rasdel egier	---|------⌫--|-|-⌫----|
quetu n oseras pa scuidi er	--|-||-----|--⌫|-----⌫-|
neso ntdefust n esq ue	-|--⌫-|-|---|-⌫-|-⌫-|
nos s oumes	--|-⌫----|
mai s ausi	---⌫|---|
co m nousd esiroumes	--⌫|---|-⌫--------|
lorcon paignieetlorsou las	--|---⌫------|-|--|---⌫--|
nous aiment ell esn	---|-----|---⌫-||
es tpasgas	--⌫|--|--|
la f emesen	-|-⌫--||-|
set miexceler	--|---|----|
etatent c onl e	-|----||-|-⌫|
proitdamer	----||---|
m aisce stlacoustu meet lidrois	-⌫--||-⌫-|-|------⌫-|-|-|----|
l esdoitrequerre	-⌫-|---|-------|
esrequerriens	-|----------|
quenousdeles requis serien s	--|---||---|-----|------⌫|
nedouteianuliour	-|----|-|--|---|
dametant soi tdegrant	---|---|---⌫|-|----|
maishardiementau ant	---|---------|--⌫--|
ner edoutehautene basse	-|-⌫-----|----|-|----|
b ien kelet escondie	-⌫--||--||-------|
n ete morde raelle	-⌫|-|-----⌫-|---|
lauelletescond ira	-||---||------⌫--|
dedens so n cuer lieensera	-----|--⌫|---|--|-|---|
les auuage	-|-⌫-----|
pris tenson corage	----⌫|-|--|-----|
laide n o sepen ser	----||-⌫-|---⌫--|
et c uidierc on ledoi e	-|-⌫-----||-|-|---⌫|
samaisniesoi t houneree	-|------|---⌫|-------|
et par t out useratr ouee	-|---⌫-⌫--||---|--⌫---|
bai sieleensourquetout	---⌫----|------------|
aid ierte pue t	---⌫--|-|---⌫|
aumainselletepri sera	-|----|---|-|---⌫---|
dam et er amente ura	---⌫|-⌫|-⌫------⌫--|
ettepora m olt auancier	-|-|---|-⌫--|-------|
etmiextonafairenoncier	-|---|--|-----|------|
deuantceque t u	-----|-|--|-⌫|
biensar as	---|---⌫-|
c a tadame so itbien	||-|---|--⌫-|---|
l orslipu esdir etapensee	-⌫--|-|--⌫-|---⌫|-|-----|
doun ere t parproumetr e	----⌫-|-⌫|--|--------⌫|
faiqu elle s enuo elleentr emetre	--|-|---||-|--⌫---|----⌫-----|
nusmiex aidierne ten	--|---|-----|-||-|
l unefemelautrede co it	|--|---||----|--⌫--⌫-|
ete lles uolentierslef ont	-|-⌫---|---------|-|-⌫--|
porc aciertesentrepris	--|||------|--------|
asabais ielleia natouces	|-|----⌫----|-||------|
parfolie ne	--|----|-|
net ap rouces	-||--⌫-----|
ata dametostte nuiroit	|-|---|---|-|------|
por coucasoimiex	--|--|||--|---|
sitenlocdontaas ten ir	-||-|--|---||--⌫---⌫-|
setuuiex monconseltenir	-|-|---|--|-----|----|
faiquela dameaie saua nt	--|--|-|---|---⌫|---⌫-|
selibaissiell eteplaisttant	-|-|---------⌫|-|-----|---|
por cou espoir kellee stionete	--|--|-----||---|-⌫-|-----|
paraue ntureu pucelete	--|---⌫----||-------|
la damedoisauantplais ier	-|---|---|----|-----⌫--|
et p uis labaissiell een	-|-⌫--|-|---------⌫|-|
ets ilauient q uetu lass ailles	-||-|-----|-⌫-|-||---⌫-----|
g ardequedel	-⌫---|--|-||
outrernefailles	-----|-|------|
selabaissiellease nuierse e	-|-|---------|-|-⌫-------⌫|
lac oze enseramiex celee	-|-⌫--|-|---|---|----|
li d it et toutl i	-|-⌫-|-|---|-⌫|
tadame teseront retrait	-|---|-|-----|------|
m aisgardebie nsan s	-⌫--|----|---⌫|---⌫|
catadamesoitbience lé	||-|---|---|---|--⌫--|
ta dam e le	-|---⌫|-|
por uoir grantmaugretensaroit	--|---|----|-----||-|-----|
etsitediala parclose	-|-|-|-||-|-------|
amer pucell eestmultgrant coze	---|------⌫|--|---|----|---|
douteeet perilleuse	-----|-|---------|
m ultd e straign iausetanie use	-⌫--|-⌫-⌫-------⌫---|-|----⌫--|
tuted ois mu lttres bien gaitier	-|-|-⌫--|--⌫-|---|---|------|
enquel point tule dois	-|---|----|-|-|---|
proi erlidoisqua nt	----⌫-|-|---|---⌫-|
elleest lie	---|--|--|
ioieuse baudeet enu o isie	------|----|-|---⌫-⌫---|
adontplustos t	----|---|---⌫|
etta par olleesco utera	-|-|---⌫---|----⌫----|
ca rq uant li cue rseste ndestrece	--⌫|-⌫---|-|---⌫-|--|-⌫|-------|
et e ndolourete n tr istrece	-|-⌫|-----|-|-⌫|--⌫------|
mauuaisementi entreamors	-----------||----|----|
conne p uetpas ses	|-|-|-⌫--|--|--|
g rans dolours	-⌫---|------|
foisentroublier	---|----------|
legier ementnari er	------⌫----||---⌫-|
etamors estdetelaffaire	-|----|--|-|--|------|
lau ellenaist et	-||---|----|-|
traitsaire	----|----|
nouielement a uconmenc ier	----------|-⌫|-------⌫--|
tousanuis fait entrelais ier	---|----|---|---------⌫--|
camorsau oc que s s oiatrait	|----|--⌫--⌫---⌫|-⌫-|-----|
ioi e etba udour po rcounelait	---⌫|-|--⌫----|--⌫|--|-|---|
d uelne air courousne ire	-⌫--|-|--|------|-|--|
uientpr emi ersatir e	----|--⌫---⌫--||---⌫|
ainsenestsescuers si tres lie s	---|-|--|--|----|-|---|---⌫|
siio lis et s ien uoi sie ́s	-|--⌫--|-|-⌫|--⌫---⌫---⌫-|
quedenu lma lnelisouuient	--|-|--⌫|--⌫|-|-|-------|
porladouco urqui d	--|-|-----⌫-|--||
am ors uient	--⌫--|----|
cauconmencieri oieetdouco rs	|-|---------|-⌫--|-|-----⌫-|
uienentensambleauoecamo rs	------|-------|----|---⌫-|
et porc oudont tadame proie	-|--|-⌫-|---|-|---|----|
quanttusesqu eelleest enioie	----|-|--|--⌫|---|--|-|---|
c adont lep ues	|----|-|-⌫--|
plusde legier	---|-|-----|
enamor metre	-|---|----|
etadre cier	-|----⌫---|
ca mor sn e	|-⌫---⌫|-⌫|
quiert se ioienon	-----|-|---|--|
can t eren uoi sie rabandon	---⌫-⌫-|--⌫---⌫---⌫||-----|
adontladois tua ssaillir	----|-|---|-|-⌫-------|
quantelle se crient d	----|---|-|-----||
por soiuengie r to st	--|--|------⌫|--⌫-|
se porcace	-|------|
ca sonmari autelreface	||--|---|----|-----|
et s i teloc de licoit ier	-|-⌫|-|--|-|-|----⌫--|
i re puistabaissi er	-⌫-|----|-------⌫-|
car sesireesto itabaissie	--|-||--|----⌫-|-------|
espoi r si tost	-----⌫|-|---|
nentendroit mie	|---------|--|
a toiamern	|--|---||
ataproyere	|-|------|
ains seroit plussauuageetfi ere	---|-----|---|------|-|--⌫--|
