cestle laydesamanz	|--|-|--|--|----|
d onnabr ief	-⌫---|--⌫--|
quant illot li tde	----|-||-|--⌫|-|
ensembleoli la	-------||-|||
ta ntquetotson	--⌫-|--|--|--|
estre aseu	----||--|
parmecinesl a enfo rcié	--|------|||----⌫----|
tel boiure li abaillié	--|-----|-||-------|
ianeser a tant traue i lliez	-|-|---⌫|---|-----⌫-⌫----|
ne siata in t	-|-|---⌫--⌫|
nes i c hargiez	-|-⌫|-⌫------|
ne li ref res chisttotlecors	-|-|---⌫---⌫----|--|-|---|
etlesuaines et	-|--|-----|-|
en ra urontt oute lorue rtu	-|--⌫----|-⌫---|--|--⌫--|
sitostconmeillau rabeu	-|---|----|-||--⌫-|--|
puis lerem ainneens on	---|-|---⌫----|-|-⌫-|
le boire auesselmis	-|----||-----|--|
l idamoisiausioieus et liez	-⌫|---------|-----|-|---|
quantarierefu repairiez	----|-----|-|--------|
ne seioirnapa s	-|-------|--⌫|
en saterr e	-|-|----⌫|
s afilleq uerre	-⌫|----|-⌫----|
qui l li donn astilla prandroit	-|-⌫|-|----⌫--|-|-|--------|
en sonlem ont	-|--|-|-⌫--|
laporteroit	-|--------|
li rois nel enescondit	-|---|-||-|-------|
mes moltle tin tagr antfolie	--|---|-|---⌫||--⌫--|----|
porceq ui lertdeioneaage	--|-|-⌫|-⌫|--|-|---|---|
tant pre dommeua illantetsage	---|---⌫----|--⌫-----|-|---|
onte ssaiéice lafere	--|-⌫-----|---⌫|----|
quenenpor enta nul c hieft re re	--||-|---⌫--||--|-⌫---|-⌫--⌫-|
termeliadonné et	----|-||-----|-|
se shommesmandeetses amis	--⌫|-----|----|-|--|---|
ceus quei l pot	---|--|-⌫|--|
nenilessa nulsemanoir	|-||----|--|-------|
porsafille	--|-|----|
en porleuallet	-|--|-|-----|
