fa ms. f r.	-|---⌫-⌫-|
clerela u itsil	----|-|-⌫-|-||
iecuidaidist ilporchaci er	-|-----|---|-|--------⌫-|
ma uiandesurcef umier	-|-----|--|-|-⌫----|
oraiia gemmetrouee	-|-|-|----|-----|
i apar moineniertremuee	-⌫|--|--||-|---|-----|
suns r ic h eshomsiuostro uast	|--|-⌫--⌫-⌫-|--|-|--|---⌫---|
bien s aique	---|-⌫-|--|
dor uous ho nn ourast	|-|---|--⌫--⌫-----|
siacreust uostreclarte	-|------|-----|-----|
porlor quesiagrantbiaute	--||-|--|-||----|-----|
quantma uol ent enaide	----|-|---⌫---⌫||-|-|
i anule honnornar as de	-⌫|---|-----||--⌫-|-|
autel est il	----|--|-|
de maintegent	-|-----|---|
uien t a lortalent	----⌫||--|-----|
conmedoucocet	----|--|--|-|
bel e gemme	---⌫|----|
auo nsdommeetdefemm e	---⌫-||---|-|-|----⌫|
biennehonnornaimment	---|-|-----||------|
l episprennent	-⌫|--|-------|
le miexdespisent	-|---|--------|
cidistdou lou	-|---|--|--|
et d el aingnel	-|-⌫||------|
qui beuoientazz	--|-------||-|
lileu s a u desseurebeuoit	-|---⌫|-⌫|-------|-----|
etliaingniaxaualestoit	-|-|-------|---|-----|
i reement parlalileus	-⌫------|----|-|---|
etmolt estoitcontralieus	-|---|-----|----------|
parmal talentparl aalui	--|---⌫-----|----⌫||--|
tum efais di s tilgra ntanui	-|-⌫|---|--⌫-⌫|-|---⌫-|---|
lia igneles are spondu	-|-⌫------||--⌫-----|
co idoncneuois	--⌫|---|-|---|
tu m ass i	-||-|-⌫|
n enpuis boiremasaoulee	|-|---|----|-|------|
autresime n irai ce c roi	------||-⌫|---|-|-⌫--|
conme giuingm ourant	----|||---|-⌫-----|
liaingnelesdonc	-|--------|---|
li respont	-|------|
sir e doncbeuez uousam ont	---⌫|---|----|---|--⌫--|
de uousmeuientc e	-|---|-|----|-⌫|
questdist li leusmau disme	-|--|---|-|---|---⌫--|-|
cil respondin en aituoloi r	--|-------||-|--|-----⌫|
etd ist lil e usiel sai deuoir	-|-⌫--|-|-⌫-⌫-|-||--|-|---|
cem eismesmefistton pere	-|-⌫-----|-|---|--|---|
en cel ruisselaueucluiiere	-|--|------|----|--|---|
orayymoissicon	-||-|---|-|--|
quen affiert il distil a	-|-|------|-|---|-||
nier epasnezsi conie	|---⌫|--|--|-|--|-|
etco iporce	-|--⌫|--|-|
lileus adit	-|---||--|
iamefaistu	-|-|---|-|
ore contr aire	--|-----⌫---|
et c hose quetu nedoisfaire	-|-⌫---|--|-|-|---|----|
lors pra ntli leuslain gnel pe tit	---|---⌫-|-|---||---⌫---|--⌫--|
asdenslestrengledontlocit	-|---||--------|---||---|
ce sontliriche robeour	-|---|-|----|------|
liuisconte etl i	-|-------|-|-⌫|
dece u zquil ont en loriu sti se	-|--⌫-⌫|-|-|--|-|--|--⌫---⌫-|
treuuentassez po r ausconfondr e	-------|----|--⌫|--|--------⌫|
s ouent les f ontas	-⌫----|--|-⌫--|-|
plaisse mond re	----|--⌫----⌫-|
lac har lortolent et	-|-⌫--|--|-----|-|
siconli leuz f ist alaingnel	-|--|-|---|-⌫--|||------|
cicontedunch ie nmenteour	-|----||-|--⌫--⌫|-------|
de mal eguiletricheour	-|---⌫|----|--------|
quiuneberbis e npl aida	--|--|-----|-⌫---⌫---|
d euant iusticelamenda	-⌫----|------||-----|
s iliazzpaindemande ́	-⌫|-||-|---|-------⌫|
quilliauoitcedistpresté	-|-|-|----|-|---|------|
la berbist res toutlinoi a	-|-----|-⌫---⌫---|-|---⌫|
e tdis t quenul nelen	-⌫|---⌫|--|--|-||-|
laiustic eauchi endema nda	-|------⌫|-|---⌫-|----⌫--|
se ilnultesmoingnageen a	-|-|--|-----------|-||
illi r espontquil ena deus	-|-|-⌫-----|-|-|-||---|
c estli esc ou fles etlileus	|--|-|---⌫--⌫---|-|-|---|
ci l furentauant amené	--⌫|-----|----|-----|
parseire ment	--|-----⌫---|
ont affer mé	--|-----⌫--|
q uecefu uoirq ue li	-⌫-|-|-|---|-⌫-|-|
ch iensdit	--⌫---|--|
sauezporcoi cha scunsledit	----|--|--|---⌫----|-|--|
q u ilen atandoient	-⌫|-|-|---------|
silaberbis	-|-|-----|
perdoitlauie	------|-|--|
laiusti cesiappella	-|-----⌫-|-|------|
laberbis et	-|-----|-|
li dem anda	-|---⌫---|
porcoi ot lepain renoi é	--|--|-|-|---|-----⌫-|
q uelichiens li auo itbailli é	-⌫-|-|-----|-|---⌫-|------⌫-|
m e n tiauoit porpoudep ris	-⌫-⌫-⌫-|----|--|--|-|-⌫--|
orli rendistain s quilfust pis	-|-|------|---⌫|-|-|---|--|
la chaitiuen elot	-|-------|-⌫||-|
d ontren dre	-⌫--|---⌫--|
s iliconuint sonuiausreuendre	-⌫|-|------|--|------|-----|
yuersest oit defroitfu	----|---⌫--|-|----|-|
lich i en siluient	-|--⌫-⌫--⌫|-|----|
et liescouffle s dautre	-|-|---------⌫||----|
leusmol tliesttar t	---|---⌫|-|--|---⌫|
la c harsen fuentraxdetraite	-|-⌫---|-|-|---|-|-------|
cardeuia nd eorentsoufraite	--|-|---⌫--⌫|----|--------|
nelabe r bispuis	-|-|--⌫-⌫--|---|
et sessiretous la perdi	-|--|---|---|-|----|
c e ste xemple uosueuil mo ns trer	-⌫-⌫-|-⌫-----|--|----|--⌫--⌫---|
demainthommele puisprouer	-|----|----|-|---|-----|
quiparmentiret	--|--|-----|-|
partrichier	--|-------|
font lespouressou ant p laidi er	---|--|-----|---⌫--|-⌫-----⌫-|
faustesmoingn ages auant traient	---|---------⌫---|----|------|
delau oiraspoures	-||--⌫--|-|-----|
l esp a ient	-⌫-|-⌫-⌫---|
nelorchaut	-|--|----|
que li las de uien gne	--|-|--|--⌫----⌫--|
maisquechascuns	---|--|-------|
saparten tiengn e	-|---|-|------⌫|
aune foisceuosracont	|--|---|-|--|-----|
passo itzz chiensdeseurzzpo nt	-----⌫-|-|-----|-----|-|--⌫-|
z zfro umageensagouletint	-⌫|---⌫----|-|-|----|---|
quantenm il eponcel pa ruint	----|---⌫|-⌫|-----|--⌫----|
ou g ue uit lombre	-|-⌫-|--||----|
doufromage	--|------|
pourpensasoi en	--------|--|-|
soncourage	--|------|
cauoirles uouloit embedous	|----|--|------|-------|
ilt r o p couuoito us	-|-⌫-⌫-⌫|--------⌫-|
enle uesautl abouch e	-||-⌫-|---|-⌫|-----⌫|
etlif romagesli chai	-|-|-⌫------|-|---|
e tombre uit	-⌫|----|--|
et ombrefu	-|----|-|
from ageot il	----⌫--|-|-|
d ontsed oiu entchas toier	-⌫--|-|-⌫---⌫--|----⌫----|
cilqui tropueu lent couoitier	--|--|---|---⌫---|--------|
quipl uscouoite qu	--|--⌫-|------|-|
il ne d oit	-|-|-⌫--|
parsoimei smes se decoit	--|--|---⌫---|-|-----|
carce quila p er t	--|-|-|-||-⌫--⌫|
ilsou en t	-|---⌫--⌫|
et delautrui n a ilnoient	-|-||-----|||-|-----|
parexemplefaitilentendr e	--|------|---|-|-------⌫|
que lisou lausuoltf ammeprendre	--|-|---⌫---|---|-⌫---|------|
a toutecreature	|----|-------|
que chasconne s en pourue ist	--|--------||-|------⌫--|
l escreaturessassamblerent	-⌫-|--------||-----------|
a ladest ineeenalerent	|-|----⌫---|-|------|
sil i monst rerentdousoleil	-|-⌫|-----⌫-----|--|-----|
quede famm erequiertconse il	--|-|----⌫|-------|-----⌫-|
lad estineelo rconmand e	-|-⌫------|--⌫|-------⌫|
que uoirdient	--|---|----|
etcequauis lo r	-|-|-|---|--⌫|
en esto it	-|----⌫-|
celeparla quiplussauoit	---|----|--|---|-----|
quant lisolau zdist e l eesthaus	----|-|-----⌫|---|-⌫-⌫|--|---|
ou tensd estequ ant ilestchaus	-|---||---|--⌫--|-|--|----|
quenelaist	--|-|----|
rienfru ctefier	---|---⌫------|
etterre etherbe	-|----|-|----|
faitse chie r	---|--⌫----⌫|
aenforceme nt	|---------⌫-|
etconpaingnieasontalent	-|----------||--|-----|
nelpor roit souf frir	-||---⌫---|----⌫---|
desou sluiuiure n emorir	-----⌫|--|----|-⌫|----|
ladestinee respo ndi	-|-------|-----⌫--|
uoiraue z distlaissonslens i	---|---⌫|---|-------||---⌫|
com i laes té granstensa	--|-⌫||--⌫--|----|---||
q ueiaparm oinenfor ci ra	-⌫-|-|--|-⌫-||-----⌫--⌫-|
ens ichastoien tlesplusours	---⌫|---------⌫|--|-------|
quiseurau s ont	--|---|--⌫|--|
les maxsignours	--|--|-------|
q ue pas ne	-⌫-|--|-|
sdoiuenten for cier	|------|--⌫---⌫---|
n a p lus fo rsdausaconpaing nier	||-⌫--|--⌫-||--|---------⌫---|
par lors ens neparlor	--|--|-⌫--|-|--|--|
maisde storn er	---|--⌫-----⌫-|
a lor pouoir	|--|-----|
co nplu seff orc episle ur	--⌫|---⌫|---⌫---⌫|--|--⌫-|
lores te nmalesp l oit	--|--⌫|-⌫|--|---⌫-⌫--|
tou ior sloresten males p l oit	--|---⌫|--|--|-|--|--⌫-⌫-⌫--|
einsi sauint cun	-----⌫|----||-|
leust rouua	---|-⌫----|
zzosqu iou corsl iuola	-|-|--⌫|-|---|-⌫|---|
etqu antou	-|--⌫--|-|
collifuentrez	--|-|-|-----|
molt durementenfu	---|-------|-|-|
toutes lesbestes as sambla	-----|--|-----|--⌫-----|
etlesoisiaxa soimanda	-|--|-----||--|----|
puisa f aita	---||-⌫--||
tousdemander	---|-------|
setm e deciner	--|-⌫-⌫------|
entrax enon tleurconseilpris	---|-|-|--⌫|---|------|---|
forsla grue	---|-|---|
lecola lo n c et le	-|--||--⌫-⌫|-|-|
liloulen prom ist	-|--||-|----⌫--|
grantlui er	----|---⌫-|
lagrue lance sonbec a uant	-|---|----|--|--|-⌫---|
dedens lagoule au	-----|-|----|-|
malfaisant	---------|
l o se n a traitpuislirequist	|-⌫|-⌫||----|---|-|------|
que sa promesselefe ist	--|-|-------|-|--⌫--|
li leusli dist par ma utalent	-|---|-|---|--|--⌫------|
etaffermaparsei reme nt	-|------|--|---⌫----⌫-|
quili sambleetuer itezfu	-||-|-----|-|---⌫---|-|
loierauoit	----|----|
quant s ateste	----|-⌫|----|
en sabouc he mist	-|-|----⌫-|---|
qu ilnel estrangla et oc ist	-|-|-||--------|-|--⌫--|
dis til foleprouee	---⌫|-|---|-----|
quantdemoi	----|-|--|
iezuiueeschapee	--|---|-------|
quantturequierslaut r e	----|-|-------||---⌫-⌫|
d etachar aigra ntdesirier	-⌫|-|---|-|---⌫-|-------|
m oiquisuizsostiengiepor	-⌫-|--|---|--|----|-|--|
quantmes densnetrancha	----|--|---|-|------|
autresiestd e m alsignou r	------|--|-⌫|-⌫-|------⌫|
sepoureshomlifa ithonour	-|-----|--|-|--⌫-|-----|
et puisde mantsongueredon	-|---|--⌫---|--|-------|
ia nenaurase malgre no n	-||-|---|-|--|--|--⌫|
porcequeilsoiten	--|-|--|-|---|-|
me rcierled oitde sauie	--⌫----|-|-⌫--|-|-|--|
d unelisseuosue ilconter	|--|----|--|--⌫-|-----|
estoitdechaeler	-----|-|------|
maisnesetou estrep eus t	---|-|--|-|----|-⌫---⌫|
nese scheau sme ttre	-|--⌫|-----⌫|--⌫---|
a z zautre lisse	|-⌫|----|----|
qu ea sonostel	--⌫||--|----|
l asouffris t	-⌫|--------⌫|
tantque leeustchaielé	---|-|-⌫-|---|-------|
m olt lensar oit cedistbon gre	-⌫--||-|---⌫--|-|---|--|--|
tantlia requis	---|-||-----|
et proi e ́	-|----⌫-⌫|
que celeli	--|---|-|
quele ot eu	-|--|-|-|
etespanislesoutetbiaus	-|------|--|--|-|----|
cele quil ios tez estoit	---|--|-⌫|--⌫--|-----|
p arauss ou ant dammage a uoit	-⌫-|--|-⌫--⌫--|------|-⌫---|
desamai sonl es reuue issi r	-|-|---⌫--|-⌫-|----|----⌫|
nele s iueu tmaiscon sent ir	-|--⌫||---⌫|---|---⌫----⌫-|
la utrese prista de menter	|-⌫---|-|----||--⌫-----|
que l e neset	-|-⌫-⌫|-|--|
quelpart ale r	---|---|---⌫|
yuers estoitporlafroidor	----|-----|--|-|------|
morroitlahorsa grantdolor	------|-|---||----|----|
dont lipriaparcharite	---|-|---|--|------|
queleshe rbertiusqu anl	--|--|--⌫----|----|-||
celeotdeli moltgrantpiti e	---|-|-|-|---|----|----⌫|
sil iaei nsioutr oié	-|-⌫||--⌫--|----⌫---|
quantl e biautensuitreuenir	----|-⌫|---|---|--|------|
reuue fors iss ir	----|---|---⌫-|
lau t reconmencaai ur er	|--⌫-⌫-|-------||-⌫--⌫-|
sei ama i slen	-|-⌫---⌫-⌫||-|
oioitparler	----|-----|
quesichael lestr engler oi ent	--|-|----||----⌫------⌫--⌫--|
et forsaluis labouteroien t	-|---|||--|-|----------⌫|
etaforceierten	-||----|---|-|
s ama ison	-⌫|--⌫---|
o ntm isesensraison	-⌫-|-⌫--|---|-----|
c estexemple	-⌫--|------|
pouezueo ir	----|---⌫-|
etparmaintp rodommesauoir	-|--|----|-⌫------|-----|
quepa rbo n tedeson	--|--⌫|--⌫-⌫-|-|--|
est ch aciezdesonh eritage	--|--⌫----|-|--|-⌫------|
quifo lhomme	--|--⌫|----|
as oiaqueut	|-⌫-|-----|
nesenpartmieq u an t	-||-|---|--|-⌫-⌫--⌫|
dunesouris uilainne	|--|-----|-------|
quiaautresouris	--||----|-----|
u ol oitalerpor dep orter	-⌫--⌫--|---|--|---⌫----|
parmi zzboisl estu tpa sser	----|-|---||----⌫|--⌫---|
boislianuita	---|-|-----|
unehuillote ille uct r oua	--|-------|----⌫-|-⌫-⌫--|
so urisd e boiso t fait e	--⌫---|-⌫|---|-⌫|----⌫|
etsaui andeil euc a traite	-|-|--⌫---|--⌫--|-⌫-----|
la sourisde uiledemande	-|-----|-|---|------|
silo tilleucpo intdeuian de	|-|-⌫|-----|--⌫--|-|----⌫-|
celerespontienaiassez	---|------||-|-|----|
uenezauantsilaueez	----|----|-|-|---|
saui eezorplusdec on pangnie	|---⌫--|-|---|-|-⌫--⌫------|
si seriez uousbienser uie	-|-----|---|---|---⌫--|
q uante le	-⌫---|-⌫-|
otpiece illeucesté	-|----|-----|----|
e t asaconpaingn e	-⌫||-|---------⌫|
distq ueseses tresestmaluais	---|-⌫-|--|--⌫---|--|------|
etqueniueut demourer	-|--|||---|-------|
olisenuiengn e si aura	|-||-|------⌫|-|---|
riche s salesque	-----⌫|----|--|
b eles desp ences bia x ce liers	-⌫---|----⌫----|---⌫|--⌫----|
etbiax boiresetbiax meng iers	-|---|-----|-|---|----⌫---|
c el elacro it o li	-⌫--⌫|-|---⌫-||-|
ens ri chessalesen mena	--|--⌫---|----|-|---|
si l i amonstrésesselie rs	-|-⌫||-------|--|-----⌫-|
se sdespensesets es greniers	--⌫|--------|-|-⌫-|-------|
plent edefarineet demiel	-----⌫|-|-----|-|-|---|
cele quideestrebien au ciel	---|----|----|---|-|---|
maisor uenraliboutelliers	---|-|----|-|----------|
q u i entre ruourraenceliers	-⌫-⌫|-----⌫|-----|-|------|
sit ost c onilo uurir ent luis	-|-⌫--|-⌫-|-|-⌫-----⌫--||--|
les souris fuient	--|-----|-----|
enspertu is	--|-----⌫-|
laboscagefu	-|------|-|
sauoitm ie	-----|-⌫-|
quantci lissiren t dou celie r	----|--⌫|-------⌫|--|-----⌫|
lessouris reuin rentm engier	--|-----|-----⌫---|-⌫-----|
cel e f u m orne et endo ulour	---⌫|-⌫|-⌫---|-|-|--⌫----|
mortoteu paour	---|-|-|----|
saco npaingne laresgard a	-|--⌫-------|-|-------⌫|
pargra ntdouceur laraison na	--|---⌫-|------||-------⌫-|
que l sa mblant fai s	---⌫|--⌫-----|---⌫|
madouceammie	-|----|----|
i esuis faitel emolt	-⌫|---|---|--⌫|---|
pour la paou rque i	---|-|----⌫|--||
mol tme poiseque t	---⌫|-|----|--||
tumeco ntoies	-|-|--⌫-----|
maisdet onmal nedeisrien	---|-|-⌫-|--|-|---|---|
orastu paour d elagent	-|-|-|----|-⌫|-|---|
dechasd oisiaxtout	-|---||-----|---|
dautresauentures en r ecoi	|-----|--------|-|-⌫---|
et d es engins confait	-|-⌫-|-----||-|---|
ein sisauint cu ncersbeuoit	---⌫--|----||-⌫|---|-----|
aune yau equesoif	|--|---⌫|--|---|
garda dedenssescorn esuit	----|-----|--|----⌫-|--|
asoimeis mesl	|--|----⌫--||
que nulebest e	--|---|----⌫|
nel ualoi t	-||-----⌫|
ne sibeles cornesn	-|-|----|-----||
tant attandiasoiloer	---|------||--|---|
etasescornes	-||--|-----|
es g arder	--⌫-⌫----|
qu i luit ueniryychiens	-|-⌫|--|----|-|-----|
etlo rmestres apres c ornant	-|--⌫|------|----|-⌫-----|
a pres lu iuinrentsicrioie nt	-⌫---|--⌫|------|-|------⌫-|
porcequepenre le uoloient	--|-|--|----|-|-------|
o uboiss en	-⌫|---||-|
fuittous e sm aiez	---|---|-⌫--⌫---|
par sesco rnesest	--|--|--⌫---|--|
en zz bois son	-|-|----⌫--|
estre tenus	--|--⌫----|
esuousleschi ens a	-|---|--|---⌫--||
quant il lessentsiapro chie r	----|-|--|---|-|----⌫----⌫|
s ise conme nce	-⌫|-|-----⌫--|
a desrainier	|---------|
uoirsest dist i l quelih om dist	----|--|---|-⌫|--|-|-⌫-|---|
ques orcudie r aplusorsnuist	--|-⌫-------⌫||------|----|
homme conteliescris	----|----|-|-----|
quiestoitmorsete n fouis	--|-----|---|-|-⌫-⌫----|
sa fammemainneg rantd olour	-|----|-----|-⌫---|-⌫----|
d essuslatombes onsigno ur	-⌫----|-|----|-⌫-|-----⌫-|
pres dil euc auoitz zlarron	---||--⌫--|----|-⌫|-----|
quiiertpa ndu sparmespr ison	--|---|--⌫---⌫|--|-----⌫---|
p erla contreefu crié	-⌫-|-|------|-|----|
larro nauroitosté	-----⌫|-----|----|
son iugementmeismeauroit	--|-------|-----|-----|
si liert a t ains pe ndusseroit	|-⌫|---|-⌫-⌫---|--⌫---|-----|
zzc heualiersledespendi	-|-⌫--------|-|-------|
sesparens fu	--|-----|-|
silenf ou i	-||---⌫--⌫|
lor nesot il c onseiltrouuer	--|-|--|-|-⌫-----|------|
c onmentse n poui st	-⌫-----||-⌫|----⌫-|
car ceu siert de	--|---⌫|---|-|
maintege nt	-----|--⌫-|
q uil l et eno it	-⌫|-|-⌫|-⌫---⌫-|
por son parent	--|--|-----|
aucimistereu a	-|--------|-⌫|
laou laprode	-|-|-|----|
fammeestoit	----|-----|
quison signor ottant	--|--|-----|-|---|
c o intemen taa l iparlé	-⌫-⌫-------⌫|||-⌫|-----|
dist liqu ele se	---|-|-|--|-|
conf ortast	----⌫-----|
m o ltsero itliez c elelamast	-⌫-⌫-|----⌫-|---||--||----|
la prodefem melesgar da	-|----|---⌫-||-----⌫-|
g r an tioie	-⌫-⌫--⌫|---|
fi stsiotr oia	--⌫-|-|---⌫--|
quele feroit s auol ent e	-|--|-----|-⌫|---⌫---⌫|
li cheualiers l i a cu n té	-|---------|-⌫||--⌫-⌫--|
quemo ltliest	--|--⌫-|-|--|
decellarronquot	-|--|-----|-|-|
des pend u	---⌫----⌫|
ai ncsesetco ns oil donner	--⌫-|-|--|--⌫--⌫--|-----|
h orsdoupaisl	-⌫--|--|---||
esteut aler	-----|---|
fammer es pondi	----|-⌫--⌫----|
monb a rondesfouions d ici	--|-⌫-⌫--|---------||--|
sile pen don sla ouil fu	-|-|---⌫---⌫|-|-|-|-|
se nie rtiamaisaperce u	-||--⌫-|-----|------⌫|
de li urerdoit onpor lemort	--⌫--⌫---|---|-|--|-|---|
leuif dontona tantconf ort	-|--|---|-|-⌫---|----⌫--|
par icestesenefiance	--|-----|---------|
peut onentandrequel	---|-|-------|---|
doiuenta uoir	------|-⌫---|
limo rsauuif	-|--⌫-|-|--|
etunchien senc ontrerent	-|-|----||---⌫--------|
boi sou il a lleren t	---⌫|-|-|-⌫------⌫|
li leus ale chien esgardé	-|---||-|----|-------|
f re re faitilmolt iestes	-⌫--⌫-|---|-|---|-----|
etmolt es t luisans	-|---|--⌫|------|
uostrepiax	-----|---|
li chien srespont cestue r itez	-|-----⌫|------||--|--⌫-⌫---|
ie meniue bien s en aias sez	-|-----|---||-|-|--⌫--|
etsouefgisquantpleutleiou r	-|----|--|----|----|-|---⌫|
pardeua nt	--|----⌫-|
lesp iezmon signour	--|-⌫--|--|------|
etchascuni ourrunges esos	-|------|-⌫--|----|-⌫-|-|
dontiemefaset grasetgros	---|-|-|--|-|---|-|---|
uol ez o moiue nir	---⌫-||--|--⌫--|
etuos iuoulezobeir	-|--||-----|----|
si coniefaisassezaurés	-|--|-|---|----|-----|
pl usuiandeq ueneuourrez	--⌫-|-----|-⌫-|-|------|
si fera iuoirlileusrespont	-|----⌫|---|-|---|------|
lorssacon p a in gnentsi s enuont	---||----⌫-⌫-⌫--⌫----|-||-|---|
ainsquauilefussentuenu	---|-||---|------|---|
gardali leussia	----|-|---|-||
con l ich iensportoit son	--|-⌫|--⌫---|------|--|
uoit tr ain er	---|--⌫---⌫-|
f rerefait ilmerueoi lleuoi	-⌫---|---|-|-------⌫--|--|
mes ienesai coi	--|-|-|--|--|
lic hien s	-|-⌫----⌫|
respontcestma	------||--|-|
lo ieso rsemeinn e	--⌫-|--⌫|-------⌫|
car moltso uant la g entmordr oie	--|---|--⌫---|-|-⌫--|-----⌫--|
pluseursg e ns meffe roie	-------|-⌫-⌫-|-----⌫---|
qu emes siresueu t gar entir	--⌫|--|----|---⌫|---⌫----|
mefaitlaiens	-|---|-----|
lanu ituois e ntour	-|--⌫-|---|-⌫----|
la mais on	-|----⌫-|
queni appro chentlilar ron	--|||-----⌫----|-|---⌫--|
questdistlileus	-|--|---|-|---|
estilein si	--|-|---⌫-|
qualerne peusfo rs	-|---|-|---|--⌫-|
iemen irai	-||-|---|
tu remanras	-|-------|
lachaien ner eporte ras	-|------⌫-|-⌫------⌫--|
miexueil e st relous	---|---|-⌫--⌫-|---|
quenchain ezrichement uiure	-|-------⌫-|--------|----|
quanten cor ipuis	----|--⌫--||---|
es tre ein cois	--⌫--|---⌫---|
ua ala uile etieau	-||-|---|-|-|-|
parlachaienneestdeparti e	--|-|-------|--|-------⌫|
lorammoretlorconp aingnie	--|----|-|--|----⌫------|
dunh omm euei liciconte r	|-|-⌫---⌫|---⌫|--|-----⌫|
etzze x emple demo nst re r	-|-|-⌫-⌫----|----⌫---⌫--⌫|
mainsconteetdes espies	----|----|-|-|-⌫-|---|
uers sonuentr e quetout	---|--|-----⌫|--|---|
q ueila massa	-⌫-|-|-⌫----|
d o ntilneueu tplus traueillie r	-⌫-⌫-|-|-|---⌫|---|----------⌫|
sil itolirentlemengier	-|-⌫|-------|-|------|
maisquan tli uent resieuna	---|----⌫|-|----⌫--|----|
hasti uementafoibloia	-----⌫-----|--------|
etmainsetp i e z quilnepouoie nt	-|----|-|-⌫-⌫-⌫|-|-|-|------⌫-|
sitrauei llie rc on	-|------⌫----⌫|-⌫-|
ilsouloient	-|--------|
quant lagr ant foib lece senti	----|-|--⌫--|----⌫---|----|
m engieretbo iure auue ntreoffri	-⌫-----|-|--⌫---|-|--⌫---|----|
mais tr op lorentfai tgeunner	---|--⌫-||----|---⌫|------|
si quene pot	-|--|-|--|
deriensgouster	-|----|------|
liuen tres re u intanoient	-|---⌫---|--⌫-⌫--||-----|
et piez etma ins tou t	-|---|-|--⌫--|---⌫|
cestexemple peut	---|------|---|
etchascunsho mpeutbien sauoi r	-|-------|--⌫|---|---|-----⌫|
nus nep eutmiea uoir honnor	--|-|-⌫--|--|-⌫---|-----|
s onsig nor	-⌫-|---⌫--|
nelisirestout	-|-|----|---|
puisquil ueille	---|-|-|-----|
ho nnir sag ent	--⌫---|-|-⌫--|
seliuns alautr eafailli	-|-|--|||----⌫||-----|
e mbeduise rontmal bail li	-⌫-----|--⌫---|--|----⌫-|
singe distqui demanda	----|---|--|------|
azzg ou r pil	|-|-⌫--⌫-⌫--|
qu ilencontr a	-|-|-------⌫|
q ue de sa coue lidonnast	-⌫-|-|-|---|-|------|
sillipleust	|-|-|-----|
oulen prestast	-||-|-------|
a uis lifuquetro p lotgrant	-⌫--|-|-|--|---⌫||-|----|
que toutcou ésont	--|---|---⌫-|---|
l igourpis	-⌫|------|
liadist quedoit	-||---|--|---|
qu esa coueli dema ndoit	--⌫|-|---|-|----⌫----|
l i singesdist ce	-⌫|-----|---|-|
neuousenestnoi entdepis	-|---|-|--|---⌫--|-|--|
enuoli ez zzpoud onner	-|----⌫-|-|--|-⌫----|
quele uosnu ist a	-|--|--|--⌫--||
dist ligourpis	---|-|------|
neuosen chaut	-|--|-|----|
cester equeste	----|-⌫------|
pouuosuaut	--|--|---|
iade macoue q uie st grant	-|-|-|---|-⌫-|-⌫-|----|
naronthonnor liuostre e n fant	|----|-----|-|-----|-⌫-⌫---|
e naut reregneen	-⌫|---⌫-|----|-|
autre ge nt	----|--⌫-|
les requerezapertem en t	--|-------|-------⌫--⌫|
cestexempleporceuos	---|------|--|-|--|
