me conmandee t prie	-|-------|-⌫|---|
centdeh ais	---|---⌫--|
ait qu iprim es	--|--⌫|----⌫-|
que n luieust bonch eualier	-|-⌫|--|---|--|--⌫------|
atantseuaitaparellier	----|-|---|---------|
aso nos telmoultricement	|--⌫|--⌫--|----|-------|
q ua nt armésfudeliurement	-⌫--⌫-|-----|-|----------|
sor le bonceu al estmo ntés	--|-|--|---⌫-|--|--⌫----|
puisestu grant ceminentrés	---|--||----|----|------|
pa rulicheualierss enua	--⌫||-|---------||-|-|
deuant lui aterree sgarda	-----|--||----|-⌫-----|
s ien ac oisiles esclos	-⌫|-||-⌫---|--|-----|
atantse metesgransga los	----|-|--|-|----|--⌫--|
por ataindrele er ranment	--|-------|-|--⌫------|
not pasce uauciélo ngem ent	|-|--|--⌫------|--⌫----⌫--|
q ua ntuntertreleuit	-⌫--⌫-|-|-----|-|--|
ilconmenca a	-|-------||
estéses téssireuas s al	-----|--⌫---|---|---⌫-⌫-|
laet leceual	-|-|-|----|
en menr aiio uensanle	-|----⌫-|--⌫|------|
et uostre cors rendrai	-|-----|---|------|
del toutsaiust ise	--|---|-|----⌫--|
p uceleprise	-⌫----|----|
deuant luisiestoutement	-----|--|-|----------|
se mortu pris neuo us e n	-|---||---|-|--⌫-|-⌫|
iene me prisunep rounele	-|-|-|---|--|-⌫------|
cild e scendiladamoisele	--|-⌫-⌫-----|-|--------|
siguen ciariere sonfr ain	-|----⌫-|-----|--|--⌫--|
di testcegau ai n	--⌫|--|-|---⌫--⌫|
qui ci mes uitsix xx	--|-|-|-⌫--|-|-⌫-|
nenil f ait ilancois suikes	----|-⌫--|-|-----|--|--|
lisenes cax	-|-----⌫--|
leroi artur	-|--|----|
orefaitcil a maleur	--|---|--||--|--|
queuo us nedem andoiemie	--|--⌫-|-|---⌫-----|--|
delauos trecheuale r ie	-|-|---⌫--|-------⌫-⌫-|
nestpasgranslelosen	|--|--|----|-|--|-|
lor suali unsl autrereq uer re	---⌫|-|-|--||----|---⌫---⌫-|
konques nio t autretenco n	|-----|||-⌫|----|-----⌫|
kexl eferi tou ta bandon	--|-⌫|---|---⌫||-----|
bo ucledelescu	--⌫---|-||---|
questrouéliaet f e ndu	-|-------|-||-|-⌫-⌫--|
maislih aubersle ga ranti	---|-|-⌫-----|-|--⌫----|
onques maillen e ndesmenti	-----|-----||-⌫|-------|
enp aint biens alancefr ous c e	---⌫---|---|-⌫|----|--⌫---⌫-⌫|
c ilferiluipartela ngousce	-⌫-|---|--|--|--|-⌫------|
quel abatlui	--||---|--|
e ts onceu al	-⌫|-⌫-|---⌫-|
elpendantdunual	-|------||-|--|
quim oul t fuqua isci éset	--|-⌫---⌫|-|---⌫----⌫--|-|
ses destresbrasl ifu	--|------|---|-⌫|-|
parentrel es paul e etl ecoute	--|----||--⌫----⌫|-|-⌫|----|
liceuaxsaut	-|----|---|
sus sis xxx	--|-||--|
ceminpar u	----|--||
keunu lpl a it	--|--⌫|--⌫-⌫-|
ainsl ela i sca	---|-⌫|--⌫-⌫--|
iluecgisant	----|-----|
alapuce leuinterra nt	|-|----⌫-|---|----⌫-|
sil a re m otedeu ant lui	-|-⌫|--⌫-⌫--|---⌫--|--|
belefait il sicomiecui	---|---|-|-|--|-|--|
danskexneuouse nmainep as	---|--|-|---|-⌫|----|-⌫-|
lorss enuait	---||-|---|
uerslebo slepas	---|-|--⌫|-|--|
demena ntgrantioie asamie	------⌫-|----|---|||---|
a uroi etasa	-⌫|--|-||-|
conpa i gnie	-----⌫-⌫---|
mec onuientdes o r	-|-⌫------|--|-⌫|
quiencor seoitaume ng ie r	--|----|----|-|--⌫--⌫--⌫|
de l auenturemoultp ensis	-||-------|----|-⌫----|
uoian ttox	-----⌫|--|
aunco utelpris	|-|--⌫---|---|
sil aficié parm iun pain	-|||-----|----⌫|-|---|
puisiapoiasi samain	---||----|-|-|---|
que lec outelfroisca endox	--|-|-⌫----|------|-|--|
de s cheualiersne	--⌫|---------|-|
enquere etdemander	------|-|-------|
seull o ccoiso n de son penser	---||-⌫------⌫|-|--|-----|
etlirois s	-|-|---||
es taperceu	--⌫|------|
et set deu oirqu	-|--|-|-⌫--|-|
coutiaxfufroi scié s	------|-|----⌫-----⌫|
segnorfaitmoul t sui iriés	-----|---|----⌫|--|-----|
decestemesestancedui	-|----|---------||-|
sin aigren gnor anui	-||-|----⌫---|---|
por lam es pro ison	--|-|-⌫--⌫---⌫---|
iecuidoie estr e biencertain	-|------|----⌫|---|------|
eusceiaenconbrier	----|-|---------|
par lecorsd unseu l	--|-|---||-|---⌫|
cheua lier	-----⌫---|
dontgauai nsne medesfe ndist	---|-----⌫-|-|-|-----⌫----|
ets a unautrea uenist	-|||-|----|-⌫-----|
qui lapucele en g ardeeust	--|-|-----|-|-⌫---|---|
par mauuaistieque enlui fu st	--|---------|--|-|--|--⌫-|
queiln el osastpasdesfendre	--|-|-⌫||----|--|--------|
si deust biengauain senp r endre	-|----|---|------⌫|---⌫-⌫----|
adesfendrelaporm onor	|--------|-|--||---|
moultme po isequa si bo n ior	----|-|--⌫--|-||-|--⌫|--|
men estte lanu iauenu	|-|--|--⌫|---⌫|----|
dontlidist ide rs	---|-|---|---⌫-|
sirefait i lne	---|---|-⌫|-|
uouscremé s	---|------⌫|
li senescaxiest al és	-|-------||--|--⌫--|
quibi enuengeracestehonte	--|--⌫-|------|----|----|
etlir oisdistce	-|-|-⌫--|---|-|
orcroistetdouble mon anui	-|-----|-|-----|--|---|
tanta grant	---||----|
prouece en cel ui	------|-|---⌫-|
ettantestfors et so rq uidiés	-|---|--|---|-|--⌫--⌫------|
que iapar keuner t d amagiés	--|-|--|--||--⌫|-⌫-------|
moultipuetauoiruaselage	----||---|----|-------|
onquesmais ent outmoneage	-----|---|-|-⌫--|--|---|
plusoutrage x deluine ui	---|-------⌫|-|--|-|-|
etga uainsdist siremerci	-|--⌫----|---|---|----|
uousauésdituostreplaisci r	---|----|--|-----|-------⌫|
maisie ne ueulpas tresailir	---|-|-|---|--|--------|
letableaum engie	-|----|-|-⌫----|
i en cremisc eauoirreprouier	|-|-------⌫|----|--------|
se ieleuscetresaillie	-|-||----|---------|
tantestes de grant	---|----|-|----|
ettan t uousadixfaithauthome	-|---⌫|---||--|---|---|---|
que se l enpereor de	--|-||-------|-|
uou s uenoitcaiensmanecier	---⌫|-----|-----|-------|
po rquoi sei sciésaum engier	--⌫|---|---⌫-----|-|-⌫-----|
ne maisquepis ne	-|------|--|-|
queiaporcose	--|-|--|---|
quild ei st	-|-|-⌫--⌫-|
nesendeuroitnusdesrengier	-||-|------|--|---------|
etquantiluendro it apre smengi er	-|----|-|------⌫-|----⌫|-----⌫-|
c il qu iuousplai roit	-⌫-|--⌫|---|----⌫---|
aqui lacos een aferroit	|--|-|---⌫|-|-------|
uengi eruo stre anui	-----⌫-|--⌫---|---|
iesentmonceual a si buen	-|---|--|----||-|---|
que i el a raimoulttost	--|-⌫||-⌫--|----|---|
ne cuidié spas queil	-|-------⌫|--|--|-|
ladamoisele sanscalonge	-|--------|---|------|
iapui sdixhonorn e	-|---⌫|--|----|-⌫|
quantonques	----|-----|
p arell elaiscai	-⌫-|-|-⌫|------|
e tsederie nsmespr i s e nai	-⌫|-|-|---⌫-|-----⌫-⌫|-⌫|-|
iesuitoxpres deladrecier	-|--|--|---|-||-------|
at ant e s tleuésdumangier	--⌫--|-⌫-⌫|-----|-|------|
sia ses arme sd emandees	-||--|----⌫|-⌫-------|
doiualletl i ont	--|-----|-⌫|--|
aport ee s	-----⌫--⌫|
ilsestmoultuist ement	-||--|----|----⌫----|
puisest u bonceual mon tés	---|--||--|----|---⌫---|
qonques estrier	|-----|------|
il ason escupris	-||--|---|---|
et onliotbailli é	-|-|-|-|------⌫-|
deler rerse hasteetauance	-||--⌫--|-|----|-|-----|
gauainserre ue rslaforest	------|---|--⌫-|-|-----|
agrantmeruell e li des plest	|----|-------⌫|-|---⌫----|
quantilneluoitn elonc ne	----|-|-||---|-⌫|---|-|
atant espoignant a esles	----|-|-------||----|
le de strierkeu lesenescal	-|--⌫-----|--|-|-------|
ga u ainsconnutbien leceu al	--⌫-⌫---|-----|---|-|---⌫-|
se lsaisi audes t roitd unmont	-||----|-|---⌫-⌫---||-|---|
au quesote scorcié le front	--⌫---|-|-⌫-------|-|----|
sique toxior sueno it s a inn ant	-|--|--|---⌫|----⌫-|-⌫-⌫---⌫--|
larcondela	|----|-|-|
selede uant	---|--⌫---|
ot toutquasséete sm ii e ́	-|---|------|-|-⌫--⌫--⌫-⌫|
sotlefra in	|-|-|---⌫-|
rou te tdepeci é	---⌫|-⌫|------⌫-|
siq ui ln iotforslaceuece	-|-⌫|-⌫|||-|---|-|-----|
dixdistgauains sigrantprouece	--|---|------|-|----|------|
ot cilq ui	-|--|-⌫-|
siuousabat i	-|---|----⌫|
decoufuauques amati	-|--|-|-----|----|
crientquil	-----|-|-|
nesoitm orsupris	-|---|-⌫--||---|
adixdist il ta ntai	|--|---|-|--⌫-|-|
estwi mesauenu	--|-|-------|
quant pa r moialir oisp erdu	----|--⌫|--||-|-⌫--|-⌫---|
le cheuali e rqu il amoit tant	-|-------⌫-⌫|-|-|----|---|
il mert tox io rs mais	-||--|--|--⌫-|---|
mis d euant	--|-⌫----|
ent oxlius u	-|-⌫-|---||
i eretrouué	|--|------|
s imer tlaidementreproué	-⌫||--⌫|--------|-------|
ienedipasquecesoit	-|-|-|--|--|-|---|
i lestparmadefau te mors	-⌫|--|--|-|-----⌫-|---|
quil apucele enga rdeauoi e	--|-⌫|-----|-|--⌫--|----⌫|
lors ga rdeloinsenmilauoie	---|--⌫--|----|---|-|---|
ace grantduelqueil	|-|----|---|--|-|
u oit keu leuerquelquepainne	-⌫--|--|----|------|-----|
delaucil lauoi tlaiscié	-|-||--||----⌫|-------|
leceualeslais cié	-|----|------⌫---|
uenus poignan talui	----|-------⌫||--|
il deuo st r e anui	-|-|--⌫--⌫-⌫|---|
su i moultdolans e t abosmés	--⌫|----|-----|-⌫|-------|
c ar ied o utque	-⌫-|-|-⌫-⌫-|--|
uous meretés	---|-|-----|
quilu ous s oitpar moi	-|-|-⌫--|-⌫--|--|--|
m aluais k ex liares pondu	-⌫-----|-⌫-|-||---⌫----|
o r auenuspar	-⌫|-----|--|
m oultes t esf ierset o rgellox	-⌫---|--⌫-⌫-|-⌫---|-|-⌫------|
dedans la can breleroine	-----|-|---⌫--|-|----|
nestmi ep oure	|--|--⌫|-⌫---|
nef rarine	-|-⌫-----|
cel e acui uo usdegnie ́s parler	---⌫||--|--⌫-|------⌫-|-----|
qui al ec uousorroituanter	--|--⌫-|---|-----|-----|
de hardement ne deprouece	-|--------|-|-|------|
ne diroitpas que	-|-----|--|--|
parp erec e	--|-⌫----⌫|
parm auu aistieneparsoufraite	--|-⌫---⌫-----|-|--|--------|
qu i soitenu ousfusta uroi	--⌫|---|-|-⌫--|---|-⌫|--|
parl ec orsd unse ulch eualier	--|-⌫|-⌫--||-|--⌫-|--⌫------|
tel uilenieaso nmengier	--|------||--⌫|------|
m oultuousai	-⌫---|---|-|
wiueuresti f	-|--|-----⌫|
sire faitgauainspas n est rif	---|---|------|--||---⌫--|
queienenaiem oul tmes pri s	--|-||-|--|-⌫---⌫|---⌫---⌫|
maisiaiciuostre	---||-|-|-----|
si i montésseil uou s plest	-||------|-|-|---⌫|----|
e tiouirai uerslafore s t	-⌫|--|---|---|-|----⌫-⌫|
p or pa r siure	-⌫-|--⌫-⌫----|
lecheualier	-|--------|
qu ilmestueten	-|-||-----|-|
oi re uengier	--⌫-|------|
legrantan uique il	-|----|--⌫-|--|-|
et kexli distcent deh ai s	-|--|-|---|---|---⌫--⌫|
qu iiadeuosmains	--⌫|-|-|--|----|
nequiia tantuous	-|--|-|---|---|
uous doienulgueredon	---|---|--|-------|
g aua ins not soin gdesa	-⌫---⌫--||-|----⌫|-|-|
sel loialeslui a	-||---|--|--||
puisuaituers	---|---|---|
leforest lessaus	-|-----|--|---|
etlesgrans gal osenforciés	-|--|----|---⌫-|---------|
m e sirekexseste sforciés	-⌫|---|--||--|-⌫--------|
t an tqueil ui nta	-⌫--⌫---|-|--⌫-||
puis laco s tadeu ers leual	---||---⌫-⌫-|---⌫--|-|--|
a quelquepain neiestmon tés	|------|----⌫-||--|---⌫---|
siestensonpais ale ́s	-|--|-|--|---|---⌫-|
atoutsa grant	----|-|----|
m ala uen tur e	-⌫---⌫---⌫---⌫|
et gauains sui t gr antaleu re	-|------|---⌫|--⌫--|----⌫-|
le cheualier	-|--------|
quioirr e aplain	--|----⌫||----|
passélplain	-----||----|
etfuenla forestentrés	-|-|-|-|-----|------|
qu ant apre slui	--⌫--|----⌫|--|
fuaroute ́s	-|------⌫-|
s ouentrelui	-⌫------|--|
une gr antpie ceissierra	--|--⌫--|---⌫-|---|---|
p resneloing	-⌫--|-|----|
agr an t besoing	|--⌫--⌫|------|
detroisd amoiselesl ecri	-|----|-⌫--------|-⌫|--|
qu idissoie ntadixmerci	--⌫|-------⌫-||--|----|
icescaitiue s quefe ront	---|-------⌫|--|--⌫---|
quanttout elaioiedumont	----|----⌫|-|---|-|---|
estwicestio rt orneee n ire	--|-|---|--⌫|-⌫----|-⌫|--|
