qui ueu th enor	--|---⌫|-⌫---|
s ifont por soltantquelendie	-⌫|---|--|--|---|--|--|--|
qu il m e inenthon este	-|-|-⌫-⌫----|---⌫---|
se uontglo refiant	-|---|---⌫------|
d elbi enq ue il	-⌫-|--⌫-|-⌫-|-|
poi suntorendreitgent en uie	--|---|--------|---|-|--|
quisoientnetdipocrisie	--|-----|--||--------|
mesqu iaceste setendreit	--|--⌫||----|-|-------|
etdesautresse gardereit	-|--|-----|-|--------|
siporreitue nir	-|------|--⌫--|
seig norspa r bu e ne	----⌫---|--⌫|--⌫-⌫-|
en t en c ion	--⌫-⌫--⌫-⌫--|
faiteslebienque	-----|-|---|--|
uos fereiz	--|-----|
etboenloierenreceureiz	-|---|----|-|--------|
q uedexelcieluosenr endra	-⌫-|--|-|---|--|-|-⌫----|
et lisoenloier mielz	-|-|---|----|----|
quene f et lelo s dela	--|-|-⌫-|-|--⌫|-|-|
quiest alezen un m oment	--|--|---|-|-|-⌫----|
lilos decest siecle poiua ut	-|--|-|---|-----|--|--⌫-|
quiensem ble c omence	--|-----⌫--|-⌫-----|
tellosd eitlenquerre	--|--|-⌫--|--|-----|
et quel lir	-|----⌫--|
quiunq ues	--|---⌫--|
nepuissefallir	-|-----|-----|
etquetozcels sache ntqui sunt	-|--|--|---|-----⌫-|--|---|
et qui furent	-|--|-----|
etquiseront	-|--|-----|
dex nosdont ic ellos conquerr e	--|--|---|--⌫-|--|--------⌫|
quelecielg ouuerneetl at erre	--|-|---|-⌫------|-|-⌫|-⌫---|
quio deuse	--||--|-|
ueutbie n tenir	---|---⌫|----|
nestrienqui lipui ss enoisir	|--|---|--|-|---⌫--⌫|-----|
quifermementsi	--|--------|||
prentet tient	----|-|----|
tote p r osper ite li uient	---|-⌫-⌫-----⌫--|-|----|
seur aut et seu r	---|--|-|---⌫|
n aitporquil l imes aui enge	|--|--|-|-|-⌫|---⌫---⌫---|
un sai ueshomdi stasonf ilz	-|---⌫--|--|--⌫-||--|-⌫--|
fi lzegardecomliformiz	--⌫-|-----|--|-|-----|
porchace so n uiure eneste	-------|--⌫|----|-|---|
qu eenhiuerena plente	--⌫|-|----|-||-----|
soiessagesetgarnis	----|----|-|-----|
sicomeli formi zgarnistsei	-|---|-|-----⌫|------|--|
quilnet aui engeautr esi	-|-|-||---⌫---|----⌫--|
comau cre quetquia u form i	--|-|---⌫---|--|-⌫|----⌫|
par besoingenhyu er ala	--|------|-|---⌫-|--|
s onbleli dem anda	-⌫-|--|-|---⌫---|
distleformi zcee st a bet	---|-|-----⌫|-|-⌫-|-⌫--|
ormedites sire	-|-|----|---|
dontu osseruiez en este	---|-⌫-|------|-|---|
quant iep orchacei eleble	----|-|-⌫--------⌫|-|--|
cedis t le	-|---⌫|-|
cre quetiechan toue	---⌫---|-|----⌫---|
sorm afosseet	--|-⌫|----|-|
me delitoue	-|-------|
nauoiegardeneporp ens	|----|----|-|----⌫--|
queiamesfausist celbel tens	--|----|------|--|--|---|
sir ecrequetd istliformiz	---⌫|------|-⌫--|-|-----|
uo s entendiezas dedui z	--⌫|--------|-|-----⌫|
alesbanei er	||-------⌫-|
etieauforment porchacier	-|-|-|------|---------|
dont ieui ur aiorca dede nz	---|-|--⌫--⌫-|-|-|----⌫-|
es uozenaureiz fa in as de nz	-|--|-|-----|--⌫-|-|--⌫-|
gartorchescun cequ	---|-|------|-|-|
biensaiquequime	---|--|--|--|-|
quemedesgarnisse por uos	--|-|----------|--|--|
nestpa sdemon	|--|--⌫|-|--|
bien ge los	---|--⌫--|
en cordi stlepere asonfil z	--⌫--|--⌫-|-|---||--|---⌫|
n eseiespasfilzen dormi z	-⌫|----|--|---|--⌫-----⌫|
ue iz de l cocq uiau matin	--⌫-|--⌫|--|-⌫-|-|----|
ettud orzd oncc en	-|-|-⌫--|-⌫--|-⌫||
es t meruelle	--⌫|-------|
quede riencepuetsormonter	--|-|---|-|---|--------|
moutparte deureies pener	---|--|-|-------|----|
deluiensui rreetsa	-|--|-----⌫--|-|-|
quant di s	----|--⌫|
milliers t ient	-------|-⌫---|
e n destrece	-⌫|-------|
ettotes le spuet iustifier	-|----|--⌫|---|--------|
bie nendeiz une cha stier	---⌫|-|---|--|---⌫----|
en tenzetmal etbien	--⌫---|-|--|-|---|
p or d eug arde	-⌫-|-⌫-|-⌫---|
te iqueun chien	--⌫|--|-|----|
neseit de cuerp lusfrancde	-|---|-|---|-⌫--|----|-|
plusgentiletdemellorfei	---|-----|-|-|-----|--|
lichiena ime qui bie nli	-|----|-⌫--|--|---⌫|-|
ioistl eete ntor	----|-⌫|-|-⌫---|
seragr antau ilance	---|--⌫--|--⌫-----|
sedemellor requen ois sance	-|-|-----|------⌫---⌫----|
estchienetgraignierfranchise	--|----|-|--------|--------|
etse ruise	-|--⌫----|
quetuqu e r puis naura s	--|-|--⌫-⌫|---||----⌫|
queunsch ien uaudramie lzd e	--|--|--⌫--|-----|---⌫-|-⌫|
filzu neautr echosete di	---|-⌫-|----⌫|----|-|-|
trop estaueir	---|--|----|
esite redige	|-|-|---|-|
que quidousa m ispuetaueir	--|--|---|-⌫-⌫-|---|----|
nelideit pas	-|-|---|--|
petitsenb ler	----|----⌫--|
quermoutsontforta	---|---|---|---||
netrop senblerneli de ureit	-|---|------|-|-|--⌫----|
auner enporreit	----|-|------|
onq uesfust	---⌫--|---|
homee ncentsiec l esqui leseust	---|-⌫|---|----⌫-⌫-|--|--|---|
homiad is estoit	--|---⌫-|-----|
quant i lsout quef inerdeueit	----|-⌫|---|--|-⌫---|-----|
unsue nf ilza	-|---⌫|-⌫--||
sil ienquiste tdemanda	-|-⌫|------|-⌫|------|
fil z di mei quanzamis	---⌫|-|--|----|---|
tuasenta uieconquis	-|-|-|-|--|------|
etc ilrespond	-|-⌫-|------|
mi enesci ent	--⌫-|----⌫--|
ena igeconquistres	-|-⌫|-|------|---|
m out lasdist lipere bienf ait	-⌫--||-|---|-|---|---|-⌫--|
mes iequi q ue autrement	--|-|--|-⌫-|--------|
ami lo eras	--|--⌫---|
desique esproue ́lauras	------|-------⌫||----|
montfui oranceisde tei ne z	---|--|-|-----|-|--|--⌫|
et simesuitoz	-|-|-|--|--|
d amisaquerreet por chacier	|---|------|-|---⌫------|
onquesnepoitantesploi tie r	-----|-|--|---|------⌫---⌫|
porrienque iefere	--|---|--|-|---|
qu eunamiaueirpeusse	--⌫|-|--|----|-----|
tantfisnequede n t antourai	---|--|-------⌫|-⌫--|----|
que demiunen	--|---|-|-|
porchac ai	-------⌫-|
que r ecenepo igeespl eitier	---⌫-⌫|-|-|--⌫|-|----⌫-----|
que ielpe usse aueir	--|-||--⌫---|----|
ettubel zfil zconfaitement	-|-|---⌫|---⌫|-----------|
ena stu tost porch aciéc ent	-|-⌫|-|---|-----⌫----|-⌫--|
faiorceque ie tedirai	--|-|-|--|-|-|----|
espro ueseilsont uer ai	-----⌫-|-|-|---|---⌫-|
prenunucelou autrebeste	---|-|---|-|----|----|
silitre nche	-|-|---⌫---|
orendreit la	--------|-|
puis aies unsac	---|---|-|--|
de sancensanglenté	-|---|-----------|
de labesteq uienz iertmi s e	-|-|----|-⌫-|--|---|--⌫-⌫|
et appareillieen	-|----------|-|
com sece est oit h ome ocis	--|-|-|---⌫--|-⌫--|---|
qu e tu e uss es d edenz	--⌫|-|-⌫---⌫-|-⌫----|
atesamisle p orteras	|--|---|-|-⌫------|
e t achescun par	-⌫||------|--|
queunhomeen	--|-|---|-|
murdrea s ocis	-----|-⌫|---|
sies mal emen tentr epris	-|-|---⌫----⌫|----⌫----|
quertunelasou	---|-|-||-|-|
netun elosesregehi r	-|-|-⌫||---|------⌫|
que rnulhome qui seitsorterre	---⌫|--|---|--|---|--|----|
fo rsluinenosestu	--⌫-|--||-|---|-|
mai silt en puet	---⌫|-||-|---|
moutbie naidier	---|---⌫|-----|
s anz c eque len	-⌫--|-⌫|--||-|
sord eencom brie r	----⌫|-----⌫----⌫|
queriaplus tot n en ert	---|-|---|--||-|--|
nesamaiso n nesenp orpris	-|-|-----⌫|-|--|-⌫-----|
etse aucun	-|-|----|
teueut o i r	-|---|-⌫-⌫|
et teie tt on mortre quellir	-|--|-⌫|-⌫-|---|--⌫------|
en celui puezaueir fia nce	-|----|---|----|---⌫--|
quertonamiert sanz d otance	---|--|--|--|---|-⌫-----|
et ne deiz	-|-|---|
ami ape ler	--|---⌫--|
quinet e uou dra receter	--|-|-⌫|---⌫--|------|
lifilzei ssisapare lla	-|---|--⌫--||-----⌫--|
comlipereslienseigna	--|-|----|-|-------|
le sac otot	-|--|---|
labeste p rist	-|----|-⌫---|
sesamisunset	--|---|--|-|
unsrequist	--|------|
liprimiersqui pa rle rloi	-|-------|--|--⌫---⌫||-|
li distsempresfuiezdici	-|---|------|----||--|
bien le sacs or uostrecol	---|-|--|-⌫-|-----|--|
porbricon uostien c et por	--|-----|--|----⌫|-|--|
quitelchose merequerez	--|--|----|-|-------|
neueil e stre deseritez	-|---|-⌫---|--------|
pri sneraientpo ruo streatrait	---⌫|-|-----|--⌫|--⌫---|-----|
si com uo zauez le	-|--|--⌫|---|-|
si seitlap eine	-|---|-|-⌫---|
toteuostre	---|-----|
par sainta ndre le	--|----|-⌫---|-|
boenapostre	---|------|
mesonn entr ereiz	----||----⌫----|
neuo stre mort nienforrez	-|--⌫---|---|||-------|
n i outonques	||--|-----|
unsoldesc ent	-|--|--|-⌫--|
quinelideistensement	--|-|-|----|-------|
quantillesouttozessaiez	----|-|--|--|--|------|
s ie st arrere repairiez	-⌫|-⌫-|-----|--------|
ason pere distqu e falli	|--|---|---|--⌫|----|
li esteienttuitsi	-|-------|---|-|
dis t lipere	---⌫|-|---|
o ras tuapris	-⌫|-|-|----|
c equetuasoi tozdis	-⌫|--|-|-|-|--|--|
bes oingueier pu etlen	---⌫---|----|--⌫-|--|
q uisonami est e tqu i non	-⌫-|--|--|--|-⌫|--⌫|--|
orua amo n dem i ami	-|-||--⌫|---⌫|--|
siles prouetotautresi	-||--⌫----|--|------|
sisauronquei l redira	-|-----|--|-⌫|-----|
et combienil	-|------|-|
maintenant	---------|
tot autresi comme deuan t	--|------|----|-----⌫|
outasautres louremostree	--|-|-----||---|------|
ce stu iditeetcon t ee	--⌫---⌫|---|-|---⌫-⌫-|
resp on t beaus dozami s	----⌫--⌫|----|--|---⌫|
na li uentre stotmonporpris	||--⌫|-|---⌫---|--|------|
me sonsip ri ué	--⌫--|-|-⌫--⌫--|
ouuostremo rtfustb iencelé	-|-----|--⌫-|---|-⌫--|----|
n equedeni euos a iderai	-⌫------|-⌫|--|-⌫-----|
a u mielzq ue a idie r uospo rrai	-⌫|----|-⌫-|-⌫----⌫|--|--⌫---|
donc est ensa meson	---|--|-|-|----|
tozlesautresen agetez	--|--|-----|-||----|
bienafermeela meson	---||-----|-|----|
sors ei ets or	--|-⌫-|-|-⌫-|
s on c ompaignon	-⌫-|-⌫--------|
puis pristun fossorporfo ir	---|----|-|-----|--|--⌫-|
la o ulemortuoutenfoir	-|-⌫|-|---|---|-----|
quantci luit qu ata ntenesteit	----|--⌫|--|-|---⌫-|-|-----|
que lemort en foi ruol eit	--|-|---|--⌫---⌫|---⌫--|
deltot li di stla uer ite	--|--|-|--⌫-|-|---⌫--|
aueitesprou e ́	----|------⌫-⌫|
puispristc o ngiesis	---|----|-⌫-⌫---|-||
eta sonpere	-||--|---|
filz dis t lip ereami n	---|---⌫|-|-⌫--|--||
quiat on beso ingnetaie	--||-⌫-|----⌫--|-||--|
pere distlifizs auez uos	---|---|-|--|-⌫---|--|
homeelsie cle sieu ros	---|-|---⌫--|-|--⌫--|
quiait conquisuer aement	--|--|------|---⌫-----|
un amienteri nement	-|--|------⌫-----|
certesbelfilz un quesne l ui	-----|--|---|--⌫---|-||-|
n equedenparlereno i	-⌫------|-----|-|-⌫|
am ort seuout	|-⌫--|-|---|
p or un soen amid eliurer	-⌫-|-|---|--|-⌫------|
perequ erme dites comm ent	---|--⌫-|-|----|----⌫--|
i e u olenti ersorientent	-⌫|-⌫------⌫--|-||-----|
duim arch eantiadi s e st eie nt	--|-⌫----⌫---|----⌫|-⌫--⌫---⌫-|
quigranment	--|-------|
lo ing a l oingmaneient	--⌫--||-⌫---|-------|
li un sen baldachseiournout	-|--⌫|-|------|---------|
lautreen egitec onuersou t	|----|-|----|-⌫--------⌫|
pa rsolcels s entrequenoi s sent	--⌫|--|---||-----------⌫-⌫---|
qui aloent et quiueneent	--|-----|-|--|------|
et mandoutchesc un so ntalent	-|------|-----⌫-|--⌫|-----|
ueuz a utrement	---|-⌫-------|
mescil quienbaldach	--|--|--|-|------|
se porpensaqueilireit	-|-------|--|-|----|
enmarcha and ise enegip te	-|------⌫---⌫--|-|----⌫-|
cel soen ami habite	--|---|--|-----|
c omil a inz poutuintelpais	-⌫-|-|-⌫--|---|---|-|---|
quantceoitcil sue n s amis	----|-|--|--|---⌫-⌫|---|
q ue i l ueneit encontreala	-⌫-|-⌫|-----|-------|--|
etrichem entleherberia	-|------⌫--|-|-------|
penadeluiseruir	---|-|--|-----|
et afaire tot	-||----|--|
son pla isir	--|---⌫---|
li mistlesue nt ot abandon	-|---|-|---⌫|-⌫-||-----|
famesaueitensameson	----|----|-|-|----|
filles ni eces etc ha mberieres	-----|--⌫---|-|-⌫--⌫--------|
etau tresqueiltene itchier es	-|--⌫---|--|-|----⌫-|-----⌫-|
deuant luiles	-----|--|--|
fe s eitb al er	--⌫-⌫--|-⌫--⌫-|
et h ar p e s	-|-⌫--⌫-⌫-⌫|
etta bors soner	-|--⌫---|----|
uiti or zl etintatelsei or	--|-⌫--⌫|-⌫|---||--|---⌫-|
et quan til uintal noméior	-|----⌫|-|---|-|----|--|
et quil s en cuida repar ier	-|-|-||-|----|-----⌫--|
sili so rst un gra ntencombr ier	-|-|--⌫--|-|---⌫-|-------⌫--|
quer m a la desest	---|-⌫-⌫--⌫--|--|
s isamisquienfu deshai tiez	-⌫-|---|--|-|-|------⌫---|
mandamire souquill essout	----|----⌫|-|-|-|-⌫-|---|
mo ut enuint mes	--⌫-|-|---|--|
reisonuee rpeus t	-----|---⌫|----⌫|
s urin esouentes g ardoe nt	|----⌫|-----|--⌫-⌫-----⌫-|
aupous eta s	-|---|-|-⌫|
ueinestast oent	-----|----⌫---|
plus s enentr e met eien t	---||-|----⌫-⌫---⌫----⌫|
etilmainsde	-|-|----|-|
sonmal saueie nt	--|--|------⌫-|
etquant i lonttot e ncherc hié	-|----|-⌫|--|--|-⌫------⌫---|
sisesont bienau esdié	-|-|---|---|--⌫-----|
quant ni trouent malnedolor	----|||------|--|-|----|
queceertpassio ndamor	--|-|--|------⌫||---|
donc liuint	---|-|---|
deuantsisamis	-----|--|---|
demandéli aetenquis	-------|-||-|-----|
sefameau eit ensameson	-|---|--⌫--|-|-|----|
quidesonmal fustacheson	--|-|--|--|---|------|
siredi st ilfetes	---|--⌫-|-|----|
queuos lesm a meing i ez	--|--|--||-⌫-----⌫-⌫-|
etse celieipu is	-|-|----||--⌫-|
sempresleuos	------|-|--|
f eraisaue ier	-⌫---|----⌫--|
ci l liameine tot auant	--⌫|-|-----|--|----|
se sch ambe rieres	--⌫|--⌫----⌫-----|
ded eu ant	-|-⌫--⌫--|
qu ant c il	--⌫--|-⌫-|
ache scuneesgardee	|---⌫----|-------|
nuledelesne liagree	---|----|-|-|----|
cilse s fill e s	--|--⌫|----⌫-⌫|
e tci ltotes lesrefusa	-⌫|--⌫|----|--|-----|
lisire un emesch ineau eit	-|---|--⌫|-----⌫--|--⌫--|
q ue ilgardoutetnoriseit	-⌫-|-|------|-|-------|
por cela fe seit bien gar der	--|-|-|--⌫---|---|---⌫--|
queillad e ueit	--|-|-|-⌫-⌫---|
celedeua ntliamena	---|----⌫-|-|----|
qu antcil lau it s i so spira	--⌫--|--|-|-⌫-|-⌫|--⌫----|
et dist icestealaballie	-|---|-----||-|-----|
oudema mortou de mauie	-|-|-|---|-|-|-|--|
quant l isiresaente ndu	----|-⌫|----||----⌫--|
que lienfersarespon du	--|-|-----||------⌫-|
cel ieert si soupris	---⌫-|--|-|------|
auo idis tilbea us douzamis	---⌫|---⌫|-|---⌫-|---|---|
cesereitet	-|-----|-|
pec hieet tort	---⌫--|-|---|
qu eporliere ceus sez mor t	--⌫|--|--|--⌫----⌫--|---⌫|
tenezieuos enfaz ledon	----|-|--|-|--|-|--|
dema in lauosespo ser on	----⌫-|-|--|----⌫---⌫-|
aum ien oeslauo udreie	-|-⌫--|--|-|--⌫-----|
etsaisiz er e	-|-----|--⌫|
amisl ors medonerent	---|-⌫--|-|-------|
quantl ameschine	----|-⌫|-------|
meferm erent	-|----⌫----|
la f ameetlaueir	-|-⌫--|-||----|
rece ureiz	----⌫----|
etonquor pl us queruosaurez	-|-----|--⌫-|---|--|----|
quantqueapar eilliéa ue ie	-------|----⌫------|-⌫--⌫-|
quee ndoairelido nroie	--|-⌫|-----|-|--⌫----|
siredistcilmoutes merciz	---|---|--|-----|-----|
seissi estd onc	-|---|--|-⌫--|
suigegariz	--|-|----|
e issidist liprodom sera	-⌫---|---|-|-----|---|
limala des	-|----⌫--|
l e ndemain	|-⌫------|
al a au mostier	--⌫|-|------|
lame s chine prista	-|--⌫-⌫----|----||
aueir outetl e d ouaire	----|--|-|-⌫|-⌫-----|
et quan tbienoutfetson afaire	-|----⌫|---|--|--|--|-----|
reperez este n sonpais	------|--|-⌫|--|---|
queil aueitconquis	--|-|----|------|
apr es auint que	---⌫-|----|--|
ne remest alegiptien	-|-----|||-------|
de grantpo uretefudestreit	-|----|--⌫----|-|-------|
etperditq uanque il	-|-----|-⌫-----|-|
quantil uit que ilno utqu e	----|-|--|--|-||-⌫-|--⌫|
neque engag ierne	-|--|-----⌫--|-|
qu e u endre	--⌫|-⌫----|
moutfu dolenz	---|-|-----|
ne s outquefaire	-|-⌫--|--|----|
q uern e pout grantme s aise traire	-⌫--|-⌫|---|----|--⌫-⌫---|-----|
c omcilquin el	-⌫-|--|--|-⌫||
aue ita us	---⌫-||-|
ethonteout d alerpar les us	-|----|--||---|--|--|-|
me ismen t ensonpa is	--⌫-----⌫|-|--|--⌫-|
neuout estr e	-|---|----⌫|
apelé mendis	-----|-----|
lebesoi n g lefist porpenser	-|-----⌫-⌫|-|---|--------|
ba ldachdeustale r	--⌫----|----|---⌫|
la oucilsuensamis e ste it	-|-|--|----|---|-⌫---⌫-|
saueirse pit ieenaur eit	-----|-|---⌫-|-|---⌫--|
nu zetfamellosetdespris	--⌫|-|-------|-|------|
s estun ior a	|--|-|--||
laueie mis	-|---|--|
abau dasuintt antaesré	|---⌫--|---|-⌫--||----|
maisho n teout et poure te	---|--⌫-⌫-|--|-|-----⌫-|
n osapasaler tot dreit	|--|--|---|--|----|
laou cilsonamimaneit	-|-|--|--|--|-----|
et ensorquetotuespre	-|----------|-----|
porcese dotou t	--|-|-|-----⌫|
etcre meit	-|---⌫---|
ocequil ne rt pas	|-|-|-||-⌫-|--|
bien uestuz	---|-----|
quei l n e fust	--|-⌫|-⌫|---|
d esconeuz	-⌫-------|
entré sen es t en	-----||-|--⌫|-|
u nm ostier	-⌫|-⌫-----|
nuituole it herbe rgi er	---|----⌫-|-----⌫---⌫-|
quant ilfu enz es	----|-|-|--|-|
