chiconmenche	--|--------|
liioue nciausfu stlademore ́smais il se	-|----⌫-----|--⌫-|-|------⌫-|---|-|-|
pensaque silpooit ilq u er roit	----|--||-|----|-|-⌫-⌫--⌫---|
liu plussolitair eouildemorroi t	--|---|--------⌫|-|-|--------⌫|
seuie sanstantde	-|--|---|---|-|
uo lente dont	--⌫----|---|
s enreui ntarriere au ec	|-|----⌫-|------|--⌫-|
moinesquiestoient uenu	-----|--|-------|---|
uisitersaintanthoine	------|----|-------|
quanthylairesli bonsiou enchia us	----|-------|-|---|---⌫------⌫-|
reu intenson pais	---⌫--|-|--|---|
arrier e iltrouase n pere	------⌫|-|----|--⌫|---|
mo rsetdontpristc hou	--⌫-|-|---|----|-⌫--|
e st oitremes si endonaunepartie	-⌫--⌫--|----|-|-|---|--|-----|
asesfreres etlautre partieaspoures	|--|-----|-||----|-----|-|-----|
n onquesn en retinta sonoe snul ecose	|-----||-|-----||--|--⌫|---⌫|---|
c arbienlis ouenoi tdeleparolequ e	-⌫-|---|-|-⌫------⌫|-|-|-----|--⌫|
no stres sires	--⌫----|----|
d istquined eguerpira	-⌫--|--|-|-⌫--------|
t outesles	-⌫----|--|
i li ailneporra	-⌫|||-|-|----|
mesdesc iplesadonta uo it	--|----⌫----|----|-⌫--⌫-|
sainshylairesy y ansdesonaaige	----|-------|-⌫|--|-|--|----|
tantseule mente tsi lauoi t	---|-----⌫---|-⌫|-||----⌫|
iano str es	-|--⌫---⌫-|
s iresenluminédese saintegracequil	-⌫---|--------|-|-|-----|----|-|-|
esto itsaigesaensiuirlesconmandements	----⌫-|-----||------|--|------------|
desessain t esescritures qantil	-|--|----⌫-⌫-|---------|---|-|
toutdepar ti	---|-----⌫-|
etdonéas poures	-|----|-|-----|
qu ilauoitsiquen ule riens	-|-|----|-|--|-⌫--|----|
neli estoit	-|-|-----|
remes ils ena la enune desertinemolt	----|-||-|-⌫-|-|--|--------|---|
soli ta irequ iestoitales en estrepartie	----⌫--⌫--|--⌫|-----||-|-⌫--⌫----|-----|
del euoie qui	-|-⌫|---|--|
sen alo iten	|-|---⌫-|-|
touteleriuiere de l nilyy liues en	----|-|------|--⌫|--|-|----|-|
susde le citede gasela	--|-|-|---|-|---|-|
entra il tous	----|-|---|
nusnena uo ituestu quez z	--|-||-⌫--⌫-|----|--|-⌫|
seulemen tdont ilcouuroit	--------⌫|---|-|-------|
ses menbre s	--|------⌫|
anthoinesli	--------|-|
auoit don ee cheaffuloit ilpor	----|---⌫-|--|-------|-|--|
froidureq a ntsescor ses toitten tés	-------|-⌫-⌫-|--|---⌫|--⌫---|---⌫---|
sicomilestoit	-|--|-|-----|
souu ent carilauoit molt	----⌫--|--|-|----|---|
belu iairesicom	--|-⌫----|-|--|
i ouenchiaussiproisme	-⌫---------|-|------|
et siam ilidisentetnoncherentque	-|-|--⌫|-|-----|-|---------|--|
li uouilestoita rresté s auoit	--⌫|-|-|-----|-⌫-------⌫|----|
moltsouen tlarro ns etreub eorsq ui	---|-----⌫|-----⌫-|-|----⌫---|-⌫-|
lochir roien t	|-----⌫-----⌫|
carlar egionsestoitla	--|-|-⌫-----|-----|-|
e ndr o ithab iteeilde spitlesparoles	-⌫---⌫-⌫-|---⌫---|-|--⌫---|--|------|
q uiai nssi liestoient ditese t	-⌫-|--⌫---|-|-------|----|-⌫|
liestoit misep or esq uiuer	-|-----|---|-⌫-|---⌫----|
etpo r esc aper d ele	-|--⌫|---⌫---|-⌫|-|
mortper m ana ble	---|---⌫-⌫---⌫--|
la fulibonsioue nchiaus	-|-|-|---|----⌫------|
et f ist son	-|-⌫--|--|
habita cleentre le	------⌫--|----|-|
unpal utquilaestoi t	-|---⌫-|--|-|-----⌫|
mol t esp oentab leliuetmoltorible	---⌫|---⌫------⌫-|--|-|---|-----|
ne n e mengoito nqu esdusc adon tque	-|-⌫|------|-⌫---⌫-|---|----⌫---|
li solausestoi t	-|-----|-----⌫|
cou kiés etado ntauoit	---⌫----|-|---⌫-|----|
molt poureuiandecaril	---|----|-----|--|-|
n emengo itadonq ues qu e yy esca loi gnes	-⌫|-----⌫-|-----⌫--|--⌫|-|----⌫---⌫---|
tantseule ment	---|-----⌫---|
et qant li	-|---|-|
dea les uitq ue	---⌫--|--|-⌫-|
li ioulenciausesto it	-|----------|----⌫-|
arrestéselliu ou onq uesmaishom	--------|-|--|-|---⌫--|---|--|
n auo it habité ilfumoltdolans	|---⌫-|------|-|-|---|-----|
nene sa uoitquilpe ust faire	-|-|--⌫---|-|-|--⌫--|----|
il ueoitq uei lestoitparluiuaincus	-|----|-⌫-|-⌫|-----|--|--|------|
ainsquelie nfe seustaaige de pe kie r	------|-|-⌫---⌫|---|----|-|--⌫---⌫|
mortelmentpour qoiil le peust	---------|---|--|-|-|----|
sousduir e	--------⌫|
ne decheuoirilestoitmolt	-|--------|-|-----|---|
dolans etlemalqui l pooitf aire	-----|-|-|--|-|-⌫|----|-⌫---|
careli ouencel metoit	--|-|-⌫------|-----|
ilpensees dontilnestoi t m ie	-|------|---|-||-----⌫|-⌫-|
acoustumésqui moltdol ansenes toit	----------|--|---|---⌫--|-|--⌫---|
etmo l ttri stresorquefaisoitli	-|--⌫-⌫|---⌫----|-|--|------|-|
bonsenfes decestecose	---|----|-|----|---|
moltcorechie ́ sa luimeismesqant	---|--------⌫-⌫||--|------|---|
i lpens oita nuldelitte rrestredont	-⌫|----⌫--||--|----|--⌫------|---|
seferoit delpoingelpistout ausi	-|-----|--|----|-|--|---|---|
comsi l peustl esma les	--||-⌫|----|-⌫-|--⌫--|
pens ee shors	----⌫--⌫|---|
delcuermetre parcele bateu reet si	--|---|----|--|---|-----⌫-|-|-|
disoita sacharmeis mesqui l le	-----||-|---|----⌫--|-|-⌫|-|
carche roi tde lfai s defamineetdesine	------⌫---⌫|--⌫|---⌫|-|-----|-|-----|
tan tquelenaue roi t	---⌫--|--||---⌫---⌫|
curedereleuer	---|-|------|
iusticeroitsipa rcaiureset	----------|-|--⌫|------|-|
fa mines etparfroidur eset parbonstrauaus	--⌫----|-|--|-------⌫-|-|--|---|------|
q uelenepensero itanchoisa l	-⌫|--|-|-------⌫-|------|||
queale iouenecenea le	--||-|-------|-||-|
dontconme ncha liiouenciausamener	---|-----⌫---|-|---------||----|
si sa inteui eetsidurequeil	-|--⌫---|--⌫|-|-|---|--|-|
mengoit seautieriorno net au	------|-|-|---|--|--⌫|-|-|
tantse ul ement poursoustenir	---|--⌫--⌫----|---|--------|
sa uie dedensson corsetado nt	-|--|-----|--|---|-|---⌫-|
mengoiti l seiusnon d erbes e t	------|-⌫|-|--|--||----|-⌫|
desc aloignes adesierten	|---⌫-------|---|---|-|
orisons et	------|-|
l ooit nostre seigneuretsifooit et laboroit	-⌫---|-----|-------|-|-|----|-|-------|
pour herbes faire	---|-----|----|
quelitrau ausde s oeuresdoblas t	--|-|----⌫--|--⌫|-----|------⌫|
le t rauail de ses ge unesetsi	-|-⌫-----|-|--|--⌫---|-|-|
faisoituaisselesde	------|--------|-|
ensiu ir les entencede lapostre quid ist	-----⌫-|-|-⌫------|-||------|--|-⌫--|
qu inientnoeu renenelabe ur esi	--⌫|----||---⌫-|-|-|----⌫--⌫|-|
ne mangut point	-|-----|----|
ence stemaniere et parteus	-|--⌫--|------|-|--|---|
g eu nessatorn as ili iouenciaus	-⌫--⌫--||-----⌫|-⌫|-|---------|
e stoitplusmaigres de	-⌫----|---|------|-|
n ulecreat ure	-⌫--|-----⌫--|
ad ontauintune	--⌫--|----|--|
ilconmench a	-|--------⌫|
aoircriemens	|--|-------|
d enfans etbaaillemens	|-----|-|----------|
muie mensdebuese tplaingne men s	----⌫---|-|---|-⌫|--------⌫---⌫|
aus si com	---⌫-|--|
de femesetplusorsmani e res	-|----|-|------|----⌫-⌫--|
dediue r ses uois lisa ins iouenciaus	-|----⌫-⌫--|---|-|--⌫--|---------|
entendique c estoienttot	------|--||-------|--|
encantemenzdedeale dont s agenoulla	----------|-|----|---||--------|
et fistle signede la	-|---|-|----|-|-|
saintecroisnostreseign eur i he sucrist	-----|----|-----|-----⌫--|-⌫--⌫-|----|
enmi son front e tpu i s reconmencha	---|--|----|-⌫|--⌫-⌫|----------|
aresgarde rdechaetdelatoute ntor	|--------⌫|----|-|---|---|-⌫---|
luipor chequild esirroi tmolt	--|--|--|-|-|-⌫-------⌫|---|
enaucunemanier eles uoisqui	-|-----|------⌫|--|---|--|
lespoentoient lelun eluisoit	|-----------|-|---⌫|------|
etre splen d issansadonques	-|--⌫-----⌫-⌫-----|-------|
etlorsresgarda	-|---|-------|
soudainementsiuituenir	-----------|-|--|----|
d euant lui u neconpa igniededeales	-⌫----|--|-⌫-|-----⌫----|-|-----|
mo ltlaid eet	--⌫-|----⌫|-|
mo ltnoireetmoltho rrible	--⌫-|----|-|---|--⌫-----|
sorcheuaustous ardanset	--|------|---|-----|-|
droitemen tsor lu i	---------⌫|--|--⌫|
uenoientet	-------|-|
liiou enciauscon mencha	-|---⌫------|---⌫-----|
hukier nostrese igneurihesucrist por	-----|-----|--⌫-----|----|----|--|
secorsauo ir etaie mais tant ost	-----|---⌫-|-|--|---|----⌫--|
c onme ilotapelé nostres eig neur	-⌫---|-|-|-----|-----|-⌫---⌫---|
f u celeco mpa ignie esparseetesuanui e	-⌫|---|--⌫---⌫----|------|-|-------⌫|
dont conmen cha lii ouenciaus	---|------⌫--|-|-⌫--------|
aloern ostre seigneuretgraces arend re	|---|-⌫----|-------|-|-----||----⌫-|
uos ar oie apieche conté	--|--⌫--||-----|-----|
nedittousles agaisne les pa innes	-|--|---|--|----|-|--|--⌫----|
q uelideale	-⌫-|-|----|
fir en t etseie toutes	---⌫--⌫|-|-|-|-----|
cescos e s uos	--|---⌫-⌫|--|
uol oie con t e rnedire	---⌫--|---⌫-⌫-⌫|-|---|
liliureset l e matereseroient trop	-|-----|-|-⌫|-----|-------|---|
neparq uantesfois liapparurent	-|--|-⌫-----|---|-|---------|
demoiselesto utes nu e s	---------|--⌫---|--⌫-⌫|
beles et ge ntes	----|-|--⌫---|
la oui lgisoit	-|-|-⌫|-----|
estoit lideales	-----|-|-----|
encele sambl ance	-|---|-----⌫---|
etpar quant esfoi sbelesuiandes	-|--|-----⌫-|---⌫|----|------|
liappar urent deuant	-|-----⌫----|-----|
laouile stoit	-|-|-|-⌫----|
destroisdegran t fa mine	-------|-|----⌫|--⌫---|
alefielicorrioient leu deuan t	|-|--|-|---------|--|-----⌫|
e tal loientlaou	-⌫|--⌫-----|-|-|
il estoiteno risons	-|-----|-|-⌫-----|
deuantluitrespassoient	-----|--|------------|
lefois li sa mloitque gen stoutes	-|---|-|--⌫----|--|---⌫|-----|
armeestrespassoientdeuant	-----|------------|-----|
lui etdo nt uenoi tli uns	--|-|--⌫-|-----⌫|-|--|
toz ar més	--|--⌫---|
a ussico nmeferusparmilecors	-⌫---|--⌫--|----|----|-|---|
sisambloitqu il deu s tluesmorir	-|-------|-|-|---⌫-⌫|---|----|
selaissoit cai rdeua n tl es piesdel	-|-------|---⌫|----⌫-⌫|-⌫-|---|--|
sain thomeet	----⌫|---|-|
quillid on n ast	-|-|-|-⌫--⌫-⌫--|
sep ultur e lisains	---⌫-----⌫|-|----|
iouenciaus	---------|
nedegerpi s soit mie p o r chese s orisons	-|-------⌫-⌫---|--|-⌫-⌫|--|--⌫|------|
ainsauoit adesle chiere a	---|----|---|-|-----||
ter ebaissieet qa nt ilau e noitque	---⌫|------|-|--⌫-|-|--⌫-⌫---|--|
sep ense e li trestornoitparauenture	-|-⌫----⌫|-|----------|--|-------|
cose si co mi laui entmaintes	---|-|--⌫|-⌫|---⌫--|------|
foisanaturehuma ine ilsal oit	---||-----|----⌫--|-|---⌫--|
suseta cuelloitceluiquisise	--|-|-⌫-------|----|--|-|-|
faisoitmalade si	------|-----|-|
lebatoit depies	-|-----|-|---|
et de uerges molt d u rem e nttan tq ue	-|-|-----|---|-⌫-⌫---⌫-⌫-|---⌫--⌫-|
cilsesuanu issoit et	--||------⌫-----|-|
a ussisiqu il es toitde liurés	-⌫---|-|-|-|--⌫---|--⌫------|
ainssi es toitli iouen chiau s	-----|--⌫---|-|-----⌫-----⌫|
tenptés desdeales p ar plusors	-------|--|-----|-⌫-|------|
man ier es et endi uers esfiguresetbien	---⌫---⌫-|-|-|--⌫----⌫-|------|-|---|
saichié sque	--------⌫|--|
t resle sesi me and usc	-⌫--|-|----⌫-|-|-⌫--|
auuintime a nsouffri	-|------|-⌫|------|
i ll es calor s	-⌫|-⌫-|-----⌫|
et les froidu resetlespluiesquil iuenoi en t	-|--|------⌫--|-|--|-----|--|-⌫|-----⌫--⌫|
enunecahuted eioinsqui l	-|--|-----|-⌫|----|-|-⌫|
auoitfaiteet a uuintismean fist	----|----|-|-⌫|-------|-|---|
il une cel letequi	-|--|---⌫---|--|
d uscahuices t ior	-⌫--||--|---⌫|--|
aen celliudure ́cele	|-|--|--|----⌫|---|
ce lle o tyy	--⌫--|-⌫|-|
pies deleet yy de hau t si	---|-|-|-|-|-|---⌫|-|
quapainnes	-||------|
s ip ooit ildrech iermaisun	||-⌫---|-|-----⌫--|---|-|
pluslonge et se uosleueissiés	---|----|-|-|--|-|--------|
eleuossamblast m ieussepultur e que	--|--|-------|-⌫---|--------⌫|--|
maiso nche lenene iutonquesdu sq ua	-----⌫----⌫-|-|-|--|-----|--⌫--⌫||
semort se sorunlit no n de	-|---|-|--|-|--|--⌫|-|
ioinsfaita lepuretere etl auesteure	----|---||-|---|---|-|-⌫|-------|
ques ain santoin es liauoi tdonnee	--|-⌫---⌫|------⌫-|-|----⌫|-----|
nel auail onquescar b iendisoit	-|-⌫--|-|-----|--|-⌫--|-----|
qu eh airenedeuoi t miees tre laue e	--⌫|-⌫---|-|-----⌫|--|--⌫--|----⌫|
etless aintese scrit ures	-|--|-⌫-----|-⌫-----⌫---|
r etenoitlii ou enciaus	-⌫------|-|-⌫--⌫------|
en se memoireetensepens ee	-|-|------|-|-|-|----⌫-|
il auoit faitetdite sses orison s	-|----|---|-|----⌫|--|------⌫|
il u erseilloit etdis oi t ses psalmes	-|-⌫---------|-|---⌫--⌫|--|------|
tou tautresicomsenostressiresfust	---⌫|------|--|-|------|----|---|
se presen cedeuantluipor	-|------⌫-|-----|--|--|
longuecoseseroit de racontertoutes	-----|---|-----|-|-------|-----|
par ord resiconmeeles	--|---⌫-|-|----|---|
auinr rentu os	-----⌫---|-⌫-|
conteraiieunpeuplus	-------|-|-|--|---|
briem ent si qu ecilquil	-----⌫--|-|--⌫|--|--||
enten dera porra	-----⌫---|----|
s eu iereten iret apr end reselui pla ist	-⌫|-⌫-|-----⌫-|-|---⌫---⌫-|-|--|---⌫--|
apr escheque liiouenc iaus	---⌫-|--|--|-|------⌫---|
otyyand uscamenga	-|-|-|-⌫--||----|
li sainshomense s trois	-|----|--|-|--⌫|----|
deces yydemisestier deferine	-|--|-|---|------|-|-----|
ilfais oitpulment	-|----⌫--|------|
por seuiesostenir	--|-|--|-------|
et esau trestroisansneme nga	-|-|--⌫---|----|--|-|--⌫--|
sec nonetsel etiaue	--|--|-|--|-|---|
ettre slean dusc ausostint	-|---⌫|-|-|---|-|------|
ilseuied er bes etde rachines	-|-|--||--⌫--|-|-|-------|
ettresleanduscau	-|---|-|-|---|-|
nemengailonques	-|----|-|-----|
c ascuniorqueyy	-⌫----|--|--|-|
onchies depaindorgeetunpeu de	------|-|---||---|-|-|--|-|
herbes c uitesen man ierede	-----|-⌫----|-|---⌫---|-|
san s oileadontsent i ilque sioei lli	---⌫|---|----|----⌫|-|--|-|---⌫|-|
osc urcissoientetsi conmancha a	---⌫----------|-|-|--------||
des t rains parune	---⌫-⌫----|--|--|
mala die dont	----⌫--|---|
m istil en	-⌫--|-|-|
seu iandeoile porlui	-|-⌫----|---|--|--|
rec o nforter et por sonco rs soustenir	---⌫-⌫------|-|--|--|--⌫-|--------|
e tains si t respassa i lduscau	-⌫|----⌫-|-⌫-------|-⌫|---|-|
andeseuieconques	-|-|-|--||-----|
n imengaen	||----|-|
nu le m anier e dep ome snede fruit	--⌫-|-⌫-----⌫|-|-⌫---⌫|-|-|----|
nepulmentned autre	-|------|-||----|
ieuousaicontee	-|---|-|-----|
apreschequil	----|--|-|-|
uitqueses cors	--|--|--|---|
est oitalassésde le	---⌫--|-------|-|-|
u i elleceetquelimo rslaproch oit	-⌫-⌫-----|-|--|-|--⌫-||------⌫--|
si conme illis ambloits	-|----|-|-|-⌫------||
as tintildusc	--⌫---|-|---|
atantq uileutyyansde pain	------⌫|-|--|-|--|-|---|
conquesnengousta mie	|-----||-|-----|--|
i ertilensigrantcalour de	-⌫--|-|-|-|----|-----|-|
pens ee defairebonesoe ures conme	----⌫-|-|----|----|--⌫---|----|
sil ue nistpremier salserui gen ostre	|-|--⌫---|-------⌫|-|-----⌫-|-⌫----|
seg neurains mengoitdon t	---⌫---|---|------|---⌫|
uiandequeon	-----|--|-|
lif aisoit	-|-⌫-----|
tai llies etde	---⌫----|-|-|
ferineemsam bleet	-----|-----⌫--|-|
boire ets en	----|-|-⌫-|
meng ierauoi t	----⌫--|----⌫|
apa inesle ioryy	|--⌫---|-|--|-|
onch ese ntel e	----⌫-|-⌫|---⌫|
manerem ena	-----|-⌫--|
il se ui etouts o n	-|-|--⌫|---|-⌫-⌫|
bien saic hiés conque sen	---|----⌫----||-----⌫|-|
festene porgreuanche quil	----|-|--|--------|-|-|
eustn erom pine n	---|-⌫|---⌫-|-||
enfra intse	-----⌫--|-|
geune qu ilonques mengast	----|-|-|-----|------|
uiand edeuan t chou	-----⌫|-----⌫|---|
couchie ́sma i s orlarro ns	-------⌫-|--⌫-⌫|-|-----⌫-|
choues tre	---|--⌫--|
sireuenrronsauconmenchementde le	-|---------|-|------------|-|-|
man ieredese	---⌫---|-|-|
quantl iio uen chia ush abitoit	----|-⌫|--⌫---⌫----⌫-|-⌫------|
encoreen lecathucele	-----|-|-|--------|
quilauoitfaitedeioinseten	-|-|----|----|-|----|-|-|
emsamblee t ilnauoit	-------|-⌫|-||----|
ansd esonaaigedontuinr rent	--|-⌫|--|----|---|----⌫---|
larronalui un e nuitporch eq uil	-----||--|--⌫|---|--|--⌫|-⌫|-|
cuidoient quil eust	--------|-|-|---|
aucune cos e	-----|---⌫|
quil lipeussenttolir ou por	-|-|-|-------|----|-|--|
quilc uidoie ntqueli i oue nc iaus	-|-|-⌫------⌫-|--|-|-⌫---⌫--⌫---|
illu ec uenu ssiseulement habiter	----⌫-|----⌫|-|--------|------|
porledespitdiausetq uilneust	--|-|-----||---|-|-⌫|-||---|
diauscremeurnedo utancheporce	|---|------|-|--⌫------|--|-|
leconme nchi erentaquerre t ou t	-|-----⌫----⌫----||-----|-⌫--⌫|
entre lemer et	----|-|--|-|
lepalut qui	-|----|--|
es toitenledesertinetres le uespree	--⌫---|-|-|--------|---|-|------|
mat in eeno nq u e sle	---⌫--⌫-||-⌫--⌫-⌫-⌫|-|
leu ouilhabitoit	--|-|-|-------|
t rouuerneporent	-⌫-----|-|-----|
ma isqa ntil	--⌫-|--⌫-|-|
fuclersiour sille	-|----|----⌫|-|-|
touuer ent	------⌫--|
etta ntostqu il	-|--⌫------|-|
il lid em anderentaussi com pargieu s	-|-|-⌫--⌫-------|----|--|--|----⌫|
quefer oi es t u s elarron uenoient	--|---⌫--⌫-|-⌫|-⌫|-----|-------|
ati lisainsioue n chiau s lo r respondi	|-|-|----|----⌫-⌫-----⌫|--⌫|-------|
etdi stcilqui nus est et	-|--⌫-|--|--|--|--|-|
nanecrientmieque larronle	||-|-----|--|--|-----|-|
despoull ent	--------⌫--|
lilarronli disentsetu	-|-----|-|-----|-|-|
cosetoutes h eures	---|-----|-⌫----|
teporr oit	-|----⌫--|
ochirre sains hylaires	------|----|-------|
lorrespondi uoirement me	--|-------|--------|-|
bienlilarron o chirre	---|-|-----|-⌫-----|
ne lescrien ie	-|--|----|-|
mie car ie	--|--|-|
suit oustans app areil liésde morir	--|-⌫--|---|---⌫-----⌫----|-|----|
dont sesmerueilleren t	---||--------------⌫|
moltlilarron	---|-|-----|
grantseur teetd e le grantfer mete	----|----⌫-|-|-⌫|-|----|---⌫---|
defoiqu iluirente l	-|--|-|-|-----|-⌫|
iouenceletentendi re nt	-------|-|-------⌫--⌫-|
s iliregehirentconment	-⌫|-|---------|------|
illauoient tou t nu itquiset	-||------|---⌫|--⌫-|---|-|
er réquetrouuernele po re nt	--⌫--|--|------|-|-|--⌫--⌫-|
si esto ient	-|----⌫---|
ilauuledelor ieussains hylaires	-|----|-|--|---|----|-------|
lesconmenchaadoctriner et a	--|--------||--------|-||
qui l la issasse ntlemalaf aire	-|-⌫|--⌫-------⌫-|-|--||-⌫---|
biensetenissente tcil	---|-|--------|-⌫|--|
orente n cou ent	----|-⌫|---⌫--|
qu etresilluece nauant	--⌫|---|-----|-⌫|----|
amenderoientlorsui es	-----------|---|--⌫-|
quant liiouenciaus	----|-|---------|
o ttant es téencellieu	-⌫|---|--⌫--|-|--|---|
otyyans d e sonaaigele bone	-|-|--|-⌫|--|----|-|---|
r enomeedeluifuespandu e	-⌫-----|-|--|-|-------⌫|
e tseuepartouteslescites	-⌫|---|--|-----|--|----|
delecontree	-|-|------|
depa lesti nead on tuint alui	-|--⌫-----⌫-|--⌫--⌫|---||--|
unefeme q ui tot	--|---|-⌫-|--|
premeraineme nt	------------⌫-|
la la requer repourchequesesbarons	|-⌫-|------⌫-|---|--|--|--|-----|
l e d espri soitdecequi l ne	-⌫|-⌫-----⌫---|-|-|-|-⌫|-|
auoirfr uit delidedensyyans	----|--⌫--|-|-|-----|-|--|
queleauoiteste ́enseconpaingnie	-|--|----|----⌫|-|-|----------|
cheleuint asai n thylaire	----|---||---⌫-⌫|------|
lais sacairases	----⌫-|---||--|
pi e ssiquil ne s en	--⌫-⌫|-|-|-|-||-|
d onnagardesili	-⌫---|----|-|-|
distbiausire	---|---|---|
pardone moilehardement que ie	------|--|-|--------|--|-|
fa it de uenir	--⌫-|-|----|
c h a carbesoingn e	-⌫-⌫|--|--------⌫|
mi aatai chie sainshyla iresnele	|||----⌫---|----|----⌫---|-|-|
resgardamie	-------|--|
en uoust fuir	-|----|---|
arrierech eleli	------|--⌫--|-|
quoi n em er esg ardestue tporqoi	---|-⌫|-⌫|-⌫---⌫----|-|-⌫|--|--|
u ieustu fuir cheliquimerc hiteprie	-⌫---|-|---|----|--|----⌫-|-|---|
resgardemie	-------|--|
aussi conmefeme	----|----|---|
mai saussicomcai tiueet n ep orqa nt	---⌫|----|--|---⌫---|-|-⌫--⌫----⌫-|
femedoit on	---|---|-|
resgardere ndroitbien	--------|-⌫-----|---|
carfemeportalesalueurdetout	--|---|----|-|------|-|---|
lemo ndeci lquisainsuntet	-|--⌫--|--⌫|--|---|---|-|
n ontmes tier d e m iremaiscil	|--|---⌫---|-⌫|-⌫--|---|--|
quienfermsontet maladesains	--|-----|---|-|-----|----|
hyla iresarrestaetselid emandapor	----⌫---|------|-|-|-|-⌫-----|--|
quoi eleplouroitetloquoiso npor	---|--|-------|-||-------⌫|--|
alui uenuechel e	|--|----|----⌫|
etdistsic omiele	-|---|-|-⌫-|-|-|
uous a ic ontédeuant	---|-⌫|-⌫----|-----|
etlisains homresg ardau ers	-|-|----|--|----⌫---|-⌫--|
l echi e l sifist	-⌫|---⌫-⌫|-|---|
s ori sonpuis	|---⌫--|---|
fem equelesen ralastarrie re	---⌫|-|--||-|-----|-----⌫-|
eustbonefiancheennostr e	---|---|------|-|-----⌫|
chelesen parti	----||-|----|
en alaa se nbaron et	-|--||--⌫|----|-|
emsamle e tqant l i saisonset	------|-⌫|---|-⌫|------|-|
lians fuacomplisetpassésele reuint	-|--|-|-------|-|------|--|-----|
as a inta saint hylairea tot	|-⌫-⌫--||----|------|-⌫--|
zzfilquen ostres siresliauoit do népar	-|--|--|-⌫-----|----|-|----|--⌫--|--|
lepri eredelsaint	-|---⌫--|--|----|
