dieu n ostre	---|-⌫----|
quipuisfu tristes etmarri	--|---|-|------|-|----|
q uan tasafamemesauint	-⌫---⌫||-|---|-------|
du nuile in malquili auint	|-⌫|----⌫-|--|--|-|----|
qu erte le fusadestinee	--⌫-|--⌫-|-|-|-------|
que douseintfeufutalumee	--|--|----|--|--|-----|
domlim artir	--|-|-⌫----|
a rdantalument	-⌫----|------|
qui a seintleu fort	--||----|--|---|
ac oustumen t	--⌫--------⌫|
c roteachartr esueni r	-⌫---||------⌫-|----⌫|
ladamefetfe nir	-|---|--|--⌫--|
dedenz nuefiorz	-----|---|---|
l amaladie	-⌫|------|
ousoitam o rtouso it	-|---||-⌫-⌫-|-|--⌫-|
einsin tpar deu ineio stise	------⌫|--|---⌫--|--⌫----|
fu gondree	-|------|
quesifor t lafist	--|-|---⌫|-|---|
liardiiceui rentmeint	-|---|--|--⌫---|----|
siqu ecu ir ne charni	-|--⌫|--⌫-|-|---|||
ei nzperd itou tparc e tormen t	--⌫-|----⌫|---⌫|--|-⌫|------⌫|
l enesetlaleureen s e ment	-⌫|--|-|-|----|--⌫-⌫-⌫---|
cel e desusquiau nest ouche	---⌫|----|--|-|--|-⌫----|
siqui lappe roitd ela	-|-|-⌫|----⌫---|-⌫|-|
par de hors	--|--⌫---|
quantilot dede ns	----|-|-|----⌫-|
etlesgenciues etlesd e ns	-|--|-------|-|--|-⌫-⌫-|
etpard euantet	-|--|-⌫----|-|
pa r d esri err es	--⌫|-⌫----⌫---⌫-|
tretou taudens messeli er es	------⌫|-|---|-------⌫--⌫-|
q uiap arur ent toutes nues	-⌫-|--⌫----⌫--|-----|---|
de charetdec uir	-|---|-|-|-⌫--|
desuestues	---------|
q uinulho re ne la lessoit	-⌫-|--|--⌫-|-|-|------|
einz liporpre noit ia	---|-|------⌫---|-|
simala dec om	-|----⌫-|-⌫-|
u ou sdeui s	-⌫--⌫|----⌫|
a sess on sal	|----⌫--⌫|||
iglisea la	-----|-⌫-|
m oltsepo rchace q ui mal a	-⌫--|-|--⌫-----|-⌫-|--||
lauint oula	-|---|-|-|
d ameestseru ie	-⌫--|--|----⌫-|
p o rquerredesonmal	-⌫-⌫|-----|-|--|--|
apela moultlapria	----|----|-|---|
mercitendrementlicria	----|---------|-|---|
q uepa rpitie	-⌫-|--⌫|----|
lau isitast	-|-⌫------|
et des ad ol eurlagitast	-|-|-⌫|-⌫--⌫--|-|-----|
et re gar dastcelechai tiue	-|--⌫---⌫---|---|----⌫---|
uossistp asestreuiue	------|-⌫-|----|---|
ainzcoisuossist	-------|------|
melzestremorte	---|----|----|
lahaute damequiconfort e	-|----|---|--|-------⌫|
lesegaréslesesm aiez	--|------|--|---⌫---|
eta uoielesdesuoiez	-|-⌫---|--|-------|
misericorde	----------|
die uacorde	---⌫|-----|
la dameladigne pucele	-|---|-|----|-----|
oi lesprieresdec ele	-|--|------|-|-⌫--|
quisertuenue ale compleindr e	--||--|----||-|----------⌫|
fistlefeu mo rir	---|-|--|--⌫--|
et e steindre	-|-⌫-------|
domcele er t si griementateinte	--|---|--⌫|-|-------|------|
lamaladiefues teinte	-|------|-|--⌫-----|
mes to utesuois re meint la trace	--|--⌫-------|--⌫----|-|----|
quarlifeus l i fistsuslaface	---|-|---|-⌫|---|--|-|---|
domleidementerteffac ee	--|--------|--|-----⌫-|
e t uileinement	-⌫|----------|
f et liot lemalteldomage	-⌫-|-|-|-|--|--|-----|
quedeffeitefu douuisage	--|-------|-|--|-----|
quarbauleu ren e nes n auoit	---|------⌫-|-⌫|--||----|
n eestap irne	-⌫|-----⌫-|-|
n enesou soit	-⌫|-||--⌫---|
augensmonstre r	-|---|-------⌫|
horri blees toit	-----⌫--|--⌫---|
aencontrer	|--------|
cartretu it cilquile ncontraient	--|-----⌫-|--|--||-⌫----------|
des a u oiesed esto rnai ent	-|-⌫|-⌫--|-|-⌫----⌫----⌫--|
meulz se uo loientdesuoier	----|-|--⌫-----|-------|
de leu r uoiequelauoie r	-|---⌫|---|--|-|----⌫|
tantertleide etespoue nt a ble	---|--|----|-|------⌫--⌫-⌫--|
et sisachésque fiens d e stabl e	-|-|------|--|----||-⌫-----⌫|
ne pu esttantadesmes ure	-|--⌫--|---||------⌫--|
comele f esoit	--|--|-⌫----|
q u ili auoitar s leuia ire	-⌫-⌫|-|----|--⌫|-|---⌫--|
anulluinepoe it mes pleire	|-----|-|---⌫-|--|-----|
sad emorancenesonestre	-|-⌫-------|-|--|----|
nusnepoeitpres	--|-|----|---|
c arlesgarderetles entir	-⌫-||-------|-|-|-⌫----|
fes oitatouslescuer s	---⌫--||---|--|----⌫|
siquauomi rlesco nu en oit	-|-||----⌫|--|--⌫--⌫--⌫--|
dumal quia ucu erleuruenoit	-|--|--|-⌫|--⌫-|---|-----|
ac cuillienh aine	--⌫-----|-|-⌫---|
ot ne uoisinneuoisine	-|-|-----|-|------|
etq ui pas souffrirlapeust	-|-⌫-|--|-------|-|----|
si seporpensa	-|-|-------|
lada mpnee	-|--⌫----|
iretladomestne e	---|-|--|--|--⌫|
en t res es genset se s am is	--⌫-⌫-|-⌫-|---|-|--⌫|--⌫-|
natureeust mis	-----|---|--|
eneus e tamo r etpitie	-|--|-⌫|---⌫|-|----|
queltrouasteneusamit ie	-|-|------|-|--|----⌫-|
aum oinspar raison d eli g nage	-|-⌫---|--|-----|-⌫|--⌫-⌫---|
queil amasse n t	--|-|------⌫-⌫|
sonesta g e	--|----⌫-⌫|
feissentser uise	-------|---⌫---|
mesnetrouapointdefran ch ise	--|-|----|----|-|----⌫--⌫--|
eneulsqu antelle i fu alee	-|---|--⌫--|---||-|---|
etunpoyentreusdemoree	-|-|--|---|--|------|
nequelsifuss entgens estrange	-|---|||----⌫--|---|-------|
chascun ladechace	------|-|------|
e testra nge	-⌫|-----⌫--|
chac un la fuitc hacunl esc hiue	----⌫-|-|---|-⌫----||---⌫---|
dolentecla imeetche itiue	------|---⌫--|-|---⌫----|
parens lo n te nha ie	-----||-⌫-⌫|-⌫---⌫-|
oue l cuidoittroueraie	-|-⌫|------|-----|--|
uoirs estp lus suntparensam is	----|--|-⌫--|---|-----|--⌫-|
quantsespare nstreue anemis	----|--|----⌫-|----|-----|
ne set mesa cuipuissep l eire	-|--|--||--|-----|-⌫-⌫---|
sonest ag enes onr epeire	--|---⌫--⌫|-|-⌫-|-⌫-----|
soncu erlialorsconsoillé	--|--⌫-|-||---|---------|
que prendroitdundr ap el	--|--------||-|--⌫--⌫-|
po rc ouurir lemaldeso nuis	--⌫|-⌫-----|-|--|-|--⌫|--|
ein sin tl i	---⌫---⌫|-⌫|
estoi tb ienauis	-----⌫|-⌫--|---|
q u e dessuenssero itme lzsofferte	-⌫-⌫|--|----|----⌫-|--⌫-|-------|
quantsa facese roitcouu erte	----|-|---|--⌫---|----⌫---|
nelo r feroit sa	-|--⌫|-----|-|
sigrantabhominacion	-|----|-----------|
quan tot c e fes triensneu alut	----⌫|-|-⌫|---⌫|----|-|-⌫---|
conque s por	|-----⌫|--|
cerie nsnechalut	-|---⌫-|-|-----|
ausparen s d eleque deuant	--|-----⌫||--|--|-----|
lorsseu etelle aperceuant	---|-|-⌫-|---|---------|
qu enparens	-|-|-----|
na nul lefiance	||---⌫-|-----|
en dieudoitlen m est ree sperance	-|---|---|--|-⌫---⌫-|-⌫-------|
et enla tres doucera in e	-|-|-|---|----|--⌫--⌫|
lacu i henorestenterigne	-|--⌫|----|--|--------|
quie st d eurayamorf ontaine	--|-⌫-|-⌫|---|---|-⌫------|
ueineet fausse estamor	----|-|-----|--|---|
mes quidieuets amer eapele	--|--|---|-|-⌫|---⌫|----|
sonamia et	--|--||-|
sa quer e le	-|----⌫-⌫-|
dieuetsa mereapela	---|-|-|---|----|
gondr eeetsaqu ere lea	-----⌫-|-|-|--⌫---⌫-||
a l adoucedame mostree	|-⌫|----|---|------|
dametrop uousai	---|---|---|-|
de labonteque m auezfete	-|-|----|--||---|---|
q uipa rtotdoit estreretreite	-⌫-|--⌫|--|---|----|-------|
poruoirgra n t bonte	--|---|---⌫-⌫|----|
me feis tes	-|----⌫--|
maladieesteins istes	------|-------⌫----|
qui totmaloitleuisardant	--|--||----|-|--|-----|
sui moultpoyregardan t	--|----|--|--------⌫|
quantpuisneuous ay feitseruise	----|---|-|---|-|---|------|
neen uostre	-|-|-----|
moust ie rr equise	-----⌫--⌫|-⌫-----|
e tpa sneuou s	-⌫|--⌫|-|---⌫|
dou maldomgesui de sli ee	--|--|--|-|--|--⌫---⌫-|
ets idure oncorela plaie	-|-⌫|---|-----|-|----|
mesparensencui	--|-----|-|--|
montdechaciee et	|--|--------|-|
dam ege urequ ieruostr e aie	---⌫|--⌫|----⌫--|-----⌫|--|
da mesenu ouscon seil netruis	--⌫-||-|-⌫--|---⌫---|-|----|
en nulaut re trouernelpuis	-|--|---⌫-|-----|-||---|
dameen uostreconseil me met	---|-|-----|------|-|--|
demeinmatin	-----|----|
ce uouspromet	-|---|-----|
iraycarilmene stmes tier	---|--|-||-|-⌫-|---⌫---|
a soissons	|-------|
enuostremou tier	-|-----|---⌫---|
illecuou s iray aourer	----|---⌫|---|-----|
demeinplus n	-----|---||
i uoill demorer	|----|------|
e tunechande ll e ferai	-⌫|--|------⌫--⌫|----|
lenneur deuosofferrai	|-----|-|--|-------|
qu ag reigneur	-||-⌫-------|
nepuis gesoffire	-|---|-|------|
chandel ledecire	-------⌫-|-|---|
quantainsi sefudementee	----|----|-|-|-------|
la n ui t uintsis alagond re e	-|-⌫--⌫|---|-||--|----⌫--⌫|
couc hieretliautr e sifirent	----⌫---|-|-|----⌫|-|-----|
mais on tuits en dormirent	----⌫-|---||--⌫--------|
quant unso mmesefudorm ie	----|-|--⌫--|-|-|----⌫-|
lorss esueilla	---||-------|
tote estor mie	---|-----⌫--|
desapro me sseremembr able	-|-|---⌫--⌫--|-------⌫---|
qu ellepe nsoit afeireestabl e	-|---|--⌫----||----|------⌫|
etmistsamainde sussa	-|---|-|---|--⌫--|-|
ettasta auantet arr i ere	-|----|----|-|---⌫-⌫--|
ledrapelsenti aualé	-|-----|----|-----|
arriereensonleule	------|-|--|--|-|
uostmestre	---|-----|
mai stantnes ensotentrem estr e	---⌫|---|-||-|--|------⌫----⌫|
qupuesten nulle	-|----|-|----|
mest reledr apelet arriere	----⌫-|-|--⌫-----|------|
lesgensdeleiansappela	--|---|-|-----|-----|
esueille z par sonappela	--------⌫|--|--|----||
etleurdist	-|---|---|
que il se leuassent	--|-|-|--------|
etchandelleli	-|--------|-|
alumass ent	-------⌫--|
qu e seh atassentde	--⌫|-|-⌫-------|-|
sondrapel t enir	--|-----|-⌫---|
mesiaseit ce quelles eueille	--|-|---|-|-|-|--|------|
illiont fei tla	-|-|--|---⌫|-|
so rde ore ille	--⌫--|---⌫---|
carp orcenu l	--|-⌫-|-|--⌫|
etcelle aqu i moultgr eua	-|----||--⌫|----|--⌫--|
remistsa maindessussonuis	-----|-|---|-----|--|--|
sisenticeli fu	-|----|-|-|-|
quantelleuoltle drapelp ren dre	----|---|---|-|-----|-⌫---⌫--|
desousse s dois	-----|--⌫|---|
ch armoleettend r e	--⌫-|---|-|----⌫-⌫|
etenue ritese nti	-|-|--⌫---|--⌫--|
charne u uefrei cheetn ouelle	---|--⌫-⌫-|----⌫--|-|-⌫-----|
etounes ensemble	-|-|--|-------|
q uitouteal aut rech arresemble	-⌫-|----|||---⌫-|--⌫-|-------|
pet i t plusreluiseit	---⌫-⌫|---|--------|
certauis a cuil	|--|---||--||
lors sescria comesbahie	---||-----|--|------|
aidedieusainte marie	---|---|-----|----|
a douzdieuxdoucedame aie	|---|----|----|---|--|
i lmestau isquesui garie	-⌫||--|--⌫-|--|--|----|
treisfoislada me raclama	----|---|-|--⌫-|------|
lahaute dametant	-|----|---|---|
quedeuantleuintenp resent	--|-----|-|---|-|-⌫-----|
cellelauit	----|-|--|
aper tement	----⌫-----|
sidis tdame quege uoici	-|---⌫|---|--|-|--|-|
g e uous r ent et gre et merci	-⌫|---|-⌫--|-|--|-|----|
decequep aru oussu isanee	-|-|--|-⌫-|-⌫--|--⌫|----|
matresdoucedame	-|---|----|---|
honn ore e	----⌫---⌫|
que porre ge al a g e nt dire	--|----|-||-⌫|-⌫-⌫-|---|
quim agitéhors dou	--|||----|---|--|
etladamelirespo nd i	-|-|---|-|-----⌫--⌫|
ladame de chartrescedi	-|---|-|-------|-|-|
tag ar i e ce puezsauoir	||-⌫--⌫-⌫|-|---|-----|
parce poezentendre	--|-|---|-------|
qu elle asicomnoslison	-|---||-|--|--|----|
achartre ssam est re me son	|-------⌫|-|-⌫---⌫-|--⌫--|
ladoucemeredieu	-|----|---|---|
a chartres ladoitlenr equerre	|-------|-|---|--|-⌫------|
commeensa chambre espe ci al	----|-|-|------|----⌫--⌫-|
etcommeenson pales	-|----|-|--|----|
oule nlasert	-|--⌫|-|---|
commeraine	----|----|
acuitretotlimont encline	|--|-----|-|---|------|
a char tresests a m etreiglise	|----⌫---|--|-⌫|-⌫---|-----|
quisinoblement estassise	--|-|--------|--|-----|
quela dame tientso uzs am ain	--|-|---|----|--⌫-|-⌫|-⌫--|
ettoutchartres ettoutcha rtein	-|---|-------|-|---|---⌫----|
l ad amelorsesuanoi	-⌫|-⌫--|---|------|
m oults esio i	-⌫---||----⌫|
remeint enson littoutecoi e	------|-|--|--|----|---⌫|
cil deleiens	--|-|-----|
qui oiorent	--|-|----|
lesp arol esplus toutqu	--|-⌫----⌫-|---|---|-|
seleueren t et alumere nt	-|-------⌫|-|-------⌫-|
etd roitaulitgondree a lerent	-|-⌫---|-|--|------|-⌫-----|
etuirent lemiracleap ert	-|-----|-|------|--⌫--|
et lenesde c harrecouuert	-|-|--|-|-⌫--|--------|
ainsint ot r ecouur ee	------|-|-⌫------⌫-|
sa pe rt e	-|--⌫--⌫|
co mdeuant	--⌫|-----|
fusaineetespe rte	-|----|-|----⌫--|
etriensneli	-|----|-|-|
fail liporuoir	----⌫-|--|---|
ainsotele d utauoir	---|-|--|-⌫-|----|
d o umiracle	-⌫-⌫|------|
seme ruei llerent	-|--⌫----⌫------|
dieu etsameremercie rent	---|-|-|---|------⌫---|
ainsintgrant	------|----|
ioieiotmenee	---||-|----|
comcellefustresu scitee	--|----|---|----⌫-----|
lendemein m a tin a	|-------|-⌫-⌫--||
totdroita soiss ons	--|----||-----⌫--|
ou ellaso nueu	-|--||--⌫|--|
car el le o f fri	--|--⌫-|-⌫-⌫--|
unechan dell e	--|----⌫----⌫|
deua ntlyma g ealap ucelle	----⌫-||---⌫-⌫||-|-⌫-----|
en quile fiz	-|--|-|--|
dieudes cendi	---|---⌫----|
aladamegr ac esrendi	|-|---|--⌫--⌫-|----|
qui sasante liot rendue	--|-|----|-|-|-----|
tout e sles gensqui	----⌫-⌫|--|---|--|
la uiserentetla qu e nure n t	|-⌫-------|-|-|--⌫-⌫----⌫-⌫|
etdetoutes pars acorurent	-|-|-----|---|--------|
etnesetbouche li besoien t	-|--|-|-----|-|-------⌫|
ceulz quies cheuerla soloient	----|--|--⌫-----|-|-------|
oieau éslau erite	--|--⌫--|-|-⌫----|
com mentde	---⌫---|-|
chart resla	-----⌫--|-|
lame redieu s ap el adame	-|--⌫-|---||--⌫--⌫|---|
autr esdames estla gemme	----⌫-|----|--|-|----|
cilqu ilelati nentraita	--|--⌫|-|----⌫|-|-----|
dom ioh anler omanstreita	--|---⌫-|-|-⌫----|----||
enson li uredit et	-|--|--⌫--|--|-|
sotcestebosoigne	--|----|-------|
auan tetem p resl	----⌫|-|--⌫-⌫--||
que geimise en ce steescriture	--||-|---|-|--⌫--|--------|
autre mira cle au liure lui	----|----⌫--|-|----|--|
quico ncordantestacel ui	--|--⌫-------|--||---⌫-|
que i e uos ai	--|-⌫|--|-|
dit enroman s	--|-|-----⌫|
unualet fudentorseiz eanz	-|----|-||----|----⌫|--|
ia son nonne u ossoitcelés	-|--|--|-|-⌫-|---|-----|
estoitapelés	-----|------|
cilcom preuz et	--|--|----|-|
dunun pa isant dunuilage	--|-|--⌫----||-|-----|
salouaases oure sfeire	|----||--|----⌫|----|
leuilei n felde pute	-|-----⌫|--|-|---|
qui ert uuis de bien etdegrace	--|--|---|-|---|-|-|----|
un ior def este seinte	-|--|-|-⌫---|-----|
comma nda auuale tal er	-----⌫--|-|----⌫|--⌫-|
eschansle ch aumearrasteller	-|----|-|--⌫---|----------|
liuallezpris sonra s te l a	-|-----|---|--|--⌫-⌫--⌫||
lechau mear astella	-|----⌫-|--⌫------|
sicomm eil liertcomm andé	-|----⌫|-|-|--|----⌫----|
douuileinqu i nauo it	--|-----|--⌫||---⌫-|
ne n s esseinzpoi ntde	|-⌫|-⌫-|----|---⌫-|-|
reueran ce	-------⌫-|
dusquesamidi	------||---|
liua ll estoute	-|--⌫--⌫-|----|
nauoit pa sreposrecouré	|----|--⌫|----|-------|
l assezfu siuostreposquerre	-⌫----|-|-|---|----|-----|
sigitas on ras tel a terre	-|---|-⌫-|---⌫--||----|
domlongue ment ot la boré	--|------⌫---|-|--⌫----|
notguiere seinsintdemoré	|-|------⌫|------|------|
quil uitsoudement nestre	-|-|--|--------|-----|
ne sotdon u intne	-|--|--|-⌫--|-|
de quelleu	-|---|--|
me slefe u	--⌫|-|--⌫|
a urastelse prist	-⌫|-----|-|----|
d oule rastelforment	|-|-|-----|------|
uoits on rasteles pris	---|-⌫-|-----|--⌫---|
doufeudur emen test	--|--|---⌫----⌫|--|
caresbahise ur	--|--------⌫-|
le surprent	-|-------|
sonr astelar rere	--|-⌫----|--⌫---|
olamainleprist	|-|---|-|----|
aesteindre	|--------|
quainsin tcuidoitlefeuesteindre	-|------⌫|------|-|--|--------|
entr eian t sa mainsuslafl amb e	-|--⌫----⌫|-|---|--|-|--⌫---⌫|
mesmentenant	--|--------|
la ma in efflambe	-|--⌫-|-------|
carlefeusipresle	--|-|--|-|---|-|
lameins eprent	-|---|-⌫|----|
la douleursentl e rastell e sse	-|------|---|-⌫|-----|-⌫-⌫--|
e tdecrier enhautnecesse	-⌫|-|----|-|---|-|----|
auprimiermot quil i	-|------|--|--|-⌫|
delabouchecriaei nsi	-|-|-----|---|--⌫--|
hazdame de char tr esmar ie	--|---|-|----⌫--⌫-|---⌫-|
douce pucelleaie aie	----|------|--|--|
aydiezmo idamedechartres	-----|--⌫|---|-|-------|
nemeu autoignementneplatres	-|-|-⌫--|--------|-|------|
senemaidie zdoucedame	-|-||-----⌫|----|---|
auouscom ma ntmon corset	|---|---⌫--⌫-|--|---|-|
encriantsi	-|-----|-|
s e demen toit	-⌫|-----⌫---|
comcilquigrantdouleursentoit	--|--|--|----|------|------|
delar deur qui lameinliart	-||--⌫---|--|-|---|-|--|
etuileinsdechacune part	-|------|-|------|---|
quile cr idouual let o irent	--|-|--⌫|--|---⌫--|-⌫----|
desch ans etdesuilles sailliren t	--|--⌫--|-|--|-----|---------⌫|
auc ri do u uallettret uit c orent	-|-⌫-|--⌫|-----|----⌫--|-⌫----|
entalent ésquillesecorent	--------⌫--|-|-|-|-------|
mesa no i en t sepuet	--||--⌫-⌫--⌫|-|---|
atte n dre	----⌫-⌫--|
ench arbontor né eten cendre	-|--⌫----|---⌫--|-|-|-----|
lerast elalate rre uoient	-|----⌫-||-|--⌫--|-----|
e tlameinardoir	-⌫|-|---|-----|
lorsesmoient	--||-------|
seignentdelamerueil le	-------|-|-|-------⌫-|
chacun sesba hi	-----||----⌫-|
etmerueille	-|--------|
liual esrefue sbahi	-|---⌫-|---|-⌫----|
deladoulorse sua noi	-|-|-----||-⌫---⌫--|
ainsint com fus tenpau ma is on	------|--|---⌫|-|---⌫--⌫--⌫-|
perdi le se net	----|-|--⌫|-|
etunepueur delarsure	-|--|----|-||-----|
eisisigrant a desmesure	---|-|----||--------|
laue rt u parmeintiorpe r dirent	-|--⌫--⌫|--|----|--|--⌫-⌫-----|
mei nz deceuls qui lasent i rent	---⌫-|-|----|--|-|----⌫-⌫---|
quepar lonc tensme ngiern e pore nt	--|--|---|---|--⌫----|-⌫|----⌫-|
porla grantdou leurqua	--|-|----|---⌫---|-||
cuer orent	---|----|
l ipais an tquiaucriu indrent	-⌫|----⌫--⌫|--|-|--|-⌫------|
benoiet entreleurbraz tindrent	------|----|---|---|-------|
silemportenten sam eson	-||--------|-|-|-⌫---|
po r lu if irent meinte or aison	--⌫|--⌫|-⌫----|-----|--⌫----|
lauilleenleuri gl is e	-|----|-|---|-⌫--⌫--⌫|
et meintechan delle ion tmise	-|-----|----⌫----||--⌫|---|
p o r luial	-⌫-⌫|--|||
autelnost r e dame	----|----⌫-⌫|---|
entoutelauillen	-|----|-|----||
qui porluine	--|--|--|-|
feistproiere	----|------|
en teldoleur en telmaniere	-|--|-----|-|--|------|
fuliuallezdousemadi	-|-|-----|--|-----|
dusques il uintau mescredi	------|-|---|-|-------|
iceluiioralai ornee	-----|--|||--⌫----|
deus dames	---|----|
deg ran t renomee	-|-⌫---⌫|------|
bi autesico m ge l ui	--⌫---|-|--⌫|-|-⌫-|
uitdedeua ntlui	--|------⌫-|--|
mes lun eertg reigneuretplus	--||--⌫|--|-⌫-------|-|---|
requenutbien c ell e	-------|---|-⌫---⌫|
quec estoitla	--||-----|-|
damedegr a ce	---|-|--⌫-⌫-|
etlautresi ertsainte	-||----|-|--|-----|
quilahaute	--|-|----|
dame priet	---|----|
por lui et moul t lisoupli et	--|--|-|----⌫|-|------⌫-|
etsidi soi tda me	-|-|--⌫---⌫|--⌫-|
p orqu ige uospriquicigist	-⌫-|--⌫|-|--|--|--|-|---|
que tel malsoeffreetteltanpeste	--|--|--|------|-|--|-------|
porcequilo uroitamafeste	--|-|-|-|-⌫----||-|----|
damequi estes	---|--|----|
cil pechie domserent	--|-----|--|-|---|
lis o itceu os	-|-⌫-⌫-|-|-⌫-|
pripard o n ne z	--|----⌫-⌫-⌫--⌫|
etsai n te da me	-|---⌫-⌫-|--⌫-|
seiluosples tp ar maprie re	-|-|--|----⌫|-⌫-|-|----⌫-|
aidelidonnésdamechiere	---|-|------|---|-----|
etlienuoiésgaris on	-|-|-------|-----⌫-|
aide rlideués parre s on	----⌫|-|-----|--|--⌫-⌫-|
en uousda metantsefia	-|---|--⌫-|---|-|--|
quau p remiercri que ilcria	-|-|-⌫-----|--|--|-|---|
re cla mala dame	--⌫---⌫-|-|---|
dechartres	-|-------|
les enc hartre z gitezdes	--|---⌫------⌫|----|--|
lesenfersd ameuisit ez	--|-----|-⌫--|-----⌫-|
dec estechart re legitez	-|-⌫---|-----⌫-|-|----|
et la dame pleinnedegrac e	-|-|---|------|-|----⌫|
sirespo ndia s a inte esgace	-|-----⌫--||-⌫-⌫---|-----|
leuallet porquimepriés	-|-----|--|--|-|-----|
tant ostcom sesentibl eciez	----⌫--|--|-|----|--⌫----|
am iglisen	||-----||
a chartresouuetquimal a	|-------|-|--|--|--||
porgari rde sa	--|----⌫|-|-|
i llecdoin ausenfersaie	-⌫---|---|--|-----|--|
enmamestreiglise	-|-|-----|-----|
medeusti l auoirrequise	-|----|-⌫|----|------|
illecoi ge les pechieurs	----|-|-|--|--------|
quideleurpe chies f o ntc la me urs	--|-|---|--⌫----|-⌫-⌫-|-⌫--⌫--⌫--|
ets ainteesgacerespondi	-|-⌫----|-----|-------|
madoucedame geuous	-|----|---|-|---|
que achartre suous r equerra	--||-------⌫|---|-⌫------|
t antostc omdeson	-⌫-----|-⌫-|-|--|
malg uerra	--|-⌫----|
tre stouz c es di s otentendu	---⌫----|-⌫-|--⌫|-|------|
l e ualletsia respondu	-⌫|-----|-||-------|
dam e seurtou t esautres da m es	---⌫|---|---⌫-⌫-|-----|--⌫-⌫-|
po e zcia més	--⌫-⌫|-|-⌫---|
sou uou lezde	|-|---⌫--|-|
etme poezdonneraie	-|-|---|-----|--|
ualetfetelleuoir asdi t	----|--|---|---|-|--⌫|
mais o ru a tost	---|-⌫|-⌫|---|
sanzcontredit	---|--------|
achartres ousuienno re e	|-------|-|--|----⌫--⌫|
illecuieu geestr eaoure e	----|---|-|----⌫|-----⌫|
et partenssidetoiiorras	-|--|---|-|-|--|-----|
qu aler seinementiporras	-|---|--------||-----|
damefetcile nuosme	---|--|--|-⌫|--|-|
g ireice uo usueuet promet	|---|-|--⌫-|--|-|-----|
alains quegeon qu es	||----⌫--|-|--⌫--⌫-|
alerpoint nedemorrei	---|----|-|-------|
enpres cesdis sesuanoiren t	-----|--|--||----------⌫|
les dameset sedepartirent	--|----|-|-|----------|
bonei conslesserent	-----⌫---|--------|
auuallet et	-|-----|-|
seignerent	---------|
etci ltantost se s enti	-|--⌫|------|-|-⌫---|
etdesapense et sa	-|-|-|----|-|-|
recuti lensemblesa nte	----|-⌫|-------|--⌫--|
desonueufer eentalen té	-|--|--|---⌫|-------⌫--|
uoisinsdesarue	------|-|-|--|
quic esteauentur eots eue	--|-⌫---|-------⌫|-|-⌫--|
chosequili auint	----|--|-|----|
otoutesa charre steu i nt	|----|-|------⌫--|-⌫-⌫-|
l a ou cil	-⌫|-|--|
litgeso it	--|----⌫-|
