quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
me sc estensa ingdesdaingnere	--⌫|-⌫--|----⌫--|-----------|
iaporeuxne mesaignere	-|--|--|-|-|-------|
ainzferresifo rt le	---|----|-|--⌫-|-|
dun desiauelo zq u ei e	|-|--|------⌫|-⌫-⌫|-⌫|
queian apro cheront d emoi	--|-||----⌫------|-⌫|--|
nus des autressicomgecroi	--|--|-----|-|--|-|---|
ainsialui me imesdis t	----||--|--⌫---|---⌫|
ain zqu il	---⌫--|-|
le s ueist	--⌫|----|
mesquantil	--|----|-|
lesuitenapert	--|--|-|----|
queduboisfu rentdescouuert	--|-|---|--⌫---|---------|
siuit les haubersfre m ianz	-|--|--|------|---⌫-⌫---|
etl esl an cesforzett renchanz	-|-⌫-|-⌫--⌫--|---|-|-⌫-------|
etleshiaumesetle s	-|--|------|-|--⌫|
quionq ues mes	--|---⌫--|--|
etuitl euertetle uermeill	-|--|-⌫|---|-|-|-------|
reluir econtre	------⌫|-----|
lesoulei ll	-|------⌫-|
oretla zur etlargent	-|-||-⌫--|-||-----|
quitantparest	--|---|--|--|
etbelet g e nt	-|--|-|-⌫-⌫-|
etd it ha sire	-|-⌫-|-|---|
cesont quegeuo ic i	-|---|--|-|--⌫|-⌫|
certesore ai	-----|--|-|
gemoutpechié	-|---|------|
or eaigem o utmal esploitie ́	--⌫|-|-|-⌫-⌫-|--|---------⌫|
q uidisq uecestoie nt	-⌫-|--|-⌫-||------⌫-|
nemedistpasmamere	-|-|---|--|-|---|
dis t que li e stoient	---⌫|--|-|-⌫------|
lesplusbeleschosesquisoie nt	--|---|----|-----|--|----⌫-|
forsdiexquiestpl usbiaxquetuit	---|---|--|--|--⌫-|---|--|---|
la uoige damedi eu	-|--|-|------⌫-|
belneni esgart	--||-||-----|
autresediex megart	----|-|---|-|---|
n ont miede biauteladisme	|--|--|-|-----|-|----|
cemedistmameremeism e	-|-|---|-|---|-----⌫|
d ie ucroireetaorer	-⌫--⌫|-----|-|----|
etsoupl ai erethonorer	-|-----⌫--⌫-|-|------|
etiea orerai cest ui	-|-|-⌫-----|----⌫-|
ettouzsesaue clui	-|---|--|---⌫|--|
m aintenantuersterrese	-⌫--------|---|----|-|
etdittrestoute sa creanc e	-|--|--------|-|------⌫|
etoro isonsque il sauoit	-|---⌫----|--|-|-----|
ques a mere ap ris liauoit	--|-⌫|---|--⌫--|-|----|
etlimes tr esdescheualliers	-|-|---⌫--⌫-|--|----------|
leuoitet ditestezariers	-|---|-|--|----|-----|
quaterreestde	-||----|--|-|
pao urcheuz	---⌫-|----|
ciluall ezqui nos aueuz	--|----⌫-|--|--||---|
sinos alionstuit e nse mb le	-|--|-----|---|-⌫---⌫--⌫-|
uersl ui il	---|-⌫-|-|
au roitcemese nble	--⌫---|-|-|--⌫---|
nerespond rene me	-|-------⌫-|-|-|
po r ro it	--⌫-⌫--⌫-|
a riens qu ege li demandas se	|----|--⌫|-|-|--------⌫-|
il sar est en t etcil s	-||--⌫---⌫--⌫|-|--||
ua lletgrantaleure	--⌫---|----|-----|
silesalueetaseure	-|-|----|-|-----|
etditua llez n	-|--|--⌫---||
nonaige pa r	--|-|-|--⌫|
fet liual lezencu i ge croi	--|-|---⌫--|-|--⌫|-|---|
estesuo s diexnenil par foi	----|--⌫|---|----|--|--|
qu estes uos dontche ualiers sui	-|----|--|---|---⌫------|--|
ainz me scheualierne connu i	---|--⌫|--------|-|-----⌫|
ualleznenulnenui	-----|-|--||-|-|
nonquesme sp ar lern	|-----|--⌫|-⌫--⌫--||
mesuos e stesplusbi ax quediex	--|--|-⌫---|---|--⌫-|--|---|
carfussegeoreautre tiex	--|----|-|--|-----⌫---|
ausi luisantet	---|------|-|
a cestmo ts	|---|--⌫||
estp resdeluitret	--|-⌫--|-|--|---|
et li cheuallier s li de m ande	-|-|----------⌫|-|--⌫-⌫---|
ueis tesuosen	----⌫--|--|-|
cestel ande	----|-⌫---|
yyche ual liers	-|---⌫---⌫----|
etyypuc e les	-|-|---⌫-⌫--|
liuallezaautresnouueles	-|-----||-----|-------|
enquerreet	-------|-|
de mander ente nt	--⌫-----|----⌫-|
a salance lamain litent	|-|----|-|---|-|---|
s e l prentetdit	-⌫||----|-|--|
bia usirecheualiers	---⌫|---|---------|
uosq uia ueznonch eu alliers	--|-⌫-|-⌫--|--|--⌫--⌫------|
queesticequeuos tenez	--|--|--|--|--|----|
or sui ge moutbien asenez	-|--|-|---|---|-----|
fet li cheualiersce	--|-|---------|-|
ge cu idoiebia udolzamis	-|--⌫----|---⌫|---|---|
aprendr ed eto i	-------⌫|-⌫|--⌫|
et lesueusoir de moi	-|--|---|--|-|--|
tedirai c eestma lance	-|----|-⌫|--|-|----|
uosd oncquelenla lance	--|-⌫--|--|--|-|----|
sigefazmesiaueloz	-|-|--|--|------|
uall e ztuestozsoz	----⌫-⌫|-|-|--|--|
enfiertentot d eme no is	-|----|-|--|-⌫---⌫--⌫-|
uaut miexli uns de cez yy	---|---|-|--|-|--|-|
queuo sueez ci	--|--⌫|---|-|
que queg e	---⌫--|-⌫|
etb estes abesoing	-|-⌫----||------|
et oc i de silo ing	-|--⌫|-|-|--⌫--|
comporr oitzz bozontrere	--|----⌫--|-|----|----|
dece n a igeque fere	-|-||-⌫|-|--|---|
des cheualiers me respont	--|---------|-|------|
setu sezo u	-|-|--|-⌫|
etpucelesueis tu	-|------|---|-|
liaupied e	-|-|--|-⌫|
etdittotenapert	-|--|--|-|----|
c eestet dequ oiuos	-⌫|--|-|-|--⌫-|--|
f etilestce abez	-⌫-|-|--|-|---|
car autre s par ol es memez	--|-----⌫|---⌫--⌫-|-|--|
quege nete	--|-|-|-|
quiernedemant	----|-|-----|
ie cuidoiese diexmament	-|------|-|---||----|
qu e tunouuelles	--⌫|-|--------|
me deisses	-|------|
ainzquedemoilesa preis ses	------|-|--|--|-⌫-----⌫--|
et t u ueus quege les t ap renge	-|-⌫|---|--|-|--||--⌫----|
ieltedirai	-||-|----|
commentquilprenge	--------|-|-----|
c aratoiuolent iersmaco rt	-⌫-||--|------⌫---||---⌫-|
escuanonceque gep ort	---||--|-|--|-|-⌫--|
escuanonu oirefetil	---||--|-⌫---|--|-|
nel edoimi e tenirauill	-|-⌫|--|--⌫|----||---|
car ilmest	--|-||--|
tant debone	---|-|---|
lanceo u tret a	----|-⌫|---||
encontretozles copssetret	-------|--|--|---|-|---|
cest leserui se	|--|-|-----⌫-|
atant cilq uifurentariere	----|--|-⌫-|-----|-----|
soruinr ent totelacharrie re	-------⌫--|---|-|-------⌫-|
uers lo rsei gn ortrestot lepas	---|--⌫|---⌫--⌫-|------|-|--|
sili dienti sn ell epas	-|-|----|-⌫--⌫---⌫---|
sirequeu osd it cil g aloi s	---|--|-⌫-|-⌫-|--|-⌫----⌫|
setpast outesnozl ois	--|--|-⌫----|--|-⌫--|
fetlisir es sedex m ament	--|-|---⌫-|-|--||----|
querie n s nulequelidemant	--|---⌫-⌫|---|--|-|-----|
neresp o nt ilonques	-|----⌫-⌫-|-|-----|
ai n zde mandedequanqu	--⌫-⌫|--⌫----|-|-----|
commentanone tqu	------||--|-⌫|-|
s iresach iezbien entreset	-⌫--|----⌫--|---|-------|
quegaloi s sont tuit	--|-----⌫|---|---|
p ar nature	-⌫-|-----|
plusfo lque be stesenpas tu r e	---|--⌫|--|--⌫---|-|---⌫--⌫-⌫|
cistesteinsi	---|--|----|
comme uneb este	----|--|-⌫---|
foxest quidelez lui s areste	--|--|--|----|--||-----|
sa la muse	||-|---|
neu eultmuser	-|-⌫---|----|
etafo leursonte nsuser	-||--⌫---|--|--⌫-|---|
feti lsed exmeuoie	--|-⌫|-|-⌫-|-|---|
a inzque soiemis ala u oie	-⌫-----|---|--||-|-⌫--|
uorr alidirai	----⌫|-|----|
iaa utrem entn	-|-⌫-----⌫--||
enpa rtirai	-|--⌫-----|
lorsli dema nde derechief	---|-|----⌫--|--------|
uallezfetil nete	-----|--|-|-|-|
so itgri ef	--⌫-|---⌫-|
mes des yy ch euallier smedi	--|--|-|--⌫--------⌫|-|-|
etdes pucele sau tr esi	-|--|------⌫|--⌫--⌫--|
seleencontras n euei s	-|-|--------|-⌫|---⌫|
etliuallezle t enoit pris	-|-|-----|-|-⌫----|---|
a upanduhaub er csi	-⌫|--|-|----⌫--⌫|-|
or medites	-|-|----|
fet i lbiausire	--|-⌫|---|---|
quec estque	--||--|--|
uos auezuestu	--|---|----|
ualletd istildontnesez tu	-----|-⌫--|-|---|-|--|-|
iete diquecest meshauber s	-|-|-|--||--|--|------⌫|
sest einsi pesan zcommefers	|--|----|-----⌫|----|---|
ferseu oiztubien	--|-|-⌫--|-|---|
decefetilnesai	-|-|--|-|-|--|
mesmo utestbiaxsedexme	--|--⌫-|--|---|-|--|-|
quenf etesuos et	-|-|-⌫---|--|-|
queuos uaut	--|--|---|
ual let cesta	---⌫--||--||
dire legier	---|-----|
soruoloies	|-|------|
am oilancier	|-⌫-|------|
iauelot ou	------|-|
saietetrere	-----|----|
nemeporroies n ul malfere	-|-|-------|-⌫-|--|---|
dansc heual iersdetiexhau bers	---|-⌫-----⌫---|-|---|---⌫---|
gartdiexles bi cheset lescers	---|---|--|--⌫---|-|--|---|
quen ulocir re	--|-⌫-|----⌫-|
n enporroi e	|-|------⌫|
apresn e co r roie	----|-⌫|--⌫-⌫---|
etlicheua l lie rs	-|-|-----⌫-⌫---⌫-|
uallezf et	-----|-⌫-|
s e tu mesez dire nouuelles	-⌫|-|-|--|---|--------|
de scheualiers e tdespucelle s	--⌫|---------|-⌫|--|-------⌫|
et cilqui petit fu senez	-|--|--|----|-|----|
f ustes uos eins i	-⌫----|--|----⌫|
nenilu allezce nepu etestre	----|-⌫----|-|-|--⌫-|----|
que einsipu issenuler iensnestre	--|----|--⌫---|---|-⌫---|-----|
quiuosatorn adonc einsi	--|--|-----⌫|---|----|
uallez gete diraibien qui	-----|-|-|----|---|--|
doncmoutu ol entiers	---|---|-⌫--⌫------|
mie enc oryy	--|---⌫-|-|
an zentiers	--⌫|------|
quetou tceherno ismedonna	--|---⌫|-|-----⌫-|-|----|
li roisartusquimadouba	-|---|----|--||-----|
mesore medi	--|--|-|-|
quedeuind rent	--|------⌫---|
li che ualier quiparciuinrent	-|---⌫-----|--|--|-|------|
p uceles conduient	-⌫-----|--------|
uo ntillepa sou	--⌫-|-|-|--⌫|-|
etc ildist	-|-⌫-|---|
sir eor eesgardez	---⌫|--⌫|-------|
lepl ushaut	-|--⌫-|---|
boisque uos	---|--|--|
quice l emonteigne auironne	--|--⌫-⌫|--------|-------|
l a sontlidestroit du	-⌫|---|-|-------|-|
duualdon e	-|------⌫|
etqu estde cefetilbiau	-|-|--|-|-|--|-|---|
herceeurmamere	-------|-|---|
terres sementet hercerent	-----|-----|-|--------|
etsecesgenz i trepassere nt	-|-|--|---||----------⌫-|
il lesuir entsel	-|--|---⌫--|-||
uos diront	--|-----|
etc ild ientquei li ront	-|-⌫-|-⌫---|--|-⌫|-⌫---|
oueclui seil	---|--|-|-|
lesimainne	--||-----|
iusqua ceus	----||---|
quihercentlau ainne	--|------||--⌫----|
liu a ll ezprent sonchaceeur	-|-⌫-⌫--⌫-|----|--|-------|
etu etlao u li he rceeur	-|-⌫-|-|-⌫|-|--⌫-----|
hercoientles	--------|--|
terr e sarees	----⌫-⌫|----|
ou lesau eines	-|--|--⌫----|
sont seme es	---|----⌫-|
etquantiluirent lorseignor	-|----|-|-----|--|------|
si tremblerent	-|----------|
tui t dep eor	---⌫|-|-⌫--|
et sauezporquoil efirent	-|----|--|---|-⌫|-----|
porles c heualliersqueiluirent	--|--|-⌫---------|--|-|-----|
luiarméu enoient	--|----|-⌫------|
carbiensorent sil liauoient	--|---|-----||-|-|------|
loraferedite testre	--|----|--|-⌫|----|
queiluor roit cheuali e rse stre	--|-|---⌫---|-------⌫-⌫-|-⌫---|
etsamer eeni stroitdu sen	-|-|---⌫|-|-⌫-----|-|--|
quedestor n er li cuidoit	--|------⌫-⌫-|-|------|
queiac heualierne ueist	--|-|-⌫-------|-|----|
n el or afere napreist	-⌫|-⌫-|----||------|
adita souu riers	|--|-⌫|---⌫----|
ue i st esuos yy cheualiers	--⌫-⌫--⌫-|--|-|---------|
e tyypucelescialer	-⌫|-|------|-|---|
parc es destroizfontlibouier	--|-⌫-|-------|---|-|-----|
s en uo nt mout tostsanzd elaier	|-|--⌫-|---|---|---|-⌫-----|
et liuallez aucheualier	-|-|-----|-|--------|
quit ant auoitaluipar lé	--|-⌫--|----||--|---⌫--|
distsire parci	---|---|--|-|
li cheualieretlespuceles	-|--------|-|--|------|
meso rmedit esles	--|-⌫|-|---⌫-|--|
d ur oi quilescheualiersfe t	-⌫|-⌫-|--|--|---------|--⌫|
etlelie uouil p l usestet	-|-|---⌫|-|-|-⌫-⌫-|----|
uassaux fetildire te	------|--|-|---|-|
quelirois se iorn eacar dueill	--|-|---|--⌫----⌫||---⌫-----|
n a mi eencorpassé tiersior	||--⌫|----|-----|----|--|
q u eilies toit aseior	-⌫-⌫|-||--⌫---||----|
c argeifuetge le ui	-⌫-|-||-|-|-|-|-|
etsetun el treuues ici	-|-|-|-⌫||------|--|
bienert qui let ens eing nera	---|--|--|-||---⌫----⌫---|
iasitrestornezne sera	-|-|---------|-|---|
ta nto stlesgra nz g alozsen part	--⌫---⌫-|--|---⌫-|-⌫---||-|---|
l i ch eualier	-⌫|--⌫------|
qui le ustles autres	-|-⌫|-⌫--|--|-----|
etliuallez sin es estfainz	-|-|-----|-|-⌫||--|----|
d er etorneraso n manoi r	-⌫|-⌫------||--⌫|-----⌫|
dolentetnoir	-----|-|---|
auoitlec ue rpour	----|-|-⌫--⌫|---|
sa demor e	-|-----⌫|
grantioie aeua	----|---||-||
ce le or e	--⌫-|--⌫|
q ueleuitnepasnepot	-⌫-|-|--|-|--|-|--|
celer laioiequ	----|-|---|-|
car commeme requimou t lainme	--|----|--⌫-|--|---⌫||----|
cortc o n treluietsi	---|-⌫-⌫-⌫--|--|-|-|
biaufilzplus de	---|---|---|-|
y y fo i z	-⌫|--⌫-⌫|
mouta estém o n	---||----|-⌫-⌫|
cuerdestro i z	---|------⌫-⌫|
pourta demoree	---|-|------|
de duelai estéacor ee	-|---|-|----|----⌫-|
si queparpoumor te n esui	-|--|--|--|---⌫-|-⌫|--|
uos tant estéhui	--|---|----|--|
leuos dirai	-|--|----|
p arfoi que ia	-⌫-|--|--|-|
nenmentirai	|-|-------|
queieai mou t	--|-|-|---⌫|
gr antioie	--⌫--|---|
dunecho seque g	|--|---⌫-|--||
dontneme so ul iezuos dire	---|-|-|--⌫--⌫--|--|---|
quelidieuno stresire	--|-|---|--⌫---|---|
sontsi tres bel	---|-|---|--|
c onque snature	|-----⌫|-----|
belecriat ure	---|-----⌫--|
nelmondenasi	|-|----|||-|
biau filzencorele uosdibien	---|---|-----|-|--|-|---|
uoiretdiencore	---|-|-|-----|
tesiezmere	-----|---|
neuig eore	-|-|-⌫|--|
lesplusb eleschosequ isont	--|---|-⌫---|----|--⌫|---|
quienla gaste fores tuon t	--|-|-|----|-----⌫|---⌫|
ilson t p lusbel si	-|---⌫|-⌫--|--|-|
sitrestuit	-|-------|
lamereent reses braz l e	-|---|---⌫-|--|---|-⌫|
et d it bi aufil z adieuterent	-|-⌫-|--⌫-|---⌫||---|-|---|
c armoutaigra nt	-⌫-|---|-|---⌫-|
peordet oi	---|-|-⌫-|
tuasueusico n iecroi	-|-|--|-|--⌫|-|---|
lesdont les g enzs e nplei n gne nt	--|---|--|-⌫--||-⌫|----⌫-⌫---⌫-|
quil ocientquanqu il	-|-|-----|-----|-|
ataingnent	---------|
nonai uoir merenon	--|-|---|---|--|
cheu alierdient qu	----⌫----|----|-|
lameresepasme acelmot	-|---|-|----||--|--|
qua n t cheu ali ernommerli	---⌫-⌫|----⌫---⌫-|-----|-|
etquantele	-|----|--|
furedreciee	-|--------|
ditc omme fa me	--|-⌫---|--⌫-|
halasseconsui	-|----|--|--|
malbail lie	-------⌫--|
biaxchierfilzde che uallerie	---|----|---|-|---⌫-------|
u oscuidoiege	-⌫-|------|-|
biengarder	---|-----|
queian en oissiezpa rler	--|-||-|------|--⌫---|
neianus nenc onneu ssiez	-|-|--||-|-⌫-----⌫----|
cheuali er s est rede uss ie z	-------⌫--⌫|---⌫-|--⌫---⌫--⌫|
bia x filzsidamed iex pleust	---⌫|---|-|-----⌫--|-----|
queuost re	--|----⌫-|
per esuoseust	---⌫-|--|---|
garde ́ etuosautre samis	-----⌫|-|--|-----⌫|---|
not c heualier desi	|-|-⌫-------|-|-|
haut p ris	---|-⌫--|
tantredouténetant c rem u	---|-------|-|---|-⌫---⌫|
biaufilz con	---|---|--|
uostreperes fu	-----|----|-|
en t o utesles il les dem er	-|-⌫-⌫---|--|--⌫--|-|-⌫-|
bia x filz	---⌫|---|
geme p uis	-|-|-⌫--|
bienuante r	---|-----⌫|
queuosnedec haez d e	--|--|-|---⌫---|-⌫|
c argesuidecheualiernee	-⌫-|-|--|-|--------|--|
desmeillors decestecontree	--|-------|-|----|------|
demerno tli gnage	-|--||-⌫|--⌫----|
m ei llordumien	-⌫--⌫---|-|---|
en mon aage	-|--|---|
mes limeillorsontdecheu	--|-|------|---|-----|
c est b ienen pl usors	|--|-⌫--|-|--⌫----|
que lesmeschea ncesauienent	--|--|-------⌫---|-------|
asprodomes	-|-------|
qui se maintie nnent	--|-|-------⌫----|
eng rant honor	-|-⌫---|----|
et en pro ece	-|-|---⌫--|
quem auuestieet enpe rece	--|-⌫-------|-|----⌫---|
ne dechietpasque	-|------|--|--|
lesmeil l ors decheoir	--|----⌫-⌫--|-------|
uostre pere	-----|---|
sine l saue z	-|-||----⌫|
leshanches naurez	--|------|-----|
ilenmehaingnadu	-|-|--------|-|
sagran tterre et ses g ranztresors	-|----⌫|----|-|--|-⌫---|------|
queil auoi tcommepr eudom	--|-|----⌫|----|--⌫----|
aloit touza pe rdicion	----|---||--⌫------|
sichaiengrant	-|---|-|----|
a po uriet	-⌫--⌫--|-|
desherité	---------|
etess iliéfure ntatort	-|---⌫----|----⌫-||---|
ligentilhomeapreslamort	-|-----|---|----|-|---|
ut erpand r agon quiroisfu	--⌫------⌫-⌫---|--|---|-|
et pereslebon	-|----|-|--|
lesterresfurent	--|-----|-----|
essilli ees	-------⌫--|
et les p ouresgenza uilliees	-|--|-⌫----|---|-⌫-------|
sisen f oui quifo uir	-||-|-⌫--|--|--⌫--|
uostr eperesce	-----⌫|----|-|
ici en ces te	--|-|---⌫-|
f orestga ste	-⌫----|--⌫--|
ne pot foirmesag ranthaste	-|--|---|--||-⌫---|----|
enl itier eaport er sefist	-|-⌫-----⌫|-----⌫-|-|---|
quar ilnesoto uilfois t	---|-|-|--|-⌫|-|----⌫|
etuos quipetiz estie z	-|--|--|----|-----⌫|
yy mou tbiax freresa uiez	-|---⌫|---|-----|-⌫---|
petizestiez	----|-----|
pouauiezplusdeyy ans	--|----|---|-|-|--|
quant grant fur entuo stre du i f rer e	----|----|---⌫--|--⌫---|--⌫|-⌫---⌫|
aulos etauco nseiluopere	-|--|-|-|--⌫----|-|---|
alerentayy croizro iaus	------||-|----|--⌫---|
pourau o irarmes e tche ua x	---|--⌫-⌫-|----|-⌫|---⌫--⌫|
auroid ec auelon	-|--|-⌫|-⌫-----|
liainznez et tant seruil a	-|------|-|---|----|||
q uech euallier sfua d ou bez	-⌫-|--⌫--------⌫|-|-⌫-⌫--⌫--|
et liautresquifu	-|-|-----|--|-|
m ai nznez	-⌫--⌫-|--|
fu auroibandeguomer et	-|-|--|--|-|------⌫-|
en z zioranduil i	-|-⌫|--|----|-⌫|
ad oubé etcheualierfurent	--⌫----|-|--------|-----|
etenzzio renmeduimurent	-|-|-|--⌫|------|-----|
pourreuen ira leu rrepere	---|-----⌫-||---⌫|-----|
carioiemeuoloient fere	--|---|-|-------|---|
etlorpe resquipuisn es	-|--|--⌫--|--|---||-|
queas armesfurent des confit	--|-|----|-----|---⌫-----|
darmes fu rent mortembe dui	|----|--⌫---|---|----⌫--|
do ntai gra nt duel et grantanui	--⌫-|-|---⌫-|---|-|----|---|
d el ainzneauinrent meru eilles	-⌫||-----|-------|----⌫-----|
car licorbeletlesco rnei lles	--|-|-----|-|--|--⌫----⌫---|
uoloirletrouerent	-----|-|--------|
anmedu ileseulz licreuerent	------⌫|--|---|-|--------|
dudueldu fil m orut	-|---|-|--|-⌫---|
ai uiemoutamere	-|--|---|----|
