abraham mangierlesueoit	------|------|--|----|
k e lorpe chiesneremanroit	-⌫|--|--⌫----|-|--------|
acolesamenroit	|-|--|-------|
con ques gensnefur ent m en é	|--⌫---|---|-|---⌫--|-⌫--⌫-|
que t rop lonc	--|-⌫--|---|
t ans orentmen e ́	-⌫--|----|---⌫-⌫|
lolaitpechieleuilet lort	-|---|-----|-|--|-||--|
parq uilfurentliuréa	--|-⌫|-|-----|-----||
ma i nten antquedeu sotcedit	--⌫-⌫----⌫-----|---⌫|-|-|--|
sainscontreman tetsainsrespi t	----|---------⌫|-|----|-----⌫|
y yangle s	-⌫|-----⌫|
etci iuont ladroiteu oie	-|-||---|-|-----|-⌫--|
pa rlopla is ir deula s enuo nt	--⌫|-|---⌫--⌫-|--|-||-|--⌫-|
pordampneirceas	--|-------|---|
orserontmortet	-|-----|---|-|
et damride usreme ist iki	-|-------⌫-|----⌫--|--|
ere deu ant	--|---⌫--|
quil amoitar ieret	--||----|--⌫--|-|
pre seirtdeson seruiceoffrir	---⌫|---|-|--|------|-----|
deu sli distnepuis plussofrir	---⌫|-|---|-|---|---|-----|
pechie nel	-----|-||
qu ecesg ens f ontsece lordure	--⌫|--|-⌫--|-⌫--|-|-|--|---|
bienseporrontdemoi gabeir	---|-|------|-|--|-----|
e t abrahamli proslibeir	-⌫|------|-|---|-|---|
li proieet dist com h ompiteus	-|----|-|---|--|-⌫-|-----|
hedeusbeassi reesperi t eus	-|---|---|--⌫-|------⌫-⌫--|
nedestru ireton peuple	-|------⌫--|--|-----|
uoir deusabaiss e	---|---|------⌫|
ta gra n t ire	-|---⌫-⌫|--|
tupues totfaire et	-|---|--|----|-|
ci lqu ise porrontespurgier	--⌫|--⌫|-|------|--------|
n aientc olpeencest pechie	|----|-⌫---|-|---|-----|
e t k ilnensoiententech ié	-⌫||-||-|-----|------⌫--|
aur o ntil malauec le s	---⌫-⌫-|-|--|---|--⌫|
serontilfauséporlesfa u s	-----|-|-----|--|--|--⌫-⌫|
toi ors estes	---⌫--|----|
neperdezporle smaz l es	-|-----|--|--⌫|--|-⌫-|
sir e se tuuuesesprouei r	---⌫|-|-|---|--------⌫|
quede sbu ens i p uissie nstroueir	--|--⌫|--⌫--||-⌫------⌫-|------|
etdesiust esdusqua	-|--|----⌫-|----||
chiers s ireor	-----|-⌫--|-|
se p or lescinquante garront	-|-⌫-|--|--------|------|
deusli distianelcomparront	---|-|---|-|-||---------|
seles y ybuensi	-|--|-⌫|----||
quecestborseettrueue	--||--|----|-|-----|
bea ssirenetemeru eil lie r	---⌫|---|-|-|----⌫---⌫---⌫|
delaproi e re	-|-|----⌫-⌫-|
mul tuolentiersparmon porcac	---⌫|---------|--|--|-----|
uoroiecesgensgaranti r	-----|--|---|-------⌫|
silse uoloientrepentir	|-|-|-------|-------|
d es m a zetdesors	-⌫-|-⌫-⌫|-|--|--|
uis pechies	--|------|
aque cascunsest	|--|------|--|
beas chi erssire or oie ́ suostre	---|---⌫--|---|-|---⌫-⌫|-----|
et desaproierelasome	-|-|-|------|-|---|
uo s estanu ie	--⌫|--|---⌫-|
biasdous chi ersire	---|---|---⌫-|---|
lentendoi sporm etre	|--------⌫|--|-⌫---|
enboneoeur e	-|---|----⌫|
ke por conem osieremueure	-|--|-|-||-|-|-------|
ta ntquei oieuostreu oloir	--⌫----||--|-----|-⌫----|
lors simeporai	---|-|-|----|
mainsdoloir	----|-----|
seyysuntiki	-|-|---|--|
debuensaront ildontmerci	-|----|----|-|---|----|
deusl i distiel o r pardon ra i	---|-⌫|---|-|-⌫-⌫|------⌫--⌫|
na nuleokoisonn	||---|------||
s eli quara ntecinc is ont	-⌫|-|-----⌫--|---||-⌫--|
delmeffait queli	--|------|--|-|
s ireplains demisericorde	-⌫--|-----|-|----------|
bea sdous chiers	---⌫|---|-----|
sire ort e recorde	---|-|-⌫|------|
bienquemnestmaisquecendre	---||--||--|---|--|-----|
ire descendr e	--|--------⌫|
entreles gens	----|--|---|
bi au dous sireacuige	--⌫-|---|---||--|-|
nonquest esbiens	|-----|-⌫-|----|
nem obli a	-||----⌫|
seyybon s e nia	-|-|---⌫|-⌫|||
k e niertaq uen m	|-⌫|---||-⌫--||
enpuis aherd re	-|---|-----⌫-|
dis tnaicure deasp erdre	---⌫||-|---||--|-⌫----|
yy ierentgari	-|-----|---|
iueueneet uiel	------|-|---|
dammesetmari	-----|-|---|
abrahamdelproiers	------|--|-----||
aus icomsoe fust	---⌫|--|--|---|
par buen cuer e t pa rbone	--|---|---|-⌫|--⌫|---|
parces gensestoiten defense	--|--|---|-----|-|------|
uers d amr ideu pars aproiere	---|-⌫---⌫---|--|-⌫|------|
multlid ist en belemaniere	---|-|-⌫--|-|---|------|
sir e d eu s ne	---⌫|-⌫--⌫|-|
te cor echi er	-|---⌫----⌫-|
couient esdrechier	------|---------|
maproier e	-|------⌫|
et si netegriet	-|-|-|-|----|
beassi res ilte	---|--⌫-||-|-|
plai stetsi et	----⌫-|-|--⌫-|
m oietpo rmonseruice	-⌫-|-|--⌫|--|------|
bienm apai nnemise	---|-⌫|---⌫--|---|
semaproieretatalan te	-|-|------||------⌫-|
debuens s onenitrueue trente	-|----||-|-||-----|-----|
sero ntg ari	----⌫-|-⌫--|
et c i stet cil	-|-⌫-⌫-|-|--|
etdamride uslidistoil	-|-------⌫-|-|---|--|
porlest rente ser onttuit quite	--|--|-⌫----|---⌫--|---|----|
iataproieren iert despite	-|-|------||---|------|
abra hampor ces g ensoppose	----⌫--|--|--|-⌫--|-----|
damrideu kibi enfairel ose	-------|-|--⌫-|----||--|
cuerdouce mentlip rie	---|-----⌫---|-|-⌫--|
nelais sepas k ilne li die	-|----⌫-|--||-|-|-|--|
uoirsdeuspiusetmis ericors	----|---|---|-|---⌫------|
cuii ere nc et	--|-⌫|--⌫-|-|
totadesau antet ariere	--|---|--⌫--|-|-----|
urai s deus entend ez ma proiere	----⌫|---|------⌫-|-|------|
etie dirai	-|-|----|
gran sbiensmauint	----⌫|----||----|
buensi adusqua	----|||----||
iertcismata lan sapaiés	---|--|----⌫---⌫|------|
deuslidist biensera paiés	---|-|---|---|---|-----|
se u int desiustesen i	-|-⌫--|--|-----|-||
don tiertmausse ie les destruis	---⌫|---|---|-|-|--|-------|
bie n fist	---⌫|---|
saproie re ab rahans	-|-----⌫-|--⌫-----|
c omme bonshom etbiencreans	-⌫---|---|--|-|---|-----|
p or cesgens proiedeu m ultfort	-⌫-|--|---|----|--|-⌫--|---|
ne luo tlaissiern	-||--⌫|-------||
a durna for t	|--|||---⌫|
ai nsl irepriederechief	--⌫-|-⌫|-----|--------|
kebienens out	-|---|-|-⌫--|
uen irachief	---⌫-||----|
pi usdeusuoirsi ustic iers et	--⌫-|---|----|-⌫-----⌫---|-|
escout ezencor unefois	------⌫-|----|--|---|
uostreho m e naiéspasdespit	-----|--⌫-⌫||----|--|-----|
se porces gen s uusquiertrespit	-|--|--|---⌫|--|-----|-----|
iaporpio rne len ten ez	-|--|---⌫|-||-|---⌫-|
acestlinumbresa menez	||--|-|------|-⌫----|
biassirene	---|---|-|
sedesbonsiadusqua	-|--|---|||----||
sireseront	---|-----|
i lrespitie ́	-⌫|--------⌫|
deusdi stie n	---|--⌫-||-⌫|
aur oiepitie	---⌫--|----|
solementyyenieust	-------|-|-||---|
i aencontreeas ne s	-⌫|-------|--|-||
magr an s irenemescorr os	-|--⌫--⌫|--|-|--|----⌫-|
maispa r tensiertlif estusros	---|--⌫|---|---|-|-⌫----|--|
que d esboens c	--|-⌫-|----||
seul nisai	---|||--|
quetuitsunt tochié d un assai	--|---|---|------||-|----|
abrah amdeas	-----⌫-||--|
sal ueirsepainne	---⌫---|-|-----|
ne pot p erdue	-|--|-⌫----|
fusap ainn e	-|-|-⌫----⌫|
dam rideus plusporquesprouast	---⌫-----|---|--|-|--------|
quen y y citezlen netrouast	-|-|-⌫|----|--|-|------|
kuntoseulprod ome	|-|-|---|----⌫--|
li uitnun n el isot	||--||-|-⌫|||--|
da mrideusd enki se	--⌫------||---|-|
abra ha mtornedautr e	----⌫--⌫|----||----⌫|
d ela dont	-⌫|-|---|
ilmeuses toit	-|---|--⌫---|
por cesgensmultse dement oit	--|--|---|---|-|------⌫--|
d a m rideusensodome enuoie	-⌫-⌫-⌫-----|-|-----|-----|
yyanglescuiriensnedesuoie	-|-----|--|----|-|------|
por dam pneirl esmauaisesge ns	--|---⌫----|-⌫-|-------|--⌫-|
kilesmaz fontet	-|--|--|---|-|
forset ens	---|-|--|
alur espredroi t enlacite i	-|--⌫----|----⌫|-|-|----⌫|
uinrentpa r g rant hum i litei	------|--⌫|-⌫---|---⌫-⌫----|
belfurentdeuisetdeface	--|-----|-|--|-|-|---|
enmi la uilleenunep lace	---|-|----|-|--|-⌫---|
s esturent grantd eismepiece	|-------|------⌫----|----|
loht aparchoit	---|--------|
bi ene t sosp iece	--⌫-|-⌫|----⌫---|
quecesuntangleetsaint me ssage	--|-|---|----|-|----|--⌫----|
semblant lorafait d ome sag e	-------|--||---||--|---⌫|
tantostkil les otconeus	------||-|--|-|-----|
tossescuersmeus	--|--|----|---|
humlementenuer seas s acline	--------|-----⌫|--||-----|
mul t par fondementlesencline	---⌫|---⌫--------|--|------|
bi enseit kile irent enuoié	--⌫-|---||-|-⌫----|------|
a dou cement	|---⌫-----|
kilher bergentensa maison	|-|---⌫------|-|-|-----|
d istpar bellerais on	-⌫--|--|----|----⌫-|
nesuout d e rien plus opposeir	|-|---|-⌫|---|---|-------|
andeus les mainne reposeir	-----|--|-----|-------|
f aitlau eirl or pies	-⌫--|---⌫--|-⌫-|---|
puis ce q uil	---|-|-⌫|-|
lesaherbregiés	--||----------|
l ibo ns homuolentiers les	-⌫|--⌫-|--|---------|--|
ensicomlistoirenos dist	---|--||------|--|---|
multbienlesatorneet	---|---|--|-----|-|
cil delauill etu i t atire	--|-|-|----⌫|--⌫-⌫||---|
uiel et i uenepetit etgrant	---|-|-⌫---|----|-|----|
deasauoir furent	|--|----|-----|
mult engrant	---|------|
ketropb easlesorent ueus	-|---|-⌫--|--|----|---|
cascunsdeceus	------|-----|
plainfuren tdegrant crualte	----|-----⌫|-|----|------|
tantsuntespris d elorbe aut e	---|---|-----|-⌫|--|--⌫---⌫|
killescuidentauoira	|-|--|------|----||
mais lothdeasgarentir	---|---||--|-------|
potases huisfer mez	--||--|---|---⌫--|
qu a malsest cascunsa torn ez	-||--||--|------|-⌫----⌫-|
p echiemielsat isier	-⌫----|----|--⌫----|
uoloientles huislot hbrisier	-------|--|---|---⌫|------|
deconeseporenttaisir	-|-|-|-|-----|-----|
ain sdien t quaueceas	---⌫|----⌫|-|---|--|
uu e le nt cuik ilsoitlai tubel	--⌫-⌫--⌫-|---|-|---|---⌫||--|
entorl osteilfontgrant	----||-----|---|----|
lot h ses c ri esaingnor merci	---⌫||--⌫-⌫--⌫|-------|----|
i ai yy multbellesf illes ci	|-|-|---|-----|-⌫----|-|
gis iésaellessiluos siet	---⌫---||----||-|--|---|
a ncoi squautrechose	-⌫----⌫--|----|----|
decon auoi entil	-|-||----⌫--|-|
k a illo rson tmisdel tot	|-⌫----⌫-|--⌫|--|--|--|
lesparois etleshuis pe choient	--|-----|-|--|---|--⌫------|
cantdeusuitk en sis	---|---|--||--⌫-||
aua n coient	---⌫-⌫-----|
sifier tles grans	-|----⌫|--|----|
etlesm eneurs	-|--|-⌫-----|
multlorauint gr ansde shoneurs	---|--|----|--⌫--|--⌫-------|
ke liunles autres	-|-|-|--|-----|
agrantpainneseremouoient	|----|-----|-|---------|
alma lfairesunt	-|--⌫|----|---|
tu itonn i	--⌫-|---⌫|
escarnif urentethoni	------|-⌫----|-|---|
mauaisementprist	----------|----|
l or afaires	-⌫-|------|
mor tf ure ntne demo ragua ires	---⌫|-⌫---⌫-|-|----⌫-|---⌫---|
durem en tfu lotheffreez	-----⌫--⌫|-|---|------|
kemielsu osistestrepraez	-|----|-⌫----|----|----|
dese s fillesque deses ostes	-|--⌫|-----|--|-|--|----|
ne s otpasli	|-⌫|-|--|-|
bonshomrepostes	---|--|-------|
uoltbon ement liureir	---|---⌫----|------|
po rsesbeasost e s	--⌫|--|---|---⌫-⌫|
deliur eir	------⌫--|
li ostefur entsag eetpreu	-|---|---⌫--|---⌫|-|---|
alot h di soientporso n preu	|---⌫|--⌫-----|--|--⌫|---|
t osteissentde la	-⌫--|------|-|-|
cite ifors	----⌫|---|
se demaluuelentestrefors	-|-|--|------|----|---|
sefi llessa femmesig endre	-|--⌫---|-|----|-|-⌫----|
quegransd es tructionse ngen dre	--|----|-⌫--⌫--------|-⌫----⌫--|
so rc ea s qu	--⌫|-⌫--⌫|-|
encespechiesardoient	-|--|------|-------|
neiornenuitn esetardoie nt	-|--|-|---|-⌫|-|-------⌫-|
lesanglescr eit sains quidie r	--|-----|--⌫--|----|------⌫|
loth se uuetla c i tei uu idier	---|-|---|-|-⌫-⌫--|--⌫----|
sigendre nel e uorentcroire	-|-----|-|-⌫|-----|-----|
remez suntlothses t dest ornez	----|---|---||--⌫|----⌫----|
kat os bienss estoitatornez	||-⌫-|----||-----|------|
tantostkil	-------|-|
pot ue oi r l e ior	--|--⌫--⌫|-⌫|--|
uaitonq uesn imists oior	---|---⌫--|||---|-⌫---|
sesfillese nmai nne	--|-----|-⌫----⌫--|
orsuntdestornéd e grantpainne	-|---|--------|-⌫|----|-----|
liangleki lesco n duisoient	-|----|-|--|--⌫-⌫--------|
d eas con forteirse de s duisoien t	|--|---⌫------|-|--⌫-⌫--------⌫|
c ontreditlor on tpa rp ro ier e	-⌫-------|--|--⌫|--⌫|-⌫--⌫---⌫|
kenus d easneregarta riere	-|--||--|-|-----|-⌫----|
quemorsetde sco nfisser o it	--|---|-|--⌫---⌫---|---⌫-⌫-|
puis ces quili	---|--|-|-||
regarderoit	----------|
n iosare ga rdeir	||--|--⌫--⌫----|
c ele par t bien senuit garde ir	-⌫--|---⌫|---||-|--|-----⌫-|
maislafemme	---|-|----|
to stregarda	--⌫-|------|
onques cont reditni gar da	-----|----⌫----|||---⌫-|
t os tdesc ueurece	-⌫--⌫|----⌫----|-|
tot euoiefemm equefemme	---⌫|---|----⌫|--|----|
ades i au ra delle uain	---||--⌫-|--|--⌫---|
dela nature	-|-|-----|
ma in tenantfu	--⌫--⌫-----|-|
en selmuee	-|--|---|
s e stdiki r emu ee	|-⌫-||--|-⌫---⌫-|
ke netints auoie	-|-|---|-⌫|---|
autres pl usnesauoie	-----|--⌫-|-|-----|
siauroit ilm ult aredire	||-----|-|-⌫--||-----|
decenemepuetnusdesdire	-|-|-|-|---|--|------|
orprent damr id eus sauengance	-|----|----⌫--⌫--|-|-------|
desge ns de mauaiseespe rance	--|--⌫-|-|------|----⌫----|
lesyy citezardent	--|-|----|-----|
et fo ndent	-|--⌫----|
parfeuet par iaueconfondent	--|--|-|--|---|---------|
etcilki remeisi	-|--|-|-----||
quia malfairesapres toient	--||--|----||-----⌫-----|
paraiguee tparfeu	--|----|-⌫|--|--|
s un tdestruit	-⌫--⌫|-------|
l icha itifetlimal estruit	-⌫|---⌫---|-|-|--|------|
etkile uoirenuiot retra ire	-|-|-|---|-|---|-----⌫--|
cil dui elementsuntcontraire	--|--|------|---|--------|
par que deusle s apereilliés	--|--|---|--⌫||----------|
