sauoir doiuent	-----|------|
parluipar son	--|--|--|--|
filihe sucrist	--|---⌫-|----|
pa rlesaintesprit	--⌫|-|----|-----|
tout ense mble	---|----⌫---|
bienosdi resi conmoisemble	---|-|--⌫-|-|--|--|-----|
ciltroisun t	--|---|---⌫|
l unep ersoneenlautreenc lose	|--|-⌫-----|-||----|---⌫---|
diexuoustquese s fiuzchar preist	---|----|--|--⌫|---|---|-----|
et de linaschist	-|-|-|-------|
etilsifistpu isquelu iplust	-|-|-|---|--⌫----|--⌫|----|
pourrie ncontredistn e leust	---|---⌫|---------|-⌫||---|
cil siresqui h uman it e	--|----|--|-⌫----⌫--⌫|
lauirge humilite	-|----|-------|
nous moustragra nt q uantil	---|------|---⌫-|-⌫---|-|
daignaent erre por m or ir	-----|-|-⌫---|--|-⌫--⌫-|
pourc eq ueilu olo itsa uue r	---|-⌫|-⌫-|-|-⌫---⌫-|--⌫---⌫|
lueureson pere etdeliur er	|----|--|---|-|------⌫-|
delapuissa ncel ennemi	-|-|------⌫--||-----|
quinouseut pareue trahi	--|---|--|--|--|----|
quant eleuit quele	----|--|--|-|--|
eutpechié	--|------|
si ha tant qu is	-|-|---|--⌫-|
e tpourchaci é	-⌫|---------⌫-|
qu eadansses	--⌫|----|--|
marizpecha	----|----|
pommelidonna	----|-|----|
quediex leur	--|---|---|
a uoitdeueé	-⌫---|-----|
et trestoutlautrea ban donné	-|-------||----|-⌫---⌫-----|
meis i ltantos tlamistaudent	---|-⌫|------⌫|-|---|-|---|
et enmeniai sn ele ment	-|-|----|-⌫--⌫---⌫---|
ett antostcommeeneut mengié	-|-⌫-----|----|-|--|------|
pour pe ns asoi qu i l	----⌫--⌫--⌫|--|-|-⌫|
otpe chié	-|--⌫----|
carilu itsachartoutenu e	--|-|-⌫-|-|---|----|--⌫|
moutg ranthonteeu e	---|-⌫---|----|--⌫|
sa famenue ueueh a	-|---|--|---|-⌫|
aluxures abandonna	|-----||--------|
a pres cecotelessefirent	-⌫---|-|------|-|-----|
defu eilles	-|--⌫-----|
qu ensem bleacousirent	-|-----⌫--|---------|
et quantnostressiresce	-|----|------|----|-|
adana p eleetsi	---|-⌫-⌫--|-|-|
adanouiestu i esuica	---|-|--|-|-⌫|--|-|
tantost d e delistlesgita	------|-⌫|-----|--|---|
silesmisten chetiuoison	-|--|---|-|----------|
etenpei nne	-|-|---⌫--|
pour te l re ison	---|--⌫|--⌫---|
eue eu tconcu t sienfanta	--|--⌫|-----⌫|-|------|
agrantdoleur ce	|----|-----|-|
et liettoutesameisnie	-|-|-|----|-|------|
eutl ideab les en	--|-⌫|----⌫--|-|
alamortles uouttouzauoir	|-|---|--|---|---|----|
enenferlescouin tmennoir	-|----|--|-----⌫|------|
tan t comdiexleuoutet	---⌫|--|---|-|---|-|
qu ilenuoiasen	-|-|-----|--|
siens oufrila mort amere	-|-|-⌫----|-|---|----|
po urce besoing pristil n ouie	--⌫-|-|------|----|-|-⌫|--|
ou uen t re lauirge marie	-|---⌫-⌫-|-|----|----|
etpu is en b ethleemnaschi	-|--⌫-|-|-⌫------|-----|
delauirgesicumie di	-|-|----|-|--|-|-|
cestech oseseroitgreueinne	----|--⌫--|-----|--------|
adirecar cestef onteinne	|---|--|----|-⌫-------|
n ep ourroitpas estreespuisie	-⌫|-⌫------|--|----|-------|
de sbiens qu	--⌫|----|-|
alauirgemarie	|-|----|----|
desormeismec ouuient	--|-|---|-|-⌫------|
dec eque mere memberre i	-|-⌫|--|-|--⌫--------⌫|
tan tcums ant e et	---⌫|--|-⌫---⌫|-|
pouoir e i	-----|-⌫|
uoirsestq ue ihes uscriz	----|--|-⌫-|----⌫-|---|
parterre etsi le bapt i sa	--|----|-|-|-|----⌫-⌫-|
etou fluniourde inlel aua	-|-|---|------⌫-|-|-⌫--|
sainziehan s	----|-----⌫|
quil licommanda	-|-|-|-------|
et d istcilqui enmoic r eirunt	-|-⌫--|--|--|-|--|-⌫-⌫-----|
eneue sebaptiserunt	-|--|-|----------|
ouno n doupereet do u fil crist	-|--⌫|--|---|-|--⌫|--|----|
etensemble	-|-------|
dousain tesprist	--|----⌫|------|
quep ar icese runtsa uué	--|-⌫-|--|--⌫---|--⌫---|
d oupouoirlanemigité	-⌫-|-----||----|----|
tantqueilsiremeterunt	---|--|-|||---------|
par lespechiezqueilferun t	--|--|------|--|-|-----⌫|
asainteegli se ha diexdon né	|-----|----⌫-|-|---|---⌫--|
tel uertuett elpoest e	--|----|-|-⌫-|-----⌫|
sainzpierress onc o mma ndem ent	----|------|-⌫-|-⌫-⌫---⌫----⌫--|
redonnatoutcomun alm ent	------|---|-----⌫---⌫--|
asmenistresd esaint ee glise	-|--------|-⌫|-----⌫|-⌫----|
se ureuse nha lacuremis e	--⌫-|--|-⌫|-|-|---|---⌫|
ainsi fulux urelauee	----|-|---⌫--|----|
dommedefemmeetesp uree	|---|-|----|-|---⌫---|
etl ideablessa ue rtu	-|-⌫|------|-|--⌫--|
perdiquetant auoit eu	----|--|---|----|-|
cincmilanzouplus	---|--|--|-|---|
l ese u tilen e nfe rlaius	-⌫-|-⌫-⌫|-|-|-⌫---⌫|-|--|
m eisdeto uts on pouoir	-⌫--|-|--⌫-|-⌫-|-----|
dusquatantque ilsiremirent	----|----|--|-|||-------|
etnostressiresq ui	-|------|----|-⌫-|
q u e fr agilitezd ommee stoit	-⌫-⌫|--⌫-------||---|-⌫----|
tro pmauueisee tt rop	---⌫|-------|-⌫|-⌫--|
pe rilleuse	--⌫-------|
eta pechietrop enclineuse	-||-----|---|---------|
car ilcouuenroit	--|-|---------|
qu ilpechast	-|-|------|
uout que sainzpier resco mman d ast	---|--|----|----⌫--|--⌫----⌫-⌫--|
de baptesmeun eautre menniere	-|-------|--⌫|----|-------|
quetantesfoizue nistarrier e	--|-----|---|--⌫---|------⌫|
a co nfessequ antp echeroit	|--⌫-----|--⌫--|-⌫-------|
lihons quant s erepentiroit	-|---|----|-⌫|----------|
etuour oitso npechieguerp ir	-|----⌫--|--⌫|-----|-----⌫-|
etlescomman demenzte nir	-|--|------⌫-----|--⌫--|
egliseainsi p ourroit	-----|----|-⌫------|
d ieuqu erreetillar o it	-⌫--|--⌫---|-|-||--⌫-⌫-|
au tensquediex par	-|---|--|---|--|
terr eal a	----⌫|--⌫|
ets acreance preescha	-|-⌫|------|-------|
laterre deiudeeestoit	-|----|-|----|-----|
souz romm eet a lir es pondoit	---|----⌫|-||-|-⌫--⌫------|
nontoutemeisun epart ie	--|----|---|--⌫|----⌫-|
ou pilates auoitbaillie	-|------|----|------|
aluis eruoituns	|--|-⌫-----|--|
quisou z luieut	--|---⌫|--|--|
cincche ualier s	---|---⌫------⌫|
ihesu cristuitete nsencuer	----|----|--|-|-⌫|--|---|
l aamamout m eisanul	|---|---|-⌫--||--|
osastfeire	----|----|
n ul semblant	-⌫-|-------|
pour les i uis	---|--|-⌫--|
qu ildoutoittant	-|-|------|---|
carto utestoientad u ersaire	--|--⌫-|-------|--⌫-⌫------|
aihesulagentdeputee ire	|----|-|---|-|---|-⌫--|
ainsi doutoitsese nnemis	----|------|--|-⌫-----|
iasoitceq u adieu f ust	-|---|-|-⌫||---|-⌫--|
ihesuspeu decipl es auoit	-----|--|------⌫-|----|
uns m a uueis esto i t	--|-⌫-⌫----|----⌫-⌫|
pires pl us	----|--⌫-|
que mest iersne fust	--|----⌫---|-|---|
ainsile uou stainsili	----|-|---⌫-|----|-|
meintes foiz tinrentpallement	------|---|------|--------|
liiu ifqueu peinne	-|--⌫-|---|-----|
outo urment	-|--⌫-----|
nostreseigneur souf r irferoie nt	-----|-------|----⌫-⌫-|------⌫-|
etcommentletourmenter oient	-|------|-|----------⌫----|
etiudasque diexmout amo it	-|----|--|---|---|---⌫-|
unerent e eutcon	--|----⌫|--||-|
disme e tauecsenesc hauzfu	----|-⌫|---|------⌫---|-|
deciplesihesu	-------|----|
etpo urcedeuintenuieus	-|--⌫-|-|-----|------|
quilnestoitmeis	-|-||-----|---|
si gra cieus	-|---⌫----|
a sdeciples	-⌫|-------|
l i unsuers lautre	-⌫|--|---||----|
et sen tramoient	-||--⌫--------|
secomm encaaestrangie r	-|----⌫---||---------⌫|
ettre ireala foie	-|---⌫--||-|---|
pluscrue usf uqu	---|----⌫-|-⌫|-|
il ne soloit	-|-|-----|
chascun sle redoutoit	-------⌫|-|--------|
nostr es siressauoit t out	-----⌫-|----|-----|-⌫--|
neli puetem blerrien	-|-|---|--⌫---|---|
teucoust umeau oi ent	--|-----⌫--|--⌫--⌫--|
lichambrelein	-|----------|
queil p renoient	--|-|-⌫-------|
lad i smedequan que	-|-⌫-⌫--|-|----⌫--|
ondon noit	-|---⌫---|
al eu rseigneurset	|-⌫--⌫|--------|-|
leures toit	---|--⌫---|
orauintau iourd ela	-|----|-|---|-⌫|-|
lamadaleinne	-|---------|
uintdroi tenlame ison	---|----⌫|-|-|--⌫---|
al atabletro uua ihes um	|-⌫|----|---⌫--|----⌫-|
decipless ean t	-------|-⌫---⌫|
iudas de uant	----|--⌫---|
ihesumen i ant	----|---⌫-⌫--|
dessouzla table se m uca	------|-|----|-|-⌫--|
as piezi hesu	-|---|-⌫---|
s agenouilla	|---------|
mo ut c ommencafortaplourer	--⌫-|-⌫------|---||------|
lespiez nostreseigneurl auer	--|---|-----|-------|-⌫---|
deses larmesetles torcho it	-|--|-----|-|--|------⌫-|
de sescheuousq uebi au sauoit	-|--|------|-⌫-|--⌫--⌫|----|
apreslesointd	----|--|---||
unoignement	-|--------|
q u aportapreci eus	-⌫|-----|-----⌫--|
et l ech ief ihes uautresi	-|-⌫|--⌫--|----⌫|------|
etlameisonsi rae mpli	-|-|-----|-|---⌫---|
delaprecieuseflereur	-|-|--------|------|
del o ignementetdel oud eur	-||-⌫-------|-|-||---⌫--|
q ue cha ucuns	-⌫-|---⌫----|
d e usse mer ueilla	|-⌫-|-|---⌫-----|
m ei s iudasmouts	-⌫--⌫|----|---||
en cou rouca	-|---⌫----|
trois cenz	----|---|
deniers ouplusualo it	------|-|---|----⌫-|
sarenteperdue	-|----|-----|
cestendismetren tedenier s	|--|-|----|----⌫-|------⌫|
est reseslouiers	---⌫-|--|------|
commenca so ia	-------|--⌫||
pourpenser	---------|
c ommen tlespo urra	-⌫-----⌫|--|--⌫---|
recouu r er	------⌫-⌫-|
lianemi nostre seigneur	-|----|-----|-------|
qu ili quierent s adeshonneu r	--⌫|-|-------|-⌫|---------⌫|
furen ttout ensemble assemblé	-----⌫|---|-------|--------|
en unh ostel	-|-|-⌫----|
ezuousilec	-|---|---|
c hay phas	-⌫---⌫---|
qui eues quesfu	--|----⌫---|-|
deleur loi	-|---|--|
etpreudon sfu sicom	-|-------⌫|-|-|--|
iosep hifu d	-----⌫||-||
ar ymat hie	--⌫----⌫--|
n estpasliezde	|--|--|---|-|
la compe ignie	-|-----⌫----|
etquan tiud asile csentirent	-|----⌫|---⌫-|---⌫|--------|
douterentlequant il leuir ent	--------|-|----|-|-|---⌫--|
si quet antost conle	-|--|-⌫-----|--|-|
c onnurent	-⌫-------|
p our ladoutedeluise tur ent	-⌫--|-|----|-|--|-|---⌫--|
il quidoientquil fustloiaus	-|--------|-|-|---|-----|
u erss ons eigne ur	-⌫--|-⌫-|-⌫-----⌫-|
iu d as qui de	--⌫-⌫-|--|-|
estoit lesuitainsi tou zteir e	-----|--|--|----|---⌫|----⌫|
pallaetdeman da pour quoi	----|-|-----⌫-|---|---|
es toientsimuetsiquoi	--⌫-----|-|-|-|-|---|
etl idemandentd e	-|-⌫|--------|-⌫|
ou estilore sezletu	-|--|-|--|--|-|-|
et il le ur	-|-|--⌫-|
disto uilesto it	---|-⌫|-|----⌫-|
pourquoi lauenir neuoloit	---|---|-|----|-|-----|
laloienseigne coml	-|--|-------|--||
enleur cuerstoutsene sioirent	-|---|----|---||-|-⌫-------|
ensei gne nous co mmen tlaruns	-----⌫--|---|--⌫----⌫||----|
etcomme ntno us leprende rons	-|-----⌫-|--⌫-|-|------⌫---|
iudasleurdistseuousuolez	----|---|---|-|---|----|
ieluous ue ndreisile	-||---|--⌫----|-|-|
cil d ien toil uolentiers	--|-⌫---⌫|--|---------|
donn ezmoid onc	----⌫-|--|-⌫--|
tren tedeniers	----⌫-|------|
l unsen sabou rsepris	|--|-|-|---⌫--|---|
ettantostiudasl es	-|------|----|-⌫-|
ainsi eutson res torem ent	----|--|--|---⌫-----⌫--|
desa p ertede	-|-|-⌫---|-|
loignement	|--------|
apresliont cilde mandé	----|-|--|--|--⌫-----|
comment ille urauraliuré	------|-|--⌫-|---|-----|
iudasleurmistleiourpou r uoi r	----|---|---|-|---|---⌫|---⌫|
comm ent ille po urrunt auoir	----⌫--|-|-|--⌫-----|----|
e t e nquelliule	-⌫|-⌫|---|--|-|
trouue runt	------⌫---|
que m out bi ensarmerunt	--|-⌫--|--⌫-||-------|
commep ourleuruiessauuer	----|-⌫--|---|---|-----|
e tsisedoiuentbiengarder	-⌫|-|-|------|---|-----|
deiakepenreto ut	-|---|----|--⌫-|
carmerueilles	--|---------|
bienlere semble	---|-|--⌫-----|
de cene uousmerueilliez mie	-|-|-|---|----------|--|
car anduisuntdunelignie	--|----|---||--|-----|
il sunt co us i ngermein andui	-|---|--⌫--⌫-⌫|------|----|
comm ent connoist runs donc celui	----⌫--|--------⌫---|---|----|
moutuol entier sle	---|---⌫------⌫|-|
prenezcelui queb eserei	-----|----|--|-⌫-----|
ainsiacor de nt l eurafeir e	----|----⌫--⌫-|-⌫--|-----⌫|
atrestou tes c esc hos esfeire	|-------⌫--|-⌫-|-⌫---⌫-|----|
estoitioseph darymathye	-----|-----||--------|
cui enpoisemoutet	--|-|----|---|-|
ainsidi lecsedepa rtirent	----||-⌫--|-|----⌫------|
d usquaui uesdi attendirent	-⌫---|-|-⌫----|----------|
etce iuedichiessimon	-|-|----|----|----|
estoit ihes usensameison	-----|----⌫-|-|-|-----|
ou s esdeciples	-|-⌫-|-------|
ensei gnoit	-----⌫----|
lesess emplesetleur disoit	--|---⌫-----|-|---|-----|
ne uous doipastresto ut r etreire	-|---|--|--|------⌫-|-⌫------|
m eis de ce nemew e i l	-⌫--|-|-|-|-|-⌫-⌫-⌫|
q ueciusmeniut	-⌫-|---|-----|
quimon cors amo rttrahirdoit	--|--|---||--⌫-|-----|---|
quantihesusainsipa llé	----|-----|----|--⌫---|
iudas errant	----|-----|
l ide manda	-⌫|--⌫----|
pourmoil editesseulem ent	---|--|-⌫|----|------⌫--|
iudastulediz	----|-|-|--|
autre schosesleuruoutmoustrer	-----⌫|-----|---|---|-------|
quantil dai g naleur	----|-|---⌫-⌫-|---|
piez lauer	---|----|
d uneiaueatouzle spiezlaua	|--|---||---|--⌫|---|---|
ets ainziehans	-|-⌫---|-----|
liconseilla	-|--------|
pri ueement sir e u n echose	---⌫------|---⌫|-⌫-⌫|----|
dema nder oie meisienose	----⌫----⌫--|---|-||--|
ihe suslen haco ngiedon né	---⌫--||-|-|--⌫---|---⌫--|
e til ha tantostdema n d é	-⌫|-|-|------|----⌫-⌫-⌫-|
sireano ust ouzle spiez l a uas	---||--⌫-|-⌫--|--⌫|---|-⌫-⌫--|
d u neiaue tup our	|-⌫-|---|-|-⌫--|
q uoifeitl as	-⌫--|---||-|
diexdist uo le nti ersie dir ei	---|---|--⌫--⌫---⌫--|-|---⌫-|
c est e ssem ple en perrumpenrei	-⌫--|-⌫----⌫--|-|-----|-----|
ausicomm eliaue ordoia	---|----⌫||---|-----|
desp remiers	--|-⌫------|
piezconila ua	---||-||--⌫-|
nepuet nuses tresa nzpechie	-|---|--|--⌫--|--⌫-|-----|
et tantse r until ord oié	-|---|--⌫-⌫--|-|---⌫---|
come sorzpec hiez d emourrunt	--|-⌫|--|---⌫---|-⌫--------|
meislesautreslauerpourrunt	---|--|-----|----|-------|
carsil un peu ordoié	--||-|-|--|------|
iapour i c en ouleisserunt	-|---|-⌫-⌫||-|---------|
que illeso rdoiez	--|-|--|-⌫-----|
nepuissent	-|-------|
l au erenquelli uque	-⌫--⌫-|-|---|--⌫|--|
lestruissent	--|--------|
dordeia ueei	|---|--⌫-|-|
lautreordure q u	|----|-----|-⌫|
ele hatro uué	--|-|---⌫---|
etsembleque	-|-----|--|
lidarriensoient	-|------|-----|
ausi comli p remier	---|--|-|-⌫-----|
cest essemple	---|-------|
apierreleirons	|-----|------|
et a smen istres ledonno ns	-|-⌫|---⌫-----|-|-----⌫-|
desain teeg liseuo ir ement	-|----⌫-|--⌫---|--⌫--⌫----|
pourensei gnier a	---|-----⌫----||
lau tre gent	|--⌫--|---|
p a r leurpechiez	-⌫-⌫|---|------|
ordoierunt	---------|
e tle spe c heeurslau erunt	-⌫|--⌫|--⌫-⌫-----|---⌫----|
quiadieuuouro ntobei r	--||---|-----⌫-|----⌫|
etau fi l etausain tespir	-|-|--⌫|-|-|----⌫|----|
asaintee glise	|-----|-⌫----|
neleurnu ist	-|---|--⌫--|
ainzleureidebien	---|---|---|---|
sic um connoistr e ne	-||-|---------⌫|-|
le la u ésonneli	-|--⌫-⌫-||-|-|-|
au si lespechiezn esetmie	--⌫-|--|------|-⌫|--|--|
deuantcon li	-----||-|-|
nildesmeni stres	|-|--|----⌫----|
deuant ceque illesdirunt	-----|-|--|-|--|-----|
ainsi sa inti ehan ensei gna	----|--⌫--|-⌫---|-----⌫--|
diexpar ce	---|--|-|
diexfuenlameison simo n	---|-|-|-|-----|----⌫|
eti lettui tsic o mpeign on	-|-⌫|-|---⌫|-|-⌫-⌫------⌫-|
iuda s eut les iuisman dez	----⌫|--|--|---|---⌫--|
etl un apreslautreas se mblez	-||-|----||----|--⌫--⌫----|
enlameison symo nentrer ent	-|-|-----|----⌫|------⌫--|
q uantceuirent si s effreere nt	-⌫---|-|-----|-||--------⌫-|
lidecipl enostre seigneur	-|------⌫|-----|-------|
c a ri leu rentmoutgrantpee ur	-⌫-⌫|-⌫|--⌫---|---|----|---⌫-|
etquantlameison uitemplie	-|----|-|-----|--|-----|
iudass inese tariamie	----|-⌫|-|-|----|--|
en la boucheihes u beis a	-|-|-----|----⌫|----⌫|
etparleb eisier len seig na	-|--|-|-⌫-----||--⌫----⌫-|
ihesuprennen t d eto uz	----|-------⌫|-⌫|--⌫-|
iu dascrie	--⌫--|---|
bienletene z	---|-|----⌫|
carilestmer ueillesforzhom	--|-|--|---⌫------|---|--|
ain siemmeneren tihesum	---⌫-|---------⌫|-----|
partie f ont	-----|-⌫--|
qui lont ihesuen lorpooir	-|-⌫|--|----|-|--|----|
orsu n tlidecipleesg aré	-|--⌫-⌫|-|------|---⌫---|
cuermo utadolé	---|--⌫-|-----|
lee nz eut unu eissel	---⌫-|--|-|-⌫-----|
feisoitsonsacrement	------|--|--------|
unsi ui sle ueissel t rouua	--|-⌫--⌫|-|------|-⌫----|
chies symo nse lprist	----|----⌫|-||----|
et ga rd a	-|--⌫--⌫|
carihes usfud	--|----⌫-|-||
ilec menez	---|----|
etdeuant pilate	-|-----|-----|
apila te ihe su menerent	|----⌫-|---⌫-|-------|
de qua nquilpeurent l en couperent	-|---⌫--|-|------||--⌫--------|
meispeti tf u rentleur pouoir	---|----⌫|-⌫-⌫---|---|-----|
q uilnepeurentdroiture auo ir	-⌫|-|-|------|-------|---⌫-|
nedroi ture n e achoison	-|----⌫---|-⌫|-------|
parquoifustendampnation	--|---|---|-|---------|
ne ilne l auoitdeser ui	-|-|-||----|-----⌫-|
uousistpart irainsi	------|----⌫-|----|
meistrop feulefulaioust ice	---|---|----|-|-|-----⌫--|
dontmout de se igneur sun t	---|---|-|--⌫-----|---⌫|
etforce ni uoust mestre mie	-|----|||----|-----|--|
a inzuoustsoufrirleurenreidie	-⌫--|----|------|---|-------|
tout esuoies pil atesdis t	----⌫-|----|---⌫---|---⌫|
son ainsicestprophete ocist	|-|----|---|-------|----|
etme sires	-|-|----|
rien s mendemande	----⌫||-|------|
ie uueilsauoiret se lcom mande	-|----|-----|-|-||---⌫----|
asq ueus deuoustouzment en re i	-|-⌫---|-|---|---||-|-⌫--⌫--⌫|
eta cui iue nreuenrei	-||--|-|-⌫|-------|
neuoi causede mort	-|--|----|-|---|
ainzleuolez oc i rreatort	---|-|----|--⌫-⌫--||---|
ahautesuouiztoutse scrierent	|-----|----|---||-⌫--------|
et richeetpoure	-|----|-|----|
qui l aierent	--|-⌫|-----|
seu rnoussoitses sansesp anduz	---⌫|---|---|--|---|---⌫----|
se urnosenfanzgranze tmenuz	--⌫-|--|-----|----|-⌫|----|
lors l eprennents e l r ont mené	---|-⌫|-------|-⌫||-⌫--|----|
de u a nt pi lateetlont dam pne ́	--⌫-⌫-⌫-|--⌫---|-||--|---⌫---⌫|
pilates liauedemanda	------||---|------|
et deuanteusses	-|-----|--|--|
mei nslaua	---⌫-|---|
etdis t qua usicom	-|---⌫|-|-⌫--|--|
es toientse s meinsetlau ees	--⌫-----|--⌫|----|-|---⌫--|
quausi quiteset	-|---|-----|-|
ne z e stoit	--⌫|-⌫----|
d el iustecona	-⌫-|----||-||
tortiugoit	---|-----|
li iuisleueis seltenoit	-|---|-|----⌫--|-----|
lostelsimon prisa uo it	|----|----|---|-⌫--⌫-|
uintapi lat eet li donna	---||--⌫---⌫|-|-|----|
et pi latesen sauf mis la	-|--⌫----|-|---|--|||
dusquat ant que	----||-⌫--|--|
con té li fu	---⌫--|-|-|
quilauo ientdeffei tih esu	-|-|---⌫---|------⌫|--⌫--|
et quantioseph laoi d ire	-|----|-----|||-|-⌫--|
pleinsfudemauta l entetd	-----|-|-|-----⌫-⌫--|-||
uint a pilateisn eleme nt	---||-----|---⌫-----⌫-|
et dis t serui	-|---⌫|----|
t eilong u ement	|-|----⌫-⌫----|
mi cinccheualier	-|---|--------|
nen eieupoint delouier	|-|-|-|----|-|-----|
neian enarei g uerredon	-|-||-|---|-⌫-------|
forstantque me donras	---|---|--|-|-----|
qu e tou ziours promm i s	--⌫|---⌫|----|-----⌫-⌫|
donnele moipouoir enh as	----|-|--|-----|-|-⌫-|
pilat esdistor dem and ez	-----⌫-|---|-|---⌫---⌫-|
donreiceque uourez	-----|-|--|-----|
sanzlafoiautemons ei gne ur	---|-|------|--|-⌫--⌫---⌫-|
nusne laroit	--|-||----|
amonho nneur	|--|--⌫----|
uousauezgranzdonsd eseruiz	---|---|----|---|-⌫------|
